1700699145# #这是单方面行为
1700500959# #给云辉先生捉个虫：文中所述第四章第十二条，在公布的原文中是第三章第十四条；而第十二条更离谱：外汇账户可直接与投资账户相互结转。云辉先生此文极其重要，实为新时代的《谏迎佛骨表》！危急存亡之秋，请大家起来，挽救自己的家和国！
1700553654# #预测得准么
1703809660# #订婚强奸案，男方心太急，女方心太狠！
1701313333# #属于基辛格的时代已经结束了。。。
1701492198# #转发微博
1700366505# #那委员没出过国，等级观念也不强呀！这是因为什么？
1700784704# #锁骨好美
1700789405# #表面冷淡实则内心狂喜就喜欢看男人撒娇哈欠
1701042386# #good
1701045566# #我们又赢了两次
1701045214# #狼子野心痴心妄想
1700553320# #鬼子的食品应该全面禁进口了，它们的水都受污染，不应该再进食品，包括药品等等
1700372344# #突然间的心动心
1700698802# #中国国际传媒发布了真正购买记录和证据。压根不是徐购买的。徐以挪用航母资金差点流拍就被贺鹏飞提出局了。踢出局后还以买航母名义骗了中国航天4个亿。导致出了很大事情。所有参与人被抓。
1700363781# #好爱好爱，太感动了
1701908451# #情情爱爱最是烦人，自己一个最好。欲望填补空虚，爱情只是调味品。
1704095819# #不拒绝糖衣炮弹呗
1701504969# #最好的聚散，是相遇不问过往，离别不许归期…
1701313998# #亨利·艾尔弗雷德·基辛格（HenryAlfredKissinger，1923年5月27日-2023年11月29日），原名海因茨·阿尔弗雷德·基辛格（HeinzAlfredKissinger），出生于德国菲尔特，犹太人后裔，1938年移居美国。1943年加入美国国籍。基辛格作为转校生来到了哈佛大学，从学士学位读到了博士学位，后从毕业哈佛大学
1700783212# #努力向钱看，努力赚钱，一切钱可以解决的问题就不是问题。
1703676051# #有一种精神，穿越历史烟云，日久弥新；有一种怀念，历经时代风雨，更臻醇厚。
1700699095# #在你想要放弃的时候，想想是什么让你当初坚持走到了这里
1700375704# #一共20条，我们公司占了12条doge，垃圾中的战斗机啊doge
1702551163# #/说人家画饼，不如说你没实力，人家董明珠难道不是从一个普通员工干起来的嘛？人家现在啥身价？随随便便就能捐一个亿，人家有资格说这种话，更重要的是她的意思是你要工作你就好好工作，要当网红请便，不要消费格力，
1701042548# #一点悲哀。拥有大资金大资源，却天天想着怎么把梳子卖给和尚，没有需求创造需求，美其名曰改变生活，老百姓的生活不需要那么多改变，也不需要那么多的诱惑，稳稳当当的就行。
1701494025# #不要仰望别人，自己才是最靓的风景
1703049805# #嘴巴太甜的人，有可能要保住工作，不得已，因为没有背景；不停夸你的人，可能是真欣赏你的人品，想和你交朋友了，深藏不露的人，也许掩盖什么。手上戴手表的也许是一种炫耀；人群中最安静的人，也许最不起眼；喜欢抬杠顶嘴的人，往往受到领导的赏识；
1701389273# #基辛格:帝国太菜了，寿极则辱我先润了，以保晚节开学季
1700553385# #美国是真正的幕后主使
1700364930# #想跑没那么容易
1703024051# #今天是2023年12月20日，农历癸卯年冬月初八（壬子🐭日），今日为黑道日；今日冲马，财神在正南方，今日穿绿色，蓝色上衣为最佳，次吉为穿黑色，深蓝色。宜祭祀礼拜祈福契约纳财出行赴任亲民会亲友恩赦废旧解除革新教育训练开工动土栽种酿酒求子和气治病；忌嫁娶深处戏水
1700442336# #换不来，需求不匹配，产生不了一点吸引力
1700750423# #看不上颜宁和澳洲又啥关系？她是澳洲公民？她这种花纳税人巨款写论文混日子的澳洲要了也没用
1703676371# #赞赞所以應該繼續承傳“為人民服務”的精神及繁體字赞赞
1700699436# #1979年的流氓罪出现在1973年？
1701492588# #玩玩竞选，应该挺有意思的
1700440209# #村委会知道能救他们吗，制造大舆论才有可能改变现局
1700348982# #是啊。所以现在00后都不结婚。我90后都想离婚了
1700373012# #好汉从来不打妻，好狗从来不咬鸡。good
1700365115# #/中美缓和，要的是时间。时间用来做什么？削藩均田下长安！夺回财政金融主权。必须以最快的速度重组经济管理部门了。必须立刻解决：纸币沉没；通货走资；资本空转。必须立刻结束：貝先道对政府部门的控制，以及貝先道通过代理人进行的中国资管。中美之争，根本在内部。此轮改革，将决定中国未来的命运
1700747648# #女明星会练胸型
1700543659# #是的嘻嘻嘻嘻锦鲤附体锦鲤附体
1700737873# #历史的车轮滚滚向前，任谁也不能阻挡，顺其自然吧
1701080391# #关键不是喝洋酒的！
1703723119# #工业污染不谈就卡那几天的烟花爆竹燃放是吧哈哈哈哈
1700373281# #你今天的努力，是幸运的伏笔，当下的付出，是明日的花开。即使现在还看不到成果，请不要着急，最好的总会在最不经意的时候出现。让我们怀揣希望去努力，静待美好的出现。
1701475503# #熬过万丈孤独，藏下星辰大海✨
1701821523# #和统武统都是双刃剑，就看那一面对我们更有利；速统缓统更是双刃剑，就看那一种对中国的伤害更大。力量不够时强统是愚蠢，力量和趋势都有利于我时还下不了决心，同样不智！
1701044826# #舒淇算啥
1700376666# #转发微博
1700953320# #/不好说，看他怎么上去的
1702899534# #我只知道社会主义集中力量办大事：山西的煤供全国，山东的蔬菜供全国，东北的优质大米供全国，四川的水电和矿产按政策指导白菜价供东部(结果江浙沪ip嘴碎四川拿补贴的最多)……如果我们是美国那种各自发展各自的联邦制国家，我相信中国最发达地区绝对不是长三角珠三角，而是资源大省山西！
1701045467# #阿根廷凭借自己的实力想跟英国要回马岛是痴人说梦他不是跟美国关系好吗等川普上台之后再说吧
1700825577# #好家伙挖鼻挖鼻钱到位就是自愿的，没到位就是强迫的doge
1700525034# #第三条，踏马的，用了多少中国人做活体实验？偷了多少中医秘方？
1700365026# #推背图，你也要推呀，整个社会的运转呀
1702164044# #感觉这个社会的风气真的是轮流转啊
1700349333# #老公眼前天天都能看到宝宝呢
1700553013# #他原来可是联想柳传志忠诚的狗。。。。。。柳传志政商教父。。。。。想学美国控制中国，他做幕后大佬，政协做他的代言人dogedogedogedoge
1700698964# #Liveboldly.Pushyourself.Don'tsettle勇敢生活，突破自我，人生不设限
1703809841# #这女的明摆着是婚骗，不管法院这样判是否合理合法，牢坐了，没办法，但彩礼或者其他奔着结婚去而花的钱必须追回来吧，决不能让这女的得逞！
1701042338# #现在为啥这么多人生病？就是吃多了科技与狠活。当然，偶尔可以，外面很多东西给你看到制作过程你再也不想吃了，很多人坚信眼不见为净，但进医院时就觉悟了
1702463556# #确实是
1703723750# #本来春晚就一年比一年没意思，炮仗还不让放，过年就剩听唠叨了泪
1702164769# #这个模型的意义在于，在任何时候都可以察觉和分析自己的ABC，通过认识客观的A，尝试用多个角度松动B，从而改变C让它对自己有利。
1700738154# #剑走偏锋，赢了再说。嘻嘻
1700500120# #是的，好人
1700789443# #藕断丝连吗还没分手完
1700500651# #这十年是美国的最后机会，等这一批人退休老去，新生派都拎得清
1704159658# #正义是自由表达之母。赞赞赞
1700373564# #吃海参鲍鱼固然鲜美，奈何有人过敏，只能吃猪肉
1702772428# #乡港金融有主權吗？谁发行的港币？
1703723473# #赞同，鞭炮可以驱邪迎接祥瑞
1702971374# #根本不是新东方留不住人才，而是英豪才俊都不会蝇附骥尾，你给他多大的舞台都没用，这无关利益，而是为了个人野心不受拘束。不然你看看阿里和腾讯多少人出来创业？英雄，是留不住的。
1700783084# #明显的是按剧本摆拍的
1700552609# #文明必將戰勝野蠻
1702899380# #各美其美，美人之美，美美与共，天下大同
1700360887# #情绪激动，或者有冲动的行为，都可能导致更多的问题和矛盾。
1700383912# #和同事交谈真的要会筛选，有些话千万不能讲
1701301546# #好可惜啊蠟燭小時候家裡有她和王雪晶的新年歌影碟，一到過年我爸就會放來聽
1700357448# #冬日暖阳。文/郝悦盛。。初冬暖阳似早春，。街市热闹人欢笑，。熙熙攘攘客如潮，。服装城里童嬉闹。。。作于癸卯年十月初七。（西元2023年11月19日）
1700651489# #是啊，儿子不错
1703974428# #今天是2023年12月31日，农历癸卯年冬月十九（癸亥猪头日)，今日冲蛇，财神正南。今日为黑道日。今日宜穿绿色，蓝色上衣为最佳，次吉宜穿黑色，深蓝色。宜祭祀祈福扫舍解除消灾除虫蚁理发沐浴整顿训练习艺反省补过维修保养动土上梁盖屋和气养生求子治病；忌嫁娶、忌争吵以防不
1701646161# #这个模型的意义在于，在任何时候都可以察觉和分析自己的ABC，通过认识客观的A，尝试用多个角度松动B，从而改变C让它对自己有利。
1702600859# #不幸中的万幸，不是在行驶过程中断，是经停后启动时断，不然事故不知道多惨烈
1700524244# #今天都比较难，因疫情导致经济几乎停摆，这个波谷过去，二至三年必迅猛发展。小姐姐也会越来越发达。
1703723625# #人家这是反讽好吧
1700611979# #知道人这么功利还要什么朋友？
1701610233# #人生参悟。文/郝悦盛。。得失之间有气血，。斤斤计较终有缺。。谦让之间是平静，。名利浮云情超越。。。作于癸卯年十月二十（西元2023年12月02日）
1704160214# #有一说一，这绥靖态度怪让人熟悉的。
1701821496# #等不来的，便宜也是捡不到的。美国人也很清楚，他们并不是傻瓜。
1700552148# #在米国的我刚人才赶紧回国，要不就会被莫名其妙死亡，米国啥事都干得出来
1703029607# #good
1702163316# #今天是2023年12月10日，农历癸卯年十月廿八（壬寅🐯日），今日冲猴财神正南，今日为黑道日。今日宜穿红色，紫色，粉色，玫红色，桔红色上衣为最佳。次吉为穿绿色，蓝色。宜祭祀祈福赞美契约栽种求子普渡悟道行人道防微杜渐恩赦废旧革新整顿扫舍开张行善放生和气治病；忌搬家
1702426352# #愿我从今往后健健康康，万事如意，一顺百顺事事顺，心想，事成，好运相伴，好孕相伴，平安喜乐。愿全家平安喜乐，健健康康，平平安安。愿东哥平安喜乐，健健康康，万事如意，今天一切顺利。感恩，感谢🙏🙏🙏
1700525005# #日本AV世界第一，日本排外世界第一，日本侵略国家世界第一，日本地震第一，日本核废水排放世界第一，还有很多第一
1702170023# #确实大问题在这儿，你是懂的……
1704148198# #2024年01月2日，农历癸卯年冬月廿一（乙丑🐮日），今日冲羊，财神东北方，今日为黄道吉日，大吉大利。今日穿白色上衣为最佳，次吉穿黄色，焦糖色，咖啡色。宜祭祀废旧革新开未来之学整顿会亲友见贵谢神恩善行福泽家人疗签约纳财纳畜订婚入宅；忌开张忌伐木忌成人礼。鼠旧病复发
1700541768# #遥遥领先，海空一体机doge
1700525251# #有钱一定不行，行的一定没钱，这是多么酸的假设。抓紧时间去挣钱吧，假设是没出息的馋嘴馋嘴
1700500818# #要接纳国外先进生产力，就意味着接纳其资本，我们现在都遥遥领先了么？在什么时点，怎样设立条件，恐怕需要更理性的思考。
1700526197# #西方世界假想敌，非友即敌的世界
1700750105# #看吧，这从上海开始，之后会挑动青岛，挑动深圳，挑动并放大各地有特别文化渊源的历史存在，一个整体中国不好对付，从内部慢慢挑动对立，其他地方够呛，上海绝对有很多这种情结存在的！
1701249006# #就是为了捞钱，不然那么多集团开那么多公司，还跑去开曼注册公司，就是为了捞钱跑路用的
1700652387# #2023年11月21日，唯一健在的参加过两万五千里长征的开国将军张力雄在南京迎来了110岁生日，他是目前全党党龄最长、全军军龄最老的开国将军。1929年参加革命，1931年加入中国共产党，1932年参加中国工农红军，1955年被授予大校军衔，1961年晋升少将军衔……光荣在党92年，张力雄老将军是目前健在的两位
1700373698# #喝酒也有肥胖歧视弱
1701646112# #今天是2023年12月04日农历癸卯年十月廿二（丙申🐵日）今日为黑道日。今日宜穿黑色，深蓝色上衣为大吉，办事易成，开心轻松。次吉为穿白色，银白色，浅灰色。宜祭祀临政开展工作签约纳财开业开光求嗣恩赦赴任亲民纳畜保养维修扫舍解除理发修甲；忌搬家忌修灶安床。鼠利谋求合作拜访
1701218147# #这个时候，那个时候这话用中文叫此一时，彼一时。。你这文案是ai翻译的吗允悲
1700438240# #与理想平等交易，同喧嚣保持距离
1700553391# #不作为就是纵容。
1702163664# #转发微博
1701301533# #面相好熟悉🙏🙏🙏一路走好
1700750197# #就是一个熟练工种，利用机器扫出结构，不进一步开发，往那里一扔，又去扫下一个！哈哈，人家AI都能分析规律，推算出另一种DNA的结构了，你说她的工作有何创举?
1704096028# #被弄下马的，有些是有权力后主动堕落的，有些是被外界用钱啊美色啊围猎的
1701217749# #马云又盯着老百姓的口食了
1700349158# #生活一半是柴米油盐，一半是星辰大海。放点盐，它就是咸的，来点糖，又会变甜。快乐的时刻会过去，伤心的日子也会有，人不能只要求过幸福的生活，却不愿意承担打造幸福的辛苦。
1701043997# #有道理good
1701123867# #痴人说梦。日方走的太远了。排海行为是损害全人类的不耻行为，再漂白也没有用，必须停止H污水排海，就之前的行为公开向周边邻国道歉，才有望通过谈判，改善关系。
1700364998# #是的，中美之争在内不在外。中美的问题不在对方，皆在己方内部。
1702772656# #不能被产品化的服务业都会幸存
1701244240# #芒格的无穷智慧和人性洞察，照耀了世人。感谢能与如此卓越的人共世，悼念蜡烛
1701081712# #是的，不落重手，百姓会失望的。
1701122102# #为金钱折腰了
1700372899# #猫是不祥之物
1703029308# #院士内部有间谍！
1702531692# #冬日抒怀。文/郝悦盛。。自古圣贤皆坎坷，。吾辈磨难岂能躲。。鲲鹏展翅九万里，。逆境岁月莫蹉跎。。。作于癸卯年冬月初二（西元2023年12月14日）
1703545333# #今天是2023年12月26日农历癸卯年冬月十四（戊午🐺日）今日冲鼠，财神在正北方；今日为黑道日。今日宜穿黄色，焦糖色，咖啡色上衣为最佳，次吉穿红色，玫红色，紫色，粉色，桔色。今日宜出行亲民专研悟道沐浴养生扫舍除虫蚁契约订盟纳财开业开光疏通经络伐木废旧革新解除
1700749901# #还多出一份巨额花销，一条致命软肋
1702946256# #今天是2023年12月19日，农历癸卯年冬月初七（辛亥猪头日），今日为黑道日。今日冲蛇，财神在东方。今日穿绿色，蓝色上衣为最佳，次吉为穿黑色，深蓝色。宜祭祀祈福出行会亲友相亲问名沐浴理发搬家契约开光纳财纳畜栽种扫舍除虫蚁装修求子治病动土修造；忌酿酒忌嫁娶开业。
1701821238# #谁都想对你指手画脚
1700372284# #致敬伟人！
1701122897# #贤德善俗，这才像“知识分子”讲的话。不像有些“专家”把很多问题讲的很复杂，好像故意不让人听懂一样又或为了显示它很“精英”一样，总搞些西洋产物的术语出来。好的良政环境总是让普通人明白并深入人心。
1700526051# #马航失联案件新进展
1703810272# #道理是这样，问题就是俄乌颠覆了许多概念。俄海空军根本就没像样的亮点，陆军炮弹存量很大但是目前也是僵持
1700611746# #十五，最后，为什么上班要多喝水才能保持健康，最多每隔半小时就站起来接水，见第44条。
1701736012# #其实应该标注发明人，而不是按国家分。是人发明的，不是国家发明的。
1703809816# #就是有预谋的以结婚为诱耳的诈骗案。
1700440401# #彝族都是这样，很正常，重男轻女
1701301485# #不敢相信！！我也听着她的新年歌长大的
1703810360# #改革的最终目的是利益分配
1700526157# #西方媒介掌握话语权恶意抹黑我们、孤立我们。其目的，看看现在的以色列怎么颠倒黑白吞并巴勒斯坦。
1701646201# #少想多做没错
1701945552# #评级机构不能是脱缰野马，无序发展。要加强党建引领，提高政治站位，在评级机构中开展社会主义主题教育。让评级机构做党和人民满意的好机构。
1700737847# #朝鲜必须要统一南北作揖我们拥护朝鲜领土完整
1701061463# #漂亮，就是太瘦了，微胖健美才是王道
1700372099# #公婆算是仁至义尽了，这么好的公婆还出轨
1700541358# #战略资源都私有化了，未来就等着哭吧。光会踢球没用啊，没智慧
1701907699# #活在当下，珍惜眼前拥有的幸福。
1700526257# #年龄大的那些人大多意识还停留在几十年前，对我们自己的进步了解不够多
1700541538# #其实说大辽哈
1702038034# #美西方政客的嘴是骗人的鬼，不仅要听他们怎么说，更要看他们怎么做。推动中欧关系发展既要守住底线，又要尽力而为，死马当成活马医。
1700442779# #钱上搞定允悲允悲
1700373544# #这不就是小舍得里那个老渣男吗？年轻时候找前妻优雅高贵精神契合倍儿有面子，老了保姆转正伺候一大家子人当甩手掌柜
1700553308# #这么优质的水排海里，日本人造孽啊！为什么不用于灌溉和引用？怒
1700884930# #这是一个很有启发性的观点。每个人都有自己的命运，但是我们可以通过自己的努力去改变它。如果我们能够做到其中一点，那么我们就能够获得成功。加油！👍
1700698691# #真实的是，他把从华夏银行贷款的钱去买了香港的豪宅，然后被查了，申请破产了，后面的所有事情是华夏银行北京总经理处理的，因为都是坏账，所以华夏银行总经理被查了，直到辽宁舰服役之后才放出来，国家还赔偿了一笔钱
1700952945# #今天是2023年11月26日农历癸卯年十月十五（戊子🐭日），今日冲马，财神方正北，今日为黄道吉日。今日宜穿绿色蓝色上衣为大吉，黑色为次吉。宜祭拜天地祖宗祈福亲民契约酿酒栽种扫舍解除维修保养消防沐浴理发修甲栽种纳畜悟道反省习艺研究出行赴任纳财问道求子；忌置业忌
1700349759# #食肉动物，往往爆发力强，但是持久力差，食草动物，往往爆发力差，但是持久力强。
1701121650# #大家有问题可以+18513159491或者\/270422
1702773624# #太可惜了大美女！一路走好，愿天堂没有病痛🙏🙏🙏
1701389577# #good
1700749553# #水能载舟，亦能覆舟
1700750226# #一个人评价一个厨子菜做的不好，有人抬杠就说不服你做个好吃的，话说现在评价一道菜就非要做厨子才行？？doge
1700499055# #从理论思想到传媒到文艺这一圈都呈现出明显高的腐蚀率。原因我自己想了很多，大概也有了结论；但是要怎么改变，目前看似乎没有太好的办法。因为目前还有更大更严重的问题需要解决，社会能提供的总的稳定性不足以支持同时大刀阔斧处理。大国就是这样，压下这头冒起那头，一不留神就会走到危险边缘。
1702112891# #good
1701772745# #初冬傍晚。文/郝悦盛。。浮云层叠铺满空，。形状迥异各不同。。宛如五彩斑斓画，。树木宁静夜无风。。。作于癸卯年十月廿二（西元2023年12月04日）
1700443537# #转发微博
1701217655# #艾萨克·牛顿（1643年1月4日—1727年3月31日。1687年7月5日出版《自然哲学的数学原理》奠定了物理学的基石。哪来的1720年转行物理学？差7年就离世。希望你多尊重一些基本的物理学常识。
1701042314# #有没有一种可能，他根本就没有科技创新的环境和能力，让你阿里研究，你让拿国家补贴那些个科研单位还有的赚？二哈
1700360868# #女人喜欢你，她会通过身体接触，来传达亲密和信任。很容易滋生暧昧的情愫。
1700499102# #我支持在这个圈子里行事正派、最有潜力获得巨大国际影响力的中国人。
1700783757# #哈哈哈送花花
1700524012# #坏人是这样的，如果你怕他，因为他而惶恐，他会一直在。但如果你把心立安稳了，说不定那天他就把自己给作没了。
1702425509# #冬日清晨。文/郝悦盛。。申城朝雨涤灰尘，。霜叶悄落默无闻。。满目萧瑟寒意浓，。唯有菊花香怡人。。。作于癸卯年十月三十（西元2023年12月12日）
1700443580# #世上无难事只要肯放弃偷笑
1700784046# #早上好呀
1700442653# #转发微博
1700953245# #有些人是想作民族的罪人！
1701216929# #这么多，中很多费解不现实费解
1701503750# #要那么大，你自己吃啊
1700698865# #真正吃饱饭的也才40年
1700442981# #转发微博
1700525321# #看过原视频，田叫王为“王老师”，没叫“老公”
1700782508# #晨间无题。文/郝悦盛。。初冬仰望白云间，。岁月流逝似飞箭。。千头万绪须翦理，。只争朝夕莫等闲。。。作于癸卯年十月十一（西元2023年11月23日）
1702971334# #有勇无谋允悲
1700750206# #从颜宁微博内容展现出来的无聊与低水平，可见院士并非我们想的那样
1702164598# #人生当自勉，奋斗需坚持。早安！心
1700738181# #先赢，再务实
1701244168# #巴菲特的挚友和投资伙伴，99岁，值了~蜡烛
1701908572# #那我不是，我喜欢干净整洁穿着普通的，，那种注重穿搭油头垢面的反而猥琐，，
1700500887# #据说针对的是中国电动汽车行业，因为阿根廷锂矿资源丰富，而电动车就需要锂电池来维系，未来中国的电动行业难了。
1701244219# #非常有智慧的一位老人。
1702165170# #老蒋不只打仗不行，抓经济也不行，物价飞涨；德性也不行，炸开花园口淹死多少百姓。这个人败是必然的。
1700500914# #感觉从特朗普开始，到泽连斯基，到米莱，资本和媒体已经感觉他们可以操纵一切了……以色列的底气也来自于此
1702553299# #据上海市纪委监委消息：上海市宝山区委副书记、区长高奕奕涉嫌严重违纪违法，目前正接受上海市纪委监委纪律审查和监察调查。
1703030221# #雨后清晨。文/郝悦盛。。细雨清晨空气新，。雨水枝头叶清淋。。虽是道路多泥泞，。神清气爽多振奋。。。作于癸卯年冬月初七（西元2023年12月19日）
1703846526# #今天是2023年12月29日农历癸卯年冬月十七（辛酉🐔日)，今日冲兔，财神正东；今日为黑道日。今日穿黑色，深蓝色上衣为最佳，次吉穿白色，银白色，浅灰色。宜祭祀祈福沐浴废旧整顿商务考察追债许愿扫舍理发美甲低调行事治病手术；忌嫁娶开张忌醉酒以防造成麻烦忌安门。鼠宜拜见
1703723102# #除夕都不放假怒还有什么传统可言
1700783868# #旋风三连踢
1700699243# #高富帅强谁不喜欢呢
1702783144# #拜登找奥巴马合作，或能提振支持率
1701907624# #一站有一站的风景
1703463436# #冬日午后。文/郝悦盛。。冬日暖阳微弱光，。寒风吹动细枝晃。。午后时光人闲适，。草坪小狗晒太阳。。。作于癸卯年冬月十二（西元2023年12月24日）
1701042631# #马云就想着怎么薅羊毛
1700788575# #不能别问为啥
1701492116# #哈哈哈，终于找到赖床的理由了允悲允悲允悲
1700443837# #是的，下嫁的、不要彩礼的，都被瞧不起，以前经常能听见老人吹嘘自己儿子魅力大，儿媳如何如何倒贴
1700552193# #天妒英才，太可惜了！
1702037656# #言行不一的美国政客们。。。
1701491917# #人情世故本就复杂，自己也不是全能的，跟着自己的心走就行
1702112869# #我说过，一个人一辈子都没得罪过几个人，也太失败了。
1700374178# #哈哈
1701735704# #这种条件也不算太高吧，估计最多二三百年就能遇见一两个呢！希望她有耐心哈哈哈哈哈哈
1702075890# #今天是2023年12月09日，农历癸卯年十月廿七（辛丑🐮日），今日冲羊财神正东，今日为黑道日。今天宜穿白色，银色上衣最佳；次吉为黄色，咖啡色为比肩。宜祭祀研习悟道亲民攻坚纳采纳畜厨艺求医治病解除理发修甲保养；忌嫁娶移徙忌割蜜酿酒成人礼。鼠利培养感情，贵人助力，牛宜循
1701061553# #goodgoodgood
1701906526# #晨间吟。文/郝悦盛。。旭日东升拨迷雾，。一轮红日照枯树。。枯枝风中默无声，。新叶来春必发出。。。作于癸卯年十月廿四（西元2023年11月06日）
1703722297# #冰海沉船
1702899255# #睡前不喝水允悲科学提示睡前喝点温水促进血液稀释循环，还能带来整晚的皮肤润泽。你这拖后腿的负能量。
1701503776# #分别3个，5g15g
1700699470# #通篇造谣文。。事实是该女子在家中开什么PA,惹恼了邻居被举报的。被查证共与十多个男的上床吐吐吐流氓罪是1979年设立事情发生在1983年
1701382257# #今天是2023年12月1日农历癸卯年十月十九（癸巳🐍日），今日冲猪，财神正南方，今日为黑道日。今日宜穿黄色，焦糖色，咖啡色上衣较好，为大吉。次吉，穿红色，玫红色，紫色，粉色，桔红色。宜祭祀祈福契约观测纳财悟道养生安床恩赦亲民废旧整顿革新治病手术求子出远门宜注意保全财
1700747632# #我以为那个粉色的是她本身这件衣服的肩带，但我之前看花少，她有几个镜头，胸型真的绝
1700349277# #1
1702426219# #这哪是访问。这是回家看看，去海滩晒晒太阳。
1700750007# #那些旧社会势力大头都集中在上海，只是失去了原来的势力，没死他们就想着东山再起
1700362584# #喜歡💕
1700524063# #林间感悟。文/郝悦盛。。独立林间望蓝天，。幸而偶得半日闲。。浩瀚蓝天观不透，。难测人情长与短。。。作于癸卯年十月初八（西元2023年11月20日）
1700360905# #一个男人，不想和你继续走下去，不值得消耗，趁早远离，才能避免更大的伤害。
1700498914# #未来新秩序格局下将会是一个打破偏见和傲慢的世界，不会再由某几个国家和民族定义“文明”，我相信很快就可以看到了吹风车
1703109662# #今天是2023年12月21日，农历癸卯年冬月初九（癸丑🐮日）今日冲羊，财神正南，今天为黄道吉日，大吉大利。今日穿白色上衣为最佳，次吉穿黄色，焦糖色，咖啡色。宜祭祀出行契约纳财赴任订盟理发求医治病栽种求子相亲；忌争吵成人礼忌结婚搬家。鼠快乐，大吉大利，牛宜平常心，防小人，
1700499165# #刚又看到六公主的发声，我对于这件复杂的事，凌乱了，看来有人很急啊，由内而外，反正至少达到了一个目的，乱。敌人太高明，我不管是去看，还是不去看，我都参与了，那就让你看看我肚里到底有几碗粉(没门)。没有非黑即白，它就是要把这事整灰
1700788911# #有的，我看到过一个老头从40度到零下十度，除了春节全年无休。能根据肉眼判断选择中文和英文允悲而且好像也不是很在意钱（没有二维码收款）
1700699904# #海盗永远是海盗，跟海盗打交道，手中得有打狗棒！！！永远不要怀疑海盗的歹毒！！！
1700747406# #战斗天使阿丽塔！
1703810247# #不可能这么打的，这是哪个十年脑血栓的高人想出来的招
1701821953# #是的，会有很多人活到99good
1700551829# #有人说只有女人才知道孩子的父亲是谁，可有时女人也不知道孩子的父亲到底是谁
1703721971# #寒冬月夜。文/郝悦盛。。白云朵朵嵌明月，。朵朵白云似花蝶。。忽隐忽现月光圈，。起伏跌宕人生乐。。。注解：乐念yuè。。。作于癸卯年冬月十五。（西元2023年12月27日）
1700438202# #世界很大，圈子很小，江湖很乱。good
1701391557# #潘先生的马🦶还是露出来了，最近又是房地产企稳又是金融开放的言论，终于暴露无余。
1700499033# #这也是一种意义上的，去祖国最需要我们的地方。
1701494250# #转发微博
1700372196# #毕竟再给儿子娶一房不得几十万？再者，女人为他家生育了两娃，公婆不忍心啊，出了月子希望她老公能够快快跟她离婚吧
1700553532# #最美奋斗者竟是天下第一恶人这可不是罗刹海市嘛
1700361016# #凡事，撞破南(难)墙，才知回头(放下)。
1701472558# #基辛格也许是美国最了解中国的政客没有之一蜡烛
1700552248# #近期刚和导师一起完成了论文吃惊该不会…？！
1700350375# #玩弄幼女还能这么清新脱俗的洗成一往情深？
