1581140632# #挖鼻
1675346308# #最佳损友集合那些最佳损友集锦……哈哈哈哈哈哈哈哈
1649036315# #挖鼻挖鼻挖鼻
1668841963# #挖鼻挖鼻挖鼻挖鼻
1702700560# #专家称养娃难可暂时求助亲戚。。女子疑因生活压力大在母亲墓地轻生。。妻子声称吞服了大量药物并驾车外出，搜寻的过程中，民辅警们发现了王女士的车辆，停在墓地附近。。。。。。这两条新闻可以对比着看，感慨庙堂之高，唏嘘基层之苦。。。。。
1636594792# #众生苦，但不知道个中缘由解脱门径，这才是最大的苦。。。
1645166330# #挖鼻
1620638987# #笑cry笑cry笑cry笑cry
1693963517# #男子使用12钩串非法钓鱼被刑拘。2018年4月，梁子湖实施为期十年的禁捕。。9月1日，派出所副所长熊昆带队从凌晨蹲守至早晨6点，查获一名使用12钩串非法钓鱼嫌疑人程某某，现场收缴渔获物3条，鱼竿1根、塑料桶1个。程某某目前因涉嫌非法捕捞已被江夏警方刑拘。。----那三条小鱼的死亡为促进依法治国从
1691848701# #医院院长副院长被查后痛哭忏悔多少人还记得新冠肆虐那几年，身后35家核酸公司，20+岁的年轻有为张珊珊…………？这些妖魔鬼怪这次会不会现出原形？。陕西医疗反腐已处理937人。图文无关
1635813630# #闭嘴闭嘴闭嘴闭嘴
1561416006# #doge。。。。。。。
1582410895# #杜雨露先生去世表演艺术家杜雨露先生因为肺癌去世…………表演功底很好的演员！
1698843687# #一张照片讲讲此刻的故事这是一条很少人走的偏僻小径，没有喧嚣歌唱，没有车水马龙，没有相谈甚欢。它却让我想到很多。每个人都要经历出生，成长，强壮，继而衰老死亡……。从出生到死亡，不同的起点，相同的终点，选择的路不同，经历所见所感也不同，没有人能够替代你，你始终是独一无二的！人
1698746442# #女子疑因cos低俗内容被警方带离现场允悲允悲允悲。。。。。这个。。。。。竟无言以对。
1699004191# #纪检干部被妻子举报婚内出轨巨额财产来源不明。反腐工作中，原配小三起到了巨大作用。。。。挖鼻挖鼻挖鼻挖鼻。。。。纪检干部被妻子举报婚内出轨4年内有1012万入账
1685576762# #毕节涉记者治安案件3人被行拘一个派出所副所长带两个辅警开车拦截殴打…………。那么，不惜以警察身份介入其中着便衣殴打记者……有些人在隐瞒什么？为什么这么惧怕大家知道真相？
1658190966# #转发微博
1675553336# #一只懂事的狗子。
1656043410# #为了有更多韭菜不动真格的不行。。。。。
1648764397# #挖鼻挖鼻挖鼻挖鼻
1577490678# #可爱可爱可爱可爱
1703327461# #挖鼻挖鼻
1699424855# #中山二院癌症患者家属称确实被踢出群聊一号出病理，二号就踢人。。。。。这就是代表着中国一流大学附属医院的学者在自己学生利益受损课题可能出现事故时所表现出的丑陋嘴脸！。除了自己的那点利益，指望这样的人在民族大义面前有担当？。保护当事人隐私图片已打码处理
1625297828# #建都金陵后到去世一共出宫过几次？就连我们的高祖还南巡过几次呢！思考思考
1673252714# #国内乐器制造基地世界90%的古筝面板产自开封兰考，北朱雀南敦煌，也没办法离开这里的泡桐木材；泰州黄桥镇生产了世界总量的30%，全国总量的70%的提琴。图片中是国内有影响力的乐器生产基地。
1629442123# #挖鼻挖鼻挖鼻挖鼻
1698292178# #警方通报女徒弟当街杀死男师父两人人先是当街争吵，声音颇大，引起了周围人注意。争吵不断升级，女子突然从包中掏出一把尖刀，快速向男子捅去，男子惨叫一声后倒地，挣扎几下后没有了动静。事后女子拨打了男子家属的电话，对家属说：“还跟我较劲，我许你团圆，我已经把他杀了，不是他死就是我死
1627692188# #挖鼻挖鼻挖鼻挖鼻
1697462115# #美国军方14日宣布向中东地区部署F-15E等战机。。。关于F-15E。。F-15E被称为打击鹰，是美国空军经典战斗机F-15“鹰”的改进型双座超音速战斗轰炸机，兼具对地攻击和空战，称为双重任务战斗机。同时，它也是目前美国空军现役速度最快的战斗机。。。F-15E装备有先进的雷达和导弹系统，拥有6个挂架，可携带
1610362440# #一座座高楼拔地而起，你们盖这房子是让人住的？主管部门怎么验收的？如果是质量有问题对这一层以上的几百住户都有安全隐患性命之忧，那够得上杀头了吧？
1633904978# #不同食品传入中国的大致时间不同食品传入中国的时间。
1698280440# #女徒弟当街杀害男师父自首湖南湘西。。二人先是当街争吵，声音颇大，引起了周围人注意。争吵不断升级，女子突然从包中掏出一把尖刀，快速向男子捅去，男子惨叫一声后倒地，挣扎几下后没有了动静。事后女子拨打了男子家属的电话，对家属说：“还跟我较劲，我许你团圆，我已经把他杀了，不是他死就是我
1701958606# #北宋时的UFO。。UFO在古代多个朝代典籍都有记载，苏轼沈括等都曾见过。公元1020年前后，UFO飞临东京，街上百姓对这个形状像帽子不带翅膀却能飞来飞去又会发光(应该是喷火焰)的东西很好奇，众人称呼其为帽妖。
1675327418# #发布了头条文章：《苏珊米勒2023年12星座年度运势--访谈版》
1683036900# #少年功夫少年练家子，也是虎虎生风…………
1696913376# #北极鲶鱼爷爷违法违纪所得被收缴经过半年多的不断角力，这条鲶鱼终于浮出水面。。。。。还仅仅是退休多年的市级交通局下属分局的一位局长而已！。权力监督反腐有多难，都看到了吧。。北极鲶鱼爷爷被开除党籍钟庚赐
1673235063# #1978年上映的醉拳，现在看起来动作表演故事可能已经跟不上时代，但当时却开创了功夫喜剧这一全新的电影类别，而且影响了成龙个人的演艺生涯甚至人生走向。上映后大获成功票房年度第二，让他彻底打消了适不适合吃电影行业这碗饭的疑虑，也彻底摘掉了票房毒药的帽子，成为各家电影公司争抢的对象。
1688304868# #网友：大爷工作都热中暑了有高温补贴吗？户外做事，如果单纯的中暑没有其他疾病，藿香正气水时不时喝一支，越便宜的效果越好。
1698288235# #陈坤同款高端全场景厨电揭秘以前，小家很简单，煤炉炒锅等简单几件东东就解决了。现在随着生活内容的丰富，我们对食物要求更高，需要用到的厨具也翻着番的增加。。厨房到处都是炒锅，汤锅，饼铛，料理机，咖啡机，电烤箱，微波炉…………你的心情会怎样？解决这一团乱糟糟的场景和麻烦，一体式厨房是
1636527234# #挖鼻挖鼻挖鼻挖鼻
1669029822# #挖鼻挖鼻
1635382944# #思考思考思考思考
1687513413# #董事长开车进长城被拒强拆大门。把有些人内心的自私蛮横自以为是。。。。发挥到了极致！官商好友平常有几个官员狐朋狗友马上就不一样就以为高人一等了！
1684234265# #李小琳女士与她的独生女李琳暄。她的丈夫为刘智源(老一辈革命家宁都起义参与者刘伯坚之孙)。
1702787224# #商贩用鬼秤成年男子上秤不足60斤碰上别人卖的还是紫铜，价值远高于普通废旧物品！一把一万多，老板喜提刑拘。。。。。。如果是普通价值废旧物品，价值不高，即使报警也是不疼不痒的行拘几天。
1654821201# #挖鼻挖鼻挖鼻挖鼻
1698923170# #发布了头条文章：《苏珊米勒2023年11月运势--巨蟹座》
1703115067# #网传爱尔眼科一医生捶击患者头部医生食品餐饮幼儿园老师老人看护…………有些行业不是是个人就能做的，应该有严格的行业人员准入制度。。出现一个类似的心理残疾患者，TA工作的对象就有得受了！
1629765502# #这已经对别人生命造成很大影响了而且是故意的！那个地方官府为什么突然这样宽容？
1627261595# #挖鼻.....
1671152361# #买不到药的情况下这些中医小技巧很有用。
1627523829# #学校接触人环境比较单一，刚从学校出来时候我们都很单纯，经过社会的熏陶洗礼，慢慢的变成现在这样。。。。。
1653785442# #挖鼻挖鼻
1648113209# #幼儿园小学食堂的承包，高职大学生实习的工厂。。。。。教育行业商业化越来越严重成了部分人眼里雁过拔毛的唐僧肉！
1702951575# #青海地震灾区救援现场。。消防官兵昨晚就已经在连夜救援。。。。。。。亲历者哭诉差点没跑出去国家卫健委派工作组赴甘肃
1681007236# #这几个都容易操作。。。。
1697239451# #潮州市副市长林文锋被查。。据广东省纪委13日：潮州市委常委、市政府副市长林文锋涉嫌严重违纪违法，目前正接受广东省纪委监委纪律审查和监察调查。。。2020年9月，林文锋任潮州市副市长，2022年1月任潮州市委常委、常务副市长至今。这也是这座城市6月份市长被查后又一位市长被查。。。2023年6月，潮州市原市
1645441541# #挖鼻挖鼻挖鼻
1695684654# #亚运会期间的马云。。正如那篇课文里所写的，青蛙的鼓噪蝉鸣，热闹喧嚣是他们的…………
1700880399# #中基协要求从业人员不得炫富中基协要求从业人员不得随意跳槽不得炫富。。。。。。网友：这规定跟要求官员不得贪腐，官商子女要低调不要在自媒体平台随意发言有异曲同工之妙。。。。
1694153026# #朝鲜第一艘战术核攻击潜艇下水。。朝中社8日报道，朝鲜首艘战术核攻击潜艇入水典礼6日举行，朝鲜劳动党总书记、朝鲜国务委员长金正恩出席活动。。。第一艘战术核攻击潜艇第841号被移交给朝鲜海军东海舰队所属有关水下舰艇战队，并被命名为“金君玉英雄”号。。朝鲜核潜艇朝鲜第一艘核潜艇
1602912848# #那只猫咪都比你强！反过来就是博主畜牲不如！
1700645611# #网曝湖北一村占良田强装光伏21日，湖北黄冈。网曝黄梅县孔垄镇方畈村占用良田强行安装光伏。11孔垄镇人民政府工作人员介绍，光伏项目是黄梅县政府统筹安排的，去年就开始了，孔垄镇目前有1000多亩的任务…………。。网友：舍弃粮食装光伏……扎着脖子挣GDP，这不是舍本逐末吗？
1696462225# #辽宁西柳“优秀教师”任x娴火了。。优秀教师评选本来是正常的小事，可是辽宁西柳这次优秀教师评选却引起不小争议，其中年轻貌美女教师任x娴被爆料经常陪领导"加夜班"，而且还是夜店常客…………曝光的聊天记录尺度有点大。。这样一心经营与领导关系的教师适合评为优秀教师？对兢兢业业全身心投入教学的其
1603624117# #思考思考思考思考
1580981860# #关键时候才知道你的重要有些人有些事特殊时候你才知道对方的重要。河南长垣，一个小县城，日产口罩165.7万个，其中医用外科口罩105万个，医用防护口罩3.5万个，一次性医用口罩56.2万个。其覆盖率，在全国达到了75%，销售量更占据了全国市场的50%。。。。为支援武汉疫情不涨价，生产一天亏三五万。
1611567630# #挖鼻挖鼻
1628492746# #可爱
1606608998# #唉。。。。。妨碍到谁了？即使低俗把精力放在防止出现下一个马大师/反思检讨是谁培养出了滋生马大师们的土壤才是根本吧。
1632907751# #作接着作。。。。汗汗
1681047970# #高手在民间高手在民间集锦上。一不小心用一碗粉丝织了一片毛衣。专业技能，危险动作切勿模仿。
1692698766# #落马副部肖毅贪1.25亿被判无期1.25亿，而且还只是能够数字化账面上的数字。给企业行业国家造成的隐性损失伤害没有计入情况下。。无期徒刑，过段时间没有再犯，就可以减刑，年龄大了难免身体有个大病小灾，再申请个保外就医。。。。。基本上牢里清净若干年换来三代锦衣玉食。。保护当事人隐私
1700708593# #疑因提及刑讯逼供律师被法院赶出法庭。河北枣强县。20日，因向被告人提及刑讯逼供问题，多名律师被河北省枣强县法院法官赶出法庭。刑讯逼供的话题也仍属于“禁区”。。。。。。网友：如果刑讯逼供都不能提，那么屈打成招也就成了理所当然。。。。在很多地方还是领导的人治大过法治。。
1697803272# #属于我的发光时刻无论生活中还是在职场，一个人的自信至关重要！容光焕发光彩照人才更能随时随地迎来自己发光时刻！感染力亲和力和谐搭配更具有说服力！。经常读读书，体悟人生，让自己秀外慧中；生活闲暇多用新鲜果片覆膜，让整日暴露在空气中的皮肤喝足营养。再加上whoo贴心的产品配方，选择适合
1702352143# #饭店老板称遭事业单位拖欠餐费24年。。湖北黄冈市民李乾坤向记者求助，说自己遭红安县物资局七里物资公司欠款餐费58320元，追讨二十多年未果。有欠条有公章就是难兑付。。。。。。。网友：想问，如果老百姓欠当地政府税款也能拖二十多年不解决？会不会早就采取行政手段雷厉风行马上解决了？
1633301815# #居民收入/电水气价比才是根本！单纯比绝对价格没有意义！
1632529315# #思考思考思考思考
1699685516# #又是歪果仁从中在挑拨官商关系破坏和谐融洽的社会氛围！如果不挑出来，学生有学上，开发商有房卖，当地有税收。。。多赢！
1696033306# #长大后最恐怖的事情之一长大后，眼睁睁看着自己在重复父辈的路…………
1611030965# #欠的终究要还的。。做人不可以做太绝！
1671325383# #星球上最成功的80后！韩国朝鲜GDP1.6W亿美元300亿美元。。。
1616908590# #有枪的人就是任性！挖鼻挖鼻
1700295286# #吞剑表演大型车祸现场。。。。。。哈哈哈哈哈哈哈哈。一直以为是利用口腔咽喉胃部直通功能插下去的！原来是这样。。。。汗汗汗汗
1674704372# #绳镖功夫行内有月棍年刀一辈子枪之说，形容兵器的难易程度。但软兵刃是各种兵器中最难练的。视频是1981年功夫名师刘忠良展示绳镖功夫的视频资料。与软兵器相关的电影不多，一刀倾城是其中一部。
1692967977# #挖鼻挖鼻挖鼻
1604808085# #鼓掌鼓掌
1634821767# #现在作恶的成本太低机会太容易了！做正面的事反而阻碍重重让人如履薄冰……汗汗
1702391145# #贾静雯。。倚天屠龙记，当时30岁不到。
1616041228# #是有心机坏女人做网敲诈勒索捞取利益还是有人利用公权力作为资源要挟玩弄女下属，要调查清楚，当地检方越殂代疱做法有欲盖弥彰嫌疑！女权婊勿扰我。
1699020758# #周铁农同志逝世1941年前后，重庆，一防空洞中就餐。右方为蒋中正。。。民革的始源，算是简单科普吧。
1603978796# #太开心太开心
1694094662# #教育哪里还有教育的样子！有些人眼里都成了生意飞过去一只苍蝇都要拔下一条腿！把孩子培养得越来越功利越来越势利！
1620520183# #挖鼻挖鼻挖鼻挖鼻
1696673572# #央视主持人张泽群实名举报朝阳区法院终于站出来一个办实事的人大代表！顶你！。以往更多的是看到有些人利用人大代表的特殊身份作威作福横行霸道而已！。张泽群
1597149192# #太开心太开心太开心太开心
1703048425# #2名技校男生互相怂恿强奸醉酒女生获刑小华和小明。。。。。。在客厅通过微信互相怂恿对方与酒醉的小芳发生性关系。。。。。。。小华和小明。。。。。。上次与这两个小伙伴见面还是在小学课本上，这么多年他们长大了没想到还变成了坏人。。。。。失望失望
1684207584# #这个职业玩熟了临场反应能力真牛掰。哈哈哈哈哈哈哈哈
1675346443# #游乐场社死现场游乐场社死集锦。汗汗汗汗允悲允悲允悲允悲……
1606358564# #汗汗汗汗
1659510646# #都是人民安居乐业社会和谐稳定官民关系紧密融洽的世界闻名国家！挖鼻挖鼻挖鼻
1617781608# #处处设圈套处处有陷阱。。。。唉！
1632367779# #职能部门真能切实负责管好锂电池生产企业，电动车生产企业，工商部门管好市场流通领域，给老百姓提供一个安全规范的买卖市场，比在下游一个劲的跟普通老百姓较劲严禁这样严禁那样要有用的多！更有意义！
1678094236# #具体哪个部门负责不方便讲。。。。。这样四肢健全心理扭曲的变态走向社会把毒手伸向身边同事周围无辜人时候你能负责？为了一些领导的颜面连基本的良知德道都不要！！@上海科技大学
1697802585# #今年双11终于不用凑单了网购是节约时间精力提升效率的好办法！而越来越多的网络新势力的加入也让注重网购的群体有了更多的选择余地。。这不，双11快到了，抖音就已经开始活动，而且不用绞尽脑汁斟酌要买多少东西攒一起能省多少。一件都有减，大额物品还有平台补贴。具体详情移步官网了解。凑单，
1609198192# #这个。。。狗尾续貂会不会侮辱这个成语？
1677755058# #挖鼻挖鼻
1673227133# #发布了头条文章：《萨丽2023十二星座年度运程--天秤座》
1673227259# #发布了头条文章：《萨丽2023十二星座年度运程--天蝎座》
1703045007# #唐山一殡仪馆分高低档炉火化引质疑以前看到新闻，骨灰盒分各种档次，推销的强卖的，道德绑架孝不孝顺等。。。。。现在好了，挂了连烧的炉子也要分个三六九等。
1674640959# #挖鼻
1651210030# #挖鼻挖鼻挖鼻挖鼻
1693143940# #MIUI15。下图是小米MIUI15的效果图。。外观改变不大，图标边缘更圆润一点。为操控续航考虑，内部改动简化不少。。即将到来的红米Note13系列将会搭载新系统。。6.67的OLED屏，4880和5020毫安电池。。主摄2亿+三星的传感器。。副摄传感器来自索尼。。小米手机
1703144431# #王菲近照。。王菲，被称为华语乐坛天后。王菲
1612241520# #一家直辖市杂志向一个省作协主席的家属开火。。。这个。。有点尴尬！背后有故事的吧！毕竟贾公主混文学圈也不是一天两天了这家杂志今年才看到贾公主的诗作？挖鼻挖鼻
1700043815# #200-300……挖鼻挖鼻挖鼻挖鼻……
1591005747# #面对骚扰无端欺辱后不能自卫要忍着喊警察来和稀泥？如果不爆发更激烈的冲突一点小事警察会管吗？
1634104161# #不能说是这个时代的特色，却无疑成为一个这个时代的鲜明注脚。。。
1628151417# #坚持了20多年的饭店，没有被税收拆迁地痞竞争对手。。。。干倒，最后被一些人的白条干倒了。。。。
1699264705# #保温杯底的贴纸不能撕只是一个纸质标签而已！有什么特别作用吗？
1702639277# #上海老人将房产送给水果摊主案判决。。法院判决：老人房屋及房屋内财物归刘某所有。。。。注：刘某即照顾老人的水果摊主。。太多人在血缘关系的掩盖下老人活着时候各种嫌弃，当作累赘，人没了盯着财产，不争到自己手里誓不罢休。。。。。上海老人将房产送给水果摊主案判决
1611449938# #浙江公务员称被单位领导殴打致残，事后曾收到22万现金义乌检察院系统公务员被领导殴打致残后从警方处收到22万“补助”并让他不要再追责。自己曾去财政局核实，政府无这笔费用支出，自己将。。。。问题的关键来了，这些钱来自哪里来自谁？作为调查者的警方在其中是什么作用？
1634025220# #个人行为？他这个已经明显个人品性有问题了！按照这个逻辑强奸犯偷人女性丝袜内衣的人盗窃有过处理的人品德有问题的人也能进公务员队伍喽？当地纪委在打瞌睡吗？
1671667472# #哼哼……自己队伍里的同志都不网开一面？停下职表示表示就行了。
1587546023# #可别啊！暴风影音播放器还是蛮好用的兼容性不错广告少。就是现在版权严格以后影音库里电影不多了。
1569037444# #身边有很多人类似的思维方式：我得不到的东西毁掉它别人也别想得到；自己过的不如意大家都别想好过。。。。这样下去过完这一生时候，你会给自己攒下一笔什么财富？
1685410192# #闭嘴闭嘴
1696936477# #北极鲶鱼纪委网站同时披露的与北极鲶鱼钟老头同时被查的这位李福民同志是干嘛的？拔出萝卜带出泥？。李福民，1964年生，江苏泰兴人，硕士研究生学历，1989年8月参加工作。。。他历任深圳市规划国土局土地投资开发中心总工程师、主任；。深圳市建筑工务署土地投资开发中心主任、总工程师；。深圳市光明
1684838394# #3名强奸未成年人罪犯被执行死刑2月份连云港三人把14岁女孩带进酒店强暴后致死一案有结果了吗？。。。。。。。
1546661579# #允悲。。。。。
1649111746# #汗汗汗汗
1671072835# #挖鼻挖鼻挖鼻挖鼻
1669934602# #挖鼻挖鼻挖鼻挖鼻挖鼻
1699239009# #天津助学金事件调查结果举报转回原单位自己查自己。。。。。惯用的处置手法。。。。。当事人称学校已告知助学金事件调查结果
1546307843# #2019年西历2019年1月1日，2019年的第一天。回头看去，我还在去年所站的地方，你们又在哪里？而明年的今天我们又会在哪里。。。。
1698674815# #女子吃完榴莲拿3个果核退换货安徽，女子吃完榴莲后拿着3个果核找水果店换榴莲：这次买的榴莲不好吃，肚子不舒服，赔榴莲…………。。鸟大了，什么林子都能看到！汗汗汗汗汗……。女子吃完榴莲拿3个果核找老板赔
1629252426# #泪泪泪泪
1695367479# #1公斤黄金价格已达47万有的倒霉蛋，以前以为总不能一直的涨，犹豫了十多年不敢进楼市，一进去，打折的优惠的就开始了；把资金投进股市，进入第二天股市就开始调整，满盘青翠；看到黄金一直涨，屡创新高，会不会一头扎进去第二天就降价。。。。
1609661004# #确定安全吗？有没有人试过
1703494179# #婚宴时酒店的吊顶突然坍塌。。人生意外无处不在。。。。。。汗汗汗汗。。。
1668843631# #为什么这类事情越来越多，越来越变态残暴。。。。。跟有些部门有些人的纵容失职不作为有直接联系！
1586677091# #可怜可怜可怜可怜
1703548300# #本溪花28亿外包环卫却除不干净雪总价是不低，但要看最终到一线环卫工人手里的有多少才是关键！没有多少人拿了钱拎着笤帚大街上磨洋工的。
1703238235# #男子胁迫前女友到洱海殉情。同生共死两情相悦还好，可是你强迫别人就有点。。。。。
1702951217# #蟊贼从国资委盗窃香烟26条有余，近半数为假烟。。陕西一国资委大楼被盗走26条名贵香烟案发一年后纪委介入调查。。18日，陕西韩城市检察院的一份起诉书引发关注。起诉书显示，韩城市国资委大楼在2022年8月23日凌晨遭遇盗窃案，其中2楼的一间办公室被盗走了26条名贵香烟。。。。。。盗走整条及零星名烟南京
1558429205# #二哈。。。。。
1702711395# #给住院婆婆吃泡面博主账号被封。。活该！怒怒怒怒。给住院婆婆吃泡面博主发声
1697543465# #在上班和上进之间选择了上山每一个父母对自己子女都是想同的爱，但每一个家庭却有自己不同的快乐！比如打羽毛球，周末一家人公园野餐，一起爬山……。我印象最深的是跟妈妈一家人一起捏泥人，最后还要摆一起看看谁捏的最协调最精致！大水牛，泥泥狗，大公鸡，小猪仔……那是童年记忆中最难忘的一部
1685523014# #杰克辣条张馨予聚众虐待动物售卖视频，被处理多次屡教不改！变本加厉要曝光别人隐私！…………难道真到了正不压邪的地步了吗？
1641038373# #思考思考思考思考思考
1595116969# #酸
1628467989# #思考思考思考思考
1628127649# #挖鼻挖鼻挖鼻挖鼻
1693544238# #95岁李嘉诚坐轮椅到寺庙七月十四日盂兰盆节，李嘉诚现身一寺庙，小33岁周凯旋陪伴，周周十多名西装革履保卫人员。。第三张为资料照。。李嘉诚，长期位居香港首富。以多次在商场风暴中先知先觉全身而退而闻名。。两子李泽楷李泽钜同样事业有成财富丰盈。。李嘉诚
1582248724# #思考思考思考思考
1700135243# #从士兵突击到三大队的20年士兵帮里邢佳栋范雷没有走红还是很惋惜的，都是实力派。。另一个角度也说明，在影视圈里，只有表演功底是不够的。。。。。。
1662274760# #挖鼻挖鼻挖鼻挖鼻
1686643861# #68岁香港演员居住浙江农村睡蚊帐下稻田在不少香港影视剧中，林威虽然只是以配角身份出镜，但论表演功底绝对在戏骨行列。。。。。。最近网友晒出林威的一组照片，住在浙江农村(定居还是赞助不清楚)，穿着汗衫大裤衩，一副农村大叔打扮不说，还睡土砖房挂蚊帐，还有自己的田地，时不时下地干农活！
1608766200# #评论区真的很搞笑太开心太开心
1572739289# #嗯哼……
1652228236# #一坨老垃圾……
1583627661# #落寞孤舟斜阳尽冷巢倦鸟归。。。。。
1698195429# #上海通报网传民警上门抓德牧就整个流浪动物处置管理来说。没有长效规范的管理机制，一窝蜂运动式的捕杀以暴制暴，只会制造矛盾增加社会戾气。。。。。。。与和谐社会文明城市背道而驰。。而且有网友反映，被粗暴打死德牧是退役警犬，当地官方应该正面回应这件事。卸磨杀驴过河拆桥，
1640685678# #微笑微笑微笑
1688268197# #在飞机上偶遇三只狗狗是三只救援犬！它们配得上这个航班！个人不反对跟它们做邻座甚至坐一起。
1593632065# #寂夜夜短梦长行人稀…………
1678113572# #我们都是这个世界的一部分我们都是这个世界的一部分，都有自己或大或小的爱和想法…………
1695710255# #女子想见领导被3名保安踩在脚下不仅仅是警察，现在连干部的看门保安都敢随意动手把群众踩在脚下了？。。如果一个国家族群形成了潜规则，金钱权势替代了道德和公理可以摆平一切的话，那这个国家族群的未来会怎样？这个族群成员无论阶层高低有谁会有安全感？终于明白那些落马高官和明星富豪
1619347251# #思考思考思考思考
1703031724# #泰国瑞幸向中国瑞幸索赔20亿元。19日，泰国皇家50R集团（50Rgroup)向法院正式提交诉讼，要求法庭判决中国瑞幸咖啡赔偿经济损失100亿泰铢（约合人民币20.46亿元），法院已立案受理。。。两家已经不是第一次交手了。
1640690206# #满脑袋包还差这一拳头么。。。。。。没想到啊老乡下手比想象中还狠！汗汗汗汗
1691985846# #医生薪酬改革艰难推进与此相对应的是，这么多年对中医中药体系的轻视和淡化。造成现在在很多方面，特别是在中药提纯药物成分细分功效研究方面已经落在了日本瑞典后边。是要重视的时候了。
1703119121# #女网红就涉甘肃地震言论道歉并捐款这副尊容，外皮丑陋一点也就算了，内心更丑陋就过分了！
