1694520535# #鞠婧祎
1688660590# #刘昊然原来穿的是高跟鞋哈哈哈哈….真的被他装到，帅气娱你安利
1701805867# #民歌都已经创新到这种地步了：突然就明白了山海关对东北人的意义娱乐
1702124568# #★杨幂★杨幂穿马面裙又是被国风幂美到的一天！综艺
1690900036# #.毛不易中毒太深
1694434848# #省流：蜘蛛抱腿
1689717111# #.终于等到周杰伦唱反方向的钟老铁们，终于可以再听周董唱《反方向的钟》是谁的DNA狠狠的动了～.周杰伦2023圆梦嘉年华
1694221187# #未来不设限，期待肖战未来的幕后创作！&nbsp;☞肖战&nbsp;&nbsp;☞演员&nbsp;&nbsp;☞娱你安利&nbsp;
1699657267# #☞任嘉伦：这么会谢☞综艺爆笑名场面☞综艺剪辑
1699359011# #懂瓜呱曾爆料说：瓜哥曝营销号内幕。！有营销号收钱帮艺人黑对家&nbsp;☞明星八卦&nbsp;☞爆料&nbsp;
1692357356# #★大熊猫和花★成都大熊猫繁育研究基地
1689385920# #回头看，轻舟已过万重山；向前看，长路漫漫亦灿灿长安三万里李白
1700626258# #很凶残但又不为人知的报复手段&nbsp;☞搞笑&nbsp;&nbsp;☞干货&nbsp;&nbsp;☞娱你安利&nbsp;
1703160443# #★铃响蓝朋友登场救命现在刷手机，一刷一个不吱声
1696588006# #笑不活啦，别的化妆品出现在专柜，太奶的化妆品出现在博物馆展柜，这波老祖宗同款必须get~★国货★美妆★商战
1701092583# #想快乐，就发疯！☞搞笑☞精神内耗☞娱你安利想法
1700973426# #拼尽全力解救回来的孩子，却给她带来更大的压力，真的好心疼...☞守护解放西☞母亲☞家庭
1697671258# #★曾舜晞田曦薇说公主请看剧我是公主，我要去看剧啦！★曾舜晞★田曦薇★田耕纪★搞笑
1689332625# #万万没想到还有这段历史&nbsp;魏大勋&nbsp;&nbsp;&nbsp;
1701873439# #有这么强分享欲的朋友你就偷着乐吧！★聊天记录★谢谢有被笑到★万万没想到★娱乐评论大赏亿点曝光计划
1697821046# #★汤唯★陈坤梦幻同框男神女神状态好好★汤唯陈坤同框
1698212147# #今年的愿望是在帅哥海里游泳！！！优质博文上热搜开放计划
1695703951# #☞黄晓明&nbsp;☞中餐厅&nbsp;
1700669087# #☞高瀚宇&nbsp;高瀚宇的去油指南，你希望哪位男明星来学习一下？☞披荆斩棘的哥哥&nbsp;
1700626743# #这就是清醒着沉沦吗☞上官浅宫尚角☞云之羽
1698561883# #☞王鹤棣的吃货本性根本藏不住不是在干饭就是在干饭的路上是天选小吃货没错了～☞王鹤棣☞搞笑☞娱乐☞演员☞电视剧☞女神☞男神☞明星☞综艺优质博文上热搜开放计划
1695270672# #☞贵州现代版家书抵万金谁懂啊！这纪录片我一整个爆哭！！！☞万事大集☞万事大集纪录片
1696125571# #★张凌赫六分钟直播笑点满满业务不熟练建议多直播几次下次就好了★张凌赫★直播★巴黎时装周
1689188153# #娱你安利明星娱乐创作季&nbsp;&nbsp;魏大勋减肥带来的
1696473331# #★韩国女队员模仿何冰娇含泪韩国队棒子的jian是融到骨子里了
1702525952# #王鹤棣新笑料！他怎么还写过霸总重生文啊！。★王鹤棣&nbsp;★以爱为营&nbsp;★潮流星创计划&nbsp;
1702857818# #★星光大赏男明星红毯来了！你觉得谁的状态最好~★男明星★红毯★帅哥
1695148528# #王宝强亲姐姐出演八角笼中，长得比宝强更像宝强！☞王宝强亲姐姐☞王宝强亲姐姐也演了八角笼中☞王宝强&nbsp;
1703072510# #好家伙送人去非洲修路，现在的综艺花样百出★杜华★综艺
1699190013# #懂瓜呱曾爆料说：喻言化身美人鱼拍大片，金发造型吊打迪士尼美人鱼？☞喻言&nbsp;&nbsp;☞the9喻言&nbsp;&nbsp;☞女明星&nbsp;
1698670525# #耶耶：吸一口变聪明！☞搞笑☞娱乐☞演员☞电视剧☞女神☞男神☞明星☞综艺优质博文上热搜开放计划
1699071206# #懂瓜呱曾爆料说：磕到真情侣了！某大热青春剧CP在一起了&nbsp;☞明星八卦&nbsp;&nbsp;☞爆料&nbsp;优质博文上热搜开放计划
1693964359# #☞夫胜宽☞seventeen☞演唱会所有人都在用力爱着我们小橘啊，胜宽要好好休息哦～
1702312668# #唔西迪西：你都不认识我你还买什么买！
1687521745# #懂瓜呱爆料说：女明星拍红毯出发照有多拼？李一桐&nbsp;
1690633587# #.罗云熙吴倩演过玱玹父母如果当初父亲没战死，或许玱玹也会有一个幸福美满的家庭吧.长相思.玱玹.罗云熙.吴倩
1690602751# #张子枫有黄老师和何老师背后的支持一定很好吧！.张子枫.黄磊
1699266591# #懂瓜呱曾爆料说：杨洋深夜跟好兄弟聚餐，连聚三场，相当重感情&nbsp;☞杨洋&nbsp;
1688345553# #与火力营导师一起为梦想而歌一直坚持一件事简直泰酷辣，一起期待优秀的于文华老师！火力营导师于文华期待发掘新人2023夏季盛典
1688639695# #你这大绿棒子多BT啊娱你安利搞笑
1701268621# #☞赤酱现场二次偷道具赤酱就是黄队的得力干将！☞2023春季盛典☞进阶吧主播明星
1688130075# #这些经典老歌每每被播放还是能触动人心&nbsp;致敬Beyond40周年&nbsp;&nbsp;Beyond乐队40周年又听到喜欢你&nbsp;&nbsp;娱你安利&nbsp;
1702500005# #等会儿那群破看文的和看破文的就来了★黄明昊justin★林一★娱乐评论大赏给视频加buff
1703227434# #呜呜呜又想骗我谈恋爱.情侣恋爱爱情cr：
1700679775# #&nbsp;☞董璇看女儿小酒窝走秀时的眼神&nbsp;&nbsp;全天下母亲看女儿的表情都一样，满满的爱意、超级关心、超级宠溺&nbsp;☞娱你相约&nbsp;
1704083867# #漫展人均显眼包我这样的精神状态可以加入吗？
1688097300# #李梓萌工作岗位上的楷模有种整容叫李梓萌娱乐评论大赏
1687818551# #周杰伦哥友会还在流浪哥友会首唱《还在流浪》哥友会首唱，不愧是周董，live依然这么稳！
1703059779# #如果在冬天你会选择养猫还是养狗？★小狗★猫咪★冬天★萌宠★动物的迷惑行为想法
1700689002# #冬天的室外婚礼好遭罪&nbsp;☞下雪&nbsp;&nbsp;☞冷&nbsp;&nbsp;☞婚礼&nbsp;
1688255889# #果然狗子是懂家庭地位的妈宝狗双标萌犬搞笑人情世故吃醋男主人娱乐评论大赏
1699100644# #懂瓜呱曾爆料说：明星半红不红，才是最舒心状态~&nbsp;☞徐若晗&nbsp;☞娱记今天爆了啥优质博文上热搜开放计划
1695137037# #还有谁不知道倍舒特也是有编制的☞倍舒特☞国货
1702399948# #骗骗姐们得了，别把自己骗了★社畜★搞笑&nbsp;★娱你安利&nbsp;
1687523389# #房东的猫新歌好风吹进生活里这个真的太有画面感了！单曲循环了！&nbsp;
1699031497# #懂瓜呱曾爆料说：李沁拍庆余年差点被热哭，嘟嘴发愁一脸痛苦面具&nbsp;☞李沁&nbsp;☞娱记今天爆了啥优质博文上热搜开放计划
1701669987# #我说真的要是因为这种原因被韩男抵制，我真觉得★seventeen太冤了吧！他们本来就没那个意思啊！★金珉奎★全圆佑微博vc计划
1702939010# #吴露可逃星光大赏上大分！★赵露思★吴磊★吴露可逃
1688015805# #在女推里看到了一个越来越强大的张艺凡女子推理社张艺凡综艺女生dou是综艺安利官
1699790253# #☞被周冬雨的撒娇可爱到当芒妈的犀利提问难倒☞电影热搜的主创们~☞周冬雨：芒果妈妈是吧，待会我们也狠狠反问你！！
1690650161# #质子团跳舞为费翔庆生，快乐是他们的，痛苦是俺们费爹的！.封神第一部.费翔.质子团
1687439637# #再见前任：黄宗泽胡杏儿体面到极致，最彻底的be莫过于此
1701784408# #★于野你能不能卖军大衣卷起来好哇速速卖军大衣再卷一头给视频加buff
1698204635# #这个身高差真的好甜，棣棣苏感爆棚啊！！优质博文上热搜开放计划
1689191742# #迪丽热巴花裙子造型。迪丽热巴娱你相约娱你安利
1694168399# #谢谢AI带你跨越次元来到我的身边☞二次元☞跨次元☞AI对话
1697125825# #我不行了，我真的要笑撅过去了★张真源。视频来源：肆月十六张真源。视频文案来源：-方折桂-
1697372254# #★周深打招呼时甩掉戒指周深，看着人还在实际已经走了一会儿了★周深★微博美好奇妙夜
1688929242# #我鹿哥鹿晗是怎么做到一起床就这么嗨的？我表示不理解！！陈赫邓超
1695755320# #blackpink成员除Lisa外续约进展顺利☞韩国女团热舞☞BLACKPINK☞blackpink粉墨
1687885699# #网友辣评陈哲远赵露思为抠牙夫妇，不要太损哈哈哈哈
1695729232# #真的好可爱呀☞儿童马术&nbsp;☞骑马&nbsp;☞娱你安利&nbsp;
1695534449# #当年陈明的一首快乐老家真的脍炙人口☞陈明☞娱你相约☞娱你安利
1700659821# #白鹿答应给粉丝跳舞真的做到了☞白鹿☞姜雪宁☞宁安如梦
1694962765# #合理怀疑stf这句多少带点私人感情了☞时代少年团☞娱你安利☞搞笑
1703085998# #我要亲死宋江！！！！！★宋江★宋江日本粉丝见面会
1696823990# #★田嘉瑞在丞磊怀里嘤嘤嘤丞磊你小子嘴角比ak还难压★田嘉瑞★丞磊
1702742313# #短暂地拥有了一段学生时代的共同记忆～★文俊辉★崔然竣★章昊★明宰铉微博vc计划
1690307408# #谁帮我拿个蓉宝？！？.成都.全世界大学生运动会.娱你安利
1689137811# #梁朝伟年轻时旧照，突然就get到了为啥好多网友说朱一龙像梁朝伟，大家感觉像吗？网红娱你安利
1700639875# #☞当国风遇上流行有多燃国风融入流行，这舞台真的燃炸！☞2023盛夏巅峰之夜☞2023夏季盛典
1687820007# #盘点人类幼崽的爆笑瞬间，哈哈哈太可爱了萌娃人类幼崽到底有多可爱萌娃搞笑日常童言无忌
1702001643# #★blackpink全体续约后，★Lisa和★金智秀被偶遇一起逛街买衣服，金智秀看起来十分开心给视频加buff
1688448436# #懂瓜呱爆料说：江疏影粉色长裙气质佳。江疏影GQCreative灵感派对GQ创意红毯
1694462037# #☞刘畊宏这种老公都是谁在谈。刘畊宏你别太爱了。之前跟着刘畊宏跳操的时候，就发现他好宠v...☞娱乐评论大赏
1690245939# #.马嘉祺猎人《爱人错过》
1698752543# #懂瓜呱曾爆料说：周也拿手机跟狗仔对着拍！臭脸拽姐气场挡不住！☞周也优质博文上热搜开放计划
1704384222# #勇敢的粉丝先享受世界~湖南卫视跨年晚会王一博
1699185008# #懂瓜呱曾爆料说：现场直播狗仔怎么偷拍艺人的！遇到谁，就上去给你们要签名照！今晚八点，到微博懂瓜呱直播间，带大家一起体验一把狗仔视角！☞明星八卦&nbsp;☞爆料&nbsp;☞娱记今天爆了啥
1688967188# #真的希望作为演员的魏大勋有一天能发光发亮大红大紫魏大勋魏大勋说不录综艺没人找他演戏
1693904273# #怎么现在还会有人把婚闹当成玩笑？☞王睡睡张硕因婚闹至今未领证☞再见爱人☞综艺
1688683416# #赵露思是懂我们想看什么的，偷偷有你们了不起偷偷藏不住娱乐评论大赏
1688162404# #极限挑战第9季黄晓明努力的融入年轻人的世界却融入不进去岳云鹏张艺凡综艺
1694885718# #蒜轩药翔两个人在互联网好忙碌&nbsp;☞宋亚轩&nbsp;&nbsp;☞严浩翔&nbsp;&nbsp;☞时代少年团&nbsp;
1697798638# #★古代有自己的离婚冷静期家人们谁懂啊，扬到一半的嘴角突然僵住，怎么哪里都逃不掉离婚冷静期！
1693969532# #多年后“出去吃饭吗？”“好啊，mua~☞娱你安利
1695790105# #头顶一块布在亚运会有多豪横！
1704221634# #善良的人没有被真心对待娱乐评论大赏无人机破防了善良人性
1700635968# #刘雯vs何穗vs奚梦瑶同台走秀，谁才是维密第一国模，你觉得谁更好看！☞刘雯何穗奚梦瑶走秀☞维密超模
1701274072# #撒老师：这个杠我必须抬！☞撒贝宁☞康辉优质博文上热搜开放计划
1702313386# #★王牌对王牌第8季★沈腾不老舞团★关晓彤丘比特之箭★综艺★杨迪★宋亚轩
1700898233# #Vocal，要不要这么会建议。&nbsp;☞娱你安利&nbsp;☞大学生☞炸裂&nbsp;
1688098654# #不懂就问，李承铉这样的好男人去哪找啊·····戚薇&nbsp;李承铉&nbsp;用最狠的语气说最怂的话&nbsp;
1696480031# #卢昱晓是天生的公路文女主吧！★卢昱晓公路文女主★娱乐评论大赏★松弛感
1701581389# #跟着00后小孩哥学生发★生发★米诺地尔酊★生发液投票
1698018640# #不要轻易挑战江西菜，不然你一定会被辣哭！★江西菜★江西菜到底有多辣★江西的辣不是一般的辣★辣
1693513510# #花花：又不是吃你们，我200要你们管，哼☞花花成大熊猫届顶流☞关爱国宝大熊猫🐼🐼🐼☞不止我一个想rua大熊猫
1697663175# #手动艾特一下我那已经睡了的老板🤫★打工人★老板★搞笑
1700772859# #天呐他懂事的让人心疼！这么小就要压抑自己的感情......芒妈爆哭！☞泪目优质博文上热搜开放计划
1687794116# #你见过孙颖莎打球前的热身动作吗？最后的球台压腿动作挺别致啊！孙颖莎微博乒乓焕新计划
1687707509# #狗仔集体曝料真顶流大瓜，这几个关键词其中一个，你猜到了吗？
1690422455# #这葡萄看着都酸.周深.赵露思.杨颖.白鹿.奔跑吧第6季.综艺
1692281382# #一个让姜爷爷佩服的女人，爱宝的中国奶妈，最后姜爷爷给她竖起大拇指，她害羞了★来这吸熊猫★一方水土养一方熊猫★不止我一个想rua大熊猫
1690601995# #被死猪盯上了！谁来救救我！.猪猪侠.解压玩具.捏捏乐
1689461089# #共情能力过高的人往往会感受到双倍痛苦&nbsp;&nbsp;.情感&nbsp;&nbsp;.娱你安利&nbsp;
1703947664# #我不是傻秦海璐娱你安利
1688113486# #终于知道拿铁为什么叫拿铁了咖啡拿铁推给大数据
1690451493# #女生进入镜头的那一瞬间日漫感拉满.氛围感.烟花.日本花火大会.纯爱.日漫
1699764246# #笑拥了，癫公颠婆一天到晚使不完的牛劲☞刘恺威肘击☞颖儿☞搞笑
1689844225# #B站最高礼仪高低是给我们孟总安排上了.魏大勋.魏大勋的弹幕排面
1698720026# #懂瓜呱曾爆料说：刘昊然拍广告苏感爆棚，难怪周冬雨她超爱！☞刘昊然&nbsp;优质博文上热搜开放计划
1695515019# #☞天津杰迷一路从地铁唱到演唱会&nbsp;周杰伦的力量是强大的，歌声的力量也是！杰迷们激动地在列车上唱歌完全是青春的样子！&nbsp;☞周杰伦&nbsp;
1702003464# #★旅行在最好的年纪去做自己最喜欢的事情！努力挣钱吧各位！！！★极光&nbsp;&nbsp;★娱你安利&nbsp;&nbsp;投票
1697636496# #后空翻小猫算什么，我们可是会说晚安的猫咪！★娱乐评论大赏★万万没想到★猫咪★喵星人★萌宠
1702055500# #你看着他，我看着你★宋亚轩★追星★陶喆娱乐
1702602094# #你呢？你想跟三年后的自己说什么呢？★三年后★说一句话
1704116128# #自我感觉彩排比现场好听，最后那个笑我真的没了，啊啊啊啊魏大勋我会等跨年
1700621413# #见过书上“外面的世界”，怎么可能“不想上学”呢…☞张桂梅☞知识改变命运
1702636946# #★黑暗荣耀★太阳的后裔30秒文学，死去的cp开始攻击我★双宋cp给视频加buff
1702138103# #真的好笑啊★邓超★娱你安利综艺
1700905771# #《》李幼斌、何政军、张光北、张桐重聚！好久不见的名场面！
1697111754# #他俩一直都很甜蜜啊~★苗苗★郑恺
1687795344# #出道零绯闻不是没有原因的，这就是养成系天花板的自觉性吧王俊凯王源易烊千玺tfboys人间清醒
1702766924# #好离谱啊，普通人和★张元英站在一起真的有壁。。综艺
1700769254# #好漂亮啊☞倪妮☞明星安利快剪手日常
1698761920# #懂瓜呱曾爆料说：胡歌隐婚生子，老婆身份曝光！除了胡歌，2023年内娱还有仨孩子待曝光！☞胡歌&nbsp;优质博文上热搜开放计划
1700640841# #21年前的电视剧台词这么大胆的吗☞百花教☞电视剧台词☞大醉侠
1702571884# #其他猫：假的，我们猫咪不可能干活儿的！&nbsp;&nbsp;★娱你安利&nbsp;
1696307001# #看到土豆出镜的瞬间我真的笑喷了哈哈哈哈哈哈哈！我说土豆哥你现在是真的火了啊，我们今天欢聚在这里就是为了庆祝土豆哥第一次出镜（bushi）★时代峰峻★tf家族
1698317499# #怎么回事儿我的八离世家cp这么快就be了☞韩安冉☞汪峰☞娱你安利&nbsp;☞搞笑☞娱乐☞演员☞电视剧☞女神☞男神☞明星☞综艺优质博文上热搜开放计划
1692680310# #坏消息：今天星期一。★冒个泡刷下存在感★关爱国宝大熊猫★大熊猫和花
1703821288# #杨超越想成立修图工作室摄影界需要你！！超越妹妹！！！摄影杨超越超机智青年大会蒲熠星杨超越想成立修图工作室
1690983142# #今天抱这个树好舒服啊，哪也不想去了
1696982695# #于文亮记录的也正是每一个平凡而又积极向上的我们★于文亮★于文亮为什么火了
1701970544# #听完格局瞬间打开，吃亏这个福让别人去享吧！★清醒★感悟★阅历★拒绝内耗★拒绝焦虑★娱乐评论大赏综艺
1700633547# #过了两点以后基本是一边算还能睡几个小时一边焦虑地玩手机☞过分真实☞熬夜☞说的是不是你
1695128575# #赢了我带你回家输了下辈子再见&nbsp;☞爱情&nbsp;&nbsp;☞伟大&nbsp;&nbsp;☞夫妻&nbsp;
1701781947# #爱干净用颜面扫地&nbsp;★离谱&nbsp;&nbsp;★万万没想到&nbsp;&nbsp;★娱你安利&nbsp;亿点曝光计划
1688208036# #萌探探探案第3季黄子韬他们怎么比我还能说综艺搞笑
1688027263# #毛不易在演我生活状态毛不易小帮星探家
