1689081308# #小雪网红？不认识...不care。一起来听听任贤齐经典歌曲《小雪》吧
1703393903# #张家辉唱歌时普通话好标准“渣渣辉”年轻的时候可是得过2000年度十大劲歌金曲最受欢迎新人奖（男新人）铜奖，做客陈慧琳演唱会嘉宾献唱《你说我心爱的姑娘》，也是惊艳四座打call打call
1689779042# #周传雄《青花》。有多少人，当年信誓旦旦说要嫁给爱情，。到最后成全了适合？！。你的青花信物，埋在了过去哪个时间哪个地方？。悦音星行动
1694255983# #《我怀念的》英文版。网友说欧美烟嗓配这旋律是能把人唱哭的。这个版本，你打几分？。悦音星行动
1693468598# #这是要实现去年台北演唱会上说的“我会把我失去的全部拿回来…”了吗？罗志祥演唱会没想到是内地5城哦，有多少人会去看？
1692005339# #BTSMV油管点击量破6亿路人，搜了一下，是不是这个？
1691897347# #直播间还有多少惊喜是我不知道的快点快点，告诉我，我也想要惊喜！
1699194356# #刘德华一直想让林家栋成为男主角二十多年兄弟情，林家栋称把刘德华当哥哥，一直好下去赞赞
1697868993# #天天说Lisa状态怎样怎样的，肯定不是她的粉丝，人家怎么样是她的选择，不喜欢可以不看，不要心存恶意…至少以前很美很赏心悦目呀，留住美好的回忆，剩下的交给时间…可爱可爱
1702561743# #林俊杰“浪漫广西”南宁演唱会上，师兄阿杜现身做嘉宾，两人合唱《他一定很爱你》。。以前0203年阿杜神一般存在的时候，也带过JJ，不得不感叹时过境迁…
1696951304# #你好，撒播可爱可爱哈哈哈哈哈哈，真的是想不到撒贝宁的原名叫撒播！哈哈哈哈“没有第三个音，到这就结束了…”周深快憋不住了嘻嘻嘻嘻
1691128245# #i人和e人开车的区别有没有一种情况，i人和e人“开车”的区别…你懂的
1699176638# #说起谭咏麟的《水中花》，真的是经典的不能再经典了，普通话版本应该是91年春晚最经典了（之前发过一次，没有放91版本），还有和李健合唱的《水中传奇》也是好听。。然后郁可唯在时光音乐会上的翻唱又爆火，这次好多演唱会上都唱了。。李健声生不息上的献唱也是叫人叹为观止！艺术家们真厉害，经典就是
1691915264# #邓为化好妆下车去拍戏，助手好温馨，打伞等候，邓为接过伞，回头瞬间帅呆了，话说坐着的大爷好淡定…
1694708810# #那就来嘛用康定情歌蹦迪是什么体验起来high，不要停偷笑偷笑偷笑。你们继续，我困觉了哈哈哈哈
1703744082# #12.28-31东方甄选广西跨年直播，来广西撩螺嗦粉呀！可爱可爱
1688725863# #永远的“华人之光”！2001年，李玟在奥斯卡颁奖礼演唱《卧虎藏龙》主题曲《ALoveBeforeTime》，成为了首位登上奥斯卡金像奖颁奖典礼献唱的华语歌手。2016年，《我是歌手》第四季上献唱《月光爱人》，再现经典，最终也拿下歌王称号。。视频将两个舞台剪辑到一起，大家欣赏一下。永远怀念CoCo泪泪
1700528989# #票呢？嘻嘻嘻嘻小杨哥演唱会免费门票被2000元叫卖网红里面小杨哥还是不错的，能请这么多明星开演唱会，还免费送门票，不由得让人感叹网红直播带货是多么赚💰
1696177850# #生日直播唱到23：59分，接着周深太湖湾音乐节舞台又是连唱9首，难怪歌迷都叫“周深开门”赞赞。国庆假期，可以的话，好好休息一下，保护好身体耶耶
1694258178# #这个热搜上的有点突然呀！陶喆melody可是melody爆料说《Melody》开始叫《SaraLee》允悲允悲。陶喆是真的太有才了，以前买过很多他的磁带📼
1688574095# #真的是突闻噩耗啊！！！大家都不敢相信，朋友跟我说的时候，我还当是开玩笑，还骂他了，没想到是真的…CoCo一路走好泪泪蜡烛蜡烛
1692199964# #王传君不想女儿以为他是坏人没事的，都是演戏而已嘛，相信孩子。不然张颂文老师怎么办？偷笑
1696571062# #只是想感慨一下，为什么现在很少出现像之前那些金曲一样好听的歌了，现在好多好多的歌都是粉丝在自嗨了…徐怀钰爱像一场重感冒经典永不过时！
1696843897# #神评哈哈哈哈。“天啊这个北京爷们真的是一言难尽张兰赚那么多的钱也赚不回来这面子。儿子丢光了。”。“张兰赶紧生二胎吧，这个窝囊菲不要也罢笑cry笑cry”…。经纪人称大S具俊晔婚姻和睦幸福
1691732936# #终于来了，周深演唱会票价。可是，就1场的吗？北京有点远啊！原谅打工人ʕ•̫͡•ʔ希望多些场次到到些地方作揖
1697955592# #戚薇是方文山徒弟我型我秀耶耶薛之谦说如果可以想回到一起参加我型我秀的时候
1700548514# #孙丞潇对金莎说好爱好爱好爱你看到一个评论“他爱的不是金莎，而是金沙…”笑cry笑cry笑cry
1695891773# #关掉滤镜，关掉美颜，关掉调色…哈哈哈，别太离谱了偷笑偷笑不能说毫无区别只能说一模一样
1703653921# #东方甄选滑雪团建，俞敏洪和董宇辉激情合唱《蓝莲花》，唱功如何？不过网友关注点好多都在东方林林上偷笑偷笑
1692447268# #周深北京演唱会羡慕一下能到现场的观众，不像我就等着刷饭拍打call打call打call多发一点吧，推上第一，目前在24全力以赴全力以赴全力以赴
1697691267# #喜欢这样的实力派演员的电影！不过海报标有建议“建议十八岁以下观众谨慎选择观看”的观影提示，更加像是吊足了胃口，希望不会让大家失望打call打call打call黄渤周迅新片尺度这个图闪太快了，看不清在干什么？打架吗？可爱可爱
1699192015# #王心凌美美的甜甜的可可耐耐的，一首经典的《少林功夫好》俏皮可爱笑哈哈笑哈哈笑哈哈。
1694095097# #曾黎在东方明珠塔下的大片确实是大片！
1690034700# #孟美岐造型互联网记忆呢？冲着这个名字，支持那些喊退票的酷
1702392225# #这是第三次参加…好有爱…周海媚生前最后一次公开亮相唉，只能是感叹世事无常，我想大家都在伤心，萌兰也一定很伤心吧泪泪
1691733532# #周冬雨刘昊然浴室戏前几天刘昊然经纪人…果然是这个
1703908636# #7元一斤的猪肉还会跌多久有这么便宜吗？好像超市里面至少也是9.9呀，太便宜了，苦了养猪人。。不过话说回来，现在的猪肉真的是没有以前的猪肉好吃了，是猪肉味道变了，还是人的口味变了？
1691502115# #赵丽颖第一次发儿子想想有爱，希望她再生个女儿，肯定也是美美的可爱可爱
1703989219# #南方小土豆的倔强“管谁叫土豆了?是尊贵的南方马铃薯小公主大宝贝…”。我特别怕冷，我就不去做“小土豆”了…但是又特别向往下雪…（纠结）。（视频crdy小超爱旅行）
1702390003# #啊啊啊啊啊啊…周海媚去世真的希望这是个假消息！经典的“周芷若”就这样离开我们了泪泪泪。愿天堂没有病痛蜡烛蜡烛蜡烛
1692005859# #张大奕宣布怀孕又不是张大大偷笑偷笑，这个都不认识，值得一个热搜？好无聊啊
1694754080# #还有这个：2002年TVB第四届金曲榜颁奖典礼现场。周杰伦开不了口现场21年过去了，周董还是那么帅，粉丝却快老了允悲允悲
1695874625# #宋慧乔要是在一起就好了男网友“别呀，你们在一起不合适，还是加上我吧，3个人在一起吧…”哈哈哈哈哈哈“想得美！！！”顶顶顶
1689780228# #黄渤感谢30多位妲己盛装前来就问问，真▪妲己温碧霞来了没有酷酷湾区升明月上的妲己互动
1698228841# #邓紫棋巡演真的要来了广西的小伙伴们，准备好抢票抢票抢票全力以赴全力以赴全力以赴
1691165478# #羽生结弦老婆日本没有狗仔队？日语入籍是结婚的意思吗？
1702959650# #伍佰老师最新RAP单曲《我要下班》，无锡演唱会全球首发！还蛮好听的，哈哈哈偷笑偷笑偷笑
1691992395# #李荣浩合肥what什么情况？gc一堆说不用抢的，还一堆出的，，，
1696823409# #杭州亚运会闭幕了留下太多感人的瞬间，也留下好多好玩的时刻，《奢香夫人》《再度重相逢》…火爆了，两个小姐姐“乌蒙山连着山外山…”好可爱可爱可爱
1698109282# #“没有结婚证，肯定离不了婚，只会和平分手允悲”是这样吗？韩安冉回应不会离婚了话说，何必说人家呢？可能人家也确实看不上网红吧，老人味都不会给科技味机会…挖鼻
1704203900# #哈尔滨不要太离谱哈哈哈，哈尔滨本地人“吐槽”独宠“南方小土豆”，冻梨摆盘、松花江上热气球、索菲亚教堂人造月亮…还有白狐出来接客东北虎被泼雪甜豆腐脑…难怪哈尔滨元旦3天旅游总收入59.14亿赞赞（视频来源dy海报新闻）
1703320470# #10JQ？A你猜我是不是同花顺lucy姐我没k好怕“我没k”也上春晚啊…
1692543088# #起底中国好声音背后灿星文化“文化自信”不能被这帮人玷污了！！！坚决抵制！！！
1700629835# #新闻女王三人精神状态日渐稳定还有，佘诗曼宣萱叶璇3个人，让好多人傻傻分不清楚偷笑偷笑偷笑
1690014854# #以前有人说“每个女孩心里都住着一个芭比”，听说芭比很好看，听说还有女孩们打扮成芭比去看《芭比》，祝福女女们观影快乐！耶耶
1703845966# #阿里被判赔京东10亿这是真的吗？难怪京东好多地方gg都是分10亿，连APP图标都是，还有涨工资偷笑偷笑原来…不过话说回来，反垄断真的是太爽了
1704199964# #雷军50万以内有对手吗目前看，车是好车！话说，小米SU7来到50w，还有多少米粉买单?
1691809752# #娜扎为什么接这种广告明知故问思考思考可能她是不想接，公司接了呢？！不过，有些还是得慎重考虑考虑才好。
1692374585# #周深绝了精彩！明晚的演唱会要更绝可爱可爱赞赞
1694255553# #《新不了情》-万芳神级现场打call打call。（万芳2018时间仍然继续在走台北演唱会）。大合唱很感人....。“回忆过去，痛苦的相思忘不了，为何你还来拨动我心跳，爱你怎么能了，今夜的你应该明了，缘难了，情难了”。悦音星行动
1699929548# #被演戏耽误的实力歌手难道此处不应该有第一届跨界歌王刘涛吗？一曲《红颜旧》直接封神，最近在时光音乐会上的献唱依旧惊艳打call打call
1695565495# #可惜没如果…。欢迎韩红！。林俊杰韩红掀翻我的天灵盖
1693116780# #哪里来的性感小野猫呀？！抱一抱抱一抱刘惜君好辣给造型师加鸡腿🍗🍗
1691674907# #赵丽颖的文案是尊嘟假嘟吧拿出之前剪的嘟嘟视频来可爱可爱
1693073041# #周深9年来都是在认认真真做着他喜欢的音乐，对粉丝也超好，一路走好也不容易。真诚的人永远不会被亏待，难怪越来越多的陌生人都喜欢他了…希望深深越来越好！周深落泪｜周深被陌生人的信任感动哭了不是我一个人催吧？巡演赶紧安排上吧可爱可爱
1704381131# #广西北海地震我后知后觉，在北海隔壁市住的我居然没有一点感觉，还是wb告诉我的。震级不大，希望没有意外发生🙏🙏
1694134267# #之前《挪威的森林》还起了两个字的头，现在《lastdance》伍佰给个手势气氛就来了偷笑偷笑一起来“所以暂时将妳眼睛闭了起来，可以慢慢滑进我的心怀，舞池中的人群渐渐散开，应该就是现在，妳给的爱…”（我也想去参加大合唱举手举手）
1692596290# #最近几天都是“好声音”的黑幕信息，这样看来，要谢谢“对不起周深，我喜欢李维”的“不杀之恩”了？！不过，深深一路走来也是不容易，像他唱的生活总该迎着光亮，希望深深越来越好打call打call打call
1694955036# #飞翔哥2018-2023唱《怎样》，可以看出飞翔哥对我们佩妮也是真的喜欢，只是想不通怎么一直唱不好呢？！虽然这次上海稍微好一点点了哈哈哈哈。戴佩妮演唱会经典画面重现佩妮加油打call打call打call要火啊！！！
1694520756# #很多很多网友也看过“疯马秀”，在微博热搜上，天天几个几个热搜裂开裂开裂开有完没完？Jennie曾看过疯马秀
1701781497# #微博视界大会不愧是老艺术家，毛阿敏现场好稳，唱的真好听赞赞
1702382870# #虞书欣机器人台词。冯小刚：虞书欣她很有意思偷笑偷笑偷笑
1688573185# #李玟去世好惊讶！听到消息的时候正在教孩子东西，不敢相信李玟去世的消息真心很希望不是真的，可偏偏…多么美丽善良的一个明星姐姐泪泪。CoCo一路走好蜡烛蜡烛蜡烛。谢谢你留给大家永不失联的爱
1702570811# #“最缤纷的花园游乐过，但求动心…”夜深了，来怀旧一下哈，谢霆锋游乐场。《游乐场》这首歌最近在短视频平台又🔥了起来，你刷到过没有？。有人说，游乐场这首歌是在讲人生，把人生比喻成一个游乐场，你我皆是其中过客…可能吧，林夕的词的确没的说，当然，谢霆锋的曲也是无可挑剔，用粤语唱出来
1694326980# #一曲话相思的红包有钱就是任性！我往红包里塞了现金大奖，能不能抢到就要看你们对我是不是死心塌地啦！
1692718906# #林心如说七夕感觉在过鬼节七夕节才是中国人的情人节，一些歪果仁和数典忘祖的假歪果仁不过也正常，但是，请不要和中元节混为一谈，让人觉得很反感！唉…
1688831809# #谁给小鬼做的造型不走寻常路，跟名字很相符酷酷。。娱乐圈圈看
1701012650# #热狗新歌疑似diss周杰伦呵呵呵呵呵呵呵呵…记得这货n多年前唱过一首《让我RAP》，以前不懂，当时觉得还挺吊的，现在…好好创作不行吗？靠碰瓷撞流量？
1697956945# #陈都灵“又薄又窄又…”羞嗒嗒羞嗒嗒羞嗒嗒
1702601846# #男肖战女杨紫两位确实是近几年内🐟顶流（之一），真的是大红大紫呀，肖战杨紫他们值得！都谦虚努力敬业真诚…期待两人更多好作品，祝福两位越来越好！作揖作揖
1703317759# #昨天没放假，下班了才去超市买了速冻水饺和汤圆，看着大家昨天吃饺子很香，想着自己也算是吃了，虽然不是自己包的…今天又看到这个昨天吃的饺子瞬间觉得不香了…唉，一下感觉速冻水饺也过得去了允悲允悲
1693931261# #可能我是俗气了一些，我觉得他说的是很有哲理，但是，我还是觉得身体健康，家庭幸福，能够实现财富自由才能更好的拥有时间，也才能更自由…李健忘记时间你才能更自由怪我是俗人吧偷笑偷笑
1697779682# #陈楚生棱巡回演唱会2023.10.15广州｜有没有人告诉你完整版。（视频来源dy捡星星碎片－）
1696900613# #“听一首曾经陪伴过你青春的一首歌…你的青春会一直活在你的疯狂你的浪漫会一直活在你的纤细敏感里面…活在你的身体里面，一直陪伴着你。”陈绮贞疯狂又浪漫又不切实际这个是太湖湾音乐节上陈绮贞《After17》之前的talking。谁的青春里面没有一首陈绮贞？。（视频crdy很好呢）
1695451720# #张杰加盟东方卫视中秋晚会有点看头了，聊一聊，你还希望在中秋晚会看到哪个爱豆呀？我来了我来了
1704379453# #女子分享自己7旬爷爷老来得子这很难评，具体情况没有讲清楚，网友开始讨论奶奶的身份和年纪，不知道是个什么样的故事…不过不得不感叹一句这大爷是真的太猛了…希望小宝宝健康快乐成长！
1691385541# #王源放下话筒之后还在唱路人，3个人里面平时看到的最多的也是王源（之前看王牌对王牌），然后是易烊千玺（电影），王俊凯没怎么了解，3个人是真的🔥。真诚永远值得点赞赞
1697560170# #比起杨千嬅惊讶重庆演唱会上的《稀客》粤语大合唱，更让我惊讶的是这个饭拍的清晰度赞赞赞牛逼，什么设备拍的呀？。（视频来源dy敢敢超敢）
1698416706# #之前迪丽热巴秦岚周也3个美女贴贴，迷坏多少人哇哇哇迪丽热巴谈对秦岚初印象
1693734404# #这个歌，第一次是听吉克隽逸唱的。小女孩一唱出来，真的是太好听了！干干净净，就是净化心灵的音乐吧
1696176085# #萌帅萌帅的酷酷罗云熙新造型
1697379913# #Somi身材感觉以前还好看些，虽然只是牛仔裤配T恤，感觉很棒耶
1694751160# #“天才嘛，总有点特别的习惯”。小岳岳检察风云里演的天才可爱可爱。工作的时候要听音乐，凤凰传奇《奢香夫人》很high，还有小岳岳的成名曲《五环之歌》…嘻嘻嘻嘻。。娱乐圈圈看
1704431268# #电台主持人发表争议言论后涨粉700多万wb还是慢了一步，dy海南电视台评论区早已经被骂停。这波涨粉666，你怎么看？
1704162322# #iPhone为什么只有P大写在普通人看来，甭管什么驼峰命名法，其实就是为了好看，还有品牌统一宣传效果…这样一对比，是不是觉得中间的好看笑哈哈笑哈哈
1695118540# #好像ai一样，看似说了好多，实际没一句实在的，算是回应吗？那怕你说一句关于“李佳琦”“79”都好呀，完完全全就是此地无银三百两允悲允悲花西子发声
1689177389# #李咏女儿法图麦露背身材父母都是圈内人，耳濡目染，应该不错的吧，自身条件也不错，希望能有好的表现
1691500015# #是不是听张杰的战歌《逆战》做事情非常得劲呀？你看手工耿。
1696995214# #贾玲自带幽默光环，王牌8没贾玲感觉还是少了点什么，有点可惜…允悲允悲你觉得呢？
1695972185# #金晨剪短发了之前的平凡之路短发不是也很好看呀给力给力金晨五官比较有特点，不管长发短发都好看可爱可爱
1695969921# #对于一般人（大部分人）来说确实是这样孟子义想结婚就别谈太久的恋爱不过，有些人还是不一样的，比如…偷笑偷笑（纯属娱乐）“喜欢是一种情绪，是情绪就会变的，人最稳定的不是情感，是需求，你现在是需要我了，等有一天你不需要了呢？”
1702616723# #来啦来啦，7公主驾到打call打call打call。戚薇森系公主妆。
1695566637# #westlife西城男孩演唱会武汉站唱《平凡之路》，致敬！永远的男孩打call打call打call
1694072815# #小李子与25岁超模夜店热吻超模收割机，这次要打破25岁魔咒吗？看书看书。网传约会照片
1697125281# #学友演唱会忘记歌词了…。网友“都怪你，唱了太多歌了，经典歌曲也多，串了一下，忘词了吧”允悲允悲允悲
1704084273# #广州成都深圳成元旦假期最火城市网上看，到处都是人从众呀，不过这样的氛围才好，热热闹闹跨年，幸幸福福生活！耶耶耶
1693072374# #刀郎确实有才呀，受关注也是肯定的，喜欢就好好欣赏作品就好，不要过分解读吧作揖作揖刀郎发微博了。话说，微博和抖音的粉丝量差的太多了吧思考思考
1691165308# #好声音咋改唱跳了可能看见乘风破浪🔥，想跟风，看来也可以试着改名“好唱跳”偷笑偷笑偷笑
1697987703# #腾格尔大叔的《乌梅子酱》听起来有点烫嘴，难道里面放多了辣椒🌶🌶🌶那句薄荷味道应该改成指天椒味道嘻嘻嘻嘻嘻嘻
1702643880# #戚薇反击容貌质疑你瞎了哈哈哈，好霸气！不瞎不瞎，快看7哥今天的绿野公主装
1691128024# #张子涵疯了，好多人。
1692588515# #张颂文知足吧你没进来之前，吓得我一哆嗦，以为哪个掉毛这么牛X，敢这样跟强哥说话…原来是强哥劝小盆友好好上学啊偷笑偷笑像张老师说的好好珍惜学生时光，不然以后只能“卖鱼”耶耶
1697380839# #刘亦菲晒花木兰蛋糕可惜《花木兰》的拉胯对不起神仙姐姐的努力呀，不过只要姐姐开心就好可爱可爱
1701838865# #阿信做好自己我没买票去看演唱会，我也不说什么了…经过这次，相信好多人不会假唱了吧，这样看也是一件好事…
1695701484# #2023.9.24林俊杰北京鸟巢演唱会林俊杰与韩红《飞云之下》唱前talking
1690174857# #优酷称TFBOYS线上票不限量现在才出来回应挖鼻挖鼻线上还要票收费本来就…允悲允悲允悲想💰想疯了吗？吃相不要太难看！直播不起就别直播！看看刘德华出道四十周年演唱会，线上直播收💰了吗？打赏都是关闭的！唉…各个平台都是越来越过分
1702395512# #就像她演过MV的《吻别》的歌词一样，。“前尘往事成云烟，消散在彼此眼前，就连说过了再见，也看不见你有些哀怨…”。大家都会记得你…。周海媚曾说人生不能后悔就得往前走
1692613776# #漂亮的女神都不会变老的哇思考思考。陈法蓉《晚风心里吹》，有没有吹到你心里？打call打call
1695868261# #花西子得力哈哈哈，网友调侃“得力：这泼天的富贵说来就来…”哈哈哈哈想起我的团长我的团里面迷龙的歌“你要让我来啊，谁tm不愿来…”春游家族春游家族
1698228529# #孙红雷夫妇牵手游乌镇两个人还真甜蜜，这个年纪手牵手旅游的人不会很多了吧…幸福快乐就好！。再看看去年庐山国际爱情电影周上的“二人转”，孙红雷一口一个“媳妇先说”、“懂了”…
1696824475# #金鸡奖2023年中国金鸡百花电影节暨中国电影金鸡奖颁奖典礼将于11月1日－4日举办。。网传消息称，本届金鸡奖开幕式嘉宾：朱一龙、张译、吴京、徐峥、沈腾、朱亚文、易烊干玺、王一博、王俊凯、于适、迪丽热巴、倪妮王鹤棣、尹浩宇、于和伟、孙阳、阿云嘎等。你最期待谁？羞嗒嗒羞嗒嗒
1695314469# #陆毅谢谢大家帮我找回回忆时间真的是太快了…不过帅哥依然还是很帅…。。（视频crdy无无）
1692279388# #李玟录音里面说到泽鹏被支开那次演出就是两人合唱《永不失联的爱》吧，当时Coco站不住，后面忍痛坐下唱歌还是完成演出，可想而知当时的痛苦了，录音里面也听得出愤怒失望和无助…怎么可以这样？好yue。（视频之前发过一次，评论好多都是心疼Coco的，可惜现在她已经离开我们了泪泪）
1689349600# #奔跑吧原地消失术。综艺版“消失的他”。一起猜猜蔡徐坤明天演唱会上座率怎么样？会发生什么故事？
1695783667# #唉，四年了，现在出来道歉又是为了什么？2019年，已经不小了吧，这种问题可不是一句道歉就能被原谅的！不知道哪里来的优越感，白瞎好父母了…张智霖袁咏仪儿子ins道歉要是我的孩子这样，看我不撕烂ta的嘴挖鼻挖鼻
1694607640# #迎面而来的南风…你的成毅傅诗淇上班啦打call打call打call
1693587659# #每个人都做自己就好了刘亦菲做一个真诚的人好幸福真的是通透！
1692719962# #萧敬腾未婚妻七夕发长文这算是新女性榜样了吧？！抓住七夕节的尾巴，祝福大家幸福长久鲜花鲜花
1692101143# #大家好，我是邓儿紫儿棋儿，欢迎来到薛之谦天外来物相声专场笑cry笑cry。邓紫棋薛之谦终于演唱会上合作啦，前面歌好听，后面“相声”也好笑偷笑偷笑
1690383168# #明明你也很爱我，为什么爱不到结果...。《你就不要想起我》3翻唱版本（片段）欣赏。1.张杰2.单依纯3.陈乐一。悦音星行动
1694961911# #还有这个，「吾即五字」南京演唱会上的《一直很安静》希林娜依高一直很安静舞台打call打call。视频crb老恬
1694049608# #侯明昊这个手势一般人做不到试了一下，还真的做不了偷笑偷笑不过我也有个手指动作，可以玩玩嘻嘻嘻嘻试试看？
1698766534# #其实一直想不通为什么他凭什么🔥，颜值一般，演技一般，才艺一般，还婚内出轨，居然不受影响，难道是有钞能力？陈赫否认张子萱怀三胎溜了溜了…
