1693965133# #张艺谋这标题党写的真吓人，太无语了允悲
1700099410# #美国不要有打压遏制中国的打算交流、沟通是中美关系必不可少的一部分，不仅对中美有益，也是对世界政治和经济的稳定发挥着积极作用，双方面对面交换问题，增进了解，把风险和对抗降到最低。
1690614786# #河北发生天然气爆燃事故致2死2伤2死2重伤也算重大安全事故了吧，现在不清楚施工方是否向相关部门报备，有没有天然气管线段负责人通知施工监管，应该防患未然，不是出了事抓人，出了那么多事，抓了那么多人，不还是出事了。难道不应该在施工前把工作做到位吗？
1703989432# #1958年大跃进时全国掀起大战钢铁的全民运动，提出年产1070万吨钢铁的指标。为实现指标各地展开伐木土法炼铁的群众运动。当时各县各乡搞了许多点，无偿地把农村人力和物力调到一起会战。学校被调配参加大战钢铁的劳动，基本处于停课、半停课或半工半读状态.....。涨姿势
1702545426# #董宇辉真实年薪为税后几百万董宇辉实际年薪只有几百万，孙小编讹诈说有好几千万。从新东方来说，他也算一个正面人物，而且他给公司带来了巨大的经济利益，但经济利益的背后往往是利益之间的纠纷。
1690544494# #中国女足vs海地女足为什么中央5台不直播女足呢？这是生死战啊！看评论都说央视在播大运会允悲
1701434527# #29岁中国男子刺死日本女友何必呢，分手而已，至于闹成杀人案吗！对于他唯一一点好的，可能就是在日本没有死刑。
1701518879# #天安门城楼上的毛泽东画像！
1690933710# #“陈伯达这个人，可以说是个很聪明、很有才华的一个人。他不是个政客，他也不想当一个政客，作为一个政客就要到处跑，到处活动，他不喜欢这些，也不擅长这些；我觉得，他个人或许更只想当一个政论家吧”。。这是来自人民出版社原总编辑曾谚修的评语。我们在看看杨波，这个曾和担任过陈伯达副手的评语：。。
1702803376# #贺喜刘少昂夺冠！
1695202596# #知情人称花西子相关声明非公关部撰写哦，原来公关部都不知情啊，看来，在花西子高层的眼中，公关部没啥作用，干啥事也就不用通知了。一个网红主播的情绪失控语言错误，导致一个部门的打工人丢了工作，真正该失业的难道不是那位吗？花西子公关部或集体离职
1689257592# #一张BEYOND老照片！
1703989608# #一个民族不怕犯错，就怕记不住教训。。受访者：冯骥才。。采访者：朱玲。。记者：2016年，您的《一百人的十年》再版，这本书写了没经过文革“十年”的人对那段历史的态度。这些年轻人，在对历史的态度上，哪一点让您感触最深？。。冯骥才：淡漠。但我觉得不怨他们，怨我们。。。记者：“文革”十年过后，“伤痕文
1692666996# #莫斯科所有机场禁止进出航班一个陷入战争泥潭的俄罗斯，对当前中国绝对不是好事，西方联合收拾中俄的图谋正在不断推进，如何破这个危局？确实需要智慧！但要看清楚的是，西方对待俄罗斯的全方位遏制加封锁同样在对我们展开，用对付俄罗斯的方式对付我们已变得越来越清晰，时不我待，抓紧时间赶紧补上
1693885178# #中老年顶流网红图鉴只能说现在的很多老年人情感空虚寂寞，往往缺乏来自家庭的关爱，便把秀才的视频直播当做了唯一的寄托。
1702187165# #都快12月中旬了，上海这鬼天气，乍寒还暖了；大雪节气一夜冬雨，尽然把这玩意给叫醒了，不知道的还以为是惊蛰呢。今天体验了一把冬日里还能光明正大穿一回短袖，再啃上一口冰激凌。上海身边事上海可能在下周入冬
1701855680# #歌手因假唱被处罚并不多见五月天陷入假唱争议，让更多人意识到，不论听众包容与否，营业性演出假唱行为已是被明文禁止的严肃问题。然而，近年来鲜有歌手因在营业性演出中假唱而被处罚的公开信息。
1695861059# #薛忆沩：我骂我父亲是“右派”。。出发去干校的那一天，父亲瞒着所有的人来幼儿园看我。我们之间隔着幼儿园大门的栏杆。他说我们很久不能见面了，因为他要去很远的地方。我没有问他任何问题。我没有问他“很远”有多远。。。那是我对“距离”最早的记忆。那是我对“距离”最早的恐惧。。。四个月之后，正在无
1695113056# #境内机票搜索热度超2019年困了三年了，不出去走走心不甘。现在不管国内短线或国外长线的旅游目的地都脱颖而出，各种相关搜索热度较疫情前2019年同期热度提升显著。当然，酒店、机票价也将迎来一轮暴涨。
1688426473# #这两人是那个时期的红人！。。2017年，72岁的蒯大富和96岁的聂元梓合影。早在1963年的时候，聂元梓已经是北京大学经济系副主任，而蒯大富比聂元梓小了24岁，甚至比北京谭厚兰还小9岁，蒯大富当时还是清华大学化工系的学生，聂元梓相当于蒯大富的领路人。聂元梓于2019年去世，蒯大富目前还健在。
1695903459# #一位老共产党员的遗嘱！
1692080817# #在西游记原著中，佛祖给了观世音菩萨5个箍咒，观音把金、禁箍咒给了黑熊怪和红孩儿，给取经团队只用了一个紧箍，后来，黑熊成珞珈山守山大神了，红孩儿是善财童子。。。其实西游记里没有那么多所谓的阴谋，但是作者掺入了很多人情世故，细细品味很有意思的。即使观音眛下两个箍，如来也不在意的，因为领
1688966996# #广东廉江发生一起故意伤害案致6死1伤这行凶犯判死刑是无疑的。但是比判死刑更有意义的事情是查明杀人的动机是什么？导火索是什么？是什么原因导致一个人失去理智？要标本兼治才能有效治理社会。宣传部回应男子幼儿园行凶致6死1伤
1694044756# #在井冈山纪念馆里有一张1929年1月红四军关于向赣南闽西进军的布告，落款处署有“军长朱德、党代表毛泽东”。。。到了1966年“文革”，朱德靠边站了，林彪上台面了。那“军长朱德”这4个字就成了该抹去的东西，馆里的工作人员开会想办法把这布告改一改，有人提出将这4个字拆掉，然后翻拍成照片展出，因过
1688465860# #现在的网络再一次刷新我的认知，有钱人就是豪横，三亚买的别墅不住放茅台！不过，这个男人也是猛将，骑共享单车跨市从海口到三亚，而且还真会挑，直接挑了痞幼的别墅，这简直是太离谱了
1691203081# #1873年，俄国海军突发奇想，打造了一艘圆形战舰，这艘战舰排水量2531吨，长宽都是30.8米，配备了2门360毫米大炮，看上去似乎很不错。。。虽然这艘神奇的圆型战舰是在俄国人手中第一次面世，但是，最开始提出圆型战舰的设想的，反而是英国人。。。十九世纪六十年代，为了增加船只的承载量和排水量，英国人最
1690253207# #排超联赛向齐齐哈尔34中罹难者致哀都是流于形式，上面会议并下发文件、基层落实会议、基层排查、影像留痕、整改清单、形成台账、排查总结报告、材料上报，工作该做了，层层推卸责任，存档完事。。安全检查流于形式，教育局对面学校成了安全检查的“灯下黑”，应该追责？给10个孩子和1个教练员讨个说法
1700475287# #评论有不同意见，不是很正常的事吗？编剧如有原型就应先争取原型和原型单位各方面的意见？剧是给人看的，原型的拆道为什么没有反对的声音？想过吗？
1701861934# #上个礼拜天，朋友茶室聚会，一刘姓朋友也来了，这刘姓朋友平时不常来，且此人比较俗气。不过这次他没有戴黄金项链，而是脖颈吊了一串粗粗的珍珠项链。我感觉这种女性饰物戴在一个男人的脖子上相当别扭。。。我问他怎么戴串珍珠项链啊？。。他的解释是最近请高人算了命，说戴了珍珠项链会带来好运，神灵会因
1689809487# #“文革”纪录片：海防民兵，苦练杀敌本领！1969年《新闻简报》9号。亿点曝光计划
1687308002# #兄妹从29楼通风管道坠入地下室身亡家长真有不能推卸的责任，平时对孩子的安全教育不够，再说29楼的高度家长放任两个孩子自己爬到楼顶去玩？这让我想起来前段时间媒体报道一家长带孩子去海里游泳却背对着孩子刷手机，结果孩子近在咫尺却溺水而亡那个案例，唉，心疼这些孩子！
1692769742# #多方回应老人骨灰被殡仪馆弄错磕头认错这点最起码能让老人家属心里舒服一点点，办错事情，家属怎么处理都是对的，这种事情没放在谁身上真的可能无法去评判。殡仪馆回应弄错逝者骨灰
1688391393# #炎亚纶被限制出境出海娱乐圈这些年轻多金的偶像连环塌房事件背后，是社会资源分配的严重不均，是时候控管艺人高收入低学历现象了。
1694240464# #PPT发明者去世据《华盛顿邮报》报道PowerPoint的发明者丹尼斯·奥斯汀（DennisAustin）当地时间1日在美国加利福尼亚州洛斯阿尔托斯（LosAltos）的家中去世，享年76岁。一路走好🙏🙏🙏
1695866871# #大同欺凌事件校方曾建议三年级以上住校把那么小的孩子直接放到了私立寄宿学校。而把孩子的教育全部甩给别人，不闻不问。实在是不负责任。等发生了事情家长后悔都晚了！
1703128467# #1960年摩洛哥国王在联合国激情演讲，力挺中国恢复联合国席位！摩洛哥是中国的铁哥们！涨姿势
1689815482# #近段时间，美国三位高官接连访华都不及基辛格一人访华来得意外，国外媒体集体用“突发”二字形容，说明美国的确有想传递给我们的信号。桌面上攻势凌厉，桌面下小动作不断，看来大漂亮却有难言之隐。。。最近中国接连大幅减持美债，美债有崩盘之危。中国悄悄走了，日本也紧跟在后，他不笨，现在卖点，总比
1689992645# #“抛开事实不谈”现实版，逆行大奔司机逆天发言震撼网友。“甭管我是不是逆行怼着我车头开应不应该？路宽不宽？”难道开大奔就可以肆意妄为么？做网红真的需要勇气
1687259488# #官方回应公职人员吸毒被查后仍在岗在录用公务员之前，如曾有吸毒史是不能被录取的，但进入公务员队伍之后，如果吸毒是不会被开除，跟据公职人员相关纪律，会降低岗位等级或撤职处分，除非情节严重才会开除处分，包括吸毒后开车毒驾。包头一公职人员吸毒被处理后仍在岗
1698823540# #教育部门和学校应该关注教师的心理健康和工作压力，为他们提供足够的支持和帮助，以确保他们能够以积极的心态和健康的状态去教书育人。
1694390769# #李佳琦就直播言论致歉钱赚够了，觉得自己已经是高人几等了。几个小网民算什么，内心真实的想法“我现在比你们有钱多了，你们几辈子都赚不来的，哪怕从今以后不直播了，我依然高你们几等。”
1694435751# #李佳琦哭着道歉是啊，是该哭了，十一黄金周么得钱赚了，接下来的双十一又是如何呢？不得而知。这就是歧视打工人的下场。别卖了，赚的钱够多了，回家抱孩子去吧！
1700879686# #李敏：忆爸爸的一件件往事。。一天，放学后回到家里，我放下书包，悄悄地、轻轻地走到您卧室的门口。。。当我刚小心翼翼地从门缝里往里看时，门突然开啦！。。“爸爸！”我叫着扑向爸爸的怀里！。。“娇娃！”爸爸伸开双臂紧紧把我揽在怀里。爸爸乐呵呵的笑声，引得卫士们也笑声不止。那日晚饭后，我跟着爸爸“
1691234429# #8月4日，黑龙江五常。一场营救看得人胆战心惊！一村民开自家挖掘机堵决口被水冲走，同村小伙单人独艇孤胆营救落水者。都是好样的good黑龙江尚志九江村整村失联
1701695411# #那时全国所有的家庭都挂毛主席画像，包括“黑五类”。尤其是“黑五类”更加虔诚，天天把画像擦得干干净净，生怕粘点灰或污垢。不然就要遭到无产阶级的铁拳猛烈打击。所以说没有人家不敢挂，不挂的后果，相信你也知道。
1693304330# #日本或向世贸组织起诉中国禁令日本要在世贸组织起诉中国禁止进口日本的水产品，真是不分青红皂白，混淆是非，天下无奇不有。这个世界上有没有真理，有没有对错，有没有正义，几乎是没有！
1687758761# #上世纪九十年代结婚现场！那时候都是没有美颜的，服装也没有现在的好看，但是笑容的确实幸福。婚姻历史上的浪花
1689495073# #就因这个错误的行政处罚，一个年轻人的一生可能就此毁掉了。所以建议翟某一定要拿起法律武器，提起行政诉讼，维护自己的合法权益。
1695726909# #花西子回应发疯李佳琦在带货的时候讽刺消费者，但是现在由于花西子装疯卖傻，舆论变成一边倒跟着花西子玩梗。总的来说，花西子的这次危机公关举措无疑失败了。这不仅没有平息网友们的质疑和不满，反而让事情变得更加糟糕。花西子发疯
1692147837# #张汉卿晚年在夏威夷檀香山会见中国残疾人联合会主席邓朴方。。。俩人一见面，邓朴方就激动地握着张汉卿的双手说：您好！您是民族英雄。。。张汉卿笑着回答说：什么英雄，黑熊。。。邓朴方听后吓了一跳，以为自己听错了。历史上的浪花
1692066479# #你见过毛泽东主席开怀大笑的镜头吗？。。这张老照片拍摄于1957年，拍摄地是在北京市的少年宫。。。坐在毛泽东主席左边的外国人，是当年四月前来访华的前苏联最高苏维埃主席团主席伏罗希洛夫。。。毛泽东主席在接待伏罗希洛夫以后，曾邀请后者去刚建成的北京少年宫看表演。。。当时参加表演的是600名孩子，表演
1693995619# #空调行业目前发展到今天，各大空调制造商技术已经非常稳定了，要想突破一点点也是非常困难的。
1702540645# #殡葬人布置周海媚假灵堂被批这位殡葬人员是否仅仅是利用周海媚的照片和名声进行炒作，制造假象以吸引关注流量。
1701737870# #中国历史上曾多次实行“一国两制”。。“五胡乱华”前后建立了十六个小国，大多数也不能算是帝国。不过，这些小国却有值得注意之处：他们的领袖都拥有两个头衔，一个是“大单于”，一个是“大皇帝”，前者意指胡人的领袖，后者是中国的皇帝。这种双轨的体制，在中国历史上一直沿用许久，除了宋明两代以外
1695689755# #威廉·卢因森：“老北京”使馆区的历史。。我们从外国使馆区开始寻找“老北京”之行。使馆区是一个很小的“城”，有自己的城墙和管理机构，完全独立，不同于北京其他地方。它存在的时间也很短，还不到35年。1900年以前，在北京的外国使馆尽管彼此离得很近，却是分散的，分散在中国没有平整街道和充足光线
1690276534# #100秒回顾吴亦凡强奸聚众淫乱案吴亦凡强奸、聚众淫乱一案，今天在北京市第三人民法院进行不公开开庭审判，被告吴亦凡强奸罪、聚众淫乱罪数罪并罚，被判处有期徒刑13年，附加驱逐出境，真是大快人心哈哈哈哈哈哈。。吴亦凡做梦也没有想到的是，自己开了那么多间房，最后一间竟然是牢房，22岁出道
1698230036# #专家称春节调休不如再加2天假专家王琪延提出了一项有趣且实用的建议：在春节增加两天休假，不仅解决了调休问题，还能让人们更好地享受这个传统节日。你认为呢？
1695257010# #1976年1月8日，周恩来总理去世，卫士将周总理的东西用一块紫色的布包好送到医院，医生韩宗琦接过包袱一看，顿时大发雷霆。。。紫色布包里边装的是周总理的衣服，但是基本上都是破破旧旧，缝缝补补的旧衣物，韩宗琦看到总理死后还得穿着这样的衣服走，当即大发雷霆，开始质问送东西来的卫士。。。总理为了人
1689116931# #“文化大革命”的是是非非之隔离反省。。“文化大革命”的出现不是偶然的。它是阶级斗争从“三反”、“五反”起不断“扩大化”的必然结果，也是无产阶级专政下“继续革命”指导思想的必然产物。我在这里只能叙述我所遭受和接触的那一鳞半爪，好比倾盆大雨中的点点滴滴，以供后人品味，共享其中的是是非非
1701571182# #市监局回应美少女手办涉黄这种手办非常多，各个商家平台都有，希望加大力度惩戒，从源头扼止，商家平台对此也有责任。
1700981610# #最主要还是要心态好，不管考好还是靠坏，只要自已经努力了就好。
1700448395# #杨绛先生的心态真透彻：“如果别人说你两句，你就受不了，被两句话干扰得吃不好，睡不好，你想想你得有多脆弱啊！。。何必计较呢，在乌鸦的世界里，天鹅也有罪，思想不在一个高度，尊重就好，三观不在一个层次，微笑就好！发自己的光，不必在意别人的流言蜚语。。。不要和重要的人，计较不重要的事，不要和
1700039901# #缅甸果敢加速遣送中国人回国被遣送回来的这些人不完全是受害者，相关部门要甄别清楚，有部分人是主动去当诈骗犯，就是为了获取高薪的，而且骗了很多人，被抓了就装成受害者，企图洗白身份。
1702364727# #洞房花烛夜，金榜题名时。在这个时代，我们经常谈论人生的大事不在乎就这两件大事。
1699168171# #只能说，他家有钱，没钱，骗子也不会找上门。
1687586721# #瓦格纳到现在为止的要求就是惩罚，撤掉绍伊古和格拉西莫夫，没有一句话针对普京。静观其变吧。
1686917818# #乘地铁被冤枉偷拍的成都男子再发声何先生不接受道歉是对的，被冤枉了就要道歉。敷衍的口头道歉就像二次伤害，过分的善良只会助纣为虐。道歉的目的是让人认错而不是为了原谅，道歉的目的是为了让对方好受一些，而不是为了让自己好受一些。
1698471565# #李佳琦双11首日销售额较去年缩水一半低价协议最终害得是消费者，这是典型的价格垄断，严重扰乱市场经济。
1701770909# #上官正义追问广东贩卖疫苗本结果前段时间我认为上官正义只是一个普通的正能量博主，没想到还真的是一个高强度的钢。
1696639263# #全国性“文革”动乱的急剧蔓延，不能不引起一直为动乱局面深深忧虑的老一辈革命家的严重关注。他们忍无可忍，与中央文革的尖锐冲突一触即发。。。1967年1月19日-20日，中央军委在北京京西宾馆召开碰头会，讨论军队开展“四大”问题。会上，江青、康生、陈伯达等以“军队不能特殊”为由，继续鼓吹军队应和
1687665111# #国务院成立银川烧烤店爆炸事故调查组一个15公斤的液化气罐相当于100多公斤的TNT，危害太大了。再说现在的烧烤店很多都是用的液化气罐，需要彻底整顿烧烤店了，居民楼里开烧烤店用燃气罐威胁着全楼老百姓的生命安全，需要加大各部门的监管！
1692136458# #毛泽东为何突然要将王力、关锋、戚本禹整下去？。。王力、关锋、戚本禹这三位秀才，在“文革”中是有过红极一时的经历的。作为“文革”小组成员的他们，在“文革”初期，用他们那很受毛泽东赞尝的笔杆子，确为毛泽东的文革战略部署立下过不小的汗马功劳。仅戚本禹写的那篇在央媒上发表的《爱国主义还是卖
1698275350# #熊向晖：我深夜晋见毛主席。。1971年7月9日，是一个不同寻常的日子。就在这天中午12时，美国总统国家安全事务助理亨利·基辛格博士乘巴基斯坦的一架专机，秘密抵达北京。。。基辛格在北京只能停留48小时。周总理同他在钓鱼台国宾馆举行的第一轮会谈从下午4时25分持续到晚上11时半。中国方面参加会谈的有：中
1697419117# #拜登称必须彻底消灭哈马斯图穷匕首见！这些美国人真不是好人，全世界只要有战火的地方都有他的身影。以色列占了巴勒斯坦大部分土地叫合法，别人反抗就叫极端分子？果然，占领舆论高地很重要啊。
1693956769# #邓小平同志的十大警告。。警告一、国民收入分配要使所有的人都得益。。我们是社会主义国家，国民收入分配要使所有的人都得益，没有太富的人，也没有太穷的人，所以日子才普遍好过。。。警告二、如果搞两极分化，中国就会发生闹革命的问题。。共同致富，我们从改革一开始就讲，将来总有一天要成为中心课题。社会
1691203751# #TFBOYS粉丝已在体育场外守候这粉丝是真疯狂，怪不得人人都想当网红明星呢！如果隔壁剧场有抗灾事迹报告会，又有几个会去看呢？娱乐至死…
1695353330# #旅游搭子有多少陷阱所谓“旅游搭子”，其实就是以旅游为噱头，利用大家对旅行的渴望，以及对陌生环境的不熟悉，进行各种欺诈和不法行为的人。他们通常以各种方式接近游客，利用游客的信任心理，实施诈骗、涉黄等活动。
1699337312# #两级纪检监察已介入体育馆坍塌事故这与齐齐哈尔坍塌事故才100余天，又发生了事故，举一反三全国是不是该好好查一查，不要再发生类似的事故。
1689911867# #服兵役多好啊，退伍之后，还有各种优待。现在可好，凉了允悲
1689463956# #四月的西湖,春花绽放,柳枝摇曳,雀跃莺啼,一派生机盎然的情景。毛泽东住在这里已经两个月了。他最近一直在考虑一件事,祖国统一成了他心中最大的夙愿。经过1950年、1955年的三次台海危机,毛泽东将对台方针从武装解放台湾转变为实现第三次国共合作,争取和平解放台湾。在1958年金门炮战中,毛泽东对
1690173887# #说是托都是抬举他们，就是参与诈骗的诈骗犯。现在：网络诈骗名目繁多，一定要擦亮眼睛，千万不要去贪小便宜啊。
1700458194# #他是一个时代的记忆，一座不朽的丰碑——缅怀“铁人”王进喜。。。发自内心的豪言壮语，大庆精神永不过时…。涨姿势
1701165258# #钓鱼岛列岛从古至今就是中国的领土，这是铁定的事实。
1697626233# #街道办称罗威纳主人愿意赔偿没个150万，有刑拘的心理准备，就不要养狗不牵绳。这狗主人在拘留所里面怎么分享，你打架，你偷盗，我家狗咬人了，真有担当，为狗坐牢。
1692886318# #1955年3月1日发行的第二套人民币三元面额纸币是我国唯一一种面额为三元的人民币。。。该币整体浅绿色，长160mm，宽72.5mm，正面两端各有繁体“叁圓”字样，正面下方标明“1953年”，上方有“中国人民银行”六字，中间是井冈山龙源口石桥图景，石桥周围的花边为深绿色，中间底纹为黄色。纸币的背面图案是
1694838403# #微博文化之夜盛典直播预约成功我来了还收获了一份穿越千年的可爱“问候”抱一抱9月19日，共赴年度文化盛宴~微博文化之夜郑州见
1692851669# #日本核污染水排海正式开始日本方面强行推动核污染水排海的做法是不正当、不合理且不必要的。我们敦促日本方面不要出于个人私利，将核污染的风险转嫁给全人类。
1699158773# #巴以冲突大量超近距离巷战画面！巴勒斯坦武装人员用火箭筒教以军做人，以军的步坦协同去哪里了呢？涨姿势
1689245678# #2023上半年十大热搜游戏作为一名普通的家长，我也始终认为玩玩游戏也并不是什么坏事，毕竟网游已成为现代人生活的不可少的事项，也是成长的一部分。但应正确的引导，适可而止。
1698755645# #从北京到莫斯科！
1693181772# #毛泽东：防人之心不可无。。抗战初起，举国上下同仇敌忾，不要说外人无法理解毛泽东的苦心与远虑，就是中共中央高层军政负责人，绝大多数也很难接受毛泽东这时的看法。8月20日，红军正式改编为国民革命军第八路军，蒋介石、阎锡山等又紧急催促部队出动开赴前线，部队内乃至共产党内要求与日军作战的情绪
1702558129# #请不要绑架普通老百姓，没有勤劳的老百姓想当二流子，一小撮二流子的叫嚣只能代表他们自己，如果有人想不劳而获躺平啃老混日子没人拦，那就让他们去摆烂吧，在摆烂中等待他们所谓的“革命”。
1699623032# #中美元首旧金山会晤合作总比对抗好！有利于两国，造福全世界！
1692413868# #上海六院称已连夜处理窗口人员阴阳怪气事件这个工作人员怼人能力绝对能考十级，怎么能安排在医院普通服务窗口的呢。太屈才了，应该安排在外交部门才对，可以让她去参与对外谈判，说不定能气死外国人。
1694491594# #蜂花捡箱子蜂花，我小时候最长用的品牌。不过，何时不用记不住了…
1688286981# #陕西黄河壶口瀑布拆围墙网友叫好这是好事，把祖国大好河山还给了人民。不过，这一安一拆浪费钱财，又该谁负责呢？
1687735033# #“悔不该听邓华的话哟”。。这是久经沙场的彭老总在一次战役后的感慨，彭老总在当时是被公认的“战神”，那么一向能打胜仗的彭老总为何要这样说呢？。。这还要从第五次战役说起，在第四次战役结束后，彭老总就决定发动第五次战役，目标是为了防止美国重现“仁川登陆”的悲剧，在朝鲜峰腰建立一个新的据点防
1688256444# #法国为何会爆发骚乱法国有传统的抗议文化，公众经常通过罢工和示威来表达对政策和社会问题的不满。这种抗议文化使得当社会问题出现时，人们更可能走上街头，声援或抗议。。。这次法国骚乱事件，警察枪杀非洲裔少年只是社会骚乱爆发的一个导火索，而实际上它表明的是法国社会矛盾已经到了爆发的临界点；
1693047235# #美国年轻人对日本排核污染水态度为什么美国人反应没那么大，因为除了不关心新闻外，还有就是外网封锁了消息，很多人根本不知道这事。美西方国家纵容日本往海里排放核废水，是对全世界人民健康极不负责任的做法。
1703821387# #女子急诊科猝死家属质疑护士玩手机在自媒体高度发达的今天，医务人员不仅要谨守行为边界，不做任何经不起质疑的事，而且即使行事正当，也需避瓜田李下之嫌。毕竟误会多了，也会影响医患和谐、增加医患猜疑，甚至误伤无辜。
1695865626# #国企董事长安排19名亲友担任要职这个就是国企的弊病，一人做官，亲戚朋友都吃国企！当一个共产党员抛弃党和国家的治理理念，必将是党和人民的罪人。
