1688185266# #天功夫唯快不破，😄笑死我了
1694556107# #醒了，这几天搬车间，昨天搬的差不多了，大设备都搬完了，今天就零散的一些办公室小东西了。
1701002209# #嗯
1700446221# #前往四川绵阳，这是坐的最远的一次动车了。
1687148624# #今年6.18物流好快啊。这个电脑G15感觉还是比较划算，应该可以满足我邮件、文档、视频编辑，Cad,3维建模。偶尔游戏，去年把我的MacBookPro,15年花了1万多，去年1700卖了，本来我不需要电脑，这段时间老处处差，有邮件、合同，没有电脑不行，就买最便宜的游戏本。觉得挺好🙂️。关键是便宜。
1700644645# #微笑这2天反常，天气好热。
1688564328# #看着令人难过。
1696818227# #客户订单的缩减导致我们产量也在降低，不敢备货，真是烦心啊。我们的生产不饱满啊。
1703422830# #记得99年后，每年的圣诞节日氛围越来越好，商场店铺都挂满了各式灯饰，放着音乐，很多人出来逛街，非常热闹。从小学到大学都充满节日氛围，那时的人没有觉得不妥，一个能够能使人快乐的节日没有什么不好。圣诞节快乐
1699066340# #太悲哀了
1696248383# #转发微博
1697019215# #巴勒斯坦人民无辜。哈马斯该从地球上消失
1687398750# #10个桃九个生虫，为什么呢？每天从冰箱里取出来的存货大多是坏的。
1698060527# #到火车站的路上与一位的士司机聊天，问了下他们的收入，刚好他有个朋友发来语音，一直在抱怨拉不到客，他就以它这位朋友举例，说每天要干的很久才3-4000千块收入，我说是每天8小时吗，司机说当然不是，看来目前的士在合肥也到了饱和的地步。
1699658853# #昨天看一女的开车后视镜都没有打开。我都觉得不可思议，开车不看后视镜吗
1699242984# #中午就这样靠着，晒晒太阳舒服啊😌
1700389454# #开了2个多月，这车挺好开，还没有去保养，等这次出差回来，该去做过首保
1699680142# #没有看懂啊，钱不要了吗？
1702725049# #一个网友写到：没读书的人，总觉得自己差一个学历文凭~。有学历文凭的人，会觉得自己差人脉广系~。有人脉关系的人，会觉得自己差核心资源~。总之一句话，都在从个人角度，缺乏顶端宏观视角！
1702725847# #看到小杨哥抖音视频10万人观看，就是无聊搞笑，其实也没有什么好笑的，有这时间不如自己搞点有用的，太浪费时间了。
1702872295# #车间生产时间我改到为早8电到下午5点半，中间一个小时休息，这个时间是不是大多数生产的时间。我们是一家机械制造企业。
1701320145# #安徽的只是降了一些
1700294553# #卧槽允悲允悲允悲
1701209805# #英语学习
1691973305# #昨晚与老婆吵架，因小孩发低烧，回来就对小孩说，谁让你出去玩发烧了，说是我当天带出去游泳导致的。本来小孩子在几周前就跟我说想去了，前一晚又在我耳边说，我觉得应该带去一趟，一个夏天才一次。但是搞得我好郁闷。游泳亲子游泳
1698063539# #现代人一个手机就是一个世界，完全沉浸在自己的世界中，忽略了外界的环境，包括我也是，其实这个真的不好，让人变得冷漠。沟通常常需要声音与表情的配合才是最为舒适。记得以前一个办公室一个做对边的同事，抬头就看的见的距离居然给我发了一封邮件来告诉我。笑cry我是大大的福了。
1693379540# #这个AppleCarPlay挺好用的，省去了数据线。
1698370828# #转发微博
1696603557# #看到了新闻挺难过的。6点多了，其实天气有点黑了，把一个4岁小孩独自留在沙滩边去拿手机，无人看守，真的挺可怕的😱，对于小朋友来说，10来分钟是很长的。我是不敢这样做的。
1698064157# #车上这个婴儿一直哭个不停，我感觉可能是太热了，本来车厢里空气不流通，儿童身体也是比成人要热的多。
1696996817# #中药🌿调理，你吃过了吗
1704184288# #今天又下雪了❄️
1702338540# #不明白斯柯达现在为何不好卖，15年买的斯柯达明锐中配自动挡开了17万公里，最差的路边保养，还省油，今年8.29日卖掉了，买了一台斯柯达柯迪亚克，便宜啊，目前开了7000多公里，开起来很好。
1699498530# #记得在刚刚参加工作的时候，那时候刚进入上海龙工挖机公司，从技术调离采购部门，我们的部长是40多岁的中年人，非常世故，所以进入采购也是我进入职业的低谷，有次出差，领导特意安排我与他到常州供应商考察，其实是冷路我那个江西财经的同事，席间让我顶酒，我不太愿意，回来因为某个小事情把我大说了
1687751833# #中午休息一下。
1695210823# #看看亚洲国家日本，学校有做预制菜吗，中餐不太适合预制餐。
1700889541# #我被骗了，15日接到一个电话，说某铁路西局再绵阳的办事处一负责人说要有个件让我报价，当天图纸发了过来，第三天我们把价格报了过去。第二天发信息同意我们的报价，让我们到绵阳谈一下签合同，因为临近周末，所以安排到了下周一我与朋友一起到了四川绵阳，接待的是一位50来岁的中年人，很快拿了一份合
1689163801# #真假啊
1692049331# #太悬了
1703579209# #今天在市区开高架油耗新低啊。
1698588560# #有意思
1687167407# #转发微博
1693224915# #昨天下午刚提的斯科达柯迪亚克，快到了100。公里，比我明锐开的舒服太多了。值。
1702706916# #大众的这个操作不够人性，如果由苹果来设计这样的车机系统，肯定更为丝滑。
1689775181# #刷抖音看到一男子用带子抽打婴儿脸，看不下去了，虽看到已报警字样，看到婴儿的哭声太受不了了。网传男子怒扇婴儿脸几十次网传男子怒扇婴儿脸几十次
1697964757# #马戏表演，小孩子们跳的欢。
1698456715# #提车2个月了，柯迪亚克中规中矩，可惜国内卖的不好，同性车款便宜，好开。
1687868005# #以后会越来越多的学校招不到学生，现在是幼儿园，十几年后大学，在后面就是劳动力匮乏。
1688033363# #寄个4公斤的货到美国，联邦快递1100多，真他娘的贵。
1692697224# #周末花了半天定了斯柯达柯迪亚克的奢享版，灰色。想着快点到。这几天也在忙着把2015年的明锐卖掉。希望卖上好价格。斯柯达
1696763143# #市区开到7个左右还是挺省油的，如果每天开车在10公里以内，基本就在9-10个油，如果连续开到15-20公里以上，不很堵车，油耗还是蛮低的，开到6.5-7，听说有的人开到5.5，我觉得那比较难。大多数情况下油耗6.5-7还是比较容易的。
1687077617# #小舅子送的一台2013年的笔记本最近无法开机，出差老是没有电脑，正好6.18抢了一台。觉得比较划算。
1693625962# #车牌到了，挺快的，也就3-4天的样子。没有牌到哪停车都无法识别挺麻烦的。
1692489808# #我想换车了
1697120722# #中午到不一定要小盹。
1694606282# #说上个月忙，其实这个月事情更多，搬车间，上月订单安排包装发货。日常订单还要安排，还有客户下漏的订单加急。
1691281029# #这是哪里？
1687591408# #国际形势好戏在后头
1693726307# #到了芜湖方特，可玩项目一般，不如恐龙园，门票250，另外收费项目也挺多的。总的来说不如玩迪士尼划算，按照芜湖的生活水准估计很难消费的起。
1692140452# #听说国内总和生育率1.09，那就是下降啊，这样经济将没有活力，消费变少，就业也将减少，随之的老人多，抚养比增大，医院的生意很长一段时间是超负荷工作。
1699572378# #喜欢
1702207959# #进入中年2件事非常重要，搞好身体，多挣钱，有钱不一定快乐，没钱更不快乐，可以增加对生活基本的保障和安全感。越有钱越快乐
1694008632# #这个自动巡航很好用，不用在一直踩油门了，前方车距过小会自动减速，待车距拉开又会自动加速，这对经常开高速来说很友好啊。
1688509356# #转发微博
1698742041# #原来里面钣金也蹭坏了，一开始我以为只是塑料防护板坏了，这太郁闷了，尼玛的停车场秀那么高的台阶。
1697858258# #简陋的办公室，比之前好多了。现在仓库、工具都分开房间了，之前是货工具都在一个办公室，乱的一塌糊涂，还有搞了地板舒服很多啊。
1693625784# #光明之家的路又开始动工了，之前好了填埋了，可能是当时还没有审批下来。好事，早日修改到集上方便了。
1702725310# #拿到120房型钥匙了。
1696906008# #战争最倒霉的是平民百姓。
1693643584# #还是京东规范，几块钱都会开一个正规发票。我们公司租金，还有外协的表面处理，从几千到上万块，经常听到的一句话，不方便开发票，金额还不够，我们的发票都是10万一张的。这尼玛的做多大生意啊。发票
1687077594# #瞧我这烂记性，上午刚买了一把伞，下午火车站就丢了。泪
1693914099# #今天出差中，要有效率，尽量快点把事情办完。跑2供应商一个客户
