1699253342# #天津助学金当事人不认可调查结果这学生会不会因此被开除了并不简单
1703229652# #帕梅拉听说科目三风靡全球了“舞”统世界，不是闹着玩的！并不简单
1694910365# #熊猫反客为主吐舌头逗游客来看萌兰整活了！
1688564400# #李玟去世没想到，这么开朗的姐姐，也会抑郁泪快告诉我，这新闻是假的！
1703171315# #误入蜜雪冰城雪王墓单身狗
1703246527# #闻会军一个亿这货不得不说，跳舞很丝滑，就是不知道怎么火的！
1689258569# #中医在利益集团眼里，好药可不等于是好产品，中医便宜又好用，那就该封杀！
1703665114# #在老家相亲400次农村真实的相亲现状，不是你嫌弃他，就是她嫌弃你！不过奇葩是真的多允悲
1700479348# #军人穿军装结婚被要求双膝下跪，不跪你穿不上这鞋！。网友：军装在身，代表的是祖国！
1695120314# #原神连续两个月跌出收入榜前十玩了原神后的精神状态，这……不好评啊允悲
1700893025# #缅甸把看热闹刻在骨子里的中国人，云南边境大妈们吃瓜现场，坡上趴着一群，玉米地还有一群，别人干生死，这里干八卦！
1695741059# #排在马龙前面的只有车水了无法想象，没有马龙的国乒，采访时，谁能上去说几句允悲
1701701211# #快过年了不要再买了快过年了，赶紧练习起开！
1696124338# #Lisa妆容这………半夜能吓到人吧允悲
1697617655# #被狗咬女童方律师称狗主人被刑拘硬核出门溜娃，宝妈为了防止疯狗，出门遛娃带榔头！赞
1697465263# #演唱会大合唱真的很好哭《晴天》想起，回忆奔涌而来！
1699585542# #又一位慰安妇制度受害者离世这是一位国外记者，拍下日本在南京大屠杀犯下的罪，因为过于残忍，至今都不敢对外公布！
1691512162# #是谁想出来的秋天第一杯奶茶！。店员：根本做不完！。外卖：求求别下单了！
1689346017# #女子坐公交被18岁男子摸臀猥亵大爷坐地铁，骂小伙子，为什么不给老人让座傻眼
1697777717# #重庆驱赶处置流浪狗保安被停职家养的罗威纳犬咬人，流浪狗却受到了惩罚！
1699402969# #一张图看懂娱乐圈，心眼咋这么小，连个小老头都容不下？
1690726442# #保定暴雨大水真的冲了龙王庙了允悲
1701606914# #解清帅妈妈晒儿子吃早餐21岁即将继承家族企业，却被贫困父母找到，他该如何选择……
1694848304# #乔任梁父母失独后重新生活粉丝们，都去追悼乔任梁泪泪泪
1692607704# #中国好声音母公司股价大跌潘玮柏都震惊了，椅子都自己转了傻眼看来还是资本赢了！
1699237457# #吃宵夜遇到狗妈妈难产了想了半天都没想明白，这家伙会是烈性犬允悲
1695012154# #九一八永远不能忘南京大屠杀幸存者，讲述当时全家被灭！勿忘国耻，振兴中华，吾辈当自强！
1695359244# #iPhone15和Plus破发兄弟们。iPhone15ProMax1TB钛合金白拿到手了……
1687163397# #蟑螂飞到耳朵里还咬出血这真的不是蟑螂吗？
1692591987# #狗和猫在失重状态下的对比失去双手的猫，也在勇敢的活着泪
1700327568# #中国猫睡觉手不能露在被子外面你怎么吃着碗里的，看着锅里的允悲
1690298719# #韩国的水果价格有多离谱韩国网友看到这个视频，集体破防了笑cry
1698809591# #万圣节该来的都来了这届网友是懂cos懂的！
1695048271# #邻居一盆水就浇灭了大火，这身法，没谁了！
1702956837# #学校回应地震时宿舍门不开这是想要谋财害命吗？安全通道上锁疑问
1697617169# #被恶犬咬伤女童家属发起200万筹款轮家犬的重要性，流浪狗上来就咬女童，家犬猛扑将其拿下！
1691287474# #地震云男子不相信地震预警，在家坐等，没想到，3秒后，房子开始摇晃！
1695534977# #Lisa发文回应上疯马秀：你没有被邀请！看得出来，她很愿意去，也感到光荣doge
1687258011# #猫咪不慎落水路人合力施救猫咪不慎掉入沥青里，生死一瞬间，在好心人的救助下，重获新生！
1701603821# #星光大赏阵容不知道能不能超越19年的阵容哇你们期待谁呢
1691298220# #海贼王海贼王我可以看第二遍，但青春，却只有一次泪
1696491474# #女子住主题酒店连续3间房发现摄像头一招教你马上查出酒店的针孔摄像头！
1695359211# #已经有人用上iPhone15了谁捡了我的iPhone15proMax512钛金属，赶紧还回来！
1687340466# #白敬亭谈和宋轶合作网友是懂形容白敬亭和宋轶的笑cry
1695461012# #苹果客服回应首批iPhone15品控问题黄牛头都大了允悲卖不出去！
1692761184# #男子上班上到一半，身体抽搐，猝死！上班只是生活的一部分，身体重要！
1695638856# #亚运会今日看点亚运会领奖小细节，真的被感动到抱一抱
1701090462# #顾客吐槽带娃去海底捞看到科目三很不适上次有个海底捞员工说：长得帅都在大厅各种扭，长得丑的都在后面盘子刷到起飞允悲
1689252556# #中医支持中医发扬光大，中医是中国的，如果我们不热爱它，热爱它的国家多的是
1698765984# #万圣夜上海巨鹿路人山人海震惊到警方都出动的cos，确实有点东西啊赞
1692248432# #孤注一掷东南亚上映对于张艺兴饰演的角色潘生，现实中，他是回不来的，不是说他si了，而且，作为技术的顶尖人才，早已经是高层了傻眼
1701960812# #彩票2.2亿我有十万，绝对不会拿去买彩票！。100万我更不会，1000万更不用想，1个亿，我就不需要买彩票，10万时，除非我知道彩票知道号码！
1702700461# #东方甄选孙东旭被免职一个领导当着数十万人的直播间，给下属下马威，足以看出，领导的格局，确实很一般！董宇辉被欺负，也只能吃哑巴亏！
1702425588# #国家公祭日不能忘，不敢忘，不会忘，铭记历史，勿忘国耻，振兴中华！
1700665160# #张艺兴晒和宝可梦的合影我就搞不明白了，张艺兴这么努力，也要被喷！难道在这个时代，努力也是一种错吗？
1696491533# #当婚礼上让狗狗送戒指狗子：你见过狗吃饭拿勺子的吗？
1699369586# #在东北打雪仗不要相信任何人雪王申请出战666
1692067781# #缅甸别做发财梦了，天上不会掉馅饼的！
1687748040# #那就清华呗这听起来好像是一个悲伤的故事🤔你考上了清华，他考上了北大，我烤上了地瓜！泪
1702564442# #昌平线故障已发现30余人受伤没想到这么严重，怪不得大家在拼命砸窗，原来是在抢救！
1690605317# #北京暴雨是谁，把井盖给拿走了！
1692029261# #竖琴计划吗？美国又一地发生大火，火势不明傻眼
1701081269# #这，《庆余年》一番不是张若昀吗疑问
1691502773# #孤注一掷票房破7亿网友说，《孤注一掷》就是挂着羊头卖狗肉的烂剧，可是它，已经7个亿了泪
1703433352# #广东冷到地砖都炸裂了广州的天空，大量蝙蝠出现疑问
1691065795# #90后小伙在涿州支起免费面摊洪水比想象中的，还要大，最低的地方有三四米，最高的达到十几米！
1691804100# #卡努已在辽宁庄河沿海登陆这么大的雨，谁顶得住允悲
1700722442# #脚踩葡萄干那个大聪明发现的，开心果还可以这样开！
1692888009# #历史会记住日本政府这一笔合影吧，陌生人！这么美丽的海泪
1692634045# #某猫上买的海飞丝，洗出五十多只黑虫子傻眼
1698590473# #石矶娘娘cos你是真会来活，cos关晓彤的《你叉叉》笑cry
1691416061# #松花江发生今年1号洪水或将转移群众网友拍的，洪水退去，家里的淤泥，得有半米高，家里的猫，也不见了！
1702715126# #东方甄选员工称内部确实混乱董宇辉违规名场面，有被可爱到！
1692248322# #药企一年花费3200亿用于销售对于医疗反腐，有网友表示：我就在福建做医药的，去年别人赚麻了，一个药店店长收红包，收了84个w，你就知道医院多赚钱了，女性医药代表只要想赚钱，吃顿饭，完事跟人走，比我干一年都赚得多。
1690644316# #小狗好像以为结婚就是离开主人训狗的爆笑瞬间！笑cry笑cry笑cry
1698737991# #李佳琦回应最低价争夺网友的这波内涵，直接把董宇辉、李佳琦、小杨哥给整懵了，这是再说我吗？
1699325829# #巴以冲突满一个月这就是占领国，要向世界隐瞒的真相！
1695917901# #一张照片证明你在堵车高速车都干着火了，大家悠着点开允悲
1691654681# #网传乳腺外科医生家中搜出一点五亿。以前的老中医：悬壶济世为苍生，妙手回春丹心厚载！。现在医院门口挂着：急诊人数突破200万！差点就把钱这字，挂在脸上了！
1692233542# #泰缅边境诈骗窝点有员工超2万缅北人贩子，到底有多猖狂，简直就是人间炼狱！
1688923705# #顶流也不灵了吗？肖战、任敏的《玉骨遥》，正片市场占有率没有白敬亭、宋轶的《长风渡》高傻眼
1699937071# #揭秘缅北电诈园区黑监狱缅甸电诈园区连夜把人运出来，武警官兵连夜押返回过！网友：这人数感觉云南监狱不够关啊！缅北电诈明家覆灭在即
1695450784# #蔡依林一眼就认出了花花顶流花花拍照都会摆pose了笑cry
1700975460# #煮娱网络剧影响力TOP10:白鹿、张凌赫《宁安如梦》第一！
1694746557# #网红峰哥亲历缅甸生死36小时去了缅北，不听话的猪仔，被虐得体无完肤！
1702716527# #董宇辉多次被孙东旭内涵仍称他恩人直播砸椰子，小孙直接当着十几万人的直播间，欺负董宇辉，董宇辉无奈，还只能陪笑泪
1695100863# #外卖小哥不顾订单哭着跑进派出所此刻，他到底在想什么！
1692860039# #日本官员喝下核污染水4年后引退消失。苏醒吧，我的爱人！。切尔诺贝利核事故前苏联50万（2万人直接死亡、20万人残疾）勇士举国之力将核污染物清理得干干净净，拯救了整个欧洲，却被西方骂了半个世纪。倭国，小事毫不马虎，大事永远龌龊。为了省钱防灾墙偷工减料，事故第一时间侥幸心理还想保住机组各
1702868679# #董宇辉成东方甄选高级合伙人我去，一个董宇辉高级合伙人头衔，直接让股价涨了13%666狂赚30亿！
1688899246# #第一次见到老了的猫咪原来修勾也喜欢撸猫啊笑cry笑cry笑cry
1698588908# #万圣节cos乙方这cos出新高度了666666666
1702283653# #致敬奋力拼搏的你再不努力，工作都要被机器人代替了！
1698391947# #黄渤说了什么，让总理开怀大笑！
1692168443# #缅北拦不住，根本拦不住，都去送人头！
1702214487# #北京下雪据说这是东北下雪时候的公交车，真的是别具一格，雪花飘飘，北风萧萧笑cry
1698022896# #以军称误击埃及军队哨所视频链接到以色列网友，被喷恶心，网友反击，你们以色列的护照，在国际上，一些国家都不承认！以色列网红嘲讽遭轰炸的巴勒斯坦平民被批
1692688273# #赵丽颖问是过七夕还是七多真嘟假嘟
1691684083# #如果是你，你喜欢哪个岗位！从此以后每天都是好日子
1701822491# #律师称若五月天假唱可能会被终身禁唱。好消息：唱得像行走的CD。坏消息：放的就是CD
1697530601# #庆余年《庆余年2》预约人数达到了688万人666666666
1702692874# #董宇辉曾试图挽留孙东旭这一段看，不妥妥的欺负老实人吗？打工人，真不容易，要为领导着想，却还埃领导欺负！
1697996308# #学校里的小狗随地大小睡世界破破烂烂，总有人在缝缝补补！
1701329363# #边牧是边牧狗是狗边牧给主人打视频电话，对不起，是我耽误孩子上清华了！
1697178507# #美国政府将从13日开始安排撤侨航班划重点“你们中国人”！doge
1703245470# #王源电子饺子老板发的电子红包🧧！。微信红包冬至快乐。你收到一个无产阶级红包，你无法在任何版本微信中领取，因为无产级人民的财富要自己创造
1700894552# #啊？角度问题吗？迪丽热巴疑问
1692031857# #3人偷渡到缅甸搞诈骗却因文化低被拒收赶紧跑啊，缅甸玉厂帕敢地区，开始抓壮丁了！
1701770248# #娜扎赢麻了谁秒了！
1692683571# #缅甸高官首度回应缅北诈骗十三哥讲缅北，八大园区老板基本跑路，搬到新加坡，迪拜，就剩小虾米，等着被抓！
1691931718# #给耶耶洗澡半个小时了还没打湿不知道什么原因，它失去了前肢，只能用后腿，走着，努力的活着泪
1698465617# #合肥市民用自己的方式，追悼李总理，来到红星路80号送上鲜花默哀！
1702987869# #第一次见到猫吸人天气冷了，希望大家好好关注流浪猫，流浪动物！
1697809582# #女子产后跳楼身亡派出所称其患抑郁症不能砸鸡蛋了，已经被围起来了！
1700129275# #缅甸一超市中国籍老板娘遭持枪绑架同盟军：感谢大自然的馈赠！空投，森林到处捡装备赞
1695472062# #李佳琦是想退圈了吗？什么叫做，全中国都没有，只有香港有傻眼
1688203456# #张雪峰称老师家长告诉你的全是真的华东政法大学新闻学毕业生怒怼张雪峰，有理有据，结尾出乎意料！
1690559075# #杜苏芮已造成福建72.46万余人受灾这么大的雨，路虎都不好使！
1695616757# #第一批iPhone要不要买到手的iPhone15pro直接废了，拍个照手机发烫，直接死机了泪
1702443096# #2023年国家公祭日勿忘国耻，吾辈自强，日本杀害中国3500万人！
1690707080# #暴雨天车辆涉水避险指南在大暴雨面前，路虎也不管用！
1701784266# #人民日报评五月天疑似假唱。好消息：稳得像CD！。坏消息：放的确实是CD！
1704019783# #过年碰酒杯素材了，我跟胡歌先干一杯！胡歌
1701908883# #阿信缺席就是认输了龚琳娜评价五月天假唱，靠状态和感觉走不远的！
1698588997# #上海版王菲那英皇上跟娘娘都出来逛街了！
1692030423# #女租客坐垃圾堆中玩手机，房东打扫三天三夜，称其一年不出门不扔垃圾傻眼
1694930676# #侵华日军罪证被3D无死角展示这样的仇恨，怎敢忘，怎能忘！
1692858673# #海关总署全面暂停进口日本水产品各位不要以为不吃海鲜就没事了，海水会蒸发成水蒸气，然后变成雨！
1691561719# #医药反腐我说咋看病这么贵，原来一个回扣，进入自己腰包，就是2000万起步允悲
1694876768# #李佳琦吹羽毛二创视频你生活在光亮里，所以你才觉得世界是光亮的！这就是李佳琦说的不努力！
1690553101# #齐齐哈尔34中体育馆坍塌11人死亡全国各地网友下单鲜花喝奶茶，让骑手送到齐齐哈尔三十四中门口！
1697796318# #巴以冲突那有什么岁月静好，只不过是我们国家给的强大保证！
1697790737# #下辈子不要当流浪动物了如果动物会说话，那么，这一刻，他们会说什么！
1693013715# #中方在联合国回击日方说辞鞠躬道歉不是日本的传统，日本的传统是切腹自尽，日本应该把这个传统发扬光大！
1701778641# #人民日报评五月天疑似假唱梁龙评价五月天，他们最摇滚的一次，就是插电真假混唱，梁姨你是真敢说！
1700797413# #吴亦凡案二审维持原判律师爆料，吴某凡在狱里表现良好，还创作正能量的歌曲！
1703842882# #东北大葱宠南方小土豆别太离谱，南方小土豆要被宠坏了允悲
1700143991# #缅北电诈集团3头目被移交我公安机关网友说，吴京的战狼，拍得确实不咋滴，太娘了，这次战狼续集有了，题材：解放缅甸电诈园区！
1702708523# #董宇辉曾在直播间回应过收入问题董宇辉自曝曾有人花2亿年薪挖他，他拒绝了，他觉得会遭到反噬，没想到，现在却遭到了被刺！
1701681141# #五月天经纪公司称没有假唱粉丝：不可能有假唱的，我们离他3米远，要是假唱，全场粉丝都会说的！
1698665904# #反垄断办称正调查核实李佳琦被指控价网友一波模仿，这是内涵了董宇辉+李佳琦+小杨哥？
1696254360# #长得丑但很温柔的狗狗起猛了，看到狗子撸猫了允悲
1692597782# #中国好声音评分跌至3.2各位猜，我看到了什么，希望是我想多了傻眼
1702562537# #昌平线故障已发现30余人受伤乘客疯狂砸玻璃，这节车厢所幸没人受伤！
1698678118# #缅甸什么叫万箭齐发，实属让人震惊！
1687793007# #狗仔将曝蔡徐坤另一位秘密情人颜粉在怀疑，黑粉在维护，患难见真情微笑
1691325633# #TFBOYS十年之约演唱会粉丝好热情泪
1702614681# #俞敏洪道歉能否让东方甄选留住董宇辉给东方甄选一个建议，以后谁写的稿子☺️，谁来念，团队写集体念并不简单
1687533133# #炎亚纶6首歌带你回顾飞轮海，90后应该都听过，音乐一响谁的DNA动了？
1699004837# #四年前的豆瓣男明星好恶感投票思考张艺兴，王一博挺冤的！
1701090574# #南部战区位中缅边境我方一侧演训画面安全感拉满，这就是万箭齐发的场景！
1697523259# #黑狗主人最高面临七年以下有期徒刑看把狗子委屈的，要不是监控，我得把命交代进去了！
1701245857# #女明星原名，比艺名还要好听，杨紫叫杨旎奥，刘亦菲叫刘茜美子！
1703161240# #超话排名前三十的生花捐款情况单身狗是不是有人默默捐了不吱声！
1700475511# #小鸡进到狗狗嘴里我怀疑，我鬼压床的时候，就是这个样子的允悲
1692368320# #杨坤不止一次吐槽过好声音真的很吓人，蓝台的做法，和黑社会有什么区别！
1692367320# #中泰缅老警方合作打击赌诈集团KK园区搬走的细节，不得不让人细思极恐，也正印证了缅北诈骗团伙手段的残忍！
1697642321# #巴以冲突已致双方超4900人死亡谁是全人类的公敌，一目了然！
1694673983# #茅台我和德芙官宣了这是想拿捏一家四口吧，爸爸喝茅台，妈妈喝酱香拿铁，姐姐吃茅台冰淇淋，我吃德芙酒心巧克力允悲
1700744030# #山川同念英雄回家沈阳全城迎接英雄回家！
1692373993# #交通事故单当事人那一栏是哈士奇卧在火车底线的狗狗，狗狗的耐心，救了自己一命！
1689158293# #日本是不是对世界各国恩将仇报如果没有危害，那日本怎么不本土自己消化了，自己喝了，就非得排海里，这不就说明，危害性不小吗？
1690458503# #杜苏芮路径整个广东都在等台风！🌀
1702089358# #周杰伦福州抢票周杰伦假唱是不可能的，但他会乱唱是真的允悲
1695203238# #新人结婚多名男子拿灭火器喷伴娘兄弟花2000请的结婚乐队，我自己就听了1800允悲
1701844870# #林俊杰直播林俊杰的格局，还得向周杰伦学习！并不简单
1702542092# #周末补觉危害比熬夜还大我想补就补，我自己舒服就行，专家管得可真宽啊doge
1700144520# #缅北现在还敢嘲笑战狼吗？不是不出手，是想一锅端！
1698464146# #警方称有权志龙吸毒证据看看广州的禁毒博物馆，里面出现了权志龙，可以说是实锤了！
1687616383# #普京指责瓦格纳负责人叛国今日国际新闻大盘点，每一条，都触目惊心！
1693207916# #在境外做电诈的人真的都是被骗过去的吗男子花钱偷渡缅北，不料被黑中介卖了，逃跑不成，翻到要被卸了胳膊！
1701435416# #魔改林俊杰花400万学的舞蹈，真的笑喷了，都能卡上点林俊杰
1697468526# #美籍犹太裔学者称应为巴勒斯坦人哭泣仇恨养成！
1699491576# #为什么越来越多的KTV关店了这就是我为什么不去看明星演唱会的原因！
1702553809# #董宇辉停播罗永浩：不干事的，都当上领导了允悲
1700044643# #缅甸果敢加速遣送中国人回国白家创始人白应苍对新婚的女婿说，不能做绑架sha人的事！dogedogedoge
1690377696# #聊斋学家马瑞芳谈刀郎新歌罗刹海市没点文化，还真听不懂这首歌！课代表把词义都标出来了！
1695177607# #你谈不上恋爱的原因男子军训操场跳Queencard！四年没有择偶权，确认识全校女生当姐妹！
1689944747# #大爷70岁了，依然童心未泯笑cry笑cry笑cry
1704033225# #狗狗的前世可能没忘干净在零下40多度捡到了两只草地笨小狗！
1701704446# #刘若英我爱五月天怎么说呢？
1694933517# #大姨妈准时的美自信美！
1695046060# #靖国神社居然还开设亲子班这群人，竟然不知道南京大屠杀，还说上课在睡觉！
1699353301# #官方通报医院被举报贩卖出生证及婴儿爆料者亲身讲述这一年多的经历，没想法，遍布全国十多个省份！
1694923123# #日军侵华罪行再添铁证试问这个仇怎么忘？如何忘？图中就是南京大屠杀中的“杀人比赛”，拿着我们同胞的生命为他们取乐！勿忘国耻！铭记历史！
1702135744# #啊？？？易烊千玺和王一博一样高？疑问
1691919239# #男朋友化妆堪比诈骗现场这是个男的啊，榜一大哥看了不得哭死～允悲
1699367581# #孤注一掷最终票房38.48亿爱看看各大媒体对张艺兴的评价，别再尬黑说张艺兴是假一番！
1688374327# #如何看待蔡徐坤回应蔡徐坤没了，黄旭熙还在，没想到允悲
1693013834# #谁在炒作只有中国反对日本排放核污水这不，已经有大V号出来洗了！
1692876707# #富士山爆发若达5级东京会受影响今年的紫薇星找到了，最该大爆的不是明星，而是富士山打call
1687581734# #炎亚纶前男友A先生再爆料以前飞轮海是真敢唱，而这首只对你有感觉也是真的火！
1700713094# #Angelababy旗下基金注销啊，这是刚通网吗？还有人为baby哭惨doge
1703145393# #萌兰扣盆之前居然还叹了口气萌兰：给大伙炫一个，不能让你们的票白买！
1692888493# #中盐集团回应食盐抢购现象下班路上遇到的，太夸张了，一人一麻袋允悲
1693058011# #95后小伙怒砸自己开的日料店自己开的店，想怎么砸就怎么砸，男子穿日本投降T恤，却别路人喷极端民族主义！
1698069805# #成都崇州被狗咬伤女童已转出ICU动物都是有灵性的，女子经常投喂流浪狗，没想到，有一天家里着火，狗子敲门，救了她一命泪
1699523892# #一中国女子在日本街头被杀害比靖国神厕还要恶心的三个地方！谨慎去，避坑！
1689776494# #台风天深圳海滩上出现大量海鲜外卖都被吹走了！
1692370723# #华裔老太太生活拮据，选择摆地摊，没想到被美国的警察，直接罚款1000刀！这事要是发生在国内，肯定上热搜！
1694876520# #白猫直播间的主播是一只白猫鸿星尔克这波格局直接拉满，带上所有的国货，直播走秀抱一抱
1690477188# #杜苏芮核心区创纪录的狂风暴雨妈祖：小杜，跟我走，转个弯，向小日子前进！
1698390699# #缅北多地爆发激烈战事缅甸打击电信诈骗！
1696508951# #现在的老年机，都发展成这样了吗？有按键，还能触屏允悲太强了吧
1691331815# #TFBOYS快本的信前奏一响，青春登场！多大腕，今晚也得夹者唱！tfboys十年之约演唱会
1692870534# #受日本核污水影响最大的省份再也不喜欢奥特曼了！。怪兽:我一直在帮助人类毁灭日本，而你们却相信日本凹凸曼
1695917307# #一张照片证明你在堵车看完建议掉头回去doge
1703145479# #爱猫失踪后女子暗访整条产业链冬天的流浪猫，不是被饿死，就是被冻僵而死单身狗
1691650126# #张艺兴电影吃马桶纸是真吃看来，这电影，要成暑期第一了38亿，目前也快破10亿了！
1687060417# #新来的实习生工资比我还高部门新来的00后！😂这才几点？已经悠闲等着下班了～
1687333082# #邓超多巴胺穿搭沈腾多巴胺穿搭笑cry笑cry笑cry
1691285136# #海贼王海贼王教师排行榜允悲路飞五档
1694847543# #iPhone15使用标准USBC端口这泼天富贵终于轮到网友了，苹果假5G，双倍赔偿吗思考
1690169971# #TFBOYS演唱会超300万人想看谁家粉丝最有钱，我估计应该就是TFBOYS了，演唱会前排18万一张，一下子给了50万，订了三张傻眼
1702121597# #林俊杰浪漫广西林俊杰的浪漫广西，已经忘记原唱了笑cry笑cry笑cry
1697541806# #拉布拉多白狗无辜，交友须谨慎！
1692841425# #日本核污染水下午排入海洋世界可以没有日本，但不能没有海洋！
1689428002# #起因是这帅哥的母亲骂这女孩拍他儿子做什么，女的反驳:你儿很帅吗，我拍你儿子做什么？结果帅哥的妈妈一个水壶给女孩打得头破血流！女孩挺可怜的，男孩很无奈，他母亲太凶狠了重庆
1700483474# #猫生第一次能救一只是一只！
1700704517# #宠物犬被捕狗队抓走后送往市场宰杀能救一只是一只，谢谢好心人！
1702352220# #2023那些闪闪发光的00后00后:靠自己没用，只能靠神了！
1702716406# #天权原来一切都有迹可循，董宇辉曾对天权说，你终于把小孙给开除了，那么，天权蛋黄酥的做法，是不是以身入局呢并不简单
1691077879# #卡努家人们，二师兄已经游了一个钟了，还没有人去救它允悲
1697724528# #老人带1岁男童回家被恶狗撕咬3分钟深圳也开始行动了，今天抓了好多流浪狗，全部打包到警犬训练学校去，希望狗狗有一个好的归宿！
1692072359# #就传唱度而言，周杰伦还真的不如凤凰传奇允悲
1700830147# #时宴吃播王鹤棣演的很好，下次别瞎jb接剧了！
1690518034# #泉州海峡体育中心顶篷被狂风吹走家里的垃圾桶，起飞了！允悲
1702214091# #缅北遣返回国的缅北诈骗分子，人数最多的省份，竟然是湖南疑问
1692925240# #日本本州东海岸远海地震不知道以后还能不能看到健康可爱的你们！
1702830621# #东方甄选罗永浩评价俞敏洪是铁公鸡，伪君子，希望他能兑现董宇辉的承诺并不简单
1697811613# #亲属发声咬人恶狗系偷跑出门小狗有什么错，它就出来散散步，就被人用弓箭，射穿了身体！
1700732512# #明星收3.3万元坑位费只卖出一包木耳这不是三国里面的饰演凤雏的庞统吗？
1686982994# #指鼠为鸭从小抓起，这是鸭子doge
1698761790# #万圣节cos功德箱都出来了，不知道能不能存钱的允悲
1693206949# #东电承认超6成储存核污水放射物超标这么可爱好玩的海獭，将要因为核污水，失去家园泪
1692504418# #王泽鹏这是什么？小日子的旗帜吗？
1695815245# #大熊猫祖传躲雨姿势当大熊猫捡到手机后嘻嘻嘻嘻嘻嘻
1703429476# #小米汽车坏消息：缝合怪。好消息：缝的都是大家喜欢的舔屏
1697290995# #鸡蛋是舍不得吃的牛奶是上次给他们的意外失去双手，但也依然热爱生活！
1692684109# #星期二没人约很正常的啦在大家都不再纯粹去爱的年纪，我才刚刚笨拙地打开恋爱的门。
1689075035# #百亿影帝朱一龙，确实有点东西啊赞
1696137504# #志愿军老兵日记本里写满对祖国的爱你知道国庆节怎么来的吗？。全体复诵：勿忘国耻！
1701830330# #媒体评林俊杰为何恼了400万原视频，bgm还有舞蹈，还是很带感的！
1703690015# #广州晚霞广州的绝美晚霞，你们遇上了吗？
1702792599# #董宇辉IP估值约10亿美金考古这一段视频，其实，俞敏洪估计早想卸磨杀驴了，董宇辉为了节目效果开的玩笑，感觉俞敏洪似乎当真了，步步紧逼，不应该是点到为止吗？
1694769997# #中科院被骗博士晒出缅甸工资单不好好骗人，每天都埃电棍！
