1693693199# #我们想念毛主席…鲜花🙏鲜花🙏鲜花
1698272857# #莫言曾说：。“当你老了，躺在病床上，无依无靠的时候，你就会明白：这辈子最亲的，并非血脉至亲，而是你身上拥有的二样东西。”。第一样东西是钱财，无论你的处境如何，钱都会帮助你，绝不会背叛你。第二样东西是永不被困难打败的精神，它是支撑你活下去的力量，信念和勇气。鲜花
1692055614# #山高路远风吹散，移情别恋布道场。计划下月能实现，亲临其境看天池。🙏阿弥陀佛🙏
1693744624# #同年同月同日里，同时同刻同框中。同男同女同夫妻，同车同地同庆生。鲜花微风作揖音乐心
1697843573# #🙏🙏🙏
1700870058# #吴老的绘画，我是最喜欢。早年临幕过，低调而奢华。作揖作揖作揖作揖
1689292647# #法国艺术真善美，留下经典传世作。人物塑造学院派，色彩鲜艳夺眼球。鲜花微风作揖音乐心
1693694870# #怀揣梦想步黄昏，人去楼空步红尘。多少故事步传奇，改朝换代步辉煌。🙏阿弥陀佛🙏
1702081517# #吃饱喝足牵手，身边几朵金花。皆是发小姐妹，从小一起玩大。作揖作揖作揖作揖作揖
1692836691# #生活皆是如此，风景就在身边。上下比过知足，有吃有喝可以。挤眼哈哈挤眼哈哈挤眼
1699836860# #我经常怀疑我的前世，也许真的是佛门中人。所以我如果再有来生，一定回归寺庙做高僧。阿弥陀佛🙏阿弥陀佛
1698961153# #罗娜超话。语言不多．真情在，。祝福简单．都是爱，。虽然不见．牵挂在，。一句您好．全替代，。感恩有您，情相伴，。祝您新月，收获多，。健康快乐，每一天。。娜妹早安吉祥！。🌹🌹🌹咖啡咖啡咖啡
1687909704# #干净利落点春秋，昆仑山脉雪顶天。炎热夏季画清透，凉气袭来风佛面。鲜花微风作揖音乐心
1687842872# #眼前走来都是你，左右摇晃女儿身。虎里虎气真好玩，三岁看老自有道哈哈哈哈哈哈哈哈哈哈
1692062095# #天要落下雨，娘要去嫁人。天灾是人祸，随它就去吧……🙏阿弥陀佛🙏
1689111356# #文化搭台（七）。朋友别开生面，。相聚内蒙草原。。烧烤美酒佳肴，。欢歌笑语西东。。鲜花微风作揖音乐心
1694474295# #上海陆家嘴，平行宇宙间。雾里云缭绕，光影日流金。作揖作揖作揖作揖
1698535654# #民以食为先，行走天下客。打卡在徐州，大张烙馍村。赞赞赞赞
1702248202# #人老珠黄实无奈，养儿防老太沉重。积谷防饥常态化，不如保姆零距离。🙏阿弥陀佛🙏
1695463097# #无人共鸣沉默金，低头莫管天下事。宅在家中盘葫芦，自娱自乐也是虫。哈哈哈哈哈哈哈哈哈哈挤眼哈哈挤眼哈哈挤眼
1703981238# #砖家叫兽依赖症，强迫民意可信度。满嘴火车跑得快，早已空有其虚名。挤眼挤眼挤眼挤眼挤眼
1703806077# #养生堂…作揖作揖
1696044746# #文人丹青妙手绘，翰墨飘香笔天歌。特别推出名人画，巾帼建功新时代。鲜花微风作揖音乐心
1703116781# #时光匆匆流星雨，人生如梦又一年。车轮飞速前行路，往事如烟随风飘。🙏阿弥陀佛🙏
1702942460# #🙏🙏🙏鲜花鲜花鲜花
1702688534# #昨日清晨雨，今早雪霜降。出门多穿衣，保暖平安福。作揖作揖作揖作揖
1691100932# #🙏敬畏自然🙏近日罗布泊传闻，事故壮士又别离。我有一位老大哥，中国探险第一人。我们深谈圈内事，前期准备太重要。以往失败都轻敌，认为自己很强大。人与自然多渺小，智慧生存勇者胜。🙏阿弥陀佛🙏
1688851729# #走过路过（五）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1702169321# #罗娜超话。早安两字很简单，。持久坚持不平凡。。心中有你才问候，。发自肺腑祝平安。。微博传去情和义，。祝你天天福满园！。鲜花娜妹早上好！鲜花
1692575295# #猛眼一看似蜡烛，自我燃烧似火焰。寻找快乐似童年，吃瓜老汉似神仙。哈哈挤眼哈哈挤眼哈哈
1700626529# #小雪。。原创娄旭娄旭在玩儿2023-11-2211:00发表于北京。。2023年11月22日。癸卯年十月初十。今日小雪。。小雪。是二十四节气中的第二十个节气，冬季的第二个节气，时间在每年公历11月22或23日，即太阳到达黄经240°时。小雪是反映降水与气温的节气，它是寒潮和强冷空气活动频数较高的节气。小雪节气的到
1701989982# #画家老师您吉祥.。作揖作揖作揖
1699133012# #莫言说：。“退休后才发现，。什么同事、同学、朋友，。都是人生过客，。最终都会全军覆没，。什么攀比、计较、面子，。都越来越没有意义，。都是些折磨人的东西。”。。人生就像一趟列车，。有人上车，就会有人下车，。这中间没有一个人，。能够一直陪你走完全程，。真正到达终点的那一刻，。往往车上只剩下你自己。
1697238808# #天上飘下林妹妹，青花淡彩素颜装。仙女驾到添风采，有缘相遇情相伴。鲜花心鲜花心鲜花
1688343646# #奥体公园真漂亮，都市村庄花绽放。以前跑步知野菊，这个地方改日去。鲜花微风鲜花微风鲜花
1693608888# #金丝路绿纽带，山水画景相连。文人墨画家笔，曲声远路漫长。鲜花🙏鲜花🙏鲜花
1688083195# #文艺复兴众百家，素描喜欢鲁本斯。绘画作品来欣赏，线条流畅自然美。鲜花作揖鲜花作揖鲜花
1699920774# #苗条淑女君好逑，不爱红装爱武装。巾帼英雄枪在手，保家卫国民皆兵。鲜花微风作揖音乐心
1697328808# #小草悦听风，香水浴美人。扛事真性情，胸怀大智慧。作揖作揖作揖作揖
1687469247# #走过路过（四）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1693094099# #今天早餐看品质，家庭成员人最齐。石榴多子又多福，能吃会算想抱孙。哈哈挤眼哈哈挤眼哈哈
1693097506# #听了小草夜话，看清前行之路。细节决定品质，靠人不如靠己。作揖作揖作揖作揖作揖
1703452909# #罗娜超话。风是雪后寒，人是老来亲。。清晨起床好，微博是飞跑，。送去了问候，带去了美好，。愿我们:。身体要健康，童心而不改。。精神快乐中，生活多美好…。。鲜花美丽娜妹早上好！心
1698876753# #日落西山霞光照。，美女打靶归来时。心情舒畅皆十环，巾帼不让须眉志。心音乐作揖微风鲜花
1699916976# #走过路过（十）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1701553753# #剑出鞘（四）。我国最新研发，。几款新型武器。。爱我中华大地，。重装保家卫国。。鲜花微风作揖音乐心
1698536001# #食遍天下美食，发小相聚徐州。烧烤当红花旦，推杯换盏畅聊。心音乐作揖微风鲜花
1687914402# #这是凉茶吗？咱还没喝过。夏季很流行，防暑又降温.。挤眼挤眼挤眼挤眼
1699919041# #退休已有多日，绘些小画自潮。此时人间百态，咱是返老还童。哈哈哈哈哈哈哈哈哈哈
1702249979# #御笔乾坤人正道，沧桑巨变笔耕耘。古典画法浅绎色，仙女多情诗书画。🙏阿弥陀佛🙏
1698015200# #养生之道…作揖作揖
1702421668# #罗娜超话。玫瑰加油烟花耶玫瑰。爱心祝福有爱，问候有心；笑迎今天，期待明天；让健康相随，让快乐相伴！握手强憨笑OK。玫瑰娜妹早上好玫瑰天气寒冷，注意保暖拥抱。咖啡太阳作揖
1693181259# #养生堂…作揖作揖
1688422414# #好方法，简单易行…作揖作揖
1691027956# #我的根儿在东城，一个知名老胡同。达官贵人四合院，阳楼拆迁再无声。允悲允悲悲哀允悲允悲
1686957209# #无歌曲项长湖静；求下联！鲜花鲜花鲜花游客寻欢长短枪。
1703717262# #八部金刚功…作揖作揖
1696122081# #远山近景皆有缘，天生我材必有用。神山圣水聚宝盆，众生朝拜人转山。🙏阿弥陀佛🙏
1692998377# #罗娜超话。健康是金金不换，善良是财财不断。开心是福福如海，珍惜是宝宝如山。知足常乐乐满园，问候是情情满天。新的一天早上好！🌹娜妹您吉祥🌹
1690243336# #四季如春花浪漫，苦尽甘来花绽放。人生短暂花开时，留给人间花芳香。🙏阿弥陀佛🙏
1703454637# #走过路过（六）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1703714943# #走过路过（四）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1702598156# #作揖作揖作揖
1701561788# #才看几眼我便知，此人必定是鬼才。色彩运用如此好，上天浩德仙人助。鲜花作揖鲜花作揖鲜花
1690665674# #罗娜超话。一来一往一句话，。一早一晚一牵挂，。一心一意一祝福，。一生一世一段情。。愿我们永远平安、。愿幸福快乐健康。。美丽娜妺早上好！。鲜花微风握手音乐咖啡心
1693867999# #打蛇必须打七寸，豺狼不尽难平安。倭寇贼子心不死，妄想毒害全世界。老毛怒吼备核弹，苍天起动富士山。大震海啸一起来，灭掉鬼子王八蛋。
1697670550# #🙏🙏🙏
1696723681# #鸟巢型似钢铁侠，离家真的不太远。从来都没去看看，也许无缘来相见。腾笼换鸟心中结，土生土长北京人。允悲允悲允悲允悲允悲
1703214099# #风吹落叶草一堆，万象更新又一年。众人齐聚在一起，笔绘速写画一幅。哈哈哈哈哈哈哈哈哈哈
1688254055# #儿时梦回归，火炉四季情。生活知百味，百姓自多福。作揖作揖作揖作揖
1700008635# #养生堂…作揖作揖
1694561065# #🙏🙏🙏
1688595663# #大笔一挥山大王，开心一刻笑不停。众人一语是动力，小屋一统知天下。哈哈哈哈哈哈哈哈哈哈
1699490240# #艺术家的生活，总是丰富多彩。梦幻世界之旅，宇宙电影前行。鲜花作揖鲜花作揖鲜花
1695083305# #金秋时节九十月，满山遍野红顶天。五谷丰登合家欢，枫叶红栌色眼影。微风微风微风微风微风
1688254413# #老话人常说，养生笔耕耘。书画静之动，灵活气丹田。作揖作揖作揖作揖
1689198965# #罗娜超话。蝉鸣夏日长，。风动荷花香。。虽然天气热，。心静自然凉。。过好每一天，。不负好时光。。盛夏多保重，。祝福送健康！。娜妺早上好！。🌹咖啡音乐心
1693528903# #说一千道一万，今天燃气费又涨了，这是大实话.。挤眼挤眼挤眼
1693266454# #聪明女人话不多，高开震荡线下行。眼神放光找机会，行走江湖险中求。鲜花作揖鲜花作揖鲜花
1699047381# #【人生述说】。许多时候，我们执着于梦想，以为远方才有风景。。但其实，最美的风景，往往就在身边。。人生短暂，转眼间，岁月就悄悄走掉了。。要知道，岁月易蹉跎，但难回头。。人生苦短，不要计较太多，与其在纷扰中度日如年，不如在舒适中快乐的生活！。鲜花微风作揖音乐心
1696892480# #生活小窍门.。作揖作揖
1696024803# #走过路过（一）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1694300734# #一壶老酒随身带，走东串西心爱物。老态龙钟来口酒，全身上下人倍爽。哈哈挤眼酒虫挤眼哈哈
1687921978# #🙏🙏🙏
1699047493# #你将幸福捧在手上，。看起来微不足道，。可是一旦放手，。你便会后悔不迭。。人生，。只有像茶叶一样，。在滚水中反复折腾，。浸泡，。才可以把内在的潜质逼出来，。为自己创造出长久稳定的幸福。
1693003818# #美女如云大长腿，老少通吃谁能敌。三岁看老天生命，将遇良才不倒翁。哈哈哈哈哈哈哈哈哈哈
1693440618# #本身肚子很饿，还要怕胖减肥。戒口实在太多，与佛能有何干。哈哈哈哈哈哈哈哈哈哈
1694041354# #十五月亮十六圆，每逢佳节倍思亲。哥俩相约望江亭，心忧核毒入海流。允悲允悲允悲允悲允悲
1697585896# #李白醉酒对天歌，花开无数齐争艳。戏水鱼儿聚宝盆，画家情怀笔耕耘。鲜花微风作揖音乐心
1697497056# #喝点小酒人到位，不知身处在何方。晕头转向走过去，错把小树当情人。哈哈允悲哈哈允悲哈哈
1692618028# #人民领袖人民爱，人民领袖爱人民。世界风云多变幻，风景无限这边好。鲜花赞鲜花赞鲜花
1700785452# #🙏🙏🙏
1692237793# #人民的好书记…🙏🙏🙏
1698108637# #梦幻平行世界，漫步首钢园区。工业残留建筑，塑造不同风格。作揖作揖作揖作揖作揖
1700257175# #【人生感悟】。。人活着不是靠泪水博得同情，。而是靠汗水赢得掌声。。。世界很公平，。你想要比别人强，。你就必须去做别人不想做的事。。。你想要更好的生活，。你就必须去承受更多的困难，。不吃拼搏的苦就会吃生活的苦。。。真正的强者不是没有眼泪，。而是含着眼泪继续奔跑，。不要让任何人偷走你的梦想，。因为没
1693868634# #谁给你们的权力，这是违法的行为。挂着羊头卖狗肉，心怀鬼胎灯下黑。🤮🤮🤮🤮🤮
1688765518# #高山峻岭入云端，。为了生存勇向前。。动物世界大比拼，。纵身跳下成人礼。。鲜花微风作揖音乐心
1687124470# #走过路过（四）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1688937791# #在台大醫學系畢業後長年在美執業心臟科醫師的提醒~。。‘’60歲以上的人，每兩個小時就必須喝一些液體‘’。。。每當我向醫學系四年級的學生教導~臨床醫學時，我都會問以下問題~。。老年人精神錯亂的原因有哪些？。。有些人提供：「頭部腫瘤」。。我回答：不是！。。其他人說：是「阿爾茨海默氏症的早期症
1690830347# #罗娜超话。大雨小雨下不停！。伴着雨声寄深情！。雨水无情人有情！。平安健康你我行！。雨天出门需小心！。注意安全请慢行！。美丽娜妹早上好！。鲜花微风微笑心咖啡音乐
1693266090# #生活就是画个圈，城里城外来回窜。奔波劳碌折腾够，世态炎凉独自知。🙏阿弥陀佛🙏
1691021484# #恶梦开始的时候…允悲允悲允悲
1703201105# #养生堂.。作揖作揖作揖
1693006070# #养生堂…作揖作揖
1702860544# #做内心强大的自己…鲜花作揖鲜花
1697498066# #做的五颜六色，看到就想去吃。这里有个学问，精华重点碗里。哈哈哈哈哈哈哈哈哈哈
1690844663# #继往开来传承者，当代画坛伉丽人。苦心钻研仕女画，出水方知清雅美。鲜花作揖鲜花作揖鲜花
1698448498# #你的善良，就是你的福气，里面藏‬着你的运气，只要坚持，就‬是修行。。在不可预‬知的未来，往往会给你带来意外‬之喜。。善良的人总是快乐的，感恩的人总是富有的！。带着感恩与善良，不忘初心，顺风前行.。🙏🙏🙏
1696886882# #罗娜超话。美丽娜妹，早上好！。。秋意无声，天转凉；。桂花无声，味道香；。文字无声，情谊长；。惦念无声，心里藏；。问候无声，送吉祥。。鲜花微风作揖音乐赞心
1703024106# #罗娜超话。❄️气温下降北风寒，出门一定要穿暖，室内室外温差大，预防感冒保平安。。娜妺早上好握手咖啡💐地面结冰路滑，出行注意安全！鲜花🫂鲜花
1703713098# #罗娜超话。感恩所遇，终身不忘。。一路同行，幸福安康。。一个招呼，有思，有念，有牵挂。。一声问候，有情，有义，有祝福。。鲜花鲜花美丽的娜妹早上好！心心
1698795250# #阿弥陀佛🙏🙏🙏
1691533026# #人类早已无底线，什么坏事都干出。失去人性丧天良，狼心狗肺何为人。允悲允悲允悲允悲允悲
1699824718# #玫瑰太阳人生有缘才相逢，志同道合才同行，风一程，雨一程，珍惜缘分重感情！心在，缘在，牵挂在，我的祝福永远在爱心爱心爱心拥抱拥抱拥抱。。玫瑰抱拳早上好！握手玫瑰
1699479916# #京城一日游（下）。。京都皇家四九城，。故宫北海颐和园。。天坛地坛八达岭，。从古至今出英豪。。。鲜花作揖鲜花作揖鲜花
1698883757# #金秋十一月，开门迎财神。五福八方客，好运连绵来。作揖作揖作揖作揖
1688265402# #转载今日头条：。当代中国社会阶层结构。。文章图片1。由陆学艺主持的“当代中国社会结构变迁研究”课题组提出了以职业分类为基础，以组织资源、经济资源和文化资源的占有状况为划分标准的当代中国社会阶层结构的理论框架。。。根据这个理论框架将当代中国社会结构分为十大阶层(国家与社会管理者阶层、经理
1698108775# #美轮美奂酒廊，溶入现代原素。实现梦想成真，别有一番韵味。鲜花作揖鲜花作揖鲜花
1688773229# #拉着虎皮做大旗，男盗女娼灯下黑。台上演戏跑火车，吃喝嫖赌拐骗偷。允悲官场现形记允悲
1699569493# #感恩伤害我的人，因为他磨练了我的意志！。感恩绊倒我的人，因为他强化了我的双腿！。感恩鞭打我的人，因为他激发了我的斗志！。感恩欺骗我的人，因为他增长了我的智慧！。感恩抛弃我的人，因为他让我学会独立！。感恩批评我的人，因为他让我改正了缺点！。凡事感恩，学会感恩。。🙏阿弥陀佛🙏阿
1696980726# #做人可以没有金钱，但不可以没有善良。苍天大地五色之土，孕育万物和谐众生。🙏阿弥陀佛🙏
1694557590# #草原牧歌悠扬曲，牛羊成群马儿跑。老少同行享快乐，笔绘风土人情事。鲜花微风作揖音乐心
1692401305# #此人现在特别火，评为当代第一人。近期视频看太多，学术褒贬各参半。哈哈吃瓜群众哈哈
1689029421# #养生之道…作揖作揖
1696894571# #颐和园中景，佛香阁中物。桂花风中香，百姓坐中堂。作揖作揖作揖作揖
1696719906# #甘南行（一）。临夏八坊十三巷…
1697244278# #梦幻天上飞，影子根留住。上下两相宜，虚拟大世界。挤眼挤眼挤眼挤眼
1702334848# #人这一辈子什么最好？。没房的时候，房子最好。。没钱的时候，钱最好。。离别的时候，相聚最好。。生病的时候，健康最好。。不役于物，不囿于心，才是最好！
1699047998# #京圈饭局…（中）。帝都脚下四九城，。达官贵人喜相逢。。推杯换盏酒司令，。美酒佳肴论东西。。鲜花微风作揖音乐心
1690156528# #都市丽人灯光秀，沿续前缘时尚风。摩登巴黎文献展，艺术精品三百件。鲜花作揖鲜花作揖鲜花
1694038477# #罗娜超话。早霞美，晚霞醉，。亲情友情比金贵。。每天问候当聚会，。日子自然有滋味。。心态年轻第一位，。健康快乐平安福。。美丽娜妹早上好！。鲜花握手微风咖啡音乐
1700710544# #弹指挥间几十年，转眼早已不认识。那时年轻滑冰场，物是人非草木深。🙏阿弥陀佛🙏
1687268199# #其实我更喜欢，翡翠，寿山石，当然和田玉也喜欢。这次出行在巫山土家族古镇里，人家都看表演，可我却在农民家里看老物件，淘回来了一件心爱之物，民窑粉彩瓷盘…挤眼挤眼挤眼
1698528138# #罗娜超话。缘分紧相连，友谊永不变。但愿人长久，彼此常思念。贵在身体好，天天微博见。娜妺早上好！鲜花握手微风音乐心
1691724218# #仰望天空流星雨，花草鱼虫香浓郁。诗书画印文笔墨，李白醉酒对天歌。鲜花微风作揖音乐心
1702677346# #走过路过（九）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1698613726# #罗娜超话。忘掉年龄糊涂过，寻找顺心天天乐，每天都是新起点，童心伴随百岁活，清晨送您三件宝，幸福快乐身体好！。鲜花微风美丽的娜妺早上好！音乐心
