1701931212# #武运昌隆
1690645309# #隔壁小件种每天晚上被我各种吵睡不着就是你天天一大早开门关门那么使劲吵到你爹的报应微笑
1699107387# #正泰。这个热搜需要二哈
1689767460# #可惜最近梅雨季苦澀
1700726795# #cool！
1700971124# #卧槽那么久了真给浴室批盼到了我们初恋组真的要一起走下打比赛了苦澀苦澀苦澀
1700905697# #我滴妈，看完花海直播只能说康平路有自己的颠公微笑
1693730041# #今日份的休息。一下午是各种没看的泰剧和一盒炸鸡陪伴熊貓
1693745440# #没错，好你妈微笑
1697361069# #小刘日记：。要不是穷了哥们现在也在现场看比赛呢，不说了明天踢踢寄和AG现场见二哈
1698578571# #终于打的像blg了苦澀
1693496839# #从GK到DRG.GK再到DRG，你们还是你们，我喜欢的整整齐齐总有遗憾
1699182107# #加油
1692777578# #东方树叶三得利。东方树叶一票！舔屏舔屏舔屏绿茶才是yyds
1700580910# #辛苦了
1700971473# #喻史超话复活吧我的初恋组苦澀苦澀苦澀
1697854216# #你是否认同追竞让人审美降级。我都他妈贩剑的追竞了你让让我怎么了苦澀
1698464035# #钎九同框卧槽同框同框合影留念鼓掌鼓掌鼓掌
1696902723# #看脸对我真的很好
1700276285# #送给春风，送给绿洲，岁岁年年，永垂不朽
1688995836# #我们还是会对好看的晚霞心动啊🌇。to老裴：此路不通，祝你好运✨
1694774224# #丞磊卢昱晓或将二搭搞快点搞快点舔屏
1688732727# #今天是橘子🍊汽水味儿的娜拉威和他的亲亲普明熊貓
1694348468# #哇哇哇哇太甜了有点熊貓
1694074667# #今天一定把会议纪要写完，不能再摸曲子了妈的
1695917852# #生日快乐🎂
1689516716# #微博那群出生那群黑子呢？。你爹赢了呢？。出来说话啊？。不是说给武汉送分吗？
1701405307# #RNGMing这个转会期我真的以为是TES.ming了，操微笑
1694055647# #2022届本科生平均月收入5990元怎么国家统计平均工资没把我算在内吗？
1697377296# #全华班被献祭。谢谢，你爹主打抗韩
1698825336# #欧恩这视野分对得你特么的天天峡谷逛该了允悲
1698218234# #曾舜晞到达长白山我们只是，好久不见
1690630218# #盛夏灼灼，颂你，送你。
1689502223# #BLG锁定常规赛第一。是我主队！！！！！牛逼！！！。菠萝糕的夏天一定会更好的！
1702008517# #最好的膏咪
1703779060# #一阳顶峰再相见。这次真的要跃龙门了
1691243740# #好好备战，此志无双
1693745567# #妈的我锁门了你不知道有人在洗澡吗，尼玛的你开门时候听不到里面的水声吗，你妈是在这个浴室里面死了你来哭坟嘛，敲一遍门还不开还尼玛敲，敲你吗呢敲，操你妈的希望你妈以后死了你也那么积极
1701362932# #一年又要过去啦，十二月快乐🎉
1700673999# #你们韩国人不睡觉吗苦澀
1698841881# #浪漫至死不渝
1700730028# #2023LPL全明星我已为助力一次，快来和我一起为他加油吧！
1700394725# #轉發微博
1704467468# #TTG老盖。讨厌爱演的哆啦A夢害怕
1690298434# #真想把睡觉打呼的人杀了
1690731923# #OK我和解了一天时间快调整吧妈的后天还要打李宁呢苦澀
1697546047# #家人们谁懂啊明年又有新剧了熊貓熊貓熊貓
1692352557# #HBD！
1692793683# #活了23年头一次体会到了男女同寝的感觉，真是操了微笑
1697621799# #桃你真的很棒你知道吗
1704530562# #旺乎xi真的闹木kiyo
1698490052# #抽签微博寄和板蓝根只能说各自加油吧，而你，我的朋友，你真特么的配享太庙啊啊啊啊啊啊啊啊啊啊啊啊啊
1700394855# #首尔爱情故事
1702359475# #祝你好运，祝你们好运
1690365766# #BLG对战TES看这集被吓哭了
1691736387# #肯定是汉堡坐垫啊真的很爱蟹黄堡
1703435875# #我的mbti职业性格测试结果是：ENFP(竞选者)，mbti十六型人格，mbti测试链接。
1688808798# #让我妈开播，弹幕准备bp了二哈
1704025416# #新年快乐🎆
1704540467# #这只是今年的第一个冠军！！！2024的blg还会有很多冠军！
1697634590# #章鱼哥你不是讨厌海绵宝宝吗，我能顶替他吗，我一定不会打扰你的苦澀
1704546255# #哥哥和他的第一sup熊貓熊貓
1695729357# #电竞首金
1690894070# #都是出生微笑没必要进S赛了
1702222459# #onelk超话今晚的欧恩，亢奋的让我觉得我们AD哥哥是不是给你什么了熊貓
1703039878# #一年一度🫡
1704280111# #今年也要全勤且冠军！
1692891629# #世界其实就是一个巨大的草台班子，下午日本排放核废水，晚上我在想明天的对量怎么办
1699014870# #我他妈的装到死！！！
1692763262# #研究称日本核污水排海240天到达中国。地球可以没有日本，但是不能没有海洋。小日子你tm的真是个铁出生啊
1695804584# #当我刚刚付款麻辣香锅一共消费51的时候，我就知道，今天注定是不平凡的一天太開心
1702222277# #是这样的
1697721971# #无所吊谓，今天全胜
1704469258# #今天还有德杯比赛，这时候你们几个打组排真的有点子过于暧昧了哆啦A夢花心
1703776307# #日常看比赛，睡前恐怖游戏催眠，中午舌尖下饭，一切都很合理，图二像个笑话哆啦A夢害怕
1698578607# #这他妈的才是blg啊苦澀
1698583491# #这个我可以看一万遍親親
1703424721# #朱开谈亚运会换人你在狗叫尼玛呢啊微笑
1689920624# #tj你死了算了妈的微笑
1701083029# #2023LPL全明星我已为助力一次，快来和我一起为TA加油吧！
1691733880# #711cp官宣我以为711和罗森官宣了允悲
1699708789# #明年你们一个人都不能少苦澀
1691678098# #喝醉酒最适合发疯了熊貓
1702359138# #明年加油
1698660563# #dys说了，欧恩这视野分必须高的允悲
1703167343# #玉玉嗯？哆啦A夢害怕嗯！哆啦A夢吃驚嗯～哆啦A夢花心
1699017222# #我们五个人的故事还在继续
1693729855# #轉發微博
1694526262# #月公子也是无锋吗你们这是无锋上面长了个宫门吗doge
1702484385# #神动一
1689759872# #Rookie这不是很正常吗，我闺蜜在我眼里就是谁都配不上的，姐妹之间说这个很正常吧doge
1704040429# #新年快乐。新年快乐，祝你祝我祝我们！
