1701835427# #清者自清
1700787249# #“吃着农民种的粮食，穿着工人织造的衣服，住着工人盖的房子，人民解放军为我们警卫着国防前线，但是却不去表现他们。试问，艺术家站在什么阶级立场？你们常说的艺术家的‘良心’何在？”以上内容素材来源于，如有侵权违规请联系本人删除，
1701665112# #多艘商船在红海海域遇袭，美方：美军舰出于自卫开火。据美联社和路透社消息，当地时间12月3日，多艘商船在红海海域遭到无人机和导弹袭击。美国军方人士称，袭击由“伊朗支持的胡塞武装发动”，长达5个多小时，一艘美国军舰“出于自卫而开火”。也门胡塞武装发言人宣布对袭击负责，并称以色列船只“在拒
1702024330# #吕梁南高速公路管理有限公司情况通报。8日，李师傅告诉极目新闻记者，离石西收费站管理人员和撕毁证件的工作人员在当天早上到他公司，向他道歉，还赔偿了1元钱打印费用。李师傅发来的道歉视频中，涉事工作人员说：“12月3日下午，你经过离石西收费站的时候，我在工作中给你带来不好的驾乘体验，我在这里
1700269050# #转发微博
1700556160# #1960年因为私做熟食屡教不改被枪毙的老赵，被判决时愁眉苦脸，满脸悲愤。2023年中信银行的原行长孙德顺贪污受贿高达9.795亿余元被判死缓时谜之微笑，脸色平淡。
1703821557# #早睡1小时有哪些好处【今晚起请早睡1小时！经常晚睡身体会发生什么变化？后果可怕！】早睡1小时有哪些好处据健康时报，人的一生中，约有三分之一的时间是在睡眠中度过的。睡眠不仅有助于消除疲劳、恢复体力，同时身体细胞修复、肌肉生长以及大脑垃圾清除等重要过程都是在睡眠时间完成的。。而如
1700975379# #苏大惠问：理赔审核一般要多久？。答：将理赔材料提交齐全后，对性质明确、属于保险责任范围内的申请案件，将及时作出核定，情形复杂的，将在30日内做出核定。
1703466159# #【地震致青海海东32人遇难】记者从青海省应急管理厅了解到，截至12月24日23时，地震累计造成海东市32人遇难、2人失联。目前对失联人员的搜救仍在进行中。青海海东仍有2人因地震失联（总台记者熊传刚李永辉）
1699572830# #转发微博
1700470234# #中方做什么不做什么无需别人指手画脚【外交部：中方做什么不做什么无需别人指手画脚韩国不是南海问题当事方没必要凑热闹】今天的外交部例行记者会上，有记者就韩国总统尹锡悦20日涉华言论提问。对此，发言人毛宁表示，作为负责任大国，中方一直在国际地区事务中发挥着重要的建设性作用。中方清楚
1702025885# #郭富城现身杭州，方媛超低调主动拉行李，默默贴墙走不抢老公风头。12月7日，“四大天王”郭富城从香港乘机前往内地杭州工作，一起陪同到来的除了工作人员外，还有“天王嫂”方媛，众多粉丝提前抵达机场迎接偶像，并献上鲜花、当地特产等礼物，暖心举动感动郭富城。
1702434942# #【红斑狼疮高发于育龄期女性】红斑狼疮曾被称为世界三大疑难病《中国系统性红斑狼疮发展报告2020》显示：据估算，我国系统性红斑狼疮患者约有100万人，总数位居全球第一，发病率位居第二。系统性红斑狼疮是一种自身免疫疾病。系统性红斑狼疮高发于15岁至45岁育龄期女性，以多脏器多系统受累为主
1699937005# #两所高校官宣共用一扇校门【武汉两所高校官宣共用一扇校门】11月13日，湖北武汉。两校师生的蹭饭图鉴
1701821603# #转发微博
1699938566# #【很多胃癌是吃出来！防胃癌这5种要少吃不吃】如何吃才能防住胃癌？撸串、火锅、小啤酒、一天三顿小烧烤……这是不是很多人日常生活的标配？其实很多胃癌都是自己吃出来，一时嘴上爽，后悔的是自己！
1699410403# #苏大惠江苏医惠保1号的低保费，高赔额，无病史限制，是其他商业保险无可比拟的。江苏医惠保的目的是让大病和重疾患者有希望。
1700817835# #人贩子余华英受审现场人贩子余华英受审现场【被人贩子拆散的家庭有多痛苦？看当事人讲述】1993年到1996年期间，余华英与同伙共拐卖11名儿童，被拐儿童家庭的命运也因此改变：罗兴珍的一双儿女被拐后，她在火车站旁原地摆摊27年，苦苦等待孩子归来；陈丙连的儿子被用一根冰棒骗走后，她3天白了头
1700214823# #感谢北京！说出这句话时，联合国秘书长发言人脸上笑开了花。4亿9083万0444美元全额到手，联合国终于不用担心停摆了！。。近日，一场隆重而盛大的会晤在美国举行。在这个特殊的时刻，常驻美国的联合国也跟着沾了光……联合国秘书长发言人杜加里克开心到遏制不住脸上的笑容，甚至还把中国“长城”拿出来秀
1700029396# #地震局称鸭绿江水冒泡与地震无关地震局称鸭绿江水冒泡与地震无关【地震局回应鸭绿江边水咕嘟冒泡：建筑残土空隙导致，与地震无关】11月14日，辽宁丹东，鸭绿江边水咕嘟冒泡，地震局回应：建筑残土有空隙遇冷空气产生，不算异常，和地震无关，以前也有过这种现象。
1700470011# #全球九大候鸟迁飞区四个经过我国【全球九大候鸟迁飞区四个经过我国】我国候鸟种群数量实现持续增长国家林草局最新监测显示，我国20多种珍稀濒危鸟类野生种群数量增长明显。其中，素有“东方宝石”之称的国家一级保护动物朱鹮，野生种群数量由上世纪80年代的7只，增长到目前超过7000只。我国特有
1703583746# #社评：平安夜为何不平安？西方应扪心自问。12月25日是西方圣诞节，这本是他们一年中最重要、也最热闹的节日。但如果看看美西方媒体在这一天的头条报道，人们感受到的更多是“平安夜（圣诞前夜）不平安”，节日应有的喜庆与祥和被各种冲突和混乱挤到了边缘位置。加沙仍在延续的战火，美国科罗拉多的枪击
1702528285# #院长住院8次、副院长住院6次？河南一医院虚设病区捏造病例“套医保”。2022年，郑州市医保局中牟分局对牟州医院套取医保的情况，进行了检查。当年11月，相关负责人告知李林，查实医院共套取医保614.02万元，并将对医院进行处罚，案件移交到公安部门。。设置一个并不存在的病区，再冒用他人的身份信息办理
1702725891# #2023年度十大新词语发布【2023年度十大新词语发布，特种兵式旅游、显眼包等上榜】12月16日，国家语言资源监测与研究中心发布2023年度“十大新词语”，它们分别是：生成式人工智能、全球文明倡议、村超、新质生产力、全国生态日、消费提振年、特种兵式旅游、显眼包、百模大战、墨子巡天。
1703291767# #转发微博
1703672626# #郭晶晶市场买菜都要讨价还价做慈善公益事业从不手软，她就是跳水皇后郭晶晶，甘肃地震灾区捐款7000万一方有难，八方支援愿甘肃人民一切安好！
1701220444# #关于饿死三千万：。“据县委说，全县3年约死3万人，去年约死2万人（请注意，叶永烈在他的书中引用此材料时，在前一个“约死”二字中间添了一个“饿”字，在后一个“约死”中去掉了“死”字，这样，就使此处变成了“全县3年约饿死3万人，去年约2万人”。于是，联系上句，“约2万人”也变成了“饿死2万人
1703560517# #打击文化汉奸，功绩载入史册。。文化汉奸，反新中国和人民，抹黑人民子弟兵，诋毁伟人，美化侵华日军，跪拜美日认贼作父。打击掉文化汉奸，必载入史册，名垂青史。（作者）
1703318042# #媒体评论称为上证指数正名媒体评论称为上证指数正名【证券时报评论员文章：为上证指数正名】证券时报评论员文章指出，最近资本市场上的一件大事，就是频频爆发的上证指数点位保卫战：先是3000点保卫战，然后又是2900点保卫战。在新媒体时代，上证指数这个位于舆论中心的股票指数，难免受到许多嘲笑
1699927624# #以牙还牙！俄罗斯三发全球通缉令，提醒了中国，该算算旧账了。。就在这两天，我注意到了一个消息，普京政府再次发出全球通缉令，将国际刑事法院的法官戈迪内斯，列入了通缉名单，因为她曾经批准逮捕普京，和普京的代表利沃娃-别洛娃。。。注意，我用到了“再次”这个词。实际上，这不是俄罗斯政府第一次发
1699918848# #转发微博
1700557232# #王部长辛苦了。。在美国旧金山几天时间里非常忙，刚回到北京，刚刚倒回时差，又紧接着参加了一场正式会见。。今天也就是20号，王部长又会见了与阿拉伯和伊斯兰国家外长联合代表团。。在旧金山的几天，王部长非常忙，在16号一天，王部长面对媒体，介绍了会晤的基本情况并回答了媒体的相关问题。。。在10月底
1701993603# #真假难辨？
1702095934# #捡别人身份证结婚害对方无法登记结婚【捡别人身份证结婚害对方无法登记结婚】女子领证意外发现23年前被结婚了2019年，家住广东的童女士和男友决定去东莞市民政局登记领证的时候，却发现系统里显示自己已经结过婚了，而且丈夫的名字都没有听说过。经核查，23年前有人捡到她的身份证结了婚，而民政
1700461691# #以色列重新定义了巷战的打法，就是，只要建筑物里有反抗，或者说以军觉得可能有反抗，那么就直接把建筑推平。发现地道口，就地给堵上，发现地道内的基础设施，比如空气交换设施什么的，直接炸掉！要知道加沙就挨着地中海，最毒的还是引海水来个漫灌，上善若水，画面太美，不敢想。以上
1702080867# #今天毫不意外，安理会对阿联酋决议的表决再次出现了逆天的美国1票否决，13票同意、1票弃权的票型。中国常驻联合国代表在投票后发言，表示对美国的否决极大失望和遗憾。摊手摊手美国一票否决巴以决议张军安理会美国·联合国总部大楼地点
1699489038# #去年与靖姗微博一直有互动，她给我点赞多次，前不久也与她经纪人联络，她经纪人特别亲切，靖姗虽然很多人不知道，但是她是中国最高票房电影《战狼2》女主角，从电影角度她是最成功的，中国唯一拍过50亿以上高票房电影的女星，
1700179182# #1951年，杨承宗放弃55万年薪，选择了回国，却只得1000斤大米，他因放射源坏掉一只眼睛，落选了两弹一星功勋，甚至房改款都交不起，却依旧坚努力奉献。100岁时却要捐献身体。。 。1911年，他出生于江苏省的一个小县城，这个时期正值辛亥革命和民国初年，中国社会经历了剧烈的变革。在这样的时代
1702945843# #转发微博
1700438937# #转发微博
1702614770# #东北校长把学校改成游乐场引质疑【把童年还给孩子，东北校长把学校改成游乐场引质疑】沈阳浑南区，有个以“玩”为主的学校。在这所学校里，遍布着独轮车，甚至还有滑雪、赛艇、攀岩等运动用的器材与设施。“老侯”是这所学校的校长。在课间，他还会带领着孩子们在1400个大汽车轮胎组成的“小山”上
1699140564# #叙利亚成功控制戈兰高地，以色列命悬一线，知情消息者表示：可能会切断以色列水源，叙利亚占据戈兰高地，完全可以切断以色列的水源，这样一来，以军必将不战自退。戈兰高地是中东地区的战略要地，有极其重要的战略价值。  在中东，有两样东西最重要，一个是水，另一个是石油。没有了石油，人还可以生
1702979417# #欧洲学者：美国花15亿培训记者撰写有关中国的负面报道
1702097786# #国参议员指控：中国大蒜构成重大国家安全风险。我一开始还以为是假新闻，后来仔细一查，还就是真的，好一个黑色幽默。。美国一位参议员指控：中国大蒜构成重大国家安全风险。。BBC的新闻是这样说的，“美国共和党参议员里克·斯科特，最近写信给美国商务部长雷蒙多，声称中国大蒜不安全，理由是生产方法不
1701305231# #转发微博
1702722633# #董宇辉还能若无其事的回归吗董宇辉还能若无其事的回归吗【东方甄选免职孙东旭董宇辉赢了吗？】12月16日，东方甄选官方账号发布人事任免通知：董事长俞敏洪兼任东方甄选CEO职务，免去:孙东旭的东方甄选执行董事、CEO职务，即日生效。。免职孙东旭，董宇辉“赢”了吗？我们不妨想一想，在这么大
1700440189# #【缅甸民族民主同盟军要求果敢老街外籍人员撤离我外交部曾提醒：中国公民暂勿前往！】缅甸民族民主同盟军称果敢老街战斗将打响11月18日晚，缅甸民族民主同盟军（MNDAA）发布通告称，为了尽量避免发起总攻时造成老街城区居民重大伤亡，要求老街外籍人员迅速撤离战区。缅甸民族民主同盟军方面表示
1699837573# #转发微博
1699506203# #00后被领导辱骂后起诉获赔100元【00后被领导辱骂后起诉获赔100元，获法院支持】据华商报报道：上下级发生龃龉不合，被领导爆粗辱骂后迟迟等不到道歉，23岁的江西小伙小港（化名）为讨公道，一纸诉状将上司刘某告上法庭，要求其公开道歉并赔偿精神损失。。。最终获得法院支持，小港的经历也被网友们戏
1700214636# #以军的核弹他敢用吗
1702648581# #胖哥论坛超话董宇辉否认加盟京东【董宇辉独家回应加盟京东传闻：不属实】董宇辉说目前没有接触任何公司12月15日晚间，一张网络流传的截图显示，刘强东的人力副总裁已拿着刘强东的亲笔签名前往陕西招募董宇辉，并且谈得很顺利，去京东的可能性很大。京东方面对此事件暂无回应。针对该传闻，董
1700107112# #快意青春十二年快意青春十二年秋光作序，芳辰复始，物换星移，不变的，是我们内心对生活的爱与信念。少年意气，以为专业可以打通所有人生滞涩；青春成事，在过去和现在间找到自我和解的余地；实践获真知，青年人开始把个人成长和乡村复兴拉起了共同体……无数次相信和选择，让我们知道年龄从不是界
1703307016# #宁夏最美拾荒者胡雷，带着五万多元的物资来到灾区积石山。
1701162527# #郭晶晶一袭藏蓝色毛呢小西装搭配同色系伞裙出镜，优雅又不失气场，被老公紧搂在怀里合影，好宠溺！霍震霆年近8旬，身姿挺拔，气宇轩昂，精气神超棒！霍启刚，霍启山，霍启仁，3兄弟同以藏蓝色西装示人，仪表堂堂，英俊潇洒，超帅气！
1699074554# #【网红铁头向东方甄选道歉：非常后悔和自责】今日凌晨，打假网红“铁头”发布视频向东方甄选和董宇辉道歉：“大家好我是铁头惩恶扬善，很郑重的、正式的在这里给东方甄选和董宇辉道歉。。我在10月9号直播时声称：故事是要钱的，你那份产品50块钱，那个故事可能就要40块钱过期的毒鸡汤，听完以后觉得
1701390582# #霍英东夫人设灵，霍启刚郭晶晶一家五口四代同堂送别船娘，最接地气的豪门媳妇，下嫁到霍家，与霍启刚相爱16年恩爱如初综艺娱乐搞笑明星吐槽专治不开心如侵权即删
1699231059# #【研究发现血型与疾病的发生有相关性】血型与疾病的发生有相关性吗？还真有！多项研究发现，血型跟癌症、心脑血管疾病、糖尿病、消化性溃疡等多种疾病的发生存在一定的关系。。。血型或真的跟疾病有关系。。A型血：心脑血管病、癌症风险高。2022年发表在《神经学》杂志上的一项研究显示，一个人的血型可能
1703804486# #转发微博
1702096894# #解清帅父亲称不管买家是谁我都恨他【解清帅父亲称不管买家是谁我都恨他】解克锋称不管买家做得再好我都恨他重返亲生家庭不到一周，解清帅又回到四川处理认亲后续事宜。对于儿子的这次别离，解克锋不再日夜忐忑。。。1998年，出生百天的解清帅在河北邢台家中被拐。夫妻俩自此走上了漫漫寻子路。“
1702851095# #【我很想尊重资本家，可他们值得吗？】我很想尊重柳传志，他收购IBM，曾是民族企业的光辉典范，被誉“满门忠烈”；但他涉嫌侵吞、转移国有资产，卖到内地的电脑居然比卖到美国的还贵，很明显在坑中国人，而且近1亿元的退休金不分我一分钱，叫我如何尊重他？。。　　我很想尊重马云，他曾获得“影响中国”
1703318938# #曹云金辟谣“诈捐”，称已报警！中华慈善总会发声。近日，甘肃积石山发生6.2级地震。演艺圈相关人士纷纷捐款，曹云金也发视频称自己捐了20万。。然而，网友却质疑曹云金的转账和捐赠证书不是一个人。还有网友称曹云金晒出的证书是三无产品。。对此，曹云金本人、中华慈善总会进行了回应。。曹云金回应：
1703206148# #转发微博
1702871937# #湖南一女子遭黑狗撕咬脖子【湖南一女子遭黑狗撕咬脖子目击者：手和脖子均被咬伤多人曾试图驱赶未果】12月17日，湖南湘潭一女子遭一只黑狗撕咬。一名目击者称，女子身体多处被咬，期间多名居民曾上前帮忙未果。事发地社区党支部书记告诉记者，黑狗系周边商家喂养，女子已送医治疗。记者从湘潭双马
1700360413# #以色列称将攻打加沙全境以色列太极端了！称将攻打加沙全境！。。巴以冲突到现在，已经死亡了大概12000人以上了，如果以色列要攻打加沙全境，那么可能将造成更多的伤亡，将可能造成更多人的流离失所，而这对以色列有什么好处呢？。。对中东国家来说，现在巴以冲突的性质已经开始转变，以色列不断屠杀巴勒
1703058945# #【周知！9图看懂关于酒驾醉驾的新规】关于办理醉驾刑案的意见将施行《关于办理醉酒危险驾驶刑事案件的意见》今天发布，并将于2023年12月28日起施行。关于醉驾的认定和立案，有何变化？醉驾具有哪些情形时将从重处理？更多详戳↓↓O司机请注意！醉驾新规来了
1699403686# #转发微博
1699918981# #转发微博
