1695740052# #月亮
1702194843# #1965年8月，刚入秋，中共中央在大连棒槌岛召开会议，有感于当时国际上的反华浪潮，作为全国政协副主席的叶剑英元帅写了一首《七律·望远》：。。忧患元元忆逝翁，红旗飘渺没遥空。。昏鸦三匝迷枯树，回雁兼程溯旧踪。。赤道雕弓能射虎，椰林匕首敢屠龙。。景升父子皆豚犬，旋转还凭革命功。。。因为是由感而发
1703899513# #话筒
1691068893# #蜡烛蜡烛8月3日，经核实，此前在北京市房山区佛子庄乡班各庄大桥开展抢险救灾行动中落水的另一名蓝天救援队失联人员刘建民被找到，已无生命体征，壮烈牺牲。
1693302411# #一错再错，这就是阿里。。错，不是错，而是湖。。这个季节，正是西藏高原最好的季节，。而所有最好的都在错中。。。本条图片皆为舒水（大象）摄制。。奋进新征程感受天上阿里
1688987135# #普京在6月29日会见了普里戈津，这应该是普里戈津在兵变后出现在莫斯科那次的事情，诡异，很俄罗斯，也表示了俄罗斯政治的复杂性，但也表示了俄罗斯未来的大风险，卢卡申科说过，普京曾在6月25日想干掉普里戈津的，但4天后又情势如此陡变，未来呢？我看还是很难说。
1693388885# #这款面膜主要针对面部肌肤松弛状态，以及面部细小纹路。到一定年龄以后，肌底细胞开始衰老，屏障功能下降，皮肤锁不住胶原蛋白，胶原再生速度赶不上流失速度....这个好物闭眼入
1688892815# #good
1692402843# #消失的他…非常感人，来自于国家安全部公号。
1695771496# #话筒
1689378734# #【真长见识，这就是传说中的5G智能化采煤！】在鸡西的城山煤矿安全生产指挥中心，这是与中国联通、华为、沈阳煤科院联手打造的城山煤矿“5G+智慧矿山”，东北三省第二家、省内第一家联通5G“信息化高速公路”。基于5G+UWB融合智能调度指挥系统，建设井下无线通信网络，搭建融合通信防爆和安全管控平台
1699331872# #邦主精选好东西山东黄金维纳斯苹果，4.5斤精品果（约10-12个），39.9元。。。这款苹果被称之为⁤苹果中的“‌小甜心”‬，⁮它以爽脆爆汁的口感，香甜浓郁的味道，让很多人喜欢吃。。。来自中国苹果发源地，生态种植，不打蜡，产地现摘现发。苹果的果壳较小，而且皮薄脆嫩，吃起来很甜。再加上它金黄色
1691635169# #邦主精选好东西预售13号发货，陕西火晶柿子，玲珑吊柿，皮薄如纸，纯甜味浓。果期：8月中下旬下到10月中旬。。。4-4.5斤，24枚/30枚，原价：31.9元；拼团价：28.9元；4-4.5斤，24枚/30枚，顺丰快递，原价：38.9元，拼团价：35.9元。。。在《长安十二时辰》中，有一幕惊艳的特写，剧中雷佳音用麦秆吸着吃
1702254315# #【英语无用】讲讲我的感受，我觉得现在中国小学、中学和大学的英语课程，就是那种纯粹想教会中国孩子学会英语的课程，的设置，百分之九十的原因，就是为了解决之前已经累积和遗留下来的大量所谓英语教育人才的就业的，这些年来，中国的高等教育培养了无数的以教授中国学会说写英语为目的的老师们，这些
1701940518# #这款山核桃仁是去年的爆款口碑产品，临安山核桃核心产区，品质十分有保证。制作上依旧是去年的原味，并且把盐糖比例控制到了9%，因为盐糖加的少了，山核桃仁就多了，成本就贵了。这样的山核桃仁更加凸显了山核桃天然的甜味和奶香。这个好物闭眼入
1703783406# #2011年埃隆·马斯克就是这样肆无忌惮地嘲笑比亚迪，但12年后的今天，比亚迪正在超越特斯拉，成为全球第一的新能源汽车制造商。一个美国人评论说：美国人嘲笑中国已经25年了，并失去了每一个该死的时间。。。美国才有不到300年历史，在中国开始历史这件事的时候，美国人----不，严格说美国猴子还挂在树上
1692813263# #住在阿里3天，酒店级别并不高，费用也不高，但每天都送一堆又鲜又美的水果，弄得我有点儿不好意思，就问为什么这么大方？原来22号是七夕，中国的情人节，送个情人给客人那是犯法，就送水果，23号是第八届象雄文化旅游节期间，又是噶恰钦赛马会，全城人民开心，老板还要向客人表近心意，苹果又大又甜。。
1691562044# #转发微博
1693135773# #这是我在阿里地区革吉县拍到的“民族团结”，多么美好的语言：处处盛开民族团结之花，人人争做民族团结模范，民族团结的人民最幸福，民族团结的国家最强大。同心共筑中国梦，中华民族一家亲。我多次对新时代的政治仪式文本表示由衷的赞叹，这些看似朴素的语言、平实的道理，再经中文建设的妙手构设，格
1688978853# #自然成熟的大荔冬枣，光亮诱人，微微泛黄，一抹赤红微微点缀，它包裹着脆甜的嫩肉，含有人体所需的1十几样氨基酸和维生素，营养价值为百果之冠，被誉为“百果王”、“活维生素丸”。这个好物闭眼入
1694134341# #good
1697509475# #一，地区退休金水平与这个地区的经济总量水平应该没有绝对的正关系，西藏经济总量最低，但退休金水平普遍会很高；二，退休金平均水平是个假概念，个体差异、行业差异、职称差异才是现实存在的；三，退休金没有可执行的世界标准，各国有各国的标准。
1702131574# #【救不救？谁来救？该救谁？怎么救？｜第1287期】现在中国的各行各业，我看若论有可能的最败坏，我们说的败坏，并非完全是道德败坏，还有产业品质和产业秩序的败坏，排在顶前面的，一个是地产，一个是金融，而如果是金融+地产，那就有可能是败坏中的败坏，不但这两个行业有可能最败坏，因为这两个行业
1696114140# #转发微博
1692669218# #天上阿里，就在这里。第八届象雄文化旅游节节幕式片花，震撼大高原。。奋进新征程感受天上阿里
1698027227# #中国联通卫星应用推介会中国联通今天举办了2023年卫星应用推介会，在卫星应用50周年的时间里，中国卫星通信从无到有，从有到优，真的是很了不起。现场汇集了60余个厂家的卫星应用产品，全面展望了中国卫星行业的未来，从空、天、地、海等多领域描绘中国卫星通讯应用的蓝图。。。国字号运营商是中国高
1702730057# #在我印象里，俞敏洪和新东方因为“双减"政策而遭遇到的严重危机好像就不在久前嘛，结果这次因为董宇辉和东方甄选事件曝光出来的收入数据显示，俞带着新东方的产业转型已经非常成功，突然一个董宇辉已经成为直播带货界的顶流了，个人对俞不得不表示佩服，其实这一轮风波霸屏太多，已经让人厌烦，因为这
1694527731# #【第1184期｜美国连蒙带骗，攒个“印欧经济走廊”对抗“一带一路”】9月9号，说美国总统拜登，印度总理，也就是把辣特总理莫迪，他们不是想改成婆罗多（Bharat）吗？我就偏称为把辣特，以后我们对印度都要改称把辣特，还有一些个二十国集团，G20国家领导人，在新德里G20峰会上，宣布了一个新项目，美国
1703680626# #现在的间谍行为已经不止是偷偷情报，公开进行颜色革命也属间谍。
1690878687# #通过这几天的北京大雨，我发现现在北京的气象部门真是厉害，预测什么时间有大雨，就有大雨，预测什么时间有雷震雨，就有雷震雨，几乎不会差10分钟，好像老天爷是给北京气象局打工的一样。
1699541235# #生在新中国，。长在红旗下，。走在春风里，。酒肉穿肠过。
1694069559# #兵熊熊一个，将熊熊一窝。
1693027605# #一对。
1695741340# #林毅夫和张维迎争了这么多年，大的方向林一直是对的，张一直是错的，我就不明白为什么张屡屡被事实证明是错的，却还是很有市场？还有人买他的账？
1701599708# #总之，最值得信赖的就是华为。
1693577098# #认真看过视频，令人震惊，台湾人建立的邪教，传入大陆害人，而且是专门骗社会上的弱势群体，“观音法门”着实可恨，而且这种组织可能不止一例，尤其是两位台湾明星在大陆大搞传销牟利，我看也跟邪教差不多，还要是狠狠打击。
1701634750# #转发微博
1698065166# #超级购物节清单大家购物车下单，若在同店凑够119元，即可优惠20元（店铺满减券10元+平台现金券10元），若跨店凑单，可享受满119-10（仅可享受平台现金券10元）。
1693698930# #有些人真是奴性难改。
1697008469# #good
1690820077# #这是我儿子刚刚做的乐高积木：一架直升机！小男孩大概是到4岁左右吧，如果他有个真心的爱好，人就会很快长大，标志就是他开始集中精力做自己喜欢的事了，并会屏蔽掉其它乱七八糟的事，整天里满脑子都是他的喜欢，而且特别愿意动脑子玩花样，有时候即使是大人也能从他们身上学到一些有用的东西。
1697021273# #2004年，以色列在巴勒斯坦的土地上，修建隔离墙围困加沙地带。墙高8米，顶部配高压电网，每隔几十米有个配机枪的瞭望塔，全长约700公里。。。建议中国剧组直接去以色列申请拍抗日神剧，完全不用搭外景了，日本鬼子当年在东北实施归村并屯，在中实施锁链牢笼，就这个样子。
1700750473# #【人民币启动大升值，中国正在跳出房地产大坑｜第1264期】最近这几天，人民币兑美元汇率升值，引起了境内境外的热议，在2023年11月14号，人民币大涨了400点，3天后的17号又再次大涨了400点，而到了2023年11月21号，人民币汇率中间价报7.1612点，一次性就上升了116个点，上升幅度为2023年9月12日以来最
1698372802# #国之大事，在祀与戎…追寻先烈足迹辽宁在行动
1703305286# #话筒
1700235998# #估计命不久矣。
1696776002# #哈马斯其实才是“人体炸弹”的鼻祖，但是这些年来，哈马斯已经放弃这种原始的自我牺牲式的袭击战术，而这次对以色列的大突袭，哈马斯的居然先是以5000颗火箭弹开路，20分钟的狂射，之后还有无人机也上阵了，然后，哈马斯战士分成小股冲进以色列的军营和居住区，所以，西方媒体称这些大突袭给以色列人造
1699164350# #一个“经济学博士”被一个“中专生”打到只能暗自里咬牙切齿、诅咒下蛊，被吓得连人家的名字都不敢直呼，估计都屙裤裆里了，中国的高等大学教育怎么培养出这种既没本事又没胆量的孬贱货？真是丢人丢到人马座上去了都，我呸！
1699350574# #2021年8月，美国将其在阿富汗的所有军事、政治和经济存在完全撤出，美国扶植的阿富汗傀儡政府也被塔利班推翻，经过长达20年的游击战争，塔利班重新在阿富汗掌权，而到了2022年，阿富汗的鸦片种植和生产就一下子下降了95%，这令人震惊吗？到底令谁震惊呢？由此可见，在美国殖民阿富汗20年期间，种植了多
1701904848# #邦主精选好东西祁连山老奶粉，400g/袋，内含16小包，原价：79.9元/袋，现在给到了尝鲜价：1袋装，拼团价39.9元；3袋装，拼团价99元。。。云上传祁老奶粉，配料表非常干净，只有生牛乳，产自祁连山下的全国优质奶源基地，厂家获得了全国有机牧场和有机鲜奶认证等多种荣誉。。。冲泡出来的奶液丝滑细腻，
1692085593# #这款牛奶现在有优惠活动，活动券后78.8元2箱，149.9元4箱，不要错过！全民补贴大聚惠
1694502329# #台湾媒体人谈到有可能助华为实现芯片突破的梁孟松，首先想到的就是要注意人身安全，可见对美国的强盗本性，台湾人最了解，只是以前敢怒不敢言。
1689481733# #对那些有志气的国家还是互相鼓励为佳。
1700360433# #我看就是个实用火葬场。
1697969512# #总得讲究点儿牌面。
1697720120# #哈马斯已经把战争准备到地下几十米上百米的深处了，这种韧性也非一般人群可比。
1699799118# #邦主精选好东西朵熙儿·儿童翻盖五指手套，符合A类标准，无甲醛、无异味，可以放心给宝宝穿戴。手套是均码的，4-16岁的小朋友都可以戴的。市场价39.9元/对，秒杀仅需19.9元，多种款式可选。。。大冬天的手套真的太重要了，特别是对小朋友们来说，手套是日常必备单品。上下学路上，上体育课或者是外出
1692952889# #邦主精选好东西油鸡枞，选云南野生鸡枞菌，200g/瓶*1，拼团价138元；200g/瓶*2，拼团价256元。。。竹荪、松茸、牛肝菌、羊肚菌、虎掌菌、松茸……这些野生菌争相破土而出，采撷一些，煮汤、清炒亦或油炸，都饱含着大自然馈赠的美好味道。。。作为餐桌上的“灵魂食物”，微辣鲜香的油鸡枞对于汤面、米饭
1693021396# #不能退。
1697512552# #这样的猫确实应该放行到大街上去喝酱香咖啡。
1692879196# #我6月27日的节目，看看真理掌握在谁手里？
1690199388# #很正常，现在很多中国男人的胸也比很多中国女人的大。
1693558003# #柚子果实色泽鲜艳，饱满新鲜，酸甜的口感特别好接受，它属于皮薄多汁，肉厚清甜的类型，而且柚子富含多重维C，真的很适合全家吃。这个好物闭眼入
1699150659# #当年看魔症了。
1698991036# #【重磅：中国即将在联合国为巴勒斯坦主持正义！】司马平邦说公号，ID：smpbshuo…非常之期待…。
1698738506# #【美国正在自我边缘化】10月17-18号的“一带一路”高峰论坛刚刚开过，中国的大国外交局面还是相当震撼的，跟这次高峰论坛的规模相比，美国自从去年2月24日俄乌冲突以来折腾出来的所有的主客场的外交活动，都被显示那么的小众化，美国人现在在国际舞台上折腾，无论什么，站出来呼应的，顶多就是那些不到
1700481219# #邦主精选好东西喜善花房·纯梨膏，210g/桶（内含21小条），市场价：35元。上新价：49.9元直接到手2罐，共42条纯梨膏，会赠送【喜善花房种子卡】1份！。。这款喜善花房纯梨膏，不加糖、不加蜜、不加一滴水熬制而成，浓郁粘稠，甜甜润润，一口润到心坎儿里！。。配料100%砀山酥梨，0色素！0香精！0防腐剂！
1700442039# #哈哈哈哈
1695441903# #邦主精选好东西一方云拾·巧克力燕麦脆吨吨，2个口味可选，原味和抹茶味。原味奶香浓郁，抹茶甘香清新！88克/袋。2袋装，拼团价27.8元；4袋装，拼团价49.8元。。。新品！原味、抹茶味！醇香可可+酥脆燕麦片+拉丝牛轧糖夹心！巧克力脆吨吨--墩厚可爱，香甜酥脆！轻松拿捏「轻量化」新零食！新晋解馋甜
1688812306# #广西独有的桂七芒果，芒果中的爱马仕，上市了，顶级美味，欲罢不能。这个好物闭眼入
1701603674# #这女的应该先找尹锡悦，让棒子打折做个处女膜修复，再出来装嫩鸡！
1695451862# #大疫3年结束，中国再次开启大国外交，向全世界展示魅力，势不可挡。。这也太酷了吧！1分钟，瞬息穿梭全杭州
1697445210# #这款杏干属于一口咬下去都是厚厚的杏肉，口感上糯糯唧唧，回味无穷，真的是杏干界的天花板了。最直观的感受就是个头大，杏肉厚实，酸甜可口。这个好物闭眼入
1694415725# #这架飞机是被导弹击落的吧？
1693568510# #威武
1694352774# #还有视频，太牛了。
1697287009# #那就努力吧！
1691747305# #邦主精选好东西云南老树黄心板栗鲜果，甜度高粉糯足。鲜板栗5斤，拼团价：55.9元；鲜板栗3斤，拼团价：78.9元。。。板栗真是一种让人无法抵抗的食物。既有水果的甘甜，又有坚果的鲜香。生吃时像脆柿一样脆嫩、像苹果一样多汁鲜甜，煮熟后却像土豆一样粉糯。。。这款云南高原野生板栗，老树种植，味道更
1695683882# #【第1200期｜印度支楞起来要在美西方大开杀戒，“五眼联盟”玩蛋去！】真想不到印度这次会对加拿大这么刚！刚的都有点儿不认识，尤其是莫迪现在眼里对加拿大这个美国小弟的那份鄙视，降维打击式的鄙视，你看到这份鄙视，正好可以看清这个世界的真正秩序，哪有什么秩序！什么北约？什么五眼联盟？什么美
1697512409# #这种所谓朝拜，看不出什么信仰，而是愚昧可怜，如果真是有价值有意义的信仰，那些赞美的人们何不去模仿学习？国家应该有长久计划，普及科学开启民智，争取几十年后不让这种东西再毒害可怜的人民。
1704169443# #拔凉拔凉，带着冰块🧊
1694494496# #西双版纳香糯小玉米明天中午开始恢复原价49.9元，现在最后一天29.9元限时秒杀了，大家赶快囤货吧！这个好物闭眼入
1689417836# #现在“贸易自由”“公平竞争”“契约精神”这些都不提了，但美国必须没错啊，所以它们的词儿也得跟着改，我给大伙学学：“被人掐脖了吧，人家就是不带你玩儿，为什么别人限制你，为什么不限制其他人，好好反思”…
1703731223# #毛爷爷为中国某地消灭血吸虫病高兴得夜不能寐，高兴到连写两首诗，对老百姓的感情何等之深。
1700745613# #现在已经完全在桌面上了，布局也明了了。
1688913844# #老头的沙滩浴，估计也没几次机会了，让他好好玩吧。
1690122595# #可爱
1698586914# #矢志屠犹死未成，人间极恶洗不清，。累得百万加沙骨，换取斯人先知名。
1703066625# #黄四郎的腿，只有张麻子能懂。
1699948770# #勃肯鞋的好评很多，大家可以参考一下！
1692256744# #现在的特惠价格是108元到手30支，一根折合3.6元，比普通雪糕都便宜了，钟薛高不再是雪糕刺客了，这个价格很给力！全民补贴大聚惠
1703924547# #这几天，关于小米汽车的谣言真的很多，先是有人质疑小米泰坦金属，后有人说小米V8s超级电机是供应链技术，不过那些人已经主动道歉了，汇川也回应了这个问题，我相信小米造手机是认真的，造车也是认真的，小米汽车的出现可能是中国新能源车的一个重要节点，巨无霸的入市一定会带来产业的大扩容，道理从
1701134357# #种族灭绝的好多种。
1701783853# #邦主精选好东西金玲珑小番茄，3斤家庭装（黄）（单果重4g+，净重2.8-3斤），拼团价39元；3斤家庭装（紫）（单果重4g+，净重2.8-3斤），拼团价49元；3斤双拼装（黄+紫）（单果重4g+，净重2.8-3斤），拼团价45元。。。这个金玲珑小番茄，和超市里偏软口感不同，酸甜多汁，肉质紧实。咀嚼起来，果皮的清
1693804138# #现在中俄应该各自拿出两家重要的国有军工企业，直接合并了，强强联合，共同制造最厉害战略武器，在核武器领域，在洲际导弹领域，在战略轰炸机领域，完全碾压美国，世界达到绝对太平。
1694354636# #威武
1692604105# #就看这8个字，就该点个赞！“中华美食，西藏味道”，象雄文化旅游节的厨艺大赛，阿里地区7个县的大厨代表队聚荟于此，先上些藏区好菜给大家解解馋吧，饮食男女，人之大欲，来了，看了，就走不动步了，希望一会儿还有品尝环节吧。。奋进新征程感受天上阿里
1696313716# #首先，志愿军伤亡没有一百多万，你造谣了。其次，志愿军的流血牺牲与朝鲜没有太大关系，与为了你今天能够安安全全有吃有喝还能跟这儿逼逼赖赖指点江山有最大关系。另外，没有美国不断造孽，朝鲜人民能有啥苦难？
1698680547# #眼泪下来了，这个年代了，有几千万人仍然活在如此氛围里。
1691062642# #【杜康官方旗舰店】52°杜康秘藏1号，禧庆版浓香型白酒，1L*4瓶装整箱，原价：499元，现在秒杀价：299元。这个好物闭眼入
1702055108# #这个时间的深圳机场，几乎同时有3次航班到港。中国经济的活力是实实在在的，别听媒体上的认知战歪论，一切都不如人的活动更能代表经济的活力。
1703044606# #转发微博
1693217135# #寄予厚望于你，能成的。
1700956076# #有营养。
1694812811# #中国可以派军队援助巴铁。
1691758799# #青稞是一种糖分热量较低的食材，这款小零食是采用优质全麦粉+云南香格里拉青稞，配以芝麻花生等食材，青稞粉添加量超过15%，营养丰富，更饱腹、更健康。这个好物闭眼入
1695909300# #印度人自从搞了加拿大之后，自信心陡增，要万国树敌。
1688383541# #邦主精选好东西攀枝花丁香蜜梨，娇小玲珑，自带花蜜香，脆嫩香甜，皮薄多汁，新鲜采摘上市。30枚中果，约4.5斤，单果约75g，49.9元；5斤大果，单果约90-100g，59.9元。。。丁香蜜梨，娇小玲珑、晶莹剔透、脆嫩香甜、自带丁香花香，赏味期只有30天。。。它皮薄汁多&nbsp;，脆口香甜，自带丁香花味道，所以叫丁
1700880546# #去年一颗星链卫星曾经威胁到中国空间站的安全，这玩意搞不好也会成为太空武器。
1693659185# #大起大伏，大悲大喜。
1696859960# #泸州老窖·盛典老窖醇香，999ml*2坛（赠送2套酒具），京东在售1298元，现在拼团价298元。这个好物闭眼入
1698926363# #值得研究一下，但光研究内容是不行的。
1690902990# #别看美国在这么多国家有驻军，一旦第三世界都反美，这些驻军是人肉靶子。
1703480143# #转发微博
1691916432# #大概也是这一年，我爸带我和我弟弟第一次到双鸭山市下馆子，吃饺子，3个人应该花了三四块钱吧。
1691939314# #牛蛙收到了，吃了麻辣和蒜香的，味道很给力，直接加热就行，特别方便，拍了图大家参考一下，很好吃！
1697932990# #当年，35岁的杨靖宇将军被日本关东军和伪满洲国军队组成的讨伐队重重包围，战至最后一人而壮烈牺牲，至此，东北抗联的南满部分几乎灭绝，杨靖宇的行踪最后也是被伪满洲国土地上的中国人连续出卖的，关东军的士兵在后来回忆中说，杨靖宇身材高大，奔跑迅疾，舞动双臂，有如大鸟一样在林海雪原中出没，神
1697171561# #good作揖
1695048523# #换成华为手机都OK了。
1689727481# #一默天然乳胶枕这次争取到500库存，福利回馈，2个仅需138元！要之前之前团购1个都要199元哦。这个好物闭眼入
1701821205# #这款茶叶礼盒设计搭配的很不错，一套礼盒可以一次喝遍四大茗茶，礼盒里是四罐装，分别是红茶的不同口味，可以根据自己的需求喜好来更换，每日一款，十分惬意。这个好物闭眼入
1692576280# #【第1165期｜戴维营峰会产能不足，“亚洲小北约”仍然难产】本期想聊聊美8月18号在美国马里兰州的总统渡假地戴维营举行的美日韩三国领导人所谓戴维营峰会。现在美西方领导人的会多，尤其是从去年俄乌冲突爆发以来，美国和欧洲，以及日本、南朝鲜，还有澳大利亚等等，这三四十个西方国家领导人，走马灯
1691204713# #时也势也，这才叫时势。
1692592487# #国内国外互动，非一般水平带党。
1692020686# #话筒
1692404822# #话筒
1698290983# #关于【鞍钢宪法】，许多年前我就写过文章讨论，这次亲访鞍钢，体会还是不一样，毛主席当年以600多字的长篇批语，因之提出了管理社会主义企业的原则，开展技术革命，搞群众运动，实行两参、一改、三结合，实行党委领导下的厂长负责制，即干部参加劳动，工人参加管理，改革不合理的规章制度，工人群众、
1690936353# #确实是大餐。
1702597568# #非常好。
1692669854# #还有更好的，今天再发。
1696464880# #不好意思，我好歹还做过几年最畅销体育杂志的主编。
1697681196# #操你妈拜登！操你妈内塔尼亚胡！。可怜的巴勒斯坦孩子们！。
1694064775# #邦主精选好东西网易严选小香菇脆，只有四种配料，无限量添加剂。100g/袋，有原味和香辣味，3袋装，68元。。。这款小香菇脆真的是宝藏小零食的一种，可以说把生活中那些不喜欢吃香菇的朋友，都能香哭了，爱上这款香菇脆。它的配料表干干净净，只有简单的四种配料，热量为570.49kcal/100g，采用普通袋装
1704203723# #二埋汰哈哈
1696688674# #话筒
1699429130# #薅羊毛了！当季市场价300+的家居服，清仓价不破百就能入手两套，主打亲肤保暖防寒，不掉毛不起球。媲美大牌品质，库存不多！冬天入手这样一套防寒套装，真的太合适了！这个好物闭眼入
1692145012# #有一部分人就是一辈子如此了，没救。
1698909868# #不会有多少人能活着回来，但他们也只能出发。
1703056860# #2000年以前关于毛泽东故事的电影能出现这样的情节，实在是中国电影的一大进步。
1689948274# #话筒
1693814575# #现在的充电宝轻便真的是很关键，又重又大的充电宝应该没有朋友愿意用了，日常体积小，方便携带，充电快已经是充电宝的标配了。这个好物闭眼入
1697288670# #把青春华章写在祖国大地上江姐曾经也是四川大学的学子，江姐牺牲时其实仅仅29岁——那一个年代，赵一曼牺牲时仅31岁，杨靖宇将军，其实牺牲时只35岁好年华。。。现在的中国就是这些年轻人用青春的生命燃烧出来的。
1692344754# #戴头盔就没事了
