1702058080# #我的蒸汽眼罩都快不热了我还没睡着，我清晰的感受到了温度一点点褪去。
1697955013# #每次放假回家都觉得好幸福，最爱我的人都在这，不用笨拙的当大人。
1703759294# #饿着肚子在这听她讲她的婚姻幸福生活。
1699101419# #还要帮我弟写作业
1697855310# #今天周六还早起体了个检
1702829529# #不想睡觉，是不想。
1701579082# #起床洗了衣服刷了鞋拖了地洗了澡
1697717763# #下班刚吃上饭
1698666963# #一天中最快乐的时间就是现在，洗完澡收拾好坐在桌前吃东西追剧。
1703861966# #放假快乐
1702214479# #又开始长痘了
1703781878# #☹️
1704459623# #一直打喷嚏！
1703682748# #加班的一天
1704634379# #第三个都来了，很快就第四个第五个，我真的很讨厌这种认识方式，内心的反感，但是出于礼貌又不能直接拒绝，烦死了！
1702909489# #我发现只要逛小红书就会忍不住买书！
1704727582# #一天天的
1700757729# #咳死我得了，已经不能撑到周六了，咳的我眼泪哗哗的。
1704111148# #又要成为苦命打工人了
1700060683# #咳的全吐出来了
1697761546# #有手机的感觉太棒了
1703783175# #融化
1702292846# #今天很不开心，一天都是。。上午是因为早上到了教室发现外面雪很大，很漂亮，就想拍下来，但是一摸口袋手机上交了，没有手机，心情一下子到了谷底，真的一瞬间就怎么也开心不起来。别人都在晒雪景，而我连照片都拍不了，那么漂亮的一场雪都没有被记录下来。。下午得到了周四要翻老师手机检查朋友圈的消息
1701787004# #抖音上传的好模糊。
1702829656# #光
1701571399# #刚才就想去洗澡，一直拖拉着，十一点整一定要爬起来洗澡！
1699705443# #2023年冬天的初雪，出现在昨晚，还有终于来暖气了，可冻死我了。
1698152566# #今天放学的时候，我们班一个小朋友从书包里扣唆半天拿出了一个贴画送给了我，回到家我把这个贴画贴到了墙上保存着。
1698573159# #叶落知秋
1702521999# #请远离我微笑
1704382228# #原来真的会有人记得，有人比我更了解那时候的自己，真的是件很幸福的事情，参与我青春的那些人她们一直在，没有走丢心。
1703410602# #还是要继续吃药
1698768501# #罪恶，又熬夜了。
1703511846# #这个月买的第三本书
1704527870# #丢失的甲片找到了，拖地的时候找到了，劳动就是有收获，今天下午打扫了仨个小时的卫生，但是也比上班快乐！
1702708803# #洗完澡舒舒服服的晒晒太阳
1702546389# #漫天飞雪像极了漫天星辰
1704196039# #想去看电影，但又不想约同事一起，更不想自己去融化
1701702836# #继续
1701355332# #今天又是九点多下班，明天也是，并且周六周日也要加班。
1702123698# #看了好几遍了还是哭的稀里哗啦
1704644954# #又没睡觉
1704198902# #这就是我想要过的生活，一直都是，没有那么多条条框框，随心而活，不用去依赖谁，不用怕谁离开，你可以随时来随时走。不用每天去赶时间，让自己变得陌生麻木，我可以随意走在路上，推门走进一家中意的小店，翻阅喜欢的书籍，身边人来人往，而这一刻我只是我。
1704381705# #没想到能见到很多年前镜头里被记录下来的自己，那时候才高一，真的忍不住了，哭的稀里哗啦，原来那时候的自己是这样的，我都忘记那时候的模样了。
1703241028# #昨晚排练
1704089619# #昨晚在外面拍照冻的手通红都肿了，回家还偷偷吃了感冒药。
1702786620# #工资都晚发了，开学晚几天又何妨微笑
1698452722# #昨晚的麻辣烫导致了今天拉肚子，再也不会吃了。
1702634190# #好喜欢这个质感的live
1704530807# #出门扔垃圾看到了最爱的夕阳余晖
1698062022# #今年第一次敷面膜，已经超级久没敷面膜了，以前上学的时候在宿舍里大家会一起敷面膜，毕业以后自己真的懒惰了不少，什么都嫌麻烦，我还是比较适合宿舍生活。
1704812222# #世界上根本不会存在于成龙这一类人
1704461540# #相册里的乱七八糟
1699962173# #又开始了，昨晚到了早晨四点多才睡着。
1699445114# #最近事情特别多，很忙很忙很忙还很累，更不想做饭。
1702031607# #像进货一样
1698926496# #逐渐过分
1702035286# #很喜欢这个旋转小火锅
1701956332# #这个工作真的干的很心寒，我只能想到两个字来形容这个学校，那就是恶心。在如今这个社会，手机就是不可或缺的一个物件，老师也是有家人朋友的，她们也有自己的家庭，一天到晚谁能没点急事呢，领导们倒是成天抱着手机。如果这个工作上班时长短也行，可是他是从早上七点到晚上六点，加班的话可能还要七八
1703205889# #又来医院花钱了融化
1703511415# #小孩哥太帅了！！！！！生活中从来都没见过那么帅的帅哥融化融化融化
1701569960# #从昨天晚上又开始看被拐儿童认亲的事情，哭的稀里哗啦，今天早上醒了又看了当时孙海洋的视频，又是爆哭。
1704286672# #魏大勋也太帅了吧，唱歌也太好听了！！！魏大勋
1704211799# #我的情绪从来不会稳定
1704201344# #微博可以随便发，不招人烦doge
1703350640# #不停的回头看。就容易忘记看看。此刻的自己也很美好
1702694004# #准备起床！
1703392286# #我的左眼一直跳，是要发大财了吗doge
1704714469# #我疯了疯了疯了！！！年前二月份放假，年后初十上班，是初十！！！一共半个月的寒假，绝了！！！为了招生竞争名额，有病吧，人家不会因为你早开学来你学校的，私立开学就开吧，和人家比什么，我考的是公立的，就是为了图那几天破寒假，天天受气只值那点破工资，寒假也没了，没有孩子去哪招生，领导们都
1704638332# #我要被这俩笑死
1699460405# #原来真的有人会饿成这样大晚上到真的给我看的哭死了，为什么那么大年纪了还要受这种罪，劳苦了一辈子，也应该得到子女的回报，享受子女的尽孝了，现在她的无助又有谁能真的拯救她呢。
1697895280# #奶奶今年春天买了一个甜石榴树栽上了，第一年就结了十几个果实，结果今天尝了一个齁酸，我弟说从来没吃过那么酸，并且这竟然是一棵酸石榴！
1704296510# #真的好饿
1699787136# #本周快乐收尾
1699012400# #这周饮食不健康
1701436212# #周六加班还要早去微笑
1704200922# #超能拍doge
1704291448# #预约到了龙年纪念币，约了两枚，因为好事成双，以后每年都要约，好有意义的一件事情呀！
1702838391# #微笑微笑微笑
1702477622# #停课啦！！！两天！加周末四天哦！！！
1702853535# #出门上班微笑
1698750628# #下了班和同事吃了好久没吃的渤海国际牛筋面
1702812230# #美丽
1701862412# #下班才能活过来
1698848138# #今天早晨没听到闹钟，睡过头了，平时都是六点二十五起床，今天一睁眼六点四十五了，一下子清醒了，匆匆忙忙的好在没迟到。今晚加完班又和同事出去吃了个麻辣烫，其实就是想一起聊聊天，我俩的聊天永远都是吐槽学校。
1704379156# #哭的稀里哗啦，我要哭死了
1702297792# #突然羡慕一只鸟除了去人间觅食一辈子都在天空写诗写一些人类自以为能懂得的句子可是人类压根不懂自由不懂它翅膀下的风不懂千山过尽江河只需眨一眨眼睛
1699456511# #复制的昨天，又是刚结束。
1704652631# #绝了，我俩的抖音全是帅哥！
