1700519487# #开了三年还无法收本，那一定会倒闭！
1698272981# #中国为什么要抗美援朝？首先，是以美国为首的“联合国军”越过三八线入侵朝鲜，并向朝中边境推进、轰炸中国丹东地区，严重威胁新中国的安全。“唇亡则齿寒"、“卧榻之侧，岂容他人鼾睡。”这是中国出兵朝鲜最主要的原因。其次，美国一意孤行，将第七舰队开进台湾海峡，对中国国内的统一战争进行武力干
1692336092# #李玟录制中国好声音是发飙。为什么好人都容易抑郁？
1694237130# #央视国家记忆，纪念毛泽东逝世47周年：怀念，致敬！
1702333863# #末代帝国的梅文鼎、明安图。。数学在我国古代称为古算。在世界领域内，我国的数学水平也曾占据数一数二的地位。但是时至明代，古算几近成为绝学，卓有成就的数学家也是寥寥无几。。明朝末年，西方传教士将他们的数学理论带入中国，我国也开始历史上第一次西算输入过程。这个过程始于徐光启的数学译著《几
1690254678# #有人需要刺激哈哈哈哈哈哈
1694499185# #“高台藏鼠辈，民间卧麒麟。大堂之上登猪狗，名流才子落街头”。太有道理了！
1703894057# #什么原因？
1694958750# #详细介绍，认真参观。
1689836649# #这气质接地气！
1698903556# #哈马斯成员全副武装，列坐在隧道内。他们向记者表示，随时待命与以色列作战。
1700273650# #美团第一个用户是自己人？买的永远没有卖的精，这话我信！
1691023329# #坚韧不拔的戴高乐（37）。。对英加军队来说，情况也差不多。由于德军毫无动静，他们不仅感到困惑不解，而且有一种可怕的预感。。。令人不可理解的是，德军武装部队对分散在60英里海面上的59只护卫舰会一无所知。成千上万名伞兵正在法国着陆，1000多架轰炸机正在横扫德军要塞和塞纳湾周围的炮兵群。除了德国
1688252293# #你没见过的毛主席的老照片，靠边的才是领袖！goodgoodgood
1704088028# #我发表了头条文章:《光绪皇帝（19）》
1696243307# #向老革命致敬！
1701942261# #他是那个原铁道部的新闻发言人不？
1694603438# #演员就好好演戏呗，当什么参事！
1700522878# #1958年上半年，赫鲁晓夫建议在中国建一个长波电台，后来又提出要在中国修一个不冻港，建立共同潜艇舰队。毛泽东对此十分生气，断然予以拒绝。他认为，这严重地侵犯了中国的国家主权和领土完整，损害了中国的国家利益。他言辞尖锐地说：。。"要讲政治条件，连半个指头都不行","在这个问题上，我们可以
1698239164# #现在的主流媒体怎么都这么整标题呢。真受不了允悲允悲允悲
1700653082# #这玩应车票贵吧？
1687338301# #1986年10月，90岁的叶帅逝世。
1687465586# #双手叉腰是主席的习惯性动作，也是对革命和前途充满自信。
1699343374# #一同喝酒的酒友没有负责给送到家，有责任！起诉他们！
1692478374# #毛泽东谈教育：“过去那些学校学的没有多少用，课程都忘记了。用处就那么大点，有点文化，能看书写字，有的能写点文章。很多书我也是以后看的，很多自然知识也不是课堂上学的，如天文学、地质学、土壤学。真正的本事不是在学校学的，孔夫子没有上过大学，还有秦始皇、刘邦、汉武帝、曹操、朱元璋，都没
1699485134# #开国少将、原总参炮兵部部长文击同志，因病医治无效，于2023年11月8日在北京逝世，享年106岁。。文击，河北霸县人，1918年生，1937年参加八路军。曾任炮兵师长、济南军区炮兵司令员，总参谋部炮兵部部长（副大区职）等职。1964年晋升为少将军衔。。1937年12月，19岁的文击投笔从戎，奔赴抗日战场。他先在
1688022473# #坚韧不拔的戴高乐（13）。。在希特勒占领莱茵兰和吞并奥地利之后，胃口越来越大，他的下一个征服目标直指捷克斯洛伐克。面对着法西斯德国咄咄逼人的侵略，戴高乐和他的朋友们心急如焚，但百般呼吁无效。当时法国政局不稳，政府像走马灯一样换来换去。法兰西正每况愈下，实际上法国不再是强国，甚至也不再
1691494757# #中美建交谈判，邓小平亲自出马，谈判画面罕见！
1698452800# #我发表了头条文章:《现代散文名篇之三十二：茅盾的《雷雨前》》
1694529395# #华老最后一次出席官方活动的老照片。
1699746179# #这个人竟然是胡志明？太震惊了！更震惊的是他背后的中文，他写的！了不起的越南人民的领袖赞赞赞
1697792906# #毛泽东对佛教的看法。。有一次，李银桥陪毛泽东散步，路过一所佛教寺庙，毛泽东提议进去看看，李银桥说，佛教有什么可看的，都是封建迷信。毛泽东说，不，佛教是文化。。1954年，毛泽东在全国人民代表大会上与喜饶嘉措有一段妙趣横生的对话，毛泽东问：佛教说人有轮回，怎么才能让人相信呢？喜饶嘉措说，
1690275891# #癌症，归根结底是人体基因产生了突变吧？靠发明机器来照那个肿瘤有用吗？
1698482415# #人民网也玩标题，这怎么了？
1703107488# #1942年，邓颖超与叶挺将军的夫人李秀文及其大女儿叶杨眉在一起。。1946年4月8日，叶挺乘机返回延安时遭遇空难，叶挺随同妻子以及两个子女（其中就有叶扬眉）一同淹灭在了山西黑茶山上空。。毛主席对叶挺评价相当高：“你是中国红军第一任总司令，人民军队的军史要从你写起。”
1699868909# #我发表了头条文章:《身残志坚的罗斯福（17）》
1693128260# #五万韩国民众向总统府游行抗议，最大在野党党首称：日本“向所有太平洋国家宣战”。
1701088258# #问题出在市场上？出在导演人气不够硬上？出在影片太正上？
1691353222# #又一个张鸣岐。🙏🙏🙏
1703984563# #我发表了头条文章:《毛主席点评二十四史（3）》
1689244156# #东部战区发声。。
1687306367# #唉！老人啊，把钱放银行还有利息，为什么就不呢！
1697624536# #10月15日，在加沙的希法医院拍摄的视频显示，巴勒斯坦卫生部工作人员将白色袋子里的尸体标记上编号并装上卡车，准备将尸体转移至加沙地区首个"集体坟墓"。巴勒斯坦卫生部主任穆尼尔．巴什博士表示，"当局已为每具身份不明的尸体分配编号，其中包括因以军空袭而支离破碎的儿童遗骸"。
1687948312# #革命者光明磊落，视死如归。
1689818697# #坚韧不拔的戴高乐（22）。。戴高乐建立了一支自己的武装后，就把注意力转向了非洲。法兰西帝国在非洲有众多的殖民地，而且非洲具有重要的战略地位。将来反攻时，这里可以作为解放欧洲大陆的跳板。。在早些时候，戴高乐就曾经希望在法兰西帝国会爆发一场反德大起义，这种希望几近实现，结果却成了泡影。在
1697585620# #美日韩建群。
1698325596# #除夕即使不放假，也没心思上班了，私企也是如此，公企更甚。
1703050702# #1964年2月18日，周总理即将结束访问亚非欧十四国。这一天,他通宵未眠，心中酝酿着一个对非洲未来的援助计划。第二天清晨，他提出了对外援助八项原则。今天再次重温这八项原则，依然会让人感慨周总理务实与细致的处世风格。。（一)中国政府一贯根据平等互利的原则对外提供援助。。(二)尊重受援国的主权，
1698140079# #我发表了头条文章:《曾国藩的故事（23）》
1702640970# #我发表了头条文章:《大清相国陈廷敬（6）》
1694384469# #我发表了头条文章:《敢于犯颜直谏的名臣魏征》
1691615686# #晚查了二十年，可以说，公立医院科主任以上的没有一个好东西！祸害国家，祸害百姓二十年！这哪是什么白衣天使？这特么是人间恶魔！
1693777963# #我以为只有中国人才吃蘑菇
1693687203# #1980年8月，邓小平在人民大会堂二次接受意大利女记者法拉奇的专访，回答了她的“刁钻”提问。。问：天安门上的毛主席像是否要永远保留下去？。答：当然要永久保留下去！过去毛主席的像挂的太多了，到处都挂，并不严肃，也并不能表明对毛主席的尊重。毛主席对中国革命的贡献是巨大的，我们要把毛主席的像
1693023318# #日本民众表示，会坚持到底进行抗争。
1699351601# #谁给整成这样的？有那么夸张吗？
1697789799# #这是一段1983年北京人民大会堂厨师长做菜的真实历史影像。
1699595356# #江当年在监狱时缝制的布娃娃，即使在当年全部都成了残次品，但如果哪个有头脑的有心人偷偷留下来几个，那可就是文物了！
1694901638# #我发表了头条文章:《北宋著名的改革家王安石（2）》
1687742405# #沈醉回忆录《战犯改造所见闻》3。。比黄维立志为全世界人民造福的伟大愿望要渺小得多，康泽也想研究出一种治疗风湿病的简单办法，不惜以自己的身体来进行实验。这位曾任复兴社书记长和"十三太保"之一的军事委员会别动总队长、自成一系的特务头子，被俘后，也居然想创造一种治病救人的方法，这也是值得大
1702507619# #你知道吗？人民币上的毛主席头像竟然来自于一张合影照片。1950年，毛主席接见全国劳动模范和战斗英雄，并与其合影。后来毛主席的标准像依据的就是这张合影照片。
1691534985# #跟缅北有一拼？
1692348525# #致敬张桂梅！
1702473526# #中越关系新定位！
1698056604# #我发表了头条文章:《现代散文名篇之二十三：巴金的《一点不能忘却的记忆》》
1697629989# #欧洲多地爆发游行，声援巴勒斯坦。
1702466472# #十年前的今天金正恩的姑父伏法。
1690362277# #这个诈骗电话挺有喜感哈哈哈哈哈哈
1687127124# #伟人气势，目光如炬，洞穿世界，舍我其谁。
1691487802# #“不结婚，不生孩纸，不应该怪年轻人，应该怪我们这个社会”。
1701350951# #远见卓识的政治家，中美关系的破冰者，怀念基辛格博士。
1698382022# #张军：决不能放任加沙战事延宕升级，应彻查医院被炸。
1702609335# #1942年，毛主席在延安文艺座谈会上与文艺工作者合影。
1693125562# #很暖心，但也有些寒心。似乎其他人都不可靠，也不敢托付。
1697186592# #以色列通知联合国，要求加沙北部地区巴勒斯坦人和联合国的人在24小时之内撤离至加沙南部，据说，这一表态可能是对加沙北部展开地面攻势做准备。。联合国发言人表示，大约有110万巴勒斯坦人居住在加沙地带北部地区。联合国强烈呼吁撤销此类命令，避免灾难性局面的出现。
1691996484# #胡雪岩传奇（8）。。"雪岩，真有你的，哪来的这么多花花肠子，别人的肠子再怎么长，也转不过你。"王有龄感慨道。。。刘庆生当初也没想那么深，听胡雪岩这么一说，马上应道："我这就去写存折。"很快，17本存折一一送出。。。咸丰三年（1853）四月初，胡雪岩的阜康钱庄在杭州珠宝巷开张了。。。这天，钱庄门前，
1701167623# #我发表了头条文章:《多尔衮（7）》
1688021344# #坚韧不拔的戴高乐（12）。。希特勒的和平宣传果然发生了效应。英国最有影响的报纸伦敦《泰唔士报》欣喜若狂，并为此发表评论说:“这篇演说结果证明是合理的、直爽的和全面的。凡是本着公正态度来看这篇演说的人，谁也不能怀疑，希特勒先生所提出的一些政策主张完全可以构成彻底解决德国问题的基础--一
1701737989# #李鸿章所说的中国数千年来未有之大变局。中国近代所处的局势确是“数千年来未有之变局”;中国近代所遇之敌人也是“数千年来未有之强敌”。。葡萄牙人在十五世纪末年发现了绕非洲经好望角的欧亚直航线路。这事在世界历史上开辟了一个新纪元，也就是上面所说的大变局的开始。。在这事以前，中西固然是早已
1698140019# #我发表了头条文章:《身残志坚的罗斯福（8）》
1699184921# #八九十年代气功和特异功能盛行的时候，张宝胜是如何行骗的？
1695650023# #朝鲜女足7：0大胜新加坡，中国温州大哥引导朝鲜啦啦队用中文喊加油哈哈
1699158062# #什么叫该退休了？金鸡奖不给李雪健就是野鸡奖！
1698406566# #退下后本来是他安度晚年的时候，年轻时下乡，高考，念大学，奋斗，博事业，担重任，任大国总理。如今卸下重任，该好好陪陪夫人，孩子，出去走走看看，自由呼吸，现在才应该是他人生的黄金时期，可惜…
1691048412# #朝鲜为什么发展不起来？只因发展道路已被1718委员会锁死。
1697974445# #大学校长们，还能让人省点心不？允悲『北京化工大学：已成立工作专班，全面调查核实！』
1689760439# #父亲是抗美援朝烈士，家属发现烈士纪念碑上的父亲的名字写错了，在要求改正的多年奔波里受尽了艰难…。再后来，家属梦见了毛主席，把情况跟毛主席详详细细的说了，毛主席指示，一定要把烈士的名字改正过来…。再后来，在一天的早晨，家属喝了一杯咖啡，吃了一个鸡蛋，又吃了几片药，点燃了三炷香又上路
1691568228# #遮挡的恰到好处，敏感部位设计的独具匠心。很不明白，明星为什么非得这样穿？
1695331247# #我发表了头条文章:《曾国藩的故事（3）》
1689729758# #特里尔眼中的毛泽东（55）。。毛泽东贴出他的大字报以后不久，就开始认识到事情的进展不对头。他承认了这一点。他和任何别的人都不可能对随之而来的伤亡和破坏感到高兴。。"运动来势很猛，我也没有料到，"10月份他向中央委员会承认道，"所以你们有怨言，也是难怪的。"。到1966-1967年冬天，不断发生的事件
1695575621# #互联网大佬学历一览表
1697013050# #1964年9月30日，中华人民共和国成立十五周年前夕举行国庆招待会的真实历史影像。毛主席会见各国代表团，这些外国政要见到毛主席有激动，有开心，有惊奇，有惊喜，也有拘谨…。
1697442502# #翩翩风采，谦谦君子，人格魅力，无与伦比！在他的眼里，党的利益始终高于一切，国家的利益没有小事，为人民服务至死挂在胸前。他是中国共产党和中国人民的领袖人物，他的贡献居高至伟，他“平凡”中所透视出的伟大无人能及。中国共产党的领袖人物灿若群星，这也是革命能够取得成功的根本保证。
1695123384# #看介绍，《志愿军》拍的还不错，挺用心，也挺下功夫，不明白是宣传海报为什么用了个小丑？招来一片谩骂声，这是何苦？怎么想的呢？大智如愚？
1698915379# #我发表了头条文章:《现代诗歌名篇之八：汪静之的《薏的风》》
1688141463# #邓公告诫我们：“香港问题就一句话，对英国人一点也软不得。对于英国这个老牌殖民主义，我们的同志切不可过于天真、过于老实了。”
1698191985# #中国的今天，这两位科学家居功至伟！伟大的爱国者赞赞赞
1690854154# #毛主席重上井冈山的珍贵历史影像。
1700522021# #1930年5月，毛泽东在《反对本本主义》一文中就深刻指出：。。"以为上了书的就是对的，文化落后的中国农民至今还存着这种心理。不谓共产党内讨论问题，也还有人开口闭口'拿本本来'。我们说上级领导机关的指示是正确的，决不单是因为它出于'上级领导机关'，而是因为它的内容是适合于斗争中客观和主观情
1693687277# #1973年，小平同志在毛主席旧居前合影。
1694558093# #我发表了头条文章:《仇士良，欺君抑相，窃国弄权的千古罪人》
1698295409# #据说这是1915年，一战时德国士兵统一上厕所，坐便的鼻祖允悲。
1698893781# #这是不是把原来的电大，业大，函授，自学考试都组合在一起的大学？
1687139097# #分享图片
