1696637365# #老爸驾驶的三轮车减震断了，差点造成事故。
1696732114# #刘圩镇刘圩街82岁老汉张士沛求助，2015年在泗城认识一个叫朱家林的大庄镇新集村人，今年大约52岁。声称自己是公司董事长，在泗县包各类工程，有能力帮我老两口安排公租房，当年4月份给了他一万块钱，年底就分到了东城康居的公租房。。2022年的八、九月份，朱家林找到我借钱说是工程需要周转资金，允诺给
1698578339# #转发微博
1698164565# #深夜，泗城东一环护城河，一女孩跳河寻短见，老刘闻声而至，跳下水中将其救起。
1703021337# #第一次吃小笼包子辣汤。。1987年春，正在读中学的我朦朦胧胧恋爱了，初恋是静静，这段早恋是静静的闺蜜倩倩促成的。一天个星期六下午课间，她们约我星期天早起去泗城，提醒我不要睡懒觉防止赶不上公交客车。于是我晚上早早就睡了，一觉醒来也不知道具体时间，就匆匆穿衣起床，赶到约好的地点等候她们。
1693647165# #泗县～漫天飞舞的小白蛾，路人无法睁眼睛！
1687958529# #警察叔叔闻警而动，救出被困水鸟。
1693149261# #
1688440795# #女孩好多纹身。
1703711736# #美食美酒鼓掌
1695203697# #
1696486085# #据说因为借钱纠纷。
1687307638# #禁毒宣传，人人有责，6.26国际禁毒日大型宣传活动于6月26日上午九点在泗县文庙商城举办，泗县籍著名歌手韩笑将现场献唱，助力禁毒宣传，让我们一起唱响禁毒主旋律，共筑禁毒长城。
1696485707# #老刘和北京大学擦肩而过。
1702456226# #
1696486627# #泗县泗州戏大赛冠军邢金凤参加大地歌会歌手大赛，未能入围。
1695870612# #泗城派出所民警孟广林职业生涯最后一班岗。下班后第二天就办理了退休手续。这个一直在基层工作的普通民警，有着数百上千的居民朋友。
1699774375# #泗县餐饮协会筹划举办厨艺大赛。
1695026484# #王广亚同志接受调查。
1688250034# #话说泗州～看看泗洪县魏营街菜价与泗县有没有差距。
1687773170# #合青高速进度～泗县墩集镇施工现场。
1693179555# #老刘举鼎，气势上到底是比项羽弱了一些。
1697110132# #年轻人火气大。
1687697085# #
1687681257# #泗县文化馆小剧场，泗县群众文化协会的艺术家们排练节目。
1693995380# #泗县西关护城河，一名中年妇女跳河寻短见，在附近开水果店的退伍军人程立强纵身跳下和另一位热心男士合力将其救起。并联系了派出所做进一步处置。
1700367207# #寻人启事～时侠程，于2023年11月18日在泗县黄圩镇时邵村小时庄晚6点多吃完饭走丢，身穿黑色上衣，黑色裤子，黑色鞋子。
1696041414# #中秋节刚好是侄女九月的生日。
1701298946# #
1689755651# #泗县餐饮协会成立厨师专业委员会，筹备举办厨艺大赛，鼓励研发新菜品，挖掘泗县特色美食。
1690869908# #泗县这名女子英语说的好棒。
1687773792# #泗县文化艺术人才库（第63期）～女子书法家梁红梅。作为一名普通的家庭主妇，在忙完油盐酱醋茶等家务之后，每天都坚持练字到深夜。最近在著名书法家刘猛的悉心指导下，书法造诣得到很大提升。
1697368406# #学府名城有人坠楼！
1698865397# #
1692852898# #恭喜表妹骆淑红家儿子金榜题名。
1687773946# #泗县运河人家景区举办大型灯光秀活动，每晚都会吸引大量市民前往游玩和吃烧烤。
1687774175# #泗县歌手李猛的女儿李慕迪成为史上最年轻大赛评委。
1697109975# #老刘亲自上场参加“大地歌会”大赛。
1687774232# #余俊琪同学在思考人生。
1689557472# #泗县墩集镇有棵130多年的柿子树。
1696481569# #泗县2023年广场舞大赛冠军队～运河街道代表队风采。
1691225404# #这个叫张可欣的小女孩将来一定会有出息。
1693179382# #泗州博物馆镇馆之宝-淮河象象牙化石，长3.75米，或属世界之最。
1696485545# #刘康军汤文娟参加戏曲中国展示泗州戏，受到北京老乡陈楠、王玲、李海燕等盛情款待。
1700358975# #口子窖杯泗县首届划拳大赛在泗县状元府饭店举办。
1699095132# #余俊琪、刘九月争着骑在爷爷刘康凯头上。
1696484704# #刘康军先生将泗州戏唱到了文化部和北京市政府联合主办的戏曲文化周舞台。
1700360161# #违规私开围墙建小门。
1688728790# #泗县2023年太极拳公益培训开班。
1697459715# #2023年秋季禁烧。
1688728957# #泗县运河人家景区灯光秀。
1688951349# #女孩好多纹身。
1700620394# #泗县女拳王～泗州大鼓代表性传承人冉庆兰。
1689241613# #泗县餐饮协会举行座谈会，邀请专家担任食品安全特聘委员。。会上就食品安全注意事项、消费者投诉热点、提升服务质量等问题展开讨论。
1693179155# #被钉上耻辱柱的泗州贪官。
