1691288062# #【陈原抄山海经】之十。。
1698449058# #怒
1695973398# #握手
1688425616# #陈原抄屈原之四十一之严忌哀时命篇
1689028632# #他们有此报应正是他们的所求！允悲允悲允悲
1689824901# #转发微博
1700358404# #失败，是积累成功的经验。
1699767030# #这就是我第一次看海的地方，灯塔区。这也是我儿子在两岁半的时候发出惊天一问的地方——当时儿子牵着我的手和他妈妈的手，面对着大海，表情突然变得特别成熟凝重，在望了大海好一会之后突然仰起头来问，爸爸，是谁把这么多水倒在这里的？这一问，会震动我一生，这是关于大海的最高追问。我至今不知道他
1698839839# #咖啡
1699525658# #达州出美女，也出英雄。
1695048540# #握手
1696206396# #【思考就是用智慧赎罪】。就像慢慢形成的对火车和站台的热爱，我渐渐地，已经于一种意识的不知不觉间，越来越爱上了以现代物质形态呈现在我们视野里的高速公路服务区，它们注定是农业文明后，在勾兑所谓现代生活中，却又不可避免地与农业文明离开距离的一环。它们在空间上都是与农业文明为背景
1693867086# #让她去吃牢饭吧！怒
1699228757# #从来没见过，鲜花可以如此汹涌，如此庄重。
1698375104# #仅仅因为这两句话，就应该记住他。他很委屈。
1699149997# #不是恶权的权力，为什么都出现在这些国家？
1695794259# #【陈原抄诗经】九章（65—73）之国风郑风。。。
1695258953# #【陈原抄诗经】（34）之国风邶风谷风。这是抄写诗经以来最长的一首，因此特别担心那时候他们的书写工具。谷风者，古风也。我闻到了古代繁衍的清新之气。
1689200162# #哈哈
1690792977# #刚刚抄写完易经，不知所从，便临时抄写一下“黄帝内经序”吧。但这并不是我接下来要做的事，我接下来要做的是抄《山海经》。（上）
1700636754# #咖啡握手
1691547372# #【陈原抄山海经】之二十四。。
1687155029# #【儿子的父亲节礼物】。昨天是父亲节，儿子和我通了比较长的电话，而且在通话的同时，给我直播了厦门大学很著名的芙蓉隧道里的各种艺术涂鸦，最后告诉我，今天是父亲节，给你买了个父亲节礼物。还说先不告诉你是什么，也许你不一定喜欢。我说怎么可能不喜欢，儿子买什么我都喜欢。。其
1693133133# #【陈原抄黄帝内经】之二十之素问篇之第五章:阴阳应象大论之第六章:阴阳离合论。。
1687765241# #不转他真觉得对不起他。
1692919588# #转发微博
1690435178# #【陈原抄易经】之九之系辞传。
1700923475# #太缺德了吧？这样做全家都会遭报应的怒
1688284021# #喷饭
1699745424# #震惊到下意识拍了照片，丁敏震怒，6号上午有个中间休息专门把我留在法庭，此情况除法庭内录像，还专门有警察近距离戴执法记录仪靠近我要动粗，强烈要求丁敏放这个录像！话筒
1694908104# #【陈原抄诗经】（7）之国风之兔罝。诗经。诗歌永远的经血。永远的诗歌的痛经。
1688283374# #江局长威武！
1697708651# #亿万斯年，这些石头一直藏在这里。承受了亿万斯年山风的劲吹与抚摸。山林访石，我与它，于岁月中迅疾出现遽然消失，这，即是瞬间与永恒的对抗，又是存在与虚无的共同湮灭。
1695019487# #致敬。
1698422808# #行于大道，天下为公
1693034975# #【陈原抄黄帝内经】之十五之素问篇之第四章:金匮真言论。。
1699175138# #我认为这是国耻。
1695003605# #【陈原抄诗经】（13）之国风之采蘩。诗经。诗歌永远的经血。永远的诗歌的痛经。
1690879927# #【陈原抄金刚经】之一。本来想接下来抄山海经的，但山海经不在手边，只好先抄心经和金刚经。那就抄完金刚经之后再抄山海经吧。它们各自有自己的问世时间，但到我这里，它们已经没有先后。即便他们当时都没有问世，于我又有何损？又或者我从来就没有来到此世界，于世界又有何损？——或
1691898676# #握手
1695337724# #转发微博
1691815386# #【陈原抄山海经】之四十三。时间，限定了所有事物的完整性。——陈原
1701553946# #转发微博
1700952149# #无恶不作，却要文明社会包容宽容；享受发达国家的物质和自由，却要拉别人进入黑暗；自身被禁锢的严严实实，也要其他人一起陪葬。
1694771207# #【陈原抄黄帝内经】之八十三之素问篇之第二十七章:风论。。
1688172629# #陈原抄屈原之三十五之续写九辩篇
1703897865# #直接没有单位和部门却直接领空饷的还少吗。
1701476298# #5
1692918977# #思想家的泽连斯基。
1692920593# #弗洛姆死前最后一次接受记者采访时说：病人才是最健康的人。——我猜，他和尼采，以及所有特立独行的人一样，都把世界视为正邪颠倒的罗刹国。
1695424461# #【陈原抄诗经】（43）之国风鄘风。君子偕老。。
1687498344# #不要去审美，这会让人执著于世界，憎恨死亡；也不要去思考，这会让人洞悉本质，跌入虚无。微风
1697764475# #现在正是看柿子的好时节。
1701475825# #2012年，刘锡荣说：4年前全国公务员是600万人，现在已经增加到1000万人，一年多100万人。如果600万大学毕业生都去考公务员，这是历史的倒退。
1689727382# #【墨里洁身:陈原抄庄周】之十七之逍遥游。苍天玩我，我亦玩苍天，未有输赢。不过同存同亡，或一切湮灭于虚无。无它。——陈原
1702628332# #人类历史上凡是禁止唱衰的都是真衰了
1695430656# #【陈原抄诗经】（45）之国风鄘风鹑之奔奔。我觉得这个感觉还可。——又换回以前用胶布粘起来的破笔了。
1703980045# #转发微博
1695000610# #【陈原抄诗经】（11）之国风之麟之趾。诗经。诗歌永远的经血。永远的诗歌的痛经。
1698887352# #用的全是草民纳税人的血汗钱啊！cnmb！
1702437084# #咖啡
1700615385# #拾级而上。渐次登高。并不是为了朝圣。而是为了到达。为了看到。朝圣的台阶在心里。是灵魂里的拾级而上。。我在这世界上。并不朝圣什么。朝圣是上帝造我不足。我唯一仰视和心观的。是这个整体的世界。它是那个最大的。庙宇，宫殿，教堂。是在那之上的之上
1692919709# #考虑不周密
1699961825# #在丁肇中先生故居之三
1698912795# #口碑永固
1702253017# #没有自由，就不可能有任何价值。自由是一切价值之所以能成为价值的基础，否则只有必然性，只有现成的事实，只有被锁定的世界。
1696831964# #ctmd
1695251118# #【陈原抄诗经】（32）之国风邶风凯风。。
1691368269# #【陈原抄山海经】之十四。。
1698101070# #邪恶至极。
1699961492# #在丁肇中先生故居之一。其实丁肇中出生于美国，两个月即随母回国，在故乡的日子总共也就三四年。
1693277909# #【陈原抄黄帝内经】之二十七之素问篇之第九章:六节脏象论。。。
1687820689# #陈原抄屈原之二十九之招魂篇。凌晨三点半至五点多抄。万籁俱寂之时，更能感觉到世界微妙的而且是微小的异样。而招魂篇，更入吾境，更与我心合。
1689739348# #是的，一个头脑特别清醒的人。
1694850776# #去医院检查一下吧，可能真的有精神病。
1703633875# #很多人不信。
1701337604# #感觉好不真实啊。
1690426343# #【陈原抄易经】之八之系辞传。
1691536576# #颠鸾倒凤，胡涂乱抹。哈哈
1697149866# #不同意可以讨论，可以反驳，随意给与自己观点不一样的人戴上污名化的帽子，显示的不是自己的正确与优越，而是自己的无知与粗鄙。把公知污名化，再以之污名他人，这是简中世界耻辱的标志，你也有一份！
1692221101# #无法理解为什么不再公布年轻人就业指标。一个国家，还有比这个更重要的指标吗？
1693034395# #【陈原抄黄帝内经】之十四之素问篇之第四章:金匮真言论。。
1693567516# #【陈原抄黄帝内经】之四十之素问篇之第十五章:玉版论要之第十六章玉机真脏论。。
1699830511# #转发微博
1694514022# #【陈原抄黄帝内经】之七十四之素问篇之第二十五章:腹中论。。
1692251687# #【陈原抄山海经】之五十八至之六十四。。
1692920319# #这是那种真正对国家有毒害，给国家带来着霉运，却享受着最高国家俸禄的祸害。
1699593836# #跨省赶大集。——哈哈哈，和咱那里的大集一样一样一样的。
1688283646# #二十一大？
1692920846# #转发微博
1702626604# #年轻鲜活的生命陨灭。
1694300967# #【陈原抄黄帝内经】之六十之素问篇之第二十三章:热论。。
1697591231# #【陈原抄诗经】之国风雅小雅十月之交。【思考就是用智慧赎罪】。这首《十月之交》又是诗经里一首比较长的诗，也是与时间有关的诗歌。可以说，时间概念在当时已经非常普遍和正常。时间历法已经非常成熟完备，以及由时间导致的生存法则也开始成为体系，——时间是生命
1692653138# #不明白，为什么就是不采用财产公示、阳光法案这样既能治标又能治本的反腐制度呢？
1691714320# #【陈原抄山海经】之三十八。。
1703980332# #是的，抽象地感恩。
1691898175# #【陈原抄山海经】之五十一。。
1695528446# #【陈原抄诗经】（49）之国风鄘风孑孑干旄。。
1696171889# #人类，总是在房檐上，结构天空。
1698162524# #转发微博
1699174467# #……血亲
1691273540# #转发微博
1700225970# #中国权力层中唯一一个玩自拍或者配合玩自拍的吧。
1695529750# #【陈原抄诗经】（50）之国风鄘风载驰。。
1690600529# #【陈原抄易经】之十四之说卦传。
1687441560# #按龙冬兄说的，屈原具有一切非正常和非大众人格。而这很可能就是真实的屈原。
1693625114# #那天，我和儿子把车停在路边，走到铁道旁，站在茂密及腰的野草中，看轰鸣的火车经过:看一种时间在我们面前经过的方式。一种出现和消失的方式。瞬间，感觉到了大地的颤动，瞬间，感觉到了时光的逆行。——我们是岁月中拒绝成长的永恒的婴儿。悠长的汽笛声，是世界与世界在相互呼唤，是一种行走的宣告。
1698560777# #以后去定远九梓转转。
1694404812# #【陈原抄黄帝内经】之六十九之素问篇之第二十三章:热论之第二十四章:刺热。。
1693713336# #【陈原抄黄帝内经】之四十七之素问篇之第十六章:玉机真脏论第十七章:三部九候论。。
1694619253# #转发微博
1690192800# #握手
1694148039# #【陈原抄黄帝内经】之五十九之素问篇之第二十章:通评虚实论。。
1690300659# #那么多生命因他而死，神会让他下地狱。
1689750277# #【墨里洁身:陈原抄庄周】之十八之逍遥游。其实我们更多的时候不仅是搞不懂自己的思想、意识、想法、渴求、欲念，以及一切生命内部的事物，而是搞不懂自己的行为，这看似我们早就获得了答案的，不置可否，无以辩驳的问题。你根本决定不了你的行为，也支配不了你的行为，而行为却正在发生
1690945982# #【陈原抄金刚经】之三。
1700054828# #身体是有思想的，并且是可以独自做出决定的。约二十年前我写过一篇《身体的私自决定》，以个体体验对此做了表达。此文后来发表在《青年文学》。
1690834648# #转发微博
1700124076# #握手咖啡
1689628175# #咱艸
1693113463# #这应该是改革开放以来第一次吧。
1698621663# #人性的光辉心
1698562252# #认识，也不丢人心
1699677989# #莫非有回扣？
1699741981# #所以谁给他们妥协的权力的？不是公有制吗？不是一切权利属于人民吗？
1696281750# #转发微博
1694681397# #【陈原抄黄帝内经】之七十八之素问篇之第二十五章:腹中论。。
1695696420# #昨日踏山而行。生命，从来只有一个季节。
1690949077# #【陈原抄金刚经】之六。
1687212148# #转发微博
1703979572# #人民自己选择的不会错；人民没得选择的，对不了。
1690442125# #【陈原抄易经】之十之系辞传。
1701477193# #善莫大焉赞
1702938465# #转发微博
1691669801# #医疗腐败，谋财害命，伤天害理
1699836045# #也许进步不易。其实倒车更难。
1688514462# #【墨里洁身】陈原抄老子之道德经。癸卯农历五月十八日，在完成陈原抄屈原之后，陈原抄老子正式开始。这些思想的经典智慧的高峰，实则是一些古代的家常话，虽高深堂奥，却也平凡朴素。但也正是先哲们的家常话，塑造了历史、文化、观念，精神的脉系，以及我们每个人的心灵与
1694241171# #谁是人类自由的原始剥夺者？
1690361167# #这才是真正的强囯
1695205244# #【陈原抄诗经】（28）之国风邶风燕燕。燕燕。秋意苍茫。
1691126643# #【陈原抄山海经】之二
1694942426# #我个人觉得，文学，对于人类的使命已经完成。文学已经可以作废，当然诺奖之类也可以取消了。——甚至一切艺术都是可以作废的。如果人类还对文学艺术有那么一些需要，人类积累至今的文学残留，也足够用了。至于说文学艺术还要发展进步呢，那根本就是扯淡了。现在，文学艺术只剩下一种命运:被抛弃。
1699399653# #莫非最上面的高层权力者也是和他这样认为的?？
1699501993# #“拿我们家两个公职人员的工作压我”世道就是这样了吗。
1693710746# #【陈原抄黄帝内经】之四十五之素问篇之第十六章:玉机真脏论。。
1699744024# #不同意。
1697064504# #你说的很好。握手
1701646430# #转发微博
1695523054# #【陈原抄诗经】（47）之国风鄘风蝃蝀。。
1701554878# #愚蠢，本来应该给人的是真实感，却往往给人荒谬感。
1699563625# #这个记者就是挑事，那叫债务吗？不用还的钱不叫债！
1699743951# #可惜，统治阶级，才是一个真正的阶级。而世界上，只有统治阶级和被统治阶级。
1692245089# #致虚极，守静笃。。万物并作，吾以观复。。夫物芸芸，各复归其根。。归根曰静，是谓复命。。复命曰常，知常曰明。。不知常，妄作，凶。
1701647498# #你们管这叫超收？这不是诈骗吗？骗国家医保骗患者，一个病例20来万，这医院一年要骗多少人？金额涉及多大？
1695633755# #【陈原抄诗经】（58）之国风鄘风。有狐。。
1694580841# #【陈原抄黄帝内经】之七十五之素问篇之第二十五章:腹中论。。
1691834750# #【陈原抄山海经】之四十六。。
1691291670# #【陈原抄山海经】之十二。。
1702251842# #若在现在，改个别人的署名，很可能入不了地市级展览。哈哈
1699015970# #学校怎么都肮脏到这等地步。
1688556620# #【墨里洁身】陈原抄老子之三之道德经
1690372284# #转发微博
1701554388# #一个真正优秀的人，永远在精神的异地。
1692742578# #这个愚蠢的小丑，以他个人的邪恶绑架了整个俄罗斯。他会下地狱的。
1701153505# #转发微博
1699271365# #羡慕叙兄。可惜我做不来用意象的方式来审美的事情。
1687586582# #转发微博
1690499802# #【陈原抄易经】之十一之系辞传。
1691105679# #【陈原抄金刚经】之十六。这样，到此次发帖，金刚经也抄写完毕。那滴落书案上的汗浆，是我生命的精神刺绣。。这几个月我已经抄写了屈原、老子、庄子、易经、心经、金刚经，和黄帝内经序言部分。我一次次走近他们，与他们进行灵魂的隔空对话，又一次次离开他们，而这离开，不
1695424922# #【陈原抄诗经】（44）之国风鄘风。桑中。。
1700087927# #2022年9月器官移植合法化政策在中国出台后网上出现了一边倒的声音，集体反对这个恶法产生。
1699430334# #转发微博
1700860193# #司法鉴定所确实是毒瘤！
1690233980# #齐齐哈尔三十四中学，十一个无辜孩子，他们青春的生命戛然而止。原来，恶魔之手早就改变了这个世界的命运。原来，我们把任何事情都制造成了恶。原来，我们是自己的殇。原来，我们依然不可改变地一直腐烂。
1692840634# #其实谁都知道是怎么回事。在今天信息高度发达的时代，在隆起的历史的高岸上，政治已经不再神秘，只剩下神秘感。只剩下肮脏。只有少数集权专制者，仍然在装逼，装神弄鬼，故意地自欺欺人地制造着神秘。当然，对于普里戈任之死这样的狗咬狗，群魔乱撕，草民也乐得一见。
1691582180# #【陈原抄山海经】之三十。。
1691565271# #【陈原抄山海经】之二十六。。
1689901394# #【墨里洁身:陈原抄庄周】之二十三之德充符。世界上那个叫作家的当代物种，他们天天搞着一个叫做“文学”的可玩之物，并努力地向人们表现出他们很听话很乖的样子。嗯，好乖。——陈原
1698885357# #几千年苦难的农民。
1694248334# #【陈原抄黄帝内经】之六十四之素问篇之第二十一章:太阴阳明论之第二十二章:阴阳脉解。。
1701256474# #转发微博
1694914107# #【陈原抄诗经】（9）之国风之汉广。诗经。诗歌永远的经血。永远的诗歌的痛经。
1698974646# #很久很久了，亿万年的海，仍然充满激情，呈现着恒力，没有成为废墟。让一代代过客站立、凝视、眺望、沉默、孤思、祭奠。或者奋身一跃。
1701165304# #感觉这个社会好像越来越不着调了。
1691895149# #【陈原抄山海经】之四十八。睡眠是一个很深的山洞。过去我睡在洞口。而现在我睡在洞底。横着挖掘。能挖到自己的坟穴。那里堆满所有你剩下的。过期了的时间
1697870116# #是恒定的静物，越来越能够让我真正感动。
1693033248# #【陈原抄黄帝内经】之十三之素问篇之第四章:金匮真言论。。
1688727931# #【墨里洁身】陈原抄老子之九道德经。写毛笔字的时候想，人的头发像毛笔上毛多好啊，无论它之前是什么颜色，但一定会变得越来越黑。而不像岁月那么险恶。
1702072128# #大骇。社会变得如此凶险恐怖。
1695122652# #【陈原抄诗经】（23）之国风召南野有死麕。诗经。诗歌永远的经血。永远的诗歌的痛经。
1689034202# #【墨里洁身:陈原抄庄周】之六之齐物论。
1691123996# #【陈原抄山海经】之一。好吧，开始抄写山海经。。我所有的抄写，其实就是我的一次灵魂的纹身。那是灵魂中最狰狞的图案。
1698908190# #他不明白哪些人在创造就业，哪些人在掠夺财产
1691667962# #【陈原抄山海经】之三十五。。
1690300379# #一个农耕民族，瓜地里搭瓜棚，几千年的老传统，怎么今天就不行了？——杂种们怎么想的？疑问
1703375078# #没有除夕哪有春节？传统上除夕一直比春节重要！为什么不放假？
1688081245# #陈原抄屈原之三十一（这部分应该在之三十之前。粗心导致乱序）之招魂
1689302218# #早安
1701992745# #转发微博
1699790924# #此前几年，全国居民们就被社区物业和几个保安管得服服帖帖，被一根棉花棒捅的老老实实，被个手机刷码治得规规矩矩，世界人类史上都闻所未闻赞
1697114835# #因为抄书，很久没有写这两个句子了。。云是鹤家乡。天意怜幽草
1691813027# #【陈原抄山海经】之四十二。存在与上帝的可疑和对其所做的追问，是导致我们自身存在危机的最大根源。却又没有任何东西能撼动由存在的可疑而导致的绝对虚无。我们因为生而无据，因为存在不可追问，而导致存在感的彻底丧失，并继而导致绝对的绝望。。——陈原旧札
1702251943# #而且还左右环顾一下伸出双手很绅士地示意大家落座心
1695549048# #秋天，大地苍茫，万物并存共行。一切物像，皆成岁月之象。时光正在生成。世界的永恒，正以瞬间的方式呈现。而存在即是消失。这是宏大的背影，我们在世界背后凝视，并追赶。
1695194317# #权利是为领导服务的怎么可能去抓规则制定者。
1695022951# #【陈原抄诗经】（16）之国风召南甘棠。诗经。诗歌永远的经血。永远的诗歌的痛经。
1694835243# #【陈原抄诗经】（2）之国风之葛覃。。
1695696055# #【陈原抄诗经】（65）之国风王风。有兔爰爰。。
1693471464# #【陈原抄黄帝内经】之三十四之素问篇之第十一章:五脏别论之第十二章:异法方宜论。。
1690090246# #我必须复述这样一个事实:几千年了，人类一直在死亡，在完成永恒的消失。
1699515381# #将物业还给业主，这要大力支持和推广。
1704014809# #咖啡握手
1699509353# #转发微博
1690089780# #【墨里洁身:陈原抄庄周】之三十之德充符。寂寞地书写，在黯淡无光的生命里涂满黑墨。在不知我者的生命之外潜行。在活里死亡。让自己提前失去人类共有表情。让活与死并行，让活与死成为一件事情。但是，这不是我一个人的事情，如果我是一个复数，那么这是每一个人的事情，人类的事情。
1693437987# #向好。
1702938387# #天地不吉。🙏
1695125476# #【陈原抄诗经】（24）之国风召南何彼襛矣。诗经。诗歌永远的经血。永远的诗歌的痛经。
1694248551# #【陈原抄黄帝内经】之六十五之素问篇之第二十二章:阴阳脉解。。
1702626003# #自拟并毛笔写之。五言一首/陈原。。大雪压齐境，。群飞变孤影。。深困异域里，。孤馆寒窗冷。。高速入口封，。如置千障屏。。铁骑停楼下，。如马卧厩中。。异乡成异客，。天涯古道听。。天横云雪凝，。何日能启程。。。棉衣尚足余，。身暖心上（上:shang四声动词）冻。。无人问干粮，。忍饥可修行。。明日何处去，
1691547312# #【陈原抄山海经】之二十三。一入秋，突然就不想吃凉面了。都说山东是最能体现二十四节气的地方，所以山东四季分明，时光有序。也甚至因此认为山东是中国天气最好的地方。我是特别喜欢吃凉面的，但从入秋第二天就突然不想吃凉面了，这证明，作为一个山东人，我们身上的节气，我们生命内在
1688430832# #陈原抄屈原之四十二之严忌哀时命篇
1692650652# #整个社会，甚至整个国家，是不是也有类似“中国好声音”的强盗流氓无赖逻辑在运行？
1696171884# #柏林寺，近二十年后，又一次来。
1699678269# #为了老百姓的心理健康和幸福感，这样的新闻已经看不到了。
1701905065# #官员财产公开是世界性的。是人类文明的最大标志之一。是权力由野蛮走向文明的保证。
1696554629# #超越一切的陪伴和依赖。
1687003497# #【骚事记录:陈原抄屈原】之十一图片。遇到从来没有见过的生僻字，如遇到深山俊鸟，如遇到深闺美人。。抄屈原，才知道自己还没学会认字。
1699962092# #落日离世界远去，暮色四合，礁石依然瘦骨嶙峋、满身伤口地站立于海岸，延续它静谧的永恒。
1693203814# #【陈原抄黄帝内经】之二十二之素问篇之第六章:阴阳离合论之第七章:阴阳别论。。
1693834440# #握手
1695645321# #【陈原抄诗经】（60）之国风王风。黍离。好字好字。真正塌下心来写字快一整年了，若再写一年，那还了得。
1697011099# #因为回程不想走来时路，便离开高速拐到了这里。就像在不可知中，把我那无形的生命之舵拐了一下，于是，生命在内部出现了平静却又骇人的意外，与一片从不曾知的湖相遇。——原来，一切都不曾预设。除却那个至高的预设者:上帝。。明年，我想来看荷花。
1703759919# #转发微博
1689551838# #【墨里洁身:陈原抄庄周】之十之逍遥游。真没想到，庄周叨逼的竟然如此厉害。抄进去之后，完全不是“北冥有鱼，其名为鲲。鲲之大，不知其几千里也；化而为鸟，其名为鹏。鹏之背，不知其几千里也；怒而飞，其翼若垂天之云”这种气质和气度。唠唠叨叨，不厌其烦地咧咧一个事。字、词、
1699850386# #应该全国彻底调查这是不是普遍现象。目前看有极大可能是。
1698423304# #转发微博
1696666499# #转发微博
1693898132# #【陈原抄黄帝内经】之五十四之素问篇之第十九章:离合真邪论。。
1691037627# #【陈原抄金刚经】之十二。金刚经曰:凡所有相，皆是虚妄。。金刚经曰:应无所往，而生其心。
1699481685# #吃瓜他们还评选了个北京青年榜样，涉性侵传播性病的北京青年榜样。
1699534261# #嘻嘻
