1693115699# #社会不断进步，但愚昧无知的人至今也没减少！
1698168315# #年轻人真得不要结婚了？。。我前天和我的乒乓教练聊天，她99年重庆的，我问她，在上海找对象吗？她说，不找，不想结婚，她姐姐结婚后离婚，家里一地鸡毛。她觉得结婚生子是个负担，她妈妈说不结婚会后悔，她觉得无所谓！。。另外一位上海本地男生，83年的，也40了，至今不结婚，昨晚和他吃饭聊婚姻，他说：
1692664863# #没想到这个城市，2022年人口流入最多！。。2022年，北上广深四个一线城市的人口全部负增长，分别比上年减少4.3万人、13.54万人、7.65万人、1.98万人。。。2022年，内地城市的人口增长冠军是长沙，净增18.13万人，第二名是杭州，净增17.2万人，第三名是合肥，净增16.9万人。
1689207133# #
1689583308# #越来越多的年轻人看清了婚姻的真相，也算清了婚姻的账：用25-65岁长达40年的轻松自在，换65-75岁仅10年的痛苦无助，这种方案是最划算的，本来也没有十全十美的方案。。。所以，不婚不育的人越来越多了。只谈恋爱、不结婚、不生娃、不管对方家庭。
1697899495# #中国游客占旅日消费第一！。。10月19号，日本观光厅发布了2023年7-9月访日外国游客的最新数据，数据显示7-9月访日外国游客的总消费额达到了1兆3904亿日元，这一数字比疫情前2019年同期增加了约17%。。。中国游客消费排名第一！一方面，国内消费不振，都说没钱，另外一方面，疯狂到日本消费，到底是啥原因？
1692216228# #一个人开窍后有10种表现：。·第一，不浪费时间管别人的闲事，关注别人的生活。。·第二，真本事都是偷来的，很少有人会真心教你，教你也未必能学会。。·第三，学习不是为了目的，而是为了实际应用，能够换来钱才是最重要的。。·第四，只要能够吃好、睡好、干好工作，不锻炼也没有太大关系。。·第五，专注于当
1689741592# #早上问朋友：某某企业咋样？。他：现在没倒闭，都能算好企业！
1688015408# #专家：房子不够住！
1699604711# #
1699997790# #霓虹灯拆完了，就是深圳城中村了！
1693694890# #自然，安静，原生态，生活设施齐全，非常值得度假的地方！
1698933810# #劝商人金盆洗手跟劝妓女从良差不多，这个挣快钱的快感一旦养成就戒不掉了。。。话糙理不糙！
1692915411# #人在做，天在看，苍天饶过谁！。。曾老曾预言日本核废水外泄事件。我真心希望他的预言能够成真。曾老表示，当日本发生核泄漏时，距离他最近的人是谁？答案是台湾。许多人问他是否与此事有关，是否需要逃跑，但他回答说没关系。他说这是因为天会做出决定，只要风往南吹，台湾就完了。他一直在吹西风，直到
1688773013# #牵手门”处理结果公布：胡继勇被双开，董某某解除劳动合同！。。现在可以没有顾虑，高调秀恩爱了！
1698414400# #旅行日本旅行必打卡之镰仓，这里不仅有江之电，镰仓高校，小町商业街，镰仓大佛，更有美丽的落日余晖！
1690791917# #越忙为啥效率越低，收入也无法提高？。。你也从来也没有意识到，这种周而复始的繁忙状态只会让你陷入一种高效率的假象中，你的工作并没有因此变得出色，反而因为紧张忙碌而漏洞百出。&nbsp;真正能让你摆脱工作负循环的，不是加班加点的穷忙，而是懂得做好计划，提升能力，辨别事情的轻重缓急。
1693011056# #日本排放核污染。近期你还会去吃日料吗？
1687868741# #谁会是未来的北方第二大城市！。。天津经济体量可以，但已没有增长潜力，青岛这几年停滞不前，西安倒是有异军突起的迹象！
1698973560# #中国房地产已经进入一个长周期的衰退之中，10年甚至更长，这并不代表房地产市场结束了，刚需买房需求依然存在，另外，租房市场将空前繁荣，未来有30%的人租房会成为必然！
1693873347# #终于有个高手，把日本排核废水的深层逻辑写清楚了！
1692407751# #美食12味中药熬制而成的牛肉汤，这牛肉有点甜色色，洛阳一绝强强
1701047757# #继续揍乐，继续卷！。。最新的国考数据显示，今年报考人数同比暴涨近35%（应届毕业生普遍找不到满意工作，只能参加国考）最热门岗位竞争率达成3572：1。
1688623415# #李玫作为国际巨星，以这样的方式离开，实在令人扼腕，想当初的张国荣也是以此方式离世的！。。第一因素除了婚姻的失败，还有就是她以前的制高点太高了，光环太耀眼了。但随着年纪的增大，被新生代取代，不得不面对现实。想多了，所以人就会压抑，最终走上这条路。。。人活一世，要接受自己的不完美！
1689380573# #人生感悟不断地赶路，不断地赶路，几经波折，最后发现健康，快乐，家庭幸福，才是最有价值和意义的！
1693402401# #美食在东京最难忘的美食是河豚鱼拌饭和汉堡冰淇淋！
1687270078# #著名的财经学者叶檀病了，才刚过50岁！。。73年出生，复旦大学毕业的才女叶檀女士，最近接受采访，表明乳腺癌已经转移到骨头上。8个月的各种治疗，自己把她折腾的憔悴不堪。。。她说两件事比较后悔。第一，没有听医生的话。当身体不适，已经查出一些问题的时候，迫于事业发展，一直没有停住工作的脚步。你
1689888088# #租房上海二手房挂牌依然高企，租赁房源再创新高！。。根据链家数据，6月底，上海链家二手房挂牌7.7万套，相比于高点的挂牌数据，已经跌去3%。而全网数据，已经有超过1.5万套的上海二手房房东，选择了跟进撤牌。。。跟挂牌数据下跌相背的，是租赁的房源新增，又重回高点。。。大胆预测，上海租赁房源数据
1690790297# #宁波最贵的东部新城和上海的前滩还是有几分相似的！
1686883105# #个别的，很正常，但大批量不现实，钱咋出去，你当公安局，银行，外管局会无动于衷吗？
1696040272# #远离股市，珍惜生命！。。著名私募大佬关善祥自杀身亡，年仅三十八岁，号称中国的巴菲特，信奉长期价值投资，早期家境贫寒，大学放弃学业进入股市，二十八岁挣得亿万财富，实现财务自由，雪球拥有众多粉丝，并出书立传，创立传世投资基金，誓言实现万亿财富，最近几年重仓银行地产股股市行情不好，资产严
1696933132# #北极撵鱼，反腐先锋，凭一己之力，大义灭亲，必须大大滴赞！
1687870448# #震惊，国家电网总负债已经超过了三万亿大关！。。石油和烟草都亏钱了，现在国家电网也开始亏钱了，在国人印象中，烟草，能源，电力，金额，都是国家巨无霸，食物链顶端行业，每年大量的毕业生的首选的阳光企业，没想到负债也这么高，每年赚的钱都去哪了？
1686988783# #打卡太原古县城，感受山西千年历史！
1696391018# #再看《红楼梦》，回顾恒大和那些房地产商的今生往事，其实红楼梦早就有答案了！。。世人都晓神仙好，唯有功名忘不了！。世人都晓神仙好，唯有金银忘不了！
1700885974# #快60的马爸爸现在干厨房了，这到底是钱有兴趣还是没兴趣？
1695803795# #不是不报，是时候未到！
1694085432# #特斯拉跟对人真的很重要——马斯克奖励朱晓彤特斯拉股票34万股，现价每股256.49美元，折合人民币6亿多。。。朱晓彤从2014年起担任特斯拉中国区总裁，他帮马斯克实现了上海超级工厂从0-1的建设和量产。
1687614671# #字字珠玑，看透人性！
1692536268# #中国的亿万富翁哪里最多？。。北京，资产过亿的家庭有20400户；。上海，资产过亿的家庭有17600户；。香港，资产过亿的家庭有12000户；。深圳，资产过亿的家庭有5990户；。广州，资产过亿的家庭有4690户；。杭州，资产过亿的家庭有3630户；。宁波，资产过亿的家庭有2790户；。苏州，资产过亿的家庭有2000户；。南
1699764595# #中财办副主任杨伟民：中国有3亿农民工没买房，房地产还有发展空间。一个网友回答，中国人还有14亿多没有私人飞机，私人飞机制造业空间巨大！
1693906693# #正经活不好干了，聪明智慧全用在段子上了偷笑
1694646900# #早安，阿那亚咖啡干杯
1694649487# #电商所谓电商就是资本代言人，韭菜收割机，不破电商，实体无望！
