1703760997# #“技术应该在车上，而不是在PPT上。”领跑汽车这是在内涵谁？
1694478857# #粮厂又抢到了高通8Gen3的首发？。。当年888首发，雷总不仅喊出“首发就是实力”，还搞了个首发纪念版邀请函，结果没想到骁龙888翻车。。。首发好是好，不过有时候也是个坑！允悲
1687246286# #阿里集团换帅。。阿里换帅，蔡崇信回归将出任阿里集团董事会主席，吴泳洺出任阿里集团CEO，可以看出马云依旧遥控指挥着阿里！。。个人觉得淘宝这几年有走下坡路，确实需要来一场改革了！马云的战略眼光还是非常不错的，就看这次改革能不能让阿里重新回到正轨！
1699434000# #认真的国货值得一试&nbsp;。。要说值得一试的国货，华为Mate60Pro应该是最值得一试的科技产品了，卫星通话功能遥遥领先！
1687907590# #每天早起打卡。。早安！兄弟们！
1695466153# #苹果iPhone15Pro确认3274mAh电池。。感觉没什么人在意，毕竟苹果的续航不行已经深入人心，要买的人已经对苹果的续航有预期了！允悲
1697537721# #刚刚打开荣耀手表4Pro的表盘市场，发现这里还有一个非常不错的福利，0.1折的表盘，不知道大家有没有领取啊？
1698312109# #iPhone15被指玻璃背板易碎。。一块玻璃板换几百块，而且还特别容易碎，库克是真会做生意！光这一项，每年都能为苹果带来不少的收入吧？
1687516264# #荣耀的下拉菜单也改成和大哥一样，左拉应用提醒，右拉控制中心了，大家觉得是哪个下了菜单方便？
1694679845# #随手拍。。打卡记录一下，台州的白云山。荣耀Magic5Pro
1697500682# #虽然我有点怀疑小米的实力，但我希望小米能做成，只要自研成了，就是好样的！嘻嘻
1700898674# #问界M7这销量厉害，这么短时间就已经挤入SUV销量榜的21位了！。。小鹏、蔚来已经被问界M7超越，距离理想L7也没多少了距离了！。。难怪说华为是行业杀手！没点技术的企业真比不过！
1690868513# #传闻华为和保时捷的合作即将到期，今年的Mate60系列的保时捷设计可能成为绝版！。。华为和保时捷的联名也是非常成功的一个商业联名案列，为双方都带来了巨大的品牌效应！可惜再甜蜜的合作也有到期的时候！传闻华为个保时捷到期后，“友商”很可能会接盘。。。你觉得，哪位友商最有可能会和保时捷设计进行
1693735064# #“如果期待对手很弱，自己去成长，这种状态会将自己变成弱者。”。。荣耀CEO赵明在IFA上接受媒体采访时，对“如何看待华为新品的华丽回归？”做出了上述回应！。。确实！国产手机行业在华为回归下，突然变得充满了可能性和魅力！与其期待对手弱，不如把自己变的更强！荣耀作为从华为分离出来的企业，深刻明
1698142145# #闲着没事，给我的华为Mate60Pro拍了一组图赏，黑色永远的金典色。
1701907172# #感觉“因故意降低性能”这问题，告苹果一告一个准啊！为啥国内没人对苹果提起诉讼啊？。。苹果因故意降低性能被判向部分用户赔偿
1702715227# #荣耀90GT已官宣定档12月21日19:00发布！。。基本配置如下：。◆骁龙8G2处理器。◆3840Hz居中单孔护眼直屏。◆100W快充。◆50Mp主摄，支持OIS防抖。◆支持红外。。这次可以说，想要都给安排上了，猜猜定价吧？
1698129189# #“因为有华为在，宁可养猪也不造手机！”。。丁磊：之前有人找他合作一起做手机，后来我想了想，华为在我们没机会，我们根本打不过它。。。丁磊是明白人。
1697152587# #每天早起打卡。。老铁们早安！这连续7天班总算要结束了！设计这个调休的人，我谢谢你！。。荣耀Magic5Pro
1702956124# #苹果正探索更新系统解决AppleWatch纠纷。。苹果牛逼，什么问题都可以通过升级解决！允悲
1701937849# #讲真，荣耀Magic5Pro的屏幕虽然不是2K，但这块屏幕的在视觉体验上却表现相当出色，细节和色彩上的表现完全不输于2K屏，而且它搭载的护眼技术的表现也非常让人感到舒服，所以参数真不是一切，用户体验才是最重要的！
1697937352# #每天早起打卡。。早安！今天天气好，宜出游啊！。。荣耀Magic5Pro
1701227754# #你被手机回收平台坑过吗。我卖二手手机的话，基本上都是在海鲜市场自己出，我对自己使用的手机质量还是蛮有信心的，对于二手平台的检测我不太信任。
1701673155# #理想就测试车不文明驾驶致歉。。以后有啥新闻问华子的小艺就可以了！回答还是蛮准的。嘻嘻
1700006958# #鸿蒙系统未来可期！。。清华、上海交大、南京大学、华中科技、电子科技大学、哈工大等等21所985高校都已开设了鸿蒙相关的课程。。。据悉，这些开设的课程，都是由华为和教育部高教司合作共同推进的产学合作协同育人项目，旨在培养关键核心技术领域的人才。。。所以，这些人就是鸿蒙的种子啊！。。等这批人培
1692505415# #知道华为最厉害的地方是什么吗？。。当别的厂商还在想办法做吸引你购买的产品时，华为却在走标准制定的路线，立志成为标准的制定者！看看我们的自动驾驶技术标准，华为就参与了标准定制！。。普通玩家遵守标准，﻿高端玩家制定标准，看出区别了吗？老铁！
1701990629# #这几种刷手机的姿势都不对。。只要拿起手机，不管什么姿势都不对！嘻嘻。。但我就喜欢刷手机，你管得着吗？二哈
1695170287# #荣耀CEO赵明称荣耀回归华为绝无可能。。明哥说的荣耀不回归华为，并不是说两家不合作啊！两家现在就像是已经分家的两兄弟，既是竞争对手，又是合作伙伴！。。毕竟全球的市场那么大，没必要拼个你死我活的，期待两家都能获得良好的发展！
1702349271# #iOS17.2正式版新增翻译功能。。荣耀Magic6Pro已经入网，确认会配备自研卫星通信功能，这不比iPhone的更新有意思？
1693553226# #本打算来湖滨银泰的华为授权体验店看看华为Mate60Pro的，没想到没货，不过可以预定，1000元订金随时可退。。。进来这么一会儿，就已经遇到至少3个人来问Mate60Pro有没有货的了，华为就是华为，猛！666666666
1696997174# #九章三号求解特定问题比超算快1亿亿倍。。“九章三号”在百万分之一秒时间内所处理的最高复杂度的样本，需要当前最强的超级计算机“前沿”（Frontier）花费超过二百亿年的时间。。。
1694316969# #真的有人吃东西前不看热量吗。。现在大家都注意保养身体了！我现在吃东西前，都会大致估算一下每种食物的热量，稍微控制一下每天的热量摄入！毕竟过多的热量摄入对健康并不好，身体是革命的本钱！。。但大家要认识到一个误区，控制热量并不是说有些东西一点不能吃，比如奶茶等食物，选择低糖，低脂的奶茶
1700225931# #在中国饮食男女的面前，歪果仁的美食评级就是个笑话！皮蛋瘦肉粥来一碗？。。入华15年米其林依旧是外宾
1689812366# #记者解剖鸭头剥出巩膜。。之前说安全套的人，可能对安全套有误解，除了棒子，谁的丁丁这么小？允悲有点常识好不好！
1695859966# #iPhone16机型或都配备A18芯片。。iPhone15都还没整明白，现在又来给iPhone16画饼了？A17都要热爆了，A18就能行吗？笑而不语
1703158382# #一直等直屏的朋友应该很喜欢荣耀90GT搭载的这块屏幕吧？荣耀90GT。。“荣耀绿洲护眼屏”支持3840Hz超高频PWM调光、类自然光护眼、硬件级低蓝光、助眠显示等功能，实现自然光级全天护眼。。。1.25mm超窄边框设计，435PPI视网膜级超高像素密度，支持超动态臻彩显示、全清晰视频增强等功能，视觉效果更沉浸
1701528703# #今天拍了一组南卡新款耳机南卡RunnerCC4的图，给大家欣赏一下！哥拍照的技术是不是有所提升了？
1690604074# #华为即将推出的系统云翻新业务，真是太香了。。。简单来说，就是华为提供给你3天不限量的云盘免费空间，让你可以将手机上的所有数据进行备份，后将手机进行恢复出厂，在通过云恢复你备份的数据。。。这对于很多使用多年的手机用户来说非常友好，让手机可以彻底的进行一次清理，同时也免去了他们备份数据的
1700610215# #百度Q3财报亮眼，营收344.47亿元，归属于百度的净利润73亿元，同比增长23%。。。百度营收增长文心大模型功不可没，AI新功能让广告商在第三季度平均实现了高个位数的转化率增长。。。一切为了广告收入！嘻嘻
1695519810# #这次华强北的师傅，估计也拿iPhone15ProMax这个问题缩手无策了！。。有媒体在拆解国行和美版iPhone15ProMax对比后发现，美版的硬盘和A17Pro处理器距离很远，而国行的两个大件却是挨在一起！所以在散热上国行版本存在先天不足的情况，究其原因是国行版本要放下SIM卡卡槽。。。这样一来，美版iPhone15ProMax
1691982704# #随手拍。。九曲黄河万里沙！果然名不虚传！。。荣耀Magic5Pro
1697684614# #这居然是甜点？！现在的创意美食真是点颠覆想象啊！
1698141320# #未来手机屏幕看国产了，三星靠边站！。。一加和京东方联合打造的“东方屏”X1，实现了6大突破，9大世界第一，12大全球首发。中国人登上了屏幕的珠穆朗玛峰
1698484257# #苹果手表新系统被指耗电过快。。说到续航，荣耀手表4Pro的续航是真的不错。嘻嘻
1702719995# #华为回归后这个市场份额真的是快，荣耀也给力。
1697600731# #荣耀折叠屏全家桶，哪款好看？
1700571326# #杭州这几年的发展确实有目共睹，钱塘江两岸短短几年就已经这么多高楼大厦立起来，也成功举办了亚运会。相信会吸引越来越多的人来杭州创业淘金！杭州的房价如果再降一点的，或许会更有吸引力。。。杭州城区人口破1000万
1696393103# #延时镜头下十一有多美。。国庆大家都去哪里玩了？我就在老家逛了逛！
1687339001# #丫丫。。看到丫丫的这退休生活，我都羡慕死了！啥时候我也能退休啊？
1689550670# #假唱一个以唱歌出名的明星，如果连真唱都唱不了，那真是有点神奇了！家人们！
1696768615# #北京下雪。。这就下雪了啊！今年冬天来的真快！
1696481053# #日本海啸。。这是大海第二次对小日子的警告吧！事不过三，第三次就不是这么点风浪了。
1702720329# #首先，我得有一加12呀！找不兄台借我使使？
1699364534# #我就说吧！第二家可能搭载卫星通信功能的很有可能就是荣耀。。。称，在过去两年的时间里荣耀与中国电信展开了深度技术合作，已经解决了卫星业务功耗大、链路预算紧张、散热难等技术难题，同时在芯片小型化、卫星天线内置等方面实现了技术突破，为智能终端直连卫星业务开拓了新的方向，未来荣耀
1699259390# #歼20遇绝美霞光披上金色战甲。。这真是太帅了！绝美的歼20！百看不厌！。。
1699449440# #或许！在一些人眼里，荣耀靠的出身好！。。没有技术……没有实力……。。但你们或许看走眼了！
1700706828# #为什么武汉的周黑鸭和杭州的周黑鸭吃起来味道有点不太一样？感觉武汉的味道特好吃。武汉秋天的味道
1698709341# #花西子跌出天猫双十一彩妆预售榜前20。。哪里贵了！我要想想自己这几年，是不是没有努力！
1702434720# #iPhone16或调整相机岛设计。。多年来，水果的镜头模组样式几乎没有变化，缺乏新意和创新，大家都审美疲劳了吧？能换换造型也不错。允悲
1702707063# #看了马斯克的X平台才获得美国13个州颁发的汇款许可证的新闻，才明查为啥美国的移动支付是多么的落后！也能明白为啥马斯克想把X打造成美国版的微信了！。。他们真是太落后了。
1704018721# #vivo印度子公司2名高管被释放。。人没事就好，阿三的钱真尼玛难赚！
1703394050# #vivo称对印度的拘捕行动深表震惊。。每隔几十年都会有公司觉得自己可以在印度市场赚到钱，但结果往往很受伤啊！印度虽然是人口大国，但印度并没有大国的担当！国内企业如果还想去印度做生意，真的是小心，小心，再小心。
1699570901# #每天早起打卡。。早呀！今天不去公司上班！嘻嘻。。荣耀Magic5Pro
1692348489# #中国好声音母公司股价大跌。。我不懂音乐，但知道你是一个极具正义感的人，一个真正勇敢的人！放心，欺负你的人不会有好果子吃。
1703901736# #恭喜
1687492408# #小米13Ultra获得了两家国际科技媒体的好评，雷总的高端成了！
1690947487# #OPPO什么时候把标都换成黑底白字了？。。这是打算把去除绿厂这个标签吗？。。不过黑色白字似乎看上去高大上一点！有没有？
1697013070# #vivo回应员工遭印度逮捕。。原本一直以为“印度赚钱印度花，一分别想带回家！”是一句笑话，但自从真正了解了印度人后，发现这句话就是事实。。。目前来看，还没有哪个外国企业能够在印度赚钱后全身而退的，还想去印度发财的企业想清楚了！
1701583097# #华为头显设备，如果真能达到爆料图片上这个程度，将开启AR眼镜的新时代，不过我觉得应该还没有这个能力。允悲
1694581356# #iPhone15天猫已上线预约通道。。我觉得这次黄牛应该是不太会轻易囤货了，毕竟升级不大，砸手里的话，可都是真金白银啊！
1699163378# #新荣耀三周年嘉年华活动开启了，将在30座城市同步开启招募。。。作为荣耀的三周年生日庆典，相信现场一定有惊喜满满等着我们，各位小伙伴可以看看有没有你的城市，时间合适的话快去报名！。。在荣耀手机上的“我的荣耀”APP里报名。
1702541006# #手机镜头膜是智商税吗。。我觉得手机镜头膜就是智商税！有些膜真的会严重影响手机的相机拍照效果，不相信的，你撕掉贴膜拍照试试！
1703514803# #看了下朋友的荣耀90GT，这个超窄边框仅仅1.25mm，友商见了都望而生畏，而且荣耀90GT这个起步价仅需2599元，性价比这玩意真是被荣耀摸透了！。。荣耀90GT无论是配置、外观、边框，还是价格都预示着它将成为市场上的热销产品，感觉友商们在不久的将来也将纷纷推出类似超窄边框的手机。。。你觉得荣耀90GT如何
1691727698# #缅甸柬埔寨来抢中国游客了。。缅甸和柬埔寨，不管别人去不去旅游，反正我想我是肯定不会想去旅游的。
1701592881# #手机拍照的图片不要直接打印。。荣耀手机的相机机文档扫描，华为手机的相机里叫做文档矫正，这两个功能都可以将文档直接直接变成扫描格式，并且支持保存为PDF格式，不知道怎么用的学习一下，非常好用。
1694679160# #荣耀Magic6Pro也要登岛也没有什么好奇怪的！。。毕竟灵动岛可是荣耀V20首发的，真要严格说，还是iPhone抄袭了呢！嘻嘻
1689165007# #赵明称折叠手机进入毫米级时代。。折叠屏手机受限于重量和厚度，所以流行不起来，如果厚度和重量可以做到直板机的程度，相信使用的人会越来越多。
1699575567# #网友表示，问界M9的车灯功能太离谱！。。正式上市的一天，“灯厂”名号将会易主！
1701559864# #菲律宾发生7.6级地震。。又地震？希望哪里的中国人都平安！。。手机上都有地震预警功能默认是关闭的，大家注意打开。。。荣耀手机地震预警功能在设置～安全～应急预警通知里打开。。。华为手机打开的路径是一样的。
1701645919# #每天早起打卡。。老铁们早呀！杭州又降温了，大家注意保暖哦！
1698566272# #最近，入手了这款联想小新固态U盘，相当好玩，它不仅是一个U盘，还是一个解压玩具，可以看到它的尾部安装有一个盘珠，盘珠内置有一个机械机构，在转动它的时候会有一种段落感，还会发现“"咔哒、咔哒”的声音，工作之余盘盘它真的相当解压。。。当然，小新固态U盘解压盘珠款还是一款相不错的手机/电脑两
1700132560# #一人一个摄影技巧。。站的高看的远，蹲的底看的广，站的近看的清。
1691713021# #每天早起打卡。。兄弟们早安！周五快乐！
1701483086# #飞猪要求退票用户开情侣关系证明。。这个到底是飞猪要求的？还是迪士尼要求的？感觉是迪士尼的要求！
1697629167# #真是烦恼！怎么样才能让别人知道，我用是“遥遥领先”华为Mate60Pro？
1701132788# #一切都对上了！。。大家有没有注意到，华为前段时间宣布完成了卫星上网测试的消息？。。很多人有疑问，华为哪里来那么多卫星！。。现在正式消息来了，我国首张高轨卫星互联网初步建成！完整覆盖我国国土全境及“一带一路”共建国家沿线重点区域。。。没想到吧！我们不声不响已经完成了天网的布局！这下欧美估计
1696994437# #华为2024年的目标是智能手机出货量6000-7000万部，比今年和去年翻一番。。。多位供应链人士证实，今年早些时候，华为一直在增加镜头、相机、印刷电路板和其他零部件的库存。8月底，未发布就突然开售的华为Mate60系列，引发全网讨论和抢购。。。从供应链获得的权威机构统计报告数据显示，华为在W38-
1692143575# #就问你看到这消息，慌不慌？。。外媒报道，由于台积电3nm产能良率较低，同时苹果和联发科已签定，高通拟将骁龙8Gen4订单交给三星，原因是高通从三星代工厂收到的样品质量“令人惊叹”。三星目前的3nm工艺中使用GAAFET（全栅场效应晶体管）技术。。。虽然高通可能再给三星一次机会，不过对于手机厂
1690367839# #今晚油价要涨，加一箱油要多花11块钱！。。感谢YOYO的提醒！荣耀手表4
1696336690# #荣耀X50被吐槽对多的两个方面，一个是。用了骁龙6处理器，一个是快充只有支持35W。。。不过，我觉得荣耀X50上面被吐槽的两个点并不会影响大家购买，简单分析一下。。。首先，放到1399起这个价位段的手机处理器都不会太好，骁龙6并不是表现非常差，玩个王者荣耀依旧流畅。。。35W充电功率虽然低了点，但5800mAh
1689895432# #有个疑问！当初米国耍流氓打击华为时，国外厂商在5G方面的技术据说最起码落后华为一年，现在华为已经被米国制裁好几年了，那些国外厂商应该已经追上来了吧？
1699345042# #这天梯图做的！很有当年雷总一元硬币🪙那么厚，有异曲同工之妙啊！。。小鹏G9的这个15.2能耗数据长度，居然只有第二名的15.5的三分之一长。。。服了！
1698574167# #一部手机的钱在新疆可以买20箱苹果。。一部苹果手机才能买20箱新疆苹果？嘻嘻果粉要破防了！
1702298526# #运动时，大家都戴什么耳机？
1693816098# #杨迪信息被泄露手机如何拦截骚扰电话。。杨迪发文说已经信息泄露，导致被骚扰！无意中暴露了iPhone手机的骚扰拦截有多鸡肋！。。而安卓手机在骚扰拦截这一块却做的好多了，比如我现在用的荣耀Magic5Pro，骚扰拦截功能相当强大，遇到骚扰电话直接拉黑就可以。
1701482950# #我们国家富强后，很多外国人来中国淘金，也有很多人都想留下来！我们要有选择性的留下来，特别是各种专业领域的人才！50名外国人拿到首批五星卡
1690372562# #在轻薄这一块，荣耀MagicV2确实做到了超越所有友商！。。荣耀MagicV2：9.9mm。华为MateX3：11.08mm。小米MIXFold2：11.2mm。vivoXFold2：12.9mm。三星GalaxyZFold5：13.4mm。OPPOFindN2：14.6mm
1689508895# #建议他们下到浙江的农村去看看，会让他们更加不适。
1698821923# #我一直以为荣耀VPurse这手机的销量不会太高，看来我真的低估了女人对待时尚的态度。
1701385929# #早呀！今天杭州好冷，3℃，南方的冷是魔法攻击！北方人受不了吧？每天早起打卡
1689503983# #分析一下自己今天撞车的原因。。。第一点，毫无疑问是我自己太自信了！。。第二点，应该是我对问界M5的全景导航显示的距离估算不足，显示距离还有一点，实际距离其实已经很小了。看来以后不能太信任全景导航。
1700783934# #每天早起打卡
1693054022# #沙漠也能拍水感大片。。绝美的沙漠也能拍出大片来，沙漠相比大草原有一种无尽的沧桑，在沙漠中想要拍出美美的大片，穿搭显眼更易出片！你觉得呢？
1690948333# #微信小绿书。。腾讯是将借鉴这门技术，发挥到了登峰造极的水平，不能说很像，只能说……
1689934856# #董宇辉回应江郎才尽。。我觉得董宇辉作为带货主播，比那些个“321上链接，家人们快下手啊”的可强多了！不过每天同样的重复流程，不管是主播还是观众都会产生视觉疲劳，这或许就是做直播和看直播的问题。
1696165542# #刚刚看了大概一个小时的直播，结果居然下手买了四样东西。看完直播之后，想想不对，又申请全部退款了。。。这才发现直播的可怕，设计的桥段和套路都会让人忍不住的下手买单。大家看直播的时候千万注意点，越是大主播，套路越多啊！
1688427719# #爷爷得知孙子四千元买条狗直接上秤。。我不反对养宠物，不反对狗应该吃得好点，但有这钱何不先给自己爷爷的物质生活提升一下，再考虑宠物！。。还有我感觉这视频是摆拍的，为了博流量，却引导了不好的价值观。
1694338783# #这公司可以啊！。。买华为给补贴，华为Mate60系列补贴2000，华为MateX5补贴3000！我也想要补贴。嘻嘻
1703665869# #暖阳打游戏是手控天堂。。暖阳童鞋打游戏竟然使用了荣耀90GT，这个后壳的辨识度真是一眼就认出来了！荣耀90GT作为荣耀刚发布的性能旗舰，在游戏方面的表现确实非常出色。
1695030989# #iPhone15ProMax到货比例为近几年最低。。国产手机没货大家骂耍猴，现在苹果手机没货，是不是也是耍猴？
1699226403# #这声音太魔幻了！听的我头发都立起来了！。。一加手机很会找人啊！
1687500919# #刘宪华官宣加盟中国好声音。。好声音居然把刘宪华请来当导师了！那其他导师还有谁？能不能不要是另外几个老面孔？
1701732936# #我们杭州这次真是大手笔，将花巨资围绕萧山国际机场打造国内一流的临空产业区。。。《杭州临空经济示范区国土空间规划》正式批复，范围为杭州临空经济示范区全域，东至规划头蓬快速路，南至萧山区瓜沥镇行政边界，西至绕城高速公路，北至杭州大江东产业集聚区边界及钱塘江水域，总面积142.72平方公里。包
1689170070# #发布会散场，去摸了一下荣耀MagicV2的真机，机身真的超级轻、薄，Type-C接口的地方并没有做的和华为mateX3那样而且完整的接口，至于两款机型如何选择，想要5G的话无疑是选荣耀MagicV2了。
1697673711# #真是出人意料！荣耀MagicV2居然登上了安兔兔的安卓阵营好评榜第一的位置。。。说实话，只要我发荣耀的内容，总能看到部分人会来阴阳怪气一下，不知道的人还以为荣耀怎么个不好呢！。。但现在看看这个榜单可以发现，实际情况是荣耀的几款手机荣耀Magic5Pro、X40GT等机型的好评率都很高！看来群众的眼睛是
1688634248# #看了数码大V小白采访荣耀CEO赵明的视频，很感慨。。。首先，小白作为率先体验到荣耀最新款折叠屏手机荣耀MagicV2的博主，点评它是目前行业里最薄、最精致的折叠屏手机。也比直板机iPhone14ProMax更轻、更薄。。。此前赵明总曾发长文透露荣耀MagicV2&nbsp;的研发细节，从消费者的方向思考设计产品，跳出原来
1698334103# #苹果客服回应iPhone15玻璃背板易碎。。容易碎的好处就是，让你换的勤快点，一块玻璃，含泪赚你800，不过分吧？
1687509117# #魅族应该算是最舍得下设计成本的手机厂商之一了吧？。。看看端午礼盒的设计，还有他们每次发布会的邀请函也是很有创意，手机和周边产品的设计感也蛮强的。
1696384307# #每天早起打卡早安！
1703316361# #最近，我深度体验了荣耀亲选迪士尼便携音箱，分享一下它的体验感受。。。这款音箱的设计灵感，来源于米奇、唐老鸭等经典卡通形象，它的体积小巧，既可以放在家中欣赏，也比较适合携带出游。。。在音质方面，它内置了一个5W大功率，43mm大尺寸的超大发声单元，确保了它发出的声音清晰、响亮。即使在户外野餐
1701477100# #每天早起打卡。。早呀！今天7点就起来了！忘了和大家问好了。
1695121260# #洞门人秋冬怎么搭&nbsp;。。踝间轻触，潮感涌动——又到了拿出秋冬洞洞鞋的时间了。它就像是一双秋天的暖阳，轻轻地包裹着着脚踝。☀️无论你是要去参加派对，还是和朋友们出去游玩，都是绝佳的选择。
1696216641# #苹果承认iPhone15系列运行温度过高。。在手机发热控制方面，荣耀做的非常不错！。。我现在用的这一款荣耀X40GT竞速版，虽然搭载的是骁龙888，但平时使用完全不热，即使是玩游戏发热也依旧能够平稳，关键是他始终能保持游戏高帧运行，保证游戏体验。。。不相信的，可以自己去体验一下。
1698451834# #法媒惊讶中国队赢了世界面包大赛。。哈哈！在做饭这个领域，中国人说第二，谁能称第一？
1701246606# #小猪搞机的红包有钱就是任性！我往红包里塞了现金大奖，能不能抢到就要看你们对我是不是死心塌地啦！
1688082144# #兄弟们！这黄瓜和金针菇，我感觉吃不起啊！
1702512211# #东方甄选4天掉粉近10万。。如果东方甄选和董宇辉要二选一，相信很多人会选择董宇辉吧！。。我看东方甄选的直播节目，是被他们的主播董宇辉吸引，虽然我并没有购买任何商品，但我就喜欢听他讲述各种有趣的故事和知识，比看电视有趣多了。。。直播，一个个人属性如此突出的形式，你和我强调团队，那真是有点
1695856618# #每天早起打卡。。老铁们早安！。。早上出门就闻到了淡淡的桂花香，一枝金桂香满城，杭州的桂花开了！。。荣耀Magic5Pro
1689227999# #淄博烧烤小饼机器开工一周被甩卖。。看来可以将淄博游排上日程了，之前去的人真是太多，都不敢考虑，现在人少了可以考虑一下。嘻嘻
1701566987# #上厕所玩手机有多危险。。既然这么危险，那咱们就来做个小调查吧！。。你上厕所会玩手机吗？
1697852876# #特斯拉大跌9%。。这半年来特斯拉的股票涨涨跌跌也不知道多少回了，热搜都上了这么多回了，我是已经比马斯克都习惯了。
1696820212# #iPhone15Pro多款机型破发。。iPhone手机现在破发很正常，它定价本身就虚高，华为现在回归，会倒逼苹果产品重新定价，不信等着看！
1691146991# #老家安吉的自然资源确实丰富，我小时候游泳的小河现在稍微搞一搞，就是夏日傍晚非常好玩的去处了！
1696673583# #为什么电脑病毒逐渐消失了。。我觉得不是电脑病毒消失了。。。而是能够开发病毒的人，对开发大规模无差别感染电脑的病毒失去了兴趣，毕竟开发转播这种病毒没有一点好处，还会给自己带来无尽的麻烦。。。但这并不代表电脑病毒就这么消失了，某国对我们国家的网络攻击时常可见新闻报道。
1692919558# #上海多家日料店今晚生意火了。。昨晚同学聚会也在说这事，趁现在海鲜还安全多吃点，以后海鲜不敢吃了。
1695980693# #英雄联盟打出悬念来了。。还好是虚惊一场，这要是输了，那可就丢人丢到家了。允悲
1690086282# #我发现QQ音乐还真有点流氓。。。在荣耀MagicPad13上绑定的手机号居然还一定要绑定我的微信号或者QQ号，不绑定就不给登录。。。说起来要绑定社交账号，方便交流，但我就想听音乐，不想被打扰不可以吗？
1693179874# #我连襟昨天又来我家刺激我了，让我可以换新能源车了。。。现在我连襟每次见到我，总要说让我可以换车，要跟上时代的步伐。他是去年年底买的问界M5增程版，在安吉的话日常通勤用的纯电模式，150公里续航基本上三天一充，偶尔跑远一点也就湖州和杭州纯电完全够用，他现在在家装了了家用充电桩，晚上睡觉前
1698709193# #最近入手了这款西圣olite蓝牙耳机相当具有性价比，无线开放式不入耳的设计对耳朵非常友好，超大发声单元音质也不错，关键是便宜，双十一活动到手价才169的价格，超值了！
1695520315# #拍了一组荣耀X40GT竞速版的竞速黑的图，这款配色还是相当好看的，背部的流星纹理，再加上圆形中置摄像头中间的GT文字，不仅有质感，还有速度感。
1693318944# #华为5G回归后，让某些人不自在了！
1701246426# #小猪搞机的红包有钱就是任性！我往红包里塞了现金大奖，能不能抢到就要看你们对我是不是死心塌地啦！
1697111331# #荣耀MagicVs2这次有三款配色，冰川蓝、珊瑚紫、绒黑色，大家觉得哪款配色好看？我觉得黑色不错。嘻嘻
1693437884# #局座张召忠三年前网友，关于美国制裁华为的看法，似乎成真了！。。局座虽然是战忽局出身，不过他的话可不都是忽悠人的，可当时有多少人相信呢？嘻嘻
1700129797# #荣耀今天发布的屏幕技术大家了解了吗？。。绿洲护眼屏，看样子护眼能力又有升级哎！
