1602822161# #快讯|广州花都发现1例新冠肺炎疑似病例快讯|广州花都发现1例新冠肺炎疑似病例
1684462414# #亲们早上好！。今天是2023年5月19日星期五，阴历四月初一（中国旅游日）。。武汉市今天晴天，东风二级，气温23℃~32℃，空气污染54（良），空气湿度96%。明天阴天，气温24℃~32℃。。一个人只有意识到自己的渺小与不足，才有不断改正、自我提升的动力。阳光、豁达、适应
1641516400# #分享图片
1687396408# #分享图片
1592091702# #分享图片
1595287089# #分享图片
1647064201# #分享视频
1622156831# #分享图片
1679706150# #分享图片
1610435532# #凤凰新闻【特朗普被曝遭前司法部长、白宫律师警告：你不能赦免自己】特朗普和前司法部长巴尔（美联社）海外网1月12日电据美国有线电视新闻网（CNN）11日报道，美国总统特朗普曾被前司法部长以及白宫律师警告，不应该以总统权力赦免自...
1667710404# #今天路过还未解封的校园门口，看到的这一切确实让人心酸不已！。愿疫情早日结束！愿百姓幸福安康！
1625271229# #分享图片
1648000261# #东航逝世前3分钟
1701944303# #校园景色
1621383765# #分享图片
1640069710# #各位老师好，根据最新疫情防控排查通知：。请各单位迅速对2021年12月7日（含）以来有天津西青区中北镇、12月6日（含）以来有广西防城港市东兴市旅居史的来鄂返鄂人员迅速开展追踪排查工作。如排查出相关人员，请第一时间与社区联系（主校区联系华科大社区87542343，同济校区联系同济社区83694992），并
1697159483# #愿平安：护你寸步不离。愿快乐，随你朝朝夕夕。愿好运，跟你岁岁年年。愿健康，伴你一年四季。早上好！合十
1692017255# #《发人深省！百岁老人杨绛忠告：女人最大的“靠山”，不是丈夫，不是孩子，而是这两个字》杨绛先生，发人深省的一段话，她说：“女人在经历过婚姻后，才会明白，这辈子最大的靠山，不是自己的丈夫，也不是自己的孩子，而是‘两个字’——自己！”
1621685337# #袁隆平最后的时光：未留遗言，病危之际还关心稻子长势袁隆平最后的时光：未留遗言，病危之际还关心稻子长势
1595893329# #分享图片
1623289063# #凤凰新闻【掌掴马克龙男子将出庭受审称此举不是计划好的行动】中新网6月10日电综合报道，法国总统马克龙8日视察期间遭掌掴事件持续引发关注。掌掴男子已被逮捕，将于10日下午出庭受审。法媒称，该男子在接受讯问时否认有任何预谋...
1678788592# #南京大排档
1592956457# #分享图片
1670495165# #转发分享:。我是上海潍坊五村519号居民，上海新冠疫情的重灾区。。我是如何过来的：。3月底的一天，我中招了。我家六楼，底下五楼有阳性患者，我下楼去取快递，必定要路过他们家。。我上下楼梯，要路过他们家门口，他家的脱排油烟机对着楼梯排气，排出的气正好吹在我脸上，也就5～6秒钟
1633738314# #分享图片
1653267166# #分享图片
1574381261# #新浪邮箱问候语朋友间最美妙的发现，莫过于成长在不同的道路上，却并不因此滋生出隔阂。
1600145406# #分享视频
1671535273# #12/18下午三点张文宏教授关于疫情防控与自我防护会议纪要。。。一、基础知识。不用刻意的防，常用预防手段，勤洗手，佩戴N95口罩。保持社交距离。。奥密克戎的传播系数（R0指数）是18.6，随着管控措施放开，已经达到22。。二、备药。1、原则不要滥用，。2、缓解疼痛，散利痛，布洛芬，对乙酰氨基酚，千万不要一
1700011013# #美丽的早晨，收下我的祝福，愿我们永远与阳光同行，与健康拥抱，与快乐相伴，与好运相聚。早安吉祥！呲牙胜利抱拳玫瑰
1650020485# #诸位，你能看清时势吗？。中国大陆开始施行自我保护措施了！。一是保护国民安全，大幅度减少入境人员。。二是保护国民资产，减缓实物出口。。当美国疫情爆发而长期得不到有效防治时，该国人员隔离、生产停滞、迅速消耗存量物资，又拼命降息、只懂得印钞票进行所谓经济刺激
1630973741# #分享图片
1600854905# #我分享了的文章
1614473326# #凤凰新闻【拜登大撒钱：12万亿刺激计划来了？符合条件每人发1400美元！】周末重磅！美国众议院投票通过了1.9万亿美元（约12万亿人民币）新一轮经济救助计划。向符合条件美国人支付1400美元补助金当地时间2月27日凌晨，美国众议院投票...
1670460095# #太阳晨起，有人祝福，方得一天快乐。烟花日落，有人牵挂，方得一夜安宁。合十愿我们祝福常在，健康常在，快乐常在。转圈烟花蛋糕。玫瑰早上好！玫瑰
1675731978# #分享图片
1687307529# #亲们早上好！。今天是2023年6月21日星期三，阴历五月初四（夏至）。。武汉市今天多云，东风一级，23℃~32℃，空气污染39（优），空气湿度96%。明天阴天，气温26℃~32℃。。选择顺其自然，人生会变得轻松和愉快。这不仅能磨练心理素质、增强应变能力，还会帮助我们寻找到
1693302107# #可爱的小猫咪
1661912627# #亲们早上好！。今天是2022年8月31日星期三，阴历八月初五。。武汉市今天阴天，北风一级，气温20℃~25℃，空气污染25（优），空气湿度83%。明天有小雨，气温20℃~27℃。。羡慕别人的收入，却不知他人的艰辛，羡慕她说走就走的自由，却不知道她为这份自由付出的代价，羡
1688370211# #搜狐新闻:【超2400人被捕！中国留学生称白天不敢出门！外交部提醒-搜狐新闻】
1622899578# #吸入式新冠疫苗临床效果怎么样？一两个月之内可能会有好消息吸入式新冠疫苗临床效果怎么样？一两个月之内可能会有好消息
1680916595# #亲们早安！。今天是2023年4月8日星期六，阴历二月十八。。武汉市今天多云，北风一级，气温9℃~21℃，空气污染92（良），空气湿度84%。明天多云，气温11℃~24℃。。不论时光如何流转，有些东西不会改变，那就是对美好的追求，对真情的渴望，给自己一份淡然。人间三千事，
1600478397# #分享图片
1673225600# #分享图片
1617928314# #【环球时报评论】昨天，香港《南华早报》报道了一则让澳大利亚颇为郁闷的消息。如下图所示，根据《南华早报》的介澳大利亚在前面跟中国死磕却被美国捅刀，反华分子都气坏了
1619828113# #分享图片
1672535004# #2022年再見！今天是2023年元旦了，祝福我生命中遇到的每个人！。🌟。❤。😉。🍀。。🎁。🎉。🌟。✨。＼｜／。🌺。元旦快樂。Happynewyear。💜。／｜＼。💎。。☀。🌹。🌙。。🌟。😍。🎶2022的抗疫之路，讓我們明白平安健康最好。祈愿2023疫情
1687401118# #分享图片
1605053672# #凤凰新闻【美国民主党得到众议院多数席位】当地时间11月10日，美国众议院投票结果尘埃落定，民主党得到确保他们维持对众议院控制的218个席位，再次获得众议院多数党席位。民主党人士曾期待本次选举后，民主党...
1701567113# #清晨；。太阳和希望一齐升起，问候和祝福一齐送到，。愿健康，平安，幸福，快乐！。早上好。玫瑰玫瑰咖啡咖啡庆祝庆祝
1620301241# #凤凰新闻【2.3亿人次花了1132亿！“五一”旅游大爆发，四口之家4天花2万刷屏！】这个超1132亿元的“大项目”，你参与了吗？经文化和旅游部数据中心测算，2021年“五一”假期，全国国内旅游出游2.3亿人次，实现国内旅游收入1132.3亿元，...
1679791209# #分享图片
1648087197# #分享图片
1686616491# #分享图片
1700011035# #分享图片
1578566892# #慢性咽炎老不好？治“胃”！--科普中国--人民网（分享自
1684115092# #亲们早上好！。今天是2023年5月15日星期一，阴历三月二十六。。武汉市今天多云，东南风一级，气温20℃~31℃，空气污染54（良），空气湿度80%。明天阴天，气温18℃~26℃。。人生，没有下一次，让我们从珍惜开始做起：时间珍惜点过，别浪费；感情珍惜点处，别愧对；健康珍
1647305204# #分享图片
1674882133# #大家初七吉祥！。正月初七，是女娲造人的日子，俗称“人日”节，我相信，生命里所有的善良和隐忍都会以岁月的美好如期而至，所有的希望和祝福都会以时光温暖的形式归还。心有善意菩提，孕育的都会春暖花开。。大年初七，人和日，不要忘记吃面哦福福福玫瑰玫瑰玫瑰拥抱拥抱拥抱
1657930241# #早安！庆祝庆祝庆祝。。玫瑰夏至三庚便数伏。今日初伏，即将进入一年中最热的日子，要注意防暑，保持心态平和，愿你夏日顺遂，暑热不侵。平平安安，健健康康玫瑰拥抱咖啡
1592453210# #酒精擦一切？ 解锁正确消毒方式你需要了解这些--科技--人民网（分享自
1596968438# #我分享了的文章
1657105070# #搜狐新闻:【核酸检测大揭秘！棉签捅完喉咙后，你的细胞将经历什么......】
1619483982# #分享图片
1647565005# #合十合十合十愿苍天保佑，人间无险，愿时光转换，病毒早散，愿健康常在，愿我们都平安！。爱心珍惜人间情，感恩天地爱。合十合十合十。太阳太阳太阳早上好玫瑰玫瑰玫瑰
1606735174# #凤凰新闻【澳大利亚总理竟要求中方道歉，华春莹四个反问回击！】【环球时报-环球网报道记者王盼盼】中国外交部发言人华春莹24日主持召开外交部例行记者会。有记者提问说，澳大利亚总理莫里森要求中方就外交部发言人赵立坚在推特发布澳...
1684366995# #原湖北省委书记蒋超良：昨晚在群里看到《山果》一文：他说：我也连看了两遍，还是难以释手，真是感动人！太值得一读，中国还有太贫穷、真善良的人！善良得叫人落泪无言！贫穷的让人吃惊！。。   这是一篇什么样的文章？请大家一读！。。《山果》。。作者：蒋依 。来源：人民日报、人民论坛网。。    我常抱怨：
1658461481# #亲们中午好！鲜花鲜花鲜花。在温吞的尘世里寻觅抚慰人心的烟火，在口罩的遮蔽下言说柴米油盐的温情，愿上半年存有的一切遗憾，都在为下半年的惊喜做着铺垫。愿依然充满着不确定性的下半年，所遇皆良善，所行化坦途。生活当如曦光，你我用心如常。
1664066287# #亲们早上好！。今天是2022年9月25日星期日，阴历八月三十。。武汉市今天阴天，西北风一级，气温17℃~28℃，空气污染35（优），空气湿度76%。明天阴天，气温19℃~29℃。。不指责，不抱怨；不苛求，不奢望；不计较‭，不‍比较。保‭持‬‬最真‌‌的情怀，保持最好的心情！不
1677805947# #分享图片
1621045316# #凤凰新闻【恩施发现1名安徽确诊病例密切接触者行动轨迹公布】恩施州新冠肺炎疫情防控指挥部办公室协查通告恩施州及8县市疾控中心联系方式：恩施州疾控中心0718-8242491恩施市疾控中心0718-8211605利川市疾控...
1619053257# #分享图片
1605348354# #今天逛中山公园，边走边看边拍
1688635981# #《杨绛最深刻的10句话，人间清醒，藏着一生的智慧：1.不结婚，晚年没伴，结了婚，不一定活到晚年。不拼命工作，没钱养老，太拼命工作，有可能用不着养老。有些路不走不甘心，走了一身伤，人生就是这样，无论怎么选，都会有遗憾。无论你怎么精心策划，都抵不过命运的安排。2、岁月静好是》
1616733470# #新浪邮箱问候语命运如同手中的掌纹，无论多曲折，终掌握在自己手中。午安~
1592451435# #我分享了的文章
1696294923# #人生漫漫，从容看淡；静而不争，万事随缘。亲人如玉，朋友如金；时常牵挂，贵在真心！。早上好玫瑰微笑
1606315155# #凤凰新闻【拜登带核心团队亮相：“美国回来了”】“这支团队将保证我们国家和我们人民的安全与稳定。”当地时间24日，美国“当选总统”拜登与他提名及任命的六大国家安全和外交政策团队在特拉华州威明顿市公开亮相并发表...
1677458163# #分享图片
1683587978# #亲们早上好！。今天是2023年5月9日星期二，阴历三月二十。。武汉市今天多云，东风二级，气温16℃~24℃，空气污染34（优），空气湿度86%。明天有中雨，气温15℃~22℃。。努力做一个知足常乐的人，不抱怨生活不公，不埋怨拥有太少，得之我幸，失之我命。不贪婪，不算计，
1667815851# #搜狐新闻:【广州海珠新增过千，个别市民挪开封控水马外出致邻近区域感染】
1696553284# #分享图片
1667781460# #亲们早上好！。今天是2022年11月7日星期一，阴历十月十四（立冬）。。武汉市今天晴天，雾，东风二级风，气温9℃~25℃，空气污染61（良），空气湿度95%。明天晴天，气温10℃~25℃。。人生在世，和“自己”相处最多，打交道最多，但是往往悟不透“自己”。只有真正悟透自己，真
1635917848# #中午好玫瑰咖啡合十。自知之明，知足而择行，知不足而改善。。只有方向正确了，才能越努力越幸运。▽“每个人都有一个觉醒期，但觉醒的早晚决定个人的命运。”蚕蛹觉醒成了蝶，鲲鱼觉醒成了鹏。成年人的觉醒，让我们在生活中，更能把握契机，成就梦想！。玫瑰玫瑰玫瑰强强强
1693788786# #分享图片
1618659885# #凤凰新闻【菅义伟：和拜登聊得太热烈，白宫准备的汉堡都没碰】（观察者网讯）美国东部时间4月16日下午，拜登在白宫会见来访的日本首相菅义伟。白宫方面为正餐准备了汉堡，但菅义伟本人向媒体透露他“完全没动”，因为“谈话非常热烈...
1662595707# #亲们早上好！。今天是2022年9月8日星期四，阴历八月十三。。武汉市今天多云，东北风二级，气温23℃~32℃，空气污染43（良），湿度74%。明天多云，气温23℃~32℃。。没人在乎你的落魄，没人在乎你的低沉，更没人在乎你的孤单，但每个人都会仰视你的辉煌。天空不会因为一个人的眼
1680259928# #《人这一辈子，一定要去趟武汉！》提到武汉，你会想到什么？有一种沉淀，叫武汉！截至目前，武汉市场主体达178.5万户，世界500强企业309家。期待和你，相见在武汉！
1646096147# #分享图片
1598176168# #【环球网】8月22日晚，张文宏医生微博发文表示，即使疫苗问世，也只能保护积极接种疫苗的人群，而全球实张文宏:即使疫苗问世,未来数年也须保持常态化防疫
1635923496# #一个小学生给去世一周年的爷爷写的哀思
1606484228# #凤凰新闻【安倍“赏樱会”丑闻持续发酵，菅义伟也受“连累”？】近日，日本前首相安倍晋三深陷“赏樱会”丑闻，甚至一度导致“逮捕安倍”这个话题冲上社交媒体平台热搜。据日本媒体报道，2015年至2019年期间，安倍涉嫌挪用800...
1635296309# #分享图片
1607732985# #分享图片
1667003984# #分享视频
1612346633# #凤凰新闻【男子殡仪馆内迎娶亡妻，女方母亲发声：请你放过我女儿】大家好，我是杨柳的妈妈。一年前，徐世南在殡仪馆为我女儿举办了一场婚礼，从此之后，他就成了新闻媒体报道中的“...
1670145351# #搜狐新闻:【珠海：社会面便民采样点测核酸自费–“解封”之后，广州又放“大招”-搜狐新闻】
1667176470# #分享图片
1555326391# #【世相】“陪伴式啃老”真正的问题在哪？--湖北频道--人民网（分享自
1595203332# #分享图片
1684216660# #《著名心血管病专家胡大一：我每年体检都查什么？》有些体检一次甚至花费数万元。2020年，我体检查出大便潜血阳性，同时幽门螺杆菌试验阳性。
1640237689# #上海人为什么平均寿命长，排在全国第一位？因为有一个叫张文宏的医生当老年人的顾问。他敢讲真话，受到广大百姓的尊敬和信赖！。据说，下面这段话他经常提醒上海老年人。我觉得也适用于全国各地城乡老人。。他说：人辛苦一辈子了，要多爱自已一点，吃营养一点，穿漂亮一点，多和开心的朋
1675990222# #亲们早上好！。今天是2023年2月10日星期五，阴历正月二十。。武汉市今天阴天转小雨，北风二级，气温5℃~9℃，空气污染32（优），空气湿度81%。明天有小雨，气温7℃~11℃。。每一段难忘的记忆里，都裹藏着一个已经千疮百孔的自己。人生漫漫，愿你懂得释然，学会与遗憾握手
1669558622# #搜狐新闻:【孙春兰在重庆调研时强调：持续开展拔点攻坚，巩固扩大趋稳向好态势】
1592629251# #凤凰新闻【天津110天无新增本土病例记录被打破病毒从哪来？】天津市疾控中心副主任张颖向记者介绍情况。中青报&middot;中青网记者胡春艳/摄一位22岁的新冠肺炎患者正在天津市海河医院接受治疗，作为当地目前唯一一位在院的...
1597039515# #凤凰新闻【这所高校再动真格！11名博士要被退学…】本文转自【中国青年报】；8月3日，南方医科大学研究生院官网置顶了一则通告。根据有关规定，该校拟对16名研究生作退学处理。从附件中的名单可以看到，其中共有11名博...
1689551423# #每一天，有你，有我，有信息，这就是幸福；我们相约，平安，健康，快乐，这就是心愿。早安！玫瑰
1636676425# #早安吉祥太阳玫瑰咖啡合十。人生短暂，真正有智慧的人，不为小事发愁，不为闲事苦恼，专心扎根于自己的事业，与其纠结无法改变的现状，不如脚踏实地，修炼自己。当你的内心逐渐丰富，便会看开生命中的所有烦忧，为自己想要的生活努力。唯有忘怀烦事，看开俗事，化繁为简，才能收获欢喜人
1589156370# #分享图片
