1703239602# #……
1704117894# #对不起不该半夜打开simulacra的，我有点自不量力了
1702169433# #天呢我再看眼
1703738520# #说完了，没什么感觉
1700274849# #不要害怕🙏🏻木已成舟，船到桥头自然直抓狂
1701085162# #每次看cpf臆想症发作都想笑，要是知道真相不得把你们给吓死
1704067859# #哇
1700124283# #想了
1700549482# #太久没出门了，坐了二十分钟车就想吐，恨没有地铁的城市😭
1701684085# #可是我要怎么做才能抓住稻草
1704038819# #新的一年希望我和小李都可以好运抱一抱
1703668896# #比耶
1702743763# #感觉已经很久没有因为非正事的闲聊给人主动发过消息，我的倾诉欲大概在选秀殉了以后就消失殆尽了（
1702007471# #下次再入河也不会过度使用口袋了，还是内娱模式比较适合我老师好
1700720193# #蓁漂亮
1699497293# #寮友想靠寄售赚点钱，有个人在群里长篇大论批判，字里行间散发着爹来教你做事的气息，点进去一看，果然是个楠的，不奇怪了
1699078611# #第一次见面叫老婆不过分吧色
1699245906# #嗯？？
1700485137# #又找到了（）和甜甜的相同之处：都很八卦
1700382858# #沃趣………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………
1698942631# #？我不会这么倒霉吧
1704261451# #开拖拉机这么爽呢，喜欢我的新农场比耶
1702360337# #至暗时刻：想买一个手机壳的时候发现手机型号已经被淘汰了🥲
1701238614# #六道之门的boss居然有七千多万血，这是不是太为难我们菜鸡了
1704103831# #要一直幸福
1700898219# #这首歌怎么是独镜啊……
1700225135# #打得我又开始增生了
1699616208# #酱紫漂亮！
1702267534# #大家有话好好说别发照片单身狗
1699326321# #观赏性吊打选拔练习室
1700412029# #昨天还在吐糟某种程度上来讲迪欧让我觉得恶心，但是不得不承认的是许多人都喜欢和需要能够轻易获取的速食甜蜜
1703979144# #不是要斤斤计较吗？我最会斤斤计较了。
1699968587# #别逼笑
1699973938# #我知道我不该笑的但是我忍不住
1700138746# #呃……我又搞错了……破罐子破摔吧
1700843289# #记忆里基本上没有爱豆过冬天的样子，因为我的热情总会在冬天来临以前燃烧殆尽。
1700240145# #想喝奶茶，奶茶什么味道啊，一个月没喝过已经忘记了
1703566541# #没分过啦镇山河
1701341437# #歹毒的有缘粉又在阴暗地爬行
1703996733# #比真探简单一点，不过也可能是因为我刚开始
1699771163# #每一个动作都有画面……
1701405113# #4781那两张图哪不好看了出圈了还要被你们嘲我看河粉只配吃屎
1699273810# #突然想起来另一个丝瓜账号里还有一百五，正好可以切今天的卡冲刺
1701654231# #好。
1702620090# #全wb最关注我的竟然是…
1702947722# #快过年了（
1701152539# #少吓唬我…要跳楼赶紧的🙄️
1699462292# #我说
1703165855# #半夜醒了看
1699538285# #笑得肚子痛了
1701227144# #是不是看不上所以有上百种理由可以拒绝
1701331100# #先梦一下再说
1700977002# #我的镜姬怎么就没弹死过人啊
1700870457# #吃了麦咭这碗饭就该永远被绑架吗，没有哪件商品的保质期是永远吧。好讨厌cpf合理化骑脸骂人的行为，你们本质上比dt恶毒多了
1701272974# #一天过去了，我也不知道在生什么气，但是现在写东西的时候还是越想越气
1701561628# #夸奖也算是批评其他部分做得不好（）
1702525747# #如果有仰卧起坐大赛的话我的首页一定能包揽冠亚军
1700489151# #嘿嘿，我要大喝特喝cbt
1699420148# #……。
1699772240# #前几日的心情belike：
1701264247# #不愿再想起的事情电脑会替你一直记得
1703478461# #衷心的祝福🌹
1701564602# #讨厌人多，讨厌这样的环节……像我们这种人生失败的人是不愿意体验的
1699164842# #像雾
1702367284# #心情：
1704335497# #anotherlostphone的谜题难倒我了，结果点开商店发现介绍图片里就有答案，演的吧疑问
1701241030# #还好农学很难看
1701211254# #衰
1701330077# #有点太会了
1699189116# #哈哈哈哈哈哈哈有点太精彩了
1703757064# #怎么不让我发b站总结啊我发评论里镇四海
1699953798# #俩光明正大谈恋爱就差直播打啵的还好意思要口袋，公司没趁机把你们开了就感恩戴德吧还搁这蹬鼻子上脸呢
1702963075# #就打一局委屈可怜
1700791001# #烙铁别说这些吓人的我有点汗流浃背了
1699762258# #有点怕灵机一动看多了我都不会做饭了微笑
1700757445# #会以为是好友圈发的（
1701185186# #能不能把早期dy发我看看，我真的很爱她长发
1703199216# #醒了的第一件事，开始shopping憧憬
1702197316# #赛博体验富人生活）
1701844572# #原谅短发了
1704101654# #今晚能睡八小时吗我觉得我有点眼花了衰
1699243855# #相爱
1699704420# #嗯嗯……两年前的事情重演了
1699717968# #早上坏中午坏晚上也坏，在牢里干什么都觉得坏
1700399572# #确信）就是李莎拉
1703073295# #开始反思我今年是不是待人太冷漠（）
1701669694# #倒倒居然要用我的伤心事拷问她担！倒倒坏！
1699281625# #祝我好运微笑
1703747895# #冬天的二十度和夏天的二十度完全不是一个二十度悲伤
1700918090# #哈哈哈哈哈哈哈打开启程Z又看到队友在逼我前妻麦吉……
1700838704# #嗯……没准备好也要继续出发
1703519405# #“啊啊啊欣然居然给粉丝逐一发翻牌了泪泪泪这么宠粉的吗，有点爱上了”
1703507678# #↓实体有点不舒服
1700747149# #半小时过去一张绘卷都没掉，痒痒鼠这不是我的困28吧疑问
1699526220# #好耶
1700241997# #其实我没什么资格笑她，我也是象牙塔里处理不好人情世故的弱智
1700479419# #我们雪女吃这么好，好好好
1704069248# #不喜欢打游戏看攻略，感觉看攻略以后就失去了游戏体验，我也不追求全成就，所以每次卡住了就换一个玩，又卡住就再换下一个，反正游戏多不怕没得玩（
1701446838# #我在那篇文章里写后会无期，没想到在那之后就真的再也没有见过你了😮‍💨今年也祝你。
1700538682# #又考地图…就不该改期微笑
1704250063# #我妈问我哈尔滨遇上小土豆什么意思，我说抱歉我也从来不上网根本听不懂
1702740898# #啊？演的吧……
1699806837# #那我宁可不要触发，我希望她可以收到许许多多的爱，让我们大部分人都埋没在人群里。
1704099877# #好适合我的头像，等我出狱那天再换
1702096203# #…啊？真的不是那个谁吗？
1702657725# #啊？要素过多（
1701229782# #没事的我的某任前担也和oo一样蠢，包里装着🚬还不合上走机场，全靠fs自己p掉
1703670337# #有这么好笑怒？
1701615946# #本来挺困的现在给我吓清醒了😱
1702953126# #明年一定多玩游戏
1699774298# #呃呃呃
1702257996# #梦见会滑滑板了，还在超市里滑，不小心差点撞到小孩子，出来以后还和朋友参加竞速比赛，从一栋高楼顺着楼梯往下滑，但是感觉这样太慢，最后变成不用滑板，我们轮流顺着楼梯扶手往下翻…第二个梦里一直在赶🚌
1701084894# #特别能吃
1703953465# #人都是有点猎奇心理的，看到我组组员拿异蛇之眼的时候我还想脑子坏了吧拿这个，结果看完这个帖子以后我反而：
1699583479# #大半年没氪了买个花合战不过分吧小黄人剪刀手
1700583897# #每过一段时间回看以前发的东西都会反思…这都是什么狗屎我怎么好意思发出来的…
1700925248# #挑战失败……
1704166042# #好像我的巴西同事，是我想在ins发给她让她辨认的程度
1699603093# #厚厚莫辜负…。
1704035251# #要不还是把mc删了吧衰
1699758749# #是BE了还是在避嫌，怎么连合影都没有
1701896188# #又这么早开始说话…。
1704191492# #虽然玩到现在还不理解为什么被称为神作，但是机制非常适合手残和咸鱼，我已经当成休闲游戏在打了）
1703476592# #可爱……就是我又感觉自己像弱智
1702278357# #有一种鼠期提前的感觉……没事的早鼠晚鼠都得鼠……
1701745825# #虽然没做多少但是正式🔚了！纪念一下📝
1703164929# #这是什么晋百情节，我狠狠代……明年的拍档真的不能开通河外赛道吗
1702793454# #这次考试一定要超过梁老师
1700565317# #椰子味……有点可爱的
1701476432# #填到一半感觉好浪费钱，不填了！反正没可能！
1700473743# #今天终于想明白为什么一开始看落汉月就不太顺眼了，她长得好像我那已经和我断绝关系的表姐……
1703585472# #吃了一个鸡排以后才发现路边摊有福鼎肉片镇四海
1702019894# #说了
1701944497# #丨丨丨😡
1703081260# #热心小李在线创飞我😾
1702744761# #好y2k的美高噢亲亲
1702815091# #我就是那种在论坛里看到前妻被骂会去送点礼物的类型……就算不爱了心永远还是向着她们的（和Y人谈恋爱除外微笑
1702980661# #笑得想吐
1702894000# #就爱嗑大家不爱看的（听了上百句xx坏话以后我依旧如是说：
1700650270# #感谢ai…聊了一下心情好多了
1702218762# #加了很多蒸汽好友以后会有种谢天谢地世界上不是只有我在当幼稚鬼的满足感，倒也不需要交流什么，只要看到大家都在打游戏就会心安……
1700719027# #说吗
1703938926# #什么年代了怎么还有网友对着我莫名其妙发火……我看起来脾气很好吗，我直接拉黑谢谢
1700310260# #真的吗想改ID很久了
1700792007# #首先我不是润妈，其次我不是润妈，最后我真的不是润妈，我对英国女王保留的唯一一点情面就是看在朋友都是她粉丝的份上不在wb上嘴她，这里没有任何关于她的东西，所以不用再看了
1704037384# #才发现原来恒水中学就是copy逆转裁判的玩法（种花游戏一大抄……
1700925987# #适合抄送费马的视频
1704294026# #正确的
1701864324# #嗑拉了，我以前怎么会看不进去养猫人家的抱一抱
1699611549# #99
1703922899# #好喜欢lolipop🥺
1700117937# #等我看了跟你聊聊开学季
1701406659# #支持一下
1700397332# #虽然总是骂鹅土但它确实是财大气粗舍得在舞台上花钱……昨天看完就在想和现在比起来追火箭的时候居然算是在吃山珍海味了……唉
1703978866# #😮‍💨
1699358157# #镀金保底还好没歪
1704038485# #新年快乐。我最痛苦的时候已经过去了。
1701503499# #不选也罢，守护全世界最sexy的🐈‍⬛色色色
1704185506# #梦见她说了一堆评价然后我自尊心深受打击于是吓醒了
1699003935# #哈哈哈哈哈哈哈哈哈
1702900433# #三周了我的寮包里全是厕纸，老师这不是我的寮包吧
1700698491# #醒着就是
1704358311# #阴阴的、、、
1701992582# #笑醒了
1703338740# #我满地爬
1702010591# #生日快乐小肥
1703865311# #会发光了&amp;晒点腊肉小黄人高兴
1702448210# #在哪里可以摁下我的人生暂停键
1699703202# #打了个狭间和退治回来已经看不懂世界了
1704268330# #笑得不行了……
1700320213# #完了（）感觉（）又要生气了
1699413989# #好爱……
1703162147# #想起一些、
1701535844# #这么漂亮的
1702487123# #色
1699548810# #教徒坏！
1703217046# #冬促快乐比耶
1702944966# #有一种时刻报备的感觉（
1704033023# #理解PC端晕3D是什么感觉了，ashorthike的视角转换晃得我想吐
1703667930# #嗯其实我也很难伺候的（
1702436774# #喜欢奈三的时候还是真抚慰心态，各种味道的菜都能吃上两口，跑路也是因为讨厌恶毒同担天天骂偷偷，不过三年过去我已经质疑理解成为自己最讨厌的那种人了…大概是河的距离感改变了我
1700489615# #天呢，手贱浪费了一张九折，感觉又扔了一千块钱在地上……
1702271857# #亲亲
1700637658# #分享图片
1702277587# #？说了两小时原来是骗钱的……真这么有本事就把我号封了吧……
1702039847# #
1704253107# #什么意思，那我可要发疯越狱了
1699169297# #每次点进竹节房间都能看见精神状态比我还堪忧的人
1702371427# #我笑了五分钟
1699609803# #刚刚才反应过来庭院里的新皮肤是大蛇的，我一直以为是晴明的……
1699102033# #不是我说打妖气带什么辉夜姬还能把你打死吗
1700051703# #有点东西
1702786497# #好了不要再说了你们的成功人生我听一次红眼病犯一次泪
1704103901# #看看我刷到什么了好意外（
1703324531# #我现在在做的事情并不是我想做也并不是我做了会开心
1703249605# #戴上滤镜就会觉得每句话都很浪漫……
1702625807# #好适合…无辜狗狗眼年下🥺
1702806574# #好像每个故事都会从不同的人口中听来不同的版本，但是因为记性不好所以每次都记错细节，再听的时候还会感觉是第一次：啊，这是什么？我听一下。啊，这是什么？我听一下。啊，这是什么？我听一下
1703258042# #老婆…我买
1701535632# #出来的时候看什么都很美好求关注
1700407882# #好累！就这样吧！
1703552601# #泪诶，看作话想要流泪了
1699287822# #那些抽到大奖的，删了呗，我是无所谓的，没那么容易破防的，真的，我不轻易破防，但是我一个朋友可能有点汗流浃背了，她不太舒服想睡了，当然不是我哈，以一个旁观者的心态看吧，也不至于破防吧，就是想照顾下我朋友的感受，她有点破防了，还是建议删了吧，当然删不删随你，我是没感觉的，就是为朋友感
1703066893# #好，我失忆（本来也没记忆
1700512478# #醒了就睡不着
1703124681# #好ky的mv
1702954339# #上千甚至上万次的数字背后都是活生生的粉丝，她们付出的心血和时间又怎么以符号来衡量😮‍💨
1702289393# #道理我都懂，这些有的没的我也不是很在乎，就是能不能给几张蓝票
1700648234# #不敢想象回去以后会经历什么
1700320717# #单身狗
1701658038# #又要开始做初中数学题了，一个世纪没做过了
1702192240# #闭嘴……
1699710254# #你们嗯人的舞蹈实力可以像你们的嘴炮能力一样强就好了
1699323160# #让我摸摸你的耳朵
1701947007# #有一种下一秒就会被高脚鸟追杀的错觉
1701503002# #怎么不选这首泪
1700285981# #哈哈哈哈哈哈哈哈哈
1702695970# #还好…比我想象中少
1703054061# #很好，今年的歌单已经全是女歌手镇山河
1700461255# #这么可爱的
1700734393# #怎么办啊
1703781823# #嘿嘿
1703648414# #打心脏震得我头有点晕（
1700128635# #👏
1700265346# #还好，没觉得很炸裂，有钱的留学生发生什么都不奇怪）
1703493288# #好可怜…
1699341586# #把没能公开的视频放出来见见世面可怜视频号封面大赏
1701174143# #越想越生气抓狂谁允许口不择言的？
1701443565# #明天可以晚一点来吗，我还有好多事情还没做完，也没准备好准时说生日快乐泪
1700317910# #一点生活的盼头
1699371568# #我组的品味永远不会让人失望赞泪赞
1702011613# #谢谢倒倒，赶上了酷
1699333464# #很好，现在已经可以心态平和地挨打了飞镖黄跳舞
1703829836# #啊啊哈哈哈哈哈哈
1702747045# #好搞笑，我三年前是怀着什么样的心情转发的wb
1700021672# #确实
1700369080# #做噩梦，梦见在商店里乱点把我的两万勾玉清空换成乱七八糟的东西了，给我吓醒
1702822601# #几位认识吗？
1699057361# #……大小姐能不能把你的富二代人生借我体验一下
1702281217# #每天都在道歉……
1702698739# #呕……沉默了
1703056607# #不小心点进官博看了眼空瓶文案笑出声了，谁准你们这么吹的
1703954966# #很讨厌我的2023，想要它快点走掉
1704328935# #拍拍小狗头☺️
1698936385# #伤心伤心伤心失望失望失望泪泪泪
1703774273# #饥荒！启动！
1702908616# #喜欢这个发色！
1699277769# #哇塞转运了
1701396807# #原来跳过hmt……造型很好看，我被对方的麦笑死了
1701585075# #好恶心的🕊️
1699351633# #发现我坐半小时地铁就能到地偶的剧场，从未如此想念过北京
1699710909# #saldfknwe我满地爬
1699529938# #有机会带我吃
1701256651# #：准备好了就🛫️
1699784666# #睡前读物
1702913183# #嘿嘿，现在我的QQ空间也和其他人一样了炸弹黑hi
1703133222# #wb你都有火花了，什么时候出个聊天记录按日期查找？
1700804390# #。
1704110087# #又震惊了对吗
1703501933# #怎么会有Goodnotes这么不要脸的软件，不付费连我以前的免费笔记都不能看，太缺德了
1702479509# #以后一定听到这首就会想起2023的年末。
1700568472# #呃呃，还是用12个黑蛋养了天照，感觉亏亏的
1701498871# #新衣服好看
1702014693# #说还是不说，帮我做个决定好了
1703049470# #不爱用网易云的后果（
1701697247# #原来今天最好笑的一集在这里…
1699113106# #谢谢你谢谢大家还有谢谢soso
1700301152# #没关系有售后已经很好了
1702349447# #大家人都好好哦，被我拉黑以后还愿意答应我的无理要求（梦回18年了
1698988439# #好好好好好好好
1700829163# #好哇
1699074933# #开饭小黄人高兴
1703583136# #我立刻：
1701065580# #其实我觉得结局是既定的，不管我做什么都不会改变
1699193118# #懂事的爱豆会像wonyoung一样定制式签售麦CP看书
1701859078# #海底捞的虎牙脆就是很好吃……当初为什么不多拿几包泪泪泪
1704066026# #哈哈👏👏👏
1701638899# #希望起床别后悔单身狗
1701148929# #下辈子请组团抓狂
1700626089# #呼吸一下自由的空气
1701559649# #做了个噩梦
1703345938# #在你正在输入的10s里，你想的是我在跟你开玩笑还是我说的是真心话呢）
1701953212# #被print的内容笑晕
1701686036# #姐姐想夺走什么，我双手奉上
1701001886# #我晕我晕我晕，这么漂亮的色
1700935117# #和原本与自己毫无交集的人建立联系总要付出代价的，更何况是即使你走出九十九步对方也不会迈向你的单向奔赴
1699504517# #可能是因为每次追线下都是去看自担的所以看到其他任何人都不太会觉得惊艳，就算看d/l/r/b和z/x/t之类的大美女也只会有噢原来真人长这样啊的感想（
1699546689# #包包长这么漂亮居然都会容貌焦虑😢
1703140361# #昨天聊到如果从未见过面的话会有什么体验，现在想想其实某任前担已经给我答案了，今年她说我去年找她的时候她还以为我们会重新变成网友继续聊天，结果没想到我后来又消失了……也许在她们眼里就是没有实体化的赛博粉丝一样存在吧）
1702229184# #“她是太阳是月亮是一切挂在天上遥遥发光的触不可及，我是藤蔓是地衣是匍匐于地的万般奈何无已。”
1699180977# #要幸福鲜花
1703151227# #虽然连着几年的冬天都很难捱，但是总有好心网友愿意拉我泪谢谢，真的谢谢。
1701573263# #bepresent.
1700049473# #才发现原来道馆的结界师是可以自己选优先攻击对象的，我还说我这么菜为什么每次都给我安排打初级我根本打不过
1700559232# #懂事的爱豆都chaguilty了……
1702577883# #可是长情的人又怎么会轻而易举地抽身而去
1699201616# #正好缺外套赢牛奶
1703990627# #好像
1703127223# #两百抽六个，脱非了
1703619033# #醒了
1699801480# #。
1700187543# #笑得我肚子痛
1699800265# #但我的想法还是。
1702878678# #没看攻略，十个小时后我终于过关了小黄人高兴
1699722182# #不知道该佩服在公演上总是别具一格的紫薯还是坚持不懈在口袋问候她的河粉
1703941161# #老师我羡慕得流眼泪了
1704288320# #感觉我的笔记本在我坚持不懈用低于三分的评分标准强行带动各种大作以后终于崩溃了，开什么游戏都罢工
1700318150# #思考
1702651813# #来迟了……长发耶啵
1699276091# #压上我的全部身家背水一战
1698937406# #不行不行不行不行不行不行怎么可以有这么多坏事发生抓狂抓狂抓狂
1699531558# #嘿嘿比耶
1700449939# #有两位很配，明年能不能组一下拍档
1699096044# #过完今年我就已经六年没换手机了衰，使用寿命超过99%的用户
1701789576# #清空一下草稿箱
1701162300# #我看
1704211880# #看着看着就笑不出来了
1703155783# #疑问手机被口袋淘汰了
1699702906# #全员学66好可爱
1703684005# #呃，突然发现还要准备中文材料，不习惯
1700992424# #永远幸福
1699611284# #两年没看，你也绿得很稳定微笑
1700035284# #好可爱
1702982963# #去阳台拿袜子穿，进来的时候没看清玻璃把脸撞青了……还好最近不出门悲伤
1702527311# #实在是有点刻在DNA里了……
1699705646# #可爱宝宝们
1701677090# #人的感情真是奇妙，我起床的时候没有后悔，但是打下这些字的时候会有点难过。不知道你们还会不会看到了，但是每次和大家见面还有聊天我都是真的很开心，谢谢你们
1703142641# #怎么统计结果还不太一样（不过我什么时候看过欣然直播了，我自己都没印象了。明年一定做一个snh48占比0%的河粉镇山河
1701308848# #！！！原来播了
1702181698# #路过看一下侄女老师爱你
1704103498# #手机壳我买憧憬
1700626378# #仙木……
1702082015# #不开心的请看
1699144757# #做了好长的梦
1699236290# #看不懂你的运镜，窝包真漂亮
1702096137# #“我喜欢unity”😚
1700369905# #😭😭😭CMBYN
1702815855# #代了…
1700234888# #经鉴定，我果然对英语海龟汤一窍不通……
1699100048# #转发微博
1698936608# #不可以失望泪伤心伤心伤心
1699238400# #谢谢花花
1701173147# #好耶，玩了快三百天终于加上一个vx好友了
1701729647# #今天的睡眠时长终于超过六小时了
1703988954# #LVforlove，然后我不小心把对话的NPC给杀了，笑死我了……
1703423057# #🎄短暂幸福一下🥳
1699706381# #老婆抢先看☺️
1701429579# #忘记换阵容反而赢了这套变态阵容老师爱你必须纪念一下
1702314724# #好幸福好幸福，谢谢热心网友愿意带笨蛋打游戏
