1693634315# #大众网潍坊的笔记男子带退役43的父亲来射击馆，网友：这是来表演的吧（分享自
1694786596# #胖轩🐟米粒的笔记福岛的人只是搬离那里3公里哦，第一次泄露之后一直在泄露哦，他们自己国家的人也被他们做实验...（分享自你们自己人都不傻子，你们自己人都不想信任你们这些资本走狗。
1693101006# #法兰西君君的笔记日本核废水日本核污水日本排放核污水核污水核废水被这些法国年...（分享自
1693046837# #ID宋悸沅.的笔记“拒绝网暴你我做起”(Rejectcyberviolence,youandI...（分享自
1688134754# #苑庆攀的笔记外交天团日本日本核污水（分享自
1691320185# #柒基的笔记以生命守护生命！致敬！中国热门抗洪救灾英雄消防员致敬最...（分享自
1693625614# #然然爱拉屎的笔记在日本政客眼里中国人的骨气只有半个月日本核污水日本中国人（分享自中国的汉奸走狗还是太多了。当然这里也不缺乏一部分人。是日本间谍的后代。偷笑
1694933711# #萤火虫的笔记心理社会教育学校（分享自
1694685722# #手捧鲜花的搞笑女的笔记吃新鲜的不好吗？为啥要弄预制菜，其心可诛，心怀不轨，建议严查！！很有可能是700亿的小日...（分享自耻辱。
1688134758# #苑庆攀的笔记外交天团日本日本核污水（分享自
1689941752# #红客影子的笔记除了文化渗透，M国开始对我们企业入手，那么这一连串的事件，到底想干嘛中国红客申请出战...（分享自
1695831892# #🐑的笔记日货日本国货（分享自
1696074819# #瑾的笔记预制菜預製菜（分享自
1696705173# #鲁中网的笔记男子散步遇1.5米落差断头路，用砖头绳子拦住买6个反光锥提示（分享自
1695259174# #娱乐春秋的笔记熊猫国宝熊猫孩子教育大熊猫福宝福宝娱乐娱乐圈艺...（分享自
1687864962# #燕子🐼的笔记大熊猫美香一家旅美大熊猫回家（分享自
1689209305# #许君闲乘月的笔记1937年四行仓库保卫战中，八百壮士机枪扫射日军的真实录像。历史保家卫国...（分享自
1703743620# #我推荐《孤注一掷》为微博网友喜爱电影，被时间偏爱的必成经典，一起来微博之夜让好电影被更多人看见！参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1692945598# #麦浪视频的笔记网友爆料某品牌零食产地被故意遮挡，撕开后发现是日本生产，网友：掩耳盗铃之&nbsp;零食&nbsp;&nbsp;...（分享自
1694570801# #学姐七妹的笔记我一直以为是开玩笑的😢护士懂护士护士（分享自
1689209744# #兔探长北城的笔记侵华日军暴行再添新罪证！&nbsp;最新&nbsp;&nbsp;日本731部队罪证&nbsp;&nbsp;铭记历史&nbsp;&nbsp;历史...（分享自
1695903818# #长江日报报业集团的笔记清华教授不建议调休，建议适当增加和延长假期，不要给居民工作生活带来困扰。假期&nbsp;&nbsp;...（分享自
1703951889# #我获得了微博之夜真意卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1688618051# #yoli有礼的笔记历史&nbsp;&nbsp;日本731部队&nbsp;&nbsp;抗日战争&nbsp;&nbsp;哈尔滨&nbsp;&nbsp;哈尔滨旅行&nbsp;&nbsp;旅行...（分享自
1688621842# #唤醒下一代的笔记勿忘国耻铭记历史勿忘国耻振兴中华日军731部队侵华日军暴行铭记...（分享自变态，连畜生都不如的东西你怎么敢奢求他有人性。
1689327663# #弥勒融媒的笔记见义勇为邻居正能量好人一生平安好人有好报（分享自
1698681805# #醒目视频的笔记日本核污水全球看点国际新闻（分享自
1691974181# #璀璨丶TZ的笔记倪峰是一名“80”后。1982年3月出生，吉林省吉林市人，中共党员，大学学历，2005年...（分享自
1694326127# #天潼正能量的笔记铭记历史向英雄致敬英雄历史历史人物历史故事（分享自
1691073343# #洛阳网的笔记男子不礼让行人辱骂交警，并自称公务员被交警怒怼（分享自
1691396234# #人民网的笔记每秒都值得记录舒兰救援难过向英雄致敬逆行感动泪目...（分享自
1692184383# #吃汉堡的笔记19秒张哥拍麦！我本是一个路人粉，本命东方神起。对张艺兴也是偶尔看看，这次演唱会因为就...（分享自
1701257238# #名侦探小宇的笔记烛光烧断了你的一线生机，也照亮了孩子们回家的路&nbsp;悬疑&nbsp;&nbsp;反转（分享自
1692428433# #一块牛肉的笔记高占喜一句我的麦子熟了，网友就知道这个孩子以后一定差不了（分享自
1686930731# #中国妇女报的笔记黄文秀生前是广西百色乐业县新化镇百坭村第一书记，带领干部群众帮助全村88户418人脱贫。...（分享自
1691103203# #BaiLuVideo的笔记8月2日，河北涿州。蒋女士父亲瞒着家人独自从北京带船去涿州参加救援。蒋女士称，救援的船是...（分享自
1695218579# #小红薯5D846318的笔记我在人民网的笔记下发布了一条评论日本为什么对待在中国问题上这么猖狂，就是我们太善良...（分享自
1695729350# #波仔学长的笔记学校没有任何权利给孩子验血，要得家长同意！孩子教育一切为了孩子健康证明（分享自
1689209350# #许君闲乘月的笔记1937年四行仓库保卫战中，八百壮士机枪扫射日军的真实录像。历史保家卫国...（分享自
1687318622# #猎鹰社2020的笔记校园教育（分享自查他，日本走狗。
1691648344# #娱圈小胖虎的笔记孕期chu轨产业链的恶劣现象：趁着宝妈在怀孕，发布大量骚扰短信（分享自
1689317302# #幸运妈妈的笔记想起第一天晚上急诊，半夜两点多等着扎针。有个宝妈楼道里骂了，好像是她家娃娃扎不进去，扎...（分享自
1687664941# #影像历史的笔记抗日真实影像：营长负伤拒不下场，英勇牺牲在下一次冲锋！珍贵影像历史铭记历史...（分享自
1703428010# #我获得了微博之夜美好卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1693274779# #商悟社的笔记商悟社的笔记（分享自
1687462140# #素吻的笔记每秒都值得记录毒教材毒教材人教版毒教材毒拒绝毒教材毒教材...（分享自
1692073032# #转发微博
1699020162# #小思说的笔记助学金要公道！以这样的方式认识（天津中德应用技术大学）看着这孩子哭着说的每一句话，都心痛...（分享自
1688803414# #biu~的笔记七七事变上海地铁现代汉奸（分享自
1687915731# #中国蓝新闻的笔记前脚有毒贩把海洛因藏在洋葱里，后脚就有“大聪明”吧冰毒绑进木炭里！你们可真刑啊！108公...（分享自
1695221647# #正义小马哥【反诈联盟】的笔记主播直播打赏（分享自
1691836298# #封面新闻的笔记每秒都值得记录（分享自
1691306107# #董先生珠宝（山东）有限公司的笔记一方有难，八方支援！河北涿州，我们来啦！（分享自
1690965396# #红星新发现的笔记痛心！消防员冯振不幸牺牲洪水&nbsp;&nbsp;&nbsp;向英雄致敬&nbsp;&nbsp;&nbsp;救援&nbsp;&nbsp;北京&nbsp;&nbsp;北...（分享自
1688625295# #星视频的笔记7月6日河南平顶山，男子涉酒驾被查，后座男子掏出警官证反问交警：能不能走？你带班的人是谁（分享自挡啥脸？挡脸赶紧把乌纱帽抹了吧，知法犯法罪加一等
1693058386# #momo的笔记向英雄致敬核污水日本排放核污水（分享自
1688947316# #SCH-阿治的笔记画一个故事治愈温暖插画（分享自
1687874382# #每天学习三小时的笔记求扩散转发转发（分享自这是谋杀这是谋杀。
1691317476# #小红薯64B5CA82的笔记不懂就问有问必答日本间谍日本学校间谍入侵（分享自
1687569242# #兔探长北城的笔记崩走何应钦，气坏张静江，打得日寇三易主帅。无论蔡廷锴将军在国内战争中表现如何，在上海奋起...（分享自
1687340948# #江西移动电视的笔记动车乘务人员贴心拿出哄睡神器为携带婴儿的小夫妻解放双手，这服务太人性化了（分享自
1688803643# #子不教父之过，父的德行，注定惹祸。
1699408858# #正能量的小羊的笔记医院居然和人贩子勾结，帮助其拐卖的孩子违造出生证明。这个世道儿到底咋了？人贩子（分享自
1697851247# #小红薯62DCD348的笔记那年，日本也没有放过南京的大大小小医院，现在巴勒斯坦的遭遇，以此警醒中国的每一个人，我们...（分享自
1691746714# #勇哥889的笔记经济传递正能量正能量传播正能量（分享自
1693320464# #中国妇女报的笔记近日，四川一男子乘坐成都地铁6号线时发现，车厢墙上没有广告，只有牺牲的烈士英雄图片，网友...（分享自提倡全国列车商场都有这种模式
1693030019# #L.的笔记勿忘国耻，铭记历史！日本（分享自
1691155202# #生殖科的手札君的笔记外行看的是热闹，内行看的是辛酸doge医学生实习vlog护士懂护士（分享自
1691738479# #荔枝新闻的笔记嫌疑人系我某军工集团工作人员&nbsp;间谍&nbsp;&nbsp;美国&nbsp;&nbsp;国家安全&nbsp;&nbsp;严惩&nbsp;&nbsp;机...（分享自
1692352702# #10号少年心仪对象的笔记张艺兴真的特别爱贝壳啊！cr：见水印张艺兴宝藏男孩张艺兴全世界最好的张...（分享自
1698913725# #沐云说的笔记抗战历史侵华日军南京大屠杀遇难同胞纪念南京大屠杀遇难者同胞纪念馆...（分享自
1693868012# #咪咪子视频的笔记会不会有一天，日本以友好建交为理由邀请中国访日，并让中国代表人吃核辐射食物。中国多次拒绝...（分享自
1694878630# #正义联盟的笔记预制菜預製菜在毒害谁？醒醒吧！拒绝（分享自间谍
1693357794# #什么时候能死的笔记大家帮忙转发一下感谢（分享自
1689061952# #快看佛山的笔记7月10日，广州一农民工想进商场吃饭，结果保安不让进门（分享自
1695525383# #bilibili康康健身的视频
1695610739# #恒少的笔记预制菜的背景推手竟然是。。。细思极恐！坚决抵制预制菜进校园（分享自
1695447129# #葵的精神世界的笔记仅仅是井？（分享自抗日
1703640730# #我推荐《父辈的荣耀》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1688619008# #二十九岁发达的笔记银行取钱万万没想到搞笑打工人（分享自
1692244095# #南北的笔记8月16日，在抗洪抢险中牺牲的舒兰市人武部上校政治委员周昆训烈士的骨灰，在家人护送抵达郑...（分享自
1688643564# #海绵专栏的笔记性骚扰&nbsp;&nbsp;男孩&nbsp;&nbsp;社会百态（分享自
1703518252# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1698416766# #转发微博
1692104071# #山山记录的笔记社会百态&nbsp;&nbsp;记录生活百态&nbsp;&nbsp;瓜农不易&nbsp;&nbsp;赔偿责任（分享自
1689042119# #河北小阳阳的笔记现在年轻人难么？大爷一席话！（分享自
1693046786# #ID宋悸沅.的笔记“拒绝网暴你我做起”(Rejectcyberviolence,youandI...（分享自
1692352334# #李老师志愿规划的笔记大学宿舍关系没你想的那么简单宿舍大一新生家长必读（分享自
1691071982# #荔枝新闻的笔记武警徒步带领被困群众走出大山皱眉R害羞R派对R安全感&nbsp;&nbsp;总有人替你负...（分享自
1691330463# #香蕉一个不nana的笔记画画插画画一个故事每日一画坚强（分享自
1690245398# #源源，来吃吧的笔记这件事发生至今，很多离谱的剧情。第一，事情发生之初，一直强调各种领导第一时间赶到现场，...（分享自
1699859298# #帮视频的笔记幼儿园老师大声呵斥孩子，并摆拍视频让孩子假笑，幼儿园：涉事老师已开除，教育局：正调查（分享自
1698913650# #沐云说的笔记抗战历史侵华日军南京大屠杀遇难同胞纪念南京大屠杀遇难者同胞纪念馆...（分享自
1692348741# #娱科呱呱的笔记生活&nbsp;&nbsp;合肥盒饭姐（分享自他们嘴里嚼了大鱼大肉，确非要来抢我路边捡来的馒头。人性最不值得考量，也经不住考量
1689861515# #bilibili红客官方账号的视频到底是真正的学者，还是国家的判徒走狗？
1694132774# #MM的笔记MM的笔记（分享自
1693391100# #伦敦小季的笔记“打捞那段不应遗忘的历史”很多人都不知道，1942年二战期间，中国舟山群岛附近的一群渔...（分享自
1689212637# #龙族影像的笔记龙族影像洛阳保卫战（分享自
1694840179# #娱乐小咻叽的笔记男孩子真的无法共情自己的母亲吗（分享自
1689085656# #贝鲁奇的笔记熊猫是我们的，我们真的不能再忍，万e的m国人，他们这么对待美香添添小奇迹，我真的希望他们...（分享自
1693278162# #bilibili安柏然Andy的视频
1695439425# #小冉的笔记敌人在内部（分享自
1691283290# #LZ立智教育咨询的笔记泪目，广东人吃干的方便面是一件非常不容易的事，加油赞R传播正能量正能量...（分享自
1692063787# #童时月的笔记多可笑，我以为的捞女是劳力士、劳斯莱斯，没想到现在是麦当劳、水果捞、海底捞。恋爱（分享自
1695165652# #壹叁玖看世界的笔记深圳一学校把未订餐的学生赶出教室淋雨吃饭？称不订餐不能进教室午休。深圳教育局：已关注到此...（分享自
1689325430# #点时新闻的笔记7月5日，云南大理。云南一导游疑倡导游客倒卖毒品，游客：这是对缉毒警的亵渎&nbsp;云南&nbsp;&nbsp;...（分享自
1691739110# #辰淅小虫子的笔记重拳出击！国安机关破获美国中央情报局间谍案⚠️国家安全机关对曾某某采取强制措施间谍...（分享自
1691556774# #盘锦导游欣大漂亮的笔记你带钱没（分享自
1691333128# #这种所爱救命就现在车辆应该有交通部门管制。在交通刑法中量刑
1690757012# #非职业吃瓜的笔记为时代在进步为什么有些人的思想在倒退！为什么要给未成年人也灌输这样的思想！新华字典里的...（分享自
1693495602# #瘦了70斤的沈的笔记护士护士懂护士实习护士（分享自
1691329548# #新黄河的笔记拦停7趟列车值班员回忆地震时情况：这时候如果不及时拦停列车，将会存在巨大的隐患（分享自
1695724845# #《为了玲飞》-护肤行业纪录的笔记防晒喷雾导致女儿反复肺炎———北大母亲的愤懑维权防晒防晒喷雾护肤品为...（分享自
1698038278# #嘉哥嘉嫂的笔记遛狗不牵绳，就是不尊重别人！（分享自
1693916359# #美国注册男护士的笔记据说44岁女护士可以改行当保洁；54岁男护士改行可以当保安笑哭R护士懂护士...（分享自
1695092806# #南风故事的笔记山东康养集团，日本老人旅居项目三年内计划输送50万日本老人赴中国旅居养老;愤怒！民...（分享自
1692433915# #蜗是个营销号的笔记浙江卫视中国好声音李玟语音曝光曝光发声媒体公道做个...（分享自
1694572094# #雪梨🍬（💥抗日版）的笔记难道要让海豚的低吟和海浪的哀鸣，奏响落幕的挽歌，让虹彩般的生命奇迹被一笔抹掉，青年人们...（分享自请做好措施，保护好自己。
1691037932# #萌芊故事画的笔记天灾无情人有情，哪里有困难，哪里就有河南人的身影，一方有难八方支援，这就是中国力量。&nbsp;...（分享自
1694101692# #哈尔滨播音小宇的笔记哈尔滨播音小宇的笔记（分享自
1695165264# #星星✨的笔记预制菜预制菜抵制预制菜进入校园（分享自
1695447073# #葵的精神世界的笔记仅仅是井？（分享自
1687874421# #每天学习三小时的笔记求扩散转发转发（分享自这是典型儿的，撞不死人就怕赔钱，一定要死了，觉得赔一笔就完了，要是撞不死，得赔一辈子。
1696502902# #bilibili唠嗑的时候称植物的视频
1695823350# #观察者网的笔记美国参议员：美国没有损失一个士兵，就削弱了俄罗斯50%的兵力，“这对美国太值了（分享自美国每次都这样干完坏事儿，哎巧舌如簧哎事后就承认就是我干的，你能咋滴。新冠病毒也是，乌克兰也是。关键就是愚蠢的国外民众事信。呵呵。
1688626034# #点时新闻的笔记7月5日，河南平顶山，交警队回应男子被查酒驾亮执法证：正在核查当事人身份&nbsp;社会&nbsp;&nbsp;...（分享自
1691212762# #小红薯64C7FEB6的笔记刚出来没想到洪水偷家了，既然来了就要有作为，明天上午最后做一顿饭，下午回程五常老家了。...（分享自
1687938954# #郑州印象的笔记郑州记录6月27日，河南郑州。有网友爆料：一幼儿园让孩子穿着厚厚的服装，化身“宣传...（分享自如果是宣传文化之类的还可以理解，如果是给幼儿园招生，真是缺德。
1691755940# #Keyomi的笔记不管时代再怎么发展，请不我们不要忘记历史，为我们的后代铭记历史。热爱我们的国家。生在中...（分享自
1690982650# #上游新闻的笔记8月1日，河北涿州。黄发小伙多次划皮划艇救人，稍作休息又再次出发救援（来源：幽...（分享自
1693104144# #蔷薇篱笆的笔记国人们擦亮眼睛，日本的帮凶太多，都是冲着我们来的，为了家人们的健康，一定要警惕（分享自
1699356441# #鲁中网的笔记打拐志愿者暗访发现襄阳健桥医院卖出生证明，襄阳市公安局长：约见爆料人（分享自
1689084845# #守护最后的熊猫的笔记小奇迹，加油！我们等你回家！熊猫小奇迹美香添添小奇迹旅美大熊猫美香一家...（分享自
1695038671# #大鹏科普的笔记铭记历史勿忘国耻振兴中华（分享自
1692808454# #专业防御ddosCC等-蔡蔡的笔记黑客组织“匿名者”攻击日本核能团体网站，抗议福岛核废水排海日本核废水黑客攻击...（分享自
1687154016# #小手冰冰凉的笔记排放核污水日货（分享自太对了就应该抵制他们，让他们自己去吃核废水。
1689415392# #小王伴学的笔记名校教育留学（分享自快看看清华北大干啥呢
1690941872# #星视频的笔记男子将车停在楼道口而且未留电话，残疾大爷坐着轮椅等了两个小时。乱停车残疾人社会...（分享自
1695366308# #书单人物的笔记正能量感人传播正能量传递正能量（分享自
1693098098# #Skye的笔记护士懂护士护士夜班我决定去投诉护士长了，无论结局是被辞退，还是被穿小鞋，都无...（分享自
1692253773# #雪狐狸学护理的笔记失望R每天忙得团团转石化R写记录、收病人、测生命体征、一个人管几十号病人.....（分享自
1703518235# #我获得了微博之夜纯粹卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1693102375# #随波波的笔记国际上对中国双标的很，太高草药价格今年已经发生过一次，后面能买到都不一定（分享自大爷大妈现在还关子孙后代的死活吗？
1703640643# #锦鲤附体，我获得了微博之夜美好卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1703492095# #玫瑰留声机的笔记历史书太小，装不下他们的伟大。纵以一敌万，也必壮志凌云。踏凌霄，破南天，纵一去无回，便一...（分享自
1702257525# #醒目视频的笔记登机&nbsp;热点新闻事件&nbsp;&nbsp;&nbsp;机场（分享自
1693615539# #碳中和商业研究社的笔记无知议员试图抹黑中国减碳遭气候特使克里疯狂打脸中国减碳成就世界瞩目！&nbsp;减碳&nbsp;&nbsp;...（分享自
1702543581# #LENNA美学的笔记“你放心，抢救很及时。”“不能送（医院），送的话完蛋了！”近日，广东广州增城区一名在校大...（分享自
1688377273# #历史馆.的笔记勿忘國耻铭记历史历史（分享自
1702430526# #驾驶飞船的阿泽的笔记请您停留1秒钟，为中国核潜艇之父黄旭华爷（分享自
1695087232# #暖暖老爸的笔记部分学校与生产预制菜的企业建立合作关系，并且有的学校甚至已经开放了预制菜专用窗口。面对这...（分享自
1687957720# #营销增长攻略的笔记全球可以没有日本但是不能没有大海&nbsp;热点&nbsp;&nbsp;资讯&nbsp;&nbsp;社会热点（分享自世界上可以没有日本，美国，甚至是资本主义。但是地球不可以没有海洋。
1691196713# #低调的笔记平凡英雄洪水无情人间有情（分享自
1689557308# #奶糖纪实的笔记奇葩纪实（分享自井底之蛙。自不量力，狂妄自大。
1695443170# #利多卡因的学姐的笔记护士懂护士护士（分享自
1688626032# #点时新闻的笔记7月5日，河南平顶山，交警队回应男子被查酒驾亮执法证：正在核查当事人身份&nbsp;社会&nbsp;&nbsp;...（分享自
1691102926# #柳州日报社的笔记河北涿州一月子妈妈被困，救援队一句问话太细心！而月子妈妈的反应也让人感动暖心妈妈...（分享自
1691763226# #A6FC5的笔记我们或许做不了什么但是抵制日货还是力所能及的吧就像以前一样像先辈们一样，我们或...（分享自
1698732299# #如姐有点忙的笔记我就想问问，这古诗还能随便改吗？日常唠嗑古诗（分享自
1690371871# #畅游新疆浩哥的笔记齐齐哈尔市第34中学体育馆屋顶坍（分享自
1695439239# #橙天嘉禾的笔记据香港中通社报道，香港食物环境卫生署9月20日说，检查一批日本进口食品食物标签时，发现一...（分享自
1695166294# #名堂录的笔记预制菜进入武汉大学有律师朋友吗？回答一下：此举合法合规吗？如何看待预制菜进校园（分享自
1695435152# #张向上在市场的笔记“过来，陪哥哥睡一个！”9月18日，陕西西安一名女生学习到晚上十点半，感觉肚子很饿就想下...（分享自
1691733380# #旧梦，已矢的笔记转发一下功德无量（分享自
1695706787# #波仔学长的笔记大家觉得值得推广吗？评论区留言！家长必读预制菜进校园引争议孩子健康饮食（分享自
1703811698# #打假斗士(洗澡狗战神)的笔记中国很多企业家沾了人口红利的光却不自知，年假权力本来就在企业，她是要把法定假日和周末也掌...（分享自混几天娱乐圈脑子混浆糊了。
1691320867# #BaiLuVideo的笔记8月3日，重庆。情侣遇一男孩独自走在路上，于是上前询问带男孩折返寻找家人。李先生称，当时...（分享自
1693477513# #新闻晨报的笔记涉事教师回应：没有不尊重女性的意思，面对网暴“很无助”教师不尊重女性网暴（分享自这是什么扭曲心理的人还出书呢。
1691556460# #风沐遥（中国玫瑰🌹）的笔记马面裙真的很日常，男生女生都合适，大大方方穿出去，才是对中国传统文化的保护。马面裙...（分享自
1702302249# #看看新闻Knews的笔记据台媒报道，又有日本输台食品被检出微量辐射。台当局食品药物管理部门12月5日公布，一批来...（分享自
1692244045# #宁波晚报的笔记佝偻着身子捡游客丢在岸边的垃圾（分享自
1691193724# #红绿灯下的小黄的笔记疯狂小杨哥洪水洪水无情抗洪救灾台风（分享自
1687964819# #文小略的笔记抢教授麦克风的学生考砸了？被造谣300多分引群嘲（分享自就算考300多分儿，他也没有说错我们成绩好不好？先另论。教授，那肮脏的思想是什么鬼？
1692251585# #唐山零距离的笔记记录生活（分享自他嘴里吃着大鱼大肉，还要抢我路边的馒头，这就是人性。
1687242559# #学历小能手的笔记爱国英雄军人老照片铭记历史（分享自
1695366313# #养花那点事的笔记比核污染水更严重，hb101直接给中国下毒（分享自
1691331581# #转发微博
1687228975# #兔探长北城的笔记勿忘历史烈士烈士陵园&nbsp;向英雄致敬&nbsp;&nbsp;祖国万岁&nbsp;&nbsp;热门&nbsp;&nbsp;内容过...（分享自
1688565335# #泽熠分享marking的笔记感谢父母辛勤付出才有子女的平安出世和健康长大！没经营过家庭，不知道锅碗瓢盆，柴米油盐酱...（分享自
1687569180# #唤醒下一代的笔记如今祖国强大了，来接您们回家！当年过鸭绿江的时候，就没想过回来。老人回忆说，每个过江的...（分享自
1691302235# #重庆第1眼的笔记8月5日，河北保定。人找着了！男子被洪水困在玉米地几天后获救，被救出瞬间哭成泪人。谢谢你...（分享自
1689083386# #封面新闻的笔记东南大学录取通知书内藏盲盒又是羡慕别人学校的一天！录取高考录取录取通知...（分享自智能提倡学士服也不应该再是西洋的样子，而是代表中国文化的样子。
1695577772# #小溪图文的笔记爱国正能量传递正能量（分享自把日本人赶出去。停止他们的签证暂住证。
1694101640# #彭于晏的笔记遥遥领先（分享自
1691073706# #海报新闻的笔记涿州，群众免费为救援人员提供饭菜，“该说感谢的是我们（分享自
1692349373# #人民网的笔记每秒都值得记录笔记灵感南海宣誓主权不懂就问有问必答（来源：...（分享自
1689059340# #野生小胡儿的笔记吐槽我的吐槽中国移动移动避坑（分享自
1693379226# #琼鬼娱乐的笔记谁说站在光里的才是英雄长沙环卫工人打扫卫生英雄（分享自
1692104282# #抓马娱乐圈的笔记没别的本事，磕一个吧&nbsp;赵皖平&nbsp;&nbsp;春节假期&nbsp;调休（分享自
1693834271# #墨明棋妙（抵制日货美货）的笔记核污水排海，不是为了省钱也不是为了省事生气R生气R生气R已经开始磨刀霍霍向咱...（分享自
1701001446# #四川视频的笔记女子上门推销被拒，踹户主家门一名身穿联通服装的女子上门推销，户主说不要，女子便拿脚挡住...（分享自
1693379086# #LZ立智教育咨询的笔记核污水排放第六天，日本向世贸组织起诉中国禁令！既知道失去中国￼市场本国会面临什么样的经济...（分享自
1691751340# #Gaokiki丶的笔记是大公司违法了就可以随意欺压老百姓吗？是大公司的员工就可以随意辱骂受害者么？（分享自
1702302242# #看看新闻Knews的笔记据台媒报道，又有日本输台食品被检出微量辐射。台当局食品药物管理部门12月5日公布，一批来...（分享自
1691193147# #柒基的笔记中国热门武警河北最可爱的人救援小红书战士（分享自外国人总觉得中国人不好，但他们从来不知道中国人在最危难的时候总有那么一些人她们是普通百姓，还有我们从不缺席的各种官兵，医疗人员。再灾难面前站在最前面。对这个
1692349286# #海报新闻的笔记双向奔赴！居民们主动为救援队员洗衣服，队员们把房间打扫得干净整洁&nbsp;涿州（分享自
1699020552# #主持人阿喆的笔记天津助学金事件引发热议（分享自
1693059995# #皖的笔记这个日本人露出和善的笑容，怀抱里的中国婴儿，也是笑得多么地灿烂。可是谁想，这只是一张摆拍...（分享自
1695379186# #戏曲表导演崔增才的笔记相识满天下，知心有几人。中国戏曲学院运动会京昆系入场分列式（分享自
1694690183# #人文川北的笔记看看江苏扬州90后家长如何说！如何看待预制菜进校园预制菜学校家长孩子...（分享自
1695366911# #上游新闻的笔记9月19日，重庆一高校军训现场热情的阿姨为学生们扇风网友：扇的不是风是满满的爱&nbsp;...（分享自这才该是老人的样子。有这样的老人才是家里的宝。
1688451053# #moheAI的笔记郑强教授教育科技（分享自
1703743602# #我推荐为2023微博网友喜爱人物，希望TA继续站在热爱的世界里闪闪发光！驾驭高能时刻一起来微博之夜推荐你喜爱的TA吧，参与集卡互动还有机会得盛典门票去见TA哦！戳&gt;&gt;
1689922011# #佛晓^O^的笔记美国俄罗斯乌克兰南非社会国际资讯俄乌俄乌战争烏俄戰...（分享自
