1703582896# #小孩姐就是打工人的救星
1691461803# #一转眼立秋都到了，这不得赶紧安排上秋天的第一杯奶茶？。小小的杯子里，有一份茶汤，有一份奶香，千年的时光变换了饮茶的口味、饮茶的人，却不曾改变大家爱茶的心，用这一杯浓香四溢的奶茶，继续我们的千年“茶”魂吧~。逛京东伊利牛奶官方旗舰店，爆款商品满200减20，会员下单TOP送
1690774389# #你理想的办公环境VS现实的办公环境doge
1696672733# #人生中吃过最大的苦：上班
1703490828# #终究是鸭鸭承担了所有
1703056001# #猫猫看了怒干两碗饭
1702023302# #天美15周年向快乐出发MV中的老舅也从自己出发到认识了一群志同道合的朋友冲向快乐，这也是《元梦之星》这样的派对游戏的魅力吧！在疲惫的一天结束后，放下所有焦虑，成为我们这个时代的人都需要的舒适区~
1692685347# #公司是会算工资的🙃
1688450340# #上班第一天，就当上CEO了doge
1693205204# #奥利奥佳洁士兄弟论成立酷
1694410225# #坏消息：简历名字叫《先去小公司混点经验》。更坏消息：无法撤回
1696077601# #张雪峰说红米是时代良心张雪峰先是因为华为背刺出圈，这次又因为点赞红米是时代良心引起热议，就是说，张老师真的不考虑转行数码圈嘛？。昨晚直播中迫不及待展示自己新买的RedmiNote13Pro+，对新品性能了解程度也是拿捏的死死的，1899的价格忍不住直呼性价比真高，网友纷纷调侃让其上链接，看来张
1703239064# #不光补上缺口还有工具防身
1697613398# #离职理由：挤不上地铁
1695911107# #杜玥换一种身份继续热爱羽毛球，我今天也不在是社畜，高效状态把职场变成我的主场。与健美生一起“玥”享好状态！健美生邀你玥享活力好状态
1702203143# #摸鱼都有底气了
1689663603# #白天迁就生活，夜晚释放灵魂，这不妥妥的演我一天的精神状态！演我精神状态就算了，还把我的每日愿望都说出来了！你是真懂年轻人啊！这文案看了，是谁被扎心了我不说！每晚8点，夜淘宝陪你不误正夜！一起组局去过夜生活！
1691569663# #当你在卧室玩手机时：。过于真实
1691999961# #00后和老板开始互相整顿了笑cry
1692346130# #这咖啡厅也太有安全感了吧憧憬
1689571655# #而我是那只替罪的🐑
1702370834# #谁在电磁炉上称重了
1692165902# #为何男孩每月按时请客？而且豪气干云承包全组？是突如其来的暴富还是另有隐情？走进饿了么18红包节揭晓背后的答案doge我觉得亚运会门票估计是我的了喵喵当然更重要的是饿了么【18红包节】恰逢周五【5折天】，不只18元红包和免单，还有尖货5折起！外卖红包文学饿了么818抠出生活小窍门
1702281686# #减不下肥是有原因的
1694320802# #猛虎落泪，谁看了能不跟着心疼呢？快来加入发起的地球呼吸计划，守护自然栖息地，还“胖虎们”舒释呼吸！现在戳链接敏感不在舒释虎吸
1701414556# #离职太高兴会被背刺
1692173992# #最高端的简历只需要最简洁的语言并不简单
1692262807# #只是看看死去的回忆就开始攻击我了，要被老岛民的“狠”活刻进DNA里了doge。8090后需要一座冒险岛
1694246516# #老板看我选的团建餐厅陷入了沉默doge
1693900981# #95公益周这也泰酷辣！代表个性与创意的潮玩，被赋予了爱的内核，当公益爱豆种在了这一个个可爱潮玩ip的心中，慢慢发芽长出一万种可能，这也许就是爱的意义，终有一天它们会长成参天大树，庇护更多生命！爱有一万种可能
1698992103# #天猫双11惊喜夜追星宝宝们集合啦~你们想要的福利来啦，双11惊喜夜首波艺人阵容单看这次阵容就很有诚意奥，除了可以看到你最爱的明星，集惊喜卡去晚会现场还能参与抽惊喜卡送你去现场！现在戳链接或上淘宝搜【天猫双11惊喜夜】参与集卡，还有机会赢取华为mate60，专属明星卡
1702812606# #元梦之星超话元梦之星星光大赏元梦之星作为一年一度的内娱盛会，每年的星光大赏都是大牌云集，流量拉满，今年也是一样~不过今年我们却在现场看到了不一样的人，那就是最近才“三天大”就话题满满的元梦之星！元梦之星的好好鸭小红狐竟然也出现在了活动现场，这次真的算是成功破圈了呀，真有你
1688797839# #国产车在老外的眼里有何魅力本来以为只有窗外的马路上多了很多国产车，没想到上半年第一季度出口量这么大都破百万了。确实这几年互联网上大家对国产车的呼声越来越高，整体口碑和评价也在不断提升，怎么说呢，中国制造，有点小骄傲～
1692769859# #证明了网络物种的多样性并不简单
1702889852# #面试吐槽不小心发给了HR
1701845540# #你们hr全年无休是吧
1697535415# #当00后和领导混熟后
1699092686# #年轻人撒谎现状
1693981082# #吓死了，还好没啥朋友
1691126935# #00后实习生的老板们还好吗doge
1702971077# #马路都有地暖南方人羡慕哭了
1703401803# #元梦之星超话元梦之星弹钢琴不会还有宝子不知道吧！？星梦广场上的这架钢琴是真的能弹的！并且超级简单，稍加练习人人都能弹出优美的曲调！只要搜到对应的简谱，就可以直接开始表演啦~每次弹琴的时候总会吸引许多小伙伴来围观和伴舞，特别温馨哈哈~。元梦之星真的是“元宇宙”啊！不止有海量的游
1700211727# #这口味形容还怪新鲜的
1690542482# #社会你蜂哥，人狠话不多！不对，是人“萌”话不多！！！我就想悄悄的问一句，柱子哥为什么不来啊！憧憬憧憬呜呜呜呜呜，我痛哭～～不过没关系，能和大黄蜂贴贴也是阔以滴！。CJ偶遇大黄蜂来CJ和大黄蜂贴贴
1702017094# #这手抓饼夹带了私人情感
1697528402# #吃货宝宝们集合啦~饿了么18红包节又双叒来啦！话说这次真的很有诚意奥，除了延续了之前的整点抢红包的福利还和很多大牌联合了，可以看看有没有你最爱的店铺哦~对了，18块的红包那可不止一个，总结一下就是折！后！再！省！不说了，我去抢红包了（今天吃点好的~）每月18日省18
1689825740# #查询宜家员工的精神状态，真的会笑
1701065258# #上班路上收获一个地铁手柄
1701399602# #哇咔咔！不愧是我们的国民女神啊，预判到了我们想做美甲但又囊中羞涩了，美团丽人高圆圆官宣12月1号-12号打开美团App搜【美团丽人高圆圆】团美容美发美甲低至5折起，戳🔗还能领128元变美红包组合，真是雪中送炭呢！
1701497758# #一个真敢加一个真敢过审
1702197481# #12.12淘宝年终好价节迎来最终服饰优惠狂潮，圣诞、元旦、春节的新衣都可以趁现在买起来了，错过再等一年！不知道怎么下单的小伙伴直接点击这四张图，已经帮大家把最优惠的服饰清单都列好惹～2023年终省钱大招
1689132304# #一些硬核打工人的安全提示。建议全世界推广并不简单
1694064812# #j人的笔记和p人的笔记
1702629213# #工作是为了赎身不是干成头牌
1691653134# #这届网友是懂拍驾照的憧憬
1689997204# #女足的崛起离不开新生代队员的努力和坚定，凭热爱，场上见看完这个视频我只想说好样的打call真的太懂女足姑娘们了，不止让我们看到她们为了自己所热爱的足球努力拼搏的样子，更让我们看到了女性的力量！这种为女足加油的方式也是别出心裁，快和现哥还有伊利一起为女足加油吧！
1695798983# #中秋发了急救包采购：公司我了解，一定用得上
1701509403# #元梦之星14亿回馈玩家这泼天的富贵我接住了什么！？14亿！？还等什么，元梦之星走起，这波金币我接了！
1692267165# #分享月入过万的秘诀酷
1698825461# #给英国室友一点中国震撼
1699718403# #天猫双11今晚20点到24点，上淘宝搜索【冲刺4小时】，等了一年的好物现在不下单那要什么时候下单？！还有5波超大金额红包雨，把握住今年最后一次薅羊毛机会啊！双11最后24小时直播更便宜&nbsp;天猫双11冲刺4小时
1690256505# #投简历投到老板分公司。突然想到一句话永远会对你反复心动笑cry
1689745825# #上班哪有不疯的，硬撑等周五罢了~。很喜欢打工，打工令我着迷并不简单
1702710157# #这一餐下来不得吃成财务
1698757503# #我占便宜等不到明天，无门槛的红包谁还不知道？就在今晚20:30-21:00、21:00-22:00上淘宝搜索“双11红包雨”，超多福利只有你想不到，没有你得不到！
1691386646# #老板是有点幽默在身上的笑cry
1690176521# #离职后给下一任留下了线索。前同事只能帮你到这了doge
1702541344# #职场精英的朋友圈
1692689581# #又到了每日厌班的时候了单身狗究竟是谁每天在快乐上班啊，哦，是老板！自己创业当老板有多爽根本不能想象，来参加叫我大掌柜主题咖啡店创意征集活动，摸鱼的功夫想想创意就能收获10万梦想基金！一起解锁当掌柜的快乐赢牛奶
1692853903# #同事迟到的一百个理由
1699006552# #更适合领导的简介
1690603153# #项目结束后甲方夸我性格好。废话，这可是特意为你装出来的doge
1703144021# #近视的人看世界全靠想象力
1696828610# #这么花里胡哨会显得底薪三千更多吗
1703741329# #但凡一米八聊天三句话
1694237402# #多亏了！看来这个秋天，胖虎出门再也不用担心鼻塞鼻痒流鼻涕...又可以敏感不在舒释虎吸啦！你还在等什么，现在戳
1700019573# #我在公司加夜班老板在家买邮轮
1688966417# #领导让我下次请假严肃点哈哈哈哈哈哈
1699941613# #麦麦你怎么直接指名道姓的doge
1703256003# #元梦之星超话元梦之星又能抢红包了元梦之星广场下雨。自从知道元梦又放福利，又有红包雨，我就开始放《好运来》的BGM！我果然抢到啦，虽然不是现金红包，但是有Q币呀，做一个靓仔星宝，直接冲元梦买服装不香嘛！还没有抢到的小伙伴们快冲！22号~24号晚上8点~9点期间登录游戏都可以抢红包哦！
1701935973# #老板也学会向家长告状了
