1692014555# #7.28
1700532230# #利好别说早了，每次大跌几分可能都是为了下次微涨几毛做铺垫的。。我们太懂了哈哈
1702804439# #有故事的椅子。。它承受了太多本不该属于它的抓痕和撞击哈哈
1701323264# #参考消息援引德媒：普京认为俄罗斯已恢复全球超级大国地位哈哈
1699582366# #复旦大学张维为：美国是一个“五没有”的国家，而这些在中国都是标配
1702258410# #A股向下大涨不出意料。。媒体券商早就全部看多了，怎么还不涨呢？哈哈
1693803383# #汗
1687399453# #端午安康
1688432747# #以前王朔、莫言、马云受人推崇，网络上经常看到，现在老胡、于力、大妈在网络上风生水起允悲
1702261040# #不得恶意诋毁、贬低其他私募基金管理人。。能不能从投资者这里来一条：私募基金管理人不得恶意亏钱…
1700634283# #经济还在恢复期，谈“热”是不是早了点
1700909711# #不是马斯克的站位太高，而是有些人的头脑还停留在一百年前
1689907583# #经济日报：唱衰中国经济者注定失望
1695185218# #国家发展改革委副主任丛亮：我国经济将回升向好、长期向好
1694651910# #人民日报钟声：以竞争定义全部中美关系是严重误判
1699924577# #新华时评：地球容得下中美各自发展、共同繁荣——推动中美关系回归正轨系列评论之四
1700904041# #人民日报：促进人文交流，夯实中美关系健康发展基础
1688738619# #港股流动性不行，美股流动性没问题，所以阿里巴巴美股涨的多
1699840350# #中金：2024年A股市场整体机会大于风险指数表现可能前稳后升。。中金这么早就开始为2024年的A股算命啦哈哈
1703650465# #在养老问题面前，专家的言论，真的是一个比一个更让人大开眼界哈哈
1700818535# #某网友开始第三次世界大战的物资准备了。。其实，这个网友多虑了，一旦三战，要么核战，要么斩首行动。。躲山洞没用也没必要。。这个网友估计垃圾军事新闻看多了
1689576109# #中产阶级的标准不是月入3000吗？。。这个也高的太离谱了
1700102617# #等人质们都觉醒了，哈马斯就彻底完了。。不会太久，以色列这次是铁了心要完全消灭哈马斯
1693796889# #这个漏洞是故意为他们留得吗？
1693880731# #A股下跌的时候真的是很丝滑……
1692085277# #个人看法：降印花税，对于他们来说，还没到那个份上，这个招数可能会等到3000之下才会用。。至于尾盘最后三分钟拉升，是因为图中这个新闻，明早高开就消化掉了。。这个阶段，炒股不要跟着小作文后面追涨杀跌
1691716264# #印花税啊……允悲
1696672387# #这个地级市1200多名医务人员投案！医院院长几乎全军覆没。。为什么会这样？
1696743856# #刘震云谈荒诞：开会有文件，台下人为啥还要记录？。。看了网友的评论，刘震云还是太单纯了允悲
1698820183# #俞敏洪还是有一点知识分子的风骨的good
1687050488# #这种欺负农民工的狗腿子，以后被人砍死活该！
1692156772# #证券日报刊文：政策面和基本面都支持股市向好
1702948492# #甘肃地震已致111人遇难。。愿逝者安息、生者坚强。。当地气温很低，也增加了救援难度。。希望伤者早日得到救援
1689140295# #旅游股也吃了点肉
1687511688# #马斯克与扎克伯格约架。。必须是UFC头条主赛，白大拿还不开心死了。。要是真的打，全球多少粉丝购买PPV啊。。这两位大佬吸金能力肯定远超嘴炮哈哈
1688261753# #神秘“核酸大王”张核子又有新动作…或将进军“统租房”。。哪里有赚大钱机会去哪里，而且去的地方一般企业没能力进去，这种能力让人害怕…
1690524980# #这货都涨停了。。这波行情看来超过我预期了
1690855377# #查实将严肃处理……
1696643133# #于力骂自己真狠哈哈。。他每年要给在美国的房子交房产税呢
1698043612# #A股这行情，没什么好说的，就是和财经媒体、投资研报分析的有一字之差，他们看好上涨，实际走出来的是负上涨……。。财经媒体和投资研报一直这样下去，大家也都省时间了、省钱了，还是呼吁财经媒体和投资研报允许不同声音，督促A股制度逐渐完善…。。A股越向下涨，系统性风险越大，因为会跌破越来越多的机
1694394452# #华力创通周五被散户承包了，而大游资跑了。。周末相关题材的消息又高潮了，上周五没撤的，今天要谨慎
1686970029# #美股收跌，不寻常
1688457037# #总结：见不得别人好，巴不得别人倒霉。这种人太多了哈哈
1688653987# #可是他们有很多人吃不饱啊
1700991059# #好久没在媒体上看到这个部门了
1696051679# #司马南支持什么，事情就往另一个方向发展…
1702819120# #“公开裁判文书是法院的法定义务，而不是权力！”
1701500397# #万能神药。。这世上就没有连花清瘟治不了的病哈哈
1699168137# #秦教授的强大思辨能力一直让人叹服。。记得他分析过中国经济奇迹的重要原因。。读起来确实让人耳目一新
1694050175# #记者采访老人服中药身亡官方拒回应。。没义务告诉你
1697424248# #财经媒体和券商研报只有一种声音，对A股来说也不是好事。。以前有多种声音，按照客观市场来写评论和研报，投资者还看看新闻、研报里面的投资机会。现在每天都是这样整齐划一的声音，错误率太高，失去了投资者信任，哪怕你偶尔说对了也没人理你了。。最终投资者由于太失望而选择躺平，对A股反而不利。。新闻、
1701320855# #国家发改委：民营局组织召开民营经济专家座谈会
1701824617# #允悲
1701311918# #外交部：中方坚持推进高水平对外开放，积极推动构建开放型世界经济
1687661585# #乌军方称已利用俄局势从多方向发起反攻乌克兰军方称已从多个方向发起反攻。。经此风波，大俄内部矛盾、军方无能暴露无遗，前线将士大概率信心动摇。。乌军此时全面进攻，趁你病，要你命，扩大战果很正常。。大弟短期内外连续受挫，其命运已经注定
1691492919# #发生了什么？
1694575810# #转发微博
1687918568# #胡锡进昨天才进A股，说实话有点晚了，中国经济一直长期向好，你一直不买中国股票是几个意思？不看好我们经济前景？。。我希望于力、大妈、金灿荣、张维为、陈平、沈逸、李毅都来买中国股票，毕竟，你们要言行一致啊，嘴上天天说看好，却不买A股，是几个意思？你们都是不差钱的主，即便是亏损了，也为中国
1692774322# #大A股套路多，昨天一个小反弹，忽悠了不少人。。券商，之所以叫它渣男，就是因为他总是盘中诱多啊。。投资者要长记性，做完第一波，大龙头换人，就果断不做券商了。。券商调整，那都是几个月几个月的来，你熬得住吗。。幸亏昨天止盈长青科技，止损了东财。。不然今天利润要跑掉大半
1698105707# #中金：汇金买入ETF再度释放积极信号后市表现不必过于悲观
1696404994# #假期过了一大半，目前还没听说有什么利好A股的大消息
1695518777# #这句经典。。现在财经媒体基本都是这样了
1703417628# #云南农村集体聚餐5桌以上需报备。。再过几年，估计夫妻床上那点事也要纳入监管了允悲
1687917139# #A股股民、基民已经很努力在接盘了，可是，想要改善生活的股东们太多了。。你不节衣缩食、努力工作，他们怎么开豪车、住别墅呢？
1688103281# #教授称中国并不存在房贷压力大的问题。。既然背房贷的人和拥有存款的人不是同一拨人，那你还说并不存在房贷压力大的问题？
1701854845# #要求停止道歉笑cry。。想起了吴孟达的经典台词：长这么大，还没见过提这种要求的哈哈
1703898932# #终于知道为什么庭审直播越来越少了
1691803490# #尼玛，又开始痛哭流涕的表演了，不看内容，还以为你们是被人诈骗倾家荡产的受害者呢？哈哈
1696142388# #理想很丰满，现实很骨感
1692146561# #人民网小编辛苦了，你看，都挖到丹麦的失业率了允悲
1699680778# #中国人社部：高校毕业生等青年就业基本稳定
1694995221# #融券会打压股价？融券“T+0”策略=“T+0交易”？权威求证来了。。媒体还在通过不敢透漏姓名的“权威专家”狡辩，看出来了吧。。想要活跃资本市场，并不是所有人都这样想，既得利益者（是哪些人可以脑补）肯定会有所动作的。。A股现如今的走势不是没有原因的
1701683800# #对于这个“零容忍”。。我们拭目以待吧
1687612015# #梅德韦杰夫秘书处否认他已“离开莫斯科地区”。。萨达姆倒台之前，他们自己的媒体还说胜利属于他们呢，结果呢？
1699258188# #赢了赢了嘻嘻嘻嘻
1696832405# #这里不得不批评一下老胡了。。公开祝贺哈马斯“胜利”的虽然只有一个国家伊朗，但精神上支持哈马斯的在网上一抓一大把呀，尤其是冈本六玩意的粉丝，一抓一个准。。蛆头教他们囤盐、生吃假三文鱼、脑子戴避孕套…。。蛆头赚钱赢麻了，蛆粉们，什么东西做伤天害理的事情，牠们都支持，迟早一天，牠们会自食恶果
1691116831# #转发微博
1687787050# #厨子去哪了？。。马克思：政治是世界上最肮脏的东西
1687043335# #一颗老鼠头为何要省级调查组才能查清。。遇到这种事，“正能量”大V观点总是高度一致，当然事后打脸也是高度一致。。他们还有一个共同特点：挺俄，开战的时候，相信少一股闪电战一战封神哈哈
1700788830# #港股：中信证券，我谢谢你这个小可爱……
1703135284# #这些商场负责人可以翻一下史书，明清时代有没有五一劳动节，有没有周六周日……干脆都抵制了算逑
1699061795# #全面放开二胎的话，将累计多出生9700万人，每年出生人口峰值将达到4995万，生育率将达到4.5。。这人的研究，有什么价值？哈哈
1691217506# #是的。下次有需要的时候外放出来。
1689636574# #转发微博
1695906492# #中国恒大：许家印因涉嫌违法犯罪，已被依法采取强制措施
1693706315# #转发微博
1690190973# #好多消息来了，与A股紧密相关的是：。。要活跃资本市场，提振投资者信心。。那么，该怎么做才能达到这个目标？
1696815015# #A股低开，符合预期。。太自以为是了，十天啥都不干，就会这样
1703560090# #A股现在就是牛市，只不过是高质量的理性牛市罢了，不是那些非理性繁荣的股市可比的
1702370297# #这样的政策才能拉动消费
1702892442# #凤凰网虽然不比以前，但还是吊打不少其他媒体
1697862281# #不要要求那么高，至少这次还说了一点真话。。当然，结果不用研究也知道
1690852899# #家旁边的水果店最近关门大吉了。。刚刚发现，水果店发了一通告示，告示说房东将房租从十二万一年涨到四十万。。这房东是不是对现在的经济环境有什么误解允悲
1699323263# #张维为的观点哈哈哈哈哈哈。。张维迎的观点接近事实。。但最佩服的还是秦晖的观点，一针见血，客观犀利
1691631803# #连续两天拉红塔证券，有点异常。。现在看大家又在呼吁降息和放松融资比例。。这两个比降印花税概率大一些
1689920347# #要是抱着一年赚大钱的心思来A股，那肯定会大失所望。。如果你是抱着跑赢通胀、跑赢银行利息来A股，还有取胜的可能性
1695283490# #他要来？对A股有何影响？
1692270447# #分享图片
1688788140# #周末无事，徒手开榴莲玩玩。。出肉率45%，貌似是来报恩的。。希望下周A股投资有好运嘻嘻
1703232241# #分享图片
1703639872# #中国证券集体诉讼和解第一案！7195人获2.8亿全额赔付，有股民获赔超500万。。总算听到了一些真正的好消息，投资者应该积极维护自己的权益，法律也应该对投资者权益做到应有维护，只有这样，A股才能走向健康发展的道路，要做的还有很多……
1694267565# #林义相：通过融券或者转融券卖出，大小非可以曲线减持，定向增发可以无风险套利，在大小非减持和再融资面前，新股发行只是小小弟而已。。非常赞同，问题很明显。。不过，你永远叫不醒一个装睡的人
1694088387# #年报虚假记载。。对违法公司罚款200万，对相关责任人处罚60万。。貌似不能让投资者信服。。更不能有效震慑、以儆效尤
1699494101# #“龙”字辈大跌。。击鼓传花而已，顺势赚钱可以，不可以入戏太深
1687945140# #7.25
1696315585# #该不该降薪减员？
1699257286# #牠们找不到论点的破绽就直接人身攻击、扣帽子。。关注列表不用看，基本都是冈本六蠢货的粉丝
1694524240# #没看比赛，扫了一眼新闻。。日本队轮换了几个主力依旧暴揍土耳其。。中国男足主场0：1叙利亚允悲允悲允悲
1695024951# #去年的今天，我悲愤不已…
1701394090# #基民怼的好，我们的公募基金，亏了算投资者的，亏损几十个点管理费还照收，确实不合理，也不符合市场竞争、优胜劣汰的规则。。还有一种更可恨：尸位素餐也就罢了，台上人模狗样大言不惭演讲、台下吃里扒外做老鼠仓坑害基民。。这些东西确实没脸、没资格去悼念芒格老爷子
1700470373# #现在官媒的标题比自媒体还野允悲
1702187749# #2023年全国企业负担调查评估报告：九成左右企业对当前营商环境总体感到满意
1695170486# #这女的真的好无知，银行作为资金托管单位，怎么能说是没有责任？你是工作上遇到点困难，人家是损失惨重，孰轻孰重啊
1696463126# #油价接连上涨，让我想起中石化高价水晶吊灯的老故事。。翻开2009年的新闻，话说那时候的媒体评论文章，还是可以看看的。。现在新闻媒体已经很难看到这种文章了，各大平台上，某些群体对于不同的看法，马上就给戴上愤青、公知，甚至间谍、反贼的帽子。。自由讨论的空间越来越窄，在普通民众舆论圈子里，极端、
1699850351# #打造六个平台服务民营经济发展。。比起这些，民企可能更需要法治健全、无为而治、休养生息
1687483295# #印度要和美国合作无止境
1703468118# #游戏板块走势
1699876541# #余华的小说，值得一读。。余华书活着+第七天+细雨中+许三观+兄弟+文城LSPX。【推荐理由】活着：余华作品，是一部揭示深重苦难的人生之作。通过描述主人公的生活经历，让人深切感受到生命的宝贵与无常。。【现价】99元。
1692757618# #这次虽然没卖最高点，但是目前来看卖的嘻嘻不亏
1703725376# #官方通报：菜市场未经环保部门许可，擅自以大气污染防治为由，责令上述商户停止面条、饼丝、煎饼加工制作
1689669306# #动辄上千的眼镜钱都被谁赚了不能一概而论，有些地方，眼镜确实卖的太贵了，但有些地方，房租、员工工资、广告费用较高，也要考虑这方面因素。。茅台利润率是多少？新闻媒体敢评论吗？
1702433649# #韩文秀：我国宏观政策空间仍然较足，财政政策、货币政策还有较大的空间
1700903614# #北京一包子铺超出许可范围经营罚款15000元。。北京应该不至于吧？财政也不可能像欠发达地区那样紧迫，作为国际大都市，心胸、格局应该开全国风气之先。。现在国家政策都是三令五申要支持民营企业，这种严苛的做法和国家全力拼经济的氛围不相称
1693726899# #现在活跃经济最大的阻碍是什么？
1703153695# #中国古代皇权专制社会的规律
1701663090# #义乌发布倡议书保持10天以上存粮为什么发布这个倡议？看不懂…
1699155076# #企业上市在成熟的市场里，是企业发展的新起点，为何到A股很多公司把上市当作了企业发展的终点？。。另外，最最重要的是，谁给他们提供了这样一本万利的机会？
1699927948# #good
1692600788# #尾盘A股负拉升，汇率又这样。。不会操作的尽量慎重点
1698187291# #虽然不是全对，也代表了大部分情况。。总之，和一些媒体上是有很明显出入的
1686968296# #据说大学学费涨了，而就业更难了
1697702423# #a股3000点保卫战啥也不说了允悲
1703569222# #一个多月过去了，引起金融动荡“做空者”、“掏空者”抓到了吗？
1699410745# #加快培育境内“聪明资金”推动行业机构强筋壮骨
1687691841# #感觉比大俄官方新闻更可信
1698109288# #95年入场的老投资者，也受不了了。。大家说说，他是倒在了黎明之前，还是及时止损了？
1689556614# #很多单位干事儿的都是临时工。
1698985542# #张维为：中国已经完全消除了极端贫困，美国内部的极端贫困问题迄今看不到任何解决的希望
1694588590# #张维为：2018年，美国制裁华为芯片时，我就预测美国会输得很惨
1703904192# #美食作家王刚也享受了一把刘继鹏的待遇。。平台上显示，他最近的一个视频是11月21日。。话说，他不就一个拍美食视频的厨子吗？允悲
1699344493# #莫迪真机灵啊
1697698729# #有点担心，A股再跌下去，沪深指数会不会成为机密，不对外公开？笑cry
1701912126# #经济日报：对财务造假还得立体追责。。立体追责是罚几万？
1689214598# #召集平台企业开会是好事，隔夜中概股上涨，今天A股开盘上涨，就是这个原因。。A股向上还有多少空间，还要看接下来有哪些实实在在的动作
1701669593# #周末关于A股最大的新闻就是有人说……决心把大盘拉起来。。A股制度层面和资金层面要努力改进啊，尤其是制度层面。。没有实际动作A股就很难摆脱3000点的泥潭
1695016540# #预制菜进校园有学生家长辞职送饭。。学校如果说没问题，请让校领导和学生们一起吃。。小孩都能吃，你们大人不能吃？。。如果区别对待，那再多三胎四胎政策都没用
1687746521# #【芯片半导体板块震荡走弱寒武纪大跌10%】早盘芯片半导体板块震荡下行，算力、存储方向领跌，寒武纪、景嘉微大跌超10%，和林微纳、全志科技、同有科技、深科技、云天励飞等跌超5%。
1688952171# #中医也太憋屈了，强烈呼吁国家为中医正名，全面承认中医，领导干部带头只用中医
1702771975# #专家：“养娃难可暂时求助亲戚”。。为什么不提一些建议让养娃不是那么难呢？亲戚也要养娃啊
1696937588# #哈马斯：愿意就可能与以色列休战进行讨论，因为“已经实现了目标”。。哈哈，和俄开战前后的样子一模一样哈哈
1694658091# #幼儿园开学五天宣布倒闭房价过高、医疗、教育负担过重……都是出生率下滑的原因。。社会资源分配问题不解决、还在继续努力维持高房价……这种情况还会越来越多，而且会逐步蔓延至小学、初中
1689515911# #病毒侵入→盗用帐号→指鸭为鼠？
1692851459# #外交部就日本启动核污染水排海发表谈话。。坚决反对和强烈谴责
1700187696# #你们选举还用干涉？。。我敢卖房子赌俄罗斯选举的结果。。可惜没人跟我对赌允悲
1702514720# #人民币存款又创新高了，284万亿
1701656536# #今天是国家宪法日，带大家来学习一下《中华人民共和国宪法》
1699613673# #银河证券股份有限公司原党委书记、董事长陈共炎接受纪律审查和监察调查
1700535982# #人家现在摇身一变，成为力促中美友好、力挺民营经济的代言人了哈哈
1703396708# #中证报报道——机构：不少外资正酝酿布局优质中国资产，当下正是入场良机
1688978076# #确实恶心，封号随意；账户里有钱封号取不出来，属于平台非法占有他人财物
1686996028# #懂得都懂
1700446222# #这个太真实了，我还见过一个更离谱的楼市案例。。有个朋友今年二三月定好一套房子，定金都交了，结果房东看三月楼市有一点回暖，又不卖了，赔了违约金。。朋友白得违约金，最近看到那个房子又挂出来了，价格比之前谈好的还要低10%，朋友非常庆幸哈哈。。做人真的不能太鸡贼啊
1703922680# #贾老板估计回不来了
1691977108# #有些人的口头禅就是：必然、一定、肯定……然后就怎么怎么好……。。然而，完全没有逻辑，只是硬吹……也不说要怎么做。。这种人是最不能信的了
1700903754# #由于过去的历史，周边阿拉伯各国不敢收容啊？
1697445361# #16年前的今天，A股创了历史新高。。未来，A股还能突破6124点吗？
1689654183# #最近鸭子比窦娥还冤doge
1694139472# #大A股专治各种不服
1692940670# #没抢到盐、还想抢的，不妨换个思路，生抽里有很多盐……。。海天味业今天还没涨哈哈
1701770064# #商务部原副部长魏建国：美国断供中国芯片，肠子都会悔青的…
1689814718# #大校：……属于特大利好。。允悲
1694047898# #这部是个人心目中内地电视剧的巅峰，接下来几十年恐怕很难有超越的了
1700395932# #裂开
1686967948# #吃瓜
1701659316# #医生称中药涨得太贵不敢给患者开现实是这样吗？我最近带孩子去医院不是这种情况，遇到几个医生，让她开西药，说没有，只有一盒大几十的中成药
1696415327# #嘴上经常念叨什么，通常就缺什么。。许家印经常说自己的一切都是社会给的，要回馈社会，结果给社会两万亿债务…。。某些人天天把自己是哪个地方的中国公民挂在嘴边，结果偷偷在美国购置房产，之前还死不承认…。。还有人天天把为你好挂在嘴边，做着的事情却让人大跌眼镜…
1703748017# #叫停“连坐”是现代文明社会应有之义
1689642099# #震惊！这还能打折啊？吃惊
1698755605# #要加快建设金融强国
1696992284# #指数涨的时候，就暂停做妖股。。指数跌的时候，妖股辨识度最高，衙门打压概率低，那时候风险反而小。。炒股，确实要逆人性
1696994896# #我看到不少城市是这个规矩，但不知道是不是每个城市都有这个规矩，不过也要为你点赞，每个人都应该维护自己合法权益
1695450511# #“双规”引出的惊天大案。。电影情节也不过如此
1690434089# #差点报身份证了允悲
1697081705# #转发微博
1694139237# #名片上的职位名称不会这样写
1696729189# #有些人把A股不涨原因归结于外资，当然，他也只敢这么说。。A股不涨的主要原因，扪心自问，到底是外资压制还是自己漏洞太多了呢？。。外资持有A股市值3.5万亿，这一个多月才卖出多少？
1695096479# #去年七月的新闻。。方星海：私募基金要把更多居民储蓄吸引到证券市场中，为市场稳定发展做出贡献
1695349677# #证券久违的异动了
1691974999# #【中信证券：近期降准的概率比较大甚至不排除进一步降低政策利率的可能性】中信证券研报指出，7月信贷数据显著弱于预期，背后的原因可能在于储备项目透支，新增需求不足；居民加杠杆意愿较弱，住房购买放缓叠加按揭贷款提前偿还。从数据反映的现实情况来看，我们认为近期降准的概率比较大，甚至不排除
1690450646# #今天不是跌的吗，怎么大校这么鸡冻？允悲
1700550274# #欠发达地区，有些具体办事的基层可能是真的缺钱花
1693612822# #《金瓶梅》：这世上的事儿，凡是禁止的，往往是有好处但不想分给你。凡是提倡的，大概率是有坑需要你去填。
1697421014# #周末的消息，A股市场不买账。。事实证明，现在不触及根本问题，慢慢的小修小补已经来不及了。。行业爆雷和经济复苏在赛跑，重症患者需要手术，你不紧不慢地给他吃一般的药，不管用了
1698028061# #A股目前是4700多只个股待涨，形势…
1698462397# #赞同廖先生和张平教授对巴以的看法。。赞同理性讨论。。不过，以小视频为师的或者冈本六蠢货粉，不要过来胡搅蛮缠
1701765276# #财政部：前三季度，全国一般公共预算收入同比增长8.9%，其中，全国税收收入增长11.9%。。这些事实均表明，中国经济正在转向高质量发展，中国经济增长新动能正在发挥作用
1689490245# #环球时报社评：“抗中神剧”对印度而言是毒鸡汤。。但近年类似于《印度人》这样劣质且有毒的电影越来越多，它们的共同特点有：歪曲事实，剧情极度夸张，印度角色无比神勇，中国角色则不堪一击，充斥着令人可笑的精神胜利法。印度该为拍出这样的电影感到脸红，而真正的印度有识之士则应该为此感到担忧和警
1695172489# #一针见血，直指要害。。ok这个手势太形象了
1701767577# #现在的券商只会看多，所以A股年年都是小牛市
1695778496# #后天就长假了，妖股不过长假，担心夜长梦多。。捷荣技术，我止盈了，仓位不重，但是这口肥肉太爽了嘻嘻嘻嘻
1689486480# #“穿丝袜等我”，有没有可能是去她家谈工作呢？哈哈
1688705698# #都能买2个茶叶蛋了，真幸福
1698827153# #【上百人哄抢药材主家崩溃大哭家人：报警后才赶走】10月31日，河南周口。万女士家承包土地种植的药材白术正值收割季节，雇佣了20多个人在田地两侧看着，但仍旧拦不住前来地里哄抢的村民。万女士称，包地前几年一直在赔钱，就今年有了起色，还被这样哄抢，最后报了警，警察拿喇叭喊，这些村民才被驱
1700615949# #11月21日，安永发布的最新报告指出，虽然2023年A股IPO的融资额预计将出现逾40%的同比减少，但上交所和深交所仍将位列全球IPO筹资额的前两位。。打6折依旧包揽全球融资额冠亚军，还踢啥足球呢，建议搞一个全球股市融资世界杯。。中国A股队年年夺冠、年年卫冕，多带劲啊嘻嘻
1698987920# #最起码哈马斯头号领导人哈尼亚身在卡塔尔确定了。。你的人民在加沙受难，你的部队在战斗，你却在卡塔尔看着？
1687909186# #这种缺乏人文关怀的故事，不知道有什么光彩的地方
1700450748# #连外资都是净流入6亿，内资净流入负80亿允悲。。所以，A股不涨，别赖人家外资
1699756807# #导师不得与研究生发生不正当关系。。教育部以前还专门发布这样的规定允悲
1703465685# #张维为引用陈平观点：美企从中国迁出，是我们百年未有历史机遇，美国将受重创
1702430969# #现代网民关张：这个姓刘的莫不是是罗马帝国派来的井外势力？
1703037604# #直击灵魂，A股想要早点走出牛市，应该怎么做？
1689833343# #A股：在真正的实力面前，什么都是浮云
1691719552# #每个老百姓分一两万？。。这哥们在读格林童话吗？
1701349570# #持棍击倒逃避检查电动车交警被停职。。我不是学法律的，请专业的人来说说，这个行为是不是已经涉嫌故意伤害罪了？如果是普通人干的，是不是已经被拘留了？
1688084573# #刑拘…
