1699327531# #哇好棒，人好看兼有侠气，音乐也配的不错
1699253301# #美到我阴暗扭曲爬行，疯狂叫姐姐舔屏
1696825602# #一姐十年前半路夭折的一部剧，穿搭在现在看来一点不过时，当年阵容特别豪华，没拍完太可惜了。
1703056456# #白切黑大小姐
1695079495# #重温棋儿cut，除了演技青涩外，小棋儿是尊嘟又嫩又美色，这时候的脸仗着年轻妆容约等于无。所以一姐这算是出道即颜颠吗馋嘴
1701522677# #Belike任如意老公姐的现状如图
1699014765# #刘诗诗刘诗诗神女逆光而来只有美还不行，还要美的高级，今天一姐艳压全场了
1691807223# #刘诗诗粉丝希望换掉春楠为什么他还能吃这口饭哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1695290334# #两套高定get√，虽然都没压对，黑白太通勤了，其实想看红色上台苦涩，期待高清姐宝，这妆百分之百不是春楠doge
1702923143# #盛世美颜当然要选最美的打call
1702024965# #巍:你们知道什么叫自救？
1699012209# #舔屏舔屏舔屏美翻全场
1704474327# #GeorgesChakra2023春夏高定。GeorgesHobeika2017春夏高定。AlexandreVauthier2017秋冬高定。。p1，2造型可用一些大活动，其他小活动站台可
1701317375# #开头太惊艳了，啥时候我们任如意才有高位
1700985820# #刘诗诗取关什么角色号，才几根毛威胁谁，这时候就应该站在道德的制高点顺杆爬，你们都取关了，到时候如意的个人数据一拉就很糊你们负责啊，真服了这群人，你们骂他刷出来数据是如意的数据
1701160484# #刘诗诗任如意任如意X拓拔玉儿。。带我玉儿蹭蹭如意热度，为什么你们只带若曦玩儿，不带玉儿玩？我觉得如意跟玉儿一样会独爆
1701674772# #辛光超话辛光批守护鹫儿最好的师父心，记得打上刘诗诗任如意打call打call打call，鹫儿肯定很想和师父贴贴可怜
1692144682# #就看看他换不换春楠，狗雷签约续不续，如果不就躺平现充了。这些做不到原音肯定也没指望了，到时候关弹幕追剧吧老师好。
1694777151# #一千粉也能橙哆啦A梦吃惊哆啦A梦吃惊哆啦A梦吃惊哆啦A梦吃惊
1704353392# #今天先伟大一天，明天等创个大的
1697474477# #刘诗诗美拉德风，美得让我发疯舔屏舔屏舔屏舔屏
1701658554# #老公姐，今天这身帅到我了
1697290120# #真的美啊，么么我竹舔屏
1689665079# #必定一群护楠的楠宝妈害的爱你
1702046022# #谁说不是呢
1698902620# #台词足够吸引，画面也足够令人养委，怎么做到画面台词这么割裂，柠檬真傲慢，非要炒cp劝退
1701426614# #今天这个买个高位，别做事只做一半
1701768548# #是不是以后可以安心的继续给她挑裙子了？
1699923012# #上次上综艺都多久了哆啦A梦吃惊，妆发弄不好试试，要漂亮的高定。上综艺除了美美美，还要好好宣传如意，为如意服务，提前背好稿知不知道
1696771272# #狐妖宇宙唯一单宣一番大女主@刘诗诗
1704432975# #老树纯享版
1698571305# #问题一直都有，比如伤口结痂里面却早已化脓，其实大家都发现了，只是一方要揭开结痂让脓水流出来，另一方就掩耳盗铃说你看结痂了，根本没有问题。。。捧鲨如杀鲨人。
1698924895# #明天可以梦一下这样盘发吗
1694221828# #刘诗诗东方淮竹竹业篇新造型，不知道为什么看久了还行，说实话刚到手的时候我不爱的，可能一姐抬妆造吧
1703261687# #12点都过了发个声明很难啊，土豆丝是什么很高贵的东西吗？这么舍不得扔。任如意大爆就是让你三扑男宝抬轿？都当抬轿咖了，这样还混什么内娱，再续约你以后别的品牌就不要想谈待遇了。
1693269207# #喜剧都没这张图幽默
1691123882# #同样作者编剧导演都复制不了那一个"她″
1693739990# #一姐靠八字硬闯娱闯娱乐圈，生生躲过一劫
1696868447# #淮竹真好看抱一抱抱一抱抱一抱
1693529764# #刘诗诗东方淮竹高清粉嫩淮竹
1702099594# #男宝好混
1698544574# #刘诗诗狐妖小红娘竹业篇刘诗诗东方淮竹逛灯会的淮竹，她看着好开心。直出的美貌，放大后噪点有点大（不许抹水印，搬运注明）
1704117197# #公主请拍戏，公主请进组
1693282668# #胡歌我对不起好多人唐人师兄妹都一个德性，一个高调拖着粉丝，一个冷冷拖着粉丝
1703255567# #疑问疑问疑问
1703002617# #老树昨天就拜别了，跟🍋那群坚韧江湖不见，现在还祥林嫂式卖惨不停干嘛，老树自己都没卖惨。剧结束了有这心力多安利任如意这个角色，展望展望下她下步怎么走，db投票投了没，别天天把眼神给糊b，这么想给人虐粉给人抬咖。要当人深柜也别当糊b深柜，挑点好的。有些事粉丝心里清楚就行，记住了下次就别
1702559364# #刘诗诗任如意。。【刘诗诗任如意舔颜向打戏向】万千花蕊慈母悲哀|我是最好的杀手任辛。剪辑：挖坑不填狗。B站：
1691343615# #造型都好好看，好馋
1702908283# #刘诗诗任如意刘诗诗一念关山这才是任如意真正的结局，策马山河，快意江湖。正如如意所说的那句银鞍照白马，飒沓如流星。
1703267035# #没想到最后扒刘诗诗一层皮的不是🍋，是真爱l j s
1693731451# #这次是不是楠太妆挖鼻
1700735983# #什么时候定档哆啦A梦吃惊
1701147669# #大夫人来了还不速速翻牌，小心跟人跑了怒
1697144856# #一姐6，《等你的季节》时隔多年又火了
1704684880# #娘勒，超模树，可以直接地广的程度
1691668230# #刘诗诗行走的山茶花粉丝糟心下家放心黑粉安心的一套图哇爱你
1702628009# #我这张臭嘴微笑
1702641918# #糊逼发癫，理他都是给他抬咖
1699250878# #盘发好像进步了，换造型师了？先等现场图吧
1696465093# #刘诗诗东方淮竹刘诗诗狐妖小红娘竹业篇这个是淮竹吗？没神🔥印。
1702636813# #一念关山安都副本决胜局一念关山安都副本决胜局明年竹业是否像一念关山一样被偷戏改戏？是否像以往一样只管拍不管最后角色是否完整？还有竹业制作方已有的小动作心里是否清楚，比如从一开始的“笛鞘相依”，变成“鞘笛”，一开始单宣排面变成四位领衔主演，一般来说，领衔主演都不会超过两
1694309784# #妆容一看就不是春楠，继续保持好不好，还有姐姐拍照的姿势有点模式化了，请多一点不同好不好
1703868184# #每次想溺爱的时候，她就狠狠创你，看膝盖软没骨气的样子就想辱
1701189300# #刘诗诗牛打call
1701227585# #我现在真的有点痛恨刘诗诗一姐这个花名了泪
1699931269# #ArmaniPrivé2023秋冬高定。ArmaniPrivé2019春夏高定。。ElieSaab2023秋冬高定。。Viktor&amp;Rolf2017春夏高定。。Valentino2012春夏高定。Valentino2012春夏高定。。AlbertaFerretti2017春夏高定。AlbertaFerretti2017春夏高定。。ChristopheJosse2021秋冬高定。Christophe
1694086142# #早看过一念关山的剧本了，整个剧本都是围绕如意，感情线也不过是如意成长的一环，如意绝对戏眼。成长线都没个完整的人为什么要当回事，他们无能力怒吼罢了doge，通告单跟剧本拍的差不多，反正到时候播了可以对比，作没作妖到时候也会知道。
1699288543# #es官方认领刘诗诗了，而且还是第一个认领，以往认领好像没有这么迅速。请问谁会最破防doge
1701670893# #耗子药哈哈哈哈哈哈哈哈哈辣评
1700882709# #对如意cp的态度是all如意女本位思想，支持他们雄竞，不要站哪一方，扶贫男宝没有好下场挤眼，舞cp有路人，我们专注如意就好
1695307819# #如意是如意锁哇
1699972649# #粉丝都能对自家做的杨紫ai图破防大骂，进行dfxr，看来是对紫紫外貌有清晰的认知，真不戳值得表扬。除了长相破防，口水糕破防，friend破防，高定破防，我们收视0.08爆剧🌸紫紫还会破什么防
1702212429# #如果剧方辟谣速度和敏感程度是真的，那我是否可以相信超过24h也不曾辟谣的阴阳剧本/加戏行径/偷戏改词都是真的？@柠萌影视
1693097492# #get到了，超越妹妹的脸还是可以的女孩儿
1704083957# #土豆丝果然没了，抬头都不写了
1702047482# #一念关山加戏话说我们雨狞怎么这么喜欢前言不搭后语
1689401033# #刘诗诗堕仙妆今年最佳，似妖似仙，观音面罗刹心，冷眼瞥视想要渡他却不自量力的人们，有没有类似本子递给一姐
1701785172# #刘诗诗绽放的红玫瑰好闪好美，不愧是阿玛尼
1692709823# #王一栩之前高估他了，还说影视公司起来前都会认真做剧。说实在他真比不了于马和蔡农。
1703328434# #又来搞承启转执嘿这套对吧，执嘿做的事从来是想树飞得更高更远，是让她自尊自信自爱，是恶名执嘿担，可没有害过她，坏她根本搞臭她名声，ljs昨晚干的唇事可不是执嘿让干的，之前早说过被这群ljs主流粉把持着话语权迟早捅篓子。ljs瞒着树和工作室，我的建议树树报警吧。
1698060257# #刘诗诗狐妖小红娘竹业篇刘诗诗东方淮竹一姐真让我修不了一点
1701137929# #你唐活了哈哈哈哈哈哈哈哈哈哈哈哈哈哈，讨债成绩又加一
1691274225# #造型都好好看，都好适合超越妹妹
1689658470# #看得出姐姐也很爱这次妆，真的苦春楠久矣
1700457281# #没见过这么土的造型
1703243694# #todselle开年分手刊
1701313849# #我佛慈悲。。罪过罪过
1701772780# #刘诗诗绽放的红玫瑰你可以永远相信阿玛尼的审美，好看又高级，这么美的人配上这么美的裙子，如盛放的玫瑰，完全拯救了我的眼睛。
1701696053# #刘诗诗任如意任如意绝对大女主刘诗诗在有限的空间内把任如意精神内核演绎得完美，不管外力如何打压，都难掩任如意本身的光芒，成为国产剧里最独立清醒大女主。任如意在感情中追求平等,不会因为所谓的爱情失去自我，任如意实力独立思想独立精神独立，不会因为离开谁就光芒暗淡，反而只会令任如意
1689611459# #你绝，常合作吧老师送花花
1692020415# #口播现在这么好，为什么一念关⛰️不原音，现听了更气了泪泪泪泪泪姐宝，你现台词真的太好了！不要自卑哇！！！！
1695724912# #有些人真是粉丝吗？怕是把一姐当成磕cp的工具人了吧。一个后脑勺能夸苏感，不夸一姐演技好，明明靠一姐眼神入戏，她的眼神里面有爱，看谁都会有苏感。别人还知道踩着你姐吹一个后脑勺有苏感，有些人是cp脑还是没见过男人？一天天磕磕，天天倒贴，还夸男帅女美，人家粉丝理你了吗？给你眼神了吗？别人知
1701411846# #任如意这么多年一直靠自己啥时候我们任如意老公姐才完全恢复内力
1704122742# #老登真小气，以后可隆不给你穿了
1691805902# #品牌找代言人本来就是根据代言人的形象才找的，春楠故意一次次破坏刘诗诗形象，不竭余力的给刘诗诗创造嘿词条，才是真正的毁商务
1701767445# #单扛大爆剧女主刘诗诗任如意和阿玛尼当季高定绝配天仙配！又美又大气打call
1695422387# #这是什么好饭
1698542862# #刘诗诗狐妖小红娘竹业篇刘诗诗东方淮竹生图直出（不能抹水印，搬运注明出处）
1701656154# #指数登顶，刘诗诗值得，任如意值得
1698831145# #这就戳中痛处了哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1699252664# #今天好美好美，身材绝了，天生衣架子。我天天反复横跳，前一秒这逆女，后一秒天啊怎么这么美泪泪泪，精神分裂了，尤其换化妆师后。
1700629213# #还有六天，一念就要抬上来了吧
1701747683# #王一栩是给🍋倒油好几次了吧笑cry，是会发柠难财的
1694129936# #如意宝的人设真的是内娱少有，太爱了，加上姐的脸更爱了好不好
1700900682# #看到对接的话了，刚雀跃起来的心凉了半截微笑
1694153029# #刘诗诗烦请大人在有路透黑图时及时维稳，我也不用花💰了还讨一片骂声。爱咋咋地，反正我职黑了，61一个208被嘲嘲又能怎样，我操那闲心干嘛。
1692098775# #排队扇一个爱你
1702102660# #一念关山加戏爱奇艺转发刘诗诗微博除了这次一念鼠⛰️，有人记得柠檬的大船录，还有把中国文化买给棒子这些丰功伟绩吗？
1694776418# #看得出i人在努力营业笑cry，还是想问问一念关山配音的事怎么样了
1694320483# #刘诗诗东方淮竹生视频直出，你生图直出我生视频直出，谁还没个生的挖鼻
1702064833# #你真是没劲透了，模棱两可的话真是进可攻退可守，你要人淡如菊你要体面人，实际上自己内耗得不行，我也要被你逼疯，精神分裂似的对你又爱又恨，还要为你难过。
1694528086# #幂幂有心了，生日还特意飞横店等一姐下班一起过，太爱了我说泪泪泪泪
1689594643# #妈耶好美
1701006955# #刘诗诗职黑为刘诗诗讨人情债欠债还钱天经地义
1691791826# #那说代言太太乐就是jq，造谣kono是ws产品怎么办呢哆啦A梦害怕
1694685856# #现代还是民国？
1701769796# #有点脑子，你能不能别搞这个话题？刘诗诗绽放的红玫瑰这个不行？
1693297669# #妆发这么好，应该不是春楠老师好
1697854191# #TheAtelier2023。。这条高定好漂亮好仙，内🐠还没人首穿，不知道谁先穿，不敢想象穿在一姐身上该多美泪
1692763682# #疯了，以后化妆也Olay包了吧老师好，太美了
1694139558# #稠到只剩嘴的人叫什么？叫"吜″，拍剧百分百扑街率，作为歌手又没有代表作且自居流量的人叫什么？叫"涢″。通常我把有这种特征的人叫"吜涢″
1695819685# #导演好懂她苦涩
1701487773# #一念关山任如意刘诗诗任如意知道很多粉丝讨厌官方角色号，但无论如何关注回去好不好，这都是任如意的数据苦涩
1696775547# #再转一次我们狐妖宇宙唯一单宣一番大女主@刘诗诗dogedogedogedoge
1703925134# #竹业不渝超话刘诗诗东方淮竹狐妖小红娘竹业篇偷偷放个🎄姐和🦖吻戏路透（不可搬运至其他衍生超🌸，其余搬至注出处不抺水印就行）
1698738774# #我去！！！
1694338950# #刘诗诗东方淮竹原视频直出，昨天的拉过亮度因为觉得光线暗
1700105766# #刘诗诗什么也没干，粉丝替她把品牌得罪完了。一个一面截图吹嘘引流，一面为了团队踩品牌，小丫头咋两副面孔，这时候不怕得罪品牌了。对接也是颠，直接出来打博主和品牌的脸，只有团队雷雨辰的脸是脸对吧，这只能坐实昨天是团队枸雷劝删的
1698217045# #一个36集的电视剧拍快一年，陪人ng几十遍磨镜头，单人官宣大女主是她应得的，有些老姜丝怕得罪男宝和秀粉唯唯诺诺不敢吹，连她拍这剧唯一益处也要抹杀送人
1701151810# #好土哈哈哈哈哈哈哈
1696421412# #刘诗诗东方淮竹刘诗诗狐妖小红娘竹业篇
1691189871# #吃了瓜，乌尔善真恶心又bt，拍以中国文华为背景的电影，却喜欢用混血，感觉用心险恶
1689123419# #这个造型好米送花花
1691982750# #有时间为你读诗，没时间为⛰️配音，刘诗诗是认为下嘿才是粉吗老师好
1695121949# #绿色系高定礼服系列。。一姐作为端水大师，除了红色是不是也应该安排个淮竹绿
1691237582# #tods品牌代言人刘诗诗送花花
1694526760# #少有的自拍，真好泪
1689241904# #赶紧去求合作，不行你去跪人门口
1701444152# #刘诗诗任如意战损好绝刘诗诗任如意老公姐别哭，好心疼，我永远不会骗你泪。（纯享版重发一遍，发现没有滤镜好看。）
1695528679# #刘诗诗东方淮竹刘诗诗生图直出，姐宝真美色色色。ps:搬运二创不能抹掉我的水印
1704433536# #北京！难道昨晚上看到的是真的！
1699087051# #Armani2010春夏高定。。这系列太美了，月光美人，5p国外已经有人首穿了，这件特美泪。已沾满我的口水谢谢，可以梦一个吗？
1704434396# #臭奈儿：好好好，别人废土朋克摇流叛逆，我这就是此生致力做优雅人妻
1701749470# #这张背影好好看，好仙
1702218733# #那柠檬老登就是最后一个喽开学季
1695723453# #刘诗诗六分钟一镜到底看完才反应是一镜到底，刘诗诗演技也太厉害了，游刃有余，短短六分钟就代入了剧情，狠狠共情了。
1703518503# #耗子药考古我们早期鼠鼠
1702907315# #刘诗诗，最好的任如意
1700881665# #这个mv是师徒线唉
1697420194# #淮竹这个身段打戏太好看了刘诗诗狐妖小红娘竹业篇刘诗诗东方淮竹威亚花絮，之前训练出现过
1698305726# #刘诗诗狐妖小红娘竹业篇刘诗诗东方淮竹动起来更米
1689227137# #大师合一姐工作室长期合作吧，您的妆容太美太高级了泪
1702983085# #🙏
1698303491# #刘诗诗狐妖小红娘竹业篇刘诗诗东方淮竹清丽佳人
1703591290# #这个实绩图好
1699327415# #看以往的封面我就猜应该不会差，果然没让我失望，我再等页内看看
1700790067# #生孩子前因交待了，台词至少没删没，后面继续对剧本监督可爱
1696425455# #刘诗诗东方淮竹刘诗诗狐妖小红娘竹业篇视频版
1703127903# #下次活动像图一这么穿！舔屏
1691666726# #刘诗诗行走的山茶花下家嘿:不用P可以直出的美图爱你，感谢春楠老铁送来的这套图
1692099885# #还在给小粉丝洗脑，吹四奢女帝尬不尬，冷板凳一个接个坐，还没感觉吗？只要有春楠狗雷在，现有都抓不住，没了迟早的事，看到时候吹什么。
1695378487# #一直担心化妆师，现在心放肚子里了，希望以后都这样，我姐真好看色
1701622301# #栩栩是知道在关键时候放图的，杀青特辑什么时候安排吃瓜
1694007082# #一姐真的好看
1689404754# #刘诗诗堕仙妆悲悯神佛
1701769091# #干活，把那个明捧暗踩的热搜下了，其他聪明的人别顺着说，全体夸阿玛尼
1691807904# #刘诗诗粉丝希望换掉春楠同样G杜拍的生图差距为什么这么大哆啦A梦害怕，是因为技术差距吗？春楠给人化妆之前能报个班吗哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1701698097# #明天一定要给我美美美，垃圾妆造趁早扔了，衣服别像上次那麽糟糕，求求你了明天美美的出场吧悲伤
1700736623# #真正祸国殃民的美人儿，不爱是傻瓜
1702732921# #这一刻任如意任辛角色升华起来，高光达到颠峰，我用财神爷发誓，今晚超好看
1700879830# #若曦公主抱玉檀Belike如意的女友力舔屏
1701768490# #刘诗诗绽放的红玫瑰有大花气质了，果然红气养人，现在整个人很自信，大气又舒展，大爆剧女绝配当季阿玛尼，刘诗诗值得任如意值得。(PS:不愧是阿玛尼的裙子，裁剪高级，刘诗诗穿着好美，真如暗夜绽放的玫瑰。
1691726429# #众筹给春楠报个化妆培训班知道你很爱，但他那种超级加辈充满姨感的妆容刘诗诗高攀不起，拜托你不要再霍霍她，行不行！！！！不走你自信文化倒闭！！！
1701314835# #登顶，刘诗诗厉害，我们任如意厉害
1699612367# #状态真好，奖励无缝进组吧doge
1702100000# #爱奇艺转发刘诗诗微博。。🥝:为了挽救史诗级崩塌，连夜想了个方案。。路人:诈骗！退钱！
1700879192# #任贤齐的最好听舔屏
1700828826# #再穿从头裹到脚不合身的丑衣服出来试试，不喜欢漏就别选胸口开岔的衣服，选了乱改别人设计像什么样子，又不是没有又好看又不漏的，明天大会还这样，就别去了
1692246960# #怎么忍心怪你犯了错，是我给你的自由过了火
1689223650# #全部最佳，好爱
1702012833# #呵
