1701737709# #赞
1694215430# #专家评卤味连锁品牌取名禽始皇【官方或认定违反社会主义公德】9月7日，广东广州。网友吐槽广州东站一卤味店取名“禽始皇”：“很震惊，这个玩笑并不好笑。”陕西省知识产权司法案例研究中心执行主任黄菁茹表示：“很多商家为了迅速打响品牌，会采取一些有噱头的做法，可能会被认定为违反社会主义道德
1701678378# #对滴
1697332417# #谁叫博主是大款允悲
1696816652# #心酸泪5岁女儿一遍遍喊妈妈女子看后连夜赶回【妈妈连夜开车10小时】10月7日，河南周口。假期结束女子出远门务工，5岁女儿回到家后，小心翼翼地喊了一句“妈妈”。见没有人回应，失望地坐下。有点不敢相信妈妈真的离开了，于是一遍又一遍地呼喊确认，场面令不少网友感到心酸。女孩母亲顾女士表示：
1694556904# #足球世界，留给中国队对抗的弱队已近大海捞针了……
1691537096# #这也行？吃惊抓狂监狱服刑人员视频会见APP收费引质疑【监狱：开发公司收取】8月7日，前律师李某爆料河北省的监狱采用了一款服刑人员与家属远程视频会见的手机应用，该应用每次缴费50元可通话20分钟的收费行为引发质疑。针对此事，保定监狱一名工作人员称，监狱面对面会见不收费，远程视频会见是
1691402092# #这个西瓜买的好，几乎没有公摊面积……郎摘新闻超话
1703381978# #95后妈妈年度歌单全是女儿的儿歌母爱是永恒的，不管风雨如何剥蚀，她总是完美无损、永不褪色。正如雨果所言:慈母的胳膊是慈爱构成的，孩子睡在里面怎能不甜？而这位90后妈妈手机里打开的歌单，则很好地佐证了这一点。心赞被95后妈妈的年度歌单暖到了
1702418520# #周海媚去世周海媚19～57岁荧幕形象记忆……蜡烛郎摘新闻超话
1698721632# #分享图片
1697668200# #国家统计局：我国人口数量虽有下降但质量改善速度更快
1689132215# #是这么回事么？疑问疑问疑问
1697773019# #一名埃塞俄比亚妇女在黎巴嫩当了30年女佣，支付儿子的学费，儿子想成为一名飞行员。她回国的时候，得到了一个惊喜：儿子是这架飞机的飞行员……郎摘新闻超话
1689028342# #高速上挎斗摩托车变道时翻车吃惊【目击者:幸好刹车及时】7月7日，河北承德，一辆挎斗摩托车在高速路上行驶时，变道导致翻车。据目击者介绍，摩托上的人受伤比较严重，幸好自己车辆刹车及时没有造成更大伤害。郎摘新闻超话
1695258899# #这片农田废了触目惊心，这片农田废了。视频：银川西夏300多亩农田变垃圾场，上面覆盖一层“好土”掩耳盗铃……郎摘新闻超话（来源：央视网）
1694358238# #这……男子抢劫156元分赃30元躲进山洞14年吃惊2009年，湖北恩施新塘乡男子刘某富伙同他人抢劫加油站，劫获156元现金和2部手机。当年一同作案的四人，只剩刘某富仍旧在逃，其他三人已全部缉拿归案。为躲避警方抓捕，他在大山里的一处溶洞中安下家，一待就是14年。2023年春节期间，在其家人苦口婆心地
1702611006# #这个值得人工点赞，脚踏实地、自己动手制作飞行自行车，有梦想有行动，棒棒哒拳头赞
1692065446# #小车坠河路过群众纷纷自发救援心赞近日，在四川甘孜，一辆小车不慎坠河，车上3人被困，路过群众纷纷自发赶去救援，最终，被困3人都被救出。网友：英雄就在我们身边。（都市现场）
1700549794# #转发微博
1695263329# #西安交大确认取消四六级学位证挂钩【消息属实，通过商议决定】9月21日，陕西西安。网传经学校2023年第五次本科生院院务会研究决定，学校不再将大学英语四六级考试、校内英语水平考试和校外其他各类英语考试是否参加及其考试成绩作为本科生毕业及学士学位授予条件。随
1701691596# #一对母子欲跳桥自尽，千钧一发之际，公交司机张志德果断飞扑施救……心赞郎摘新闻超话
1692697816# #赞
1689811966# #分享图片
1702645183# #话筒
1702250638# #这马大哈，媳妇抱着孩子还没上车，老公直接开车走了……二哈允悲郎摘新闻超话
1693882256# #吃惊抓狂
1698732420# #这啥人？上电梯从来不用手，莫非手残疾了？抓狂怒郎摘新闻超话
1691383097# #允悲
1693360586# #男子背着火箱做烧烤，顾客想在哪里吃，他就在哪里烤，既没有占道经营，也没有摆摊，这下让城管感到了困惑……允悲郎摘新闻超话
1696207871# #这人开车太放肆，终身禁驾都不为过……郎摘新闻超话
1702334509# #这……允悲允悲允悲
1690378256# #唉！
1692332929# #一司机等红绿灯，怎么也想不到，竟等来了从天而降的横祸，但值得庆幸的是，司机只是与死神擦肩而过……汗汗汗🙏🙏🙏郎摘新闻超话
1699095615# #李佳琦招商专员收好处费超百万近日，上海市高级人民法院官网公布了一则刑事判决书。根据检察院其中一条指控：94年出生的周某系原美腕网络科技有限公司招商专员，在任职招商专员期间利用其职务便利，为广州某公司与美腕公司之间的业务往来提供商品选送、直播排期等帮助，并多次收受某公司好处费共计10
1701131036# #作揖
1696988668# #这道歉，貌时心不甘情不愿。还好，官方在一天之内发了两则情况通报，也算处理及时。郎摘新闻超话
1699349297# #国货警械，够硬核赞最硬核的国货购物车
1699407281# #赞
1690374261# #女儿含泪控诉自己的亲妈：把自己辛苦赚的10万块钱，骗去给哥哥买房交了首付……视频转自网络郎摘新闻超话
1700566556# #假僧人诱奸14名女性3人未成年被判无期报道说:魏刚还将洮南市原副市长蔡景晨、洮南市发改局原局长张文举等个别地方官员收为弟子，这些地方官员当众跪拜魏刚，称其为“爷”……这，都什么官员！吃惊怒
1694500511# #天，还有这样的家长？太可怕了……吃惊衰郎摘新闻超话
1703316143# #朱令去世铊中毒受害者朱令去世，其父亲曾接受媒体采访发声，“你有什么办法？比不明不白好多了吧，清清楚楚。”郎摘新闻超话（视频来源凤凰周刊）
1693526524# #V+粉丝福利聚惠除了老粉福利，给首次订阅我的粉丝也准备了V+见面礼，新粉订阅我除了领最高8元返现红包外，可以再领2个现金红包，最高奖8888元，额外多1次抽红包机会，多1份好运，点击下方卡片，欢迎来到我的V+↓↓↓
1702127485# #赞
1701214489# #山西花859万采购防返贫监测项目【官方回应：合法合规】11月28日，山西省乡村振兴局工作人员回应极目新闻记者称，该项目经过立项论证，“所有的程序都走了，都是合法合规的”。
1692572407# #吃惊抓狂
1694095342# #男子过马路突然加速小跑，被疾驰而来的保时捷撞飞数米远，当场死亡……郎摘新闻超话
1691470057# #知名网红疑被前任闺蜜偷家近日，湖北（发布）。知名网红天赐称，家里被前女友闺蜜闯入并拿走东西，而原本很多东西并不属于她，并已经报警处理。前任罗晓（罗可佳）回应：积极配合调查，一切以警方结论为主。郎摘新闻超话
1694062201# #老人骑电动车去饭店敲锣乞讨吃惊抓狂据星视频9月2日，江苏泰州，在一家餐馆内，老板和一名乞讨老人发生言语争执。老板称给他两块钱还不走，在店里一直敲锣。老板让乞讨老人离开，老人不愿意离开，老板表示再不走就报警，老人却说报警也不怕。事后老板回应称，前几天老人来给了几块零钱，今天又
1700353444# #支持耶
1695960406# #男子因爱国冲上舞台打奥特曼吃惊抓狂【影城：被警察带走】据9月28日，浙江湖州。长兴大剧院影城，一男子冲上舞台打奥特曼，被工作人员控制。29日，影城工作人员称，男子应该是觉得奥特曼是日本的，有爱国情怀，后续警察带走了。演出多次第一次遇见这种情况，也被吓到了。
1700630343# #看着都疼……吃惊抓狂郎摘新闻超话
1699487421# #三千？要我说，还真该取消该生贫困生的资格！吃惊
1690633430# #关注🙏北京此次降雨或突破历史极值【曾12次受台风影响】7月29日，北京市气象台首席预报员赵玮介绍，有气象记录以来，共有12次台风给北京地区带来明显的风雨影响，影响最大的台风是1956年的5612号台风“温黛”，观象台的最大降雨量达到249.1毫米，达到非常极端的降水程度。针对此次台风“杜苏芮”
1690095733# #男子凌晨四点醉停高速：“我遵纪守法”允悲允悲允悲7月12日，杭长高速江西余干段。凌晨4时许，民警在高速上例行巡逻时，发现一辆小车压线停在应急车道，而司机陈某正在车上休息。被叫醒后，陈某称因为车辆故障才停车，可民警却闻到其身上有明显酒味。陈某一开始还想蒙混过关，称自己“我是遵纪守
1702822341# #天寒地冻，可得小心用火用电了话筒
1694090887# #开锁广告居然贴到门内来了，房主大惑不解，于是报警，这点，必须支持房主（图片来自网络）赞
1692670734# #好象是这个理……
1698232940# #真的？假的？高才通计划内地十一所高校直接取得香港身份……郎摘新闻超话
1695011073# #网友：在民政局大厅，女子办完离婚手续后，挥舞着手中的离婚证，并大声欢呼：“离婚了，离婚快乐”……允悲允悲允悲郎摘新闻超话
1688970145# #这……允悲允悲允悲
1696650767# #分享图片
1692800673# #谢谢作揖
1696909168# #北极鲶鱼的爷爷被开除党籍家里存款9位数，孙女炫富坑爷爷，结果来了
1689843651# #颜值歧视，估计是匹公马……嘻嘻允悲郎摘新闻超话
1692874487# #大妈超市狂薅免费打包绳见羊毛就薅！大妈超市内狂薅免费打包绳，拍摄者：老人为贪小便宜缠了一卷又一卷……吃惊抓狂郎摘新闻超话
1692104873# #江苏警方通报女子被分尸如此暴力犯罪，实在令人发指，终归天网恢恢疏而不漏，作恶逃不脱法律制裁！拳头
1698479652# #伤心
1691059877# #男子在长沙巷子内观察俩月发现，每天晚上都有人偷挖地沟油，忍不住怒骂：良心呢？丧尽天良啊！怒郎摘新闻超话
1691134879# #为拍美照，老人竟坐到万丈悬崖边的树上凹造型......吃惊抓狂郎摘新闻超话
1699051403# #分享图片
1695857401# #朝鲜决定驱逐非法入境的美国士兵嘿嘿，还以为自己从此有个超国民待遇，结果失算了，人家也不收破烂……
1700609990# #转发微博
1699223449# #【微博会员双十一全场3折起】WOW！我领到了稀缺装扮盲盒*2，评论弹幕卡*2！免费会员礼包，签到即领，快来领微博会员发财鸭↓
1688971738# #官方回应垃圾桶里捡到人头吓人，关注中……
1691552474# #这个如属实，建议报警……
1689491891# #抓狂
1692922781# #外媒：8月27日到期，美拟将《中美科技合作协定》延长半年郎摘新闻超话
1703231694# #分享图片
1701134647# #不仅仅是年轻人，非特殊情况，谁愿意加班呢？
1691838761# #郑州烧烤馋嘴馋嘴馋嘴
1691462481# #据说喜马拉雅山上的灵猴花开了，二十年才开一次，个个如活灵活现的小灵猴，大千世界真是无奇不有！（图片来自网络，未经证实）
1701767463# #银行员工举报被领导施压发生性关系这人太坏了，利用职务之便胁迫女下属发生性关系，亦是违背妇女意识，无异于强奸！一旦查实，不妨让他进去吃几年免费饭……
1689317117# #全国吃冰指数地图出炉今年感觉出奇的热，白天都不敢出门，估计吃点冰，降降温，那感觉自然是好，但冰也不宜多吃哦。
1703490886# #以健身为出发点踢球，值得提倡，但不宜剧烈运动。
1696409850# #环卫大叔潜水帮捞女子掉河手机女子手机不慎掉落河里，环卫大叔潜水帮忙捞了上来，在水里泡了20多分钟的手机依然完好无损。事后，女子给钱为表谢意，被大爷拒收……赞郎摘新闻超话
1698738031# #美国飞虎队百岁老兵登长城北京时间10月29日中午，102岁的美国飞虎队老兵莫耶飞抵北京，当天下午登上北京八达岭长城，在题有“不到长城非好汉”的好汉碑前留影。抗日战争中，美国“飞虎队”不远万里来到中国与中国人民并肩作战，冒险开辟驼峰航线，为支援中国人民抗战做出了重要贡献。郎摘新闻超话
1691993228# #这……吃惊抓狂父母急回老家将2岁孩子留在宾馆近日，刘先生一家3口在江苏太仓旅游，晚上接到河南老家打来的电话，称岳父因突发心脏病被送到医院抢救，刘先生的妻子心急如焚，而2岁女儿在宾馆又睡的正香，考虑到回河南路途遥远，二人决定将孩子留在宾馆房间，刘先生先驾车将妻子送回老家再回来接
1692606727# #真的？假的？貌似有点道道允悲允悲允悲
1695351459# #昨天，以色列国防军的一名20岁女兵亚姆·梅西卡在内坦亚火车站的站台上候车时突发眩晕，身体失控跌入铁道，结果此时恰好开来一列火车把她给夹走……（转自网络）郎摘新闻超话
1698382063# #允悲
1703920706# #这个过程不但治愈了自己，而且能给别人带来快乐和温暖，真好心赞
1697196236# #成都一学生被同学强迫吸氨气病危吃惊吃惊吃惊【家长：此前曾被拉入厕所霸凌】10月13日，四川成都崇州市廖家中学一学生家长称其孩子在学校被高年级同学要求吸入氨气，致其当场晕厥入院救治，医院当日下达了病重通知。王先生称自己的儿子13岁上初二，该校一名初三同学刚上完化学课，将装有氨气
1702871487# #马国川：人们只去关心法律，少关心什么政策释放的信号，我们社会就正常了……郎摘新闻超话
1690084543# #少年脚踩箩筐行走而箩筐不翻赞赞赞7月20日，在广东，一位少年脚踩箩筐练功，只见他稳稳地从低桩转移到箩筐上，沿着箩筐边缘走圈，而箩筐不翻，再转移到下一个箩筐继续练……郎摘新闻超话
1692522204# #真是过分……怒
1699941608# #分享图片
1698232658# #允悲
1703851877# #刘强东内网回应跨年晚会送车刘总此举可真是豪放，既提醒大家要以用户为出发点，还亲自拿出最喜欢的猛士越野车作为互动奖品，为湖南卫视跨年晚会加码助力。窃以为，通过送车，可在一定程度上密切企业与消息者关系、提升企业的整体形象和综合实力。希望新的一年，大伙都能在京东感受到更棒棒的体验。
1689121341# #7月10日，河南信阳。男童推购物车不小心碰到老人，老人强烈要求去医院检查。男孩被吓得瑟瑟发抖，保安大叔调出监控，为其伸张正义！老人被男孩碰到坚持要去医院做检查
1703908863# #女子一只手抱着孩子一只手捂着脸，在地铁口处被丈夫拳打。网友：隔着屏幕都能感觉到气愤！怒郎摘新闻超话
1694596662# #这东西影响了什么？（转）疑问疑问疑问
1703641513# #95后过冬向单人火锅屈服了火锅，本是一种热闹的聚餐方式，亲朋好友围坐在一起，共享美食和欢笑，从这意义上讲，单人火锅或许令人有些孤独，但即使在这种孤独的情境中，火锅依然是一种美食，它的香气四溢，让人垂涎欲滴，每一口都是对生活的热爱和享受。馋嘴耶
1701482402# #安徽一医院超收患者21万医疗费我能说，这收费太恶毒了么？关键是，如此恶毒收费，一般人还发现不了……怒抓狂
1702960860# #你知道吗？坐着也能减肥，“抖”脚后跟，脂肪代谢翻倍……允悲话筒
1691197753# #鉴于此，各位家里和手头一定要备点现金，否则危难来临，基本上干着急。其实，现行支付貌似方便，却无任何隐私可言……
1689222493# #吃惊
1691538098# #脑洞必须大开……
1689680600# #报复了个寂寞……
1699593787# #百盏路灯，温暖孩子们求学路，温馨、贴心、暖心！心赞
1703816814# #钟南山称未代言任何产品27日，钟南山表示，他从未为任何商家包括电商代言、推荐过任何产品。同时，他认为，违法使用他人肖像做商业用途代言和推荐宣传，也会对消费者产生误导，侵害消费者的合法权益。钟南山院士团队的委托律师表示，已向平台发送律师函，正在维权。郎摘新闻超话（央广网）
1702537162# #副局长被儿子举报出轨待遇降为一级科员今年8月，湖南邵阳一公职人员被儿子举报出轨，并举证其公费私用。9月7日，邵阳市应急管理局回应，当事人肖某已被停职，警方立案调查。事发近4个月后，记者从邵阳市应急管理局政务科获悉，肖某此前职务为副局长，目前已被撤职，工资待遇降为一级科员。
1690255534# #分享图片
1690279900# #估计摊主心儿会美滋滋的……允悲允悲允悲小伙被嘲笑买不起泡面一怒之下全包圆据7月24日，山东临沂。小伙在夜市摊质疑14元泡面贵被骂滚，850元买下全部泡面摔掉。小伙表示，当时他过去吃饭问泡面价钱，摊主告知14元，他觉得太贵了，就被重复骂吃不起就滚，随后他就付钱全买了
1697358919# #允悲
1694594435# #iPhone15Pro价格999美元起看来，我还得继续努力，否则，真的买不起允悲
1692017207# #楼上住户嫌楼下烧烤店扰民，直接从楼上往下扔东西……吃惊抓狂郎摘新闻超话
1690061334# #男子含着蟑螂下馆子敲诈商家被拘最近，北京一家餐饮店中的食客吃出了蟑螂却拒绝商家免单，而是转头电话通知商家要求10倍赔偿。商家先是转账千元，又应男子要求买了一条中华烟。商家将情况反应给当地派出所，民警在走访中发现已有多家餐饮店“中招”。民警将该男子抓获，并在他的随身物品中发现了一
1695515783# #核酸大王张核子进军预制菜原来是真的，原以为只是调侃……郎摘新闻超话
1696155684# #双手置于头顶，作比心状允悲
1690277597# #高考过后，父亲带儿女卖瓜挣学费。风餐露宿，一日两餐，儿子的一番话让人泪目……郎摘新闻超话
1692889430# #大妈霸占篮球场跳广场舞，打球男生造大妈使用工具驱赶，最后一幕尴尬无比。网友：要是摔出问题小伙子要负责任吗？疑问郎摘新闻超话
1689766062# #这……（转）吃惊抓狂郎摘新闻超话
1697113801# #厉害了赞东北女孩与博主对诗惊艳众人近日，西安大唐不夜城。诗词互动博主小陕西随机与路人对诗，没想到偶遇东北“杨贵妃”，小姐姐全程对答如流，可谓是腹有诗书气自华。郎摘新闻超话（视频来源：小陕西）
1703817378# #走遍千山万水，只画一座城心赞
1698921432# #恐惧怒遭家暴16次女子公开挂粪袋造口画面【排一次皮肤就腐蚀一次】11月1日，四川成都2年遭家暴16次当事人谢女士，首次公开终身需挂粪袋造口处画面，会不自主冒出粪液。为保持造口处干净避免造成二次感染风险，谢女士每天需不断重复擦拭消毒，一旦不及时清理造口处的排泄物，就会导致皮肤被腐蚀，并
1700274852# #这……伤心
1691764424# #大爷高铁上戴耳机喝白酒全程安静【一大爷在北京开往合肥的高铁上戴耳机喝白酒全程安静，拍摄者：这素质打败了很多人】8月11日，北京开往合肥的高铁上，一位大爷戴耳机喝白酒，边吃边喝全程安安静静。拍摄者程先生称，第一次看到有人在高铁上喝酒，并没有影响到其他人，感觉大爷很有素质。
1691447168# #允悲
1695822485# #真的？假的？……吃惊允悲
1700891221# #必须好好整治低俗直播！
1691905090# #这女娃，霹雳舞跳的好酷，让我等有回到三十年前的感觉……赞郎摘新闻超话
1690841064# #必须！
1703324614# #核雕是个技术活，有这成就了不得赞
1695292842# #小偷坚信早晚会出事总在中午作案二哈【还是被抓了】近日，江西新余。袁河公安刑侦大队接到辖区某企业保安报警称，厂区内疑似有人盗窃电缆。接警后，民警迅速当场抓获两名嫌疑人，当民警看到其中一名嫌疑人时彻底惊讶。发现此人正是之前“干事趁中午”的刘某某，他刚从拘留所出来又跑来盗窃。经询问
1690629014# #话筒
1696115486# #分享图片
1692012516# #吃过几回，真的不错赞馋嘴
1689989242# #陈氏太极拳看起来真美，下盘很稳！赞赞赞
1697888073# #转发微博
1693569165# #这是骗年轻人去送外卖的吧？据说系摆拍，原创视频博主道歉……
1692013494# #51岁涿州瘫痪男子家中溺亡伤心【七旬父母多次求救无果：手机无信号，救援队翻船】据8月8日，河北保定。涿州刁四村藏永中告诉记者，其51岁的残疾儿子藏君，在8月1日水灾中溺亡。悲剧发生前其多次求救，但是当时水位上涨加上，夜间停电，藏君父母难以外出喊人，打电话求援时电话也难
1693700642# #这……吃惊抓狂允悲
1693384602# #4月大婴儿被高空扔烟头烫伤脖子【孩子妈妈：报警后排查没人承认怒】8月25日，河南郑州。李女士带着四个月大的女儿在楼下玩耍，孩子突然大哭，随后李女士从女儿脖子里翻出来一个烟头，孩子脖子被烫伤。因为最近天热，加上孩子肉贴合比较紧，烫伤部位化脓感染，还伴有发烧的症状。李女士称事后联系物
1697539217# #这……在下工作几十年，曾临无数酒席，当然也遭遇无数大小领导劝酒、“敬”酒、乃至罚酒，楞是坚持下来滴酒不沾，虽不利“进步”，倒也无大损……允悲
1703396701# #必须滴……拳头
1693036120# #允悲
1690236818# #这是一起严重的人祸
1703720550# #女子后背被地铁门夹得嗷嗷大哭，男乘客边录视频边打开紧急装置……地铁停了，女子被送去医院。汗郎摘新闻超话
1694600698# #傍晚休闲……
1692140401# #印度股市创历史新高，中国专家担忧:印经济对外依赖严重
1694686131# #赞
1703149390# #爱因斯坦医学院回应爱因斯坦大脑热销这说明，知识的大脑永远令人尊重，据目前的研究发现，爱因斯坦大脑的某些部位神经胶质细胞的比例高于普通男性大脑。ThomasStolzHarvey，病理学家，爱因斯坦大脑的解剖者之一，1955年4月18日上午8:00在新泽西州普林斯顿的普林斯顿医院进行，Harvey博士一行称重
1697166160# #允悲
1697002940# #这个有点厉害，有热爱才有动力赞
1689464676# #男子把路虎停在马路中间，别人过不去他还一脸无所谓……抓狂怒郎摘新闻超话
1701870842# #这个……这个……这个……
1702289234# #阿根廷总统米莱就职首日签署法令，内阁由18个部被砍至9个。
1691486142# #抓狂
1696068760# #女子点燃店内装饰物瞬间引发大火吃惊据9月29日，山西太原，火锅店内一女子用打火机点燃店内装饰物，不料火势突然失控，将整个墙面的装饰物全部引燃。女子瞬间慌神，收拾物品准备离开，旁边一人拿桌上的饮用水灭火也无济于事。好在有其他工作人员及时赶到将火扑灭。郎摘新闻超话
1693796275# #唉，多少事都是虎头蛇尾！
1692624992# #深圳一跆拳道馆在韩表演僵尸跆舞被罚丑化民族形象，亵渎中国文化。据北京青年报：8月21日，针对深圳“X-跆拳道馆”赴韩表演“僵尸跆舞”，中国跆拳道协会公布处罚决定。公告称，该跆拳道馆自行报名赴韩参加2023世界跆拳道大赛，教练刘某根据恐怖电影，自编自导“僵尸跆舞”参赛。该表演宣扬遗风陋习
1691499931# #要是没有旁边这位大哥，这孩子估计够呛了！可这当妈的好像根本没当回事儿，也没让孩子道个谢，直接领走……吃惊费解郎摘新闻超话
