1559516941# #跑跑更健康！作揖
1560610914# #父亲节阿林夜话阿林哥话公益当儿子长大了那刻起，便每年在父亲节收到一份暖心的节日礼物。而今年，不但收到儿子的一份点燃希望的礼物……打火机，而且还收到了儿媳那一份充满孝道的礼物……冰丝丅恤套装！浓浓的敬意，满满的幸福！心耶赞抱抱。祝天下父亲:节日快乐！心耶男孩儿
1560595896# #转发微博
1556151529# #感谢来海宁传经送宝！心耶
1558750767# #转发微博
1539786365# #转发微博
1541395309# #转发微博
1551753297# #转发微博
1539484896# #伸以援手，以爱救人！。919爱心基金账号：8110801014200025703。支付宝账户：账户：zjhncszh定向捐赠彭霜
1550060622# #赞赞赞赞赞
1558190458# #心赞
1588345378# #来自天目新闻客户端
1562676429# #转发微博
1559517138# #并不简单
1562252068# #转发微博
1655421055# #以案说法唐山打人事件是对法治社会赤裸裸的挑衅阿林视界公安部门正抓捕唐山打人事件嫌疑人
1559015601# #转发微博
1682722495# #为像陈议员的香港青年们点赞！赞赞赞
1540512304# #我们不影响工作，不影响家庭生活，不影响个人身体健康。做好自己，影响他人，快乐做公益。耶耶耶哈哈哈哈哈哈
1539559215# #分享我的故事
1548995461# #转发微博
1567253221# #@海宁义工大义代
1560258019# #转发微博
1614182404# #对的“许多人都来付出一点点”的慈善理念表示赞同！赞赞赞
1641270116# #就是，我看了就不像咯！
1533981202# #转发微博
1558190179# #【中华耀国威·少年军营行】
1673967904# #退伍不退色！军魂威武！赞
1559516805# #转发微博
1694161798# #植物干细胞⚠️⚠️⚠️。在‮生养‬面前，‮很你‬高傲🌝。在‮生医‬面前，你‮卑很‬微🌛。一‮养说‬生，‮钱有‬也没钱🤷🏻。一‮医进‬院，‮钱没‬都‮钱借‬‎🤕。‎‮立树‬健康观念，享受健康生活！鲜花心给力。健康生活健康养生
1642330359# #阿林哥话公益共同富裕每日一善联合党支部组织支部全体党员、入党积极分子三十余人前往袁花镇长啸村开展以“探寻共同富裕新模式”为主题的党日活动！
1554215438# #转发微博
1580603551# #转发微博
1537144241# #我在签到领红包打卡啦！每日签到领红包，签到越多红包越大，还有各种限时奖励，快来一起领吧！错过一天都可惜哦~
1537494427# #允悲
1683121801# #致敬们！作揖作揖作揖
1577277003# #来自天目新闻客户端
1569363238# #转发微博，赞新中国第一座自主建造的长江大桥！
1554042271# #家人们，辛苦了心作揖
1562761201# #转发微博
1641254655# #适意！赞赞赞
1659858265# #转发微博
1641270302# #美食分享一碗咸菜鸡🐔块面要40元，🈶点小贵。不是吗？疑问
1536827242# #阿林哥话公益中国共产党人依靠学习走到了今天，也必然要依靠学习走向未来！赞
1589843431# #【预售20天内发货】玻尿酸补水面膜25片。凝粹多重玻尿酸急救补水滋养。。原价：💰139元。淘小铺价：💰59元。。$7JCc1KpOTe2$长按拷贝
1694384363# #㊗️贺鼓掌鼓掌鼓掌
1559342214# #转发微博
1567130188# #阿林晨语家是人生的乐园，家是幸福的港湾。家是亲情的纽带，家是快乐的源泉。家是精神的支柱，家是情感的归宿。家是困难的依托，家是真情的殿堂。。鲜花心耶
1580003964# #转发微博
1550362631# #转发微博
1570417086# #汤总，我不知道最近身体不好，未能来看你，今惊闻你的离去，实是遗憾！愿汤总一路走好！🙏🙏🙏
1540511613# #微博头条阿林哥话公益前天中午，中宣部副部长、国务院新闻办公室主任蒋建国一行，来到海宁开展新时代文明实践工作的调研。在省市领导的陪同下，蒋副部长参观了南关厢素食馆，并以此公益项目为蓝本，对文明实践中的志愿服务作了深度调研。。　　蒋副部长认真听取了海宁市义
1673912678# #比较恑异！
1668123816# #好漂亮赞
1538007191# #阿林哥话公益赞赞赞
1694385271# #阿林视角植物干细胞见证见证的力量！健康养生每日一善
1536297682# #阿林哥话公益微博头条【最新消息】。今天上午，党支部书记吴沈林、海宁市素食文化交流中心（）董事长陈建龙、理事卢小弟等随同市府沈勤丽副市长、市红十字会夏国良常务副会长一行来到杭州省中医院看望和慰问了正在进行造血干细胞捐献的海宁紫薇律师事务所律师马
1572819139# #还有这规定呀！头回听说！思考
1558655222# #沙雕好友摄影大赛宝宝的少女心
1668124583# #开箱VLOGVLOG生活季微博热门影集助农新体验！
1544028211# #自己猜，他们在做啥？思考思考思考
1669551662# #赞赞赞
1536065637# #阿林哥话公益阿林视界“给你的声音安个家”……《为海宁写首歌》全城启幕暨壹歌传媒开业盛典在朗豪大酒店举行！赞哈哈围观微风微风话筒话筒话筒
1538006902# #赞赞赞
1556151438# #互相学习一起成长心
1562676248# #转发微博
1562761067# #加油！孩子们！你们是最棒的。赞赞赞
1578438523# #赞赞赞吃饭也是做公益！
1566305207# #心赞
1561372610# #阿林视界阿林夜话看看现在的共享汽车。用句佛家的话说:罪过！老师们怎么看？思考思考思考
1552029570# #热烈欢迎老师来海宁观光和公益，因为我们创立的倡导“吃饭也是做公益”的新理念。心赞哈哈
1682720910# #这个不错，我也买了一个，蛮灵光！赞赞赞
1587725448# #耶耶耶
1652048127# #祝妈妈们：节日快乐！鲜花哈哈
1682722173# #叶局辛苦了！鲜花作揖
1546499082# #转发微博
1541395257# #阿林视界中国航天东方红生物科技，作为国家2030规划纲要《健康中国》的开路先锋！将空间搭载成果造福亿万百姓天天东方红，日日太阳升哈哈耶围观威武
1558750295# #转发微博
1534592263# #阿林哥话公益微博头条阿林视界《传习慈善文化共建公益潮城》慈善艺术团盐官度假区专场巡演正在进行中……！让爱传递，让慈善温暖你我！心鲜花心鲜花心
1587725654# #哈哈！海宁要建机场啦！赞耶鲜花
1550397921# #转发微博
1588343440# #【爆款】广西北部湾海鸭蛋20枚*70g咸香流油咸鸭蛋。。价格：💰33.9
1570458719# #牵手夕阳红，关爱长辈情！心
1659947670# #理解，包容！是该体现人本善的人性了！
1694226355# #请使用目前世界最尖端的“植物干细胞活性分离技术”产品……植物干细胞人参饮液！半年后可完全康复！赞给力
1556750040# #吃饭也是做公益！心赞
1538057779# #转发微博
1570458734# #转发微博
1539481246# #微博头条阿林哥话公益火灾无情人有情 爱心接力暖人心。 。10月4日17:40左右，因液化天然气泄漏引起的火灾事故，让新海宁人唐海林一家陷入了困境，妻子燕永侠全身烧伤面积有20%左右，手上比较严重，达到深2度到3度烧伤，脚上是比较浅的深2度，正在市人民医院进行治疗。女儿彭霜烧伤特别严重，除了
1559015588# #转发微博
1567981802# #赞赞赞赞赞
1566132177# #转发微博
1565674328# #转发微博
1538359431# #祖国万岁！赞赞赞
1539524383# #阿林哥话公益微博头条长安组旧衣服回收利用公益活动，历时四天后圆满落幕。这次的旧衣服回收利用公益活动，共回收旧衣服及布制物品约二十多吨，为城市垃圾减量作出了一份努力。赞赞赞围观围观围观
1562235582# #感谢你为美丽海宁出力！心赞啊赞
1558750692# #赞
1559516996# #有人说，兔子应该继续低调；但长这么肥，要低调也难那。
1556151648# #庞大的海宁义工队伍
1550398154# #感谢大家对公益活动的支持和帮助！心
1540511803# #让我们一起在新环境中筑起同心，用新关爱去暖人心。心
1564793843# #阿林视界阿林晨语海宁的天，海宁的路……鲜花心赞赞啊猜猜这是哪？疑问疑问疑问
1588343471# #【超级爆款】顶诺澳洲家庭牛排10份套餐。澳洲肉源鲜嫩多汁。。价格：💰129
1569362520# #赞赞赞
1587736018# #阿林哥特惠淘小铺。欢迎光临我的小店~本《阿林哥特惠淘小铺》专为我的铁粉们提供的各类精选特惠商品！特惠商品100%正牌货！
1660012043# #不会。抓狂
1558190147# #吃惊吃惊
1589811130# #海宁义工联合党支部“党员志愿服务队”好样的！赞赞赞
1538360038# #转发微博
1643621278# #集虎卡开福运开年惊喜~我收到了送我的好运虎卡，距福运红包又进一步！太开心集齐6种虎卡，除夕开奖100%赢现金红包！最高2022元！快戳>>
1679178199# #啥情况？
1561373556# #贪念在作怪。俗话说:可怜之人，必有可恨之处。
1673968290# #这就是风俗！哈哈
1564972167# #就在这一刻阿林视界。五星红旗，。您是我的骄傲；。五星红旗，。您是我的自傲！
1588018303# #现在，的成立，将对海宁乃至于全国社会组织的培育和发展注入新的能量！可喜可贺！鼓掌鼓掌鼓掌同时也请等老师们对基金会官微运营的大力关注、指导和支持！作揖抱抱心
1630021173# #阿林视界致敬英雄今天的安宁和富硕，离不开先烈和英雄们的舍身付出。向英雄们致敬！作揖心抱抱鲜花
1673968772# #创作者年报天啊噜，2022年我创作总字数累计1545字，相当于写了2篇高考作文！感谢坚持创作光芒照亮你我~2023年一起继续加油吧~
1554042293# #转发微博
1689409077# #灵光赞赞赞
1683122461# #吓死人了笑cry笑cry笑cry
1619997066# #阜阳是个美丽的地方，民风纯朴，虽然已是15年前去时的影像。心抱抱
1539526719# #点亮志愿者超话阿林哥话公益微博头条关爱留守儿童！心围观
1635908066# #这个宣传不错！有趣，有意，有内函！赞赞赞
1655421627# #向英雄致敬！作揖作揖作揖
1642318765# #2022新年焕新季阿林视界2022新年快乐用不了几天，你就会有一次大运……哈哈鲜花赞
1559403305# #不错心作揖
1537754195# #我在签到领红包打卡啦！每日签到领红包，签到越多红包越大，还有各种限时奖励，快来一起领吧！错过一天都可惜哦~
1540167849# #心围观
1673914073# #太幸福了哈哈
1577060270# #转发微博
1555886651# #赞赞赞
1641169584# #是啊！生命面前，一切的努力都是值得的。疫情防控，人人🈶责！
1558655259# #转发微博
1565006354# #转发微博
1561008461# #转发微博
1560610985# #好！耶
1558282326# #赞赞
1694384728# #阿林视角植物干细胞健康养生神奇的“细胞大战”！
1642406024# #2022新年焕新季阿林视界走心视频猜猜谁会贏？
1666536658# #好事啊！看来有关部门应该是要对该组织好好奖励才是啊！赞
1537663291# #我在签到领红包打卡啦！每日签到领红包，签到越多红包越大，还有各种限时奖励，快来一起领吧！错过一天都可惜哦~
1642331103# #拘得好！法治社会的今天，就是要用法律解决一切事情！赞
1668123762# #海宁下雨☔️哈哈
1591399097# #海宁市委书记朱建军、嵊泗县县委书记方敏等领导一行来到南关厢素食馆调研“公益造血-海宁模式”！并鼓励大家继续创新公益项目！
1546499031# #从小建立良好的沟通模式
1679546353# #鼓掌鼓掌鼓掌
1544919719# #小三反腐？思考
1541667803# #阿林哥话公益给孩子让个路，文明出行心耶
1557664031# #赞赞大家一起关注微信公众号:南关厢素食馆，参与投票评选！作揖作揖作揖
1588345456# #来自天目新闻客户端
1642773354# #阿林视界每日一善在广场开展“情暖海宁爱在邻里”新年祈福公益活动！鲜花赞
1679583186# #漂亮赞赞赞
1535875559# #感恩蠢哥记起！心抱抱
1570458764# #赞赞赞
1582989334# #新义代们！你们棒棒的！赞赞赞
1570458945# #新中国成立70周年我是中国fans锦绣河山千万里，官方粉丝十四亿～我为祖国骄傲，我是No.001788930中国fans！
1559342126# #转发微博
1694226483# #微博头像挂件我正在使用“国旗”头像挂件。即刻换装中国红，为祖国庆生！
1536307448# #转发微博
1537754491# #中秋快乐！抱抱心
1536504534# #我在签到领红包打卡啦！每日签到领红包，签到越多红包越大，还有各种限时奖励，快来一起领吧！错过一天都可惜哦~
1559604253# #垃圾分一分，环境美十分！人人参与垃圾分类。耶耶耶
1562235625# #转发微博
1553900257# #好样的。点个赞🌷🌷🌷
1689408906# #萌宠的日常中国速度从中国高铁建设，看中国速度！赞赞赞
1538650463# #转发微博
1669551530# #携手共进、共创、共建、共享公益好生态！鲜花赞
1558655095# #围观有风险。话筒话筒话筒
1555540051# #赞赞赞
1652134567# #祝全天下的母亲节日快乐鲜花萌虎贴贴
1694384128# #@告别白殿风
1537753990# #阿林哥话公益中秋快乐！哈哈哈哈哈哈
1587990146# #今天的传经送宝给海宁社发基金会注入了新的能量！
1641621947# #种草打卡微博视频号打卡计划
1641254267# #应该不是忘了，而是🈶意丢了。二人吵架了！疑问
1547977823# #转发微博
1642317882# #日行一善2022新年焕新季超能新星汇携手赞山社区志愿者与社区老人共同祈福新年的美好！共同富裕看浙里
1652097991# #情感语录萌娃养成记萌娃闻曲起舞！哈哈哈哈哈哈
1559341763# #太可怕了！转湾处，就是亡命角。吃惊吃惊
1542551542# #阿林哥话公益今天，海宁义工西片区近一百多位义工，冒雨来到莫干山沈园户外拓展基地进行“团建“活动，本次户外拓展团建活动的主题是“团队一起，成就更好”，活动目的是通过一系列合作活动实现团队破冰，提升团队的凝聚力，培养和增强团队协作精神和意识，增强团队成员的责任感和担当意识。。此次活
1694384588# #阿林视角永远不要理会装睡的人！偷笑偷笑偷笑
1563514317# #转发微博
1537754056# #赞同！拳头拳头
1562289515# #有意思。吃惊吃惊吃惊
1635555828# #@张开的喇叭花
1587599139# #新鲜枇杷果五星甜果酸甜可口2斤。价格：💰48.8。活动价：💰38.06
1566132278# #祖国的未来！
1541395439# #转发微博
1628865353# #阿林视界党员正确佩戴党员徽章是每个共产党员的基本规范。
1535875494# #阿林视界今天逛洛塘河，突然发现石塘上有此红色小巢，五十几年生活在此，从未发现此巢。不知哪位生物专家可见否？
1538650458# #转发微博
1551028366# #转发微博
1554682525# #拳头
1580603601# #转发微博
1556151726# #耶耶耶
1555227500# #阿林哥话公益重走红军路，红色探索之旅今天启程！重温历史，不忘初心，砥砺前行，不断践行“我愿意，我付出，我成长，我快乐”的义工精神！心心心耶耶耶
1562235752# #转发微博
1536503230# #阿林哥话公益怀念毛主席毛主席永远活在我们心中！心心心心心围观围观围观围观围观
1577315277# #吃饭也是做公益！赞
1533980937# #阿林哥话公益鲜花哈哈带着爷爷去义工。围观围观围观神图！心赞哈哈盛夏光影
1558766768# #转发微博
1562676237# #转发微博
1559952219# #太快了吧？没法享受到过程。吃惊
1619055814# #不错！向鲁会长学习！作揖学而习之圣人也！赞心抱抱
1673911812# #会员红包飞我刚刚在“兔年狂欢趴”活动中领到了SVIP稀缺装扮-兔个吉利！新年抽盲盒，领只幸运兔回家！~每日还有5个福袋等你来抢，快来试手气！>>
1562235759# #转发微博
1560383959# #赞赞赞赞赞
1630017084# #这个不错！为他们点赞！赞赞赞
1589813326# #团建进行中……！
1562252249# #转发微博
1655420696# #阿林视界共同富裕每一个努力奋斗的你都很了不起
1564960335# #为体育健将们点赞！goodgoodgood
1569363254# #好漂亮，博主有才亲亲亲亲亲亲清舫评弹
1592999477# #阿林哥特惠淘小铺。欢迎光临我的小店~本《阿林哥特惠淘小铺》专为我的铁粉们提供的各类精选特惠商品！特惠商品100%正牌货！关注我，幸福你！
1537663146# #转发微博
1559015641# #转发微博
1679180152# #漂亮赞赞
1562289407# #这个人胆子不小。该罚！拳头拳头拳头
1539793141# #我在签到领红包打卡啦！每日签到领红包，签到越多红包越大，还有各种限时奖励，快来一起领吧！错过一天都可惜哦~
1559516846# #@阿林哥有话说
1656289801# #阿林视界萌宠小家伙不知什么时候学会徒手攀登了！唉😔现在的小孩子比我们小时候还要“梗墙擦壁”。抓狂抓狂抓狂
1542895500# #转发微博
1587725393# #耶耶耶
1632614351# #欢迎回家！鼓掌鼓掌鼓掌晚霞红彤映全球，轻舟已过万重山！威武威武威武
1547389693# #转发微博
1547622173# #嗨起来耶耶耶哈哈哈哈哈哈
1586259506# #来自天目新闻客户端
1544288925# #转发微博
1641169273# #我的美食日记新年将至，购买年肉已成为了市民朋友们的新宠。今年的整方年肉，只要15元一斤，很便宜！老铁们，不知道贵地今年的年肉价格怎样？疑问
1552028573# #非常感谢对海宁公益事业的大力支持。🌷
1536883367# #转发微博
1539785133# #微博头条阿林哥话公益中央提出”军民融合“发展战略，已列入”十三五规划“。北京东方红航天生物技术股份有限公司研发生产的《东方红1号宇航口服液》将率先军转民用，保障国民健康。今天，我作为首批开拓者，参观考察了东方红公司和东方红公司相关的研发、生产、实践和营销基地。让我更深的了解了
1564977906# #转发微博
1539790988# #我在签到领红包打卡啦！每日签到领红包，签到越多红包越大，还有各种限时奖励，快来一起领吧！错过一天都可惜哦~
1538007209# #转发微博
1642318084# #“南国椰子树”get！用它装扮我的微博新鲜市，期待收获一整年的好运气！上百款趣味道具正在限时发放，收集道具就能领最高888元现金红包！我去继续努力啦~祝我好运吧~
1544109476# #转发微博
1562236590# #阿林视界阿林夜话阿林哥话公益让爱回家。【猛爆了】。绿色氧吧，鹃湖健身！抱抱抱抱抱抱今日贴纸打卡。海宁“健身帝国”……鸿翔健身中心布局天然绿色氧吧《鸿翔健身鹃湖会所》，八一正式启航！现在向你发放体验邀请！作揖作揖作揖。心速度抢购，扫码关注！耶小姐姐带你生龙活
1546499016# #转发微博
1562252117# #进来都是有缘人，相逢何必曾相识，快来我的直播间坐坐吧！
1537663162# #转发微博
1552436855# #守住生命线，为民某幸福。
1641348267# #超话社区用户报告超话我的超话社区用户报告新鲜出炉！还get了奇趣社区的养生专用保温杯！快来看看你们的吧~。
1537143648# #Repost
1547389723# #转发微博
1655420208# #支持赞
1666536944# #皆有可能哈哈哈哈哈哈
1587600804# #茅台技开陈年老坛52度浓香白酒4瓶礼盒
1539480771# #微博头条点亮志愿者超话阿林哥话公益中华志愿者协会（CVA）成立于2011年4月26日，由中华人民共和国民政部主管，接受中央精神文明建设指导委员会办公室的业务指导，是国家一级协会。普及志愿理念，弘扬志愿精神，培育志愿文化，发展志愿服务事业，营造文明健康社会风尚、融洽和谐人际关系。201
1558190237# #赞赞赞
1538026416# #阿林视界微博头条今天是农历八月十八。俗话说的好：八月十八潮，壮观天下无。说的就是的钱塘江大潮。哈哈哈哈赞赞围观围观围观
1569363220# #“港暴”何时休？
1673967249# #一年回顾，有惊喜，也有沉重！2023让我们继续前行！鲜花赞作揖
1626559021# #赞
1688343974# #初心不变！赞
1538007078# #转发微博
1544919325# #“在小区内发现有流动摊位。”“在小区的绿化带里发现有公益广告宣传牌掉落。”……
1554436385# #转发微博
1538359593# #阿林视界阿林哥话公益生日快乐！我的中国！蛋糕蛋糕蛋糕赞赞赞微风微风微风
1591398776# #转发微博
1547389748# #转发微博
1559261339# #哎！这个倒还真的不太懂。确定这几天有好几量喷雾化的车转来转去的，弄的有点晚。老师，这个有什么讲究吗？赐教！作揖作揖作揖
1555251484# #公益事业就是一场爱的接力赛，只有起点没有终点。给力
1537629635# #微博头条阿林哥话公益天价素食。来自香港“三德素食馆”！哈哈哈哈哈哈
1582596571# #转发微博
1569363054# #世上居然还有这种上嘴唇碰着天下嘴唇碰着地（不要脸）的人。鄙视鄙视鄙视
1538007044# #中秋遇上观潮节，江潮人潮车潮有多大？
1679178000# #我正在使用“我是中国Fans”微博个性皮肤，快来跟我一起换装中国红，为祖国庆生！
1642505395# #阿林视界回家过年金屋银屋不如自家草屋！老铁们！你觉得呢？
1538022838# #阿林视界微博头条西南持续降雨，三峽库容难以承受，决定开闸放水。。这个耗资955亿元人民币，历时12年建成的世界最大水利工程，开闸泻洪的壮观景象你可能从来没见过，许多人开车前往现场去观看，请打开视频一饱眼福吧哈哈哈哈哈哈并带给你自豪感！赞赞赞围观围观围观话筒
1673914225# #哈哈
1550397994# #同一个世界，同一个渴望鲜花生活让爱回家
1538007071# #八月十八潮，壮观天下无！给力
1537418850# #阿林哥话公益微博头条多个公益社团聚集海宁，一起开展环保行动……《弯腰一秒拾起文明》。微风微风微风围观围观围观赞赞赞
1659366158# #领航强军新时代阿林视界八一建军节向英雄的中国人民解放军致敬！作揖作揖作揖
1547944931# #阿林哥话公益我的这位公益朋友、兄弟，真是了不起。为了別人回家，自己却回不了家。向你致敬作揖作揖作揖
1601222016# #好样的！赞赞赞
1668124237# #职场忙碌的日子里，生活也要有情趣！哈哈
1541396350# #阿林视界健康烧出来，幸福吃出来中国航天太空锅具让你的生活更美好
1562676369# #厉害了，我的姐们！赞赞赞
1559516813# #赞赞赞赞赞
1539524675# #转发微博
1538007009# #转发微博
1537662717# #第三方筹款平台值得探究。思考
1630016842# #我也挺喜欢这个阿奈耶斯女孩！鲜花赞赞
1558191428# #海宁义工，榜样垂范！赞
1544269729# #请大家帮忙转发扩散，感谢！🙏@阿西的蓝天
1589813105# #浙江首家纯民间“社会组织培育发基金会”成立，鼓掌鼓掌鼓掌
1641621879# #无视别人的时间，就是不道德行为！支持司机做法！赞
1560652062# #父亲节是不是我们都不长大，你们就不会变老？是不是我们再撒撒娇，你们还能把我举高高？是不是这辈子不放手，下辈子我们还能遇到？下辈子我一定好好听话，不再让你们操劳！。祝全天下的父亲:父亲节快乐！蛋糕威武赞啊心抱抱
1701568467# #钟老师说的没错！赞赞赞在尊重科学的同时，也要符合自然规律和生态平衡！作揖作揖作揖给力
1582989773# #阿林哥话公益全球抗疫第一线全民抗疫，党员先行！“红色义工”在行动！
1541342785# #转发微博
1587990569# #不错！这样的公益宣传片多点，再多点！赞赞赞赞啊赞啊赞啊心心心
1642330849# #这套中国结漂亮的很！赞赞赞
1659315551# #阿林视界八一建军节向中国人民解放军致敬！作揖
1641254933# #2022新年快乐
1544919431# #一大批高校改名了！网友被刷屏纷纷发“贺电”
1556151759# #心耶
1559516819# #不错心作揖
1687128436# #致敬热心💕付出的人们！作揖作揖作揖
1534592267# #“五防”教育
1536065257# #我在签到领红包打卡啦！每日签到领红包，签到越多红包越大，还有各种限时奖励，快来一起领吧！错过一天都可惜哦~
1539135540# #我组织开展了《弯腰一秒拾起文明》环保活动；《拒绝远光》文明出行活动；《携手夕阳红温暖老人心》敬老爱老活动；《情系保山》冬季捐衣活动；《衣循环爱循环》旧衣服回收利用活动……等。
1547944969# #握手
1580004181# #支持
1543941247# #转发微博
1554042359# #心赞
1538329268# #转发微博
1558766706# #鼓掌鼓掌鼓掌
1679178800# #林毅落马🐴不知海宁人是否有话说？疑问疑问疑问
1544535532# #阿林哥话公益阿林视界微博头条中国航天东方红公司年会暨年度表彰大会在北京九华山国际展示中心隆重举行。赞赞赞
1550325566# #美国演出前的排练鲜花鲜花惠迪吉超话@汪花生同学
1539130723# #转发微博
1561372110# #高收入呀！不过挣钱都不容易！摸蚌有风险。话筒话筒话筒
1537494470# #转发微博
1550934278# #转发微博
1559341812# #节日快乐耶心
1641255193# #日行一善微公益阿林哥话公益冬天里的坚守，坚持十年如一日，在全市开展“弯腰一秒拾起文明”环保行动！为你们点赞！赞赞赞
1539437007# #转发微博
1679177131# #公益原生态，需要你我他共同来建设和维护！
1554042280# #鲜花
1578612848# #吃饭也是做公益，不断践行“我愿意，我付出，我成长，我快乐”海宁义工精神！
1589810996# #转发微博
1655421531# #反腐倡廉再起风暴赞
1641622001# #此虎落在了平阳岗上啦😄
1559952039# #转发微博
1539524866# #同城爆料超话
1564972585# #转发微博
1537629649# #转发微博
1538650942# #微博头条阿林视界向日葵，向太阳微风赞哈哈围观耶
1564977692# #力挺港警（军）严惩暴徒，维护中国香港和平稳定！握手耶
1558655000# #买菜要当心啦！话筒话筒话筒
1539561253# #赞赞
1570458859# #转发微博
1673913643# #坚持，就是胜利！哈哈赞
1547093352# #当代中国公益需要注入心灵建设的灵魂@吕梁志愿者
1641168957# #转发微博
1682721063# #我在闲鱼发布了【【三年用坏包退】2.3L紫色+保温+1米铜线半球烧水壶小型】退坑回血便宜出！
1537494369# #转发微博
1536307490# #转发微博
1539793281# #转发微博
1560257966# #转发微博
1544109587# #黑医院，黑心医生
1589813195# #“党员志愿服务队”全体人员活动结束后高唱《国歌》！赞赞
1565954133# #转发微博
1536222738# #转发微博
1564972553# #支持港警（军）严惩暴徒。
1540904219# #微博头条阿林视界阿林夜话【金庸逝世享年94岁蜡烛】武侠小说泰斗金庸逝世，享年94岁。金庸，原名查良镛，创作了多部脍炙人口的武侠小说，包括《雪山飞狐》、《天龙八部》、《射雕英雄传》、《鹿鼎记》、《笑傲江湖》、《书剑恩仇录》、《神雕侠侣》等。大侠走好！🙏🙏🙏
1537493659# #微博头条阿林视界真正的红绿灯？
1577840680# #19（依旧）有你，20（爱你）同行！抱抱心鲜花
