1698363499# #乌克兰武装部队第25空降旅突击了俄军的一个阵地，俘虏一群俄国兵。俄乌战争
1698206280# #【北约维和行动中心在哈萨克斯坦成立】哈萨克斯坦军队将在那里接受训练，美国驻哈萨克斯坦大使丹尼尔·罗斯布卢姆出席了开幕式。。。哈萨克斯坦在担心什么，他为什么要与美帝合作呢？俄乌战争
1699568639# #胡塞武装发言人叶海亚·萨里准将：我们向以色列敌方实体在南部领土上的各种敏感目标发射了一批弹道导弹，包括埃拉特的军事目标。以色列巴勒斯坦冲突
1693232028# #乌克兰国防军解放了罗博季涅后向已推进到新普罗科皮夫卡和奥切列图瓦特附近。俄乌战争乌克兰反攻
1701123142# #11月26-27日，同盟军和联军再攻克敏昂莱武装盘踞在果敢以及皎脉的2个据点。击毙盘踞弄坎的敏昂莱武装1名营长，抓获1名俘虏。缅北多地爆发激烈战事
1696779305# #乌克兰武装部队总参谋部在早间报道中说，乌克兰国防军在顿涅茨克地区东北部安德里亚耶夫卡附近取得了部分成功。
1699568501# #五角大楼表示，由于国会没有在8月通过补充请求，它为乌克兰提供的资金不足。国防部新闻秘书萨布丽娜·辛格（SabrinaSingh）：“我们被迫取消对乌克兰的支持。我们已经使用了最初623亿美元的95%。。。五角大楼为乌克兰提供的资金不足，只剩下10亿美元来填补美国的库存。“我们仍然
1699590858# #据以色列国防军当地时间9日消息，其打死一名负责加沙中部地区反坦克导弹（ATGM）行动的巴勒斯坦伊斯兰抵抗运动（哈马斯）高级指挥官易卜拉欣·阿布-马格西布。。。以色列国防军在与以色列国家安全总局（辛贝特）9日发布的联合声明中称，易卜拉欣·阿布-马格西布指挥并实施了多次针对以色列国防军士兵的军事
1694438689# #【德国为乌克兰订购了40辆Marder汽车】德国政府已委托武器制造商莱茵金属公司向乌克兰运送40辆Marder步兵战车。。。“该订单于2023年8月下达，价值在数百万欧元的范围内，”莱茵金属今天证实。。。考虑到这一订单，莱茵金属公司将向乌克兰交付的Marder车辆总数增加到80辆。。。“Marder步兵战车的
1699111421# #以色列国防军袭击黎巴嫩真主党武装设施。以色列巴勒斯坦冲突
1698205862# #老登说:我们不能也不会让哈马斯和晋凉这样的恐怖分子获胜，我拒绝让这种事发生。以色列正式向哈马斯宣战
1697118337# #以色列陆军参谋长赫尔齐·哈勒维：这次可恶的袭击是由加沙地带的统治者叶海亚·辛瓦尔决定的，因此他和他手下的整个系统都得死。我们将攻击他们，我们将清除他们并清除他们的系统。。以色列巴勒斯坦冲突以色列正式向哈马斯宣战
1698475692# #一夜之间，伊拉克伊斯兰抵抗运动（伊朗支持的民兵阵线）声称它对美国在叙利亚南部的al-Tanf基地发动了袭击。以色列正式向哈马斯宣战
1698316874# #以色列地面部队进行了一次“相对较大”的行动，旨在攻击哈马斯在加沙的阵地。与此同时，土耳其总统雷杰普·塔伊普·埃尔多安表示，国际社会对加沙袭击事件保持沉默是“令人尴尬的”。。。尽管有撤离命令，但仍有数十万人留在加沙北部，今天袭击发生的地方。以色列正式向哈马斯宣战
1694127334# #【俄乌战争最新战况】。。◆巴赫穆特阵线。。乌克兰柳特突击旅海啸团的战士到达克利希基夫卡中心。。。◆扎波罗热阵线。。乌克兰军队在韦尔博韦附近取得了进一步的进展。。乌克兰步兵越过罗伯季涅，到达定居点以南的前线。。俄罗斯军队放弃了卡米扬斯克南郊的阵地。这些阵地后来被乌克兰军队占领。俄乌战争
1698190448# #中加继续互撕！
1699569123# #以色列军队周四袭击了巴勒斯坦城市杰宁，并与枪手进行了长达数小时的战斗，造成14人死亡，这是几个月来被占领的约旦河西岸最激烈的冲突之一。。。以色列军方发言人丹尼尔·哈加里少将说，“箭”防空系统拦截了一枚向埃拉特发射的地对地导弹。（大概来自也门）以色列巴勒斯坦冲突
1700488963# #乌克兰总统泽连斯在基辅会见基奥斯汀说：“你的到来对乌克兰来说是一个非常重要的信号。”奥斯汀说：“你带领乌克兰人民做了大多数人从一开始就无法想象的事情。”双方讨论了对紧急战场需求和长期国防需求的支持。俄乌战争
1693177476# #【自杀式无人机在俄罗斯机场击中了五架战斗机】据报道，乌克兰神自杀式无人机在俄罗斯领土上击中了五架战斗机。。。乌克兰安全局的一位消息人士告诉《基辅邮报》，昨晚一波无人机袭击了库尔斯克机场的四架Su-30飞机和一架MiG-29。。。“其中只有三架无人机被俄罗斯的防空系统击落，”消息人士说。。。据新
1693373506# #普斯科夫机场发生了十多次爆炸，据传是遭到GUR无人机袭击，初步消息损失了包括4架“伊尔-76”运输机在内的5架飞机，具体损失还在统计之中，俄境内各大机场处于紧张戒备状态。该机场远离乌克兰，无人机直线距离攻击越过白俄罗斯领空是最佳选择，目前尚不清楚无人机是从哪个方向攻击的。俄乌战争
1693707226# #卫星图像直观展示俄罗斯普斯科夫军用机场被乌克兰无人机袭击前后的变化，2架伊尔-76运输机被完全摧毁、2架伊尔-76受损，另外还有一旁的燃料库被摧毁，这大概是俄乌战争以来，俄境内遇袭损失最严重的一次了。俄乌战争乌克兰反攻
1688397307# #俄罗斯Ka-52直升机在别尔江斯克方向被击落。俄乌战争乌克兰反攻
1691855665# #刻赤大桥上再次出现滚滚浓烟，大桥附近防空系统投入工作发射导弹。乌克兰反攻
1698650933# #俄罗斯军事指挥部解雇了第聂伯集团军司令（赫尔松轴线）空降部队司令奥列格·马卡列维奇，米哈伊尔·特普林斯基被任命为新任指挥官。俄乌战争
1699188690# #内塔尼亚胡在遗产部部长阿米猜·埃利亚胡（AmichaiEliyahu）呼吁向加沙投掷核弹后暂停了他参加政府会议的资格。以色列巴勒斯坦冲突
1695442768# #乌军在巴赫穆特城区巷战。俄乌战争
1694443637# #弗拉基米尔·普京（VladimirPutin）已抵达符拉迪沃斯托克-据报道他可能与宇宙无敌大元帅会面。
1691308866# #乌克兰防空系统击落了40枚巡航导弹中的30枚和27架沙赫德无人机，俄罗斯还发射了3枚金扎尔导弹俄乌战争
1697435335# #以色列在加沙南部发动空袭，造成哈马斯指挥官比拉尔·阿尔·凯德拉（BillalAlKedra）死亡，他对尼里姆基布兹大屠杀负有责任。当地时间15日晚，巴勒斯坦卫生部门宣布，截至目前，本轮巴以冲突已致巴勒斯坦方面2726人死亡，受伤人数超过10800人。。。当地时间15日，联合国秘书长古特雷斯发表声明，呼吁巴以
1696780076# #罗伊·利维上校是戈拉尼GDS的指挥官，在TzukEitan行动中受重伤，他回到前线并指挥Agoz部队，昨天作为多维部队指挥官加入战斗，昨天在试图与基布兹雷姆的武装分子接触时被杀。。。以色列军队将装甲坦克推到马金集体农场与巴勒斯坦战斗人员对峙，此前以色列精锐部队未能消灭他们。
1698851872# #克里米亚大桥上再次出现烟雾。早些时候，当地媒体报道了导弹飞过塞瓦斯托波尔上空的消息，该市已发布空中警报。俄乌战争
1688686661# #扎波罗热方向乌军乐乐卡无人机侦察机发现一台装在KAMAZ-5350底盘上的俄罗斯122毫米龙卷风多管火箭炮，HIMARS发射GMLRS导弹将其摧毁。俄乌战争乌克兰反攻
1698476771# #以色列铁穹与哈马斯的火箭弹孰多？以色列正式向哈马斯宣战
1697422903# #哈马斯恐怖分子利用GoPro摄像机拍摄了他对以色列基布兹的袭击。突然，他遭到基布兹武装居民或以色列安全部队的伏击，直接被击毙镜头记录了他人生的终点。以色列巴勒斯坦冲突以色列正式向哈马斯宣战
1697241392# #以色列军队说，步兵部队和坦克今天进入加沙地带领土进行“局部袭击”，以清除该地区潜在的武装分子并找到失踪的以色列人。以色列使用坦克和装甲车深入加沙地带一小段距离。以色列巴勒斯坦冲突以色列正式向哈马斯宣战
1688947371# #7月9日波兰向乌克兰移交10架Mi24雌鹿武装直升机。俄乌战争武器装备乌克兰反攻
1695133554# #梅利托波尔和托克马克遭到乌军导弹和火炮袭击，发生剧烈爆炸。俄乌战争
1691216935# #【战争研究所：久明促成了俄罗斯第106近卫空降师（VDV）指挥官弗拉基米尔·塞利弗斯托夫少将的复职】。。据报道，图拉州州长阿列克谢·久明在7月21日与普京的幕僚长安东·瓦伊诺会面后，促成了俄罗斯第106近卫空降师（VDV）指挥官弗拉基米尔·塞利弗斯托夫少将的复职，但据推测，他的免职可能是因为他以代表
1696803435# #来自叙利亚和伊朗的非官方报告表明，伊斯兰革命卫队圣城旅指挥官卡尼已抵达黎巴嫩。以色列巴勒斯坦冲突第六次中东战争会爆发吗
1691140380# #【俄军罗普查级大型登陆舰遭乌海军水上无人机袭击受损，在新罗西斯克被拖曳进港】昨夜乌克兰安全局部队在乌海军配合下，使用水上无人机袭击了新罗西斯克湾，俄罗斯大型登陆舰OlenegorskyGornyk号被击中受损。据俄罗斯媒体报道，当时船上有100名船员。。。新罗西斯克湾属于俄罗斯领土，距离刻赤大桥不远。
1688396946# #今天，国际起诉侵略罪中心开始工作。收集证据并记录俄罗斯的罪行，以便将肇事者绳之以法。迈向侵略罪法庭的第一步。俄乌战争乌克兰反攻
1703581927# #美国空军回击了伊朗系列目标PMU/HashedAlSha'abi的基地，伊拉克Babyl。俄乌战争
1699167039# #以色列国防军表示，在辛贝特审讯一名哈马斯恐怖分子后，它袭击了加沙地带一栋建筑物屋顶上的哈马斯遗址，以及该建筑物附近的一条隧道。以色列国防军补充说，地面部队今天还在加沙地带与枪手作战，杀死了其中几人，并缴获了武器和情报材料。以色列巴勒斯坦冲突
1697088481# #加沙地带以南汗尤尼斯的阿布·里什家族、艾尔家族、阿布·达卡家族和巴希提家族的四所房屋遭到袭击，造成6人死亡，5人受伤。以色列巴勒斯坦冲突
1696057153# #PLA在9月大动作加强对TAI备战、演练突破“假想敌”围堵；TAI最新国防报告书也揭示，PLA正扩建沿海军用机场，并部署航空母舰战斗群以突破米帝及盟友围堵。面对PLA极限施压，TAI军准备进入城镇战，并加强精准弹药的不对称战力。
1703943096# #【英国将向乌克兰运送约200枚防空导弹，以协助乌克兰保护平民和基础设施免受俄罗斯无人机和导弹袭击】。。路透社报道，英国国防部长沙普斯星期五（12月29日）说：“普京正在试探乌克兰的防御和西方的决心，希望能借此扭住颓势，但他大错特错。”沙普斯说：“自由世界现在是时候团结起来，加倍努力帮助乌
1696285153# #【普里戈任的儿子可能正在控制瓦格纳】。据一家美国智库称，叶夫根尼·普里戈任25岁的儿子帕维尔·普里戈任一直在采取行动接管瓦格纳集团的指挥权。。。战争研究所表示，他正在与俄罗斯国民警卫队Rosgvardia就让雇佣军组织重新加入乌克兰的战斗进行谈判，并引用了与该组织相关的一个着名电报频道。。。此举将
1689244321# #20架无人机和2枚导弹一夜之间被乌克兰防空系统击落。俄乌战争乌克兰反攻
1700262060# #缅甸：在与军政府部队发生激烈枪战后，邻近的ZeeChaing村及其警察局也被PDF占领。。。人民保卫军（People'sDefenseForce，PDF）是缅甸的一支武装组织，也称为人民国防军。PDF成立于2021年，是由缅甸民间武装组织和民间自卫团体组成的联盟。该组织的成立是为了抵抗缅甸政府的军事打压，旨在维护当地民
1698552727# #一架以色列飞机用导弹袭击了阿巴德基地的一个空地，用机枪、炸弹、迫击炮弹和磷弹在周围地区进行了大规模的扫荡，一直到Al-Manara殖民地。以色列正式向哈马斯宣战
1702203732# #停火协议结束后3分钟以色列火力全开轰炸哈马斯的镜头。以色列巴勒斯坦冲突
1690012020# #乌克兰对俄罗斯就黑海船只安全警告作了针锋相对的回应。乌克兰国防部说，所有驶往俄罗斯或乌克兰俄占区港口的船只，都是合法军事打击目标。但分析员认为，黑海地区的敌对行动暂时不会明显升级。图为俄军在黑海西部区域开展军事演习，向目标船只发射导弹。俄乌战争
1689866577# #欧盟外交事务负责人博雷尔说，欧盟将增加对乌克兰的军事援助，以应对敖德萨的炮击。“对此只有一个解决方案——增加对乌克兰的军事援助。如果他们被轰炸，我们必须提供更多的防空系统。如果俄罗斯人使用无人机，我们必须提供摧毁这些无人机的手段。这3个晚上发生的大规模袭击需要我们做出果断的回应，
1688826998# #呆俄不止一次使用这种自爆车了，每次都被乌军的火箭筒打爆，世界第二军沦落成了中东军阿富汗军。俄乌战争
1704071878# #别尔哥罗德市的跨年焰火表演（影视娱乐场面请夹总勿夹）！
1702509607# #克伦民族解放军和人民保卫军抵抗力量设法冲进了通往良品塔尔的“五塔”警察哨所，缴获了几件武器。缅北多地爆发激烈战事揭秘缅北果敢四大家族
1688994972# #乌克兰武装部队总参谋部在早间报告中说，乌克兰国防军在梅利托波尔方向（新达尼利夫卡与罗博季涅之间）和别尔迪安斯克方向（大诺沃西尔卡以南，莫克里亚河右岸马卡里夫卡一带）推进了1公里以上。俄乌战争乌克兰反攻
1698311234# #以色列国防军：为准备下一阶段的战斗，以色列军队在加沙北部开展行动。以色列陆军坦克和步兵袭击了许多恐怖组织，基础设施和反坦克导弹发射哨所。此后，这些士兵离开该地区，返回以色列领土。。。以色列军队说，它在24小时内袭击了加沙地带的250个哈马斯目标。。。哈马斯声称它使用肩射防空导弹（Strela）
1700488779# #封锁边境的波兰抗议者不允许人道主义援助和燃料进入乌克兰。俄乌战争
1703595405# #别尔江斯克报告了2起爆炸事件，塞瓦斯托波尔发生爆炸。俄乌战争
1699134821# #【乌克兰司令部展示了第9军团的徽章和属于军团的下属单位】。。第9军团终于正式向公众公开，不再保密。军团收到了它的徽章。（图2：第9军团徽章）。。此外，官方代表透露，以下部队也是第9军团的一部分：。。第33机械化旅。其中一个旅主要装备西方车辆。它目前参加了南部攻势。（图3：第33机械化旅徽章）。。第4
1699101529# #以色列飞机继续轰炸加沙城。以色列巴勒斯坦冲突
1698705266# #【俄罗斯达吉斯坦爆发反犹太人抗议，机场骚乱惊动警方】当地时间29日，俄罗斯达吉斯坦共和国的马哈奇卡拉机场爆发反犹太人的抗议活动，骚乱引发防暴警察被派往现场。。。马哈奇卡拉机场骚乱的起因是当地社交媒体上出现的谣言，称一架从特拉维夫飞往马哈奇卡拉的航班上载有一群“犹太难民”。随后，大批愤
1688909956# #手榴弹成功高效烤鹅。俄乌战争
1698280558# #【埃及第4装甲师调往西奈半岛，堵截哈马斯还是威胁以色列？】。埃及全军已进入临战状态，埃及总统、陆军元帅阿卜杜勒·法塔赫·塞西，刚刚视察了驻防在加沙边境的王牌第4装甲师。。。埃及军队拥有1100辆美制M1A1主战坦克，是除美国外装备此型坦克最多的国家。。。埃及此举意欲何为，项庄舞剑，谁是沛公？是威
1690175023# #7月24日清晨，莫斯科市区遭到多架乌克兰无人机空袭，俄军防空系统形同虚设，多栋建筑被毁，部分街区已经禁止通行。俄乌战争乌克兰反攻
1694014269# #罗刹国导弹袭击科斯蒂安季尼夫卡造成多达16人死亡。俄乌战争
1698122738# #哈马斯谈判代表对加沙境内被该组织扣押的200多名人质的命运表示，如果满足适当的条件，他们中的所有平民都将被释放。。。哈立德·梅沙尔（KhaledMeshaal）是哈马斯内部的一位有权势的人物，在近三十年前以色列企图暗杀他后幸存下来后，他被尊为活着的烈士。。。在自10月7日袭击事件以来的首次西方电视采访
1689866789# #中国驻敖德萨总领事馆大楼因俄罗斯袭击而受损。俄乌战争
1696833717# #冲突现在正在斯德洛特附近的ShaarHanegev路口发生。以色列巴勒斯坦冲突
1703576992# #据克里米亚方面当地时间26日凌晨的消息，乌克兰方面袭击了费奥多西亚地区，发生了两次爆炸。据报道，一艘装有弹药的船在费奥多西亚被击中。俄罗斯国防部证实，大型登陆舰新切尔卡斯克因乌克兰导弹袭击而受损。。。目前当地港口地区已禁止无关人员进入，弹药引发的爆炸已经停止，火势已被控制。所有相关部
1696781163# #行人在私家车里拍摄到以军在高速路上与哈马斯激战。以色列巴勒斯坦冲突
1688771076# #美国向乌克兰公布了新的8亿美元援助计划：其中包括备受期待的DPICM集束弹药炮弹，以及额外的31门155毫米榴弹炮，32门布雷德利IFV，32辆Stryker装甲运兵车等等。俄乌战争武器装备乌克兰反攻
1693718962# #【俄乌战争最新战况】。。◆斯洛博达前线（包括奥斯基尔河和艾达尔河之间的区域）。。俄军袭击了维尔沙纳以南的乌克兰阵地，并进入了乌克兰的要塞阵地。。俄罗斯军队向新耶霍里夫卡推进，并占领了该地区的更多领土。。。◆顿涅茨克阵线（包括顿涅茨克州的中部和南部）。。俄军在马林卡推进并到达西郊。一年半后
1690471108# #7月27日，俄罗斯一架Mi-8直升机坠毁在阿尔泰共和国乌斯特-科克辛斯基区通古尔村附近。根据初步数据，有人员遇难，机上共有13人。
1693779543# #泽连斯基总统将用鲁斯特姆·乌梅罗夫取代国防部长奥列克西·列斯尼科夫，不久将向最高拉达提出候选人资格。俄乌战争
1688340767# #【纳赫勒的祖母说她的心“很痛”】被警察枪杀的法国少年的祖母呼吁暴徒“停止”，并说她的“心很痛”。。。纳迪亚说，暴徒正在利用她17岁的孙子NahelMerzouk的死亡作为“借口”，他在周二的一次交通停车中被警察枪杀。。。她告诉法国广播公司BFMTV：“幸运的是警察在这里。那些正在破坏的人，我告诉他们
1688513861# #俄军在亚基米夫卡的军事仓库遭到导弹袭击，塞瓦斯托波尔报告发生严重爆炸，马基夫卡和顿涅茨克发生爆炸。俄乌战争乌克兰反攻
1697855725# #拜登要求1060亿美元的应急资金。俄乌战争
1697551062# #乌克兰军方一夜之间袭击了别尔江斯克和卢甘斯克的机场。俄罗斯电报频道确认损失惨重。俄乌战争
1696512916# #10月5日,泽连斯基抵达西班牙出席「欧洲经济共同体」峰会。泽连斯基在新闻发布会上重申,拜登向他承诺100%支持乌克兰,即使在美国总统选举期间也不会停止。俄乌战争
1688425473# #正在俄罗斯方面作战的车臣武装编队Akhmat的指挥官叶夫根尼·皮萨连科（YevgenyPisarenko）在顿巴斯的战斗中丧生。。。俄罗斯克里姆林宫联盟媒体RBC引用皮萨连科的继任者阿普塔·阿劳迪诺夫的话。阿劳迪诺夫在声明中感谢已故战士的父母“培养了这样的英雄”。。。俄罗斯战地记者德米特里·库尔科（DmitryKul
1689779155# #【天空新闻：乌克兰仍在攻击三个特定地区，但俄罗斯可能正准备分散注意力】。。随着激战的继续，许多人会想知道乌克兰的反攻进展如何。正如我们一整天都在报道的那样，随着克里米亚半岛遭受第三次袭击，克里米亚发生了一系列爆炸，几次袭击导致港口城市敖德萨被毁。。。我们的安全和国防分析师迈克尔·克拉
1696737103# #哈马斯短时间内向以色列人发射数千枚火箭弹，“铁穹”也拦截不过来。以色列总理内塔尼亚胡在电话中要求美国紧急资助，为铁穹导弹防御系统购买更多拦截器。以色列巴勒斯坦冲突
1688426674# #乌克兰国旗再次飘扬在顿涅茨克州的巴赫穆特英雄城。。俄乌战争巴赫穆特乌克兰反攻
1693874896# #新普罗科皮夫卡方向的炮战激烈,乌军自从改变战术后士气更加高涨，俄军在新费多里夫卡村加强防守。俄乌战争乌克兰反攻
1702509808# #德昂军队南桑镇区警察局发动进攻，击毙该警察副局长在内的20名警察及由缅军一名少校率领的20名兵力。至17点40分，双方还在南桑镇缅军据点一带发生了交火。缅北多地爆发激烈战事
1689076600# #今天早些时候，俄占赫尔松地区的新奥列克西夫卡铁路枢纽遭到风暴阴影的袭击发生爆炸。俄乌战争乌克兰反攻
1690528993# #俄军要的补给到了。俄乌战争
1695876908# #【当地时间28日凌晨乌兹别克斯坦首都塔什干发生了巨大爆炸。距离爆炸中心30公里处可感受到爆炸威力】。。据初步了解，爆炸地点为海关仓库。大楼内有大量员工。邻近的住宅楼被击中。救护车被叫来将受害者送往医院。死亡和受伤的总人数仍不清楚。。。爆炸发生后，塔什干机场海关航站楼几乎荡然无存。据称电
1688513552# #乌克兰武装部队总参谋部表示，俄罗斯军队在扎波罗热发电厂第4台机组的屋顶部署了爆炸装置。俄乌战争
1689439308# #【乌军今天从德斯纳河中打捞出去了去年试图闯入切尔尼戈夫的俄罗斯坦克】北方作战指挥部下辖的第50独立修复和恢复营，与战利品和未来武器装备研究中心合作，进行了搜寻和撤离行动，以从河床中找回T-72坦克。。。在两天时间里，数十名军事人员评估了完成这一艰巨任务的技术能力，而来自战利品和未来武器
1696914780# #身份不明的战机早上轰炸了在伊拉克和叙利亚之间行进的与伊朗有关的军事车队，靠近Al-Qa'im（伊拉克）和Al-Bukamal（叙利亚）城市。以色列巴勒斯坦冲突第六次中东战争会爆发吗
1692760334# #乌军的新型智能排雷装备，乌军在罗博季涅一带已进入苏罗维金防线第2层，炮火已经能够直接轰击托克马克。俄乌战争
1691165622# #俄罗斯顿河畔罗斯托夫和塔甘罗格之间的警察哨所疑似遭袭击后要求增援。俄乌战争
1695480674# #突发！瓦格纳集团一架伊尔-76运输机在非洲的马里坠毁，截至目前为止遇难人数未知，坠机原因不明。俄乌战争瓦格纳
1699759751# #烈火中的加沙城：以色列第551旅发布的加沙境内战斗视频。哈马斯至少有4000-6,000人死亡，而以色列则损失了不到40名士兵。以色列巴勒斯坦冲突
1691197885# #乌克兰英雄丹尼斯·普罗科彭科在前线，他将与亚速营的其他官兵们一起亲自收复马里乌波尔。俄乌战争乌克兰反攻马里乌波尔
1696915337# #以色列空军：在过去几个小时里，以色列空军战斗机袭击了加沙地带属于恐怖组织的许多恐怖目标。一夜之间，数十架战斗机袭击了里马尔和汗尤尼斯的200多个目标。以色列巴勒斯坦冲突
1688396869# #俄罗斯布良斯克地区别拉亚别列兹卡村的MLRSGRAD炮击后几所房屋着火。俄乌战争乌克兰反攻
1692884894# #【登陆克里米亚：乌军夜间在俄罗斯占领区克里米亚进行“特别行动”后升起了国旗】。。乌克兰情报部门周四在电报声明中表示，这次突袭是由乌克兰海军和军事情报部门进行的，并称“所有目标和任务都已完成”。。。乌克兰没有明确说明这些目标是什么。。。这次突袭尚未得到独立核实，将罕见地证明乌克兰军队能够
1690021969# #伊戈尔7.17试盘，隔天涨停没追，回调3天到主力成本线，机会要来了。$伊戈尔sz002922$
1699225157# #头条上的评论区已论陷为啥不用水军，忘了？以色列巴勒斯坦冲突
1694444715# #摩萨德局长巴内亚说，除了出售的无人机外，伊朗还打算向俄罗斯提供短程和远程导弹。他说，这被挫败了。“他们有意出售其他武器，这些武器也会被挫败。我们担心的是，作为回报，俄罗斯人会将先进武器转让给伊朗人，这肯定会危及我们的和平，甚至可能危及我们在这里的生存。”俄乌战争
1693388659# #乌克兰军队在扎波罗热前线的韦尔博韦村继续推进。俄乌战争
1694832116# #乌克兰军情总局（GUR）告诉《乌克兰真理报》，乌克兰军队攻击了黑海舰队两艘22160型导弹护卫舰，摧毁了其中的“谢尔盖·科托夫”号。不过，俄罗斯国防部否认了这个消息，宣称乌克兰军队派出的5艘自杀式无人艇全部被护卫舰上的火力摧毁。俄乌战争乌克兰反攻
1701821461# #买！买！买！
1699462668# #以色列国防军夜间特别军事行动对黎巴嫩真主党的空袭。以色列巴勒斯坦冲突
1698553683# #以军地面部队进入加沙地区，空军同时加紧拆楼行动。以色列正式向哈马斯宣战
1694522708# #乌克兰武装部队总参谋部在早间报道中说，在梅利托波尔方向，乌克兰国防军在扎波罗热地区的南部和东南部取得了成功。俄乌战争
1698122879# #【获释人质降落在特拉维夫】图片显示了YochevedLifshitz和NuritCooper在哈马斯武装分子手中度过近两周后降落在特拉维夫接受治疗的那一刻。。。在10月7日的袭击中，这两名老年妇女在加沙边界附近的NirOz基布兹的家中被抢走。。。她们的丈夫也被扣为人质，但尚未获释。。。拜登政府建议以色列推迟任何地面攻
1691020309# #在沙特阿拉伯就乌克兰问题举行会议是试图组建一个反俄联盟。——俄罗斯外交部
1699661889# #随着以色列军队进一步进入加沙城，希法医院外发生了激烈的冲突和以色列空军的轰炸。以色列巴勒斯坦冲突
1699135494# #【乌克兰司令部正式公布了今年征兵浪潮中的另一个机械化旅】。。乌克兰地面部队南部作战司令部正式宣布成立新的第154机械化旅，该旅的军事编号为A4962，其基地位于乌克兰南部的某个地方。。。第154机械化旅指挥官已被任命为2014年动员的退伍军人OleksandrShcherbina上校。他曾担任第39领土防御营第聂伯
1699101399# #以色列袭击了黎巴嫩南部的真主党阵地，以回应多次火箭弹和导弹袭击。以色列巴勒斯坦冲突
1689092641# #俄占别尔江斯克铁路枢纽遭袭发生爆炸，距俄军奥列格·尤里约维奇·佐科夫在此城殒命不足24小时。俄乌战争乌克兰反攻
1699569014# #以色列飞机在黎巴嫩的纳古拉、阿尔玛沙布、艾塔鲁恩、拉米亚和布利达郊区发动的一系列空袭。以色列巴勒斯坦冲突
1692573276# #【俄空军基地又遭袭，一架“逆火”受损！注意：遭四轴型无人机袭击】。。包括路边社在内的多家媒体报道，俄罗斯国防部发布声明，称一架乌克兰无人机袭击了俄罗斯诺夫哥罗德地区的一个军用机场，机库起火并导致一架飞机受损，但火势很快被控制，没有造成任何人员损失。。。据悉，被袭击的是位于诺夫哥罗德的
