1699157975# #人都有年轻的时候，哈皮也是。
1701249757# #其实谢安琪真的可惜了，她的出圈歌那么多，可惜立场问题断了内地市场。讲真，她的歌比祖儿出圈，而且都不只是口水歌，质量堪比杨千嬅，可以说是10年前后的翘楚，长得也很美。。。结果完全没来内地发展，真的很可惜
1694413911# #发布了头条文章：《PGONE新恋情曝光，双方粉丝互骂，网友：一个被窝睡不出两种人！》
1701249264# #我是愤怒8k高清修复（CD音质）
1704176861# #香港爱情喜剧《饭戏攻心2》粤语终极定档预告。主演:邓丽欣/张继聪/王菀之/林明祯/陈湛。童不宜。Homeiswhere。17上映日期:2024-02-09(中国香港上映)。剧情:故事从前作的家庭餐桌来到了婚宴餐桌旁，当恐婚男女阴差阳错决定结婚，婚礼现场大瓜频出秒变八卦修罗场。
1690786221# #发布了头条文章：《曹云金直播间花样割韭菜遭13万网友吐槽吃相太难看，不怪郭德纲》
1701341429# #快2024年了，tvb还在拍新闻女王这种悬浮脸谱化的职业（宫斗）剧
1688707970# #“玩就玩大的，巨大利益下产生的冲突！”
1704530724# #高ling接到了兰蔻的商务。
1699145451# #发布了头条文章：《《倚天屠龙记之魔教教主》续集来了，可93版的演员谁还能参演？》
1701343355# #“理想主义的殉道！”
1704250705# #“从一开始，他就骗了我们所有人！”
1689049975# #“风声雨声读书声，家事国事天下事！”
1688800970# #“人生荒诞，多想大梦一场！”
1703655326# #李安十多年前的担忧，后来一步步应验。李安
1703328258# #《无间道》幕后花絮，港片夕阳下最后一抹余晖！
1704339355# #“刚开始以为黑老大，看几集发现是大傻春！”
1702109818# #“沉重的抱抱，不搞笑的沈腾！”
1702289769# #“你了解，高启强的过去吗？”
1704272185# #“演员没错，错的是剧本！”
1688707992# #“物是人已非，缓缓被揭开的面纱！”
1692513320# #发布了头条文章：《刘亦菲干爹陈金飞带美女买项链，紧搂怀里热聊，杨采钰已成过去式》
1694413786# #发布了头条文章：《曝邓超疑患抑郁症，表姐深夜赶往家中探望，透漏生活困难是为钱》
1691812655# #发布了头条文章：《贴牙片，说假话，假颜值，吃了5年润玉红利的罗云熙，装不下去了》
1699145716# #光看图我的脑内已经自动生成一篇高干文
1704265729# #何超仪用钱为老公买命，陈子聪战胜死神。。赌王家族传来令人振奋的好消息。陈子聪，何超仪的丈夫，在与死神的较量中取得了胜利。。。陈子聪曾陷入深度昏迷，病情危急，几乎无回天之力。何超仪，这位坚韧的女性，为了丈夫的康复，不惜付出一切代价。她奔波于世界各地，寻找顶尖的医疗团队，只为给丈夫一线生
1702206440# #“序幕拉开，智力层面的博弈！”
1689131678# #“他们的人生倒塌了，不是轰然一声，而是唏嘘一声！”
1704273228# #“有对象吗？我有个韦恩！”
1691812844# #发布了头条文章：《突如其来的狗粮！汪小菲庄锶敏获全网祝福，这次终于找对人了》
1701953590# #“儒者气息不散，强国梦，自我留！”
1694672561# #发布了头条文章：《曝大衣哥儿子正式出道！疑被厂家邀请拍宣传照，片酬曝光引争议》
1704715960# #“2024，新年快乐！”
1692864327# #发布了头条文章：《52岁李嘉欣晒美照，穿文胸秀马甲线和4块腹肌，强调称未添加滤镜》
1688791303# #“这段诠释了饱了的惜命，饿了的玩命！”
1704888829# #【经典】一口气看完7部中东战争电影！
1692431010# #发布了头条文章：《《Moving异能》剧情8大幕后秘密！韩孝周本来想拒演，「我可能会死」》
1703589112# #叶子楣叶子楣复出，感叹岁月无情。
1699276245# #老白做错了，不应该眼睁睁看她死，不过枭雄只能这样。
1701343032# #“江湖中的侠之风范，一遇风雨便化龙！”
1694505389# #发布了头条文章：《李佳琦收入曝光！两年前就日赚508万，三年前买了过亿豪宅》
1704530703# #梁朝伟说三到五年后以电视剧为演艺生涯划上句号，所以他会不会来tvb拍电视剧？
1693295224# #发布了头条文章：《不要脸！网红王天缘要离婚，扬言玩的就是抛妻弃子，女孩排队想嫁》
1704538163# #璇后赚翻了，食得咁好的笋盘靓仔。嘻嘻
1704716290# #金城武超话
1702206682# #“黑夜终将结束，旭日东升！”
1688787594# #“彻底红眼的唐小龙，熊孩子与这复杂的社会！”
1688529620# #dota1直播，背靠世界之树，怎敢轻易说输。
1694672629# #发布了头条文章：《曝王宝强前经纪人宋喆出狱，马蓉晒双人餐，网友：蜘蛛网有人扫了》
1702045547# #“和星爷站一起，没有演技会被无限放大！”
1702206401# #“是人长大了,留意的事不同了吗？”
1702109591# #“波澜壮阔，励志版的追梦故事！”
1694323838# #发布了头条文章：《林志玲疑退圈后近照曝光，穿吊带勒出副乳，脸憔悴皮包骨引热议》
1702895753# #【经典】电视剧《武林外传》幕后花絮
1688528805# #“钱带来富贵，也迎来麻烦！”
1703685062# #“刘德华、古天乐的对决，离经典就差一口气！”
1704250419# #“从他的视角看，又做错了什么！”
1703687579# #“廉颇老矣，对港片的又一声叹息！”
1691300324# #发布了头条文章：《刘青云吴镇宇跟黄秋生同框，一个满脸抗拒敷衍一个笑得开心像兄弟》
1701248770# #“君可见漫天落霞，名利息间似雾化！”
1699421595# #父母只是坐在你副驾驶的人。
1694323637# #发布了头条文章：《林志颖透露车祸后大脑变得迟钝，理解力可能难以恢复，面部伤疤引发争》
1704858797# #一口气看完《五亿探长雷洛传》，披着传记片的港版教父
1701859142# #“恶搞背后的隐喻，以及黑色的幽默！”
1696051405# #发布了头条文章：《曝Lisa内场合影照流出！可视紫衣一马平川，“馒头”僵硬形状奇怪》
1699100825# #你遭受了痛苦，你也不要向人诉说，以求同情，因为一个有独特性的人，连他的痛苦都是独特的，深刻的，不易被人了解，别人的同情只会解除你的痛苦的个人性，使之降低为平庸的烦恼，同时也就使你的人格遭到贬值。——尼采《快乐的知识》
1688977930# #“剧是好剧，却不适合普通人看！”
1703687579# #“江河日下的港片，经典的始终是第一部！”
1688700890# #“多希望，让一切停留在最美好的时光！”
1692771607# #发布了头条文章：《秦昊七夕送伊能静巨型玫瑰反挨骂，秦昊抱怨：不送挑理送了挑事儿》
1694505691# #发布了头条文章：《马伊琍现身杭州捞金，穿透视装皱纹多被嘲似大妈，网友：又老又垂》
1699275837# #感觉最近像跑单帮补贴家用，还要借贷去买旗袍跟上流社会社交的王佳芝，有点心酸。
1688701026# #“坎坷不断，不经意间形成的情感！”
1688528658# #“老江湖荡起的波澜，不停汇聚的人马！”
1704337691# #最是人间留不住。。朱颜辞镜花辞树
1704370622# #王家卫电影中的女主角大都他太太为原型。
1688182587# #“高启强的一石二鸟，变化的前夜，新生的雏形！”
1703238795# #“大话之后，再无西游！”
1693553008# #发布了头条文章：《13岁王诗龄返英开学！晒2w包包与闺蜜逛高档会所，曝生活费超百万》
1688977969# #“人生就是这样，不拒绝也不认真，看破不说破！”
1699100851# #百事从心起，一笑解千愁。。。人活着，什么事情都可能会遇到，我们也无法预料将来会发生什么，好坏都是人生该经历的，所有的苦难，终将都会成就你的人生，这就是老天安排的意义。。。人生经一事，长一智，经历的事情多了，人的心智就更加成熟了。
1689051553# #和女人不能交心，因为交心到后面就会变成交代！”
1688615629# #“普通，也不普通的高企强！”
1702730275# #“寻找梦的轨迹，魔法情缘！”
1704537797# #【张耀扬】永利皇宫偶遇古惑仔乌鸦！张耀扬超话张耀扬
1694844401# #发布了头条文章：《乔任梁去世7周年，陈乔恩连续7年晒粉色天空，乔爸在墓地布置花海》
1690622905# #发布了头条文章：《林心如被骂关闭评论，郭德纲关闭评论，那英格局出来了》
1701342082# #猜猜是哪位港星的童年照？港星
1694687019# #网友曝花西子五只化妆刷919元我听说他是人大代表，问题是他到底代表了谁啊？？
1699363662# #这是蹭了热度又没有版权问题，双赢doge
1691053577# #发布了头条文章：《“插队母女”最新回应否认插队被人冤枉，网友甩视频再次打脸》
1702045861# #小夫微笑
1703239039# #“后金庸时代的武侠世界还有什么？”
1688614650# #“活着，一切都是为了活着！”
1692864898# #发布了头条文章：《祝福！井柏然刘雯被曝已在圈内公开要结婚！无名指已戴上同款戒指》
1692964699# #发布了头条文章：《曝《王牌8》阵容！华晨宇没退唐嫣顶替贾玲，沙溢沈腾加盟被骂惨》
1688354231# #“以前和未来，那个是他？”
1704858759# #一口气看完《偷天换日》，《监狱风云》喜剧版是颗沧海遗珠！
1703742869# #“小人物的伟大史诗，一种原始古朴的美！”
1699524727# #英文翻译
1689909449# #吴露可逃
1693983337# #发布了头条文章：《曹云金连麦刘云天如同把郭德纲放地上摩擦德云社面子里子皆不保》
1704258537# #周星驰执导的电影《美人鱼2》定档春节档上映，引发网友热议。。。据某博主爆料，《美人鱼2》将于2024年2月10日，也就是春节档上映。电影定位为喜剧爱情电影，由周星驰执导，艾伦担任男主角。美人鱼第一部曾斩获34亿票房，让观众感受到熟悉的周星驰回来了。如今七年过去，虽然男主角从邓超换成了艾伦，但
1695129746# #花西子发声丰收了
1702206901# #“狂飙中的那些经典场面！”
1702990196# #“这是吴孟达，这真不是搞笑片！”
1687920445# #“一个当下的选择，从此改变人生的方向！”
1693552906# #发布了头条文章：《3000万买《好声音》冠军新进展，曝张碧晨4条线索都吻合，要凉了》
1704160923# #“八年后重温老炮儿，看懂的都哭了！”
1695696091# #首批iPhone15Pro或有大量瑕疵机从本质上讲升级确实不大，手机发展确实到了一定瓶颈。但是不要拿其他手机跟苹果比，不是一个级别的玩家。。。我同意苹果这次确实没啥亮点，但是通过贬低苹果来抬高某国产品牌是真的无知、可笑。例如：抖音一边倒全部在骂iPhone15系列，面对数量众多的自媒体、睁着眼睛说
1702109305# #所有的出发，都是为了回家
1704800048# #【经典电影】一口气看完7部国外战争片！
1699160485# #“结局充满了宿命感，令人回味！”
1691559648# #发布了头条文章：《谢娜公开道歉把责任摘得干干净净，同天出行的文咏珊给她上了一课》
1704372337# #黄子华新片今日正式开机。电影《破·地狱》今日正式开机，影片由陈茂贤执导及编剧，黄子华、许冠文、卫诗雅、周家怡主演，这也是黄子华与许冠文继1992年《神算》之后时隔32年再次合作。。。📒故事聚焦香港传统丧葬行业，婚礼策划师道生（黄子华饰）因生活所迫改行成为一名葬礼经纪人，因理念不合与
1701249736# #50岁的马国明的演艺生命还能有几年？。。tvb过去男演员里面演到60岁左右还是担当男主角的有吗？也就是说马明在未来10年内肯定会慢慢减少拍戏。。。他为什么不开拓内地市场呢？他会不会羡慕林峰吴卓羲他们能够飞到内地那么多的城市，那么多的不同的工作类型和机会，能够享受内地广大的天空呢？50岁的马国明
1687920557# #“安欣为什么很假？因为他远离实际生活！”
1702894598# #JDG加油
1688292297# #“暮气沉沉的安欣，像一头受了锤的牛！”
1694323963# #发布了头条文章：《61岁马景涛近照曝光，满头黑发身材壮硕，疑似被富婆占便宜不敢动》
1693388834# #发布了头条文章：《甄妮再发声！曝那英是夜店歌手出身，依附社会大哥，撕下其遮羞布》
1704526056# #大导演的镜头美学‼️王家卫
1693982889# #发布了头条文章：《这一夜，刘德华跟香港顶流合影并撕开了他们的遮羞布》
1704716065# #电影《潜行》潜行电影剧照。潜行话题电影话题1月11日话题香港话题正式上畫。监制话题領銜主演话题刘德华话题
1704340507# #“更新换代后的钢铁战甲首秀！”
1703329057# #其实向海岚很适合演关锦鹏的《胭脂扣》里，梅艳芳那个角色。
1701342059# #很多老港星的原生家庭真的很悲惨。港星
1695816062# #发布了头条文章：《黄多多留学生活放飞自我，身穿连体泳衣，和外国男同学互动亲密》
1704802558# #“很讨厌在拍戏时看到动物，把它们残暴的当成‘耗材’，这种工作真不想干了。”。。金城武的无奈，属于共情心强的人的共同无奈，善良的人真的会为很多事物痛苦难受，却又无能为力。
1695030036# #发布了头条文章：《赌王四姨太梁安琪现身深圳！过守寡生活懒得化妆，穿衣打扮接地气》
1688978182# #“是你们变了，还是我错了？”
1704352689# #“卡尔在成神的道路，绝不是一朝一夕！”
1702990193# #“在喜剧中寻求煽情，是否搞错了什么？”
1703735597# #“瑜不掩瑕，活着就是平安的经！”
1702894040# #“压抑与希望，合理常规的港片！”
1691736476# #发布了头条文章：《这一夜，刘德华跟香港顶流合影并撕开了他们的遮羞布》
1699160832# #只能说很像(^.^)
1688977862# #“各自承担着结果，这是一个值得尊敬的对手！”
1702109282# #“拥有的弥足珍贵，失去的缘分已尽！”
1704802674# #风再起时岂无感,世间无水不朝东。
1704525843# #TheChainsmokers新专封面致敬墨镜王。。什么情况？！美国电子音乐组合烟鬼TheChainsmokers第二张录音室专辑《SummertimeFriends》今天发布，封面竟然致敬我们香港电影大导演王家卫，99.9%复刻墨镜王在1995年执导的电影《堕落天使》。。。这个封面真的是金城武见到都会笑出来，大家戏言这次真的是「堕
1701953111# #“海豹B队黑白两道，本色出演！”
1704339717# #“港片？周星驰招不回的魂！”
1703913055# #“七叔简直是神来之笔，周星驰真是天才！”
1688548709# #“嫉妒至极就是恨，智慧与人品并存！”
1704714403# #林保怡超话
1698921464# #你还爱喝喜茶吗到现在只喝过一次的人感觉就是正常水平。营销包装好
1699593403# #糟了，这下可解释不清了！！！
1689050264# #“人生两苦，想要却不得，拥有却失去！”
1692865088# #发布了头条文章：《人美心善！朱珠再次带1岁女儿做公益，丈夫微笑同行支持老婆助人》
1704273364# #“有些人单是活着，就已经用尽全力！”
1703734846# #【断刀客】江湖烦扰归于虚无，人如荒原中野草！
1688183051# #“要是高启强没有选择做大佬，一定跟安欣成为朋友！”
1701953556# #“庆帝搭台，院长唱戏，北齐四顾剑平白躺枪！”
1702730032# #“格局之宏大，华语科幻实属罕见！”
1693295515# #发布了头条文章：《又出内幕！张惠妹曾直言：就算唱得好，也没有办法转身》
1701249803# #“上岸第一剑先斩意中人”产生的笑话
1702730310# #董宇辉说自己不完美毛病非常多大家可以去看冯唐他们那一期的原视频，冯唐早就说过，俞敏洪最喜欢用梦想情怀骗人为他卖命，因为这样最省钱，还暗示董宇辉别相信什么梦想情怀，多拿钱才是王道。。其实易中天也说过，樊登也暗示过董宇辉，结果这货太单纯了是一点都没有明白人家暗示啊
1702989831# #“狐死丘首，最后一眼要给家！”
1701249647# #有没有人觉得佘诗曼播新闻的时候有点僵硬机械
1695113495# #发布了头条文章：《大小S开庭要赔偿400w！葛斯齐内涵姐妹俩穷疯，劝其上告汪小菲》
1692172808# #发布了头条文章：《景甜出事局面失控张继科女友张蕊紧急赶往公司，白百何又卷入其中》
1703582337# #全网最全‼️《无间道》取景地独家揭秘‼️。《无间道》上映于本世纪初，承接黄金时代的余晖，开启港影新千年的篇章，本篇将一探这部港影巅峰的取景地，实地感受片中的风云变幻。。。图2️⃣3️⃣：电影开头，韩琛在一座寺庙里诉说着自己“一将功成万骨枯”的命运，为一班小弟送行，这个寺庙即是万佛寺。
1691995099# #发布了头条文章：《突发！张继科景甜床上亲密照曝光，男方满眼温柔景甜吊带太性感》
1693294919# #发布了头条文章：《胡歌状态引担忧！深夜发文道歉，憔悴伤疤明显，疑思念女助理》
1704415615# #不着一声的默契极具美感的站位枪火电影
1697107324# #发布了头条文章：《李嘉欣用绝育来回应救命恩人刘銮雄稳准狠，把人性揭露得明明白白》
1699145663# #所以，像谁呢？
1693199003# #发布了头条文章：《林妙可审美落后，想扮性感身材却一股大妈味，才24怎么也没少女感》
1701249445# #发布了头条文章：《被骂了十年，曹云金口碑怎么突然间就变好了？》
1702642288# #落叶与灰尘，都值得你献出思想；誓言与回忆，都值得你献出感伤。
1699091199# #感觉像大费周章把马克思挖出来只为了改一篇入党申请书。北大宿舍聊天
1688707843# #“女人的战争，牵一发而动全身！”
1691213960# #发布了头条文章：《德云社郭德纲于谦相声专场就这水平？隔壁曹云金的直播都更有看点》
1688529449# #“一次次经历，一次次打磨，谁还没点故事？”
1702730314# #周星驰
1693552586# #发布了头条文章：《那英的这一脚，将自己营造多年的“耿直”人设，踹得稀碎》
1701248939# #“殉情的美，前提是爱情的纯！”
1698921627# #恒大歌舞团！说是歌舞团，不过是座青楼罢了。。。许家印是学赖昌星搞的那个红楼。只不过挂了个艺术的牌子，实际干的还是皮肉生意，为许老板提供床第之欢，也陪许老板安排的客户滚床单。这些年，许老板一靠“银弹”金钱开道，二靠歌舞团的“肉弹”提供性服务，“两弹”并用，才能在生意场上一路高歌猛进，
1689908976# #“即便如今看，依旧是教科书级别的商业片！”
1688528203# #“浮华的高启强，是否可击穿社会！”
1703913195# #“一日的威望，好过一辈子无名！”
1695617426# #发布了头条文章：《高圆圆骑单车接女儿放学，Rhea喝水看书，高清正脸首曝光像赵又廷》
1690863019# #发布了头条文章：《郭德纲全国巡演还没到一半曹云金直播间免费演相声，打了谁的脸？》
1692761910# #窦骁送何超莲的七夕礼物电影。。周公恐惧流言日，王莽谦恭未篡时。。。她过上了曾经何超琼梦想的生活。
1702730143# #“开水白菜，平凡中孕育不平凡！”
1699016793# #曾经非常喜欢李连杰的电影，但是感觉李连杰的外形，大约从2015年开始下降得很厉害，由于身体等多方面的原因，可惜一代功夫巨星啊。。。图片转自网络，侵删。
1695206508# #发布了头条文章：《曝LV三公子疑宣恋情，Lisa乘私人飞机赴法排练，身材变胖更有看点》
1688801171# #“扬帆出海，再无掌舵之人！”
1695713888# #发布了头条文章：《林峯机场秀恩爱，搂张馨月入怀贴贴抱抱，结婚4年生活仍像偶像剧》
1687920290# #“国产电视剧的巅峰，能刻画时代符号的戏！”
1704526112# #港片AI男神天团港星
1702894183# #分享视频
1699363370# #文在寅探望李在明。
1699708037# #乌镇戏剧节一回头童瑶在我们隔壁桌吃饭。
