1701441170# #正确的打开方式
1703136382# #年度听歌报告网易和qq完全两个世界笑cry
1693156632# #风格不错啊很剋泡
1700828683# #小山山请保持纸片人身材千万千万别举铁
1702696982# #今夕是何年太可爱了啊啊啊
1702122521# #哈哈哈既然来了中国那就接一回地气
1690955806# #请把这身衣服焊他身上
1700753866# #太会撩了
1697203496# #哈哈哈哈很幽默的MV但看在长得帅忍了
1700671626# #草裙舞专业选手doge
1696156718# #不像假啊啊啊啊笑cry
1696302996# #值得反复观看...
1699247545# #真的帅
1692765973# #SM固定C位一直那么严重吗但我感觉一个组合的整体颜值水平，不是取决于上限有多高，而是下限有多低允悲
1704106433# #江南百景图超话三年老知府可算赶上一回活动了笑cry
1701232140# #看热搜以为在玩梗，没想到点开是真的
1690937757# #开麦实力不错的
1698488893# #哈哈哈哈哈哈可爱
1700234547# #脸绝了
1701312582# #哈哈哈哈哈哈
1701243085# #韩泰山最新的颜值巅峰
1700356633# #但凡换个MC都不敢这么玩笑cry
1699143844# #好可爱
1690940625# #后面还有忙内喝完这个汤的反应更搞笑笑cry笑cry笑cry
1704026939# #艾玛呀小门门
1698894867# #皮肤真好
1697566166# #哈哈哈哈哈哈哈哈哈
1703937014# #伟大的一张脸
1701237834# #抱一抱
1697116003# #太清纯了好喜欢他这张脸苦涩
1697203960# #果然一打歌状态就回来了，住舞台上吧别巡了
1690956472# #这么热的天必须来点冰冰的哒哒哒消暑
1696419722# #全是帅的
1701882684# #啊啊啊这下颌线太优越了
1702697820# #这小pose摆的doge
1697115710# #淡颜天花板
1701242931# #好好看
1696302134# #你们仨是不是有厌食症啊实在不行我帮你们吃吧doge
1700672156# #转发微博
1691041464# #我要转遍每一个小山山这套西装的直拍
1699670239# #忍不了Kpop的每一首美式拼接风拜拜
1704038658# #跨年2023独自一人的江南行，来自东北人对江南的执念笑cry
1700673170# #视觉盛宴啊
1704250067# #南方小土豆刻板印象这场闹剧到底什么时候才能结束，我大东北好好的哈尔滨非得给套个哥哥人设...和当初非得把祖国母亲叫“阿中哥哥”一样矫情又做作融化
1703251813# #OMG
1691041414# #转发微博
1698925125# #啊啊啊啊啊
1702697860# #小鸟胃
1690956584# #啊啊啊真的好帅六颜一（我封的
1698154491# #精神小盆doge
1703410221# #转发微博
1690940285# #精神状态笑cry
1700234670# #好粉笑cry怪好看的
1700461099# #时尚是个轮回doge
1696419857# #淡颜的神
1702122450# #这个帽子好适合他
1703513159# #转发微博
1701249756# #确实帅的很惊艳啊啊啊
1697069797# #哈哈哈哈哈哈
1700323511# #上辈子拯救了SM九族么留到现在
1702209441# #哇哦~
1697204591# #转发微博
1695959786# #我的天这真的好有语言天赋，中文说的太标准了
1699932747# #哈哈哈哈哈哈哈哈救命
1697250444# #忒好看了吧冰冰
1703785390# #我的一直静音，尤其是微信拜拜
1703151579# #客观来说没有金泳勋我是不服的
1704030639# #转发微博
1698894797# #哈哈哈哈哈哈
1702697043# #又轻轻的帅了一下
1703159834# #感觉自己失忆了
1698093790# #厉害了
1695648597# #地铁撞衫笑cry两米外还有一个也穿一样的允悲苦涩
1697204466# #绝了
1699018634# #啊啊啊啊啊啊啊啊啊
1703593932# #全景拍的也蛮有趣的
1698894717# #原来是你小子...微笑
1698154519# #啊啊啊期待
1696171308# #靠脸美帝啊
1697566236# #神经病啊哈哈哈哈
1701235413# #完全脸赞
1688571402# #好突然前段时间还感慨这么多年过去了CoCo一直那么美岁月仿佛对她特别温柔没想到一路走好蜡烛
1701312299# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1700828752# #好好看
1703594441# #帅的
1697203313# #啊啊啊啊好可爱
1697203739# #牛逼！
1701439314# #阴阴的
