1688810113# #她的舌头为什么那么长
1703483764# #大冬天不冷吗
1700619156# #在什么山头唱什么歌，法国脱衣服英国做淑女
1694359071# #努力工作就会涨工资吗？doge
1687172122# #有吗好像真没有？
1702732857# #这小腰
1701603278# #这天气天一黑冻死个人跑滴滴太受罪了
1699497830# #吃了滴滴一口屎17公里20块钱。
1687618087# #奔牛：一本线上642人。一本率90.3%。。600分以上123人。理科最高660分。文科最高632分
1700448514# #V+福利最后一天！现在订阅我的V+即可获得抽奖资格，100%中奖，最高可中888元红包~月费年费均可抽奖，抽奖次数上不封顶！数量不多，欲购从速&gt;&gt;抽奖指引
1698420659# #可以啊提裤子不认账
1699864016# #这下找死
1691330303# #low吗
1703114999# #女网红就涉甘肃地震争议言论道歉封杀就完了，你看美国就是让你失业。做流浪汉去吧。
1694694128# #我手机出问题了，电量眼瞅着就下去了，嗖嗖的。
1697523936# #难道屁比屎还臭吗
1689257442# #井川里予井川里予本就是网红小姑娘，发什么都无所谓。这几个的要是有，不知道大家会怎么说。doge
1689823690# #一个大单都没有，靠什么跑流水
1689738812# #帅哥也是稀缺资源
1689274322# #小象吃奶用鼻子还是嘴巴？
1694055264# #你说滴滴没单子网约车不挣钱，但是没听说租车公司倒闭的
1687758610# #办网约车证还挺烦要跑好多地方
1688774962# #阿悠悠身材越来越瘦了
1689635926# #早上好，跑早高峰了，出来十分钟了还没单子，常州的网约车真的少吗？
1698674722# #无知少女居然不知道公主坟
1689305654# #这媳妇多能打啊
1703710382# #给我来一打
1694004358# #勾引你开特惠
1696071184# #杨幂好漂亮
1698141590# #车拿回来了，滴滴跑起来，停了十天损失惨重。老天爷赏口饭吃吧dogedogedoge
1689861059# #家丑不可外扬
1694309943# #绝代佳人
1690929547# #当年南下广东打螺丝的小杨哥俩如今成了亿万富豪，支撑你成功的是什么，是兴趣，是快乐，做自己喜欢的事。
1696194508# #我的十一Plog冷了
1698606496# #深圳欢乐谷过山车事故共接诊28人中国的设备保养就是扯淡，不给钱不买配件，给设备部下达降本任务，怎么玩？
1697713825# #现在出现比较惨烈的交通事故后交警还挨个打电话不让发doge
1695943459# #你赚多少钱没关系但是危害到这个国家就不行别指望美国人就你你在美国人眼里也就是块肉将来也是要吃掉的。
1702474155# #这账算的有问题吗
1693610592# #这是哪位女神
1689556641# #偷这点钢筋有必要吗
1689000513# #后悔了就抢回来
1699537001# #到底是做贼心虚
1701430335# #洗了个澡浑身疼什么时候能好啊
1698044498# #朋友们，周一福利日我来给大家送福利了！今天订阅我的年费Vplus，除专享高价值付费内容和专属权益外，还能参与抽奖，100%中现金！最高6666元！今日100元大额红包中奖概率翻倍，福利仅1天！快来拼手速吧！
1698822808# #今天两单花小猪了，两三公里跑过去接，结果到点没人，等一会也没见有人出来。
1701764746# #第53次3000点保卫战莫斯科都哭了
1691188750# #你还是别放过我了
1700079725# #以色列抓到了巴勒斯坦人
1704205322# #从此以后不要叫我上早朝了
1702306416# #总得给小姐姐个机会吧
1687031599# #羡慕你们的恋爱
1700987194# #理想称MEGA的白车身设计比高铁难得多牛逼的吹吹税务局又管不着
1700402861# #你说的是什么
1688133007# #常州市昕弘实验中考再创佳绩家长们自发的去放烟花了。
1699510851# #部分院校医学生医院就业比例不到40%除了名校的能去做一部分医生，其他大部分都是医药代表
1694699555# #实际中的大学与实际的生产差距有多大摊手
1697795090# #10万级新能源车该怎么选为什么大众电车也放里面不是工业垃圾吗？
1698064066# #好老公也都是别人的
1702758757# #江南的雪
1703762282# #收车了不跑了
1691653291# #不派单，愁死了。可怜可怜可怜
1687725587# #老板坏的很
1692879847# #她们只是要点钱你要命啊
1695110514# #不响就不响吧，反正滴滴特惠订单都是垃圾单，跑一单亏一单。doge天黑就回家你说对吧。
1701132230# #马勒戈壁的五十公里的实时单还免佣给老子取消了苦涩
1695470628# #今天你去奥体看演唱会了吗
1692752357# #常州的交警能不能干点实事，这树叶子挡着能看见灯吗？
1696625051# #夜太黑看不清
1703196466# #冬至冬至肯定吃饺子啊！俗话说的好：圣诞不端饺子碗，生下耶稣没人管。万圣不把饺子包，掉进油锅没人捞。感恩节饺子吃起来，满地无主的印第安死人排成排。独立日不吃饺，走在路上被狗咬。情人节吃饺子，来年生个胖小子。
1704030082# #龙城常州
1697884489# #啥樱桃车厘子的有的吃就不错了
1698679450# #看见啥了我怎么没看到
1700157591# #真是家有小女初长成啊
1701108115# #从战区回来的他（老百姓）看到的是：先是用无人机侦察，然后再用无人机来炸，几十上百架无人机，飞很高，子弹根本够不着，砰砰砰的炸，等把对方炸散了，再用无人机追击，人扛着枪在前面逃命，无人机在天上追，见着就炸，躲哪里都炸，持续不断的炸，等炸得差不多了，然后再是两三个侦察兵在制高点狙击手
1702370527# #今天的花小猪就是一头蠢猪，没一个好单子。浪费时间。
1690898729# #要脸就没有这么漂亮媳妇了
1700880073# #怎么会那么美
1691879675# #最甜部分哪里去了
1699621073# #二百就不选你了
1688610287# #啥叫快车道？
1703677740# #你去面壁思过
1696892103# #起床吧跑滴滴啦
1703076278# #白酒都喝不动了两杯允悲
1698090232# #美国也搞师夷长技以制夷，把中国的各种产业园搬走了
1690942590# #哈哈屁股摔坏咯就不能生育了
1695124114# #这摩托车真不错
1691235128# #这一天天的跑滴滴流水起不来，不给派单怎么办可怜可怜可怜
1695520768# #就像喂牲口一样
1701522110# #洗完澡又出一身汗
1702541427# #你别上班了先裁掉你哈哈
1698031224# #保险公司那边来办理代位追偿的挺多啊
1688720766# #跑滴滴还是内部人账号比较好，一张起步价单子都不给他派，就问你服不服？
1691050671# #【玖珑首府物业管理处】各位业主:。前期的物业已不辞而别，目前界沟村村民委员会和新的物业，已找律师帮助大家追缴装修押金和预交的物业费，望大家在本月五日前到小区物业办公室签字，已便迅速起诉，逾时视为自动放弃。。界沟村村民委员会。泰州市华恒物业管理发展有限公司。联系电话0523-86585126
1696863043# #这舌头比那话儿都大
1703280274# #清新
1693734380# #健身很漂亮
1700401136# #这些王八蛋没有一个是被骗过去的，都是好吃懒做想发大财主动过去的，回来也是危害国家，他们就是人间垃圾。
1694387213# #每日一餐分享绿都万和城早上叫车人多车少。但是平白无故空跑六公里过去太冤大头了doge
1700424656# #日本的木头好直流
1695474670# #做新娘子累吧
1687523855# #常州的夕阳
1703764618# #老板都这样多好啊
1687667684# #好爸爸好妈妈
1703650296# #李善均疑似燃碳自杀啥叫烧炭自杀，我怎么看不懂
1701832776# #带病出来跑单滴滴也不给个单子。
1696025933# #一条plog告别九月放假下雨今天适合休息
1693984110# #这也是绝活
1690716171# #2023高考捡漏王
1687662861# #北京有必要设专科线吗
1687610634# #跑滴滴还得平台赏饭吃，看看人家这三个大单就三百了
1698699182# #乌克兰被美国抛弃，欧盟拒绝让他加入，再次证明要自主独立富强，不能依赖别人的恩赐。
1702560756# #这多好吃的最新鲜
1701506706# #这谁下的单啊
1700900555# #比亚迪官方回应终端促销网约车饱和了
1695693285# #每日一餐分享没单怎么破，旱的旱死涝的涝死。有人跑单到尿憋死，有人等一天来俩毛单子doge
1695631754# #
1698591224# #有点肥
1696194404# #天气渐渐凉了
1699868077# #中国千万净资产家庭达211万户羡慕
1688855867# #白出来这么早，看着挺热，跑过来是凉的。苦涩
1689573361# #这是哪位滴滴大神
1695044686# #我也是这么吃饭的
1687094782# #电气专业也都是坑
1703729760# #到了淡季滴滴没单子看会美女
1691328573# #滴滴的实时快车单
1698367688# #李克强同志逝世天哪蜡烛蜡烛蜡烛
1697001818# #恳求滴滴派个单子吧都空跑二十公里了苦涩
1691759330# #真正的黑科技来了
1694438770# #李佳琦就直播言论致歉我觉得不需要道歉，现实世界就是这样，我们坦然面对吧。
1689857450# #买的永远没有卖的精
1700122674# #羡慕你俩
1691145010# #居然有一群
1688935669# #常州的夕阳
1693618338# #会这么多娶回家多好啊
1697898800# #这电费为什么北京比河北便宜？江西为什么最贵？
1701060537# #羽绒服涨价把市场让给了军大衣没想到吧
1696027132# #先进后来
1687603901# #大家怎么看
1690245561# #滴滴这申诉还没结果，就开始扣分，搞什么东西啊，有人管吗，电话还没人工通道？要倒逼了吗
1695640967# #上帝告诉你人人平等了吗？
1699962842# #以后不敢来看中医了
1688047315# #是不是一绝
1700769797# #中国或成为全球第一大汽车出口国汽车不是日本人卖的好嘛
1689140977# #热到生无可恋
1699172057# #暴雨啊，收车避雨
1697775944# #驱赶流浪狗处置中致其死亡涉事保安停职流浪狗就应该打死
1689435668# #这个电视剧肯定好看
1701656041# #朋友们，周一福利日我来给大家送福利了！今天订阅我的年费Vplus，除专享高价值付费内容和专属权益外，还能参与抽奖，100%中现金！最高6666元！今日100元大额红包概率翻倍，福利仅1天！快来拼手速吧！
1693096430# #真的什么都没有
1696154798# #一定是真爱
1692882630# #哈哈都被你看透了
1695628852# #我也想吃肉
1697380414# #原来是公派出国，然后失联没回来。这算什么？
1693743037# #特别鸣谢滴滴出行的积极派单。常州
1691718353# #咪咕改版了不怎么给钱了
1701760778# #建东学院的下课就打车啊全部起步价
1700570645# #女人还是肉肉的好看
1698017950# #随你跳腾上面啥也知道
1691466967# #甜蜜生活
1689758112# #职场险恶啊
1689906087# #借钱不方便
1695128889# #俩奇葩
1692993909# #日本海鲜倒下去，山东海鲜崛起。这是历史机遇得抓住。
1698018378# #啥也不干干啥呀
1697873506# #走开妨碍交通了
1700469489# #一天没开特惠一天没给派单滴滴牛逼doge
1698898810# #年底了，每个公司又开始酝酿裁员降薪了
1687217314# #现代版聊斋鬼故事
1695265848# #家门口开了一家魔都三兄弟，免费续面续米线，是啊，碗里的份量少了一半，能不续吗？一般人脸皮薄不好意思，就会多点其他吃的。这样分量少不就是变相加价吗？666666666
1700640977# #艹，为了接个人还吃个罚单一百没了
1695077395# #顶不住啊
1695518793# #莫名其妙为什么扣我钱
1697498779# #畜牲它就是畜牲
1700701763# #太淡了一下子大家都不打车了早高峰滴滴都没有单子
1703042783# #恢复了往日的平静，没单子doge
1698345809# #上赶着富二代也不会娶你的
1695268186# #西安交大回应取消四六级学位证挂钩有英语专业的吗，出来说说感受doge
1691099873# #满嘴跑火车这女朋友不能要了
1688440010# #我来做你的陪练
1701627712# #这是什么神车
1698588359# #这野外玩半天蚊子咬一身包
1690288044# #这家伙是不是会更兴奋，不过万一下一任看了会怎么想
1694384939# #三个选哪个
1693011603# #驻泰使馆通报解救被骗至缅甸中科院博士读书还是有用的
1696763497# #以色列
1697622873# #香菜为什么不切碎呢
1698678923# #只是孤儿长大了
1694839887# #这账算的有毛病吗
1687031587# #带岳父去按摩后续来了
1687718644# #张碧晨还是小姑娘的模样一点也不像生过孩子的
1693314499# #还挺可爱
1700201876# #好看
1698506440# #十万块存下来不容易
1688784694# #应该不小八
1697763361# #可以断定昨晚常州风很大
1704029584# #吃上帝一碗面能不感动的流泪吗
1699123565# #看看演唱会挺好的
1698958812# #走拉屎去
1700580415# #我同意你的观点
1690435343# #今天又废了困住了没单子
1692605102# #送外卖的妹子是越来越多了都还挺漂亮
1697953350# #保险理赔员都是双休吗，周日不接电话不看信息。
1690964518# #这个调查问卷是来搞笑的吗
1687323102# #还真胖了
1688784673# #送给我吧
1702843766# #李斌直播实测蔚来150度电池开暖气了吗？
1703064645# #胡锡进个人浮亏首次突破5万元可以肯定一点老胡没有内幕消息
1694399527# #幼儿园学英语
1702734591# #老外眼里的中国
1691894810# #脑子一抽又闯红灯了，妈的感觉当时看的是变绿了，像幻觉一样。我还在纳闷旁边的车左转难道闯红灯了，我再抬眼妈的，我这里是红的，还在倒计时。感觉就像是幻觉。起步看到是变绿了，怎么到路口对面了是红的。操蛋。
1703530223# #单身狗们看过来
1703792985# #小米希望成为全球前五的汽车厂商小米加油
1698022795# #耐克大中华区宣布将实行四天工作制受益的肯定是领导，导购们靠业绩吃饭的让她休息她也不愿意。
1702919261# #国家公祭日男子身贴日本国旗被行拘抓起来给他喝核废水
1701472116# #转发微博
1687322813# #嫁给你不要彩礼
1697795162# #中方驳斥中国有超500枚核弹头言论一个母弹里面带十个小的算几个呢？doge
1703301228# #今天滴滴的单子可没有昨天的好
1703908196# #孟羽童称所有烦恼都与外界无关支持孟羽童，世界属于后来者属于年轻人
1697793542# #周五学校放假都在爆单doge
1693735172# #出租车完了？网约车加装顶灯、空车灯，要开始巡游拉客了！。网约车装顶灯、空车灯合法吗？。。据了解，很多地方城市都在进行巡网融合发展，不仅装顶灯，还装计价器，在网约接单的同时还巡游载客。。其中最具代表的是广东省汕头市，顶灯由交通局亲自监制，开展巡游+网约的新业态发展。。融合发展，对于巡游车
1694180628# #需要这么复杂吗，就是一手指头水就够了
1699605948# #关了特惠来快车单子了干的漂亮
1698880496# #我觉得挺好看的
1697862060# #让我们恭喜常州
1697587112# #没事干要起床吗
1701084492# #操蛋的一天结束了，毛蛋没有跑什么滴滴
1702100534# #人美歌甜
1697779683# #大清的皇帝各个勤奋努力就是这样努力的
1693141347# #真是傻人有傻福
1699079543# #心情极度不好，很烦。妈的。
1699252304# #一夜入冬北方下雪啦
1691979163# #千里香馄饨到处都有但是奔牛没有doge
1698436560# #你是唱二人转里最美的女人哈哈
1701446903# #学渣学到的
1694039835# #你想得美
1689742828# #双减前后中考成绩的分布图
1701235084# #这要怎么试啊
1697643007# #宝马与出租车相撞侧翻起火驾驶证身亡意外事故为什么总是强调判责呢。
1698110614# #还以为小三找上门呢
1700858357# #中医马上就发扬光大了
1696900769# #早高峰跑了几个毛单子
1703881257# #糖葫芦还有扁的啊
1697080486# #妈的倒霉又撞了
1692014615# #哈哈回娘家你就是客（念伽）
1687315066# #一路向北就到北京了
1696812716# #这就是以色列干的
1692600019# #孩子都那么大了你说这个
1695262115# #大肠头现在买不到吃不着
1690153409# #海景房要不要
1702128293# #吃货韩国妹子
1696902332# #哈哈你可以洗澡了
1687224979# #看到真龙了
1695683265# #每日一餐分享早，滴滴虐我千百遍还是要出车的早高峰你好。
1693550991# #小鹏飞机来了你会买吗
1687726675# #富三代上场了
1700659815# #这是周芷若的那个师姐吧
1703281143# #女人们都生个孩子吧
1694397611# #李佳琦带货怼网友怼了你又怎么样，你去哪里买好货doge
1701764818# #财政部回应穆迪调降中国主权信用评级展望穆迪是什么玩意？有资格给一个政府评级？
1702390975# #随便跑花小猪的都是实时大单，我这搞了免佣卡的都是一口价还是顶多两块钱一公里，接驾全是三公里以上的，要是花小猪也这么算计，没意思了。是不是觉得已经入套了就无所谓了，肉给那些门外的。
1690746470# #大熊猫丫丫
1694135828# #如果不推特惠一口价，只是实时计费那优惠券只能是滴滴自己买单。推了特惠一口价，优惠券就是司机买单，并且有些优惠券还是虚拟的，你懂的。doge
1687530599# #偷窥还是挺刺激的
1700045342# #感谢狗滴给的窝囊费。谢谢滴滴出行的努力派单，常州跑滴滴越来越好。
1689952691# #滴滴对乘客是实时单，对司机是一口价特惠单，里外里的收益就成了50%。哈哈
1698365223# #一大早单子全部以特惠派单滴滴确实牛逼doge
1692713506# #根源上咋解决问题
1689515670# #这腰杀人的刀
1697256518# #大英帝国和陕西省的关系
1697643600# #日本人倒核废水柴静看见了吗？以色列轰炸加沙贫民柴静看见了吗？doge
1687380562# #端午安康滴滴顺风车克扣司机车费，这著名的价格到账少了二十。客服电话连个人工都找不到。
1700648177# #花小猪都没单子，唉😔
1697467336# #我觉得男足的目标不要定位世界杯，目标定位踢出干净的足球才接地气。
1692969014# #滴滴超级特惠来了
1699430810# #这一单真幸福
1697472605# #本次巴以冲突会引发大规模战争吗那得看以色列能抗住多久？
1697741966# #这怎么就打不过了
1687964904# #亲爹
1693032498# #在孟河滴滴和花小猪都不响了苦涩
1701664210# #充电宝算是把人性玩的明明白白的
1699899259# #滴滴跑一天累啊
1688783852# #这是怎么回事啊
1693018018# #吓到了吧
1696665000# #专家称调休初衷是好的直接多放假两天会死吗？到底是什么力量阻碍中国人放假了？
1699358075# #前期还能摸吗
1702370385# #开裆裤的故事
1692139164# #哈哈是有点低俗
1697863051# #狗子不咬人哈哈哈哈哈哈
1693193676# #30岁的女人有什么魅力？
1699051425# #美团宣布除夕放假意思是没有外卖员上班吗
1699794127# #晚上都没车了火车站爆单了，滴滴还在派特惠单
1702296585# #做好一个花瓶的工作
1698693205# #胡锡进称上海万圣节是洋节中国化管他谁的，我用就是我的哈哈哈哈哈哈
1696999050# #猫咪为什么不愿意亲你
1688277798# #“其实感情不伤人，伤的都是重感情的人，用心没有错，错的是没有遇到珍惜你的人，失去也不可怕，怕的是执着后的失去”来自于《消失的她》的彩蛋结尾。。话说到这里就好像电影最后结束开灯，所有的人已经走了，以为没有了结局，可是如果你坚持坐在了最后才发现，还有意外发现，人生也像电影，你以为
1688824062# #买一箱可乐放家里冰箱里啊
1698519147# #跑滴滴的夜归人
1693030909# #这一单是送货，不是送人，我要求补偿我空驶费。
1698959611# #单身狗们看过来
1699302401# #感觉好累
1692400064# #每日一餐分享营运车辆查处权利交给城管会怎么样？
1692686289# #今天下大雨滴滴才给拍了点起步价单子跑一跑
1701780963# #这样的工厂还是不少存在吧
1689829435# #我在一个区域里待了十分钟，四辆空车，爆了七单，一单都没有派给我，你说奇怪吧。我一路空驶到万达，派给我一单四公里的单子，一路上都看得见路边一个个拿着手机打车，左右张望车子过来的，你说派单神奇吧。是不是锁了我的账号，大单都不派给我，派单范围就是十块钱上下。你怎么解释随机派单，你信吗？
1693046203# #一家中国的制造企业，在东欧运营一家超大规模工厂。结果有一个周五，工厂发现忽然某一个关键的零件意外缺货了，会直接影响下周的生产计划。。。采购部部长和几位高管都急到跳脚。供应此零件的是一家法国供应商，但不知为何就没有按时送货。供应商的销售人员也不接电话，完全处于失联的状态。这家企业只能
1698134642# #泽连斯基给乌军反攻进度下任务哎呦，你说了算吗doge
1692021186# #情人姐今天可真漂亮
1699484397# #这是怎么回事
1690123300# #跳的真好
1689721629# #哈哈当爸爸来的这么快
1703386004# #看会美女
1701085197# #这可真是肉乎乎的
1698591215# #丑不丑？
1687637593# #都睡了吧
1691982416# #滴滴不想给你派单就一直发调度
1699191513# #今天上车两个带孩子的，一周岁的样子，鞋子五百一双。
1687608221# #你学会了啥
1688090713# #你们都是什么鬼
1703072610# #看会美女
1692556741# #每日一餐分享这是哪个日本女人
1692315001# #说的对健康很重要哈哈
1701785770# #这个真的不一样吗
1701029540# #我嘴巴也干怎么办
1700013921# #这个妹子够软吧
1699171951# #终于下雨了
1697597090# #有这条件别说二胎，四胎都生了。不生孩子不结婚不就是因为没钱吗
1688439992# #这就是锅不行
1698110590# #这是那家店啊
1690981361# #溧阳跑滴滴可真苦逼
1695199531# #好大的风
1703880883# #这是真的小啊
1688134504# #护士卷成这样了
1697769544# #哈哈说明你们的姐夫太优秀了
1695886426# #中秋节快乐
1697861944# #知情人称青岛啤酒涉事人系外包工你们还有多少外包人员，他们个个都这么上厕所吗，那更可怕
1697604041# #乘客享受了滴滴特惠以后是什么感觉，会骂街的。上次晚上在新龙生态林接的一单就是这样，乘客说中午28块钱就过来了，晚上怎么这么贵要60了。。之前还有一个老头中午从第一人民医院回来花了15，这次要40，直接骂滴滴怎么这么贵。。你以为谁会念你的好享受了特惠感恩吗？笑话。人性就是这样占便宜成了习惯，
1694384462# #我上次这么干捅鼻子眼里了
1702802068# #山东的大雪
1693571326# #还记得骑马舞吗
1699830983# #早高峰上来看看，滴滴一直推特惠接不接，花小猪整几单六块七块的接驾两公里，谁跑？市场只能向下调节吗？
1688075018# #一条plog告别六月六月的雨很大再见吧六月。
1687667673# #爱情啊
1689058196# #生意一点都不淡只是滴滴没有把单子派给我。doge
1691764764# #俩一起要
1692537116# #上周日遇到个精神病患者，今天遇到个酒鬼撞我车。妈的真倒霉最近。
1687155056# #日本变态屌丝
1689043599# #又被滴滴扣分了，然后他不给我派单了，今天凉了。
1692259417# #调头往回跑
1689275575# #河南的高考绝对撸了全国的羊毛，各大985大学了录取人数排名前三。去掉复读生绝对第一名。
1693971022# #花小猪你怎么了全城都没有热力了doge
1689711864# #真是个聪明的孩子
1689076842# #你物理没学好，受力面积越小单位面积受力越大。
1703419643# #跑一天滴滴不容易
1697852006# #哈哈撒娇女人命最好
1687923557# #我勒个去吓死了
1694181706# #谁知道答案
1704029497# #跨年跨年忙死了家底还有多少都搞不清楚
1701427193# #草莓不错哦
1697679845# #环保少女成长为环保老娘们儿了
1691659341# #找个结婚对象就是这么难
1702169842# #上线一小时了一单没跑doge身边的不派单，都给五公里外的问你接不接？狗滴滴就这么干？
1697089753# #外国雇佣兵离开乌克兰赴以色列作战这么快就被抛弃了
1696772266# #丁玉捷长的不赖
1698310605# #国防部称以武拒统是死路一条打吧
1703341816# #我就不滚
1687203553# #长的挺漂亮
1688165778# #苗头不对
1699857359# #你对花钱有概念吗
1703255702# #还记得你的初恋吗
1696136903# #知足吧就你有男朋友你闺蜜都没有
1698732572# #方便面时装秀
1689775084# #吃饱了好减肥
1690808751# #老王减肥成功了
1690626276# #我就是爹
1688439950# #热乎的好吃
1694861253# #高速费也是要参与抽成啊doge
1697087054# #你是真的来玩游戏的
1694600127# #晚高峰花小猪一单像样的都没有泪
1701067365# #不错哦
1698034044# #胆子不是一般的大
1688376727# #给你举个栗子:。报的学校某专业组有计算机和农业工程等10个专业，你报了期中5个专业和不服从调剂，同时考了600分，这个专业组提档线可能是580分。此时600分的会被提档，但报的5个专业，最低610就录取满了，这时候600的就会被退档。
1698707168# #今天要加油哦花小猪多派点好单子过来
1702774906# #星期天没有单子也要出车来转转，滴滴虐我千百遍我待滴滴如初恋
1687990836# #有这么会撒娇的女朋友多幸福啊
1687388932# #好看吗
1694530101# #这个游戏有前途
1688784680# #这妹子不错
1697870542# #青岛啤酒涉事工厂是世界级智慧工厂哈哈泰兴也有一个安全智慧管理的案例，花了三千万做的安全，结果去年年底烧了doge
1698310638# #张庭96套房产解封官司打赢了？doge
1699445514# #操作工不好招
1698090280# #这算好的了，总比吃饱喝足抱着礼物说天黑了要回家的好
1688678070# #这还走啥
1702053441# #专家称2.2亿元彩票中奖应缴纳20%个税不是按照等级缴纳吗，以前说五百万就要缴纳45%的税了。
1699921975# #高盛等外资机构齐发声看好中国资产又打算挖什么坑？
1692926398# #去溧阳一百公里，一百六十块钱。单子没接，乘客取消了。doge也不知道对错
1694546379# #够小猫研究一辈子了
1687103961# #人与人的关系太复杂，我还是安心跑滴滴吧。。。昨天拜访了一位处级伯伯，他告诉我：无论是职场还是机关单位，领导跟你说a辛苦了千万别说“没事，不辛苦”你这样回答抹掉了自己的辛苦付出，还让领导没法接话。。。也不要说“领导，您更辛苦”因为领导辛不辛苦不是由你来评判的是由他的上级来评判的。。。高情
1702523266# #年轻人都这么谈恋爱吗
1693373828# #枯木逢春
1688829046# #德国车比日本车好但是没有国产车好
1696729662# #挖呀挖黄老师5场直播销售额超百万好看的女孩考幼师护士，然后上班拍段子，再做直播带货挺不错的。
1690605804# #情深似海
1696498617# #台湾人民的诉求
1697136689# #老妹儿衣服哪里买的？
1691629221# #这样有啥意思？
1702423709# #这天气好想一直睡懒觉不起床
1694959041# #腊肉不黑吗
1698880436# #你老公厉害
1701576000# #毫无违和感
1703092342# #美国海军航母舰队连也门胡赛武装都打不过了doge
1688774560# #力气真大
1700015287# #这种男生遇到了你也不会喜欢的女人喜欢的是坏坏的这种男生遇到了你也不会喜欢的女人喜欢的是坏坏的
1699742540# #坐车就要系好安全带
1697959809# #纽约鼠灾杨迪你怎么看允悲
1700612216# #一个个都很会打车只选择特惠，早高峰也这么打。都人多车少了也只发特惠。
1704072941# #这就凉了，早上没单子了狗滴滴单子都给谁了doge
1700790906# #回村那么久了怎么还不结婚
1696690797# #他们哥俩是什么玩意儿
1696395741# #我的十一Plog好吃吗
1687083265# #你比他更吓人
1700924546# #评论区里挑一个满足她
1698891774# #这招对大姨妈真的有效吗
1703370074# #日本出租车司机人数大减20%老的都死了
1692147063# #一大早干到机场来了
1701278669# #一条plog告别十一月可能感染了嗓子疼两天了。
1703643247# #停车拉屎
1700654093# #吴亦凡形象代言的吗
1702627163# #光明网称董宇辉孟羽童是不稳定因素说得好，我们需要人，不需要人才。给个三五千让干啥就干啥，这是我们需要的。我们不需要人才。
1701085586# #日语不配作为一种独立的语言他本质上就是汉语的一个地方口音。
1703504386# #感谢狗滴派单今天跑了99元，非常吉利
1694264617# #实话实说
1687031573# #不敢走
1698303718# #秸秆烧掉生成的草木灰作为肥料有利于土地。秸秆中的虫卵也一起被烧死，有利于驱虫。秸秆燃烧不污染环境别在听鬼子汉奸忽悠了。秸秆直接放田里几年不能腐化，容易滋生病虫害，有机肥料不能反田被利用。你看东北的黑土地就是古代秋天的野火把野草烧掉沉寂下来的。
1700651969# #下次让她给我送外卖
1696426030# #中美经济的差异
1695248776# #西交大威武
1693189754# #周一下雨没单子，大概大家都去公司开周会去了吧，PPT写好了吗，老板的刁难怎么，业绩怎么提升？都想好了吗
1692749332# #这是什么原理呢
1694244575# #哎花小猪的低价烂单子响个不停，滴滴一声不吭。妈的，怎么跑？
1692665253# #情人节快乐
1698508229# #你搞对象是这样的吗
1690969045# #【江苏省公安厅】所有企业请当心！诈骗分子伪装成企业老板、高管等身份，诱导财会人员进入QQ、微信、钉钉等群聊，指令财会人员查询公司账户余额，再以“合同保证金、过桥款、业务款、定金退回”等为由，骗使财会人员向指定账户转账。切记，企业转账汇款务必通过电话或当面核实确认！。。这条短信本身就吓
1696969429# #夜里天气好凉
1702865640# #朋友们，周一福利日我来给大家送福利了！今天订阅我的年费Vplus，除专享高价值付费内容和专属权益外，还能参与抽奖，100%中现金！最高6666元！百元大额红包概率翻倍即将结束！福利仅1天！快来拼手速吧！
1701382311# #嗓子疼浑身发冷。半夜起来都站不住了浑身筛糠。doge
1697969190# #讨债的确实厉害
1699192177# #这才是狼性文化
1692619749# #撞我车的警察说找到了，但是人是个傻子，他们也没办法。
