1703039828# #好有礼貌的一群小猫呀
1703991701# #嗯嗯嗯嗯藤井懂我兔子兔子兔子兔子兔子兔子
1703395419# #加油宝宝们！
1703570036# #那就燃起来啊
1704035583# #其实他一直做得很多
1703773305# #中间两位你们衣服互换下可能让我看得舒服点。还是没习惯
1704453293# #我恨一些收费1088的发型师🙃
1704502053# #可以说领导不在没有同事没有紧急任务的加班是全世界最舒服的工作了……打卡以后点了杯咖啡开始看剧爱你
1704191659# #叉优恩看把你美的「控控龙就赢了」笑cry笑cry笑cry笑cry笑cry
1702989948# #果然是原版更好听啊可怜可怜
1704119073# #“t1出来！”
1704191092# #哎哟可爱
1703422318# #万磊：我被网暴了。朱开：我受委屈了。都是成年人了你们能不能懂得什么叫做责任啊。
1703766453# #原来……首战打的就是滔搏哥吗。一些命里注定。
1703722238# #以前只听过纯子在韩服乱杀的传说，据说以前每年都要冲一次韩服第一，就23年没有……第一次真实感受到了韩服战神的冲击力。（甚至后面奖励四把沙皇控分。。
1702951338# #额啊
1704377726# #破鸟你们居然这么勤奋费解
1703635220# #看了下这局的录播，就说怎么感觉有点奇怪，这个号是不是没有买zeka的皮肤。。。
1704264019# #春季赛正式改名为沙特电竞世界杯预选赛！对不起他们给的真的太多了跪了跪了跪了
1703426253# #啊啊啊韩国的点滴针头那块是露出来的？我的天，我这种晕针晕血的会昏过去的……
1703925239# #小卡的神苦涩
1704197762# #要唱起来了～我爱的🎶是小狐狸🎶。也就生涯83.3%胜率的狐狸罢了～识神小狐识神小狐识神小狐识神小狐
1704097374# #一起菜菜的，很安心鲜花
1704542267# #真不是凡尔赛，我碧总共打了两天半训练赛苦涩
1704456780# #碧超压力拉满！。小碧该直播直播，该大乱斗大乱斗吃馕
1704550412# #你怎么了啊。说这种话会让我很担心。
1703807479# #大金毛生日快乐蛋糕
1703150250# #啊啊啊啊啊啊啊啊啊虽然那一天所有的微博都删了（之前以为卓定要回滔搏，把今年微博基本都删了……但是年度报告还在伤害我。
1704258864# #边制作人nim
1704289039# #JDG，小碧在决赛很想你🥰
1704202756# #纯子，这几年你为了赢真的付出了太多了（指头发
1703658783# #稳稳的幸福🥰
1704371488# #跳！就跳！
1703808196# #“春天啊你为谁芬芬”。“秋天啊你为谁变凉”
1703545470# #早睡让我错过了什么？。一翻超话说昨天下中野热聊到三点多？？？
1703392953# #受不了了，都离队了能不能别来别人的地方了。我反正是jdg超话和虎扑专区都取关了……。到人家专区去发打野辅助指挥不行的洗脑包是不是有病啊
1703623933# #深有同感，看lck比赛中间要是放guma唱歌会让我身心愉悦很多……
1704247741# #纯子你……
1703753705# #fpx不会真的要0-16了吧……😃
1704469197# #啊啊啊啊啊怎么那么好笑啊，滔搏刚买完小奶油八连胜进韩服前十的通稿，这边排到kk和oner，直接中野互换断你连胜污污污
1704205505# #请欣赏，我每年都拿绩优奖的事业型老公
1704080751# #两年了苦涩苦涩苦涩们嘉南传还有售后苦涩苦涩苦涩苦涩苦涩苦涩苦涩
1703224892# #我纯说目标是冠军，说的是s冠，因为他只差这个了。希望其他队友粉丝有点b数嗷，别拖后腿。你们给我纯上压力，作为纯杂也可以给队友上上压力吧委屈委屈委屈
1703047897# #听说欧恩和女朋友分手了，我就去看了下他的微博关注，又给我嗑到了。。第一个关注是让自己安身立命的游戏，第二个关注就是你呀。
1704282967# #binbin从质疑到加入
1703634191# #我的吴小狗苦涩
1703153890# #我说看牙批不如去恨抖子吧，那才是看片真的白月光。
1703287488# #啊谁懂我的笑点
1704118288# #特意把这段xun跟手子撒娇的语音剪出来以后发现他们争的那个人头是我狗微笑
1703148622# #我的妈呀，edg关注下四叔的心理健康吧，他现在看起来不是碎了，是要疯了……
1703677281# #冲冲冲！小碧！偶们老皇来啦！
1703861507# #Wflbb
1704545052# #彬彬你还欠五次丹砂！我都帮你记着的
1703281935# #好韩
1704037796# #Rng超话。“我们有能丹砂左手的圆神，你们别的队有吗”。能把我笑死，hz真全员圆吹。
1703232233# #狗！刮胡子！！！
1702994007# #笑飞了
1703401570# #ε=(´ο｀*)))唉，19年bbvlog里第一次害羞地和faker打招呼的时候有没有想过会有这么一天的呢
1703246295# #小碧自信得我有点受不了了
1703622006# #纯子你咋还吃我狗的分苦涩ad上分太难了
1703521901# #对啊对啊，本来就是。
1704591861# #knight卓定超话顺便总结了一下knight德杯的全部高光数据。本次德杯BLG合计九个胜场，knight三场MVP+最终获得FMVP，差不多算四个小场MVP。九场比赛其中五场打出己方最高伤害并不简单
1704450138# #加油喵！2024了翻身农奴把歌唱了喵！
1704542865# #快点训练白回来悲伤三亚肯定没涂防晒
1702985116# #啊？？？还能这样玩
1704009754# #那么帅的今天？？？
1703421265# #你委屈所以不ban贾克斯？
1703500965# #啊苦涩我怎么又落泪了，圣诞快乐呀！
1704377140# #原来两年啦拳头感觉疫情跟一场梦一样
1703396278# #这么丝滑？
1703582053# #太子太子妃蜜月vlog
1704585410# #抽我
1703313001# #今天天气也很好，回家太幸福了苦涩，妈妈说晚上想吃火锅，我俩一拍即合去超市买了食材，下午就窝在家里看看剧……不用工作的日子永远阳光明媚。
1703133458# #Oner宝宝的头发看着也太不良了
1704503646# #不打德杯，是不是因为关在青铜门里了
1703905943# #我的kpop记忆是一个巨大的smtown
1704466733# #是写错以后心虚抿嘴的小🐷一枚呀
1704201138# #Top5啊～我们小碧包了
1703330673# #勋子居然能听懂纯子说话？？？？我今天基本50%都听不太懂。
1703223870# #转发已经给纯子上压力了融化融化融化
1704585351# #可可爱爱欧恩宝宝
1703165024# #你们干脆装死吧，别说话了……
1703927985# #纯子打德杯。输了→被喷。赢了→只会虐菜→被喷。。纯子不打德杯→连汤圆都怕→被喷。。既然做什么都会被骂，那就说明什么都能做笑cry
1703411941# #Blg说德杯四强，是真没把rng放在眼里啊……昨天看直播感觉中野不一定上主力……一说备战德杯这俩就笑。然后也都带了替补中野，或者先进了四强然后上替补？？
1704292637# #孩子大了有包袱了苦涩其实真的还好
1703495284# #至臻全华班！开吹！
1704119150# #真挺没意思的，怎么银河战舰德杯四分之一决赛已经倒了两艘，还没过年呢。
1703520854# #可爱啊勋勋
1704250870# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈勋导！起来赚美金了！
1703990692# #看了皇碧昨天的排位记录，皇的中上野rank到了三点，碧的下路rank到了三点。尊重给到我的两个宝贝笑cry笑cry笑cry
1703207758# #小明生日快乐～心
1703636419# #浅浅逛了一下edg超话，感觉四叔粉丝已经濒临崩溃边缘了。嗯，很像22年年底的我呢融化
1703034808# #不得不说大家的头像和人设也太符合了，像在看一些捡手机。。
1703425541# #这就是e人吗我服了
1704281704# #逐渐变成碧杂的模样了
1704011204# #多穿点啊各位
1703888377# #码一个，24小碧第一次五人直播。
1703851160# #卧槽？
1704033865# #要中毒了，转转
1703223100# #宝宝……这谁能猜出来…
1703634326# #我和我喜欢的人做什么都是对的
1704039864# #原来blg吃的是捞王，没吃海底捞的原因不会是今天欧恩打得比胖彬彬好吧。他俩之前因为吃捞王还是海底捞吵过笑cry笑cry笑cry打得好的人掌握话语权。
1704093272# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈这什么啊
1700539840# #
1704557090# #微博已经满足不了你了
1703163980# #妈呀，geng搞这一出，别不转播lck了……
1703162394# #好猫，我现在有点无聊，你能不能发点东西让我开心下。
1703301202# #这小流氓兔是怎么长成现在的骰骰的……amazing
1704534850# #老纯别送了
1704022101# #世另我
1703303661# #B站首页刷到一个电影解析，点进去看到弹幕……意满离
1704330624# #纯子居然要去微博之夜。纯子和都都夏季赛合影过。都都和晞子刚合作过。晞子21年edg夺冠时候发过微博。。所以我能梦一个晞子和纯子合影吗可怜
1704552539# #纯公过来填空
1704091725# #这是ra？这是lng？
1703333940# #已经开始拌嘴的我们中野
1703313778# #早睡皮肤真的会好很多，这周一直十点前睡觉，没怎么护肤现在皮肤状态也很好兔子
1703680813# #皇杂真的好爱吹，是真的不怕奶死婊活，人家银河战舰，lpl今年最贵造价，真的别去硬蹭了苦涩苦涩苦涩好害怕
1704028829# #上了！c了！两把mvp了！
1703563048# #小碧宝宝们，2024请狠狠相爱。
1704509963# #一眼相中的小肥狗呀
1703561249# #纯子你是怎么这么平静说出这句话的……
1704453647# #对不起，是我们rng菜到你们了
1704117084# #看虎扑感慨一声，休赛期果然结束了。
1703414544# #啊，小时候感觉是会好好吃饭的。
1704520782# #🙃P挺好的，下次别p了
1704379990# #小碧杂已经在不知不觉中开始了拉踩的一生
1703063458# #笑cry笑cry笑cry笑cry笑cry笑cry笑cry笑cry笑cry笑cry笑cry笑cry笑cry笑cry
1703066062# #经我多日观察，碧梨几真正若汁的应该是上野辅，双c真的很努力在融入了融化。上辅幼儿园中班，打野幼儿园大班……这样
1704447537# #和xxnpy聊了很久她儿谈恋爱这事，聊着聊着聊到亚运，突然想到林恒是不是也跟纯子他们一起被关了两个月然后天天做操开会被没收手机啊笑cry笑cry笑cry笑cry
1703546070# #记录下
1704514597# #“珍惜每一天”
1704545222# #又幸福了可怜2024可以一直这么幸福吗可怜
1703071072# #勋勋真的勇敢无畏但是好菜
1703128098# #斗斗子入伍没有摸头照吗？
1703416233# #哎哟19年，滔搏玩吐槽队友的游戏，当时球球开玩笑说，我面前坐着国产第一上单369和国产第一中单knight。苦涩
