1701443736# #现在还有人问《甄嬛传》和《知否》谁火呢……
1690089884# #王俊凯、易烊千玺、王源侧拍花絮动图，没有合照的侧拍花絮，四叶草太虐了悲伤TFBOYS海报侧拍花絮
1689325417# #魏大勋王楚然杨洋回答同一个问题他演的消防员，70%都在救援。。。这很正常吧
1687156637# #欧阳娜娜的演技一直停留在鹿小葵水平啊哆啦A梦害怕
1700399086# #23年GQ盛典出席嘉宾，有好看的喽666。成毅、龚俊、李现、王嘉尔、杨洋、王一博、王鹤棣、邓为、檀健次、张晚意、刘宇、罗一舟、于适、张凌赫、朱一龙、倪妮、迪丽热巴、杨紫、李沁、宋轶、金晨、杨超越、江疏影、张钧甯
1692066392# #啊我今天才看到，魏大勋孟宴臣滤镜碎一地...这确定是能这么做吗？
1692276693# #《逐月》🍉白鹿、陈飞宇，阿瑟要是没有之前那一码事，还是没有办法被白鹿压番的吧
1694871357# #肖战、罗一舟同款造型，是各美其美惊为天人or邯郸学步
1691508870# #鹿晗没有做腋下管理，引发网友热议，大家觉得有必要吗？
1700233306# #今天的张靓颖和刘亦菲谁更像公主👸
1703681075# #繁花收视率已经破2，看过的友友说说观感
1689083261# #范丞丞、关晓彤《曾少年》的宣发是得住鹿晗不放了啊……演唱会开得也不安心
1697193215# #于适和陈飞宇今天都是西装的诱惑呗
1698158042# #赵露思直播生图，有某韩星的神态了，还挺像真人芭比的
1689326200# #TFBOYS十周年演唱会或将7月25日官宣。王俊凯王源易烊千玺粉丝已经在网上官宣多少次了，西安也已经官宣过多少次了，就问时代峰峻敢不敢早点官宣？
1687943485# #蔡徐坤巡演将如期举行蔡徐坤还没有回应之前的传闻，还要继续举办演唱会，是觉得粉丝都是冤大头么……是你，你还会去看吗
1696776471# #刘雨昕演唱会“有口皆碑”？评价也太太太高了666
1701006501# #网友问尖叫男神为什么不是王一博。啵啵不是得过了吗
1696125452# #龚俊巴黎时装周生图感受一下龚俊的笑容，龚俊一笑，谁的心都化了？
1698669472# #208们的经典语录，想想就有意思
1695793704# #吴磊是不是要起飞了？90-00唯一—番电影入围国际A类电影节主竞赛单元的小生。吴磊蒋勤勤新片入围东京电影节
1694091940# #成毅是吃了什么东西吗？腮帮子这么鼓
1696837609# #王俊凯王源真蛮帅，生图也是顶呱呱
1690783522# #赵丽颖周一上班照赵丽颖今天的营业照感觉是素颜吧，和我印象中的许半夏完全不一样的感觉
1692186223# #有网友600买了2580的张艺兴演唱会门票？而刘雨昕的票也是在打骨折哆啦A梦害怕
1691494184# #网友讨论易烊千玺近一年不进组，陆续被超车，是不是要有点危机感了？
1694004945# #洪知秀演唱会哭了谈恋爱了，又想赚粉丝票子了，那肯定要好好练演技啦！加油
1693318168# #如此歹毒的运镜演技和特效！大胆！这也敢拿给观众看！
1696468007# #今天是檀健次和肖战的生日，帅哥们生日快乐呀！待播剧快点播来
1699695226# #对于演员，路人泛好感重要or铁血唯粉重要？
1701611067# #《一念关山》就靠着刘诗诗粉丝冲热度吗，刘宇宁家不怎么活跃呀，是等着冲《折腰》呢嘛
1695450465# #杨紫麦承欢杀青路透，爆剧预定，许凯等待翻红！
1699447407# #彭冠英补拍《青簪行》，还能被杨紫带飞吗
1693532838# #宋祖儿前天下午宣的潘婷，品牌方今早权限了宋祖儿代言物料。（更新，品牌方又打开了权限）
1699266305# #网友说赵露思这个嘴唇妆，真的像在copy张元英
1693735956# #看于正这编辑记录也挺挣扎的，是不是想说：瞧我这张嘴啊蒋依依
1689431433# #时不时就能在龚俊身上看到温客行666
1703409631# #脱粉文娱rs1😲，谁粉丝脱粉了？
1690112891# #刀郎罗刹海市怪有趣的，刀郎发歌有人虚空索敌，明明人家有表达什么，不如好好听歌，别解读有的没的
1687006968# #《黑莲花》改名《永夜星河》并开通了官微，这是万万想不到呀允悲
1699338675# #诗幂真的越长越像了允悲
1699691920# #归国三字中演唱会最卖座的是鹿晗还是张艺兴？归国四子演唱会号召力
1690461653# #这个应援的审美不大好啊，我相信初衷都是好的允悲
1690512764# #迪丽热巴或出演张艺谋新剧英雄联盟，啊？
1697885880# #杨紫也是有顶流待遇了，都有邮轮生日应援了！
1699965340# #刘雨昕、邓紫棋谁是天后很明显嘛
1689511547# #到底是谁在觉得任敏像鹿晗啊
1694055250# #CP粉说王鹤棣工作室发的☁️是虞书欣的云为衫，也是没有必要，棣欣引力整天都在嗑什么汗
1689945619# #tfboys十周年微博评论区，王俊凯粉丝前十占六，易烊千玺粉丝前十占四，没看见王源家呢
1695989498# #Angelababy、白鹿、鞠婧祎中秋营业，全都是古风造型呐
1690814936# #黄子韬说只有鹿晗能让我取消行程之前三缺艺，现在二缺艺允悲就是不一起玩呗
1695095188# #赵露思这次真的是🐧小公主了思考
1698410576# #《以爱为营》一番到底是王鹤棣还是白鹿啊哆啦A梦吃惊
1687486839# #啊？为什么要这么说虞书欣？哆啦A梦吃惊
1697622979# #邓为早期微博邓为早期言论最出名不应该是“老子不缺钱并且没功夫跟别人谈情说爱”吗，这句话可是震耳发聩。
1701331348# #杨洋这几年没有什么变化啊
1692522873# #范丞丞和魏大勋关晓彤关系都不错啊
1693740713# #来猜猜这是谁？
1687778749# #江小宴直播说棣欣引力是假的了，看来大家嗑的都是假的。
1690381078# #杨紫檀健次、邓为等《长相思》和迪丽热巴、龚俊、刘宇宁《安乐传》刚刚都发了喜报，哪个看着更喜庆并不简单
1693835442# #白鹿王鹤棣以爱为营过审有网友说虞书欣、白鹿、王鹤棣、张凌赫可以上同一期hi6笑cry哈哈哈哈哈修罗场啊，我同意了，我也想看👀
1699801546# #鹿晗、王俊凯、肖战都算清纯系帅哥不
1691734739# #陈都灵版《花千骨》………………这很难评
1698921524# #看看网友们对95花生好感度调结果哆啦A梦吃惊
1697721775# #起猛了，一分钟之内看见一个说关之琳不美，一个说王祖贤是营销出来的
1691236258# #这个白发造型👩‍🦳，即便美艳如迪丽热巴也抗不住啊
1695309967# #黄景瑜演消防员的松弛感看了几集他从火光中走来是还不错。台词说出来抑扬顿挫没有刻意的感觉。演员分体验派和学院派，黄景瑜应该就是那种体验派的吧。
1691994738# #王俊凯粉丝指出王源、易烊千玺粉丝互换5星，好兄弟们互帮互助？
1697033799# #看到红黄蓝的灯光想到tfboys的人有很多，但不一定有王俊凯
1691647708# #T杂志集齐TFBOYS王俊凯、王源、易烊千玺t杂志内页，t杂志是TFBOYS团粉吧，来看看
1695978616# #时尚这块还是得看85🌸啊！！杨幂和杨颖随便一发挥都美得我发疯
1690894403# #某瓣网友对杨紫《长相思》的评价，进度是太拖拉了吗？
1695995527# #Angelababy杨颖G社生图。。实力演绎《真正的大明星》
1702007337# #微博视界大会微博视界大会论坛内容还挺多的，应该去听一下，了解一下行业动态
1691489104# #成毅粉丝怎么激情和爱奇艺交流了呢哆啦A梦吃惊
1694697733# #🍉《献鱼》男主成毅，女主或为杨超越或为田曦薇……总感觉是杨紫会更好点呢
1698842950# #朱一龙、鹿晗、张艺兴、肖战、王一博、王俊凯、易烊千玺的电影实绩一览666未来影坛的中坚力量呗
1692366992# #华晨宇新造型。好大胆一男的。
1699687428# #其实5年过去了，内娱这么多艺人发生了这么多的变化，杨紫和李现都还在圈里，并且能以与之前一样的番位出演同一部剧男女主，本身就很幸福了，有些人，或是塌房或是咖位不匹配了，粉丝想二搭，都不可能了。逗号番位
1693132186# #暑假飞升的男演员们张艺兴、魏大勋、于适、张晚意666
1689729155# #西安发的TFBOYS演唱会观演指南。这几天西安因为TFBOYS演唱会上的rs也太多了吧，照这个趋势以后说起来：。北京：我承办过2008和2022奥运会。西安：我承办过TFBOYS十周年演唱会。TFBOYS十周年演唱会真的要成为西安的地标事件吗？
1698068524# #05花们好没有记忆点哦
1694606255# #邓为今天4200w销量，顶流水平
1696988835# #关晓彤王安宇演情侣这剧选角有意思，再加一个范丞丞，左肩有你二搭，曾少年二搭，二十不惑二搭，耽改虽然播不出来，处处都有耽改的影子偷笑
1692276816# #刘宇工作室点赞队友刘彰疑似恋爱的微博？男团也抓🐎
1699283733# #粉丝本来就不满意，换了搭档更不满意了哈哈
1687267601# #有网友说王鹤棣家油炸店放了王鹤棣和虞书欣的合唱和虞书欣个人solo……又有粉丝澄清店里是蓝牙音箱谁都可以放的允悲
1699698479# #邓为流量不错啊，评论都能比过迪丽热巴了
1688114745# #刚刚才知道，赵丽颖已经两个月没有公开行程了哆啦A梦吃惊
1698837979# #程潇真正的动漫cg人物
1701702630# #龚俊粉丝努力中！正在狐妖官微下面🔥
1696468473# #Lisa自己晒的图：“疯马秀官方以后需要人随时找我”挖鼻
1687761471# #江小宴说迪丽热巴黄景瑜年初还在一起。迪丽热巴工作室微博评论区粉丝热评：澄清热带鱼！澄清热带鱼！澄清热带鱼！。粉丝们看起来很确信热带鱼子虚乌有啊吃瓜
1695365767# #赵露思穿的好暖和感觉以赵露思的年纪，如果不是太冷，应该还不需要这么穿搭吧
1700983460# #原来王一栩昨晚也在尖叫之夜大家觉得即将播出的《狐妖小红娘月红篇》能否挽救杨幂、龚俊以及王一栩这一年来岌岌可危的颓势？
1700657116# #于适、易烊千玺将出席明天vogue活动，要是王一博也能来就好了，大荧幕上最闪亮的三位男明星
1703165065# #年底了，看看2023内娱top4⃣️肖战、迪丽热巴、成毅、杨紫，实至名归不？
1696829663# #杨幂、赵丽颖今天也美貌发挥稳定啦果然长红十几年都是有原因的
1697428344# #腾讯本🐧认证今年的爆剧只有这三部呀《长相思》《玉骨遥》《梦中的那片海》
1702822221# #王一博和赵露思还挺有cp感的☹️
1695280889# #有没有觉得赵丽颖的时尚表现力越来越好了，原来年轻但不一定漂亮，现在岁月沉淀反而越来越惊艳了赵丽颖鎏金深V
1700223960# #看看95🌸的某音数据。赵露思大top，224条作品其中200条百万点赞，均赞一骑绝尘。虞书欣拥有95花单条最高点赞886.8w
1693037088# #刘宇喝水的表情，我得学十年666
1690793755# #网友说古偶的男主离开女主就毫无魅力了，说王鹤棣的东方青苍和邓为的涂山璟都是这样，啊...不会吧，东方青苍和涂山璟都很有魅力吧
1689167452# #安乐传的天下第一和第二美男子……………………6
1693371424# #原来🍯和🌰代表的是杨幂和赵丽颖呀。以后吃瓜就知道谁是谁了
1689910924# #陈数演女老板自掏5000万给员工陈数在新剧《不完美受害人》中寥寥几个镜头就能看到演技，台词也很清晰有力，饰演的女老板为使公司度过危机自掏五千万，足见魄力与胆识，陈数气场完美hold住，好强！
1697632600# #迪丽热巴《万渣朝凰》目前定了四个男主，张凌赫、范丞丞、魏哲鸣、林一。这倒是有一定可信度
1693575362# #一个未解之谜：王源大几？。王源出发美国机场路透
1696082546# #angelababy的戒指倒是是啥样的啊允悲两个版本呢
1700923039# #虞书欣成毅梦回一年级两位没能合作《黑莲花》也是一种遗憾啊，不然肯定能大爆
1700118112# #看来王一博粉丝空瓶真的很厉害，都被成毅粉丝ie拿来当案例学习了
1692681022# #刘宇这套造型像蔡徐坤吗？
1697462960# #孟美岐和吴宣仪都营业了，两位最近好像不那么活跃了呢哆啦A梦吃惊
1688642767# #金星昨天和今天的话产生了两个结果：。1.金星成为了某平台带货榜第一。2.像Angelababy这样的女明星成为了某些网友口中“富人的玩具”。全靠Angelababy的脸在撑金星再回应捂胸
1697173043# #发现真情侣的一个特点所以男明星恋爱脑就可以长长久久，女明星恋爱脑就会耽误事业，对嘛苦涩
1689679769# #狗仔说魏大勋娱乐圈最抠男明星魏大勋被狗仔说娱乐圈最抠男明星，啊这，任他是肖战那样的顶流，粉丝基量那么大，与抠门沾边总归不好吧
1703254609# #90花真的事业心🆙杨紫和迪丽热巴冬至都营业啦
1687172539# #刘亦菲大女主刘诗诗、刘亦菲先后官宣了新剧，官宣海报都是女主单人，没有男主，理讨这是不让配角上桌还是给大女主应有的排面？思考
1701009432# #《酱弄园》不是杨幂或赵丽颖，而是倪妮了？
1696584879# #杨幂和赵丽颖都营业啦，85美貌每日都levelup！
1702737130# #迪丽热巴跑粉是不是郫县的洗脑包？
1699672848# #王鹤棣好火啊，各平台都是top10🔥
1694585629# #邓为今日开屏，品牌方好宠为子！
1691754212# #封神质子团的离谱周边
1694181379# #王俊凯和王源都要去时装周喽！也不知道谁的时尚资源会更好王俊凯巴黎时装周
1690013656# #杨紫《长相思》和成毅《莲花楼》都提上日程了，不知道哪部后续会好一点呢
1690209544# #十年之约为什么不在重庆办粉丝们总是有各种各样的问题……王俊凯王源易烊千玺本人应该只有一个问题：十年之约一定要赴约吗？
1696776405# #原来距离这些标志性娱乐事件已经过去那么久了……时光飞逝啊
1687523365# #鹿晗演唱会状态真绝啊，疲态一扫而光，又是闪闪发光的大明星了🤩
1696152135# #qq的angelababy已经澄清了哈哈哈哈哈哈好幼稚
1694962449# #成毅身上真的有少年江湖侠气
1693828630# #罗云熙突然翻唱飞云系同人曲！！这是《皓衣行》要抬上来了？
1699950831# #于适新杂志销量6万➕，看来也是顶流水准了
1703120969# #顶流刘宇宁今天开屏暴击，看看广告图状态哆啦A梦吃惊
1688196102# #小黑裙比较容易驾驭吧，不容易出错，虞书欣，赵露思，关晓彤，白鹿都在穿唉舔屏
1688215105# #宋亚轩和同班女同学两次同款，这是常见的吗？
1702653075# #王一博《冰雨火》在山东卫视收视率怎么样
1702911013# #一个分猪肉的奖，至于上升到巴紫的地位吗……她俩不一直难分伯仲的嘛
1698745511# #🥝尖叫之夜，尖叫男神成毅，尖叫女神虞书欣。。有信服力吗？
1697787466# #陈漫拍的王鹤棣和易烊千玺都好有感觉
1688033859# #易烊千玺🆚王俊凯珠宝大片，你更喜欢哪位舔屏
1690118222# #成毅吹口哨这个习惯是改不掉了么
1687591726# #王俊凯易烊千玺G社生图你们不要再打了！抓狂都举都举！左手举着易烊千玺的红色，右手举着王俊凯的蓝色
1693133189# #粉丝说刘宇是古装免检帅哥哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1692016698# #王俊凯粉丝和蔡徐坤粉丝友好交流起来了？完全没必要的比拼
1687872354# #这么多明星都和经纪人在一起了，怪不得粉丝们天天担心明星身边人呢
1696856889# #好明亮的一抹绿，看看女明星们的绿色礼服
1699673065# #昨天微指数top3的三位95花，赵露思、关晓彤、虞书欣，不错不错，今年都有一番热剧
1692969819# #赵露思和陈哲远cp不好么？
1691919033# #魏大勋孟宴臣🆚王鹤棣时宴今日数据一览，谁才是你心中的宴子？
1689502881# #张艺兴生图有星像么
1689334778# #TFBOYS十周年演唱会通过审批只有一场？？王俊凯王源易烊千玺这么不想合体吗？十周年演唱会有点像形式了哆啦A梦害怕
1686905904# #《论身高的重要性》。例证：王俊凯王源易烊千玺
1697092424# #王鹤棣《海边探戈》获得QQ音乐巅峰榜十大单曲，要发展音乐事业吗？
1694444280# #迪丽热巴粉丝和刘雨昕粉丝对汉字都颇有研究呢🧐真好！
1689668518# #网友统计一年间男演员超话签到人数，涨幅最高的是王鹤棣最低的是易烊千玺。
1688049275# #说难听谁难听？刘宇宁or华晨宇？
1700742994# #按照网友的背景板身高理论，易烊千玺和檀健次一样高？
1690718768# #杨洋，赵露思，张翰，杨幂看到都会很后悔自己做过这些动作吧
1703322761# #赵丽颖、朱一龙要二搭？
1690523523# #这是杨紫的精修🆚原图么？
1689261886# #像吗？或许易烊千玺魏大勋可以演亲兄弟？
1688384658# #蔡徐坤事发到报案只用了十几分钟。蔡徐坤曾说，最想拥有的超能力是瞬间转移，看来想现在修炼成功了吃瓜
1693712871# #看看陈都灵和虞书欣《云之羽》怼脸截图，谁戳中你的心巴啦疑问陈都灵新剧演张凌赫的妈
1695376856# #请🍑给我们🍑太子排面
1688727784# #周翊然这个笑、这个造型，真的不是翻版易烊千玺么哆啦A梦吃惊
1697286685# #杨紫最新营业照，有没有大美人气质呀
1699188977# #还是会被罗云熙的身形震惊到
1690542976# #同是水中吻，《长相思》《苍兰诀》《玉骨遥》《护心》哪部剧赢了？
1694692399# #邓为和檀健次，一同框就高下立见
1695448614# #娱理评迪丽热巴龚俊《安乐传》和杨紫邓为《长相思》：《长相思》收官后，下一部现象级热剧并没有出现；而《安乐传》的播出没有达到预期效果。这是两部剧的最终定论吗思考
1691399307# #龚俊、檀健次今日杂志销量，网友说这能够看出来有效播剧与否，你觉得呢？
1701615055# #《一念关山》热度破万了，实时广场还挺有意思
1691153018# #TFBOYS王俊凯王源易烊千玺粉丝现在就去西安奥体干嘛？这也没开演唱会呢
1695041124# #易烊千玺和于适的眼睛里都有故事感强两位有望横霸影坛啊
1693575442# #杨幂终于要有顶级时尚资源了！
1691247927# #易烊千玺和王源都是橙色头发，就等着看王俊凯的了！团魂燃起来了，四叶草得高兴坏了
1694770262# #谁说迪丽热巴生图不抗打的啊？还是惊为天人的呀
1691504096# #《莲花楼》原著作者和编剧对成毅的评价，大加赞赏，大家觉得满意吗？
1687244315# #简介代表作可以不可以证明演员对这部作品的认可程度？思考目前王一博删掉了《陈情令》，而肖战没有删...王一博改代表作
1690208587# #魏大勋把微博背景图改成了孟宴臣，咋就有人说这是媚粉了？
1698761065# #猜猜这位是不是烟鬼
1697980096# #鞠婧祎好像人偶哦💗
1697442392# #《千香引》👖方最希望女主是鞠婧祎，因为数据不错。小鞠演过好几部大女主剧了，离爆还差一点点啊哆啦A梦吃惊
1687433920# #赵丽颖白玉兰晚宴媒体图，这个造型有点不趁人啊，小赵到底会不会拿奖呢舔屏
1690290685# #提名眼睛会说话的演员🙋
1689076687# #《玉骨谣》女主一人分饰两角，这是大女主剧吗？我记得肖战是一番啊
1688793172# #幂系仙系妮系女明星怎么只有三个系，赵丽颖的丽系：赵露思、田曦薇、赵晴呢？这么一看，好像赵丽颖和赵露思还真的有点像？并不简单
1690271873# #某鹿电池现在赞助易烊千玺家么？我记得之前是和王源家合作呢
1700992177# #王鹤棣白鹿cp粉🆚王鹤棣虞书欣cp粉，到底哪家更强
1691421506# #TFBOYS演唱会带动西安4.16亿元旅游收入。西安值得这破天的富贵666
1693666768# #胡歌你才大小姐呢大家怎么看胡歌最近的状态
1696256144# #吴昕时装周生图状态，完全褪去了《快本》时期的青涩。有钱的单身富婆，可太爽了
1690178566# #谁抢到tfboys门票了？来扣个1，我们看看幸运儿！到底是谁抢到了演唱会票
1692453285# #邓为杨紫在你好星期六里拉手喽！眼神拉丝舔屏
1689151252# #迪丽热巴、刘雨昕今日活动人气傻眼女顶流是爱丽丝和雨伞吧
1688915617# #王源客厅狂欢年度人气实体专辑王源今天TMEA得了年度人气实体专辑，网友评价：王源对于音乐事业是不是挺笃定的？
1701443987# #肖战新加坡活动图，太阳一样耀眼，月光一样轻柔，他的粉丝吃的真好啊666
1699349653# #白鹿、张凌赫《宁安如梦》的吻戏，有美感吗？
1689432125# #内娱特效的广泛应用666
1688981380# #赵露思、陈哲远偷偷藏不住算爆剧吗现在大家对爆的标准不统一啊……你觉得算爆吗？
1692856052# #檀健次粉丝是因为这个在生气吗？
1695903390# #杨紫确定出席时装周，前段时间的时尚大改造真的有用！祝贺！
1702193763# #秦岚请辛芷蕾赵昭仪吃铁锅炖。秦岚不愧是东北银啊，在《花儿与少年》里豪爽请辛芷蕾赵昭仪吃铁锅炖！秦岚、辛芷蕾、赵昭仪三个一起好好过，我同意了，快给我播个100集！
1688393326# #48在玩一些很大胆的东西允悲
1690718852# #虞书欣、刘雨昕昨天的v🈯，两家友好交流了吗？
1694704407# #迪丽热巴杨紫近一年作品，谁在原地踏步，谁在蒸蒸日上
1701265979# #这个造型师还挺会塑造人的，三套纯白造型却是不同理念彩虹屁。赵丽颖是知性温柔，迪丽热巴是高贵冷艳，赵露思则是娇俏可爱
1691576147# #虞书欣这翘起来的小手手，太娇俏可爱喽！日常也是这种状态吗
1687953886# #杨幂Angelababy杨颖宋茜，GQ派对85花造型都很努力啊
1688910583# #鹿晗真得站在舞台上熠熠生辉，内娱需要你
1692775084# #檀健次粉丝让杨紫粉丝给退超点💰？没见过这种操作哆啦A梦害怕
1692176222# #网友选出的95四大电影咖：于适、王一博、王俊凯、刘昊然。哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈于适这么快就升咖了嘛
1695974971# #疯马秀的小便池...。Lisa
1694862538# #赵露思、白鹿今日活动状态，谁离得开美颜？
1689128166# #暮色心约加更加速完结，这部任嘉伦一番，国超现在是不是真的不太扛剧了？
1688993020# #赵露思的《偷偷》火了马伯骞，杨洋的《烟火》火了魏大勋，这以后还有人抢主角演吗？
1697114846# #刘宇宁直播这个事，真的让人怀疑他对待这部剧的态度，认为只是填档剧，不是非演不可。“就四个月，后面还有好的”以这种态度拍剧，剧还能看吗？。刘宇宁直播回应珠帘玉幕选角风波刘宇宁直播珠帘玉幕
1702902870# #《一念关山》谁当初宣传是刘诗诗大女主来着？这不刘宇宁戏份最多嘛……小狮子们脾气真好啊
1700142481# #Dior好多大使啊于适、陈飞宇、王俊凯、邓为、林一、张凌赫哆啦A梦吃惊
1689416192# #魏大勋孟宴臣独爆爆了就爆了，加一个“独爆”，大家怎么看哆啦A梦害怕
1696916448# #杨幂杂志销量，粉丝说杨幂已经不需要销量来证明什么了，好像确实？杨幂塑料袋头饰
1691296933# #邓为前女友首先说一句，素人时期，邓为作为大小伙子，谈过恋爱咋了，还有他和前女友，实属正常恋爱关系也要被拿出来审判，一个个按头性向，也怪吓人的
1687605433# #迪丽热巴粉丝维权，怎么找到祝绪丹评论区了？
1703322593# #杨紫要进组《国色芳华》了，紫妹太牛啦！爆剧预定
1697892043# #唐嫣和赵丽颖这是同款礼服吧，考验时尚度的时刻到了
1686835877# #杨紫新封咋样啊，她这段时间可是全力主攻时尚界，能有一席之地了不舔屏
1698135168# #白色长裙就是优雅，不管是迪丽热巴还是杨紫，都挑不出任何不足
1690981476# #赵露思和虞书欣待播和待拍作品，谁的资源更好？
1692794384# #檀健次粉丝粉丝在控诉杨紫粉丝？
1695995185# #邓为微博两小时点赞高达85w➕，真是爆了爆了
1701321716# #胡八一用一口酥勾引宁远舟刘宇宁唱了潘粤明《南海归墟》片尾曲，宁远舟跨时空遇到胡八一，破次元胡八一感谢宁远舟
1697983936# #檀健次粉丝hi6应援，有点子壮观啊哆啦A梦吃惊
1699788119# #刘宇宁赵露思《珠帘玉慕》选择低调开机了。粉丝百般抗拒的二搭还是来了
1690710689# #白敬亭不演仙台有树这两个饼对于白敬亭来说都不是啥好饼吧，白敬亭几部播的还不错的剧之后资源这样，这是咋了哆啦A梦害怕
1699432260# #第一个帅哥那必须是项天骐啊
1701959782# #GQ红毯今天的GQ记住谁啦？
1687622693# #易烊千玺粉丝和王俊凯粉丝各家有各家的统计方式
1691044838# #王源肿么了，是没休息好吗
1698238717# #bjxy的cp粉还是很有战斗力的，现在依旧能占据王一博的前排
1695725937# #花西子这什么发言
1691833730# #王俊凯王源易烊千玺十周年饭拍舞台转发情况，这是人气的反映么？
1696662570# #张艺兴孙红雷小家伙有大家伙。网友说张艺兴是房间有鸡2.0并不简单
1694926035# #赵丽颖带火蟳埔女文化泉州当地的新闻报纸整版篇幅刊登了赵丽颖，也是很重视这次宣传机会了
1701691744# #78个铁粉，20万评论，18万赞，真厉害
1687067399# #小猪崽紫你觉得小猪崽子和小兔崽子，哪个配一点思考
1694348551# #杨紫今日品牌直播造型图，太性感了！赫本风也拿捏666
1689083139# #看看大家的消防员造型👩‍🚒真的别太帅。杨洋、任嘉伦、龚俊、黄景瑜、陈伟霆、罗云熙、张彬彬
1703775829# #四普之二的杨紫和虞书欣今天营业啦，是不是可以摆脱这个称号了
1701007266# #杨紫五年三爆剧，成毅三年三爆剧。两位爆炸流量何时能二搭呢！
1688451755# #杨紫最近是花粉天堂吧？新剧待播，大大大女主戏，今天又发嘉人NOW，两个月刷了8刊13封，大雷对紫算用心了吧？紫米满意吗？
1687088513# #Prada高管关注杨幂了，这是有合作意向了？好消息什么时候来呢？杨幂目前还没有奢侈品代言呢吧
1695046916# #TXT解散没解散啊？。大家希望哪个团解散？内🐟韩🐟都算
1688917598# #杨洋版孟宴臣杨洋演的是宋焰，杨洋的命也是命，至于这个话题可以抬走了，毕竟有各自角色。
1695806361# #赵丽颖真是不管搭档谁都没扑过剧啊
1700319990# #鹿晗、张艺兴、黄子韬演唱会上座率，今晚归国四子有一半都开演唱会啊。张艺兴演唱会每个座位都有伴手礼黄子韬演唱会
1695482841# #这是刘宇宁还是王一博？
1693031405# #黄渤谢谢张艺兴理讨：张艺兴这句诗究竟是故意写错的电影梗还是真的不知道这句诗，总觉得即使是梗也不该故意写错...
1692366820# #这位美女是谁呀，好像性转张艺兴doge
