1692433947# #转发微博
1664201627# #学校回应保安打死喂奶狗妈妈芜湖一学校保安打死喂奶狗妈妈【小狗咬人，存在安全隐患】9月26日，安徽芜湖。有网友发视频称，某学校保安打喂奶的狗妈妈，当时小狗还在旁边吸奶。校方回应表示，因狗狗在学校内咬人存在安全隐患才打死了，是一条流浪狗。目前，派出所正在处理。
1692741987# #转发微博
1535356806# #必须拥护裆！
1664090770# #诺安基金原总经理奥成文被查【诺安基金管理有限公司原党支部书记、总经理奥成文接受纪律审查和监察】诺安基金管理有限公司原党支部书记、总经理奥成文涉嫌严重违纪违法，目前正接受中国中化控股有限责任公司纪检监察组纪律审查和广东省深圳市龙华区监察委员会监察调查。（廉洁深圳）
1664236921# #删掉很重要的人是什么感觉。发现我处理人际关系的特点就是不会处理，在删掉有些人之前，要内耗很久才能下决心。明知道以后不会再走同一段路，却总惦念着旧情。幻想对方找我和好如初，可惜不会的。。更可能的情况是：我们给共友点赞却假装看不见彼此的动态，在每个节日生日连道句祝福的念头都不会有，已
1664439671# #，【我国农业科技进步贡献率突破61%】农业农村部最新数据显示，我国农业科技进步贡献率突破61%。目前，我国农作物良种覆盖率超过96%，自主选育品种面积占95%，良种对单产的贡献率超过45%，水稻、小麦两大口粮作物品种完全自给，杂交水稻保持国际领先，优质专用小麦面积逐年扩大，为我国粮食连年丰收
1577761498# #标准答案是7环哈哈哈哈哈哈
1662021137# #没有敌人，他们怎么活？
1703038160# #董宇辉的这一拜一回首。瞬间让人明白了。他心里什么都懂。结局已经揭晓了。董宇辉称小作文事件我的处理很幼稚
1688962677# #欢送还是遣返，表述看心情。
1664262325# #【酒吧老板掀桌阻止男子调戏邻桌女孩】9月27日，重庆，网曝重庆江北区某酒吧内，一名男子言语调戏隔壁桌2位女孩，叫女孩“看酒”，女孩并未回应并叫来店铺老板。后店铺内两位老板上前劝阻男子，男子反将打火机砸向隔壁桌女孩，老板再次上前劝阻，反被辱骂。随后男老板愤怒掀翻桌子，双方发生肢体冲突
1682316787# #转发微博
1681912124# #转发微博
1620436399# #很少有开发商在天津不被坑的，很少有开发商在天津不坑人的，咋回事？
1651758027# #以前一直认为教育部是一群光吃饭没有知识的糊涂蛋在把持，今天才发现，其实他们也有不糊涂的时候。
1691376771# #小朋友多读点书
1689321916# #没有软肋，所以硬！
1682637295# #官方通报沈阳店铺招牌统一黑底白字【官方通报沈阳店铺招牌统一黑底白字：将调整优化】据近日，辽宁沈阳，一家黑底白字的蜜雪冰城在大东区大东路引发热议，与蜜雪冰城一贯的粉色招牌形成了鲜明对比，周边店铺也是同款色系的招牌。4月27日，沈阳市大东区委宣传部发布通报称，商铺牌
1537176355# #找时间组个团去？
1690972159# #边防战士16年未回家，但是军嫂是可以去驻地探望军人的，有孩子不是很正常吗？对于这种恶意污辱边防战士的帖子，真的建议严查严惩。
1650864847# #希望徐老总没有错判，上海人民吃过的苦，不要让帝都人民再吃一遍，俺对帝都有信心。
1663723007# #【油价掉头向下，汽柴油价格即将迎来年内第七跌】加满一箱油将大约少花11元国庆假期临近，短暂反弹的成品油价将迎来新一轮下调。澎湃新闻从多家大宗商品资讯机构获悉，油价年内“第七跌”即将落地，调价窗口将在9月21日24时开启。综合各市场机构的计价模型估算，本轮调价最终下调幅度预计在270元-
1564795248# #司令教育教育民警吧！
1692693504# #车没毛病的时候叫特斯拉，车出毛病的时候改叫贵死了！特斯拉雪山财金公众号
1701181316# #啥情况啊？
1684135980# #转发微博
1663561833# #【中学老师让学生头顶课本防作弊】防作弊又出“绝招”，头顶课本默写。近日，河南一名中学语文教师为防止学生默写课文时悄悄翻书，让学生统一把课本放头顶，挺直腰板、专注写字，招虽奇特但对学生十分奏效。有网友看后表示：“爷青回，画面让人想起中学时光”，也有网友表示：“这招一举三得，默写
1553060512# #关注很长时间了，守望不易，坚守更加不易。往大了说，中国的未来靠你们。致敬。
1572132447# #所谓刚需买房的真相，就是榨干了父母一辈子的积蓄，透支了自己今后几十年的血汗。
1662803638# #晋凉昨天命令俄军不准从伊久姆突围。乌军向抵抗的俄军喊话劝降：“俄军兄弟们，别打了，过来吧，咱们才是亲兄弟。某某家的游艇几亿欧元，他吃一口鱼子酱，你一个月工资都不够。你确定要为他去死吗？抚恤金能拿到手吗？”俄军逐渐停止了开火，沉默几小时后，举白旗投降。
1573602961# #见证两次逆转后美媒不得不承认：中国人更受欢迎
1700040048# #转发微博
1692688271# #【缅甸高官首度回应缅北诈骗：缅北总体上安全稳定，是媒体夸大事实】缅甸高官称是媒体夸大了缅北问题日前，缅甸商务部长昂乃乌在接受凤凰全球观察团采访时称，缅北电诈问题并没有媒体报道的那么严重，“国际舆论中包含很多虚假新闻，只有真的来了缅甸才能知道真相。”昂乃乌称，虽然缅北部分地
1685254729# #转发微博
1681784286# #转发微博
1536813189# #找消协，请求双倍赔偿可否？会不会按嫖娼抓了啊？
1680259405# #钟南山称条件允许可不戴口罩3月31日上午，钟南山院士在广州研讨会上表示，过去三年，戴口罩是一个很好的预防病原体的有效手段，但疫情发展到现阶段，佩戴口罩已经可以成为非强制性的措施。“人群长时间低暴露于流感等病原体，鼻腔缺少刺激，对人体自然免疫力的形成不利，进入4月以后，条件允许情况
1701769864# #仅有4600家下跌！仅有！
1663758765# #重磅消息！抢不着没关系，华为已经开始增产Mate50系列了。华为Mate50开售华为Mate50系列今日开售华为mate50十秒售罄华为mate50有多难抢
1659496392# #安徽合肥市场监管局的脑子是不是被驴踢了？餐馆不让卖拍黄瓜，让钟薛高去卖拍黄瓜吗？
1684208370# #以为吴京和郭帆结婚了吴京晒出了粉丝p的自己和郭帆两人拿着红本的照片，大早上刷到这条微博还以为看错了，看了下ID才确认是吴京。
1692758079# #转发微博
1662946945# #尿裤子的战地记者去哪里了？他还好吗？
1684405751# #大量非法移民进入美国，说明美国快不行了。
1691749206# #转发微博
1543565655# #丫不就是当选个高雄市长么？怎么全台湾的经济都指望他了？
1693283040# #转发，。社交媒体上的网友已经找到这位喝核污染水的日本人了，基本情况如下：。田园康博，在日本是第一个喝核废水的人，2018年初。因身体不适。在日本接受检查。最后在美国麻省理工医学院接受治疗无效。之后转入帕劳疗养，2020年8月。因为核废水的污染，导致身体腐烂。因多发性骨髓瘤，在帕劳首都病逝
1693058441# #转发微博
1565063177# #基层民警要普法。因为一个公民越级上访就要强制传唤？啥叫越级上访？不让越级上访，你去把国家信访局撤销了不就没越级上访了？上访就是上访，越级不越级，都跟违法犯罪搭不上边吧？
1682255840# #转发微博
1537785889# #瞄准镜前面还蒙着布，能看见么？
1684377615# #转发微博
1688462360# #八路军一共有多少年？
1691162583# #不要脸！。。洪森在出席的仪式中表示，在未来某个时候，如果洪玛内出现了生命危险时，他将重返总理的职位，这样国家就不会陷入动乱。
1684377404# #转发微博
1684190873# #转发微博
1691644750# #【俄高层称：他们有权从中国“收回”辽宁舰，否则就拆武器停止服役】现在的俄罗斯黑海舰队遭受重创，手头也无航母可用。。俄罗斯国家杜马兼远东和北极问题委员会第一副主席谢尔盖卡尔吉诺夫提出应该从中国手中“收回”第一艘航母。。咋搞？
1688703959# #体制内食堂让我有了考公动力1元5元甚至免费自助的单位午餐也太香了，看着自己20几块的外卖……摇了摇头。微博手机影像年瞬间转自赵乐呵的微博
1607302624# #往死里揍
1684018264# #转发微博
1687483459# #转发微博
1690161544# #有个女生cos八重神子去搭公车，然后被车上大爷骂穿着不得体，还说她有妈生没妈养...我认为这个大爷不但没爹妈生养，生的儿子最好也没有小鸡鸡。因为这种老大爷不死绝，中国没有希望。你说呢？
1608358171# #转发微博
1554363076# #居然无法反驳哈哈
1606963054# #认怂都这样硬
1601891397# #所以说嘛，皇室一直认为自己才是最正经，老百姓心里明白着呢：最肮脏……二哈
1690351948# #请你吃份批萨。
1571897760# #李国庆俞渝李国庆自曝被女性男性接连示爱：两性家庭更适合我】当当网董事长兼CEO俞渝在朋友圈长文回怼李国庆，并曝出其同性恋等一堆猛料。对此，李国庆今日中午再度回应称，目前俞渝要求李国庆接受25%股权就和平离婚，“我拒绝同意，我要求平分。平分后公司谁管理尊重全体股东决议”。此外，李国庆
1664181429# #【北京疾控倡导市民就地过节】国庆假期临近，人员流动性、聚集性增加，北京市京外、境外疫情输入风险持续存在，要坚持“外防输入、内防反弹”总策略和“动态清零”总方针不动摇。国庆假期，市疾控中心倡导市民朋友，就地过节，减少出京，提高防控意识，做好个人防护。(记者孙乐琪)
1700185822# #谁能辟个谣？周小川有个儿子叫周天宇吗？周小川都退休多久了？怎么儿子还在上学？
1693107629# #举报一个间谍，纯纯的恶意提问。
1682672397# #到底是真的还是假的？作揖
1680068140# #转发微博
1692606485# #在不影响正常交通出行的前提下，柔性执法，值得考虑。
1685059823# #转发微博
1691532290# #日本《朝日新闻》批评中国部分运动员不是真的大学生，拿职业运动员参加大运会比赛有失公允。美国队因中国跳水队员是奥运冠军、世界杯冠军、职业运动员而直接退出了大运会两场女子跳水比赛（成都大运会跳水女子双人10米台决赛只有来中、韩、美国的3对选手报名参赛，即便排名垫底也能取得铜牌。然而美国
1663032760# #东北的权力在谁手上？
1663895581# #你眼瞎了？没看见一个娃娃打伞被拦住收伞了吗？
1553077901# #管吃管住管车马费，不是最大的也要说是最大。不接受反驳。
1535970117# #别跳，酒还没卖完呢😄
1684917296# #转发微博
1593342073# #不知道这玩意火化的时候是不是举着手。
1690071886# #转发微博
1571809928# #雪山财经政府统计造假官员却很少被开法制日报发文诘问
1624400009# #马老师有特权？您翻个墙试试？
1537911384# #你想多了，吃瓜群众最大的优点就是善忘。过一阵子，风头过了还可以出来继续泡小姑娘。又不是东哥霸王硬上弓。你情我愿就好了，想想当年陈冠希。
1575533813# #免费舔，够贱的。
1692405129# #转发微博
1685170663# #转发微博
1690595872# #台风“杜苏芮”在晋江沿海登陆，登陆时中心附近最大风力15级（50米/秒，强台风级）台风杜苏芮
1702015157# #不服气？
1692365618# #女子全程一个“恩”骗子逐渐暴躁。骗子也忍受不了冷暴力。
1690754334# #转发微博
1692281756# #鹅粉都是些什么人？这个视频作了个说明，也不一定对。估且看看。
1685461577# #转发微博
1687725302# #转发微博
1650689880# #一个8岁的孩子，在四五级风中，10度左右的气温，在医院外等核酸结果才能看病，熬了一个通宵，医院给结果是不看了。。我不是抱怨，我只是想问问，既然抗原检测当场就能出结果，为什么医院不可以用抗原检测替代核酸呢。请朋友们转发，让决策者能看到。谢谢！
1682716859# #转发微博
1573285952# #刚买俩月新车发动机漏油奔驰女车主贴尿不湿维权
1537427122# #这才是正能量
1689627774# #打假旗手和司马夹头的战友干上了，你支持谁？
1663558703# #【男子把脚放前排座椅乘客出拳教训邻座男乘客沟通无效后出拳教训】9月17日，湖南怀化。一男子乘坐大巴车时，脱鞋将脚放在前排座椅上，正搭在前排女子的头顶。女子旁边坐着的男乘客先是轻声提醒，但该男子不为所动。前排男子忍无可忍，在多次提醒劝阻无效后，出拳教训了该男子。
1682491867# #多城进入“3时代”上海房贷利率暂时没有调整安排
1682245428# #转发微博
1687787095# #胡锡进要当韭菜？
1684980255# #转发微博
1687301811# #转发微博
1571771475# #说到点了哈哈哈哈哈哈
1702990104# #学风最好的学校。20多年前在武汉高校中流行着学在华工，吃在武大，爱在华师的说法。
1573607286# #小孩子明白何为校园暴力吗何为校园暴力？小孩怎会不明白？费解经常有人欺负他，让他不开心不想上学，因此讨厌某个人，这不就是低龄学生眼中的“暴力”吗？！所以这就需要父母引导，让他们诉说，长辈耐心倾听…。。那么校园暴力到底该如何解决呢？之前讲过了！多让孩子加强锻炼身体和心理承受能力
1603618851# #转发
1541299183# #约炮?
1664201759# #【民警在震区废墟帮村民找回10万现金：冒着山山滚石和余震危险，半小时内抡锤找回】9月23日，泸定县公安局得妥派出所民警冒着山上滚石和余震，不畏艰险挺进湾东村，尽最大努力帮乡亲减少经济损失。在为受灾村民转移财产过程中，民警得知村民汤某某家中有十余万现金被掩埋在废墟中，尚未取出。民警立
1662104396# #这个放行李箱的女人是不是蠢？
1683976172# #转发微博
1556518934# #连3月份的都填进去了笑cry
1703075305# #那也可怕
1578263848# #赚到足够的钱，爱情就自己维持好了。
1702855573# #消息称瑞信中国财富管理团队在瑞银拒绝接收后，已整支解散。
1693093965# #当地人称米粒石，一种化石。北京之巅灵山下的洪水口村，治灵山古道往上走，溪水边很多见。
1700116155# #哈马斯的结局会是？巴以局势巴以冲突
1539485186# #樱桃沟水源头
1690271852# #平头百姓的子女生存不是问题，发展是个大问题。拼爹呗
1573278422# #一定找时间来看你
1685238408# #转发微博
1566632323# #说得太准了，比如说李大钊是怎么死的。
1603938840# #哈哈哈哈哈哈
1689918901# #转发微博
1616752250# #打哑谜
1662605458# #王守义已注册十四香商标iPhone14系列发布，引发果粉热议今年十四香吗？网友发现，据天眼查App显示，“十四香”商标早在2002年被王守义注册。
1703074982# #经侦不管这事吧？
1685059666# #转发微博
1692746712# #什么情况？
1682328968# #上午离职下午收到offer。无缝衔接哆啦A梦吃惊。。4月奇趣季人间四月天
1682289018# #当前，我国对于“劣迹艺人”的约束是多维度的，既包括制度规范，也有相关文件精神。加大对违法失德艺人的惩处力度，禁止劣迹艺人转移阵地复出。种种约束，都是在为明星艺人敲响警钟：禁止“劣迹艺人”转移阵地复出，绝不是一句空话。任何时候、任何行业，行为失当都是要付出代价的。
1692659019# #转发微博
1608535901# #万科一到郑州就变坏？
1702206870# #内部对其不满，大主播曾在群里怼她，辛选CEO管倩确认离职了。
1688594146# #弱弱问一句，司马南是美狗还是俄粉？
1662428890# #部分iPhone14机型或移除SIM卡槽【话筒急转！换新手机号前，一定要做这些事！】换手机号码一定注意！曾有人换手机号，网络账户的钱被转走！还有人更换手机号，社交账号被盗，骗子在好友圈以原号码主人名义到处“借钱”…戳图，换手机号前，这些事必须做好！转存！iPhone14Pro将配备更大电池
1663223582# #发布了头条文章：《储户：河南村镇银行案十四大疑点》河南村镇银行有多牛河南银保监局回应村镇银行有关问题河南村镇银行案件侦办取得重大进展
1606397850# #@全通实业集团
1563591480# #粱老板脑子进屎了？说这么傻逼的话？
1664440778# #【北京市通州区公布确诊病例风险点位】。。今天（9月29日），北京市召开第403场新冠肺炎疫情防控工作新闻发布会。发布会上介绍，9月29日通州区新增1例本土确诊病例，在常态化核酸筛查中发现。。。确诊病例，现住通州区梨园镇高楼金第小区2号楼，工作地点在朝阳区E9创新工场6号楼。9月24日乘坐Z69列车前往
1566380051# #得看买得起买不起几千万辆跑车。
1701600065# #【车窗贴两张缴费单但车内司机已去世】11月29日，四川成都市金牛区平福路上，一辆轿车内，司机倒在驾驶座上，被发现时已经去世。30日，当地社区人士向记者透露，已找到死者家属，警方正调查处理此事。据悉，车前贴有两张停车缴费单，最早的一张时间为29日上午8时许。附近多位商户告诉记者，29日中午
1681434542# #蒲田系医院大部分的暴富路径都是如此吧？
1699835203# #他所骂的，其实是他自己向往的。这么看，司马南也是一个政治老师。
1684763413# #任泽平搞的这组数据是真的吗？
1663131810# #宁波暂停72小时核酸检测要求【宁波暂停72小时核酸检测要求直至防台风应急响应解除话筒】“宁波发布”9月14日凌晨发布消息，今年第12号台风“梅花”正在向宁波市沿海逼近，市防指已于13日17:00启动防台风Ⅰ级应急响应。在防台风应急响应期间，除机场、火车站、高速卡口、高速服务区等城市“大门
1690935500# #被主人栓住的一条恶犬，像不像很多人？被奴役，被虐待，但是谁如果想解救它，它会立刻冲你呲牙。
1687297359# #还没上市就准备退市？看了这个公告，我笑了！。。今天科创板的智翔金泰要上市了，搞笑的是还未正式上市，公司就发出可能退市的风险告知书！。。智翔金泰连亏四年，可以说是个“三无公司”，无产品，无主营收入，无利润，净资产为负，经营现金为负，今年一季度营收仅10万元，还不及路边一家小卖部的营收高。
1572136742# #这个SB家人，向物业求情有个屁用？自己拉的屎自己擦，老老实实认错领罚。什么叫也没造成什么后果？要等到砸死人才行？
1568784978# #当年的质量优等生，如今的欺诈业主一份子。
1551341069# #可怜！一代人的集体脑残，真可怜。
1571812584# #雪山财经国务院再亮家底去年国有资本权益总额58.7万亿
1700537719# #我分享了的头条文章，什么情况了？
1700091365# #杨颖baby最新情况：她的团队已停工，经纪人跳槽。。。她代言的商品海报已经被撤下，社交账号被禁言和限流。。疯马秀真的成了她的一个大坎，希望她能够顺利过去吧。疯马秀lisa疯马秀内场照angelababy
1685186416# #转发微博
1690343748# #转发微博
1693298597# #转发微博
1603183925# #转发一下，别吃狗肉
1688180369# #工资刚发18000，还完房贷车贷还剩1000，这是你想要的生活吗？存款超过10万你用了多久调查称53.7%年轻人存款不足10万
1663597876# #疯了！9月18日广东廉江一男子疑因情感纠纷，将亲生子女扔进江中。该男子将4个子女放在合江桥上，准备扔第三个时，被路过司机拦截并报警，但不幸两个孩子抢救无效已经死亡。（via：无限金华）。具体以官方通报为准，希望严惩！。。男子将亲生子女扔进江中广东廉江丢小孩广东廉江
1663579285# #【余承东称中国一些企业抄袭华为：直接用也不给专利费，还讲成是他们自己的专利】近日，在2022世界设计之都大会开幕式上，华为常务董事、终端BGCEO余承东演讲时表示，“在很多行业，尤其中国的一些企业，他们在抄袭我们的设计。包括我们的一些专利，大家用了也不给我们付专利费，直接用，然后还讲成
1690449972# #如果普丁被干掉或者自杀，世界会怎样？这真是个有意思的问题。
1692539985# #转发。上阵父子兵？父亲将女子肘击在地，儿子疯狂踩踹其下体！（视频来源：刚哥看看）
1537768917# #错乱了吧？
1663237893# #啥情况了？
1685509506# #4块石头，估价11.2亿，贷出8亿。这是上海证券报正式报道的，有来龙去脉，细节也很详实，可信度比较高。另一博主说，中青旅实业用这几块石头作抵押，总共从几十个金融机构贷出400亿，没有交待出处和细节佐证。相对可信度要低得多。。不管是8亿还是400亿，凭几块石头就能贷出来，这都是匪夷所思的事。
1692669498# #西南某省份公务员缩编20%？为什么不是东北呢？没编制的年轻人流失那么多。
1663900897# #一本正经地荒诞不必当真。
1664439623# #【约半数游泳爱好者会在泳池小便】一口泳池水里有多少尿据国外某旅游网站曾对游泳爱好者进行过一项抽样调查，结果显示，多达一半的受访者承认自己会在泳池里小便。游泳名将菲尔普斯在接受《华尔街日报》记者采访时也曾透露：他认为游泳运动员都会在泳池里小便，氯会杀死那些细菌所以问题不大。。。
1691327960# #举个栗子？
1682221599# #转发微博
1682289123# #女子忘关车门4岁娃跑下车遭碾压陕西渭南。一女子将4岁孩子放车后座后忘关车门，便径直朝驾驶室走去，随后开始倒车。然而，此时后座的孩子已经双脚站立在地面，女子并未察觉。直接从孩子身上碾过直到孩子爆出哭声，2人才发现孩子已经被车碾过。
1703042141# #表演式扫雪，摄影师最重要。
1580678131# #还是没忍住...我刚参加了幸运抽奖活动，玩赚积分还能抽大奖！机会难得，戳我抽奖>>
1688463491# #如果现场座席有限，优先保证大股东的座席，也没有什么好吐槽的。但如果是出动保安驱赶小股东，就有点过份了。
1692664845# #乌克兰的无人机攻击莫斯科多少回了，看不见吗？
1689920285# #转发微博
1571793823# #雪山财经地产背景金融机构“跌跟头”大自融暗藏多少风险？
1692539008# #台湾当归这次周边真的怕了，解放军南海军把菲律宾吓得退出了美日澳联合军演，怕自己真像乌克兰一样卷进战火。。台湾也老实了，话都不敢说了，以前解放军绕台飞行，台湾还有战机升空监视，现在直接不敢升空了，怕真正产生摩擦，导致收复台湾。。中国军队现在真的强大了，要不美国也不会一次拉动6艘航空
1690153495# #转发微博
1682291232# #转发微博
1571741509# #怎么就认定不是开发商在演戏？
1664282331# #【刻在杭州人骨子里的浪漫！杭州90后老板给员工放桂花假】近日，杭州一90后老板为员工放桂花假一事在网上引起热议。据悉，因为该90后老板早上通勤时经过凤起路地铁站，注意到了一条特别的“桂花通道”，令其有身临其境赏桂的放松感。想起现在正是桂花盛开的季节，便临时给员工们放了桂花假去赏桂。网
1661821552# #无牌驾驶，还酒驾，这可怎么办？
1687046855# #V+618活动年中福利盛典即将结束，今天是秒杀日，10:00-19:00的每个整点，去我的订阅页拼手速抢“底价秒杀券”，较活动折扣额外低1折，数量不多先到先得，没抢到的朋友用下面这个券，较日常也优惠很多
1690500131# #转发微博
1692252775# #如果这样爱国的内容都发不出来，只能截图才可以发出来，那要么这个国根本就不值得你爱，要么就是网络审查员混入了汉奸间谍。
1550560939# #对，大陆也不能成为国家法外之地。
1689862426# #苏联解体的时候，你美国跌也没来打你呀
1699429095# #转发求证。学生花十元实际吃不到三元钱的饭菜？要不要调查一下真假？
1700122484# #亮亮丽君夫妇称被融创销售抢手机小两口买融创的烂尾楼维权被打了。这件事情并不让人意外。20年前我就干房地产媒体，业主维权被打的事没少见。跟融创的老板孙宏斌直接间也打过几次交道。孙宏斌在媒体中人缘很好。但是融创的销售团队一直有虎狼团队之说。之前虎狼是形容融创的销售执行力强，忽悠客户
1685334018# #转发微博
1696664018# #迷笛组委会，真的不知道说啥好了。不仅仅是言辞粗鲁，还有点忘恩负义的意思。。【中原迷笛回应“音乐节公告言辞粗鲁”：迷笛就是敢做事不怕事】中原迷笛回应公告言辞粗鲁连日来，“中原迷笛音乐节露营区财物失窃”的消息持续引发关注。10月5日，中原迷笛发文回应此事，称“截至目前，当地警方共接到
1692059281# #老实地蹲粪坑里，好好地踩你的缝纫机吧。
1539668863# #把滴滴疯了就好了。弱智的滴滴公关，这么好的机会，搞成一坨屎。
1690762822# #转发微博
1548033039# #P还是d?
1684071607# #这也是一个母亲，贪了3.5亿，把女儿和钱送到美国，自己把牢底坐穿。
1663636810# #统计论头功。
1692362414# #转发微博
1655517744# #张文宏说中国的疫情已经结束了，这个是真的吗？
1687484060# #转发微博
1702894971# #恶意唱空的声音越来越少，有助于经济稳中向好，从一个胜利走向新的一个胜利。
1682860516# #转发微博
1682860234# #转发微博
1702262902# #芳村金融茶崩盘，罪魁祸首就是这个昌世茶董事长陈世鸿，稚气未脱的“00后”潮汕人，涉及超过5亿元的炒作就在一夜之间崩盘。。。事后诸葛亮已经毫无意义。普洱茶更大的雷，是某益金融茶。芳村这个暴雷，只是个前菜。。。立帖为证。
1651749464# #脑子是个好东西，把你封家里，你会怎么样？
1684377637# #转发微博
1684647914# #转发微博
1662613112# #我刚刚成功抽到了现金红包！小积分竟能抽大礼，机会难得戳我抽奖>>
1684918205# #转发微博
1690862209# #有网友怒斥说这是豆腐渣工程。但是也有网友纠正说，这个应该是萨其马工程。那到底是哪个呢？
1684029635# #挖出个贪官咋办？
1690495738# #这个视频看着心疼，妈妈住院还要供两姐姐上大学，八岁男孩暑假陪老爸打工，一起吃8块工地餐：吃得真干净！
1688966300# #多读点书，有益大脑健康。
1662003519# #学员考科目二把考试大厅撞穿【学员考科目二把考试大厅撞穿】近日，湖南怀化，一学员考科目二时，疑似错把油门当刹车，将墙撞出一个窟窿。视频拍摄者称，撞墙的这名学员开的是24号车手动挡，没有安全员的陪同下，完成考试后回到起点，可能把油门当刹车踩了。对此考场工作人员回应：学员人没事，目前
1685171284# #转发微博
1701059493# #这个冷幽默实在让死笑不出来。粉蛆对中华文字的创新，一直都是谣谣领先的。
1663141130# #【雷军卸任小米电子软件公司董事长】近日，天星数科关联公司北京小米电子软件技术有限公司发生工商变更，雷军卸任董事长，林斌卸任董事，洪锋卸任法定代表人、董事、经理，新增岳凯为法定代表人、执行董事、经理。该公司成立于2014年7月，注册资本约20.71亿人民币，由雷军和洪锋分别持股90%、10%。
1700649676# #两条一眼假的谣言，微信群里面居然有很多人信。
1682717193# #转发微博
1662984480# #成都疫情防控。昨日国际乒联发布消息：2022年第56届国际乒联世界乒乓球团体锦标赛(决赛)将于9月30日至10月9日在成都举行。共有世界66支团体队伍参加(男团35个，女团31个)。。参赛队伍将于9月26日(星期一)抵达成都。赛事参与者在进出成都时将免于隔离，但必须始终停留在闭环管理系统中，赛事官方酒
1593314346# #宁波大姐老了咋办？哈哈哈哈哈哈
1573786145# #李小璐发文这个女人没干过什么伤天害理的事，至于她自己的生活混乱，又爱编前后不易的故事为自己辩解，只能算是蠢，还不算坏。这次发文，光说有人偷拍，并拿来威胁。可是网上流传的视频，都是自拍的好么？。以的智商，自己干了啥，说了啥，一周后自己真可能不记得了。可是互联网还记
1616380389# #干点人事多好？
1655098112# #首先是希望罗老师债还完了，不用再背着债务混社交网络。其次没有罗老师的网络会少了很多乐趣。罗老师一路走好哈哈哈哈哈哈
1654745796# #会不会有人明知是假的还是要去转款？
1684979984# #转发微博
1702522491# #想得挺美。
1603249244# #转发微博
1682527274# #转发微博
1605506884# #除了钱多多，还有谁？
1606792210# #揍他
1691561666# #转发微博
1661482401# #和平需要两个人，战争只需要一个疯子。
1692458723# #转发微博
1701208784# #何祚庥院士司马南。司马南怎么啦？山西老乡用不上燃气关司马南啥事？
1695989353# #琴弹得不错！
1692923424# #转发，就当是给碧桂园打个广告吧，韭菜快来！五星级的坑，全款只要29万！首付3万就给钥匙！雪山财金公众号
1690931284# #真的假的？虽然我也打心底非常厌恶黑人，但是我觉得这样不好。
1663651632# #转发微博
1682472319# #转发微博
1687648225# #转发微博
1681784182# #70岁正科级大爷，月薪8000，想找个30以下能生的女友哈哈哈哈哈哈生下来肯定就是你的？
1692834054# #转发微博
1594342066# #顺便表明俺对当当这个瓜的立场，李国庆抢章，夺资料的行为是否违法，前提前是认定之前李国庆被任命为董事长是否合法有效。这个认定即便是派出所说了也不算。提醒一下蹭热点或者想拉业务的朋友们，虽然只是吃个瓜，也拜托尊重常识，尤其鄙视拉偏架的，这类货要么缺脑子，要么有私心还装逼。
1688704593# #高考查问，七门全部是0分？怎么回事？是只考这么多，还是考分特殊不显示？高考超话高考查分有知道的朋友吗？
1600425772# #红衣小伙是个脑残，还围观市民纷纷点赞？拉防空警报纪念九一八，当然没问题。但这个不是强制的吧？人家爱跳广场舞就不爱国了？有啥权力关人家音响不许跳？多少爱国的帽子下包头残疾的脑袋？
1682635524# #转发微博
