1650668899# #人应有志，勤学，作事要有恒心。。曾国藩
1676737265# #清平乐·六盘山。清平乐·六盘山（一九三五年十月）。天高云淡，望断南飞雁。不到长城非好汉，屈指行程二万。。六盘山上高峰，红旗漫卷西风。今日长缨在手，何时缚住苍龙？
1676055243# #生活常识。人非草木，岂能无情！
1663405120# #股市常识。白云山无论是在医药股还是大健康板块中都算是非常低估的，账上净现金今年150多亿。市值260亿。实际市值110亿，年利润37亿，三年回本，三倍市盈率。。但是按照最新业绩看和目前股价看，已经无泡沫且回到了低估区内，具备了一定的动态价值，但细节看暂时还是下跌趋势和弱势特征，故白云山有潜
1672771151# #转发微博
1652906965# #“穷不怪父，孝不比兄，苦不责妻，气不凶子，一生向阳。”。。——《人世间》有感生活常识
1691241607# #思考题，灾后重建需要什么？市场有资金炒作否？
1674917006# #【一半是海水，一半是火焰】。根据RefinitivEikon的数据，截至去年10月14日的6个月内，国际热钱悄然地从越南金融市场撤离，外国投资者抛售了高达1260万亿越南盾的资产，几乎是2021年同期的5.2倍。这加剧了越南股市崩盘式暴跌——从500点在短短11个月之内狂泻至最低的168点，最大跌幅为66%。越南另一主
1651399436# #磕碜的外表下面，往往隐藏着甜蜜的心！
1676049439# #转发微博
1677848697# #过去煲番薯饭的时候，。如果米不够，就放多点番薯，。如果秋收的时候，那就放多点米。没有固定的比例。
1669869279# #一切基于尊重！。2022最后一个月，十二月来了！
1665494035# #三顾茅庐
1673052448# #晨光絮语闭上眼，深深地呼吸，感受着四季给子的不同，夏的火热，冬的肃穆，秋的沉稳，春的浪漫。
1682133338# #转发微博
1650062696# #转发微博
1658248795# #牛奶咖啡《从你的全世界路过》
1673619126# #明天是小年。二十三，糖瓜粘。准备糖果放在灶台上。记得要说好话。这样才能福气满满。小年到来扫房忙。贴上窗花迎新年啦
1701950081# #感谢小女慰问！大家一起健康成长！
1664434344# #“只有自己，才是这细碎生活里唯一的光.”。搭伙过日是一件一生都在不断添砖加瓦、去污磨垢而且沉长的工作！只有沉下心来，多一份韧性，少一点傲气，多一份真诚，醉于勤奋努力，才会有真正的幸福和高光。。
1675528535# #春季养阳，记住“三要三不要”。一要——饮食温补，要多辛甘。民俗专家高巍2011年在健康时报刊文表示，在五脏与五味的关系中，酸味入肝，具收敛之性，不利于阳气升发和肝气疏泄，春季阳气初生，宜“减酸增甘”，多食辛甘发散、温补脾胃的食物。。温补不宜大鱼大肉，建议多吃些新鲜的蔬菜，比如韭菜，在蔬
1675134743# #太久未学习习金句了，复一句:。治大国如烹小鲜。
1660579459# #转发微博
1693029173# #8月16日晚，比亚迪发布新款纯电越野车“豹5”，引起行业和消费者广泛关注。一些消费者希望“豹5”能将明年引进国产的新款“普拉多”价格拉低10万元。。还半小时充电700公里的小轿车。观察未来股价。
1700414211# #转发微博
1690389482# #赵照《你就是我最想要的丫头》晚安！
1672879514# #、医疗股票有哪些龙头股。医疗板块是近年来的一大热点之一，今年更是表现强势，数据显示，医药生物指数年内累计涨幅已达到32.66%，遥遥领先其他各大行业指数。。。那么，医疗板块的股票有哪些龙头股呢？让我们一起来了解一下吧~。。1、医药总龙头：600276恒瑞医药。。恒瑞医药，是一家集科研、生产和销售为一
1664126944# #现在要有大格局的感知，据义而逐利，智慧地工作和生活。
1651791970# #生活常识
1686020160# #今日芒种，夏季的第三个节气。也是一年当中最忙的节气。芒种忙种，连收带种；播种希望，收获幸福；种下愿望，收获美好。愿你所到之处，遍地阳光；愿你所行之路，皆是坦途；愿你忙而不慌，自信光芒；愿你心有所向，无限芬芳。仲夏奋斗时，万事皆可期芒种芒种节气二十四节气传统文化
1668879445# #有智慧的领导，对形式主义、八股文等深恶痛绝。
1657087702# #转发微博
1675445006# #《赏春》。芳草和烟暖更青，闲门要路一时生。。年年点检人间事，唯有春风不世情。
1698200046# #东方财富塔牌集团（002233）东方财富
1656795992# #转发微博
1685001390# #喜剧
1694087304# #转发微博
1699297912# #春华秋实，下半年的华为手机带动了电子元器件，消费电子的炒作热潮。
1692679352# #转发微博
1658329359# #转发微博
1678142770# #转发微博
1671170208# #有人问我，你还会飞嘛？我说:我会飞！再问:咋不飞呢？我说:我爱这土地。现代·艾青。假如我是一只鸟，我也应该用嘶哑的喉咙歌唱：。这被暴风雨所打击着的土地，这永远汹涌着我们的悲愤的河流，。这无止息地吹刮着的激怒的风，和那来自林间的无比温柔的黎明……。——然后我死了，。连羽毛也腐烂在土地里面。
1686154371# #左宗棠做了几十年的封疆大吏，数十万银子捐给朝廷，去世时，却只留给每个儿子五千两银子。。左宗棠常说：“自奉宁过于俭，待人宁过于厚。一切均从简省，断不可浪用。此惜福之道，保家之道也。”
1650409958# #转发微博
1658014403# #早晨！与早安！。早晨更有朝气！。早安更有祥和！。人生的价值在于创造价值！。于弱者信心，于盛者警示，无咎！
1669032228# #小雪时节，朔风渐起，寒意渐浓。我国东北、西北地区的山野大多是满地叶落，干枯的树枝伸向天空；南方地区虽然还有些许绿意，但也呈现出“荷尽已无擎雨盖，菊残犹有傲霜枝”的清寒之景。。　俗语道：“小雪腌菜。”腌菜之俗，南北皆有。在北方，最常见的是腌雪里蕻、积酸菜、做辣白菜等；在南方，如南京
1668767049# #【京东集团第三季度净营收2435亿元人民币，预估2430.7亿元人民币】京东发布2022年第三季度财报京东集团第三季度净营收2,435亿元人民币，预估2,430.7亿元人民币。京东集团第三季度调整后每ADS收益6.27元，预估4.46元；第三季度净营收2,435.4亿元，预估2,430.7亿元。（36氪）
1702914865# #转发微博
1660940621# #转发微博
1661230715# #主力与散户的割韭菜，。其实就是散户在主力的甜言蜜语（如：，，，）之下，或者威逼恐吓（如：，，，）把头伸到了主力的闸刀之下。。散户自己要自觉，别要把头伸到主力的闸刀之下。
1692464530# #分享视频歌手：齐秦《不让我的眼泪陪我过夜》
1680103752# #生活常识。今天心静静的回味了几个短视频，发觉这些短视频的作者漂亮的漂亮，美艳的美艳帅哥的帅哥，。但大部分都是没有具体工作过，没有经历的人，可以教你怎么网暴，如何钓鱼，如何情绪对抗，有部分三观不正，有部分是感情或者生活的失败者，讲的话许多都是失败者的自慰而已，你说是吗。无聊加有毒。
1691780429# #1929年他做空美国狂赚1亿美元！经历4次破产、3次东山再起……
1676193408# #居山玩水的居是这样的，二月羊城，千花扬似锦。。广州《客天下》国际休闲度假村欢迎您！2023.1.12
1698507657# #玉置浩二(たまきこうじ)《行かないで(请别走)》
1671866335# #八道菜
1661155077# #势，深成指、创业板指涨幅均超1%；两市成交额已连续5日突破万亿，北向资金净流入超40亿元。。。截至收盘，沪指涨0.6%报3277.79点，深成指涨1.19%报12505.68点，创业板指涨1.64%报2779.02点；两市合计成交10264亿元，北向资金净买入43.25亿元。。。盘面上看，航运、传媒娱乐、煤炭、农业、旅游板块涨幅居前
1657798525# #明日是早到的大暑！
1650879767# #4月25日，两市股指低开低走，盘中单边大幅下探，沪指跌超5%失守3000点大关，。。深成指跌幅超6%，创业板指跌幅超5.5%失守2200点；。。三大股指均创出年内新低；两市成交额有所放大，全日成交近9000亿元，北向资金净卖出超40亿元。。。截至收盘，沪指跌5.13%报2928.51点，深成指跌6.08%报10379.28点，创业板指
1662013250# #午好想做什么就去做吧，你只需征求自己的许可，晚安！
1675590066# #陆游最经典10首诗词，。《十一月四日风雨大作》。僵卧孤村不自哀，。尚思为国戍轮台。。夜阑卧听风吹雨，。铁马冰河入梦来。。。《示儿》。死去元知万事空，。但悲不见九州同。。王师北定中原日，。家祭无忘告乃翁。。。《卜算子咏梅》。驿外断桥边，寂寞开无主。已是黄昏独自愁，更着风和雨。。无意苦争春，一任群
1686061207# #转发微博
1670339954# #转发微博
1697427082# #新华社北京10月16日电16日，中国足协第十二届会员代表大会在京举行，选举产生新一届执委会和主席、副主席。宋凯当选新一届中国足协主席，孙雯、袁永清、杨旭、许基仁当选中国足协副主席。。高洪波为中国足协技术总监。
1702220139# #转发微博
1656320961# #转发微博
1695472733# #转发微博
1698978081# #东方财富北斗星通（002151）东方财富
1684296492# #转。喜欢杨宪益先生这首自勉诗：每见是非当表态，偶遭得失莫关心。百年恩怨须臾尽，作个堂堂正正人。
1679497352# #转发微博
1700369529# #生活常识股市常识。时间是散户最强武器。我身边的故事一位股神炒十多年操作了五只股票未有败迹，贵在买好公司和耐心持有，其中一只竟然持股10年微利出场。。其实这位股神连股市里的"大″字怎么写都不懂。。但是这个故事给了我们什么提示和思考呢？
1658161277# #转发微博
1661796735# #诸恶莫作、诸善奉行，因果报应，百般算计、不如一颗善良慈悲的心，不如一双勤劳的手。南无阿弥陀佛！
1664839293# #马兰人『干惊天动地事做隐姓埋名人-战斗在罗布泊的广东人-今日头条』
1671395780# #永存记忆的2022年世界杯决赛！
1700008837# #转发微博
1671468778# #转发微博
1690682204# #也就是一个爆炒过的股票。基本上需要两年才回到底部。股市常识
1677990522# #5日，中国财政部在发布的政府预算草案报告中表示，今年国防费预算约为15537亿元人民币，同比增长7.2%。。。相比较，2022年全国财政安排国防支出预算14760.81亿元，比上年预算执行数增长7.1%，这也是国防支出预算时隔两年后重回7%。2021年中国国防支出预算为13795.44亿元人民币，比2020年增长6.8%。2020年
1666410003# #生活常识。有时候发觉男女要发展关系有个媒人也挺好的，很多事情协调之后，会顺很多！
1655459892# #大蓝筹有重启的迹象！大蓝筹在去年5月18号到顶，调整到现在，足足调整了一年，从时间上是够的，大家多点关注吧！
1676487198# #“要想富，先修路”，交通对于一个区域的发展来说太关键了！东莞东边是广州，南边是深圳，在地理位置得天独厚的基础上，东莞政府近几年一直在大力建设交通设施，最大化缩小东莞到广东深圳的时间，以便接收深圳，广州外溢的产业。也正是因为交通的便利性，华为在此落户，将终端总部搬到了松山湖，近3万
1675863299# #MusicTravelLove《YouAreMySunshine》
1675335014# #2月2日，两市股指早盘探底回升，午后再度回落，沪指勉强翻红，深成指、创业板指均翻绿；两市成交额再度突破万亿，北向资金净买入约27亿元。。。截至收盘，沪指微涨0.02%报3285.67点，深成指跌0.22%报12131.2点，创业板指跌0.44%报2602.32点；两市合计成交10243亿元，北向资金净买入26.93亿元。。。盘面上看
1663321898# #曾国藩：“成功是熬出来的，本事是逼出来的”
1675706064# #转发微博
1664015671# #利可共而不可独，谋可寡而不可众。独利则败，众谋则泄。。。——曾国藩
1662618630# #RoseWong/MaxLu《JUSTBETWEENYOUANDI》
1699092424# #转发微博
1659764075# #生活小经验生活中自己动手，很多小物件都可以自己做或者废物利用……瞅瞅，用的久的衣架这样用，又增加很多新功能。笑哈哈生活小妙招华创传媒老薄超话
1651476011# #世界顶级的5大海鲜生活常识
1668095910# #美股三大指数大幅高开，纳指涨5.04%，道指涨2.76%，标普500指数涨3.47%。大型科技股集体大涨，亚马逊涨超7%，谷歌涨超5%。
1686763046# #中国诗词大会，诗词串烧，龙洋诗词开场。。云山苍苍，江水泱泱，。先生之风，山高水长。。诗词
1686367505# #酒精肝的表现介绍。1、消化道表现：这是常见的肝病症状，大多数肝病都会出现，比如：恶心、厌油腻、食欲差、全身乏力等，可出现呕吐，腹泻，脾肿大等症状。此类症状也可能与慢性肝病引起的肝原性溃疡病，门静脉高压性肠病等有关。2、肝区不适：在所有肝病症状中，肝区不适和肝区疼痛较具有特异性，出现
1657796074# #『罗翔直播又又又被取消，他真的悬了？』
1682829678# #转发微博
1673929295# #2022年中国GDP增长3%，正收益来之不易！2023年又是奋斗的一年，大展宏图的一年，是充满阳光和希望的一年！人口减少有许多行业和企业都需要调整发展战略。大中小学，包括幼儿园，医院等都需要开始慢慢减少老师，医生等的数量。
1685094386# #转发微博
1676019747# #2月10日，两市股指低开低走，盘中弱势震荡下探，创业板指、科创50指数跌约1%；两市成交额小幅萎缩，全日成交不足9000亿元，北向资金净卖出超30亿元。。。截至收盘，沪指跌0.3%报3260.67点，深成指跌0.59%报11976.85点，创业板指跌0.96%报2545.16点，科创50指数跌1.19%；两市合计成交8928亿元，北向资金净
1651272732# #转发微博
1680008072# #烟花3月16日，国资委发布《创建世界一流示范企业和专精特新示范企业名单》，共7家企业入选世界一流示范企业，200家企业入选创建世界一流专精特新示范企业。其中涉及机械相关上市公司如下：。。太阳入选示范企业：。600262.SH北方股份。601038.SH一拖股份。872726.NQ中机试验。688187.SH时代电气。
1693665069# #转发微博
1676735859# #生活常识。时势造英雄，我们不一定要当英雄，我们应该学习英雄的气概和情怀，以便让我们的生活不那么狭窄，有更广更宽的空间和诗意，变得有梦。。读毛泽东主席、叶剑英元帅的诗词，你会发现很多大数字，三百、五百、三千、万，写广宽度时有，比天高，比地厚，击浪三千，，。写志气更多，，，。
1651784252# #转发微博
1698017196# #6连胜！马竞3-0十人塞尔塔，格列兹曼戴帽，莫拉塔造点+造红西甲马竞塞尔塔格列兹曼莫拉塔足球的魅力足球的快乐难以想象
1672759893# #转发微博
1666659279# #看江苏卫视8:30。小小鲲鹏生动答题，逗乐全场。。感人类20年后之伟大必显。。有才，天真，自信，礼节。
1675177826# #当负面情绪爆发时，告诉自己：先等等，凡事要三思。生活常识
1668748062# #A股核心资产在干嘛呢？恒生科技指数涨幅扩大至4%，京东涨8%，美团涨7%，阿里巴巴涨6%。
1692624589# #过去10次观察高盛，大摩的指向，基本上九次是反向指标。实是！
1683966678# #煤气灯效应，又称煤气灯探戈、煤气灯操纵，是指对受害者施加的情感虐待和操控，让受害者逐渐丧失自尊，产生自我怀疑，无法逃脱。煤气灯效应描述的是一种心理操控手段，受害者深受施害者操控，以至于怀疑自己的记忆、感知或理智。
1695429793# #|
1685264421# #真惨
1694077599# #钢铁行业收割季：铁矿石突发情况：外资铁矿石惹事情，乾坤摩根被集体约谈。钢铁钢铁行业钢材钢材贸易钢铁贸易钢材期货钢材市场铁矿石铁矿石期货铁矿石价格
1658465444# #生活常识生活小经验把妹。观察多个成功销售员，都有如此情商，但文化修养有差异，表达方式不同，相信殊途同归吧，也会成为销售高手！
1658107594# #【女生被骗3万后不服气又被骗5万：暑假兼职配音，妈妈发现报警】据近日，江苏南通，喜欢配音的16岁女孩小丽，在某云APP上找了一份声播暑假兼职。对方称想接活要先刷单，小丽刷了2单，共转账3万余元，刷第3单时被妈妈发现并报警。意识到被骗后小丽越想越气，回家后联系骗子理论，结
1663566394# #生活常识【TED演讲：让大脑保持年轻有活力的10个技巧】。。随着年龄的增长，会大脑逐渐变得迟钝，注意力得不到集中，记忆力会下降。而大脑是人类一切生理活动的“总指挥”，它的健康关乎记忆、睡眠、运动、语言、感官等。大脑不健康不仅影响工作效率，而且会导致心理问题或其他身体疾病。。。
1650408501# #谷雨是二十四节气之第六个节气，也是春季的最后一个节气，正所谓。“谷雨后来花更浓，此时已见玉玲珑”。。那么谷雨这天的民间习俗主要有：吃春、喝谷雨茶、走谷雨、祭仓颉、贴谷雨贴。。先说说前两样吧，一是吃春：谷雨前后，吃香椿是我国北方的习俗，香椿一般分为紫椿芽、绿椿芽，其中含有丰富的蛋白质
1683617576# #夏季的海、
1684770468# #转发微博
1680197059# #【李强出席博鳌亚洲论坛2023年年会开幕式并发表主旨演讲】
1690432734# #事出非常必有妖。1、大街上跑外卖的女性越来越多。2、黄金地段的商铺开始没人租了。3、人们生活越来越好，年轻人却不愿意结婚生子。4、一边是嫌1000多大学毕业生太多，一边是觉得800多万出生人口太少。。5、城市中大龄剩女越来越多，而农村男性中娶不到老婆的人同样越来越多。。6、跑代驾、开滴滴、送外卖
1678116103# #出言有尺，嬉闹有度，做事有余，懂分寸，知进退，大家才能过得舒心。
1672708738# #科普【超越光速的存在被发现：宇宙只有138亿年，半径却有12万亿光年？】。。宇宙空间膨胀的速度太快了，这意味着有许多星球会变得不可观测。宇宙膨胀的速度，是光速的870倍之多，虽然跟光速的速度不同概念，但这的确可以推翻光速是宇宙最快速度的定义。（转摘）。。宇宙膨胀光速科学。。
1684552421# #平凡之路
1679977491# #《情满九道弯》反思，好像是在写实了，现代社会个人的形象设计是很重要。亏啦！『百度百科』
1669842585# #兰陵王《命运》。“命运无常，而你就是我的人生的确信。”。国王与三个火枪手。。当梅西不确定是杀手或是指挥官的时候，阿根廷嗯，就是冠军！。郝云《活着》
1697717407# #如何让攻击状态的狗松口【如何让攻击状态的狗松口，训犬师测试最有效的方法：锁脖！】10月19日，湖南长沙。网传用衣服遮住狗的眼睛，拉狗尾巴等会让攻击状态的狗狗松口，训犬师测试后表示，以上方法并非对所有狗狗都有效，最有效的方法是锁住狗的脖子。
1701930255# #东方财富股票【安必平正式入驻阿斯利康广州肿瘤精准诊断创新中心】记者获悉，11月7日，在第六届中国国际进口博览会上，阿斯利康、安必平等企业举办广州肿瘤精准诊断创新中心入驻仪式。安必平将正式入驻广州肿瘤精准诊断创新中心，携手阿斯利康打造METHER2肿瘤精准诊疗解决方案。
1651735647# #放量滞涨有反复！。5月5日，沪指盘中强势震荡上扬，盘中一度涨逾1%，午后涨幅略有收窄；深成指盘中冲高回落，创业板指走势较为疲弱，早盘一度跌超3%，随后探底回升跌幅收窄；两市成交超9000亿元，北向资金净卖出超23亿元。。。截至收盘，沪指涨0.68%报3067.76点，深成指涨0.23%报11046.38点，创业板指跌1
1686858806# #转发微博
1685418671# #分享视频来自：维也纳古典乐派《200人合唱《你鼓舞了我》（中英文字幕）》
1671944848# #Cherishyourvisionsandyourdreams,astheyarethechildrenofyoursoul,theblueprintsofyourultimateachievements.—NapoleonHill,MotivationalWriter。。珍惜你的愿景及梦想，因为它们来自你的灵魂，是你最终成就的蓝图。——励志作家拿破仑·希尔
1682615280# #摆
1700705066# #北证50指数跳水转跌！。北证50指数大涨超5%后转跌。今日首批北交所主题基金解禁，封闭两年平均收跌22.08%。
1691146680# #乡村爱情
1672473085# #曾经沧海的信心使我们更加坚强、更加坚韧、更加坚贞地投身历史长河中属于我们的每一个瞬间，以此来证明我们每个人在恢弘跌宕的文明进程中如此真实、如此精彩又如此深情地存在着，奋斗着。
1675594430# #1151年。　　陆游只身离开了故乡山阴以他扎实的学识功底和才气横溢的文思博得了考官陆阜的赏识，被荐为魁首。春季游春时在绍兴城外的沈氏园中，唐琬和丈夫赵士程也来此游春．两人重逢，又无法当面相诉离情，随后，唐琬派人送来一些酒菜，默默以示关怀，而就与丈夫离去，陆游在伤心之余，就在园子的壁上
1695638311# #不是天生非凡，而是敢于非凡。时代是需要我们的，需要这样的先行者，去突破去改变去创造。华为非凡大师
1675431537# #北京师范大学康震博导，疑是李白之转世
1672229716# #文博会亮点剧透！年末宝藏大展即将开馆，门票预约点这里！『文博会亮点剧透！年末宝藏大展即将开馆，门票预约点这里！』
1671591149# #有经历的人，能力有限的人:情应有规矩，方能专注！
1690499423# #银行的隐患。现在每年递减的利息和分红。
1697697670# #《五老峰》。现代·叶剑英。庐山云雾弄阴，晴伐木丁丁听有。五老峰头偏听偏向右，东方红后见分明。
1673063206# #我的成长纪念我在微博达成了2000天创作成就，获得了专属「一往无前乘风挽浪」勋章！
1670641777# #树大招风之后，应谨慎立足不改！否则不太值钱！
1658335226# #未来战士.衰
1699753591# #早上好！读书。我本想写《价值投资如何与市场投机行为的良好结合》，不要让老实的价值投资者等得太久的书。。在看了威廉，欧奈尔这本书《笑傲股市》是一本类似的书。。虽然未如我心中所想的简易，但也是一本可读之书。。
1668786728# #转发微博
1697903533# #大盘无问题，价值投机可以开始积极观察
1661402573# #刚到新环境的小狗有点腼腆！
1660145006# #虽然老夫老妻两个孩子了生活小经验。但他依旧每天会说爱我！
1654454138# #《让子弹飞一会》听说剧情改了，如果有人冤枉你吃了他的东西，你不要剖开自己的肚子以证清白，你应该挖出他的眼睛咽下去，让他在你的肚子里，看个清楚明白。
1696269669# #9月22日不同寻常，中美迈出关键性一步！中方正式官宣，信号强烈
1664531721# #能源危机已经解决了吗？。如果北约主搞，应是以美国和英国为首吧？技术高爆一次就好了。。还是乌克兰，技术差，多点开花终有一成。。以上不管谁在搞，都要美国、德国同意吧！。如果俄罗斯主搞，似乎不可能！。炸管道的利益，北欧用俄气的国家可以停止用气合同，而且不用赔偿毁约的损失。
1658135081# #转发微博
1667798863# #理想是个美好的愿望，实现理想却是个艰难的过程。
1671894692# #分享视频歌手：EdSheeran/EltonJohn《MerryChristmas》
1675446080# #《咏柳》唐，贺知章。碧玉妆成一树高，万条垂下绿丝绦。。不知细叶谁裁出，二月春风似剪刀。
1660913102# #jaycd《贝多芬第五交响曲命运交响曲(钢琴曲纯音乐)》
1672392370# #转发微博
1671865460# #八道菜
1651029505# #转发微博
1702648149# #“别开生面”最早源于杜甫的《丹青引(赠曹将军霸)》:“凌烟功臣少颜色，将军下笔开生面。”此诗是杜甫称赞曹霸绘画技艺高超,使失去光彩的图画重放光彩。
1670754836# #生活常识。美好生活一一从努力塑造自己正确的生活形象开始！政治贞忠，文明道德爱国，雅致日常起居，谦虚学习，积极工作，健身爱己，无不良习惯，稳定的阳光(情绪)，高尚的爱好，从朋友圈开始。。郝云《该装就装》
1678797394# #工信部：加快5G、工业互联网等新型信息基础设施建设和应用壮大数字经济核心产业
1695650182# #转发微博
1693637690# #郝云《阳光一般灿烂的日子》（《我和我的家乡》电影主题曲）
1678113659# #CPU（中央处理器），也被称为微处理器，相当于电子产品的大脑。在通信领域当中，几乎所有的重要信息都要由这个“大脑”所掌控，CPU芯片和操作系统是网信领域最基础的核心技术。 CPU主要有两大指令集：复杂指令集（ComplexIntructionSetComputer，CISC）架构——x86，精简指令集（ReducedIntruction
1676031077# #分享视频歌手：罗文《顺流逆流(KTV版)》
1690659215# #有人说某股票好未必好，。有人说某股票坏未必坏。
1657544639# #恩情牢记，同行还必同心同德！
1673621556# #正如罗翔老师说的：人生唯一可以确定的，就是不确定性。。我们唯一能做的就是，不断投资自己，不断增值自身。。任凭外界如何变化，一个人生活的定力，才是别人拿不走的硬实力。。健康、学识、习惯、家廷。『疫情之后，投资自己（深度好文）』
1673540951# #一看心生妒忌，哪里有那么好的男人？二看又看镜子，镜中人正是自己！读到：陈道明说好男人基本标准：不一定要浪漫，但一定要负责任。不一定要挣大钱，但一定要养家。不一定要事事听父母，但一定要有孝心。不一定要三从四德，但一定要宠老婆。不一定要飞黄腾达，但一定要有时间陪家人。不
1691920041# #快乐在于实是求是，因地制宜，勤奋点。生活常识
1673757971# #美国的医生主张在新冠康复期在安全的条件下，早做、多做运动锻练。但不是做太剧烈的运动。为什么呢？因为不动带来的副作用更多太严重，尤其是老年人，比如血栓，肺不张，肺炎，便秘，排尿困难，食欲不振等等。另外一个重点：康复三个月后，考虑打疫苗，包括新冠，流感，肺炎疫苗，尤其是老年人
1695119414# #转发微博
1691253636# #转发微博
1676547582# #转发微博
1668308603# #国内光伏逆变器主要厂商为昱能科技、禾迈股份、德业股份、锦浪科技、固德威、阳光电源、上能电气、特变电工、科士达、正泰电器、科华数据等。
1652435152# #转发微博
1677362425# #转发微博
1693745329# #郝云《一声叹息》
1672567183# #转发微博
1699231288# #转发微博
1688582501# #美联储最新研究：降息可能要到2026年！美联储会议纪要：几乎所有官员预计2023年将有更多的利率上调，美联储工作人员维持对2023年“温和”衰退的预测。→
1699979727# #11月14日，在第六届中国国际光伏产业大会上，天合光能和通威股份举行战略合作签约仪式。。天合光能董事长高纪凡之女高海纯、通威集团董事局主席刘汉元之女刘舒琪，首次同台负责签约。刘汉元、高纪凡等人在其身后见证。。双方规划，2024年将在光伏组件、硅料及电池片产业链合资合作等方面进一步展开深度合
1700627249# #转发微博
1698956390# #生活常识。何不多读成事之人诗词呢？惜行！。毛泽东，李中堂，曾国藩，高适等。
1687592181# #Bill&Brod《MaduDanRacun(Remaster)》
1665162832# #今日寒露，袅袅凉风动，露冷凝秋华，该添衣物了。
1688190788# #转发微博
1680924711# #东方财富股票【牵手沙特阿美、中国石化荣盛石化何以频受巨头青睐？】民营石化巨头荣盛石化(002493.SZ)近期动作频频，刚引入沙特阿美后，又联手中国石化。近日，荣盛石化官网显示，3月28日，其控股子公司浙江石油化工有限公司(以下简称“浙石化”)与中国石化销售股份有限公司在京签署战略合作框架
1666460815# #（唐）王勃同是天涯沦落人，相逢何必曾相识。。。-（唐）白居易莫愁前路无知已，天下谁人不识君。 
1696753788# #转发微博
1671549495# #我很幸运。当然我最大的幸运，是学习了前辈艰苦奋斗，厌逸、喜勤，敢为人先的创业精神。
1677751464# #“父母之命，媒妁之言”说明自己的婚姻不是自己做主，扣：“不由自主”
1680973336# #强迫症。精神科，心理科。薛志敏。中南大学湘雅二医院主任医师。湖南省心理卫生协会理事长，中华医学会湖南省分会理事兼中华医学会湖南省行为医学专业委员会副主任委员。强迫症的表现主要有两个方面：强迫观念和强迫行为。。每位患者的病情不同，严重程度差异很大。一些患者可能仅表现为每天会花1~3小时实施
1702646396# #《择一城终老，携一人白首》。冯骥才。择一城终老，遇一人白首。。挽一帘幽梦，许一世倾城。。写一字决别，言一梦长眠。。我倾尽一生，囚你无期。。择一人相爱，等一人终老。。痴一人深情，留一世繁华。。断一根琴弦，留一曲离别。。我背弃一切，共度朝夕。
1674298861# #世界各国银行也带来了祝贺！祝大家辞旧迎新，癸卯泰利！
