1694960354# #AACR:CancerProgressReport2023
1691848432# #thefirstsuperofficewithinFDA:OfficeofTherapeuticProducts(OTP)
1701353677# #DeepTech：中国数字医疗科技创新企业图谱
1692453960# #Moderna:公布新冠疫苗对EG.5andFL.1.5.1variants的初步临床结果
1702994348# #高田生物：首个抗体偶联脂质体药物HFK1（HER2偶联脂质双分子K1，K1包裹多柔比星），用于治疗Her2低表达和Her2+实体瘤，美国I期临床试验
1688221589# #Absci:ProgrammingE.colitooutsmartdisease
1689861300# #宇耀生物：全球首创STAT3双磷酸化抑制剂YY201获批临床
1692367883# #舒泰神：重组抗FcRn单抗STSA-1301皮下注射液申报国内临床,用于治疗原发免疫性血小板减少症（ITP）
1692454005# #分享图片
1695824309# #通瑞生物：成都温江研发生产基地，获得《辐射安全许可证》
1688824906# #华润博雅生物：C1酯酶抑制剂C1-INH，用于治疗成人和青少年急性腹部和/或面部遗传性血管性水肿(HAE)急性发作
1691073803# #再生元：调整双抗REGN5678（PSMA×CD28）研发计划
1697033555# #金唯科：双AAV载体策略，用于STGD1基因治疗
1702304110# #康宁杰瑞：新型皮下注射复方制剂（HER2xHER2双抗ADC药物JSKN003+PD-L1抗体恩沃利单抗）在澳大利亚获批临床
1694527072# #诺和诺德中国研发中心「星起点」2023创新大赛，决赛胜出的两支队伍分别为科动生物和篆码生物
1703514242# #NeumoraTherapeutics：核心产品Navacaprant(NMRA-140)为高选择性KOR拮抗剂，用于治疗重度抑郁障碍（MDD），三期临床进行中
1700489440# #易慕峰：靶向EpCAMCAR-T细胞产品IMC001申报国内临床，用于治疗EpCAM表达阳性的晚期消化系统肿瘤(包括但不限于晚期胃癌（GC）/食管胃结合部腺癌（GEJ））
1698243585# #弼领生物：新一代纳米偶联药物BL0020
1698330499# #中盛溯源创始人/CSO俞君英博士
1700661386# #联邦制药：珠海高栏港医用原料药项目，计划总投资约20亿元
1701096157# #石药集团：高选择性SOS1抑制剂SYH2038获批国内临床
1703167339# #百图生科与志道生物合作GLP-2新适应症挖掘及管线开发
1703255491# #嘉越医药：第三代ROS1靶向创新药JYP0322
1687183909# #礼来偏头痛CGRP单抗药物Galcanezumab（商品名Emgality）头对头挑战辉瑞CGRP小分子药物Rimegeant口腔崩解片,未能达到primaryendpoint
1703513431# #爱科诺生物：RIPK1抑制剂AC-003胶囊获FDA孤儿药资格认定
1691936079# #TesseraTherapeutics：genewritingtechnology
1702217323# #AppliedTherapeutics：在研三个小分子均为醛糖还原酶抑制剂AldoseReductaseInhibitor(ARI)
1694615163# #《哈佛商业评论》中文版专访百济神州联合创始人、董事长兼首席执行官欧雷强（JohnV.Oyler）
1701440176# #中美华世通：用于治疗CKD患者高磷血症的碳酸司维拉姆片获批上市，视同通过一致性评价
1690984526# #成都先导：小核酸药物设计/修饰
1689343615# #嘉晨西海：国内首款自复制RNA带状疱疹疫苗新药JCXH-105申报IND
1700059252# #靖因药业：两款siRNA药物，分别靶向PCSK9和FXI，即将开展临床试验。CEO冀群升博士曾任职于药明康德/阿斯利康
1702821813# #诺诚健华：新型TYK2抑制剂ICP-332治疗中重度特应性皮炎II期研究达到主要终点
1688046640# #艾欣达伟小分子靶向抗癌新药AST-006获批国内临床，适应症为BRCA1/2突变恶性肿瘤
1692886297# #南京宁丹新药'抗缺血性卒中脑细胞保护剂Y-3注射液',处于国内2期临床,康哲药业获得Y-3注射液在国内及港澳独家推广权
1688653570# #复星医药美国创新孵化公司LevernaTherapeutics，专注RNA靶向药物开发
1701266457# #广州威溶特医药：溶瘤病毒M1第一款产品VRT106获得国内临床试验默示许可
1696602326# #Amgen：Generativebiology
1702563426# #健康元：国内首个吸入式抗生素——妥布霉素吸入溶液，进入国家医保目录
1703601048# #璃道医药：自主开发的TRPA1小分子抑制剂LD09163片申报国内临床
1688738339# #泽璟制药：生物新药产业化基地位于昆山高新区
1687875960# #广州来恩生物完成超3亿元B2轮融资
1699800774# #BeliteBio：RBP4抑制剂Tinlarebant，用于治疗眼科领域StargardtDisease（遗传性黄斑营养不良，多在儿童期或青少年期发病）
1693146039# #博安生物：2023年上半年，两款生物类似药实现营收2.61亿元人民币，同比增长18.4%
1701008278# #GyreTherapeutics（此前为CatalystBiosciences）：乙肝肝纤维化新药F351(羟尼酮)，国内三期临床，美国一期临床PS:Gyre管理团队大多也是北京康蒂尼药业的高管
1698675195# #开悦生命：自主研发的针对RNA解旋酶的小分子新药获FDA临床批准，根据公开专利，靶点可能为RNA解旋酶DHX33
1689516722# #Nimbus:TYK2JH2变构抑制剂TAK-279发现历程
1697292862# #FlareTherapeutics：FX-909，作用机制为PPARgammainhibitor（inverseagonist）
1700834620# #炎明生物：首个全新作用机制的ALPK1（Alpha-kinase1）小分子激动剂PTT-936获FDA批准临床试验
1689777308# #璎黎药业
1693577469# #范恩柯尔近日完成数千万元A轮融资，加速推进Axl抑制剂临床研究
1694094446# #伯汇生物：HPK1抑制剂BB3008获得FDA批准开展临床试验
1692282621# #Alltrna：theworld’sfirsttRNAplatformcompany
1692714670# #China--&gt;West,对外授权
1688999509# #北京贝来药业干细胞药物GMP厂房落成典礼
1697465694# #先声药业/先声再明：PD-L1/IL-15双抗SIM0237
1699972734# #维眸生物：VVN461滴眼液项目获香港科技园临床转化促成（“CTC”）计划资助
1696515854# #新加坡本土新药研发新星65LAB，由LightstoneVentures和Evotec发起成立，投资方包含拜耳LeapsbyBayer
1697896455# #GastricCancerBiomarkers
1696776100# #信立泰：ETA受体拮抗剂SAL0120
1703601293# #塔吉瑞：BCR-ABL变构抑制剂TGRX-678被CDE纳入突破性治疗品种
1692108117# #ADC连接子（Linker）设计
1703167261# #恒瑞医药JAK1抑制剂SHR0302、亘喜生物CD19/BCMACAR-T细胞疗法、瑞顺生物CD19CAR-DNT细胞疗法，均获批临床用于治疗系统性红斑狼疮(SLE)
1698761988# #贝斯昂科：SuperNK细胞疗法NK510
1700318049# #Source:2023中国医药工业发展大会
1692972035# #复宏汉霖：2023上半年营收约25亿元（其中PD-1单抗H药5.563亿元），研发投入6.738亿元（2022H1为8.274亿元），净利润实现扭亏为盈~
1699539379# #圣因生物：与华东医药达成战略合作，共同开发针对慢性代谢性疾病的siRNA药物，圣因生物创始人/CEO王为民博士来自DicernaPharmaceuticals
1690210027# #诺未科技：HPV治疗性DNA核酸药物NWRD08申报国内IND
1688393701# #璎黎药业全资子公司280Bio
1691676761# #赫吉亚：siRNA肝内递送平台MVIP专利获美国授权
1693577575# #应世生物：全球首创靶向FAP抗体偶联药物OMTX705获批国内临床
1701527103# #齐鲁制药：新一代ALK抑制剂伊鲁阿克，用于既往接受过二代ALKTKI治疗的ALK阳性NSCLC，mPFS为8.1个月【2023ESMOASIA】
1702908574# #再极医药：口服PD-L1抑制剂MAX-10181，联合替莫唑胺治疗脑胶质瘤
1701614650# #Immuneering：针对多种RAS突变新药IMM-1-104,处于Phase1/2a研究阶段
1691762340# #达歌生物创始人仓勇：分子胶领域最大的挑战就是如何从零到一
1701872698# #中美瑞康：小激活RNA(saRNA)药物RAG-01在澳洲递交I期临床试验申请，针对卡介苗（BCG）无应答的非肌层浸润性膀胱癌（NMIBC）
1693492992# #跃赛生物陈跃军博士：帕金森病细胞药物CMC主要面临两个方面的挑战
1694008181# #博锐创合：与中核高通、高通安体慕（中核高通与德国ITM公司的合资公司）签署氯化镥¹⁷⁷Lu溶液、锗镓⁶⁸Ge-⁶⁸Ga发生器优先供应战略合作协议
1693058420# #分享图片
1687096526# #智翔金泰：科创板IPO募集资金超34.7亿元，市值138.90亿元
1699886378# #传奇生物：靶向DLL3CAR-T细胞药物LB2102及其潜在疗法，全球权益转让给诺华，预付款1亿美元
1693403789# #海创药业：氘代恩杂鲁胺(HC-1119)进入商业化冲刺阶段；口服ARPROTAC新药HP518在澳大利亚进行一期临床
1687270218# #分享图片
1687962649# #先声研发中心今日开建，位于上海市虹桥国际中央商务区闵行片区
1688481003# #阿斯利康：可透脑KRASG12C抑制剂AZD4747
1701181778# #青峰医药（青峰药业/银杏树药业）：抗流感1类新药聚合酶酸性蛋白（PA）抑制剂GP681片递交上市申请
1693836407# #恒瑞医药：在连云港、上海、苏州、广州、成都、天津、济南、厦门、美国和欧洲等地设立14个研发中心，拥有8大生产基地
1695306116# #NimbusTherapeutics：TYK2Program，BiotechWeekBoston(BWB)Awards2023
1688566109# #
1702131692# #MonteRosaTherapeutics：早期临床在研分子胶（moleculargluedegrader，MGD）项目MRT-2359，靶向降解GSPT1
1697809776# #复旦张江：靶向DLL3ADC新药FZ-AD005申报国内临床
1700403786# #Evommune:MRGPRX2受体拮抗剂EVO756，用于治疗慢性荨麻疹（CSU）
1694787473# #洛启生物：靶向IL-4Ra单域抗体LQ036，第二项适应症COPD获批国内临床，此前获批适应症为哮喘
1703859512# #GlobalData:2023年FDA批准的5个值得关注的新药
1694007941# #辉大基因：治疗新生血管性年龄相关性黄斑变性（nAMD）的RNA编辑疗法HG202完成首例患者给药（IIT临床）
1692625906# #方拓生物：AAV基因药物FT-004（表达人凝血因子9蛋白），治疗血友病B
1690898703# #RevolutionMedicines以全股票交易的方式收购EQRx，获得超10亿美元现金
1697378379# #佂祥医药联合创始人/董事长杨金夫博士，曾参与发明多发性骨髓瘤药物卡非佐米（carfilzomib）
1700576320# #亿帆医药合肥小分子工厂
1695736983# #科望医药：靶向LILRB2单抗ES009，澳洲一期临床
1703080121# #滨会生物：全球首款表达双特异性抗体（PD-L1/CD3）的溶瘤病毒候选药物BS006注射液
1695219628# #仁会生物：全人源GLP-1贝那鲁肽注射液，对急性缺血性脑卒中高血糖和神经功能，启动探索性研究（ExploratoryTrial）
1699105670# #博安生物：GIPR抗体/GLP-1偶联药物PR202
1703773694# #范恩柯尔：Axl抑制剂FC084，对标小野制药的ONO-7475
1695220924# #CHK1+CDK4/6
1697551912# #湃隆生物：透脑PRMT5抑制剂GTA182
1702046457# #神曦生物：治疗恶性胶质瘤AAV基因治疗药物NXL-004获FDA孤儿药资格认定
1693322271# #诺诚健华：2023上半年收入达到3.78亿元，研发费用为3.58亿元，亏损为2.06亿元，现金和现金等价物87.40亿元
1700144024# #长森药业：早期临床在研小分子新药LW231，可调节HBV病毒的衣壳组装并激活cGAS-STING通路
1692196216# #剂泰医药（METiS）美国公司总裁兼研发负责人：陈红敏院士（美国工程院NAE、美国医学和生物工程院AIMBE院士）
1688999100# #和黄医药：新型SHP2抑制剂HMPL-415，启动I期临床试验，针对晚期实体瘤
1693922673# #长三角数字驱动创新生物医药产业链联盟,于2023年9月4日在杭州高新区（滨江）正式成立
1694094589# #维亚臻中国研发中心落户苏州工业园区，成为该园区国创中心核酸平台的首家入驻企业
1696862848# #华奥泰：靶向CD73的鸡尾酒复方抗体HB0045
1701873098# #上海医药/上药信谊：口服微生态活菌制剂WST04获批国内临床，拟用于治疗晚期恶性实体瘤
1699021021# #倍特药业子公司赛诺哈勃药业：小分子纤溶酶原活化抑制剂BT-114143
1702650800# #三生制药：获得武汉思安医疗CS1/BCMA双靶CAR-T产品在大中华地区独家开发推广的权益
1692798609# #深圳湾岛细胞创始人：范晓虎博士
1689169654# #恒润达生：CD70CAR-T（HR010）获批国内临床，适应症为晚期/转移性肾癌
1703685796# #泰德制药：高选择性AT2R受体拮抗剂TRD205片获批临床，用于治疗神经病理性疼痛
1699712584# #Recursion十周年
1702390310# #锐格医药：新一代CDK4抑制剂RGT-419B，IA期临床，在已接受过CDK4/6抑制剂和内分泌治疗的HR+/HER2-晚期乳腺癌中观察到了单药治疗的初步疗效
1696342021# #VirBiotechnology:获得5000万美元资助，为COVID-19候选单抗作准备
1693231912# #劲方医药：与VerastemOncology合作开发三款RAS通路靶向药，劲方将从首个合作项目获得1150万美元预付款.PS:VerastemOncology核心产品为RAF/MEK抑制剂Avutometinib（Phase2）
1691588620# #中美华世通：高钾血症创新药WS016
1694442814# #VeronaPharma:PDE3/PDE4双靶点抑制剂Ensifentrine进入FDA上市审评阶段~PS:主要终点指标FEV₁全称为forcedexpiratoryvolumeinthefirstsecond(一秒用力呼气容积)
1700489025# #中国抗体：靶向IL-17RB单抗SM17，治疗特应性皮炎（AD）启动一期临床试验
1687356021# #天辰生物：C5/C3补体双功能抗体LP-005获批国内临床
1699278950# #普米斯宣：PD-L1/VEGF双抗PM8002（二期临床），国外权益转让给BioNTech（百欧恩泰），首付款5500万美元
1690638858# #SenseiBio：靶向VISTA单抗SNS-101，处于早期临床治疗实体瘤。VISTA全称为V-domainIgsuppressorofTcellactivation
1691333803# #NewStudyShowsCoffeeMayHelpPreventAlzheimer's
1688134169# #复旦张江，ADC生产基地~
1697984688# #加科思：KRASG12C抑制剂格来雷塞与SHP2抑制剂JAB-3312联合治疗NSCLC临床数据，mPFS还在观察中【ESMO2023】
1689258368# #博锐生物：BR108注射液为靶向CD70的人源化IgG1型单克隆抗体，拟用于治疗CD70阳性的复发/难治的血液系统恶性肿瘤
1701700887# #和誉医药：与德国默克就CSF-1R抑制剂Pimicotinib达成独家商业化许可协议，首付款7000万美元。PS:和誉联合创始人喻红平博士曾在2002-2007年任职于德国默克
1690119724# #沃森生物：云南疫苗实验室
1690468429# #宜明昂科：靶向CD24单抗IMM47申报国内临床
1688133871# #百极弘烨分子胶药物BPHY-08获批国内临床，对标BMS/Celgene三期临床在研的CC-220（Iberdomide）
1697724962# #浙江时迈药业，董事长为孝作祥博士
1700143517# #百济神州：小分子创新药物全球产业化基地在苏州市落成并正式启用
1701960011# #炎明生物：介导细胞焦亡的GSDMD蛋白（GasderminD）『膜打孔蛋白』
1700231147# #一品红药业：URAT1抑制剂AR882溶解痛风石最新临床成果在美国风湿病学会(ACR)发布
1689860818# #普米斯生物CEO刘晓林先生
1698848123# #浩博医药近日完成1亿人民币PreA+轮融资，创始人/CEO为程国锋博士
1690382319# #正大天晴：TQA3038(siRNA)申报国内临床，用于治疗乙肝
1695134518# #东诚药业/东诚蓝纳成：核药¹⁷⁷Lu-LNC1003在mCRPC中的摄取及积累较高，在给予的低剂量下耐受良好【2023年欧洲核医学年会】
1688913785# #分享图片
1689605356# #赛诺菲：四价流感疫苗「凡尔佳」正式供应中国市场
1692196325# #ViatrisHK
1699193981# #康弘药业：甲状腺激素β受体（THR-β）选择性激动剂KH629获FDA批准临床试验
1697639020# #海昶生物：AKT-1反义寡核苷酸HC0301获美国FDA孤儿药资格认定
1696947773# #安谛康生物：流感病毒PA抑制剂ADC189，该产品流感适应症在国内的独家商业化权益转让给先声药业
1692540843# #Apellis：TheScienceofC3
1699366228# #赛生药业引进美纳里尼SERD新药艾拉司群(ORSERDU，Elacestrant）
1692021472# #阿斯利康：将对其青岛吸入气雾剂生产供应基地项目，进一步增加投资2.5亿美元
1698587587# #N1life，专注多肽偶联药物递送技术和高分子聚合物的靶向核酸递送技术
1694268796# #百吉生物：TCR-T细胞产品BRL03临床试验获FDA批准，用于治疗多种晚期实体瘤
1699625036# #至善唯新：国内首个治疗法布雷病rAAV基因药物临床研究启动
1698934332# #上海医药/上药生物：靶向CD19和CD22的CAR-T细胞注射液B019申报国内临床
