1696487887# #能打败全红婵的只有记者看的出来能打败全红婵的只有记者，采访比拿金牌都难！
1688383973# #考公上岸后被同学删除了好友考公上岸后被同学删除了好友
1697031860# #被妈妈剥好的柚子整破防了谁懂啊妈妈让我带上柚子我嫌占地方好重，不想拿，结果今天晚上打开行李箱发现妈妈给我剥好了塞行李箱里了
1687437591# #奶奶每天遛狗遛八个小时奶奶每天遛狗遛八个小时
1689863422# #原来北京时间取自于陕西原来北京时间取自于陕西，我一定不是最后一个知道的吧
1697982785# #在自习室收到小纸条警告了上厕所回来就收到小纸条了，原因是我今天真的非常非常想喝可乐，我喝的比较小口，一瓶可乐喝了一下午，喝的时候我还挺开心的，所以没注意开瓶子的漏气声
1692750129# #广西人晚上都不睡觉吗从来没有在哪个城市见过夜市可以跨这么多条街，前往不见头，后看不到尾，而且人还巨多，广西晚上真的不睡觉吗？？？
1687526607# #不考虑薪资你最想从事的工作不考虑薪资你最想从事什么工作？
1690127915# #糖尿病真的很恐怖吗糖尿病真的很恐怖吗？
1689727006# #真的好反感朋友来家里住真的好反感朋友来家里住
1689638994# #浙江农村真的遍地是别墅吗浙江农村真的遍地是别墅吗？
1699019764# #有的猫真的不能用可爱来形容原来有的猫真的不能用可爱来形容，这只猫猫的长相真是一言难尽...
1691221242# #日本人是不是都比较社恐日本人是不是都比较社恐
1688798310# #因为尿路感染没法正常上学因为尿频，几乎每一节课都想去上厕所，每节课都在憋尿泪
1688869203# #去学校尽量不要带贵重物品老子的维生素都有人偷，维B剩30颗，维C没了，大学这是啥人都有
1689517927# #千万不要让父母参与你的装修千万不要让父母参与你的装修
1689212302# #怀孕后领导想让我去仓库干重活怀孕后领导想让我去仓库干重活
1691676475# #走在重庆的街上像是在蒸桑拿走在重庆的街上像是在蒸桑拿
1696516610# #服装店的镜子可以有多离谱刚开始我还真以为这裤子这么显瘦的，后来还是不信邪用后置拍了一下，果然原形毕露，看见斜靠的镜子就觉得不对劲，没想到这么不对劲，到底怎么做到的
1692318456# #为什么喝水时总会剩下一口喝水从来不喝最后一口，剩下最后一口时直接就倒掉了
1695968684# #马龙在日本有多受欢迎她自爆是马龙第一小迷妹，见到马龙会害羞捂住脸，不愧是六边形战士打call
1689413893# #周深这是被跑男集体孤立了吗谁能告诉我这是为什么？
1695109160# #为什么酒店浴室都是透明玻璃如果把洗澡房做成实体的话，会显得空间更加的急促，很影响使用体验。建成透明的则会增大视觉效果，让房间看起来更大
1690127884# #科目二考试还没开始就挂科了科目二考试还没开始就挂科了
1694483408# #在农村任何容器都能种花在山脚下发现一家农户的花园。花盆非常可爱，任何能装东西的容器，像是塑料桶、电饭煲内胆、泡沫箱、烧水壶、洗脸盆都拿来种花了。
1696564479# #全红婵是有点搞笑在身上的全红婵这也太可爱了吧，又强又萌！
1693401408# #为什么新疆西瓜会这么便宜新疆这西瓜跟不要钱一样，这也太便宜了吧
1694175521# #拔完牙后用冻猪肉代替了冰块拔左边上下两颗智齿。医院没有冰块了，护士给了块冻猪肉来冰敷
1691221067# #租房带不走的东西能不买就不买租房带不走的东西能不买就不买
1694699628# #别人是盖房子你这是盖城堡吧盖房子跟盖城堡的人都沉默了，是我羡慕的房子了
1689469629# #一直以为空调只能定时半小时一直以为空调只能定时半小时，没想到可以定时更久
1698153910# #看着不体面但是很赚钱的工作有哪些看着不体面，但是很赚钱的工作呢？
1700231242# #西安的地铁座椅竟然是加热的温度大概五六十度，有种坐炕的感觉
1688024287# #假如用一万块跟你换高铁座位假如用一万块跟你换高铁座位
1690600202# #陈皮在广东真的很值钱吗陈皮在广东真的很值钱吗？
1689904762# #没想到鹌鹑蛋的花纹可以擦掉没想到鹌鹑蛋的花纹可以擦掉
1690683529# #为省钱在阳台种了九个月的菜为省钱在阳台种了九个月的菜
1700697297# #滑雪飞伞也太酷了吧运动员脚踩滑雪板，手控速降滑翔伞操作棒，从雪山高处利用山体坡度加速，借助速度与风的力量滑向高空。
1696860436# #广西的水果真是这价格吗快来个广西的朋友告诉我，广西水果真的是这种价格吗？
1689174286# #在自己家里被亲戚甩脸色了在自己家里被亲戚甩脸色了
1694305766# #为什么国庆有那么多人结婚刚好朋友们都有时间来参加婚礼
1695299043# #微信的过期图片可以找回来了大家是不是经常遇到想看以前聊天记录图片的时候，发现照片已经被过期清理了，无法查看，今天教大家一分钟搞定！
1698711594# #被教练的通讯录备注整破防了原来驾校教练是这样记住学员的
1689577777# #空调装进柜子里真的有必要吗真的有人把空调装柜子里吗？？
1694003249# #假如手机后三位是你高考分数假如手机号码后三位是你高考的分数，你能上什么大学呢？
1698798137# #江浙沪婚礼仪式竟然是在晚上南北差异蛮明显的，北方一般都火急火燎地必须在中午前结束仪式，不然觉得不太好，这方面好像只有北方这样吧
1696000610# #五年时间没买过任何垃圾袋用的都是平时购物使用过的塑料袋，不是因为买不起，也不追求好看，就是单纯的觉得，我们要从自身出发，为环境保护做一些力所能及的事情
1692111065# #为什么指甲上的月牙会这么大家人们，谁懂啊，谁能告诉我为什么我指甲上的月牙会这么大
1689346124# #通知书被爸爸要求发朋友圈还没收到通知书呢，就被爸爸要求发朋友圈
1696301775# #为什么农村流水席那么好吃这次是终于吃上了老家婚宴流水席，一进主人的院子里就是一整个震惊谷，主打就是一个豪横，就没有一个我不爱吃的菜哈哈哈哈哈
1693961762# #临汾的厕所有多高大尚这装修风格不敢相信这是个厕所
1689137669# #被发小质问为什么没给她随礼被发小质问为什么没给她随礼
1687574708# #入职半个月被领导带头孤立了入职半个月被领导带头孤立了
1696895108# #因为晒娃朋友圈被很多人屏蔽了因为经常晒娃，朋友圈已经被很多人屏蔽了
1688461628# #把通知书发到朋友圈后焦虑了把通知书发到朋友圈后焦虑了开学季
1694073396# #两根一起炸是有典故的，炸的就是秦桧夫妇…允悲
1688643001# #男朋友身高太低被父母嫌弃了男朋友身高太低被父母嫌弃了
1687929733# #妹妹想读研结果爸妈不支持妹妹想读研结果爸妈不支持
1695167558# #没想到自行车也坐上公交车了万万没想到在公交车上碰到了自行车
1701834475# #这么说吧，只要不拉裤裆，我都到公司拉偷笑
1694700819# #广东人家具是不是都是红木的我妈给我的小房子装修风格给我干沉默了广东孩子逃不掉的红木家具
1698929513# #饺子的种类竟然有这么多才知道饺子种类竟然有这么多，这对于有选择困难症的朋友不太友好
1697551884# #为什么精品店里都禁止拍照逛精品店看到新出一款木质耳坠，设计感很好，比划了一下也很适合我，都准备入手了，习惯性拿手机拍给闺蜜看，结果店员过来跟我说不给拍照。
1692670335# #为什么不吃饭体重也不会掉目标是八十斤已经半个月了就算是一天不吃饭只喝水也不掉秤我试过放纵餐还是不掉秤也不涨一直维持在90斤怎么搞呀谁能有法啊
1689996405# #挤黑头结果给腿上挤了个洞挤黑头结果给腿上挤了个洞
1687575144# #你当了明星会被扒出什么黑料你当了明星会被扒出什么黑料？
1692889064# #最好的养生就是保持好心情最好的养生就是保持好心情！
1698551237# #他不写社恐还好，一写就想闹他偷笑
1694227858# #没想到馒头被馏缩水了从冰箱里拿出来的时候，馒头都是一样大小，加热完居然有一个缩水了，离了个大谱
1688474401# #教师编上岸之前别给任何人说教师编上岸之前别给任何人说
1692322674# #喜欢吃折耳根的人有福了让我看看哪个四川人还没吃过这个零食
1696228169# #报完旅游团后发现只有我一人报了个腾格里沙漠两天一晚的团，师傅来接我后才发现今天的团只有我一个人运哈哈哈，我说早上吃饭时接到师傅电话说我想啥时候走都行，在路上师傅也是遇到好看的景就喊我下去拍拍拍
1688785256# #好喜欢睡觉时把手举过头顶睡觉时候把手放在头顶，是我本人了跪了
1693737087# #跳水是天津最火的打卡地吧万万没想到天津跳水大爷把天津跳火了，跳水现场人山人海
1693196071# #原来真的有人一口甜食都不吃我的好朋友，完全不喜甜，但是饮食不清淡，很能吃辣，新疆炒米粉每次都是点特辣…唯独甜品是一口都不能吃
1700704634# #连拖鞋都是嫩嫩的粉色，这样的童年怎么可能不幸福
1689130773# #笑死我了，离开公司的时候，我的手机，蓝牙耳机和充电宝必须是满电的，反正实习期就两千五工资，必须把羊毛薅起来开学季
1699263457# #因为蹲马桶脚麻结果骨折了坐在马桶上看手机看到腿麻了，结果站起来后直接扭到两只脚
1687739868# #旅游再也不给家里人买礼物了旅游再也不给家里人买礼物了
1694003591# #真的好喜欢有边界感的室友真的好喜欢有边界感的室友，大家每个人都安了床帘
1695171429# #洗一次头掉了四百多根头发洗头发前特地把卫生间打扫干净确保地是干净的，结果洗完头掉了400多根头发
1694648986# #显眼包在重庆背猪猪侠上班显眼包真是无处不在哈哈哈哈，背着猪猪侠去上班
1689604784# #养猫的第二天就被猫整崩溃了可爱是真的可爱，精力也是真的很好，每休息几分钟就要跑酷几小时，不管白天黑夜都是上蹿下跳的，觉都没法睡了
1690012741# #房子租了一周突然不想租了房子租了一周突然不想租了
1688041859# #同一科室的两个人同时怀孕了同一科室的两个人同时怀孕了
1702268400# #虽然胡说八道，但是一个字都没落下doge
1688384555# #考研上岸后该不该发朋友圈考研上岸后该不该发朋友圈
1691739488# #陈皮在广东的地位很高吗陈皮在广东的地位很高吗
1687740165# #没想到榴莲居然算高铁违禁品没想到带榴莲没法进高铁站
1691043370# #不发朋友圈的人大多过得不好不发朋友圈的人大多过得不好
1688459691# #每次找父母要钱都感到很惭愧每次找父母要钱都感到很惭愧
1689770296# #一直以为空调只能定时半个小时我一定不是最后一个知道吧
1687656502# #跟朋友闹掰后要不要删除好友跟朋友闹掰后要不要删除好友
1693742334# #一斤肉，能穿100串肉串开学季
1695171894# #戴金手镯去相亲被对方吐槽了因为相亲时戴着金手镯，结果相亲对象说是为了见他，把所有家当都戴上了
1703050491# #嬴政不是暴君这些都是陶俑是那些忠于他的勇士给战死的战士有个留忠魂的地方！
1687568664# #跟没主见的人出去玩有多窒息跟没主见的人出去玩有多窒息
1690851310# #网上很火可是你却不懂的梗网上很火可是你却不懂的梗
1687488977# #好讨厌朋友圈里的统一好讨厌朋友圈里的统一
1696591609# #现在的砂糖橘都这么大了吗我记得小的时候刚有砂糖橘的时候又小皮又薄又脆，现在已经进化到这么大了嘛
1691288508# #网上很火但你却很反感的梗网上很火但你却很反感的梗
1694833980# #葡萄干是这样晾的才知道葡萄干是这样晾的
1688807240# #床垫上的透明膜到底用不用撕不撕开的话，不透气的，一定要撕开的，可能你妈妈觉得白色的床垫，怕脏了，很多长辈都这样
1699020209# #闲置太久的鞋子就不要穿了真的建议闲置太久的鞋子就不要穿了
1696310520# #韩国选手的球拍上竟然是马龙韩国选手发球前一直盯着球拍，没想到球拍上是龙队！
1688473957# #最好的朋友论文致谢里没写我最好的朋友论文致谢里没写我
1690344845# #没想到猫猫喝水时是这样的没想到猫猫喝水时是这样的
1692195590# #为什么奶茶店的冰块是空心的才发现奶茶加的冰块都是空心的
1694390491# #重庆人吃这么油不会长痘吗重庆的饭真的一言难尽，好像都是重油重辣，重庆人都不长痘的吗？
1701147632# #不懂健身的朋友有福了刚刚踏进健身房，对健身没有任何头绪的朋友看过来！
1697692078# #现在遛狗都得给狗戴嘴套了现在出门遛狗都得给狗狗戴好嘴套了
1689431177# #一张图证明你和狗狗的关系很好每次出门都坐在副驾驶的狗狗
1689863432# #没想到科目二考试这么难没想到科目二考试这么难，你科目二几次考过的呢？
1688439100# #婆婆对我承诺的事情都做到了婆婆对我承诺的事情都做到了
1704165554# #玲花真暖啊，赵露思唱的时候声音明显低了开学季
1692322753# #不致命但让人很难受的小病有哪些不致命但让人很难受的小病
1688045122# #没想到会在地铁上被孕妇让座没想到会在地铁上被孕妇让座
1695516425# #攒了大半年的废品卖了九块钱攒了大半年的纸箱子和空瓶子卖了9块钱，大到快递箱子小到衣服上的纸标签，全都攒着了
1688548578# #去男朋友家竟然被要求洗碗第一次去男朋友家竟然被要求洗碗
1687750566# #试用期因为能力不足被辞退了试用期因为能力不足被辞退了
1693467116# #因为没开空调半夜被狗吵醒了因为下雨没开空调，结果半夜被狗狗吵醒了
1689483633# #现在的女生为了拍照能有多拼现在的女生为了拍照能有多拼
1689639934# #怪不得我减肥一直瘦不下来别人的减肥餐是鸡蛋和玉米，我的减肥餐鸡蛋、紫薯、南瓜、鸡腿肉，怪不得我减肥一直瘦不下来
1689124850# #网上很火但是你却不懂的梗泰裤辣
1695259695# #脱下来的袜子不要去闻经常闻袜子，真菌就会通过呼吸进入口腔、肺部，如果机体免疫功能低下，就有可能导致其他部位的真菌感染
1688816933# #实习七个月后公司还不给转正。秋招那会去实习应该是实习吧，只能说看公司能不能让实习期抵扣试用期，我们是2个月实习抵1个月试用期。
1696207087# #喜欢吃苹果和皮蛋的都沉默了就放子香油生抽蚝油都没放盐！半个苹果两个皮蛋，我巨讨厌吃苹果的人居然吃完了！
1698326411# #买了一年才发现这不是一双鞋家人们，笑不活了，去年结婚侄女给我买了一双鞋，实体店买的，就结婚的时候穿了一次，最近天冷了，今天拿出来，才发现这不是一双鞋
1704027948# #购票倒计时，准备暴富跨年，让金手指引领幸运之路！
1691892795# #闻袜子导致肺部感染进医院了闻袜子导致肺部感染进医院了
1688008908# #科目三第五次考试还是没通过科目三第五次考试还是没通过
1694236867# #吃14块的早餐被骂了因为吃14块的早餐，结果被妈妈骂了
1689381756# #爱吃臭豆腐跟披萨的都沉默了爱吃臭豆腐跟披萨的都沉默了
1688691028# #突然发现发小家里特别有钱印象中发小的小时候家里特别贫困，没想到是个富二代
1687945596# #复读一年后成绩从342到659复读一年后成绩从342到659
1688004208# #妈妈直接在朋友圈给我征婚妈妈直接在朋友圈给我征婚
1688624068# #没想到怀孕后被公司辞退了没想到怀孕后被公司辞退了
1694221863# #为什么好多女生都喜欢做美甲为什么女生都喜欢做美甲？
1687656255# #假期旅游回来发现空调没关假期旅游回来发现空调没关
1687939703# #复读一年后的我终于上岸了复读一年后的我终于上岸了
1688275595# #月薪4000一年存了3万月薪4000一年存了3万
1701751237# #户外滑雪不会穿衣的人有福了如果你滑雪的时候，要么冻的要命，要么一直出汗，那一定是衣服穿的不对！
1692231730# #为什么不愿意跟别人换座位你是因为什么原因，再也不会跟别人换座位了呢？
1689258374# #原来空调需要每年都清洗原来空调需要每年都清洗，这也太脏了吧
1689749907# #买错尺寸像睡在火车卧铺一样买错尺寸像睡在火车卧铺一样
1696946693# #被东北饭菜的量震惊到了东北饭菜的量真的这么大吗，有被震惊到！
1689951855# #原来镜布不是用来擦眼镜片的原来镜布不是用来擦眼镜片的
1694572406# #在学校代取快递丢人吗我现在正读大二，平时没课会去代取快递，是和我室友一起弄的，收益也还不错，我想自己赚点零花钱，有时会想，被同学看见会看不起吗？
1687498507# #科目二第六次考试还是没过科目二第六次考试还是没过
1689864085# #原来去皮的柠檬长这样原来去皮的柠檬长这样，像极了橘子
1703820554# #我也遇到过这种问题还有问我你做过最成功的一件事是什么我心里：大概是活着吧允悲
1697897718# #毕业后被大学同学删除好友了毕业之后没有联系过，今天想问问他一些事情结果己经把我删了…
1694700655# #扫地机器人把镜子撞碎了在卧室里加着班，突然听到砰一声，心都凉了半截，咱就是说你再饿也不用吃镜子吧
1698154260# #清北通知书和一个亿你会怎么选清北通知书和一个亿你会怎么选呢？
1689552730# #公交车司机是有点技术在身上的公交车司机是有点技术在身上的
1688554605# #适当的抖腿竟然对身体有好处适当的抖腿竟然对身体有好处
1689830154# #意外落水时的自救办法意外落水时的自救办法！
1701065653# #东北冰糖葫芦刷新了我的认知你们真的这么吃吗？冰糖黄瓜、鸡爪、青椒、猪蹄、皮皮虾、螃蟹…
1687934551# #因为催导师打分结果被删了因为催导师打分结果被删了
1687183749# #面试的时候你撒过哪些谎呢面试的时候你撒过哪些谎呢？
1697721540# #为什么大家都关闭了朋友圈要不然说关闭朋友圈可以减少内耗呢，都已经毕业好久了，明明自己经常会觉得自己生活的很好，但看到同学考上研究生还是会心里一哽…
1694561313# #戴牙冠时千万不要吃糖开开心心吃旺仔牛奶糖，下一秒不对劲怎么有点硬，一看是牙冠掉下来了
1695002003# #你在里面透气，外面的人不就透不过气了吗doge
1697979615# #在重庆上厕所可以有多难在重庆如果想去卫生间，一定要提前准备，因为一不小心，你就要爬一座山！
1696894791# #被可降解吸管整无语了喝咖啡喝到一半，结果吸管直接软了...
1688863609# #通知书被爸爸要求发到朋友圈还没收到通知书呢，就被爸爸要求怎么怎么发朋友圈
1695515554# #爱吃螺蛳粉跟香蕉的都沉默了喜欢吃螺蛳粉跟香蕉的都沉默了有被震惊到
1694649198# #眼睛近视的话这婚都结不成了现在的接亲环节都这么卷了吗，这新郎眼睛要是稍微有点近视的话，新娘都接不走了允悲微博手机影像年生活
1695127294# #长期喝饮料的危害有多大看完含糖量后再也不敢喝饮料了
1688551596# #没想到自己竟然考了646分没想到自己竟然考了646分
1689258546# #再也不会在高铁里上厕所了再也不会在高铁里上厕所了，真的太尴尬了
1698068377# #同事偷吃我的水果还说我小气妈妈精心为我准备的水果被同事偷吃了，最后同事还说我小气
1691986765# #为什么花花跟别的熊猫长得不一样为什么花花跟别的熊猫长得不一样
1696516383# #为什么川菜油多却很少有胖子川菜这么油，为什么四川很少胖子？突然发现所有看到的人，很少很少胖子，四川菜这么多油，高盐，高辣，为什么没有胖埻？
1698325164# #这狗一看就是跟猫一起长大的上去把猫咪的饭全炫了，然后自己下不来了
1694227700# #贴了甲片的手指该怎么洗头贴了甲片的手指该怎么洗头？
1687596439# #高考失利还有必要继续复读吗高考失利还有必要继续复读？
1690450647# #公司的厕所里居然装空调了公司的厕所里居然装空调了
1689211946# #因为请婚假结果被公司辞退了因为请婚假结果被公司辞退了
1696169364# #米饭的绝配是什么你认为米饭的绝配是什么呢？
1687264627# #朋友圈发什么最让你反感朋友圈发什么最让你反感？
1689661111# #装修时千万不要提前装马桶装修时千万不要提前装马桶
1702524235# #是谁明天下大雪不用上班？是我，哈哈哈哈哈哈哈doge
1701144520# #我们单位竟然没有东西可以顺允悲
1692800348# #广西的绿化带都是水果树广西的绿化带我劝你别太离谱，连绿化带都是水果树
1697762692# #被哈尔滨冰雪大世界震惊到了被哈尔滨冰雪大世界震惊到了
1690259914# #没想到兔子的腿竟然这么长没想到兔子的腿竟然这么长
1690444807# #穿洞洞鞋练车被教练骂了穿洞洞鞋练车被教练骂了
1699019277# #关于结婚当天狗狗的打扮关于结婚那天家里的狗打扮成《家有“喜”犬》这件事
1694747391# #上海街头的狗狗都比我时髦在上海参与了狗狗时髦秀，哈哈哈哈哈
1695345429# #韩国的垃圾桶到底在哪里韩国大街上几乎找不到垃圾桶这合理么，每天都在街上找垃圾桶的我真的要无语死了！
1688124863# #考研上岸后要不要发朋友圈考研上岸后要不要发朋友圈
1696579365# #韩国选手的球拍上是马龙韩国选手发球前一直盯住球拍，没想到球拍上是马龙...
1695167891# #被自己五天的掉发量惊到了五天时间掉的够编一个小辫子了，这里面大概1500左右，这还不算梳头和洗头掉的！
1698834194# #被我妈的结婚观念震惊到了我真的，完全没想到我爸妈是这个想法，这个态度。我脑海中为了钱而剑拔弩张或者说双方一点点的不愉快，都不会发生了，我还挺意外的，他俩好洒脱哈哈哈
1694618324# #西安地铁的禁止标识有多离谱禁止吸烟禁止饮食可以理解，万万没想到还有禁止乞讨跟禁止便溺，咱就是说真的会有人在地铁上这样做吗？
1696085443# #为什么香蕉放几天就会有黑点香蕉会有黑点我知道，长成这样的我第一次见
1702449029# #永远会被陌生人善意感动到永远会被陌生人善意感动到，泪目了泪
1697457304# #周末不知道干什么的人有福了周末不知道干什么的人有福了，快来码住！
1695040137# #养了很久的多肉竟然是假的每天给多肉浇水晒太阳，几个月后才发现竟然是假的
1690978777# #家里的蹲厕被亲戚说太土了新房装修好之后亲戚来家里参观，因为装的蹲厕结果被亲戚说太土了
1697899627# #酒店的双床房只能住两个人吗酒店的双床房只能住两个人吗？
1697859034# #丞磊骑马生图。真的有被丞磊帅到
1703998998# #哈哈哈哈哈哈哈这波操作没人看的懂，但是好像都有各自的道理允悲
1697636993# #相亲对象把牙上的菜剔进了火锅里相亲对象把牙上的菜剔进我的辣锅里了...我当时就是一整个瞳孔地震
1700704671# #别让他丢了面子，至少今天这顿不能少偷笑
1694913230# #随手丢的种子竟然结出了西瓜没想到随手丢的种子，竟然结出了大西瓜
1695515275# #为什么山姆餐吧没有凳子为什么山姆餐吧没有凳子，是不让在店里吃吗？
1689776873# #这婚纱照显得新娘有点多余了这婚纱照显得新娘有点多余了
1697691638# #屈楚萧骑摩托去林芝有多搞笑骑着骑着就感冒了，屈楚萧是有点幽默在身上的doge
1689777881# #汽车上的天线是干什么用的汽车上的天线是干什么用的
1692195578# #千万不要把婚纱照挂在床头早上睡得好好的，婚纱照突然从墙上掉落，大家千万不要把婚纱照挂在床头
1696602567# #江西人桌子上一定有的东西太喜欢吃橘子了，一天能炫好多个
1688368814# #3000双休和4000单休你怎么选3000双休和4000单休你怎么选
1704333712# #狼：专家，我不要你管，离我远点右哼哼
1688697679# #怀孕七个月了还是不想领证目前已经怀孕七个月了，但还是不想领证
1689734932# #为什么酒店必须12点前退房为什么酒店必须12点前退房？
1690341656# #装修完房子千万不要发朋友圈装修完房子千万不要发朋友圈
1696302591# #为什么有的高速上没有路灯今天返程，在高速上一直堵车，天黑了还没下高速，这才发现，好多地方的高速路上，两边是没有灯的，好黑呀。
1703205664# #给菜浇油用的上偷笑
1697118029# #吃柚子前摔一摔柚子会更甜才知道吃柚子之前要摔一摔柚子，这样吃起来更好吃
1689776855# #在酒店上厕所你会垫马桶垫吗在酒店上厕所你会垫马桶垫吗
1691726313# #种了半年的菠萝被亲戚拔掉了种了半年的菠萝被亲戚拔掉了
1691591118# #为什么川菜重油却很少有胖子为什么川菜重油却很少有胖子
1702870111# #江西其实山不多，我路过湖南张家界、常德那一带真是偏僻，房子建在半山腰、山顶。山一座连着一座，每坐山上都有房子允悲
1692144771# #因为带酒店洗漱用品被嘲笑了因为退房时候带走了洗漱用品，结果被嘲笑了
1687767937# #没想到打哈欠把下巴打脱臼了没想到打哈欠把下巴打脱臼了
1693223897# #江苏人真的都没有夜生活吗十点半不到，街上基本没人了，大商店都关了，我和朋友十点出来的，商场里就我俩了，工作人员在清扫现场，小区也都基本关灯了
1703304980# #（嚼嚼嚼～）你说草莓这玩意儿谁研究的呢（嚼嚼嚼～）偷笑
1689674537# #千万不能相信商场里的镜子千万不能相信商场里的镜子
1697762256# #关于我妈在网上买拖把这件事这个世界从此多了位对网购失望的妈妈
1692800375# #为什么西瓜上要放一块石头不懂就问，为什么西瓜上要放一块石头
1698154766# #被领导烫伤后结果带薪休假了因为被领导烫伤了，结果带薪休假了
1689592161# #去海边千万不要穿洞洞鞋去海边千万不要穿洞洞鞋
1695108929# #为什么重庆人普遍都很瘦重庆人普遍很瘦是有原因的，每天不是在上坡就是在上坡的路上
1690382195# #千万不要相信商场里的试衣镜千万不要相信商场里的试衣镜，回家后直接变样子了
1702698369# #跨年时的烟花可以有多美被跨年的烟花惊艳到了！
1689431188# #没想到狗狗竟然也会有脚气没想到狗狗竟然也会有脚气
1688442061# #地铁扶梯上的圆球是干什么的地铁扶梯上的圆球是干什么的
1699244735# #原来让你一只手不是说说而已原来一只手也能赢你，这话不是吹牛
1697032532# #狗狗每天都会叼一片叶子给我大概是在今年7-8月份开始，偶遇到了这一只小狗狗，它每次见到我，都会专门找一片好看的叶子给我
1694043932# #洗脸巾到底能不能重复使用洗脸巾你会重复使用吗？
1703205633# #喜欢吃苹果干的人有福了偷笑
1692716557# #带着饥饿感睡觉能不能瘦下来当你感觉到饿的时候，身体才会慢慢开始消耗脂肪为身体供能。这个时候如果立马进食，就会阻断脂肪的消耗，所以请一定坚持住！
1689489521# #网上很火但你却听不懂的梗有哪些网上很火但你却听不懂的梗呢？
1694046393# #床垫保护膜到底用不用撕不撕掉留着过年吗
1700663925# #用衬衫给狗狗做了件衣服当狗狗穿上衣服后，感觉他明天就要去上班了
1697693757# #屈楚萧是来搞笑的吧出发前和出发后对比太大了吧哈哈哈哈哈，屈楚萧你是来搞笑的吗
1688528244# #每天早上都被室友的闹钟惊醒每天早上都被室友的闹钟惊醒
1687219939# #因为频繁请假结果被辞退了因为频繁请假结果被辞退了
1696946912# #频繁发朋友圈被说是显眼包最近国庆假期，在旅途中小小地发了几次朋友圈没想到今天收到以前的同事评论：你就是我朋友圈的显眼包…
1701219315# #大部分健身新手都逃不掉的错误99%的健身新手都逃不掉的错误，快来看看吧！
1687566323# #没回信息被发朋友圈阴阳了工作太忙没回信息，结果被发朋友圈阴阳了
1696429555# #南方的烧烤都是这样的吗咱就是说，我手里的这把烤串，放在北方地界，会不会挨打？我就差点个玉米粒对比了，玉米一粒粒串的就算了，五花肉跟玉米粒一边大，夏天没上火烤呢已经三分熟了吧
1692237002# #是大钱花不了，比如房子车子，小钱几千块，带着孩子去旅游还是可以的，毕竟疫情三年也憋坏了跪了
1696041798# #秋裤反着穿真的更舒适吗秋裤还没反着穿过呢，一整个震惊
1696808700# #被浙江的婚宴震惊到了这是婚宴酒席天花板了吧！温州果然很有钱，还有回礼200，这不会是温州标配吧，感觉是温州天花板，菜也很好海鲜都是新鲜的，很绝
1698756516# #千万别再侧躺着玩手机了别再侧躺玩手机了，不仅容易度数上涨，还有可能对导致斜视不对焦等问题
1688604135# #为什么房东不让撕床垫的膜为什么房东不让撕床垫的膜？
1691822766# #别和消费观不同的朋友去旅行别和消费观不同的朋友去旅行
