1691972540# #投资是令人激动和愉快的事，但如果不作准备，投资也是一件危险的事情。
1692633190# #半夏投资的李蓓忍不住了，真的怪外资吗？
1688810335# #小私募怎么办呢？
1698580564# #真的是这样吗？
1693196708# #是不是所有男人，都是这样……
1697722643# #人生一定不要把顺序颠倒。值得好好看看！
1697859559# #学到了，码住赞
1700841303# #收藏起来学习
1691720562# #一个传奇投资者的20年感悟：亘古不变的炒股铁律，想赚钱只要死记就够！
1701832856# #转发微博
1695705619# #碰瓷儿的遇上硬茬了
1698753508# #哈哈哈哈哈哈
1702915825# #中国资本市场最精彩互怼现场goodgoodgood
1703853030# #竟然看了三遍，码住！
1700788102# #转发微博
1702912542# #40了，做梦还是大学时候的事，感觉上周才大学毕业。
1692790558# #银行下场买股票，可能吗？
1699869121# #易中天老师哥伦比亚大学讲座：中国历史纵横谈。
1697718481# #看看！
1699775686# #码住慢慢看
1688571689# #码住慢慢看
1701866205# #码住试试吧
1698385407# #赞
1692491397# #好文分享：如果你不想一直平庸，无论多忙多穷，请试试犹太人“卖烧饼”的投资思，内容较长，先转后看！
1697947411# #真的看哭了泪泪
1697464930# #码住慢慢看
1700051104# #学到了，码住！
1702221429# #转发微博
1689857104# #如何告别韭菜命？来学MACD五大绝技
1702730602# #太牛了。以竹为背，以骨做面，做成了一副漂亮的竹骨麻将。
1699850745# #转发微博
1695557301# #不懂就问，这是治什么病？
1692931080# #什么是经典黄金坑战法？如何应用黄金坑指标选股？黄金坑的技术形态：。。1.股价在筑底的过程中，出现一根大阴线或中阴线向下破位。。。2.经过短期快速下跌，以一根长下影的k线止跌回升。或者K线在坑底小阴小阳盘整，股价不再创新低。。。3.股价经过短期反弹后，回到破位阴线上方，完成挖坑。。。注意点：成交量
1688794873# #转发微博
1692365897# #厉害
1687501429# #赞
1697366560# #赞
1694999340# #投资大佬葛卫东的29条投资语录：。。1、我们每个人的一生都像是在路上！经过一段狂奔以後，你需要减慢速度，甚至停下來看一看，歇一歇，想一想下一段路该怎么走！人生的路怎么走不仅需要思考，更需要平衡，平衡是为了把人有限的精力合理地分配至效力最大化，这就是厚积薄发，正所谓磨刀不误砍柴功。。。2、
1702791539# #涨知识了，码住！
1697129385# #转发微博
1692759251# #每天练几句！
1692061178# #30岁之前实现财富自由的人，都做对了哪些事情？看完后感觉，这确实不是空有营养的鸡汤，而是在实实在在的告诉你，想要实现财务自由，到底该怎么做，码住慢慢看！
1693715162# #码住试试
1694267904# #收藏学习
1700908159# #手动点赞赞
1696485693# #先马后看
1701487281# #确实有这样的人，很无语
1698300148# #转发微博
1697644248# #赞
1694736622# #现在怎么回事？到处都是投毒事件…幼儿园还是要装摄像头的，带小孩需要有耐心，没耐心就别赚这门子钱。
1689929809# #科学家首次观察到金属自愈神奇的镓，滴一滴在坚硬的金属上，金属就会变得脆弱不堪！
1704108062# #码住试试吧
1691542680# #家电行业专题研究：全屋智能到服务智能，家电AI+看哪些？。。智能家居天然具有AI+落地优势。大模型纷纷发布下，各行业关注AI+对其影响。智能家居细分品类多，传统品类渗透率高，具备海量一手数据，且个性化需求复杂，设备具智能化基础，天然具有AI+落地优势。根据IDC数据，2027年全球智能家居设备市场出
1700563545# #赞
1694947824# #哈哈哈哈哈
1689347104# #码住慢慢看
1698912368# #码住慢慢看
1700581306# #无法理解他的行为逻辑，抗议国足表现？
1699636763# #赞
1698487746# #码住慢慢看
1691681126# #【投资干货】熟背“六大K线买卖口诀”，赚钱变得轻松很多，内容较长，码住慢慢看！
1697198875# #到底哪个是真的呢？
1690241176# #牢记史上最经典的炒股口诀，背起来，终身受用。。。口诀一：不冲高不卖，不跳水不买，横盘不交易。。。口诀二：买阴不买阳，卖阳不卖阴，逆市而动，方为英雄。。。口诀三：底部长阳第一次，坚决持股到收市。。。口诀四：线上阴线买，买错也要买;线下阳线卖，卖错也要卖。。。口诀五：年线下变平，熊市已来临;年线
1694927807# #郎朗是怎么忍住不笑的？
1702734476# #不知道讲什么，好像在讲经济史。
1703655505# #码住慢慢看
1699869109# #Repost
1694732222# #干货↓↓
1689439152# #赞
1699186789# #赞
1695221768# #赞
1694994942# #收藏备用
1700051341# #我们这里老话，就是把土匪叫做光棍。我认为他们就是什么都豁的出去。
1698672401# #码住慢慢看！
1698495141# #太冲动了！
1688916901# #降低收费确实可以让基民得到实惠。但是仍属于治标不治本，毕竟基金亏钱，并不是因为多收了那点手续费。
1692791026# #钱从哪里来？
1700404745# #子弟兵永远是人民的保护神！
1698905721# #大师还说：看女篮比赛就是看大长腿。
1701100530# #码住慢慢看
1696256621# #摘：民国时期，军阀迭起，他们都长什么样？码住看看。👀👀
1701000377# #码住慢慢看
1698757876# #转发微博
1700792663# #这个好，转需！
1703691359# #码住慢慢看
1693193095# #A股超5000股上涨3053点是今年的最低点吗？
1700712307# #收藏起来慢慢看
1703602641# #这个没有理由不点赞赞
1696066393# #上坡靠推，下坡靠飞！
1700408359# #万一撞到哪里怎么办？
1694164262# #允悲
1699973760# #王自如有前途！赞
1702804541# #赞
1687341843# #看着真的特别的不错，我超级的期待了，哈哈哈。
1688988858# #可参考
1699969250# #父爱如山
1697337240# #百看不厌！
1695742028# #马尿喝多了吧？好了，进去清醒一下吧！奶奶个熊
1698666758# #码住！
1699193581# #码住慢慢看
1694964286# #这才是东方美人，不服来辩！
1702115266# #哈哈哈哈
1692286402# #一个很火的帖子，刚看了评论，58岁，几乎每天一次。有可能吗？俺有点不信
1702889000# #赞
1704085981# #赞
1700563944# #被温暖到了！
1703551783# #快试试吧
1698473068# #被深深感动，情绪久久不能平复，暖意温暖心房
1699716815# #哈哈哈哈哈哈
1694732239# #转发微博
1699185666# #转需
1699933923# #这个好，码住试试！
1703229293# #允悲
1702993003# #收藏备用
1697132066# #转发微博
1697723033# #允悲允悲
1700581254# #转发微博
1688797216# #投资就是一个不断感悟的过程，而且这个过程没有终点，其实人的一生又何尝不是如此。
1702636652# #收藏goodgoodgood
1700563636# #赞赞
1694872315# #转发微博
1699628858# #咱说实话，你能坚持多久？
1694964350# #有粉丝问我：家庭收入过100万的如何理财，避免踩坑？最近几年坑太多，心伤透了，我自己买的公募基金都亏死了，只有买的私募赚钱（两年翻倍了），其他的啥也不是，哪还敢给什么建议。我还想问问，手头上有500个，一两年内用不着，该投资什么呢？允悲
1698247505# #讲得真好！赞
1701237478# #收藏学习
1695823167# #转发微博
1695169316# #华尔街有句古老的格言：“市场由两种力量推动：贪婪与恐惧。”这种说法没错，但是掩盖了一个事实，那就是情绪并不是导致市场运动的具体因素，或者说贪婪和恐惧仅仅是人类弱点的某种概括说法。人们的思想和情绪非常复杂，用“贪婪与恐惧”不能概括影响人们投资决策的全部心理，如果你想要真正找到内心世
1688727588# #码住慢慢看
1695874475# #倚天剑就在武当大厅里挂了好几年，也没人去抢，整个江湖都在抢谢逊手里的屠龙刀。是不是同理。
1694998100# #好东西，转需！
1702829228# #车窗抛烟头就是这样的，两个女生给人一种从天而降的感觉赞
1695655165# #上联：土也是地，。下联：。有请高手来对！！！
1689176660# #实用帖：揭秘看盘绝招，机会就在一瞬间，掌握快捷键事半功倍！
1692434211# #分红少于融资的，禁止大股东减持，这个确实也是好办法。但是不可能出台这个政策，至于什么原因，你们慢慢想。
1692362139# #马老师是真人生赢家！赞
1699527594# #马住
1694699525# #降准了，然并卵
1700759800# #留存！
1702482399# #至少要从30岁开始运动锻炼这是最好的一个版本：4分钟燃脂训练，每天3组到6组，亲试有效！
1693002282# #内心不够强大的人都是这样的:。1、遇事容易惊慌失措，心急如焚；。2、经常会莫名的担忧和焦虑，焦躁不安；。3、稍微有点压力就显得不堪重负，垂头丧气；。4、有时会觉得前途黯淡无光，生活没有意义；。5、稍微遇到一点挫折就一蹶不振，仿佛天要塌下来；。6、突然有点收获和好事就激情澎湃，充满幸福感；。7、
1693666373# #经典史诗级巨制动作片《法老与众神》完整版，马住慢慢看。
1703243841# #脑袋不正常还是蛮横惯了？
1696558119# #图解量能涨缩起涨战法，是明显的游资建仓信号，量能呈现的是涨-跌-涨的形态，后期股价一旦回调至均线处形成支撑，后期将会迎来上涨行情。值得收藏！。。“量能涨缩起涨”战法细节及条件：。。1、股价经过一波上涨。。。2、成交量呈现涨-缩形态，代表主力在此处边拉边洗。。。3、后期股价经过缩量回调至均线处，
1688751623# #二战经典影片《不列颠之战》中文字幕，码住慢慢看
1689263135# #非常赞的博文。句句都是大实话，都是智慧。
1701653306# #说得很好，码住赞
1696059486# #一图带你看懂体检报告，读懂你的健康信号
1698330919# #转发微博
1694996154# #同步辐射光源概念一览，收藏备用。
1696507943# #码
1700801743# #码
1696436016# #码住慢慢看
1700986763# #收藏学习
1695706099# #狂躁
1701442443# #人活着的意义就是有一天如何死掉
1696039444# #码住慢慢看
1696039459# #码住慢慢看！
1690327202# #实战经验：股票买入信号的K线经典图解，10种常见形态分享，转需。
1695565039# #码住慢慢看
1698494774# #修复的好清晰呀
1703743132# #轉發微博
1693823881# #特朗普还是有能力的！赞
1693834053# #原来小宝宝也可以这么暖心…
1702697449# #赞
1692521619# #林园：从8000到4个亿的财富故事。。。2006年的老视频，保存完好完整的一段林园总的个人座谈会。那个时候林园先生还比较瘦，早期的思路更加犀利，值得投资者学习。
1690292445# #看完了，挺逗乐
1688794920# #了解下，人体的背部肌肉图。good
1699634284# #一定要让孩子都懂得十六句话goodgoodgood
1699851260# #前面是日本，后面是尿素，裆下还有百分数
1701526863# #码起来慢慢看
1697470295# #转发微博
1697274440# #赞
1699245411# #码住慢慢看
1699764211# #每个动作20次，强心又健脑！
1698676282# #赞
1693956746# #转发微博
1694153007# #每一条都很实用，转需！
1703427022# #赞赞
1696420889# #活该他单身！
1687432141# #码
1697196018# #赞
1701132649# #转发微博
1700152696# #赞
1700397635# #泪
1693309741# #转发微博
1698487776# #码住慢慢看
1694591578# #允悲
1700729119# #剧烈运动后，这五件事不能做！！
1703426950# #收藏备用
1694075664# #一起来了解《东周列国·春秋篇+战国篇》马住慢慢看赞
1698845100# #转发微博
1689837221# #盘感，无它，唯手熟尔。
1689263599# #小炒肉和回锅肉的做法
1695205973# #人生开心最重要！
1698641190# #赞
1694929852# #女的是不是犯规了？
1699533561# #经典
1697471533# #码住慢慢看
1699293044# #德国、奥地利合拍犯罪/剧情影片《狂鼠》（高清完整版）
1688571559# #纪录片《Argo计划——逃离德黑兰》，码住慢慢看
1699851901# #我朋友问，要娶这样的女孩要注意什么？
1701532202# #神奇的圆周率π
1696008832# #码
1688799742# #看孤独务实的，既能开阔眼界，又能提升和帮助自己。
1704108023# #🤔
1687501406# #码！
1702370555# #赞
1700743101# #收藏起来学习赞
1698659001# #二哈二哈
1698455757# #揪着心看完，所幸真的救回来了，好人一生平安！！鲜花鲜花鲜花
1699089026# #小狗也知道报恩！
1701500566# #张朝阳称看好短剧市场发展张朝阳是懂潮流的，最近短剧概念股热炒就知道了，热钱流向哪里，哪里就是潮流！直播带货后的下一个风口很可能就是短剧，短剧除了霸道总裁，穿越，就是各种逆袭，爆点足看着爽，很受大家欢迎，随着短剧的市场越来越大，微短剧公司肯定会加大投资，提高作品质量，那这个市场
1699159940# #赞
1695660773# #不懂就问，这翘臀是天生的还是后天练习的？
1694163624# #蚂蚁集团发布金融大模型目前，蚂蚁金融大模型已率先在理财和保险领域进行应用测试。金融大模型的应用能够为用户和金融从业者提供更便利、高效的服务，这对整个金融产业来说都是一大步前进。这也显示了人工智能在金融领域的巨大潜力和应用前景。
1697205527# #赞
1700485181# #收藏学习赞
1693148019# #码住慢慢听
1693462960# #为什么那么多人给他打赏呢？
1690344126# #强身健体goodgoodgood
1698893602# #《国学中的风水学》，这堂课要听听！
1696774341# #上支付宝领亚运闭幕式数字纪念章有人说，杭州亚运会是“沉浸式”的，这话不假。最近全国人民都在关注杭州亚运吧，我看线上线下都挺热闹的，应该都是给中国队加油打气的。真的被这届杭州亚运会的氛围感染到了，我深感亚运会不仅是一场体育盛会，更是一场文化交流的盛宴。它让我们更加深刻地体会到了
1700059279# #收藏备用
1699625458# #码住慢慢看
1701578293# #赞
1703610502# #宫崎骏动画影片《千与千寻》完整版，码住慢慢看
1697946694# #转发微博
1697457618# #转发微博
1699281693# #栩栩如生
1687876730# #继续涨的概率高！
1703478557# #句句实话！
1701579341# #收藏起来学习！
1694003342# #坠入魔道
1697855404# #抢银行的改抢网红了
1699959879# #转发微博
1702388670# #赞
1699250941# #冷并痛快着！
1696418504# #goodgoodgood
1694793186# #抓到不至于，把募集的钱都退了就行，没钱的话就从头审一遍，有违规违法就按法律严格处理，一退了之其实保护的是大股东。
1700278795# #转发微博
1692978833# #转发微博
1697195966# #说的没毛病赞
1693354321# #【图解“反转双K连阴”】这个方法抓的就是主升浪，一旦主力洗盘后第二波拉升启动点，果断出手，绕过等待时间。具体细节如下，建议收藏。。。1、标的必须处于上升趋势。。2、短期调整洗盘，不能超过3天。。3、随着调整，阴线实体不断变。。4、入场的位置，在放量阳包阴后。
1700891329# #转发微博
1694940206# #码
1694191616# #K线形态之“上吊线”结合MACD柱线走势，顺势而为，事半功倍。
1703322328# #就是一根筋，还是中国人灵活，该严谨的时候严谨，不需要严谨的时候就轻松一点
1694770213# #码住慢慢看
1700977224# #转发微博
1699608303# #码住试试吧
1687501854# #慈禧作为中国近代史上举足轻重的人物，曾经三次垂帘听政，操控清末政权，直接影响了中国近代历史的走向。作为一个女人，在勾心斗角、杀机四伏的皇宫，她凭着自己的聪明机巧，终达权力巅峰；作为人妻人母，她权倾一时却青年丧夫、中年丧子；作为皇太后，她心思缜密...
1692773813# #【图解k线形态】11个非常基础实用的K线形态，很实用，建议收藏起来。
1699693209# #码住慢慢的看
1699277520# #赞
1694872331# #转发微博
1691555323# #芒格：一个人或一个家族，如果将90%以上的资产配置在两三支伟大公司股票上并长期持有，这个人或这个家族以后会非常富有。。。。如果在A股，你会选择哪几家公司？
1699672534# #转发微博
1696951487# #这个老爷子活明白了！
1699084765# #哈哈哈哈
1696566084# #诺贝尔文学奖获得者乔恩·福斯谈散文写作
1694152874# #人的一生是孤独的，找伴侣，生孩子就是平衡孤独，以至于一生有意义。
1691451094# #有趣
1695365841# #码
1698632761# #学习并深入研究，享受复利的魅力
1699166047# #赞
1703646327# #赞
1699099829# #码住慢慢看
1703165793# #这个好，码住试试！
1702048899# #转发微博
1697131867# #转发微博
1696139287# #转发微博
1692189128# #格雷厄姆的50条精彩投资语录：。。1、作为一个成功的投资者应遵循两个投资原则：一是严禁损失，二是不要忘记第一原则。。。2、内在价值是价值投资的前提。。。3、股市从短期来看是“投票机”，从长期来看则是“称重机”。。。4、市场短期爱选美，长期爱测体重。。。5、安全边际：以四毛的价格买值一元的股票，保
1699015194# #码住慢慢看
1700748297# #安检小哥反应迅速！
1698671363# #珍贵老视频赞
1698851633# #1942年6月28日，纳粹德军开始实施“蓝色行动”，“蓝色行动”将德国南方集团军群一分为二，A集团军进攻北高加索地区，夺取苏联油田资源，B集团军向东突破，直指伏尔加河以及斯大林格勒方向…
1694138732# #违规减持的处罚还是太轻了，买回去不算，应该让加倍买回来。还不行，就继续加大惩罚力度！
1699626258# #赞
1701355930# #赞
1698506389# #码住！
1702388463# #赞
1703991290# #转发微博
1696324158# #允悲允悲
1700751286# #转发微博
1688748668# #一小时云游中亚的美丽风光，收藏…
1700485168# #收藏起来学习！
1703223278# #赞赞
1703595222# #码住慢慢看
1698491130# #这样的狗狗谁不想要？
1696484615# #这一代父母的迷茫。。。喵喵喵喵
1695609918# #非常实用goodgoodgood
1700715401# #这堂逻辑推理入门课要听，转存！
1695738030# #力量与美的结合，我估计男人都喜欢这一款！
1697274210# #这是他们的家园，为什么他们要离开，就因为没有敌人那样强大的武器吗？
1703934584# #转发微博
1698743013# #码住慢慢看
1701006749# #转发微博
1695969359# #我表妹要和她北京的男朋友分手了，哭得死去活来，本来两人挺般配，都是公务员，前途无量，无奈男方父母不同意找外地的女朋友，棒打鸳鸯啊，真是可惜了。。我表妹身高样貌都不差，名牌大学毕业，以后也会有北京户口，怎么男方父母就不同意呢？
1700124619# #美国惊险动作片《秃鹰》美欲中东放毒，为掩盖真相大开杀戒。一口气看完
1700488001# #码住慢慢看
1703512982# #5000万都未必够啊！
1701169911# #科技发展了，病也更多了，更怪了
1699182520# #收藏备用
1701871413# #马住。
1702610225# #码住慢慢看
1701701446# #赞
1695452085# #哈哈哈哈
1692089915# #深度好文！后悔没有早点看到，真的建议那些冲动消费的人能够看看这篇文章，一定会有所启发的！。对于我们普通人来说，消费陷阱无处不在，很多都是没有必要的消费，但为什么偏偏就冲动了呢？如果能够理性消费，合理分配资金，一定会过的比现在好！
1702726000# #万物皆有灵性！
1698555168# #转发微博
1702427967# #码了慢慢看
1688006028# #码住慢慢看
1690337021# #【债市波动观点】地产政策一直是市场关注的焦点之一，前期迟迟未有相关政策出台，市场整体的预期是偏悲观的，这一预期也反应在利率的下行中。本次政治局会议对地产政策的表述相对略超预期，市场对前期悲观的看法有所修正，短期对债市形成了一定的冲击。但本次调整再现去年四季度情况的概率可能不高，当
1698580806# #转发微博
1700104566# #收藏起来学习
1690160460# #“种业图谱“，收藏备用。
1698641178# #河西走廊。
1694872353# #码
1698232644# #国内最美的四趟列车🚄
1691719108# #转发微博
1690721748# #有希望就有信心，有了信心才有未来。
1688257351# #BBC地平线系列纪录片《性格的真相》（中文字幕），受益匪浅，时间较长，建议先马再看！！！
1696326978# #允悲
1699154468# #看完深思人生的意义是什么？
1701871401# #转发微博
1701701963# #赞
1687940924# #码住慢慢看
1703386113# #码住慢慢看
1701526897# #码住慢慢看！
1698036040# #转发微博
1693282569# #大家发现没有？。现在的房子。大多客厅很大，。卧室超级小，。主卧十平米出头，。打了衣柜床两边过道就很局促，。有的甚至连化妆桌都没地方放，。空间全部给客厅了，。极其不协调。。关键是这种现象非常普遍。
1697815603# #先马后看
1696407038# #码住试试吧！
1698062694# #看完之后告诉我，你最喜欢的是哪一个？
1698761722# #经历过ICU的都明白，让急救的医生病患不用等电梯
1692542890# #堂弟娶了一个二婚女人，她带一个6岁女儿。他们结婚已经4年了，最近老是吵架，就因为他老婆走到哪都带着她女儿，女儿上下学都是她自己亲自接送，放暑假就算下雨天去菜市场也带着女儿一起，反正只要他老婆出门，就会带着女儿一起，从没有单独把女儿放在家里，前几天他老婆去医院买药，外面很热，还是要带
1694015701# #头肩底的形成与含义，具体如何使用，图解实战干货，内容较长，收藏学习。。。1、左肩。。形成左肩时价格下跌，成交量相对放大，接着是一次成交量较小的上升。。。2、头部。。然后价格再次下跌，且跌破前期的低点，成交量随下跌而增加，较左肩反弹阶段时的成交放大，形成底部；。。从底部最低点回升时，成交量有可
1699762363# #赞
1699712620# #真是开了眼了允悲
1691451227# #看看
1695833956# #赞
1688343801# #转发微博
1690206366# #物极必反，否极泰来？
1697643213# #非常难过，愿世界和平！要珍惜我们3500万先烈用鲜血换来的今天！
1700970806# #赞
1695652078# #收藏备用
1703175520# #讲得很好！
1700296330# #码住慢慢看！
1696950944# #转发微博
1697470265# #赞
1703390263# #手动点赞赞
1700966535# #转发微博
1702695585# #金银铜铁锡，竹木玉石瓷！各种收藏都有goodgoodgood
1702790871# #太棒了，码住慢慢看！
1698159891# #最牛北大教授演讲心理学，直言能看懂你在想什么，这个要看看！
1697471545# #看看
1697470365# #转发微博
1694327791# #张朝阳cos奥本海默电影奥本海里的观影门栏比较高，没有一定的物理知识，历史文化，很难有观影体验。科普进入新形式，张朝阳物理课上cos奥本海默造型，讲解核裂变，核聚变，中子打击…他的妙趣横生的讲述方式让课堂充满了活力，网友直呼张朝阳其实是“奥本海默分墨”吧！张朝阳为电影奥本海默划重点
1702756291# #用得上，get！
1703212468# #码
1698912500# #李玫瑾教授：为孩子寻找他的价值。
1703691329# #中金比较靠谱，参考一下，至少比中信强多了
1696439256# #涨知识了，码住。
1703521423# #码
1701167507# #好人一生平安！
1698930192# #收藏备用
1699672581# #高手在民间赞
1699157196# #太厉害了赞
1690606021# #转发微博
1701527128# #码了
1693308973# #摘：本片揭秘金融风暴背后错综复杂的、不欲为人所知的秘密……码住👀👀
1691580206# #年纪轻轻可真刑
1692053538# #巴菲特曾说：“最好的投资，就是投资你自己。”。。一个人，只有不断的投资自己，让自身的能力不断提升，才能有更大的底气，去应对世间的各种挑战。。。人生没有白走的路，每一步都算数。。。投资自己，才是一个人最聪明的活法。。与君共勉。
1693265102# #转发微博
1702697598# #赞
1703685241# #码住试试吧
1687057632# #码住慢慢看
1703403548# #转发微博
1693819646# #转发微博
1700404687# #学到了，码住赞
1697337182# #欠收拾
1702756227# #赞
1697464947# #码了慢慢看
1700143752# #码住慢慢看
1688986337# #转发微博
1694742837# #学到了，码住。
1692586989# #说通即心通，如日处虚空，觉悟出家在家都一样；不悟在家出家都一样。
1688486798# #转发微博
1699072215# #这就是人性
1700667525# #转发微博
1693065558# #转发微博
1701098703# #收藏起来学习
1691664505# #刚刚，俺在网上看到一位博主的文章，他发出了灵魂拷问：都四五年了，那群手持华为麒麟芯片老款手机的人，一直都没有换手机，而是跟着华为的售后服务和鸿蒙系统升级一直在坚持，他们，究竟在等什么？。。是啊，他们都在等什么呢？我跑到评论区里，随手一翻，似乎找到了最好的答案！
1699232125# #码住慢慢看
1695300868# #收藏
1697248789# #【美国纪录片《货币背后的秘密》（全十集完整合集）】。。金融投资畅销书《GuidetoInvestinginGoldandSilver(贵金属投资指南)》作者MikeMaloney导演并主持的纪录片，详述了从金银货币到纸币的变化过程，以及现代银行体系的运作的基本原理。。。金融的真相，到底是不是骗局？。。【第一集：通货VS货
1699706034# #太牛逼了赞
1700487461# #赞
1692986166# #据我观察，。男人在离婚后。大都不爱提及前妻及其家庭，。无论是夸奖还是贬低，。基本不会主动提。。而女人在离婚后则相反，。但凡聊到婚姻家庭相关的话题，。必拿出前夫来“鞭尸”。。当然我个人意见不代表全部，。只是我身边大都是这样。。可能和男女的思维方式有关，。不得其解……
1688795889# #这个是想当然吧？允悲
1696134240# #允悲允悲允悲
1699244581# #赞赞
1698393269# #快转微博
1698491075# #史诗级纪录片《从秦始皇到汉武帝》全六集
1698036018# #原来如此啊，真的涨知识了
1687875082# #赞
1698509581# #收藏起来试试吧
1702123177# #赞
1700399215# #码住试试！
1695832650# #陈鹤皋和马保国谁更厉害？
1697080843# #转需！
1700050214# #收藏
1692525791# #赞
1703695122# #一看就废了允悲允悲允悲
1697718783# #这种人要吊销驾照，拘留15天！
1702702542# #白衣女生差点被挤到！
1699671407# #赞
1703864241# #Repost
1699069119# #学到了，望周知.
1690703493# #太有道理了
