1701904500# #2024届高校毕业生预计1179万
1696778957# #湖南多地披露编外人员清退工作：一县卫健教育系统各清退500人。。网友：编外工资低干的活还多，建议减少编制，节省开支，而不是清理干活的doge一县卫健教育系统各清退500人
1692193047# #股民朋友们说是不是？
1694686680# #全球最猛烈的罢工潮，即将席卷美国汽车行业。美国汽车工人联合会（UAW）大约15万名会员与汽车三巨头（通用、福特和Stellantis）的劳资合同即将到期。。但由于UAW与三巨头在薪酬提案、工作保障和养老金福利等方面未达成一致，目前双方仍未签署新协议。已经有超过97%的UAW会员投票同意罢工。
1703575860# #曾经的行业龙头，如今也要减员增效去产能了吗？几乎各行各业都面临产能过剩的问题。物质极大丰富到远远用不完的程度了，如何破局？
1697626080# #北京国家金融科技风险监控中心有限公司成立，注册资本约1.96亿人民币，股东都很厉害。
1701058399# #字节游戏裁员字节跳动是头条和抖音的母公司，盈利能力是很强的，也开始裁撤业务缩减人员了吗？看来互联网行业的顶峰已经过去了，开始进入平稳期了。但行业整体上的收入还是远高于大部分行业的。字节跳动将关闭游戏朝夕光年
1694878440# #茅台集团董事长丁雄军：茅台要永远年轻就必然要拥抱年轻人，“+茅台”周边产品开发将告一段落。
1701567193# #北京首次全市大范围记录到极光这可不是什么好现象，地磁暴的危害还是挺多的。。地磁暴引起的强电场变化可能导致变压器和输电线路中的电流和电压异常增大，损坏电力系统的设备，导致电力故障。。地磁暴会对卫星的通信和导航系统产生干扰，影响卫星导航和通信的准确性和可靠性。。地磁暴可能对航空飞行产
1689164264# #风太大了，把石质围栏都吹倒了，幸亏没有砸到人。要是把人砸伤了，找大风赔偿应该也挺麻烦的。
1690612254# #中国人为什么总在焦虑？即使那些有车有房月入过万的家庭，也很少看到享受生活的状态，为什么？中国人焦虑的原因可能是多方面的：。。社会转型和变迁：人们对于社会转型和变迁的期待值较高，希望生活能够迅速改变，产生了深切的期待。然而，这种变化可能并不迅速，也不会一直维持，不能满足人们的期望，从
1692928570# #日本料理里没有日本货，重庆鸡公煲也没有重庆货，兰州拉面也没有兰州货……只是个名字罢了，消费者早该明白doge
1700453959# #网友：想问一下，有没有规定公共洗衣机不能洗袜子的？如果有，那确实不对，如果没有，那为什么不能洗袜子？doge袜子内裤能不能和衣服一起洗，这个问题总能引起争议，有没有人研究过这个事，到底行不行？
1695338476# #乱了，感觉那个尹锡悦最后也不会有好结果，回头看，文在寅还真是挺厉害也是挺幸运。
1702028017# #瑞幸星巴克等59款咖啡检出致癌物，看到这种新闻，我内心毫无波澜，还有腌制的咸菜有致癌物也不耽误偶尔吃。可乐该喝还是喝，炸鸡腿该吃还是吃。所有的危害，都要考虑量，偶尔吃不用担心，根据图3，每天喝二十多斤咖啡才能达到致癌量，什么概念？没人会喝这么多，所以都不必担心。当然，商家还是要按照
1695568980# #你生命中的一切都是你内心思想的反映。。当你环顾四周时，你所注意到的都是你思想中早已存在的东西。它们是经过你思想的过滤后进入你的大脑的。要改变你的生活，首先要改变你的内心思想。。生活是从内心开始的。。如果有人让你伤心，他就在你的内心系了一个疙瘩。当你不喜欢的情形发生时，你的内心会给你
1698463140# #昨天极氪上市了一款新车，极氪001FR，卖76万多，各厂家都在走高端路线啊，会不会有点太着急了
1694763339# #广州暴雨一周前是不是刚暴雨淹过一次？这又暴雨气象灾害预警了。昨天看电视，专家分析说由于全球气候变化，今后的极端天气可能会变得频繁，高温干旱和暴雨洪涝会变多，风调雨顺会变少。大家在选择城市的时候，在一个城市选择目标小区的时候或选店铺的时候，要把气候因素放到一个更加重要的位置。上次
1690464920# #单纯从气候来说，你喜欢四季常绿的温暖南方，还是春夏秋冬四季变换的北方？。。我的建议：去你喜欢的地方或者喜欢你所在的地方。截图里的网友说的都对，他们去了自己喜欢的地方或喜欢自己待的地方，他们都是幸福的。
1689987871# #西安对造假中考生取消录取这个事情针对不是某个地方的人，这是个普遍的问题，加强学籍管理。在西安的河南人很多，他们在西安上学，哪怕上一年也是真学籍，这种是没问题的。现在讨论的那些投机的人哪里都不接受啊，打破了人们从小上学报名要户口要房产证要学籍等各种资料审查，根据自己初中被分配考试
1697848236# #巴以冲突可能会促进俄乌冲突尽早结束？如果没了援助，乌克兰还能坚持吗？或许会选择尽快谈判。
1688353799# #缅甸逃回男子忆水牢满地是血前两天还看了个视频，一个旅行社的创始人讲述被困缅甸诈骗集团的经历，只能内部互卖，没有价值了会被送到公海医疗船去取器官……他话语中透漏了一个信息，诈骗集团不要30岁以上的……昨天看了《消失的她》，以后更不敢出国了……doge
1698140310# #这个事情看起来很简单，就是没窗帘屏幕反光有些学生看不清，怎么搞的这么复杂呢？本来装个窗帘解决的事，搞成个舆情事件，何必呢。
1696125000# #高速上的连环追尾事故，每次节假日的时候就非常多。除了保持车距以外，高速上突然的刹车也很危险。
1696860456# #从评论看得出来，大家对老了后住养老院很抵触，很反感。那如果孩子上班没时间照顾，在家里请个保姆照顾怎么样，比养老院好吗？其实现在的养老院各种各样的都有，好的确实是好，差的当然也很差。重庆力帆集团原来的老总，他自己选择了去养老院住。
1697254459# #山东超半数乡镇公务员想离职在乡镇公务员群体里开展工作满意度调查得出的结果，乍一看想离职的比例挺高，但是同样的调查在其他行业开展结果会如何？调查一下医生护士，老师，警察，国企员工，互联网IT企业，传统工厂，网约车司机，外卖骑手……恐怕对自己当前工作表示满意的并不多。这意义不大，不如
1703113980# #说的是台币吧？现在比例是1:4.38，折合人民币六千多。
1698378960# #土耳其央行将基准利率上调至35%
1695951952# #奥尼尔称自己是半个中国人奥尼尔来了，受到热烈欢迎，被广场舞阿姨们团团围住载歌载舞，奥尼尔笑得合不拢嘴。阿姨：家人们，谁懂啊！
1689851018# #今天无锡下暴雨，很多路段积水把车都淹了，有一个网友踩着冲浪板去上班……真拉轰无锡暴雨高铁出站口积水沿阶梯流下
1696924380# #既要个人自由与空间，又要老人带孩子？权利与义务应对等
1697031720# #有点意思，熊孩子吓的瘫坐地上了。
1689942968# #张雪峰对一个女孩子说，你到大城市辛辛苦苦当个打工仔，不如到乡镇卫生院找个当医生的对象，当个土娘娘。
1700111314# #其实生不了孩子，倒没那么可怕，更怕的是生出来一堆身体有缺陷的孩子，这就既苦了孩子也苦了父母，也是社会的负担。
1703331540# #外卖、网约车行业越来越卷，今年每日新增网约车司机数较去年增长近5倍，订单越来越少，这些行业也要饱和了。
1688305774# #黄仁勋谈管理和战略，不关注市场份额，不听汇报，不做定期的计划。有没有在英伟达工作的朋友，他说的是真的吗？
1689756927# #看到一图，说：为什么要禁止改装汽车，为什么要禁止买卖宅基地，为什么要往死里扫黄？
1691676116# #卢克文的韩国见闻
1699594740# #神仙打架，苏钢回应了，回应的要点：。1.地拍之前是怎样的，你都知情并接受的。。2.只有一个地块是不安全的，需要修复处理，但是陆家嘴没有处理，直接违规开建。。这事儿还是依法依规走流程吧，普通人搞不清这里面的道道。
1694100364# #今晚深圳这个暴雨，看起来都快赶上前段时间门头沟和涿州那个洪水的情况了，马路成河了，汽车都飘起来了，损失不小，注意安全🙏深圳全市暴雨戒备状态
1690453044# #以下是一些国外很贵但国内却便宜的东西：。。泡面：在国外，泡面价格通常是国内的2倍以上。。。手机壳和手机贴膜：在国外，这些配件的价格非常高，通常要50美元以上。。。手机耳机：国外手机耳机的价格也相对较高。。。手持电风扇：这种小巧便携的电风扇在国外非常受欢迎，成为夏日时尚的代表，但在国内价格却
1702124001# #余承东：华为明年将推出颠覆性的产品，改写行业历史余承东称华为明年将推出颠覆性产品
1688882777# #如何看待留学生获生活补助其实外籍人士受优待有合适这一方面呢？方方面面都存在类似的情况。外国人丢了自行车很快就能找回来，外国人被隔离很多人给做后勤保障，外籍人士上国内大学不用参加高考，即使从小在中国长大的中国面孔的外籍人士，依然可以享受各种优待。真是奇了怪了。
1701335543# #临聘便宜好用，都用劳务工，基层正式工应为可以指挥临聘人员，都像领导一样了。谁还觉得人口下降不好？人越多越不值钱。
1702360688# #检方认为，柏某某因家庭矛盾，持刀故意伤害王某甲，致其死亡，犯罪事实清楚，证据确实、充分，应当以故意伤害罪追究其刑事责任。这不说的很清楚了吗，评论里怎么那么多阴阳怪气的。
1688429558# #刘纪鹏：中国的股民非常了不起，尽管这样的赔率还在前赴后继……股市能否率先实现一下共同富裕？
1696582545# #在图像中的近百人里发现了疑似女童的身影，其在原地等候约10分钟后，向水边走去，在水边摔倒后消失在海浪中。希望平安🙏
1700666700# #说了半天你倒是说呀，婚姻的真相是什么？
1702211940# #夫妻过日子相互体谅吧！不要老是指责对方的缺点，也要想想对方的好。有矛盾分歧也要懂得反省，加以改正，这样日子会过的越来越好。多换位思考问题，老公懂得服软，老婆适当温柔，有劲往一处使，日子才会过得蒸蒸日上。
1695196200# #龙卷风这种自然灾害还是很吓人的，虽然影响的范围不大，但是所到之处必遭重创。这个是之前国外的一次龙卷风，好像是马来西亚，看看这威力。江苏宿迁强龙卷风受灾人口5512人
1688174198# #女生衣柜藏陌生男人因是精神病仅赔2000这确实挺吓人，一个小女生独自一人在农村，回到家发现衣柜里藏着个男人，报了警还因为他是精神病赔钱了事，真是会让人很没安全感。建议如果是精神病违法犯罪，把家里监护人一并处罚，让监护人到监狱里照顾他，并且收取费用。
1695893369# #学校里的这种事儿不少啊，看来工作还是不够饱满，竟然还有这种闲情逸致。
1701918130# #其实道理大家都懂，书上也是这么写的，相信领导们也很清楚问题，可是为什么好像很难改变呢？
1694482201# #不到一年，已举行三次阅兵式
1695356449# #任总说了两个观点：同质化教育把天才埋没了；学英文还是很重要的，尤其是农村孩子。。这话很有道理，也就任总敢说，其他专家说估计要被网友骂了。任正非称同质化教育把天才给埋没了任正非称不学英文农村孩子永远就是农民
1703460600# #12月21日，郑州公交集团发布征求意见稿：鼓励工作满10年以上的老员工出去自主创业。
1703554320# #美国即将掌握核聚变发电技术？科学家称连续四次复制热核反应。不管谁先成功突破这项技术，都是人类科技的一大进步。
1692166495# #四川宜宾9家医院11个领导落马，市纪委从医疗系统违纪人员已追缴1.5亿
1691465580# #美国中情局前情报人员约翰逊表示：美国计划消灭泽连斯基，并嫁祸给俄罗斯。消息来源是今日俄罗斯。
1700633340# #老胡对米莱当选阿根廷新总统发表了看法。互联网时代确实有这个现象，越激进越容易聚集支持者。
1698970177# #一位女网友说：不要彩礼没关系啊，不逼着女方生孩子不就好了，只要不生孩子，要不要彩礼真无所谓，还不是要为了你家那几个锅碗瓢盆生个继承人……doge黑线
1700120220# #秦岭国家公园设立方案公示：总面积1.26万平方公里，涉6市20县。。秦岭是我国的中央水塔，是我国南北气候的分界线，是中央造山带与南北构造带交汇的地方，是长江和黄河流域的分水岭，是我国重要的南北地理分界和生态安全屏障。
1695291840# #我国首所空天信息大学获得批准，并正在济南落地筹建。
1702641377# #被老外反向种草中国游戏了老外被东方美学震撼住了数字时代，中国游戏在海外市场大放异彩！这不仅是中国游戏产业的崛起，更是传统文化在数字世界的崭新表现。游戏中的东方美学、传统文化元素，让老外们为之倾倒，纷纷表示“被震撼住了”。。从龙图腾到敦煌文化，从戏剧文化到中国武术，这些游戏中融
1694658596# #昨天乌军夜袭克里米亚半岛上的塞巴斯托瓦尔，也就是黑海舰队的大本营。据说十枚导弹有三枚击中目标，可能摧毁了俄黑海舰队潜艇“顿河畔罗斯托夫”号。。东北亚小兄弟的炮弹要涨价了……
1697464020# #朝中社刊文谴责日本危险军事活动，提醒日本切勿轻举妄动。
1693836120# #2022年俄罗斯GDP20强城市排名，以及和中国相近城市。
1696059222# #38岁知名私募董事长逝世如果是真的那么表示可惜，英年早逝蜡烛。不过确实疑点重重，公告也没说死亡原因，不知道有没有死亡证明？很多网友怀疑可能是假装死了，然后换个身份重新生活，或者是已经跑到国外去了，也不是没有这种可能。
1688634489# #王德峰：随着家族本位社会的解体，我们进入了个人主义的社会，但这个个人主义却没有精神支柱，沦为了物欲的个人……贫贱难耐凄凉，富贵不能乐业，左也不爱右也不爱，人生竖不起信念，只有那个非常明确的功利目标，并且把功利目标偷换为人生的目标……人就容易迷茫，我们要找到自己的心，找到精神支柱。
1699858687# #现在全职子女挺多的，在家陪父母做家务、逛街、买菜，陪父母聊天，父母给发生活费。以前叫啃老，现在叫全职子女。
1697938560# #小朋友的快乐很简单，越长大快乐的阈值越高。
1695130921# #白宫组织的科技战略会议，马斯克扎克伯格等企业负责人参会，嬉皮笑脸交头接耳，一点也不严肃。
1702896780# #盘点董宇辉新东方之路转折点应该就是2022年6月份左右，董宇辉作为直播带货界一股清流爆火，走上了人生和事业的巅峰。当时我发了一条微博：新东方的直播带货，开启了直播带货的新纪元，也让直播带货这个行业更加的内卷，竞争更加的激烈，英语老师们直播带货可谓是降维打击呀。看了董宇辉老师的直播视
1700313840# #乌克兰军方称，俄军夜间对乌克兰发动了大规模无人机袭击，乌克兰南部和北部地区的一些基础设施遭到攻击。。。据报道，乌克兰空军表示，乌克兰防空系统击落了38架来自俄罗斯的“目击者”无人机中的29架。。。乌克兰空军称，这波针对乌克兰多个地区的无人机袭击从当地时间17日晚上8时持续到18日凌晨4时。
1695633658# #这标题起的有意思doge笑cry脚趾甲是不是也死了？头发是不是也死了？
1696421981# #希望那些人看到新闻之后，能够主动把东西归还回去，这影响确实很不好。给南阳抹黑。
1694445604# #今晚重庆有暴雨，有些路段已经出现了积水，建议大家吸取其他城市的教训，把车停到地势高的地方去，低洼地段的1楼商铺，做好防水措施。在山脚下的，如果有其他地方可以去，最好去其他地方避一避，避免山体滑坡泥石流之类的灾害发生重庆暴雨广西三起山体滑坡8人失联
1700525765# #人口专家称鼓励生育应从一孩开始是啊，没有一孩，哪来二孩？生了第一个再生第二个就没那么难了。。鼓励生育应该是一个综合性的、系统性的工程。政府可以通过制定一系列的优惠政策和措施来鼓励人们在一孩阶段就进行生育，从而为未来的二孩和多孩提供更好的条件和机会。例如，政府可以加大对育龄妇女的
1695709140# #俄罗斯人真浪费，满地的小土豆就这么不要了，这就是地大物博人少的国家，随便捡一捡都不会饿肚子。
1692318954# #今天咱们说说"口红效应"。。。这个显眼包是说美国经济危机时的口红很畅销，一些廉价奢侈品的销量在一路狂飙，甚至可以作为侧面解析经济的风向标。。。悲观经济学说，替代效应大于收入效应，说白了就是经济不景气形成的报应，那些房子、车子、高单价的消费全成了泡影。所以花点小钱满足，消费欲望才不会倒退
1691805345# #官方答医院不听从孕妇堕胎意愿相关看新闻只看标题容易被误导，没有严重遗传疾病或缺陷，选择性别堕胎，大家觉得应该支持吗？
1689084037# #姐姐30万赎弟弟没出缅甸又遭转卖每天一个缅北诈骗新闻，给大家一次收集齐了。这方面的宣传不可谓不多，但是为什么还是有那么多的人被骗了去呢？是被骗者鬼迷心窍还是骗子手段实在太高明？如何才能从根本上彻底杜绝这样的事情呢？男子在被卖到缅甸途中跳车报警
1696503540# #农村的邻里矛盾，往往是因为盖房子引起的
1693867476# #警察叔叔把喇叭借给了跳水大爷，真是警民一家亲的典范。
1696329090# #全红婵就是为跳水而生的吧，太牛了，惊呆裁判和教练。谁发现的全红婵这个天赋呢，伯乐也挺厉害
1689032401# #家庭矛盾，已经批评教育了，孩子没有大碍。所以只要是一家人内部发生的事，基本上还是要自己内部解决。清官难断家务事可能说的就是这个吧。
1697381455# #八九十年代有些乱搞乱调，后来国家整顿，对一些原不合规不合法的调动就否定了。估计老曾属此列，但也是足够的大意，这种事一问单位人事便知，这种事真不能以为是就是呢。进公办学校是以事业编还是工人编进的，要去查查档案看看。
1696259387# #全红婵追着摸教练肚子，被教练“嫌弃”的扒拉开，这小女孩还挺调皮笑cry网友：不能乱摸，小心动了教练的胎气允悲
1690282865# #蹲厕所的时候如果觉得无聊，除了玩手机，还可以做点什么呢？这博主教你用卫生纸做一朵花。
1702874315# #虽然离婚了，但曾经夫妻一场，估计还是有感情的，比普通朋友关系还是要密切一些。一日夫妻百日恩嘛，说不定哪天复合了呢
1698925080# #缅甸果敢民族主义同盟军发言人李家文接受凤凰卫视采访，看了这个视频都想去帮他们了doge
1703305115# #上个月，朱令50岁生日的时候，她的父亲吴承之接受了采访，表示公安部门做了很多工作，已基本摸清事实，只是证据不足。事情过去这么多年了，也不得不放下了，朱令这些年真是受罪了，解脱了🙏清华大学发博悼念朱令
1688308847# #普通人的普通生活，这就是大部分人的生活状态了吧。其实只要无病无灾，也是可以开心快乐的，心态很重要。
1703239200# #山东烟台、威海连续三天出现强降雪。此次降雪过程是一次极端天气事件，降雪量和积雪深度均突破有气象观测记录以来的冷流暴雪历史极值。
1700893458# #管委会：涉嫌扰乱正常秩序，暂无法办理备案……不允许降价，烂尾了又没人管，搞什么呢
1696260609# #确实
1702041507# #武汉大学教授汤志刚被前妻网络实名举报，如果举报属实，这就不仅是师德师风问题了，不仅是感情纠纷道德沦丧了，还涉嫌违法了。等一个调查结果吧。女子实名举报武汉大学教授嫖娼赌博收回扣武大人民医院通报职工被前妻举报多项问题
1692432674# #内江4.2级地震四川地震有点频繁，平均下来，几乎每周都有地震。内江最近已经震了好几次了，当地的朋友感觉到地震还会往外跑吗？
1697977160# #富士康被查企业配合政府税务、安监、国土等等审查，这不是天经地义的事嘛？你只要做的正经生意，合法生意，合法缴纳税务，合法拿地合法建设，有啥可怕的，哪个做企业没有被抽查过，怎么到了富士康，就让媒体传播的变质了呢？媒体这是在带什么节奏呢doge
1698973027# #这个世界并不太平，俄乌战争还没完，连女的都要上战场了。巴以冲突不断升级，死了一万多人了。印度巴基斯坦又出摩擦。缅甸北部炮火再起，云南有学校都停课了。对这些国际大事，咱们普通人也没办法干预，也帮不上什么忙。但看到这些事情，应该对现在稳定安宁，吃喝不愁出行便利的生活更加满意吧，多看到
1698458120# #进口化妆品价格不到半年腰斩最近各大平台和各大主播都在打价格战，你会发现原来有些东西降价一半他还有得赚。有些产品，尤其是化妆品护肤品还有保健品这类东西，制造成本其实非常低。蜂花、郁美净这些老牌国货卖的那么低，都还是有利润的，你想想那些售价是它们几倍甚至几十倍的新贵和国外品牌，简
1688694191# #不以非正常价格扰乱市场公平竞争秩序是什么意思？约好了不乱降价吗？
1700795914# #据报道，在塞浦路斯注册的澳丰金融集团，其旗下基金经由兆富财富管理顾问公司等平台，以年均8%的收益率吸引社会各界购买其金融投资产品。2022年底陆续有投资人赎回却拿不到钱，不少上市公司及投资人受害。今年5月底，“澳丰金融集团”宣告倒闭，全台超过1.3万投资人受害。
1701999189# #真比很多办公室工作有意义的多，这也是一门实实在在的手艺，做得好会很挣钱，也确实辛苦。
1689156455# #解决问题的另一种思路，貌似经常用
1697710079# #开车出门，我们做不到完全不出事，但应该尽量做到出了事我们无责起码不是主责。因为别人我们无法控制，我们能做的就是自己开车不违章，规规矩矩的开，变道要保证不影响后车正常行驶，提前打转向灯。要是看到别人要超车，就松松油门让他先走，他可能有急事。过路口即使是绿灯也左右看一下，如果有闯灯的
1698993600# #利润严重下滑，多家传统汽车巨头开始延长燃油车寿命
1695602058# #假装成富二代或者官二代，骗人成功的概率好高哦
1702880696# #海洋里还有很多人类没有搞清楚的秘密，探索海洋还有很长的路要走。
1691717321# #恒大地产已资不抵债去年净亏五百多亿，平均每天亏一个多亿，流动负债1.6万亿，总负债1.8万亿，总资产1.4万亿。要解套有一个办法，就是让资产增值。在那个房价地价大涨的年代，这不是问题，现在，就难了。
1697023500# #这个解释，我是服气的，好像确实如此，方方面面。
1692375480# #想一想，每个人都是会死去的，那些让你烦恼的事还重要吗？
1697673943# #当天表决的是巴西提出的决议草案。该决议对哈马斯袭击进行了谴责，并敦促各方遵守国际法，保护平民和民用基础设施，敦促向平民提供包括电、水、燃料、粮食、医疗用品等基本服务，敦促撤销要求居民撤离加沙地带北部的命令，保障人道主义援助。美国辩称，此次决议草案中没有提到以色列拥有自卫权
1701315541# #跟刚买的股票转天大跌了一样，股票跌了人们心理上能接受，房子却很难，可能是觉得股票还有涨回来的一天，而房子涨回来就不容易了。
1693282417# #取消公摊面积合理吗羊毛出在羊身上？好像公摊面积是历来就有全球统一的似的，但其实公摊面积来自香港，有人说是李嘉诚发明的。世界上其他地方几乎没有公摊面积这种说法，而且香港也已经在十年前取消了公摊面积。
1698758903# #小伙cos哈利波特为哈迷女友庆生现在的年轻人真是会玩，为让女友开心，一小伙子别出心裁。万圣节这天是小伙女友生日，女友喜欢哈利波特，于是小伙精心策划了一场庆祝活动，他扮演成哈利波特给女友送上生日蛋糕。不仅如此，他还把他们的小屋打造成了一个哈利波特的魔法世界。女朋友表示非常开心，超级
1696066827# #台湾鸡蛋价格是大陆两倍看到这个新闻，很多网友都提到了收入的对比，确实我们的一些大城市北上广深等这些年发展起来了，收入也提高很多了，可能已经超过台湾了。但是我们大部分的地区收入比台湾还是低不少，即便算成购买力也还是低一些的，继续努力吧。等到我们全面超越他们的时候，很多事情就自然而
1696515076# #恭喜祝贺，终于有个大球获得冠军了，女篮厉害赞
1695295920# #华为发布盘古汽车大模型和医学大模型
1697335450# #夫妻恩爱，男的舍命救妻子，这样的夫妻其实占多数，但这种新闻往往热度不高。那种打老婆的热度比这高的多。
1688513360# #18所被美国制裁的大学。它们有什么共同特征吗？
1698844431# #全球第二例猪心脏移植患者6周后去世大家其实没有必要嘲笑，这种试验如果成功，对全世界都是有益的。才进行了两例，而且为病人延长了一个多月的寿命，这已经是迈出了重要一步。如果以后这个技术成熟了，器官移植将变得越来越便宜，很多看不起病的人都会受益。
1696069680# #大理回应连续两年拖欠村民土地流转租金：市级财政困难，无法及时足额拨付。
1693460421# #不缴五险一金有何后果公积金可能不是强制的，但保险是企业必须缴纳的。有的网友说不交保险，把钱直接发给员工不是更好吗？这种做法就相当于偷税漏税，企业会被查处的。要知道，你交的保险主要是养现在的老人的，等你退休的时候领的退休金是那时候的年轻人交的社保。
1698814560# #第一财经社论：房市谨防双轨制。。要谨防保障房体系蜕变成双轨制，敞口出套利空间，还需加强保障房体系与商品房体系的融合发展，即通过健全保障房服务体系的开放式治理体系，实现保障房取之于房市，又善导受困者重归于房市的实现路径。
1689204677# #这是张雪峰关于兰州大学的那个讲座片段，他说他一个亲戚分数够兰州大学，但是他给报了一个北京的非211非985的院校北京信息科技大学。他说一个城市对人的影响非常大。大概意思是宁愿选择发达地区的双非院校，也不选择经济落后地区的双一流院校。这个观点我不太认同。
1697348572# #今天有好几个城市举行了马拉松，不完全统计，至少有：大连马拉松，天津马拉松、青岛马拉松、潍坊马拉松、菏泽马拉松、临沂马拉松、烟台马拉松、泰州马拉松、宝鸡马拉松……
1695655818# #这个小伙第1个动作的时候就不是很熟练，感觉慢半拍，感觉这小伙在排练的时候可能有点走神，所以正式表演的时候失误了
1701240388# #以前特别多，就是群租房，很多是二房东改造的，也确实有需求，因为价格便宜很多。
1702621800# #看了孟羽童给粉丝们讲解如何反向教育领导，明白董明珠为啥被她气个半死了允悲挖鼻孟羽童面试时曾称月薪超4500就满足孟羽童回应被董明珠怒斥
1694476757# #俗话说，中国人不骗中国人。可是，在缅甸的某些地区却聚集了大量的诈骗分子，比如什么产业园、科技园、工业园、智慧园等等，实际上，都是这些诈骗分子的大本营。。。这些说中文的犯罪分子骗了无数中国人的钱财。对于那些底层的犯罪分子，他们过得也很惨，完不成任务，就要挨打，甚至打残打死，也有很多相
1701565220# #男子捡大学生手机索要千元不给就刷机在餐厅的桌子上拿走不属于自己的物品这也算“捡”吗？要两千块钱还威胁刷机，这算不算敲诈？派出所出面调解一下是不是就解决了？这个事情上新闻后估计会去给调解挖鼻
1703728147# #特斯拉机器人暴起伤人马斯克曾表示：开发脑机接口，是为了对抗人工智能。AI的安全性问题值得关注，人如果要与失控的AI抗衡，可能也要借助AI。感觉这一天很快就要到来了，可能只需要程序员的一个疏忽，就可能引发AI失控。
1700281414# #打球变成了打架……有人说体育比赛出现肢体冲突或者打架很正常，那么干脆换个场地让他们放开了一决高下？
1699181554# #据说明天学校都停课了，这雪得多大……
1703660760# #公交公司欠燃气公司钱，燃气公司不让赊账了doge
1703647377# #蜡烛责任如何划分的？法律上按理说机动车是不是没责任？但实际上多少要进行人道主义责任划分，保险公司如果认的话，可能还是得赔一些的。
1698765618# #这个好，最适合i人的cosplay，巨鹿路树万圣夜上海巨鹿路人山人海
1688300113# #官方通报小男孩被逼吃粪便未成年人保护法应该是保护老实本分的孩子、保护诚实善良的孩子，可不要搞反了。如果老实人得不到保护，那是逼老实人变坏。如果坏人得不到惩罚，那是纵容坏蛋。
1703325674# #网络游戏归哪个部门管理和审批？网络游戏的上级主管部门是哪个？。文化部、广电总局和新闻出版总署《“三定”规定》中规定：“文化部负责动漫和网络游戏相关产业规划、产业基地、项目建设、会展交易和市场监管。。国家广播电影电视总局负责对影视动漫和网络视听中的动漫节目进行管理。。国家新闻出版总署
1696478680# #严格依法处理，借此机会给老乡们普普法，以后就长记性了，要不然以后还可能会犯更大的错。现代社会了，法律意识确实要加强。
1701471907# #不仅东北，北京网友也看到了极光，地磁暴感觉不是什么好现象啊……
1696040700# #网友：辉煌的时候，广东优秀民营企业家！落魄的时候，河南特产！二哈。2018年底，衣锦还乡的许家印大手一挥，决定再捐6个亿给老家太康县，支持家乡的发展。而老家的乡里乡亲们获得了一份意外之喜：每家3000元的大红包+各种粮油年货！。除此之外，许家印还在河南太康县投资建设了加印小学、恒大中学、
1703079000# #字节跳动2023年销售额达到1100亿美元，超过腾讯。
1703381186# #这个还是看专业人士的专业研究吧，也不能胡说，但是个人的一个感受就是：戴口罩时间长了人不舒服，胸闷气短有点，高原缺氧的感觉。这应该对身体也不好吧？
1689143685# #台媒曝费玉清病情加重，其姐姐恒述法师进行了辟谣。小哥隐退后很少露面，真正的去休息了，媒体就不要去打扰了。费玉清一生未婚未育，他哥哥张菲离婚后未再娶，其姐姐则入了空门。
