1688909632# #张琳给我买的哈哈哈哈哈哈
1701225065# #疼鼠我了(˃⌑˂ഃ)本来智齿就发炎智齿旁边还溃疡了杀了我吧(˃⌑˂ഃ)
1692016783# #妈的去公司拍预热了哩你们喜欢什么鞋评论区告诉我，我去给你们挑
1703416015# #18张是微博的极限，不是我的极限顶
1699777208# #双十一圆满结束彩虹屁谢谢各位老板
1701772961# #凌博士的年货节专场你们想要什么评论区告诉我
1700525111# #我想发个作品再继续睡我千禧那组终于理好了我理了三天，用了ccd用了iPhone5s用了诺基亚，导出来几百张终于是弄好了（就是懒才弄了这么久，我是罪人，我懒得p，我啥也不想干）
1696655634# #真踏马服了，这班飞机起码30个小孩，每个都吵死了
1702515540# #泪公务舱满了升不了了泪呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜
1691756329# #忙不完根本忙不完汗
1690998860# #卧槽！这个我必须转发给大家都看看！惊呆了
1688210495# #新来的做饭阿姨
1700791809# #你们要的原图握手
1698942948# #止痛针打上了缓解了一点，准备抽血做ct了，医生说里面的支架和伤口在外面是碰不到的，有可能是胰腺炎或者胆囊炎了，所以要检查血和ct，一会再说嗷，你们乖别等我了先睡觉吧抱抱抱抱
1701830748# #刘燕在吗？你为啥贷款填我手机号？我服了
1700790707# #Omg的我爱凌博士一万年（希望它以后不要再被乱砍价了，不然辛苦做起来的品牌可能就要归西了）虽然这两个月都没货但是还是想说真好用允悲
1703950910# #年纪真的大了，感觉酒吧好吵啊
1695463382# #我化好妆噜（太原好堵bc等等偶）
1688037336# #参加婚礼之《粉丝是个大网红》
1693389012# #家人们许诺在兔子直播间画人鱼女妆！！！快去看他变美女哈哈哈哈哈哈！我去拍苗族了！！亲亲亲亲
1702195427# #妈的，控油洗发水用多了，过来看头皮头皮太干了，有几个区域都皮炎了，不能再jb无脑控油了裂开裂开裂开
1696735683# #许诺科目2考了100分太开心太开心终于过了现在我陪他去考科目4了太开心要是过了就能拿到本本了酷
1688521389# #困zzz
1687276747# #哦哦哦封号原因是辱骂平台了行行行好好好好好好
1699165493# #早饭中饭我都吃过啦喝的白粥只不过没报备继续睡了的，我现在去挂水啦！挂了几天头孢好一些啦！！抱抱抱抱抱抱
1697019323# #今晚直播化个妆去拍内个shutup那种黑白系列帅气视频好久没拍了酷
1688929047# #凑合凑合等你窝到了的看你能不能活过一个礼拜嗷
1692119459# #谢谢大家酷酷终于忙完噜回南通就收拾摆摊的东西噜酷酷
1690443073# #怎么这么大杯哈哈哈哈哈哈
1698052409# #嘿嘿，我爹给我送了块玉，说是帝王玉，我不信嘿嘿嘿，就是玩儿嘿嘿嘿doge
1691883785# #要死了要死了马上累死了一晚上拍了4套终于收工了今晚出发杭州了！！还得彩棠不是彩棠我一晚上完成不了这么高能的工作。。。带妆16小时。。。
1696937939# #谢谢柯老师的投喂太开心太开心太开心这螃蟹真的好尼玛大啊
1698350293# #睡不着单身狗神经衰弱了感觉头好疼整个颅内偏头痛单身狗还恶心想吐却又吐不出任何东西打了一针止痛没什么作用单身狗唉
1702517727# #比耶比耶比耶
1689495809# #我靠，原来昨天我彩棠的机制是日常顶部的，两个7.5ml，正常是1个7.5ml。可爱早知道再好好卖卖了
1702990264# #真的不懂，这里的机场为什么厕所要弄这么香，香到窒息，香到爆炸，香yue了
1695641733# #睡的真香啊睡睡睡
1689169452# #开心了小白吃就完了
1701679141# #妮维雅品牌方来家里了哈哈
1699166555# #实不相瞒，我一直在磕他俩，这狮子男还是我推给鸽子的。。长得很帅。。。哈哈哈哈哈哈哈哈哈哈哈哈
1692784164# #全家总动员噜
1695239884# #全都是彩棠搭配kiko的妝效大家都已經持妝12小時了左右，哈哈哈哈哈哈哈哈哈雖然沒貨了，但是我還是想記錄記錄二哈
1701094794# #谢谢大家我永远爱你们
1696297205# #谁能想到我看好事成双看到现在看完了31集，只能说别看。。女主人设像精分。。一会聪明一会糊涂的。。看的想弃剧奈何强迫症必须看完。。男主的那几句老套话台词也就那几句话一样的一直在说里面的配角人设也都不清醒。。反正。。不太好看。。拖拖拉拉磨磨唧唧的。。。
1699088292# #买了一只金丝熊嘻嘻等到了给你们看看这是卖家朋友圈的照片好可爱呀嘻嘻东西都买全乎了
1698217863# #啊啊啊啊啊啊啊真踏马遭罪啊刚喝完那个粥疼到现在急性胆囊炎真遭罪啊啊啊，啊啊啊啊啊啊啊啊扛不住了啊啊啊，啊啊啊啊啊
1698937002# #不行了我要休克了
1699247048# #泪泪泪泪泪泪泪好疼啊
1696835774# #伤心不想工作想烂在被窝里
1691788693# #答案揭晓！我吃的满小宝米线我又在吃了这东西挺神奇一段时间不吃会想！想它的酸和辣！
1692897299# #拿下人气榜第一开心来个6图大头情侣自拍哈哈哈
1702720751# #啊啊啊啊啊啊好开心一会去冲浪！！我还没冲过浪！！
1699455602# #嘿嘿嘿嘿奉上鼠鼠照
1698032981# #粉丝粘性高不高还是得看bc啊doge
1697666859# #小宝看我身体坏了半夜打顺风车来找我了
1695121491# #满足满赠条件的听我说！！！确认收货之后联系小店客服！！！！！给你们发货！！！现在不能领取宝贝
1698372800# #都不知道给你们分享什么日常了，每天就是抽血挂水，好想喝口水啊泪
1688996671# #头发拆了家银们
1693125654# #做完啦做了个简单的猫眼款挺百搭耐看
1701929105# #哈哈哈哈哈哈哈哈哈其实我今天穿的是这身啦
1698212974# #我真的很佩服费费，不仅是我直播间灯牌第一，微博来访也是第一哈哈哈哈哈哈
1695059081# #尊嘟猴紧脏二哈
1704015134# #看潜行并不简单有vip厅嘿嘿
1698383269# #6天没排便，刚刚护士给我桶开塞露结果我的痔疮又坏了单身狗擦pp有血，护士也不给我涂点油泪疼死我了
1690984419# #到酒店给你们播！还在奔波抱一抱
1689083758# #我尼玛服了黑桃跑了可爱
1698337044# #我要睡觉了，晚安月亮别太担心我了我一定能挺过去的haha
1687354676# #小孩吵着要接头发，接上了，我一般情况下真的不笑，除非忍不住。（哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1703463389# #顶圣诞照片发啦
1700144314# #链接🔗来啦
1702726232# #他妈的，我根本站不起来，玩不明白指甲还断了怒气死我了不好玩
1700825211# #我医美做过啥护肤项目啊？你大傻笔吧我打波波也有护肤功效吗？评论区我都说我天生皮肤好了，凌博士只给我改善了干燥起皮和细纹，我夸大你🐴，我从没打过水光针没做过嫩肤的项目顶多做的美白
1699241102# #今早吃了红烧鸡配稀饭，疼痛难忍，准备去医院了黑线真是日了
1696834895# #彩棠机制统一了不用去谈了去了也是白跑一趟摊手
1688658481# #咱和小姐妹说悄悄话呢怎么低俗了😅
1687934398# #打完咯太开心太开心太开心
1692879517# #卧槽我怎么睡到现在抓狂
1698318981# #唉
1690895315# #看看bc卫衣并不简单并不简单
1698937987# #肯定是我洗澡搓澡搓肚子了泪我想的是十几天没洗澡了就好好搓了搓，还搓了胳肢窝，肯定chen到了泪然后涂身体乳的时候肚子也chen到了，不然不会这么痛的，我这两天吃饭都很规律也没熬夜，都已经不怎么痛了我才去洗的澡而且我很轻轻的洗的泪我已经在去医院的路上了你们别急一会给你们报备我他妈缓
1701503423# #笑cry拉拉皮
1702192998# #洗脑阔
1697099570# #老铁真的爆笑了，原来厕所那块毯子，不知道怎么洗完变成这样了哈哈哈
1696756413# #扎针伤心
1694431518# #痘痘肌的宝宝们，去看一下第二排第三个作品！泪
1699183133# #我今天尝试了吃了点米饭和菜，没有很疼耶！！！！我一会8点给你们播拆快递！好不好！！！
1695980314# #中奖的把地址填一下
1702709935# #既然你们想看我滑滑梯，那我就满足你，大宝贝。
1693659707# #以后没事做我就爬起来练瑜伽练普拉提抓狂
1690263468# #出发济南gogo
1688414201# #链接在这咯我睡觉啦成人礼九点就要起床去拍写真噜成人礼
1702223493# #瞒天过海看完了，挺好看的，不能说很好看，但是反转反转再反转！全员演技在线！就是但是结局被我猜到了doge我真是聪明的脑袋瓜子
1695458236# #我请你来家里吃我做的饭，你偷我手机是吧。。。。不管是那天的谁。。。。我都很寒心。。。。。唉。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
1692937603# #记录妆面1
1702634941# #上岛了！！！！美死了！！！！
1700319440# #狠狠采耳狠狠按摩886
1698565091# #真的很喜欢在抖🦅买破烂儿微笑
1696845552# #挂水挂水跪了
1693748690# #他好像傻子啊
1701085807# #孩子在家嗷嗷哭啊笑cry笑cry
1689940782# #我叫它Bc应援妆
1698462387# #捏马，今天这个护士插的我好痛啊
1700739147# #我记得你呀，我卖之前你评论了我好几次，说帮我测评，鼓掌鼓掌必须有用
1691243838# #南通泪我回来了
1703925591# #？
1702527936# #要起飞啦哈哈
1702213497# #今天不给惊喜咯做完美甲一会看电影去噜哈哈
1695042652# #忙碌的顾师傅花了6个小时做了12个菜1个汤
1701711887# #光腿神器真的太难穿了。。许诺给我穿都把我拎起来了哈哈哈哈哈哈哈哈哈。。。（要链接的9号来茉寻中肤色）
1687764441# #多巴胺已经在拍了求饶
1699978251# #才发现这组照片没发笑cry笑cry一直想p但是太多张了又懒得p就一直没p放相册都放忘记了直接原图发了得了二哈二哈（头真大呀
1695780206# #凌博士是过敏包退，但是不是你说你过敏了就给你退，做人能不能有点底线？怒骂怒骂过敏了肯定给你退你想白嫖肯定不！可！以！
1688660926# #这不来了吗成人礼知道你们想看
1691686065# #看俺的玉足
1695693751# #思考怎么样家人们我有点这个想法你们帮我寻思寻思呢（别他妈我我我我来我来的我八字没一撇）
1689765955# #嘿嘿，狗子乖了更讨人喜欢可爱
1688180625# #行奥，一人一个咸鸭蛋回家了求饶
1697645775# #完了完了完了，查出来了，医生说先消炎，如果不行的话胆囊保不住了。。。伤心伤心伤心伤心
1692098736# #Jiojio酸酸jiojio涨涨白眼
1700705419# #重新洗了个澡好多了不咋痒了握手昨天拍的照片发了你懂的，。，我继续睡噜
1689157541# #神秘博士来家里了带着新品来了美白水乳28天没用全额退款有点吸引我dogedogedoge品牌方愿意给很多正装给大家试用全肤质可用（我的消费粉去超话我在超话抽20个人一人一套正装水乳）
1699423460# #立冬啦，我吃不了你们替我多吃点饺子🥟，我最爱芹菜猪肉的，你呢？
1697903429# #家人们，我疼的不行了，我去急诊了，你们买了东西的一定检查一下，有没有大哥顾茜茜推荐（如图1图2），如果没有一定退掉重新拍！！！不然不能参与满赠，张海洲在家里帮我开播呢，只要下播之前的订单都算，赶紧看看有没有订单不是图1图2的样子都退掉重新拍！！不然我真的拿不到佣金啊泪泪满1000块确
1702464620# #好吧好吧请金粉跟钻粉也喝一杯奶茶🧋叭
1697729790# #我太饿了，可以圈点吃饭的主播给我看看吗ksdy都行
1699355736# #好好好八点前挂不完根本挂不完
1697361222# #21号我的彩棠粉底液机制，209-5，4个7.5ml+5个卸妆膏小样+一个粉扑+一个试色装+一个发箍。勿带节奏，爱买谁的买谁的。谢谢
1701675940# #喜报！喜报！！！！！！！！！！！
1703420009# #B脑袋怎么这么大啊怒我要缩颅
1697675832# #完了完了，吃不了东西了，得挂营养液泪
1704039400# #新年快乐呀我爱你们昨天发布了抽奖的你们别漏啦～
1702041206# #今天得拆快递了好多好多好多快递
1688098378# #翻朋友圈翻到我的8年前没错以前我也是个风格多变的人
1697199115# #摊手
1702429528# #三个人整齐的穿上了芒果头哈哈哈哈哈哈啥都能搭，搭啥都好看
1688807908# #来看孩子了
1702969718# #哎哟我的妈紫外线10去了这是烧烤呢
1699025439# #挂完水去电影院看了个电影拯救嫌疑人挺好看的看完回家了明天继续去挂水抱抱抱抱晚安不熬夜了你们明天记得吃早餐
1690966973# #半夜我再发一条
1699198100# #笑死我了，红指甲吃了七口辣之后的精神状态
1702823347# #今天吃亚洲餐厅，不知道好不好吃(๑╹っ╹๑)
1701345795# #卧槽今天也太冷了
1703901921# #这人绝对夸大其词了
1703242448# #嘿嘿嘿我还没开始化妆
1690128798# #许诺发情了
1703820862# #嘿嘿嘿
1701390746# #逛了眼费费给我经营的v圈看上了这么多允悲全部拿下允悲
1702557403# #落地了！！！我这才5点半你们那几点了
1699871581# #我看超话大家身体乳都收到了诶doge就说他妈的肤感是不是一点都不粘！！！是不是吸收超快！！！手感超水！！！
1702623082# #我晕，超话截图好美啊！！！！！
1689685044# #好好好女团c位李晓波
1702426083# #偷了一堆情侣头像，留着跟许诺慢慢用，先分享给你们，虽然你们可能也用不上，我说的是可能嗷，你别破防嗷比耶
1695132219# #真尼玛亲姐妹啊
1702382602# #哦哦哦，太大了
1693041963# #坏笑
1692581289# #早啊我苏醒了亲亲
1698380367# #算了，走一步看一步吧，我昨天刚取完结石，身体里放了一个分流支架，3个月之内也不能手术，先把这三个月过了再说吧允悲烦死了烦死了烦死了
1699195622# #好消息快手有色色色好吃晕了
1699789692# #上礼拜南通还能穿短袖呢，今天晚上只有3度了捏马冻死我了
1701261990# #黑桃第一次去商场，好乖的嘞
1696687166# #家人们我是小孙茜茜还在睡觉我们这两天加起来才睡了不到八个小时让茜茜再睡会！今晚还播的你们等他她起床哦～
1694435614# #刚跳完拜托了前辈那个抖舞awsl
1701472976# #分享图片
1689624150# #他妈的笑死了
1696362777# #这两天总是感觉自己很孤独摊手
1697516332# #禁水禁食下午登记全麻胃镜握手
1691958167# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1702286268# #本来要去弄头发的明天再去吧今天晚上先回家收拾去马尔代夫的东西好了
1691492982# #祝大家立秋快乐，请大家喝秋天的第一杯奶茶～88.88祝大家发发发亲亲
1702976028# #晒晒背
1692269857# #今晚体验生活去噜还是荷兰街摆摊其他地方行不太通
1702969821# #宝宝你们还好吗昨天地震的那边ಠ╭╮ಠ
1697366693# #我发布了：所有香型都68一瓶！其他主播新出的味道都卖78！我直接通通68一瓶！买两瓶-5！买3瓶-10！拉上你的好闺蜜！一起香！快手艾特艾特你的闺蜜来看这个私处香水老铁
1694507613# #彩棠原相机录屏持妆12小时的视频剪好了！一会就发出去！大家踊跃在评论区放出自己的妆效！ks评论图片不需要会员！感谢大家！！泪
1690168913# #空腹不穿衣服上称（两天没拉屎）如果拉了屎应该是80斤，嗯嗯太开心
1696634513# #拍完美美照片准备赶飞机去了！！这也太特种兵了咱说
1697087535# #有时候不得不感叹互联网的水深，资本的可恶，我辛辛苦苦拍预热，辛辛苦苦做测评，我把它卖爆了，却让资本就那么拿去了，拿走还不忘了踩我一脚，就像我辛苦养大的孩子被别人抱走了，我还不能有怨言，因为我不够强大，我不能站出来指责他们，因为他们可以随时让我在互联网电商行业消失，我只能做的就是选
1687527666# #一觉睡醒直接要上班
1702987745# #加油！我与你们同在！
1692469187# #太好吃了妈的
1694165940# #已起，已背
1698629705# #啊？
1700523590# #早安各位打工人，白富美，高富帅，留学生，家里蹲，啃老族，名媛，富豪，美女，帅哥，弟弟，妹妹，姐姐，哥哥，叔叔，阿姨。记得吃早饭。
1695209143# #蛙趣，我看了眼超话，你们都他妈收到了哈哈哈哈哈哈这也太快了吧大哥顾茜茜超话
1698547654# #以后你们都得跟我一起吃早饭，早饭太重要了！别觉得你好多年不吃都没事！那是啥？那是不是不报是时候未到！每天来我微博打卡吃早饭，等我出院了我每天都吃早饭！不吃早饭的危害太大太大了单身狗吃也吃点健康的粗粮，面条，馒头之类的，早上别吃太油腻辛辣的就行！！都给我健康起来！！我不想你们以
1704197427# #那个雾化器我们已经联系到总部了，直接跟老板联系上了，许诺和李洋准备批发做私域，ks不让卖这个雾化器，dy可以但是要等一段时间，等许诺跟李洋信儿吧哈哈
1703826228# #老铁们困死了困死了
1702468666# #今晚我不播。你们去看这个叭哈哈
1692700931# #谢谢老公的七夕礼物心今天是七夕也是我们的16个月爱你爱你～
1698653264# #你是不是有病
1704111591# #诡计多端
1701031813# #真正的少萝皇在给我p照片
1698464870# #睡觉去了困了单身狗
1693363714# #发作品了！！！赢牛奶赢牛奶赢牛奶
1702428200# #Go出发上海明天中午起飞
1702733676# #咱就是说，就播了一回笑cry妈的
1698222524# #扎了两针屁股针的止痛，好多了，还抽了血，还做了ct，泪这屁股针真好使啊，两针才10块钱，打完感觉自己浑身麻了，晕晕的
1701776811# #走了带这么多纸我们9个人去看哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1695960112# #中秋节快乐太开心太开心太开心
1695296917# #我好肿明天早上我就可以拿到15pm了awsl
1703798256# #好紧张允悲第一次播家纺允悲好怕跟去年睡衣专场一样播的稀巴烂允悲焦虑的睡不着妈的早上七点半就要起来了不说了！加油加油加油加油加油加油加油
1693136277# #好好好今天要在理发店开播了女人真麻烦一坐就是一天泪
1699590981# #什么人啊泪每天就睡几个小时起来给我做早饭然后再去睡觉中午再给我做午饭泪泪泪晚上再把饭给我送到医院来泪泪泪
1690421042# #特种兵之染头发啊啊啊，啊啊啊啊啊金发啊啊啊我最爱的金发啊啊啊，啊啊
1694639138# #家人们，我今天不卸妆了！我带着妆睡了，下午三点起床稍微补补，已经持妆7小时了，主要怕我睡觉乱蹭，其他我倒不怕嘞，下午我要出去拍个人独白泪睡醒了起来给你们看看妆哈哈哈因为我想多睡一会所以不卸了！
1694082840# #
1694077257# #大家吃七口辣能不能不要馋我了我都想去上海买一份了泪泪泪泪
1701696626# #我傻逼了我拿这玩意当定妆粉了给自己弄成水蜜桃了允悲服了
1694808124# #嘻嘻
1697548996# #昨天康欣发了一条关于我的抖🦅，评论区有人说，我跟那么多人掰了为什么不考虑自身的原因，我其实挺想说一句，我和大家是朋友的时候，所有人都说过类似一句话：顾茜茜这个人特别好，特真诚，对朋友好。掰了也许是我的原因，但是人生不就是这样？处对象也好，处朋友也好，我不喜欢为了人一味的去改变
1694841074# #涂了彩棠+kiko准备睡觉了再拍一个睡觉测粉底液上次的怪我没记录有人不信嘻嘻没事再拍一个就是了
1699081295# #挂水去了失望唉
1699953491# #昨晚上被水蒸气烫的允悲水蒸气的温度太高了芦荟胶都救不回来第二天直接这么大个泡悲伤
1700929887# #看完了，能看到父母为了孩子的疯狂，也能看到孩子缺爱导致的变态。。。挺好看的全剧我都这个表情黄渤演的贼好真的跟变态一样一样的允悲允悲
1697141665# #测品第一天，这俩没用我真的会骂握手真浪费我时间我洗完澡可以躺下抽烟了但是我要在这儿涂它俩
1698850993# #睡觉了晚安💤
1693735307# #房东阿姨来给我们做饭吃了太开心有我最爱的罗氏大头虾！！
1693895574# #唉，我只能说我9.19号彩棠的机制，好到爆炸了泪但是我现在不能发，发了其他头部主播会找事泪因为我比他们的都好，并且好很多泪
1688460526# #微笑最后协商结果图2，图1那女的不理我了让她爸爸给我发了一段语音我都无语死了
1700606963# #煞笔兔子，一到早上6点半，就在笼子里乱转，霹雳乓啷一顿响，今年过年吃红油兔头，双椒兔肉，香辣兔腿微笑
1699119401# #拉了，意满离，晚安吧家人们，明天记得吃早饭亲亲
1694517110# #百忙中抽空吃个席
1697371728# #到上海第一件事
1696815282# #家银们，不要担心我了！我刚睡醒我退烧了！没有反复发热！就扁桃体还有点发炎！没昨天难受了！抱抱抱抱
1703944755# #单人版本微博看好了二哈
1701053996# #走进了暴龙眼镜，花了5000+，杨幂王鹤棣王俊凯代言的就是不一样笑cry
1696152611# #恭喜
1699352590# #哦对了有个略好的消息忘跟你们说了doge今天问诊的肿瘤医院专家和南通医院的医生都说我可以喝无糖可乐哈哈哈哈哈哈哈哈哈哈哈哈适量喝就行哈哈哈哈哈哈哈哈
1697954363# #我买了！等我身体好了试试感觉对我这种暴饮暴食的人好使！我还拍了两单呢嘻嘻
1692948115# #额我和猪蹄的色差挤眼
1697445142# #我去，做了个提升脸部的，脸紧了好多，一会敷麻药去填泪沟doge
1700131808# #好多人问我要妆教，我都不好意思说那是我翻车后一步一步爆改回来的doge还加了一个特效叫纯野妆（小抖的）
1690158745# #抓狂到家！
1698724363# #微笑甲子真是闭口不提，我和费费也是傻了吧唧没发现，咱说这备注有啥用啊微笑
1699961056# #许诺的心情就像天气阴晴不定的
1691235376# #终于回家了苦涩
1695465608# #完了来了他妈200人给老子吓死
1699866208# #柯蕾子酷酷馋我啊跪了马尔代夫真的好美啊
1698795629# #抱一抱起落平安
1687389340# #头型整完了看见许诺我忍不住想笑怎么办（昨晚到现在没睡弄头发弄到6.20现在在给爷爷买早饭带去医院）两天只睡5小时比卖货还乏啊伤心伤心
1689589052# #下辈子不纹身了穿白裙子来见你
1696741212# #我头疼，神经性偏头疼，智齿也疼，导致扁桃体也疼，不如死了伤心
1702908868# #卧槽！！今晚日落有龙卷风！！！！！宝宝你快看啊！！！
1701224849# #检查完毕了朋友们，骨头没事就是肌肉拉伤了修养两天就好了
1698661851# #没毛病吧
1703331229# #黑桃好帅
