1692582723# #孙金龙吹过的牛逼，实现了！合肥千万人口合肥规划
1695198941# #合肥骆岗中央公园，我们的合肥航空科普馆也即将开业运营啦！合肥航空科普馆
1702602248# #骆岗中央公园，合肥机场旧物展！合肥骆岗中央公园
1697874968# #今天骆岗中央公园人并不多，但是老乡鸡人不少！骆岗中央公园老乡鸡合肥美食
1691911793# #小区附近有个老的商业，我记得在这里换过电池，其他好像就没买过东西，今天来绞裤边，那就顺便喝一杯吧！合肥商业社区商业
1688103974# #民族的希望！
1703430767# #这个适合围炉煮茶了吧！围炉煮茶老城记忆炫个冬日围炉煮茶合肥老城
1692792294# #能怀孕的水！
1703315818# #过去叫做“做好事不留名”，现在叫“我作秀，你要知道”哈哈
1691648771# #合肥中央公园正在加紧施工中，9月28日园博园即将开园！合肥合肥身边事中央公园
1695018980# #网络有传：合肥东部新中心的“市儿童医院”，未来有可能调整为“合肥第四人民医院”新区，这么说就是新的“精神病医院”了，不知道周边的伟星一号的业主压力大不大了？周边合肥东部新中心儿童医院精神病
1699055227# #桂林航空停航？“市政府已成立专班”。11月2日起，桂林航空停止售票的消息引发媒体关注。11月1日，上游新闻以“桂林航空明日起停航？客服回应：目前航班一切正常”为题进行了报道。。11月3日下午，上游新闻记者登录桂林航空小程序搜索查看30天内机票价格发现，由桂林前往济南、天津等地的多条航
1689333448# #我们当年的“安徽人游省城”，已经被发展为“安徽人游安徽”！2023淮北市专场推介会（合肥站）！安徽旅游淮北旅游
1702017085# #多年后再游新安江山水画廊！黄山市新安江山水画廊风景区
1703907308# #各地可以重燃烟花爆竹促消费抓经济雾霾跑步
1702456886# #合肥又添2家4A级景区！包公故里和安徽省美术馆！
1697309783# #
1699068685# #吸尾气，也算是锻炼！合肥公路跑
1703139291# #完了，明年又没指望了
1692250361# #合肥美食上央视！合肥美食美食分享
1695516472# #合肥航空科普馆，实体票已经出炉了！2023.9.26合肥骆岗中央公园，合肥航空科普馆开馆合肥航空科普馆
1694235335# #录取通知书都能错的学校，不上也罢！
1701528432# #合肥老城迴龙桥地段！合肥老城
1693032725# #争夺总部经济上，合肥已经落后了！合肥出台总部经济10条
1688744292# #假牙学区，要套现离场？合肥学区房合肥楼市接盘侠
1695740354# #又是“两个胖子在一起，就是合肥”的感觉，另外还有点“中国教科书插图”的感觉！设计师良苦用心呀！
1701064150# #杨德龙听了，也在偷乐嘻嘻
1689854825# #确实，各种化学制品的食物；现在高血压，高血脂，糖尿病，越来越多，越来越年轻化，根本还是吃的问题！
1694786498# #合肥放开限购！合肥全面取消限购
1693032999# #安徽唯一不收门票的AAAAA级景区—三河古镇安徽旅行古镇
1688393172# #合肥中考分数段出来了，几家欢喜几家愁呀！7月4号合肥中考分数出炉
1691740925# #两岸旅游大会也开了，两岸旅游人也努力了，可是第三批开放出境的团队游中依然没有“宝岛台湾”，虽然大陆也同意“宝岛台湾”旅游团入境大陆，但是大陆老百姓想去台湾还是不现实的，所以大家还要积极努力呀，特别是宝岛那边要拿出诚意呀！恢复旅行社出境团队旅游业务文旅部公布恢复出境团队游第3批名
1688703220# #不歧视黑人，但是确实可笑，最可笑的还是中国最牛的大学做背景，难怪现在都骂中国高校教育出问题了！
1702987106# #金隅南七里的商业看来很快就要开业啦金隅南七里商业合肥开业
1694340888# #合肥，望云房地产政策合肥楼市
1692250483# #合肥网红“罍街”再上央视！合肥美食合肥罍街
1696309667# #起飞吧骆岗！一起飞
1692246153# #那是相比较被封闭的2022年的数据嘻嘻
1700354173# #合肥马拉松来跑合肥马拉松
1688731176# #是时候碰一碰了，看看究竟是嘴巴厉害，还是实力使然！
1698278475# #庐阳春色合肥
1695916864# #今晚的合肥！（22.30分的合肥南二环）合肥
1697855516# #刚刚，路上遇到一老人家，发现她找不到去亲戚家的路了。我帮她手机导航，顺便带她到公交站牌，告知乘坐什么公交才离开！我走的时候，老人家说：小伙子，谢谢你！一句“小伙子”，让我泪目了允悲合肥问路
1699936671# #这是啥情况？问界
1701321487# #我们只能自己养自己了笑cry
1702111293# #黄山云亽·曙光里民宿黄山民宿民宿民宿黄山旅游
1693031906# #信心没有，老百姓就不买房，不当韭菜！现在搞这些都没有，关键是买房的信心！一是未来生活越来越好，二是买房能挣钱！这两个，好歹有一个，老百姓才会积极买房，不然就不要指望房地产了，毕竟已经指望20年了，该换模式了！未来生活房地产买房预期
1698278413# #滨湖夜景合肥合肥滨湖
1700718074# #一声科大人，一生科大人！“千人一院士”的中国科学技术大学，今年又有8为校友成为两院院士！中国科学技术大学千人一院士
1692595593# #他们是拿着中国退休金，去美国享受去了！中国年轻人还要养着他们，关键是辛苦的年轻人，工资还没有他们退休金高
1692832238# #好久没发视频了，今天谈谈骆岗中央公园！合肥骆岗中央公园中央公园合肥地产
1703499837# #江外无事，宁静于此---南京江宁（合肥）文旅推介会！南京文旅南京江宁
1698048127# #这次汪峰终于上头条了！章子怡汪峰离婚
1701613838# #伟星滨江道打折甩卖，周边望云压力大不大呀？二手房估计又要降价了！合肥滨湖伟星滨江道合肥·伟星滨江道地点合肥楼市合肥买房
1689287511# #自以为人口超越南京，就沾沾自喜。在文化艺术，和城市规划和历史底蕴的保留上，自己对周边城市的吸附能力上，南京还是合肥的老大哥！
1689913540# #如今，他们再也不干了！
1692356915# #房车出游，新时尚！两个退休家庭，跑了甘肃，新疆现在回江苏了！房车房车旅行退休生活
1702085712# #“百城集结相约黄山”冬游大赏采风踩线活动！黄山黄山旅游
1702439858# #还是要有房产，好歹出租费用比这个高，当然我说的是二线以上城市！
1689690984# #无知？
1699061431# #据说能让合肥新地商业起死回生的签约！合肥商业
1699785844# #罚款开始多了罚款合肥经济交通
1696688444# #有了免费的园博园，20年前收费的“徽园”，变成了“无边界”公园！公园合肥
1691930156# #8月3日摩根士丹利看空中国A股，我们还义愤填膺；8月11日，大A就把我们割得体无完肤，现在是“境外势力”在害我们，还是中国的那些“主力部队”在收割我们？早知道———哎！起底境外势力大a中国股市
1693626992# #看来我又要买华为手机了！华为手机用华为手机给美国商务部长拍照
1687941010# #2023第一波炒作开始了！合肥楼市合肥房产
1689812706# #合肥南站，前面对称的两个楼，不会烂尾了吧？合肥南站
1688084470# #我建议：高考还是该发名次发名次，该发考分发考分，该发谁是名校就发谁是名校。搞了一纸禁令之后，现在各种谣言四起：各学校一会儿是"摘桃子"，一会儿是"飞天鹅"。究竟状元在谁家，究竟谁高分考的多？都不敢说，或者说都变相的说，这里就有真消息和假消息，那中国的名校为什么要有名校？因为名校是一种
1687958538# #加班，都是为了业绩，口罩之后，都缺💰！业绩合肥
1692080579# #期待合肥早日承办全国性赛事！合肥赛事
1697781953# #中国股市，成就梦想！中国股市
1691798774# #在高高的山岗上汪晕！回归主城合肥楼市
1688183708# #今天搞这个活动，有意思！
1695302589# #合肥骆岗中央公园合肥约拍合肥合肥航空科普馆
1701988577# #清仓基金，从此不再进！清仓清仓中国股市
1698375872# #未来的中国，就是优质资源越来越集中！合肥教育
1698564331# #金斗城不在，金斗街还是有的：拥堵宿州路依旧捍卫庐阳不败的商业中心地位；庐州烤鸭排队还是必须的，心态要好；红星路80号，有人缅怀，有人也可以挣钱！
1689437141# #天下兴亡，还是老百姓苦！
1696287978# #合肥房产中介水平有待提高！合肥房产合肥楼市房地产房产中介
1703686562# #买房子是大事要慎重买房子合肥合肥买房
1700037076# #厦门文旅合肥推介会圆满成功！合肥厦门
1702110548# #今天二上黄山（云谷索道），打卡小平同志黄山谈话地！云谷索道黄山旅游诗画
1700380574# #这是在打造网红吗？网红老城
1700024248# #公园万象，上东区，龙湖都变学区房啦！学区房
1688144425# #教育、学区、学区房！名校学区房合肥
1693029143# #靠产业，靠城市吸引力，吸引年轻人，特别是高素质年轻人来合肥，才是合肥城市快速发展的前提！年轻人选工作城市看重什么合肥
1699418321# #立冬，应该吃面？立冬
1689254292# #买房不挣钱的时代真的到来了！买房大时代合肥长沙买房
1690438342# #不是一个鞠躬道歉就结束了！
1703429280# #苹果啥意思，她们都不懂！
1692108786# #从这个图来看，东部新中心的包河板块，在地铁上还是欠缺的！合肥地铁
1694181764# #救不起来，就再出政策！经济政策经济房地产政策重磅救市
1702176657# #船游太平湖！太平湖黄山旅游冬游黄山
1692181490# #【如何体面的消费降级】。。KFC是懂送礼的，。KFC是懂消费的，。KFC是懂降级仪式感的……创意广告
1699879953# #只有坚持，才能健康！
1699091824# #大老板重视了，看看庐阳区城市更新是否能加快，三孝口城市广场是否能开建？城市更新合肥庐阳
1688048981# #只有李鸿章享堂是不错的，只可惜很多老物件在上世纪80-90年代的时候丢掉了，最可惜的就是院内的那棵百年广玉兰人为搞死了！
1698619152# #红星路合肥
1702206122# #合肥现在可以呀哈哈东京大学社会经济论坛公布“亚洲最具幸福感城市50强”，合肥位列33名！
1695302908# #合肥航空科普馆设备调试中航空合肥航空快讯合肥航空科普馆
1692449570# #海滨城市最后的疯狂！日照旅行海滨城市
1702629670# #八里河奇幻夜！奇幻八里八里河
1696717847# #房价不涨，只能是涨物价了！房价物价通胀
1690007651# #执法者犯法最可怕！
1700992509# #合肥无人驾驶，已经上路啦无人驾驶出租车将现身合肥无人驾驶
1690384579# #重要会议也要救市合肥救市政策政策解读
1700973433# #包河秋色合肥包河包公园
1698390590# #老家人还是记得的！合肥红星路
1704026102# #生活更美好定制生活美好家民宿庐江新年生活
1690063505# #不管是否其人，但有些话是对的：2020开始疫情，疫情死亡数据很吓人，但没有天天害人的事情；2021虽时有反复，但好歹经济还能有所好转，那年我们还做李了投资项目；最可气的就是2022年，傻子ZC，再傻子一般的层层执行，天天捅嗓子，把几亿人都捅傻了，为了捅嗓子，为了隔离，死了那么多人，天理何在呀？
1691646904# #这广告不错创意广告合肥合肥地铁
1697358934# #合肥的城市化，其实就是从我们这一代人农村人进城开始的！现在的“城里人”还是忘不了故土，所以节假日到农村，其实就是回家，就是为了乡愁！思故土忆乡愁合肥农村
1690062820# #合肥推出夜色打卡线路，不管好不好，总是为了带动消费，繁荣经济，更是为了解决就业！合肥夜晚经济
1699091462# #这个字体还能再丑一点吗？字体合肥
1692245567# #这个要围观，毕竟我们还是相信大医院！我们还要为他们的回扣做贡献！
1700236298# #买新房，当心被割韭菜新房合肥买房二手房
1702128812# #年年有余！冬游黄山验客来袭,冬游黄山速度走起
1690610488# #用好政策工具箱经济政策房地产政策
1696936081# #合肥园博园，热闹依旧！合肥园博园合肥园博园太漂亮了
1698068326# #放开限价，福兮祸兮！限价令楼市关注合肥超话
1693615001# #安徽老乡压力有点大！
1693050173# #庐江民宿！安徽旅行
1692380316# #耗时7个钟，抵达日照！二十年后再见！日照旅行
1698460791# #皖美新航季惠游新体验—2023合肥新桥机场冬航季航班航线产品推介！合肥新桥机场合肥骆岗机场合肥骆岗音乐节
1699425881# #中国大学生方程式系列赛事拉开帷幕！2023中国大学生方程式系列赛事骆岗中央公园
1701869874# #老外也来凑热闹老外凑热闹合肥
1687061387# #从两面性来看，这不一定是坏事！
1693975513# #庐阳人气确实不好，曾经在望江路和潜山路交口算网红的“兰州陈记牛肉面”，今天12点，才这个人气！牛肉面合肥美食兰州陈记牛肉面
1698141877# #若干年后，再来这里，才理解“鹞落坪”的来历！岳西旅游安徽民宿安徽旅游安徽旅游微博
1695940840# #中国恒大许家印中国恒大和许家印成被执行人恒大
1697196485# #房子不好买了，车子不好买了，吃喝还是需要的！合肥消费餐饮
1693460749# #2023年8月31日下午2：00，合肥骆岗中央公园「相约骆岗·岂止于游」主题宣传片发布！合肥骆岗中央公园
1688120109# #我们要走环球时报主编、网络大V胡锡进的炒股之路呲牙。第一个月：胡锡进。第二个月：胡锡井。第三个月：胡锡二。第四个月：胡锡一。第五个月：胡锡。第六个月：胡易。第七个月：胡日。第八个月：胡口。第九个月：古口。第十个月：十口。第十一月：一口。第十二月：口。第十三月：销户
1689811169# #上班时间，合肥地铁5号线人还不算多！合肥地铁
1697209822# #不买房是观念进步买房合肥不买房不做房奴
1689548425# #还沉浸在过去的无聊岁月中？
1697177254# #合肥的研学基地，越来越多啦！想当年，我可是最早做合肥工业游的人馋嘴合肥
1696293559# #一夜秋雨，园博园今天人迹罕至，今天其实适合来溜娃！秋雨园博园合肥
1698973604# #11月1日，文化和旅游部公示第三批国家级旅游休闲街区名单，其中，安徽淮北市相山区的隋唐运河古镇旅游休闲街区、安庆市迎江区的安庆古城·倒扒狮历史文化街区入选。。。文化和旅游部关于国家级旅游休闲街区名单的公示。。根据《旅游休闲街区等级划分》行业标准，按照《文化和旅游部办公厅关于开展新一批国家
1691363263# #难怪说现在“读书无用论”又有抬头！一个大学（学院）的录取通知书都能有错字？这个样的大学（学院），就问你交学费的时候，有没有担心，有没有忐忑？安徽一高校录取通知书出现错字合肥巢湖学院
1698416882# #中国将推动新一轮“房改”中国将推动新一轮房改
1700969318# #不管咋样，降低物业费，也是降低老百姓的生活成本，不错！老百姓生活杂谈合肥楼市物业费
1687392872# #历史不应该被忘记！
1701058340# #一味地搞高新房价格，也不是办法；没有预期，中产不买就很头疼！
1698020116# #合肥夜游项目，还有待开发。特别是缺一场有地方特色的“秀”！关注合肥超话夜游晚间经济
1692521814# #全国示范服务区，就是不一样，人满为患！海滨城市高速路况
1687065962# #社会文明程度如何？就是要看这个社会的强权如何对待弱势群体，不能总要问别人幸不幸福的问题？
1702205564# #合肥现在众多房产（或非房产）自媒体，忽悠老百姓还去接远郊的新盘，不是蠢，是坏，是拿了💰的坏。过去买错了，还能套现，现在买错了，甩都甩不掉！合肥买房远郊大盘合肥买房帮
1703401776# #合肥老城记忆！老城记忆合肥
1698844544# #科大边上，果然还是要属于科大！蜀山为了科大硅谷，确实奉献不少！硅谷中国科大
1698994099# #2023浙江（安徽）旅游交易会浙江旅游
1703260658# #吃过冬至面一天长一线冬至习俗寒冬
1700401361# #跑马拉松的人，也就我身材差点老城马拉松合肥合肥马拉松合马
1699137859# #2020年2月
1701351415# #这是啥情况？自媒体公众号不好干呀！
1697274634# #骆岗中央公园热气球又起来啦！骆岗中央公园合肥骆岗中央公园
1700892779# #合肥顶级初中的学区房，你会不会买？200万左右，80平方，我感觉实惠！合肥学区房
1697246968# #虽说西医治疗来得快，但是中医的地位依然不可撼动，更有很多西医看病效果不好的，老百姓还是喜欢中医！合肥这个社区中医院，周末上午人真多，反正就是排队，相比较西医的社区医院，人应该少多了！中医西医中西医
1696517251# #中央公园好地方中央公园bu言bu语骆岗中央公园居住环境
1696688275# #郯庐断裂带，又一次地震！郯庐地震带六安地震
1699017689# #及时的官方消息，很重要！稻香村小学
1691678973# #现在不嘲笑合肥庐阳的大V都不是知名合肥大V嘻嘻
1692792886# #你们不去查生产者，却来祸害底层普通老百姓，干嘛呢？
1691209981# #老百姓，买房子不容易呀！合肥
1703391035# #基金一直亏损，给他们玩，还不如我自己玩，最起码亏起来自己知道心疼！
1695654949# #合肥航空科普馆9月26日开始试运营！合肥航空科普馆骆岗中央公园合肥骆岗机场合肥骆岗中央公园航空
1690675252# #难得的周末，想跑步咋那么难呀！昨天上午拉升好出门要跑步，下雨；昨天下午拉升出门，下雨；昨天晚上饭局回来太晚了，我说今早跑吧；可是现在还是☔️哈哈嘻嘻笑cry鼓掌跑步
1699064552# #是太好喝了，还是在招聘新员工？蜜雪冰城
1688647703# #肉的烟火蜀山人气美食
1702032253# #沉醉诗画里，悠游新安江……新安江诗画黄山市新安江山水画廊风景区
1701406436# #人家好看的不比，准备田忌赛马吗嘻嘻
1698291593# #每年最好玩的就是老大哥（济南）和小老弟（合肥）的数据游戏，很有意思。时不时总是要想到先后出牌的顺序问题！数据有意思济南合肥
1699056074# #说明哪里有风口，哪里就有收割，直播就是“奶头乐”，收割的乌泱乌泱的！
1700201041# #可怕的历史悲剧！
1694089254# #市场又活跃了？资本市场楼市房地产
1697261367# #黄金周后，合肥园博园人气依旧！合肥园博园
1687402037# #科学无国界，中国无秘密！
1690718221# #有了美术馆，合肥越来越有艺术氛围了，期待合肥能有一场持续的晚间演出！美术馆合肥文化
1703160023# #古井贡酒果然🐮古井贡酒
1702197973# #多年后，再游西递，意犹未尽！意犹未尽黄山旅游黄山旅游超话冬游黄山
1693827283# #年轻人提到威士忌想到的是什么？是朦胧的灯光，水晶酒杯，圆球冰块，琥珀色的酒液在杯底薄薄一层，坐在舒适的沙发上，享受一段只属于自己的时光。。提到白酒想到的是什么，是应酬，是人情往来，是油腻中年领导的粗俗嘴脸，是霍金也得站起来敬酒，是被剥夺了属于自己的时光。茅台咖啡
1704032221# #跨年民宿庐江合肥20242024房价涨
1702118701# #“百城集结相约黄山”冬游大赏采风踩线活动！冬游黄山黄山冬游
1689680437# #我一直说：教师轮岗就是个忽悠，按照合肥教育局的说法，合肥很多年前就已经教师轮岗了！
1689374227# #为啥自媒体都不看好庐阳呢？应该确实是工作进度问题，一个解放电影院前前后后搞了很多年；蒙城路和寿春路改造同样是雷声大，雨点小；“老城更新”只是一个提法，就是没动静；省委、省政府大楼闲置多年；工商银行大楼估计也要成废墟了；哎，说不好的庐阳呀！
1689681271# #只敢欺负文明国家警察嘻嘻嘻嘻嘻嘻嘻嘻
1692014074# #这应该都算苏式建筑吧？建筑摄影
1698193236# #上海放开限购多个特大城市放开楼市限购
1687043710# #执法者犯法，是这个社会最可怕的东西！
1701124623# #所以我和很多成绩一般的孩子家长说，现在上师范是不对的，因为老师已经超额了，虽然现在人口净流入的大城市还是缺乏老师，但是现在学校也都是招聘代课老师，除非你现在是几个部属的知名师范大学毕业生，还至少是硕士允悲
1704062426# #2024年第一条微博新年快乐！
1696464871# #良好的居住环境，需要大家一起努力！居住环境
1688863580# #图一：日本建筑中的“鸟居”，后面大家自己品位！
1703717775# #梦回三国看红楼！
1693030271# #生于瑶海合肥
1690105653# #21城的城中村改造，其实也是楼市救市！合肥救市政策
1697292263# #一部电视剧，见证中国经济发展史！经济老酒馆大连
1689914350# #幸好当年邓公没学俄，坚持走自己中国特色道路！
1700293402# #五河农村，机械化已经实现了，但是农村环境和还有待改善，特别是厕所！农村人居环境整治五河
1692381912# #说得确实不夸张！“20年发展最快的城市”——还是人家孙金龙老爷子的功劳！摆烂的合肥，如何还能快速发展？不能总是在过去的功劳簿上吆喝！
1691678885# #救市政策频出合肥楼市救市政策
1704037376# #想腐败我核武装部队核心部门，难！
1700258365# #说明太贪玩了，忘记挣钱啦
1702111550# #黄山云亽·曙光里民宿黄山民宿黄山民宿黄山旅游黄山旅行
1699091352# #黄山门票归属合肥，这是哪里来的笑话？允悲合肥超话黄山每周三免门票
1704037231# #不是其他，其实合肥挺不好意思的鼓掌嘻嘻哈哈合肥武汉南京
1688449807# #太可怕了房产
1688144531# #国人人性
1694309898# #南京全面放开限购，合肥跟不跟？南京楼市取消限购今起南京全面取消限购政策重磅救市房地产政策
1690814262# #吃老干妈，还是放心的
1690882949# #这是合肥哪里？合肥合肥身边事
1688646220# #合肥“黄潜望”区域虽然修路，但是晚上人气很好，还是因为周边的大量公寓楼，办公楼，还有众多的高层住宅，随着人流量大，餐饮业也做得很好！周边合肥人气美食蜀山
1697203182# #商业
1691496872# #合肥工厂电影院！合肥电影院
1688868504# #还没填满就要“老城更新”了，未来必须持续有人口净流入，若是流入力度不足，那犄角旮旯的新区都要唱“我站在高高的山岗上”！
1699150867# #一夜入秋合肥秋天
1687497102# #假日合肥，地铁中转站和地铁上都没多少人啊！难道都回老家过节了？合肥合肥地铁假日客流
1693030992# #河南安阳航空科普馆安阳航空
1691074941# #别听房产“大V”忽悠房产房产头条合肥今日头条合肥
1699966177# #别再折腾了，老百姓真没钱了，地方也没钱折腾了吧！一个地方不折腾必然高能经济
1691738840# #既然回归主城！那这个图是不是要改一改了？回归主城
1700969974# #百味之王，妙不可“盐”—让我们看看合肥盐业公司的历史旧物吧！历史盐业合肥
1692664309# #中国“砖家”是拿砖头砸普通老百姓，日本“砖家”更坏，他们砸自己！
1693024904# #这些都是他们干的！不谈教育，不谈生活，就知道要人命的结扎，那个时候老百姓想生生不了！现在是没事催生，催婚，催情人节不带套，现在年轻人想明白了，我不生了，你还能咋样？
1703137049# #刚改不容易合肥合肥楼市肥西楼市
1699024413# #in66来了就能飞黄腾达？合肥商业银泰in66
1697244379# #合肥地铁两年不涨价的承诺，是对普通社会大众的利好！货币大放水的时代，工资不涨，若是交通等基本生活成本上涨，那乘坐公共交通的大众就增大了生活成本！合肥地铁
1700203434# #经济不活跃，马路边找临时工作的人就很多，这些农民工基本是干这个城市中最苦、最累、最脏的活，他们的后面就是一个个家庭，上有老下有小，都是要用钱的，所以只能出卖苦力！工作最累的部分我穿过一个个城市合肥农民工
1703429386# #罚酒三杯的中国股市，证监会可以跳楼了！！
