1701160405# #梭哈a股试试
1702307323# #店里的圣诞猫窝小鸡收到了，非常喜欢。。我婆婆说进去就不出来了，晚上睡觉都在里面睡，嘿嘿
1698929726# #和大家说下，因为我这边经常有抽奖（除了前段时间生病没咋抽）。所以为了省事我都是好多个抽奖集中一起开。然后再集中一天邮寄奖品。。。。但有时候难免遗漏一两个的（比如发奖时有的朋友没填地址，后面我事情多也忙忘了。。加上微博这个页面点进去是这样的。。。极其不方便。根本看不到哪些发了哪些没发，
1697291460# #好厉害啊
1702455841# #构图绝了
1696953198# #我是高中才第一次吃到肯德基，家里经济最好的大舅请我们吃，我点了一个芝士汉堡，因为看动画片猫和老鼠感觉那个芝士肯定贼香，结果吃了一口就怀疑人生，怎么和动画片里的不一样，一股馊味，从此对芝士有了心理阴影……笑cry笑cry
1702912364# #今天送这个，出口日本的玻璃工艺品～圣诞系列！。。由专业的玻璃艺术师傅手工制作，可以放在显示器上，桌面，车里，每一个都好可爱！。。🎄卷发，评论各揪一个粉丝，每人送一套五个🔮。🦌老规矩要帮我写一下评价开学季感恩！🔮。。圣诞礼物
1700662877# #每日清仓今天清这个哈，仓库翻出来的一箱数据线。。这种都是大厂做的，然后贴牌，数据线本身质量都挺好，绝对扯不烂。它当初的卖点是二合一双头，苹果安卓都能冲，记得以前是29.9一根。。我也不知道咋剩了这么一箱，就全部亏本九块九包邮出了。大家买着玩！
1701084528# #我现在是玩的菜的时候特别开心，比如昨天一把莱恩丑陋的我自己都看不下去了，队友被气的哇哇乱叫，我在电脑前哈哈笑，但是如果这一把我五号位很强，数据最好，然后还输了，一看我输出比大哥还猛就会气的睡不着觉……在气人和被气之间选择了前者……
1697121660# #我们的祈祷小水獭终于做好了！。。真的好可爱呀，卡片我精心选了三种，有扇子的，长方形的，还有小的异形卡，每套都有三十多张，绝对够大家用了！。。🦦卷发、评论里各揪一个粉丝送哦🦦。小水獭有多可爱
1697903419# #看了下评论好厉害
1697613371# #看不下去，哎这都啥事
1704120619# #真的也是搞不懂了，我发现我微博，大家最爱看的环节就是孩子他爸骂我打游戏菜。。发啥都不如这个阅读量高。。。我就想起来，我和他咋认识的呢……。。先是我认识的一个大腿，带我打dota2，结果带不动我，又不好意思直说，就说要叫个帮手来。。。这个帮手就是孩子他爸。他和别的男生很不一样，我们一起玩，他打
1697376436# #整理完就开始清！苦涩苦涩苦涩
1698749208# #今天带着十一回上海啦！有点舍不得小鸡！感觉小鸡真的很乖，年纪大了也很粘我们。。但是孩子他爸说，小鸡在老家过得还好一些！我婆婆真的养的很过细，甚至还给猫买了鱼油允悲。说不定小鸡还不愿意走捏！。。这次回来还有个感想，感觉现在二三线城市都很有活力啊！年轻人很多，也很热闹。可能大家真的不愿
1703774779# #今天晚饭吃的是包子，非常美味。。因为正好看《三大队》电视剧里在吃包子，特别香，我就也点了两份麻辣小笼包，蘸上醋和辣椒油，太美味了！。推荐大家都试试用吃饺子的方法吃包子，很好吃！。。草莓是家的，一百多，也很好吃，很有草莓味儿！
1703945382# #十一又有大进步！。。问他十一在哪呀？。他会马上双手捂住胸口意思是在这里！真好玩
1702629126# #好看！可爱！还有我们的圣诞树小熊蜡烛礼盒！太会选礼物了抱一抱抱一抱抱一抱
1702563170# #今天的圣诞礼物是这个，出口国外的收藏级别水晶球音乐盒～。每一个都超级精致，打开灯光音乐的一瞬间，感觉时间都静止了，好的礼物真的给人幸福感！。。🔮卷发里揪一个粉丝送南瓜马车水晶球🎄。🎅评论里再揪三个粉丝送迷你电话亭～🎁。老规矩要帮我写一下评价～感恩抱一抱
1702299159# #今天来仓库拍视频。。当我们把桌子上全部摆满这次圣诞的音乐盒后。真的自己都被美呆了。。一点不夸张，肉眼看比视频美十倍，不知道怎么形容，流光溢彩，一整个特别温馨特别美好特别幸福。。圣诞节的礼物真的太有感觉了苦涩苦涩苦涩
1702737592# #今天和一个朋友聊天，让我想起以前看到的一篇文章。。大概意思是，作者发现他妈妈在家里总是怨声载道，对所有人都有意见，因为妈妈看见地脏了一块，就忍不住去扫，厨房有碗，就忍不住去洗。。。但是干完活，就会感觉自己很委屈，付出太多，觉得其他家人又懒又冷漠，不理解她。。。作者就和他妈妈说，我们能
1700570433# #每日清仓终于，我们新仓库整理的差不多了，可以开始挨个清仓，给大家整点捡漏的好东西。。今天就清这个，洛斐的小黄鸭蓝牙鼠标，仓库还剩六个，亏本166出，小黄鸭蓝牙音箱，只剩两个，亏本350出。都是新的哈！。。这个系列东西都是做的很好的，鼠标我自己家里也在用，用来当电视遥控器，手感非常好，而
1699288924# #？？？
1701062444# #完了，我应该不及格
1698589563# #哈哈哈这个有点意思
1699624622# #今晚到明天，双十一最后两天啦！。选了今年我们店里最火，最实用的一个榜单。大家可以看看有没有需要的！。。🪄卷发里揪五个朋友每人100店铺抵用卷（无门槛！。✨评论里揪一个粉丝送新出的正版哈利波特海德薇拖鞋，超级厚实好穿！🔮哈利波特超话
1698912983# #湾湾娱乐圈都好精彩
1702047090# #进入十二月每天都是和工厂咆哮，要货，斗智斗勇。还要监工……。。视频是每天都在赶工的圣诞小袜子，真的很受欢迎！。圣诞季
1701844317# #大家取的名字都被用过了，崩溃
1700752405# #刚又练了一遍，颈椎真的好舒服，而且浑身火热，真的大家快练起来！
1703827887# #这个返图我要保存一辈子抱一抱抱一抱
1696948867# #让我看看是谁还没有这个loopy挂件！。。这也太可爱啦哈哈哈。。是正版！20多也不贵！。loopy露比超话
1699417493# #？？？
1698846372# #问下大家，早教课有必要去上吗？。。十一现在一岁了，但基本还听不懂话，我看别人家有的孩子一岁都能听懂大人很多话了，就有点焦虑。。。但是阿姨说早教课就是带着孩子玩，他听不懂就是听不懂，去了也没效果，没必要去。。。最后决定听一下各位过来人的经验？
1699443871# #今天收到的书房100个快递之：。。几十块钱的粉玉花瓶，好漂亮！这个水润感完全出乎我的意料！。还有同样几十块钱的垂丝茉莉！怎么会有这么仙的植物啊！好好看！
1700749864# #恭喜
1698328129# #今天早晨醒来小鸡就抱着我的脚，不愧是嫡长子！。。下午由于婆婆单位发了很多电影卡看不完，我们就来看了《好像也没那么热血沸腾》，这个电影还可以，前半段一般，后半段升华了，但可能是开心麻花烂片太多导致它都没啥声音？。。不过更让我感到神奇的是，电影院买票买水、检票是同一个人，等我们进去坐好，
1702124394# #我真的服了淘宝这波神操作了。今年非要到处嚷嚷取消双十二。其实根本没取消，就只是换了个名字而已。改成了什么好价节。。结果因为他这一通嚷嚷，各种热搜，大家都以为真的没有双十二了，今天晚上八点活动开始都没几个人知道。我也不知道这到底是想活动卖的好还是卖的不好啊？。。这到底是哪个大聪明想出的策划
1697465177# #阿姨又给十一买了小熊背心和帽子。还有新衣服，说是送给十一的周岁礼物。。这个小背心，阿姨一开始拍错了选项，发来一个小鸭子的，我说要么将就穿吧，换还要出邮费。阿姨说不行，这个鸭子没有小熊可爱，要给十一穿小熊的，让我帮她操作退货。。我拿过阿姨手机一看，订单里全是给十一买的东西笑cry。。记得以
1703343071# #恭喜
1702537674# #周海媚走了，好惆怅，一下想起小时候，电视台黄金档放倚天屠龙记，第二天上午十点会重播。。。中午一放学，所有人都跑步回家，我家离学校只有一两百米，每次冲刺回去，爸妈也坐在地板上看倚天，我高兴的加入，还能看最后几分钟剧情，再听一遍末尾的主题曲，爱江山更爱美人。。。看完正好吃饭，热腾腾的饭菜
1703518215# #有请大家踊跃发言
1698051655# #但是我还挺喜欢这个功能的，想知道谁每天看我开学季
1698841382# #自从十一国庆期间生了一次病，现在所有人都说孩子变了，变得非常娇气难哄，只要有一点不如他意的，就会咧嘴、哼哼唧唧表示不满。。。具体到日常生活里，就是这个孩子没以前那么好带了，比如他下午很精神，你要哄睡他就哭，一定要自己玩到困。。比如他想出去玩，你不去他也会发脾气。。。孩子他爸说十一可能
1697133317# #哇GG这个队啥情况，我印象里这个队很强的呀，不是拿了很多冠军吗？。。怎么这第一把感觉13号位完全不当人啊……一个0/5/1，一个1/5/1，好可怕呀。。还是lgd变强了？？？。。ti12DOTA2超话
1697894651# #今天的晚餐：烤红薯和海带排骨汤。发现生病后想吃的都是小时候很难吃到的。。小学时烤红薯都是冬天才偶尔能买到。海带汤是学校门口有个店会卖，每次煮一大锅。一碗两块钱，喝完又热又爽快。再来一杯冰凉虾或者磁花子。那滋味不摆了，可惜这一套下来至少要四块钱。对小时候的我来说很奢侈，只能偶尔蹭一下我姐的
1701443643# #一直想在玄关放一个特别点的小收纳架。终于被我找到了！。。哈利波特超话
1701701619# #明天试试
1702558437# #今天上海外国语大学的同学找到我说想让我们店赞助一下他们的活动。钱虽然不多但总感觉这种活动没啥效果……。。大家觉得我们要赞助嘛
1703943062# #有人知道这到底有啥用吗。。虽然我玩的挺开心的，但是完全不理解这是啥……。。我的钱都花在哪了
1702986309# #发掘了新的发货方式：。。实在是忙不过来了，让厂里直接登陆我的店铺账号去打单发货汗。。主要今年好多手工做的东西，等厂里做好发过来真的来不及，人都麻了……
1703256685# #我知道大家最近看了很多美轮美奂的礼物，那当我拿出这款我佛慈杯阁下又该如何应对呢？。。🎄🎄卷、评各揪一个粉丝。送修身养性木鱼➕杯子套餐！🔮。老规矩要帮我写个评价，感恩抱一抱。。非常符合我们当代年轻人精神状态的一个杯子！。新年礼物
1696662650# #还可以啊
1701963788# #恭喜
1699362472# #感觉我应该进行一个连载：别墅改造计划。。现在书房，财神间，餐厅都弄的差不多了，唯独这个进门大厅的鱼池上面，有一面墙不知道怎么改。。。墙中间是房东请人画的一个铜钱，下面还有一长条土槽说是可以种点植物，但我觉得太麻烦了，准备买点仿真植物意思一下。。。这两个门板，据说是从很老的宅子里拆过来的
1702567927# #最近我们这个哈利波特魔法大礼箱有点火。可能因为这是我们独家，好多别的平台来我们这代发（比如jd海外平台啥的）。订单一多发货就很慢……。。拍了个发货视频，一小时只能发六个……。。这个非常适合送给小朋友，如果要做圣诞礼物的话一定记得提前一点拍。哈利波特
1699097485# #牛的
1700232650# #这款有需要的建议直接下单不用等双十二，利润不到十块钱，就走个量，双十二肯定涨价……
1697202880# #很不容易！。录到了十一喊“妈！”。虽然有时候他会喊成“猫猫”，但是我已经很开心了哈哈哈哈
1696667505# #我买的相框到咯，很好看！。。是我小时候和我妈拍的照片，嘿嘿
1698315309# #有人能路过我们湖北夜市而忍住不买吃的吗。。公安锅盔（怪味），烤脑花是我的最爱苦涩。今天我跟这些好吃的拼了
1703000314# #让我看看是谁家的圣诞树上没有女明星loopy！。。今天下午圣诞loopy袜子挂件和礼物挂件都已售罄。还剩雪人，姜饼人和苹果！。。loopy露比超话
1702833133# #恭喜
1700403549# #恭喜
1697202618# #今天搬仓库，我发现移空调和监控真的好贵啊……。。空调随便拆装一下，就是两三千。监控一个摄像头安装一下就是200，真的感觉这种技术活比很多工作利润都高……。建议年轻人可以考虑下这几个就业方向……
1703260222# #和供货商打交道这么多年，我最喜欢的就是广东和江浙一带的老板。。广东老板好在哪里，可能他每个月都有几栋楼在收租了，然后半夜十二点依然秒回消息并在给你发货。。。江浙老板好在哪里，可能这个东西她每一个就赚一两块钱，但绝不会怠慢你，更不会偷工减料，肉桂没到，宁愿去超市花高价买回来发货，也不
1701097809# #给大家看一下我们60厘米的圣诞树拼装过程！。。说实话，做礼品行业也有六七年了，所以我这边的厂都是精挑细选，很少出问题。。但光说没用，还是亲自拍一个组装视频更有说服力。。。绝对不是那种偷工减料、装出来和图片对不上的哈。我觉得我们装出来好像比照片更好看。特别今年这一只小鸟，栩栩如生，非常有灵
1701158653# #右边笑死我
1698554228# #十一的抓周仪式搞完了！。。第一次抓了算盘和金元宝。第二次抓了一个红色的球，主持人说以后要去踢足球我当场昏厥
1701693179# #哇，我真的搞不懂了。打dota2的朋友小刘来我们家玩，说有个游戏超级好玩，全新技能，全新副本，全新世界，让我们一定要一起来玩！。然后我就看见他打开电脑，出现了我熟悉的界面，熟悉的bgm，熟悉的哀嚎……。。我服了呀，2023年了，竟然会有人在我家里，热情邀请我来玩一个我十几年前玩的游戏，魔兽世界
1701590308# #我的dota2日记好久没写日记了，主要前段时间忙着玩潜水员戴夫呢，最近才开始dota，昨晚就遇到奇葩了。。起因就是我以前特别爱玩巫医，莱恩这种，但是玩的很菜，连跪十几把，这几天只玩绝活双头龙上分没输过。。。昨天这把开局英雄展示，我就站在最前面，系统数据：香香猫最近连胜8局，双头龙连胜9局。。对
1702993758# #幽游白书真人版看完了，真的很难评……。。打斗和特效我给满分，尤其是特效，极其丝滑自然，邪王炎杀黑龙波、魔界含羞草、户愚吕兄的身体随意转换，都让我好激动，小时候的神作成真了！。。剧情中规中矩吧，只拍了一小段故事，太短了。。。重点是角色扮相，我真的是想报警的程度……男神藏马不说了，飞影的黑
1699266674# #那当然！
1700750455# #显示器上的监工小水獭。。上班摸鱼急需！。。什么值得买
1700564547# #从云南寄来的花花。因为太多分成了三大瓶。再次感叹粉色郁金香真的好漂亮
1701857154# #小刘这几天在我家里，每天咖啡，红牛，奶茶，梅子酒拉满。戴着耳机一直煞有介事说着什么：今天几点集合，这个本很难，老六要注意p2阶段站位，昨天打到1%团灭了，今天可能要组两个T。。我说啥副本这么难啊，看你打几天了。上去一看，黑暗深渊……这不就是个20级本吗允悲。这是什么文艺复兴啊
1701955342# #每日清仓今天仓库给我的任务是清这个，12个雪屋加湿器小夜灯。这款并没有滞销，现在也能看到很多店在卖，东西本身是很不错的。只是我们不刷单的卖不过别人，放仓库又占位置，干脆亏本清了～原价插电59，充电69，现在全部低于成本价30多就出抱一抱
1700748845# #恭喜
1700677384# #我觉得两个人在一起，无外乎是四件事：。吃的到一起，睡的到一起，玩的到一起，花的到一起。。分别对应了吃，性生活，兴趣爱好，消费观。。要是四样全都挺好的，那自然是每天开开心心。。。要是有两样不对付，也还能凑合过，但已经很危险。。要是又玩不到一起，又睡不到一起，还花不到一起，那可以说是连普通
1702220202# #孩子他爸真的很持家。。。因为我爱吃火锅，他买了很多火锅底料和食材在家煮，真的很好吃，比外面便宜还美味。。特别推荐这个牌子的底料，香辣正宗，而且辣度正好，就是辣的很爽又不会不舒服的那个程度，推荐给大家。
1699000071# #哇抱一抱
1703083448# #恭喜
1701094445# #今天送这个！超级好看的圣诞玻璃小摆件！。。🎄卷发、评论各揪三个人，每人随机送一个哟！（要帮我写一下评价么么哒🎁。。这里要讲一下，这个玻璃我们做了两个厂，一个是出口日本比较高端的，一个是淄博琉璃，区别是前者更精致小巧，但是贵一些，后者尺寸大一点也没那么精细，但胜在便宜点。。。主要也是
1703082002# #最近店里让我惊艳的评价图！。。每一个都拍的好好看啊！。图片作者可以联系我们kf领取红包！
1699962427# #今天的别墅改造日记：
1701780460# #一不小心又拍到十一摔跤了。。本来我想拍十一爬进来对我笑，谁知道他非要去玩这个脏衣篓，孩子他爸本来站在他后面的，就看了一下手机就摔了，把我也吓够呛，因为摔到头了。。还好观察了两天没啥事，现在都是一秒都不错眼的看着，带娃真不容易
1700665913# #说出来大家可能不信。我前段时间不是说腰疼吗，坐一会就屁股酸疼。一度以为我是真的腰间盘突出了。昨天下午正打算去医院拍片子，突然灵光一闪，记得在哪看过跳八段锦很有用。我就打开跟着来了一套，动作都很简单。做完操我盘腿坐地上休息，突然感觉左大腿有根筋很酸，就像是扭到了，我一用劲，这根筋好像复
1701694687# #今年新中式的风真的刮好大。连睡衣都有新中式的了！。嘿嘿，然后自己学了一个简单的中式发髻！。还可以吧
1699784493# #今天的别墅改造日记：
1702742342# #其实打斗还可以，但是演员，真的，莹子没有那种俏皮感，幽助喊她丑八怪时一点都没让人觉得是在打情骂俏，更像是校园霸凌汗因为女演员真的也不算好看……藏马别说了，光看截图血压都高了
1699715121# #破案了！十一抓周的时候，抓的这个红色藤球，原来是给小鸡抓的。。。不愧是小鸡的弟弟！
1703141499# #今天的店里：。。圣诞季
1700830081# #迪士尼今年的贝儿家居系列好好看啊！。。这套贝儿睡衣又舒服又暖和嘿嘿。抱枕也好柔软开学季开学季
1698068196# #昨天开始看《问心》，意外发现挺好看的！。推荐理由。5我竟然磕到了金世佳和赵又廷！！！。金世佳穿上手术服好性感啊，他真的很适合这种叛逆天才的设定！完美弥补了国内这类型吊儿郎当又有点可爱的年下小狼狗的空白！！！。发现我还蛮吃这种设定的，就是两个针锋相对的男主，一个锋芒毕露一个沉稳内敛，在
1701522214# #好吃的和好喝的
1698129829# #出院回家啦。从在医院躺着变成回家躺着。还是家里舒服泪泪。。每次生病后都会痛定思痛，以后一定要早睡早起，健康饮食，多加锻炼，钱是赚不完的，还是身体重要！。就看能坚持多久吧泪
1697376696# #血赚！！！其实我感觉都能修好
1698762000# #终于到家了开学季立马开始工作。看了一眼我们店里的评价，被发光武士刀和赛博头盔的高质量返图惊到了！！！。。你们真的有点东西
1704094972# #我的dota2日记。刚看到孩子他爸对着手机狂笑。。。我问他在笑啥，过去一看，是他的dota2年度报告：
1700736664# #十一会扶着走步车走路啦。。感觉离他自己走路已经不远了开学季。阿姨说最多还有两个月吧，好期待！
1702208293# #圣诞树小熊蜡烛刚刚卖起来。厂里就说做不过来，缺货，这那那这。。但是我也毕竟做了这么多年生意了。诀窍就是：加钱。上一秒厂里还在说没货。下一秒：好的16号给你发！汗。。所以有时候圣诞季真的早买比晚买便宜……
1700681068# #图二快笑死我了
1697097438# #必须对得起大家的信任爱你
1701946513# #卧槽这四句唱的真好，难怪是当年的冠军……
1703690110# #圣诞过完，终于有空来电影院看《三大队》。看完眼睛都哭肿了苦涩。。特别是“几度风雨几度春秋”一响起来，还有儿时的回忆加成……我甚至都不记得小时候看的啥电视剧里有这曲子，但是一听到就眼睛酸了苦涩。。真的受不了这种沧桑英雄的故事，特别是知道真实原型里的程队是一个人追凶，根本没同伴时，更
1700921595# #哈哈哈家里打个这灯，家具都贵一倍……还能给手办拍照
1697711069# #还是来住院了。小手术，虽然也要住五天苦涩苦涩。这个双人间600一天环境还可以。但还是想家想十一呜呜呜呜
1701083506# #我刚回来换了件新衣服，问孩子他爸咋样，他说挺好的，比你白天穿的好看多了。我说我白天穿的咋了？。他说特别像花仙子。我？？？？还在奇怪他这是在夸我吗。然后他打开了一个视频，说，不是你想的那个花仙子，是这个花仙子：
1703404277# #圣诞小袜子和圣诞蜡烛礼盒还有最后一点现货。现在拍今天可以发走。明天江浙沪皖的地址就能收到。。最后一点点，卖完就下架咯圣诞季
1701613552# #圣诞倒计时还有21天！给家里的猫猫狗狗也准备一个圣诞宠物窝吧抱一抱。。🤶评论里揪一个粉丝送同款。只需要帮我写个评价就行！🎄。。我先给小鸡寄了一个，往年我都是花一百多买的，今年想着不如找个厂合作下，自己拿便宜，给大家也省钱！
1700575387# #快到圣诞季了，店里新品非常多，所以最近抽奖也会很多抱一抱。今天送这个，圣诞小袜子挂件，里面装了真的诺贝松和肉桂，有森林的清香，可以挂在车上，门上，圣诞树上！送人也是很棒的伴手礼。。🎄评论就行，揪两个粉丝送。（要帮我写个评价哦感恩！🎁
1698847111# #好的，前几天遇到一个十月大的女娃会走路（虽然就几步）但是已经震惊到我们了！十一现在都还不能自己站着（扶着东西站还行）
1698222587# #别着急，还有个特别酷的面具在路上呢笑cry迫不及待想看熊律一套穿上啥样了
1703245779# #熊猫拖鞋好可爱啊
1700921764# #恭喜
1700997790# #突破性进展朋友们！。。十一能听懂一点简单的指令啦！
1697538922# #国外版本比较厉害，台湾这个太做作了
1698847607# #今天刚收到的发光武士刀返图。。只能说各位都是大佬啊。这质量也太高了苦涩苦涩苦涩真的拍出了赛博上海的感觉。。‭万圣节
1699281964# #降温了同学们！厚家居服四件套被子袜子内裤都可以过来挑选！双十一持续到十一号！
1702794406# #没有用，拿货都是没合同的，只能一哭二闹三上吊……这几天加钱都不好使了，爆单的厂都不缺钱，我只能打感情牌说可怜可怜我泪泪泪再不发货店要垮了泪泪泪
1701955054# #也有道理
1697097286# #笑cry笑cry应该的啊，出问题找我们就好！！！另外要小心呀别受伤了！
1699978332# #发现围巾真的很显脸小！。还能挡住下巴显年轻哈哈哈哈。都把围巾戴起来！
1701588315# #这有点明显啊
1700743591# #哇这个音箱真的没人要吗允悲鼠标一下就没了，音箱降到299都没人要，原价699的嘞
1701672943# #大家帮我们想想吧，救救孩子！
1697915572# #这个瓜吃得我都心疼了！别的不说，陈牧驰都当明星了，能不能把别人转的钱还回去啊，单亲爸爸跳钢管舞养孩子很不容易！
1701161995# #感觉好久没出去吃贵的饭了。我收藏了一堆餐厅，现在还有一边吃饭一边跳舞的。也太卷了吧……。我想的是，先下午去市中心玩个密室。然后逛一逛，饿了就去吃顿饭，美滋滋。。但是每天起来以后，只想在家打游戏咋办泪
1703032211# #这也太牛了……
1698152287# #明天就要带十一回老家了，这周末给他办周岁。。买了几套衣服大家帮我选选！。我就把最好看的留下
1702822433# #今晚12点把这条以前的圣诞抽奖全部一起开了，还没参与的抓紧时间哟（有很多！
1703861203# #圣诞过完休息了两天，又要开始忙新年礼物啦。。今年新中式的风真的很大，我准备了很多原创设计的中国风好物，除了有刺绣御守，挎包香包，还有中国龙玩具，春联窗花灯笼……。。🐉评论里揪三个粉丝，送图片里随机一样，老规矩要帮我写个评价感恩爱你爱你
1699276509# #自从租了这个别墅做仓库，深深体会到了一个道理，懒人千万别买别墅……。。我中午过去，先是整理了院子里不要的杂物，又把一楼地扫了，光这两件事就耗费两个小时，腰也疼的不行。。整个下午我就没停过，感觉也没弄个啥，天就黑了。。真的太累了，怎么别墅能有这么多活儿啊？。房东还说让我自己种点花草，我
1699112417# #购物分享搬了新仓库，我发现终于可以给自己弄一小块地方做书房练字了！！！。。然后美滋滋去看人家文房四宝的vlog。都拍得好美呀！完了一搜价格，嗷的一声昏古七了。原来新中式的东西才是最贵的……。挑着买了点便宜的，等我布置完给大家看看效果
1700406010# #恭喜
1697717840# #这次搬仓库是我们下定决心清仓的契机，因为搬家时发现库存太多，整个仓库非常臃肿，导致效率也很低下。为了将来更好的服务大家，会持续开始买到就是赚到的出货活动，内衣店先开始，礼物店由于我住院了，会延后一些。大家可以多多关注，这种捡漏的机会好多年才会有一次……
1701234074# #卧槽这比好多恐怖片特效都吓人
1701179954# #899的鹅绒枕头到了！。先指路🍑悦己秘密花园。。其实我拿回来就是想做一个对比，几年前我们还没开始做家纺床品时，我曾经斥巨资入了两个s牌鹅绒枕，还是活动买的，平均1100一个。。。这个品牌的宣传看得出来是下了本的，反正吹的很神，但每次我睡这枕头后就会颈椎不舒服，因为它太软了，经常睡醒起来头都
1696942649# #发一个麦当劳✖️高达联名的开箱～。。说实话质感蛮好的，手脚可动，盾牌上有麦麦标志。整体配色是安格斯牛堡的颜色，很酷！。。关键是全国限量11万个，很值得收藏。（大家能在当地餐厅抢到最好，我这里成本高一些但都是全新的，数量也不多，随缘卖一下，后面数量少了肯定会涨价
1703422649# #重大喜讯朋友们。平安夜的晚上，十一好像会走路了！。虽然只有两步哈哈哈但是我也很开心
1697003589# #这个我们也会上哦开学季开学季开学季
1703083845# #26真的很划算……运费都要六七块
1698500415# #能进总决赛我也加码
1703863882# #我发现小孩儿的颜值是在变化的！。假如吃饱喝好睡好心情好，娃就会好看很多。。不知道是不是我的错觉！
1696683739# #卧槽好帅，可以授权我用到详情里吗？
1701587698# #就是你杯子放在这个底座上，里面的饮料就能一直是热的，不会冷
1699704807# #昨晚孩子他爸说，明天我们是不是带十一出去玩玩？。我：啊？明天双十一要去仓库帮忙吧？。孩子他爸都无语了，说你再想想。。。我才反应过来，对不起十一，主要我还没习惯家里的娃也要过生日了！。嘿嘿，祝我的宝宝长命百岁，健康快乐！
1700230804# #🔥最新款暖脚垫来了！超实用！。卷发评论各揪一个粉丝免费体验！🔥🔥。。前几天我无意拍的一张图二，评论有人问这款暖脚的好用吗？。其实我用的是仓库旧库存，已经停产了。。厂里现在的最新款是圆筒形的，比旧款更暖和，价格还便宜了一半以上（侧面说明这几年制造业太卷了）传送门👉
1699108972# #不要精神自虐啦！首先有妈妈接都很幸福啊！其次我那个财务自由的仓库房东，人家也是电瓶车接娃上下学（因为太近了开车反而麻烦）
1702310345# #这几天全场85折，点进去有优惠的抱一抱
1701061875# #被潜水员戴夫。她说她玩的不想睡觉，我就好奇看看啥游戏这么好玩，结果昨天差点也没睡觉笑cry笑cry笑cry。。太好玩了！每天要做的就是白天去潜水抓鱼，还要做任务比如寻找人鱼踪迹啥的，晚上开寿司店，真的一秒不带停的，拉满！。。但无论是海底潜水，还是开店都好有意思，虽
1703604810# #魔王的好物推荐：。。真的强烈安利那个身体乳手套，10块钱太值了！
