1694395688# #昨晚做了一个漫长的噩梦，梦的结尾下雪了，又平添了几分伤感
1692931615# #胃气不足中医叫我吃麻辣火锅我的胃气应该过足
1700396675# #征途从不是一帆风顺，我们终将归于平凡，但是那些曾耀眼过的瞬间，会永远铭刻在我们每个支持wbg的人们心中
1700753343# #WBG英雄联盟超话搞不懂，输比赛的是我们队，外面急的跟吃了屎一样，天天喷粪，我们就是网红队，关注我们比关注他爹都勤快全力以赴全力以赴全力以赴
1695970751# #英雄联盟中国队vs越南队遥遥领先，哦！原来领先的是越南
1699792259# #WBG英雄联盟超话🙏🙏🙏🙏上天保佑我wbg
1703773464# #25至29岁年龄段未婚率超50%结不结婚都那样，结了婚是穷人，不结婚也是穷人，大家都是普通人，跟性别无关，跟婚姻无关，我们都是这个时代被牺牲的人，大家这么努力，然后努力当个普通人
1699196740# #WBG英雄联盟超话我们天天啃啃啃，刚刚看贴吧说我们是生化危机超话🤣🤣🤣
1699710159# #WBG英雄联盟超话S13超话助威团今天先开心，明天赢了就知道我该啃谁了打call打call打call
1700585453# #
1696948683# #最近过得太匆忙，没有时间看一片晚霞
1691499609# #WBG战胜EDG泪泪泪泪终于！
1691591564# #抽我抽我求求了
1695819848# #抽我抽我求求啦！悲伤悲伤悲伤
1698109774# #WBG英雄联盟超话我的王八盖王八盖啊好起来吧跪了
1700728797# #2023LPL全明星我已为助力一次，快来和我一起为他加油吧！
1699788525# #WBG英雄联盟超话啃啃啃啃啃啃，把t1全啃掉，啃水晶，啃基地，啃脑子
1691591927# #求求了抽我抽我
1699704859# #WBG英雄联盟超话啊啊啊啊啊啊啊啊啊啊啊
1699782275# #WBG英雄联盟超话🙏🙏🙏🙏求求了，我们多积德，给我们优先选边权吧
1699764364# #WBG英雄联盟超话积德积德积德积德🙏🙏🙏🙏
1699193145# #WBG英雄联盟超话🙏🙏🙏🙏锦鲤附体锦鲤附体锦鲤附体锦鲤附体全力以赴全力以赴全力以赴全力以赴
1698579658# #WBG英雄联盟超话卧槽！！！！！！！！
1699789228# #WBG英雄联盟超话老天爷啊，都走到这了，再眷顾一下我们wbg吧🙏🙏🙏🙏
1700785126# #2023LPL全明星我已为助力一次，快来和我一起为他加油吧！
1704198506# #好想去哈尔滨单身狗我也想去今年一定要变有钱
1691513987# #抽我抽我
1700469444# #WBG英雄联盟超话夹人们别想了，赶紧吃瓜
1700403657# #WBG英雄联盟超话不要义正严辞的喷wbg，毕竟需要支持的时候你也不在
1691680574# #WBG英雄联盟超话2023和电竞偶像过七夕对你的爱这么大给我签名队服行8行哇
