1702725300# #不可思议的三角形，你知道这其中的原理吗？
1703200920# #每个生命都有它的故事，狗狗在帮它的主人干活，累了歇一会继续走。
1703816401# #正确握笔姿势，你家孩子握笔正确吗？
1702335720# #男人不容易，些许无奈辛酸瞬间，他是家里的顶梁柱,也需要理解和包容！中国赞
1702031545# #网友：奶奶用了30年的锅铲，少了的半截应该是被我们一家人吃了吧？
1703853907# #太敬业了……
1702339320# #听听张雪峰说努力的意义在哪？让孩子们都听听！
1703347765# #筋长一寸，寿长十年！正确的拉筋方法示范，马住跟着练！
1703550121# #看到后边我哭了，一本书走完了这一生。
1701849661# #电脑最牛的两大保镖，让你电脑一直保持流畅。
1701652920# #网红真的不是谁都能当的，太考验心理素质了
1702449180# #上联：古树勾新月，下联：？？？
1702907941# #小男孩独自骑车到车流中，路过热心女子见状，立即下车冲了上去。网友：你抱孩子的动作真美！
1701672532# #穿哪套才能给老公撑场面…？？？
1703492701# #这是最简单的剪五角星⭐️的方法，带着孩子一起学起来！
1701784861# #学习一下吧，其实你也可以！
1702767660# #妹妹在学校被打后还手，老师定为互殴，批评了双方。姐姐对此发表了慷慨激昂的看法，说得真好，转一个！
1703203080# #一些包装礼物的小技巧。眼睛：会了
1703155140# #十二月必喝的八道养生大补汤，最后一道绝了！
1701858989# #12月4日河北，女子带儿子在街头卖红薯，好心大姐看孩子穿的单薄，回家拿自己孩子穿过的衣服裤子给孩子，网友：这个冬天很冷，但是人心真的很暖。微盘点
1703637780# #世界上最硬的东西是什么？
1702094520# #花生米不要油炸了，教你一个新做法，加一把大蒜，吃一次就忘不了，太香了！
1702546380# #太牛了，一个哥们儿买下来一座荒岛，把它打造成了伊甸园。这17分钟，值。玩野外的可以看看。
1702224759# #刷到菩萨请不要无视，真的很灵！
1702127221# #出卖旧手机等于出卖你自己哆啦A梦微笑哆啦A梦微笑哆啦A梦微笑
1702693208# #“少年强则国强，刻在骨子里的善良”盘点生活中那些暖心瞬间，顺手点个赞！
1701839688# #做一个情绪稳定的父母
1702808281# #这种女朋友娶回去一定很好玩。笑cry
1701658860# #盘点小姐姐被同龄人叫阿姨后的反应！笑cry笑cry
1703687937# #正确和错误的跳绳姿势对比，快来看看你属于哪一种？
1702721641# #少年强则国强。加油，中国少年们！！。。网友：这个奖是给摇绳的还是跳绳的呀？允悲允悲
1701789866# #女子手机屏幕摔坏，不舍得600块钱换屏幕，教大家一个小技巧！
1702556941# #转：5分钟学会正确的跳绳方法，避免这几个错误，普通人也能跳的飞快。这个要知道！
1701857700# #不提车名，说出你的车子doge
1702294929# #一个干净的家，永远不会贫穷。。这是哪个网友的家啊，简约不奢华，漂亮！
1702044360# #凑齐这样一支队伍，不容易啊
1703054251# #不经意的关心最令人破防，直播卖货被问累不累，突然的关心很心酸
1702031336# #天下武功，唯快不破
1702812449# #董宇辉实在是太火了，有一说一，他的粉丝消费能力真的强！
1701767505# #女子因长相酷似某人，在某平台斩获近百万粉丝，没有一个黑粉……
1702336920# #婆婆把每个月的退休金都给儿媳，儿媳：她给两个孩子洗衣做饭，退休金一万多，每次她只留零头，其他全给我，已经给了十一年了。
1703251501# #无论U盘怎么打不开，千万不要丢，一招让他起死回生。网友推荐，大家可以试试！
1702776480# #和这家人一起吃饭，你可能连动筷子的机会都没有。
1702945260# #把售货员吓得不轻。
1703230680# #使用率最高的“路名”是什么？
1702730041# #缉毒警王世州牺牲，85岁老母亲打了儿子一巴掌。悲伤
1702534920# #雷军、马云、刘强东、曹德旺四位商业大佬给创业者的建议，哪位最有道理？
1701879840# #这特🐎才是表演，演的跟真的一样！
1703174341# #1分钟掌握21个行书连笔字的写法，赶紧码了！good
1702305445# #国粹，不是白叫的，都是真功夫啊！
1702078320# #有没有人和我一样喜欢这种暴风雨来临前的天气？
1701698713# #坚持不懈的小猫，那上面有什么东西让它这么执着？
1702810861# #王惠老师单词速记法完整版，幼儿和成人都可学习。分享给大家！
1703435280# #棉服破洞了先别扔，教你一招继续穿！！马住！！
1703031180# #如果是你的话，你会怎么回答？思考并不简单
1702510921# #转：不要总说别人的天赋，要看到别人的努力！
1702749901# #刷到菩萨请不要无视，真的很灵！
1701783001# #果然每个胖子都是一支潜力股！
1703215260# #走在路上，遇到这种人你会怎么做？
1702975932# #孩子哭了半小时，妈妈还是不给买。
1703120580# #姓“门”怎么起名字，太难了吧？
1701861121# #张雪峰开导抑郁女孩这段值得反复听，他太理解现在年轻人了。
1703293141# #董宇辉分享的课外书阅读顺序，非常有参考价值。
1702366320# #房屋装修经验分享，或许有用
1702362480# #脑梗最快急救方法，中老年一定要看，前三分钟重中之重。讲的好，再转一次，请转给身边的朋友们！！！
1703741160# #00后小孩做保安就是爽，上班打游戏打到下班，新赛季王者荣耀已经王者5颗星了。
1702619160# #上联：土也是地，。下联：。有请高手来对！！！
1701704521# #如果你发现你的电脑被人动过，那么这行代码你一定要知道，避免别人在你电脑上偷偷干坏事！&nbsp;。。（via：佳姐微博）
1703077200# #王惠老师：良性循环的学习方法。家长一定要转给孩子看看！
1701653100# #晚霞披在身
1702092480# #这两分差在哪里，懂欣赏的给解答一下呗！
1702670123# #刷到菩萨请不要无视，真的很灵！
1703673211# #跳绳的正确姿势和标准动作，你知道吗？清华任教练手把手教你。get！。。.
1703119260# #一位孕妇怀双胞胎9个月以来，肚子和身体发生的变化~~~看完觉得太不容易了！母亲很伟大！！
1702993430# #看得我一点食欲都没有…
1702177260# #网友求助：遇上这样的邻居，该怎么办？吵架已经不顶用了，我真的气到快吐血了！请问，这种邻居我该怎么处理比较好？
1702093219# #骑着电车随意穿梭，面包车倒霉了！
1702434120# #上联：门寒花不弃，求下联
1703913499# #外卖员追尾玛莎拉蒂，女车主让赔800元私了，外卖小哥勃然大怒：想讹我，没门！允悲
1703046840# #爸爸叫胡南，妈妈叫胡北，孩子叫什么？
1703395116# #实用帖：十年前的密码忘了怎么办？不要慌，一招教你轻松找回，绝了！
1701773280# #网友：爱孩子的方式有很多，为了让孩子飞的更高而报这么多兴趣班，享受别人夸她孩子带来的那种快感，那不是爱，是为了炫耀，为了自己的虚荣心……
1703122620# #如果是你会咋办？
1703165581# #很牛的视觉陷阱，不管怎么看，都看不出是这一块平板啊~
1701823140# #我算出来14，你们呢挖鼻挖鼻
1703199661# #你永远不知道猴子的极限在哪doge
1703551321# #这一拳要是打在身上，不得青一块紫一块的……哆啦A梦害怕
1702008600# #网友：有老婆和没老婆的区别！
1701654120# #接受自己的平庸，也接受孩子的平庸
1703408461# #【强烈推荐】不要把孩子培养的太过老实，而是要教给他们这6句话：。。第一、。讲话时声音要洪亮，。语速平稳，不快不慢，。不说废话，不说狠话，。不说假话，不说脏话，。眼神坚定，不要左顾右盼，。也不要有多余的小动作，。并且要勇敢地与人眼神接触。。。说话是一门学问，。良好的语言沟通，。能够快速的和别人拉
1703160120# #语文老师强烈建议：吃透这九张纸，语文阅读题不再是你家孩子的丢分项
1702735620# #三分钟学会读路牌，开车看路牌有技巧
1703177640# #柿柿如意，暴富安康
1702090921# #看看低头族的倒霉瞬间，走路千万不能玩手机！
1701997260# #一定要告诉孩子，什么是PUA。
1703031960# #如何做双面席位牌。这个用得上，转存！
1702166520# #这种情况都敢超车，真牛！
1701885260# #一个人可以无耻到什么程度？又可以善良到什么程度？
1703125980# #如何快速把一堆文字转成表格。很多人都不会的小技巧，用得上，赶紧转存学一学！
1703132760# #对出此联者必是才华横溢之人！。上联：五颜六色七桌菜。下联：？？？
1702018546# #人人都要学会的猝死救命方法完整版，胸外按压。关键时刻能救人命，请转存！当然了，希望永远不要用到！
1703991960# #盘点被班主任抓到的死亡瞬间，简直就是学生时代的噩梦，太真实了允悲
1703087881# #一个视频教你快速拆螃蟹，这才是大闸蟹的正确吃法，赶紧学一下！
1701680280# #你上大学时生活费多少
1701649260# #这外婆才是最痛苦的
1703666255# #西安姑娘的反应速度实在太快了，对诗词的熟悉程度让人惊讶。
1701847666# #张雪峰讲的不是故事，是现实，可惜没经历过的人都当故事来听。
1701650580# #他真的比很多人说的真实很多…
1702120201# #香港这个高消费的城市，为什么菲佣工资这么低呢？？汗
1702768860# #原来的办公桌🆚现在的办公桌！还是以前的办公桌好，有私密性…
1702796475# #如何快速把一堆文字转成表格。很多人都不会的小技巧，用得上，赶紧转存学一学！
1702955460# #请说一个广告词，证明你已经不再年轻doge
1703478367# #你老家方言管这种人叫什么？
1703547301# #中文狂飙大战，欧美的贵族学校开始卷中文了..
1702260301# #传承两千多年的绝技，非遗美食龙须酥制作，姥姥说这门手艺可以养活三代人！
1701624000# #最简单有效的疏肝解郁操，一学就会。赶紧转走收藏，反复练习！
1702952700# #我有一个小问题。同事说：“你工资这么高，请大家吃顿饭呗。”。如何回？
1703261492# #刷到菩萨请不要无视，真的很灵！
1702032773# #【一根绳子能有多实用？】最新实用打结集合，托东西拎瓶子，一根绳子全搞定！之前发过一次，找不到了，重新发一遍，转存！
1702084920# #网友求助：姓青，求一个白鹿或者景甜这样的名字……
1702781880# #陕西，男子记录照顾渐冻症妈妈的日常，“像小时候照顾我一样照顾妈妈”，从确诊失语到生活不能自理，已经有十二年了。
1703241121# #一个家庭最可怕的并非贫穷，而是制造内部内耗的人！
1701664560# #盘点那些监控下的死亡瞬间。。衰
1701769501# #日本素人戴口罩和摘下口罩的对比…
1703150581# #盘点猝不及防的爆笑瞬间，今天的功德又笑没了
1702559161# #看似破绽百出，实则无可挑剔
1703141099# #“宝宝出生时就没有双手”，爸爸教无臂女儿用脚“剥”橘子，两人的反应令人破防。
1702131555# #求一个超牛的下联
1702893720# #几十年的逆子还治不了几年的逆子？允悲
1703519240# #一个快饿死的狼，没有走天道，也没有走狼道，他走了国道
1702959998# #爸爸姓古，妈妈姓古，孩子叫什么？
1701730921# #和主人走散了的狗狗，选择坐在原地等……
1703498280# #9名学生花费18元餐馆聚餐过生日，吹蜡烛时店主细心关灯…..被暖到了
1703588791# #谁知道，中间的3枚硬币到底去哪了？
1703008860# #罗大佑创作的20首歌曲，首首经典！你最喜欢哪一首？！
1702422060# #张雪峰老师：想成为有钱人，必须做好这三件事……你怎么看？
1702826340# #五分钟认清佛家四大菩萨，分别有什么寓意。马住！
1701776280# #网上超火的双翼回旋纸飞机，飞了十次，八次都能飞回到原点
1702195957# #你回家叫什么？
1701993660# #学霸笔记：初中数学知识点这也太详细了
1701657060# #如果这个视频让你妈妈看到
1703906641# #往后的形势，会更加困难！今晚只能吃这…
1702342920# #转：办公人员必会技巧，手写签名5秒转成电子版！
1703945041# #女生偷偷跨越1568公里出现在异地男友面前，男生不敢相信这一幕…
1701872580# #冬天到来了，分享四种保暖又美观的丝巾系法！赶紧学起来！
1703161741# #单手能提起240斤哑铃的妹子，她老公应该没有叛逆期吧？哆啦A梦害怕
1702376760# #姓巴，想要一个优雅的名字
1703606857# #刷到菩萨请不要无视，真的很灵！
1703209380# #姓乐，想要景甜、白鹿这样的名字！
1703374861# #太牛了，技术高超！忍不住看了几遍，这自行车算是让她玩明白了！
1703467320# #取个名，孩子应该叫什么？
1701907380# #现在回看这部剧，感觉紫薇多少有点病！允悲
1701827940# #讲真，打个普通成年男子应该没问题吧！？
1702117861# #疯狂的大胖子，有趣的灵魂～
1701712921# #第一次见鸿运当头
1703649480# #不得不说，你比我一个大男人动手能力还强
1703834760# #《孙子兵法》三十六计全解！
1703833621# #脑子：学会了。手：不！你不会…
1703289660# #这比每天满嘴阿弥陀佛的出家人更像菩萨！
1701855256# #夫妻因为取名打起来了，你们觉得哪个名字好听？
1702594861# #儿子总说妈妈偏心，妈妈一个举动让他顿悟
1702114140# #盘点20首曾经火遍大江南北的台湾影视金曲～
1703471941# #人过中年都应该看看这个视频，年轻人为了父母更应该看看这个视频……说得很走心，你认同么？
1703427329# #这是最好的版本：不花钱养脾胃，只需要这一招。收藏起来试试吧
1702508521# #离婚冷静期刚9天，丈夫突然发中风瘫痪，妻子坚持离婚
1702988829# #花滑天花板娃，蟹滑步独行天下，真的绝了！
1703638920# #狗里狗气的小羊，太可爱了！哈哈
1702349040# #8分钟简读《三国演义》。一起听一听！
1702950060# #张雪峰常熟理工相声专场！封神之作！马住！值得一听！
1701820921# #手机拍照的图片，千万不要直接打印。马住了解下！
1701743760# #爸爸叫胡南，妈妈叫胡北，孩子叫什么？
1702673602# #藏在蛋糕里的危险，这个一定要告诉孩子
1702951800# #给你10元你怎么买？
1702830780# #三个动作做到位，三焦通了。练一练吧！
1701676741# #这个世界上除了生死之外其他的都不算个事
1703610205# #不会掉的鞋带系法，好看又实用！
1703386956# #这种家长心真大呀
1703427290# #他俩一定很和谐允悲
1702443900# #C盘满了千万不要乱删文件。这个有用，转存！
1703402460# #旗袍模特，这五官和服饰，我觉得非常符合中国人的审美，比国际比赛上的模特好看多了，你们觉得呢？
1703406960# #10岁小女孩臂力惊人，闯关如履平地，成功超越男孩对手。
1702085941# #美国16岁高中生讲解四维世界！超千万播放，马住听~~！
1703462580# #猫猫版的《桃花源记》。假如在初中时看了这个视频，会不会更容易背诵呢？
1702258860# #你一定想不到，把普通面粉倒进滚烫的开水里搅一搅，竟然做出了一道火爆大江南北的一道美食，这就是老式炸糕，太美味了
1703513812# #网友：哥哥叫宋金，姐姐叫宋银，弟弟叫什么名字好呢？发挥你的想象力，求一个好听的名字。
1702906441# #听说看到日照金山的人能幸运一整年！
1702917420# #地图上的十大海峡，这个一定要听听，涨知识！
1702362635# #给孩子取个名
1701681900# #寒冷的冬季你们几天洗一次澡？？衰衰
1703251199# #5张表，70句话一眼吃透英语语法，完形填空次次满分！
1703556120# #装修时家里的全屋WIFI应该怎么做？一个视频告诉你。赶紧收藏！
1702087320# #手出水面头必沉！这份防溺水指南请收藏
1703330526# #如果你有幸路过云南大理，记得去看看这位身残志坚的舞者，你一定会被震撼感动到哭苦涩
1702382641# #大家一定都遇到过这种情况，没想到还可以这样解决！！！赞
1701644400# #终于知道肚子痛到底可能是哪里痛了老师好
1703113260# #33岁女生相亲多年均以失败告终，听完择偶标准瞬间明白了原因！
1701824641# #大家来为大师的这幅大作品取一个名字吧。。。。二哈
1702081441# #当孩子说我累了不想上学了，该如何回答？
1701958954# #南方的小伙伴就是不信邪，非要试一下……
1703951820# #盘点那些令人羡慕的父子关系心
1702599661# #王勃的《滕王阁序》到底厉害在哪里？？
1703560561# #从她的动作表情来看，这位老师从骨子里喜欢上课！
1702458360# #外国朋友看到这个都惊呆了，中国舞狮的协调性和敏捷性惊人，还有这背景音乐极具代表性。
1703384580# #给这次聚会取个合适的名字
1702783320# #乔迁之喜放鞭炮庆祝一下…哆啦A梦害怕哆啦A梦害怕允悲允悲
1702380961# #在爱的记忆消失之前请记住我，人世间最美好的亲情。网友:风太大，迷了眼睛，我也想爷爷奶奶……了。
1703121780# #篮球场上连续4次垫脚，第5次直接上扫荡腿，你怎么看？
1703809141# #不管你的电脑有多贵，一定要关闭这两个无赖的设置。否则网络会卡，隐私也会泄露。赶紧学一下！
1703946781# #男子在地震中失去了双臂，靠摆摊卖炒粉撑起了一个家，虽然生活艰苦，但是他脸上有光！
1701702496# #母亲骑电动车搭载女儿，本以为躲过不料接下来，被撞后还骂骂咧咧
1703902801# #婚后碰到这种男人的概率大嘛？？？哆啦A梦害怕哆啦A梦害怕
1702699636# #难怪我考不上清华北大，好吧，这题我不会……允悲允悲允悲
1703499840# #没有千锤百炼的训练，哪有行云流水的表演。抱抱抱抱
1701826861# #五分钟的催眠，带你找回前世今生的记忆～
1703727661# #下次砸的时候注意点，你看给人家头上磕了那么大个包允悲
1701914820# #五块钱一个不过分吧？
1703023680# #91岁老太太卖掉上海房产，手握几百万现金，每月还有10000元退休金。匪夷所思的是，她每餐只用白馒头填饱肚子，看到街边5块钱的大饼，馋得不得了，最后竟然舍不得买。一次她在街上迷路，被交警送回家，这才揭开她背后的大秘密。。。老太太叫伍丽天，她的抠门在小区里是出了名的。。。她给自己下了死规定，每
1703731261# #听到最酸心的一句话：“如果父母还是和从前一样辛苦，那我们长大有什么意义？”心
1702544580# #世界各国饮料代表，中国的是什么？
1701819601# #打破信息差，换个名字跌破底线~
1702525741# #他的确嚣张，但这牌感觉是无解稳输啊…
1702297228# #告诉我，她的眼神有几层意思……
1703403661# #两个养胃方法，先转后看！
1702442161# #如果有人给你介绍了一笔生意让你赚了100万，你觉得这钱应该怎么分？
1702900981# #中国最出名的十大名山
1702386270# #开启你的大运。
1702876876# #求个下联？
1701945180# #就这三个简单的动作，能让你全身舒畅！
1703455201# #活了30年才知道，原来微波炉还有这么多用法。
1701903780# #遇到这种情况该怎么办？
1701831240# #妻子怀孕6个月生命垂危，婆婆80万偷偷卖掉婚房
1702947180# #鸡会什么呢？
1703381941# #以后物业不好好干活还催收物业费，就给他们看看这个doge
1702254120# #好熟悉呀。。dogedoge
1702435141# #大妈药店买药推玻璃门炸裂倒塌砸伤女医师该谁的责任？
1702370160# #四胞胎取名闻春听夏拾秋。最后个绞尽脑计也么的什么好的集思广益大家帮取一个
1703019720# #最详细的重装系统教程，对普通人应该够用了！
1703431997# #学会这招系统自带的手机投屏，简单设置一下就可以轻松投屏。工作中用得上，留存！
1702548121# #太牛了，一个哥们儿买下来一座荒岛，把它打造成了伊甸园。这17分钟，值。玩野外的可以看看。
1703475541# #太通透了，这些话早点听到就是赚到，谢谢哈
1702775100# #象棋大师教你几招，干净利落。学一学，关键时候露一手！
1702551301# #机动车无疑是全责，但是生命是自己的，行人在过马路的时候，更应该左右观察
1702696011# #小时候的公益广告真是百看不厌，我相信99%的人都会认真看完！
1702946281# #三年前，妻子因病成植物人，老公没有放弃治疗，三次开颅手术，日夜守护照顾，给她讲故事，唱歌，看照片，用爱唤醒了沉睡的妻子……
1702476301# #全程无尿点组装一台直列四缸发动机，非常的解压，看到最后肯定会被吸引
1702037641# #路上也没多少人，为什么要请这么多保安将自己团团围住
1703466060# #冰箱的正确使用，你了解吗？
1703821020# #你愿意用哪个部位？
1702700760# #海员虽然收入高，但说实话这工作环境你想体验一下吗……
1702345080# #假如他们同时给你敬酒，你会说句什么话镇住全场？
1702350420# #网友：刚在朋友那抱回来的，求大家取个霸气的名字！挤眼
1701926492# #不幸中的万幸！请时刻牢记，要远离转弯的大货车！
1701937500# #这个还原度真的可以了，太像我家老房子了
1701927064# #如果时间能重来，她也许不会再犯同样的错误
1703291100# #其实穷人孩子早当家真的只是家务，非常真实
1702898760# #看似简单的事情，对于你来说需要很努力的解决，加油美女赞赞
1702270861# #人才啊，这也太治愈了
1701762780# #人是怎么被毁掉的？
1703491141# #这样折纸飞机，哄孩子绝对好使……
1703645040# #男子五兽行爬行运动九年，摆脱多种疾病，起步加速奔跑一气呵成！
1701709080# #我小叔才50岁，就已经被社会淘汰了。。1，他几乎没有朋友，根本就没有人找他玩，或者吃饭喝酒什么的，他也不主动去找别人玩，平时除了上班，就是下班回来呆在家里哪都不去，不是看电视刷手机，就是’在家睡大觉。一天到晚手机都不响，如果响的话不是10086，就是骚扰电话，要么是我有事找他。。2，他从来
1703552280# #如何搬运一头巨大的石像？原来古代人就是这样搬运巨大石像的：让它行走，不管你有腿没腿允悲
1702264920# #孩子回头邪魅一笑：看好！我要点睛了！
1702379461# #盘点那些来自劳动人民的智慧。
1701739021# #女子冒雨三步一叩首，从山底到山顶，跪拜祈愿，愿你所求皆如愿。
1701834301# #确定当年武松赤手空拳打死的是这玩意儿？
1703062441# #开胃酱萝卜制作教程，入口脆爽，酸辣开胃，做法简单，马了试一试！
1703651160# #刚开始以为是青铜，后面才知道是王者。赞赞
1701765121# #这位兄弟是个人才，信手拈来
1702424581# #我是专业的！！！大哥真能吹
1702575661# #八段锦呼吸口令领练，12分钟完整教学版，值得每个人看看！
1702283681# #老祖宗传下来的，这个真厉害，百看不厌！多年来，一直没琢磨明白，机关在哪里？求解！
1702863480# #网友求助：本人姓，“班”，喜得儿子，请各位大神赐个名字吧！作揖作揖作揖
1703377141# #现在卖饼这么卷了哆啦A梦吃惊
1702013119# #按照这样撞下去，玻璃门迟早要碎
1701666088# #热水器建议大家半年清洗一次，不然内胆会产生大量水垢和污染物！吃惊
1702708201# #新一年级的小朋友家长们要注意了，如果您家孩子有勾腕，抱笔，头歪身体斜脊柱侧弯，一定要赶快纠正过来
1702358700# #听完这首歌，学会海姆立克急救法。大家都学一学，关键时候有用！
1703545381# #那些流浪狗就是这样得来的。
1701735180# #成语挑战
1703642520# #你是哪的？
1702332120# #进化的开始？
1702070341# #如此漂亮的锦鲤真不多见，祝大家天天行好运！
1701817261# #孩子混夜店，当爹的拍马赶到一顿输出？
1703748660# #有没有那种只闻其名就威震八方的名字？
1702083720# #结婚前一定要查的几个网站。借钱给人、与人有生意来往，也可以查一查。
1702917875# #刷到菩萨请不要无视，真的很灵！
1701645720# #网友：每次送她回宿舍我都会记录下来，日子过得好快呀
1702108801# #四大名著看混了是一种什么体验？
1703554741# #碰上这样的事，你会怎么做？
1702712041# #见者吉祥平安，祝大家鸿运当头……
1702033981# #玩手机是怎样毁掉孩子的？家长们都看一看！
1703001037# #我花了6800学的茶艺课，这个视频30秒讲完了允悲
1702716121# #父母给孩子花式拔牙
1703383320# #盘点全网那些满级天才少年，都太优秀了！
1703588879# #生存小技巧
1701910920# #虽然听不懂，但是感觉他们骂的应该挺难听！doge
1703470200# #一手漂亮的字始于正确的握笔姿势，正确的握笔姿势是学好书法的关键，可以提高写字速度和减少疲劳感。
1702648563# #祸不单行……
1703416501# #钥匙绳的系法，学会了吗？
1703070780# #红烧排骨好吃又简单的做法，很实用……
1703815320# #夫妻就应该是这样，没有完美只有合适，理解包容，才能走完一生。
1703643661# #刚开始随意几笔不显山露水，画到最后才知道是一幅层林尽染的艺术佳作。
1703665945# #腰椎最喜欢的动作，自己的腰痛自己解决
1702702860# #才知道语文成绩好的同学，原来是把这些阅读理解公式早早就背下来了
1702732140# #盘点港剧最经典的十首电视剧主题曲。你听过哪些？
1703399454# #用红黄蓝白四种颜料，是不是就可以调出所有颜色了呢？
1701825720# #第一次看过程，这手艺真牛！
1703286060# #张雪峰谈00后整顿职场，你要有自己的底线。
1703854155# #把傻子演成了经典，你觉得到底谁演的最好？
1703757661# #来自孩子们的心声，家长们都听听！
1701906180# #吉尼斯纪录之30秒拉裤链204次……
1702274521# #维修师傅一般不会告诉你的实用小技巧，太实用了赞
1702818060# #推荐一个这样的城市思考
1702056841# #这个男人真是拼啦，一点防护措施没有啊。
1702739220# #李白和苏轼的巅峰对决。简直就是神仙打架！
1703840220# #考考你的文采？
1703970000# #燃气灶小知识，这个太实用了。收藏备用吧！
1702802819# #饺子的九种包法，你会几种？快过年了，一起来学习包饺子吧！
1701691441# #这起码能活到200岁吧！
1703562181# #坚决不去养老院？南京88岁老教授直言，人就是要自由！你怎么看？
1703305920# #销售十句口诀，了解一下！
1703158740# #每天都温习不少绳结方法，一去露营都是死结，我是记不住，希望你们能学会！
1703728861# #董宇辉熬过你人生的至暗时刻，黎明终将到来…
1702125181# #盘点人类幼崽的顶级理解，不得不说幼崽的理解非常透彻……
1703288460# #当你学不下去的时候，就来看看这些学霸吧，让你瞬间醒悟，学习更有动力
1702357321# #邻居家起火，女孩被困，危难之际，退伍军人挺身而出！生活中平凡而伟大的英雄们。
1701727261# #15分钟140大卡！快速减脂大杀器，有氧+无氧！
1702080121# #牛身上哪个部位吃着最得劲？听牛肉摊老板给你介绍，句句都是实话
1701943621# #这条视频真的让人窒息，家长们都看看！
1703055508# #新发明
1703822700# #盘点美颜突然关闭的尴尬瞬间，最后一个真是太搞笑了
1701874561# #三只小可爱，憨萌憨萌的！哈哈哈哈
1703723941# #一波回忆！20多年前的高考生喜欢报考什么专业？“师范类的专业比较稳定一些”
1702786260# #校运动会的社死瞬间
1702456381# #居民鞋架放楼道，大爷早晚给鞋浇水。您怎么看？
1702251541# #盘点人类幼崽的顶级理解，不得不说幼崽的理解非常透彻……
1703656860# #粉丝投稿：来点有创意的名字？
1703401141# #大厨绝密不外传的去腥配方，还不赶紧保存起来？
1702096080# #网友：姓慕，给孩子取个名字，要一秒就能记住的……
1703804521# #盘点生活中无良套路，不得不说，涨知识了！！！
1702737480# #在国外超火的一段视频，饭桌上的中国功夫。
1703483246# #有一说一，他们挣钱真的好简单…悲伤
1702041181# #十次事故九次快，还有一次特别快。
1702418460# #心理素质差的六大表现。对照下，中了几条
1703679034# #盘点校运会那些离谱选手，直接拉爆其他人
1702043898# #请问他们的小孩该取什么样的名字？
1703820061# #开车遇到大货车，记住这三句话
1702796461# #这个好👍
1702102861# #有没有可能她觉得好玩？而不是故意的！
1703233801# #骑手完全可以换道躲开的……他在想什么呢？
1703739720# #路人视角下辛勤工作的主播！
1703831701# #李玫瑾教授：孩子吃不了苦，受不了一丁点挫折，做这个训练效果显著！
1703539320# #家底再厚也要接住❤️（转，欢迎转发）
1702542660# #中国小姐姐酷帅耍双截棍的视频，又一次在日推上疯转过万！
1703804520# #国外超火的回旋纸飞机折法教程，简单几步就能折好，扔出去还能飞回来！马住有空试着玩玩吧！憧憬
1703597513# #小时候最真实憧憬憧憬
1703066908# #我就想知道这怎么定责
1703152080# #这个人真的好会面试，马住
1702882981# #人类酒后迷惑行为大赏，最致命的不是酒后发疯，而是有人记录了你的发疯允悲
1703092920# #八段锦完整口令练习，很详细！每天一遍，强身健体！
1701622365# #刷到菩萨请不要无视，真的很灵！
1703725560# #一个视频几乎包括了所有的现代物理学
1703955723# #刷到菩萨请不要无视，真的很灵！
1703818980# #尴尬瞬间
1703231941# #医院手术专用梯，外卖小哥着急想乘坐，被护士当面拒绝…
