1694781192# #绝美
1698805157# #阳光信用超话阳光信用超话阳光信用超话收到每日一善。。732来给大家蹭蹭了，🉑蹭🉑🧱。实时号测试。加油你该不会还没和信用高的人互动吧舔屏梦想始终都要🈶，涨分就在一瞬间🔆和信用高的人互动有利于涨📣『带阳光信用互动一起涨涨涨毕业帽』📈📈
1689874654# #我在森林驿站帮助了东北虎，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1689950788# #祝成毅莲花楼收视长虹心心
1691393323# #“烟火人间各有遗憾。今天比昨天好这就是希望”鲜花。。成毅莲花楼cy成毅李莲花李相夷。成毅莲花楼|李莲花|李相夷|南风知我意|傅云深
1696001067# #和哥哥一起赏月🌝
1690110509# #莲花楼没有翻牌命啊
1703234640# #是草莓味的哥哥啊好爱哦好爱哦
1702436449# #铭记历史，吾辈自强！
1690775381# #人人都忆李相夷人人又负李相夷cy成毅莲花楼没有人真正的想过李相夷吧。他们怀念的不过是天下第一的李相夷！
1694649348# #我在森林驿站帮助了大象，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1691763589# #哈哈哈，我快笑疯了。哥哥你怎么能这么可爱哈哈哈哈哈基米哈基米！。。成毅莲花楼cy成毅李莲花李相夷。成毅莲花楼|李莲花|李相夷|南风知我意|傅云深
1691598092# #恭喜成毅，你一直值得
1690774645# #将在07月31日14时00分空降电视剧莲花楼超话超话啦我已成功预约，快来预约一起嗨聊莲花楼失莲不断联吧&gt;&gt;&gt;
1701675871# #支持支持
1694998678# #善。。以热爱祖国为荣、以危害祖国为耻。以服务人民为荣、以背离人民为耻。以崇尚科学为荣、以愚昧无知为耻。以辛勤劳动为荣、以好逸恶劳为耻。以团结互助为荣、以损人利己为耻。以诚实守信为荣、以见利忘义为耻。以遵纪守法为荣、以违法乱纪为耻。以艰苦奋斗为荣、以骄奢淫逸为耻。
1695657920# #善。。以热爱祖国为荣、以危害祖国为耻。以服务人民为荣、以背离人民为耻。以崇尚科学为荣、以愚昧无知为耻。以辛勤劳动为荣、以好逸恶劳为耻。以团结互助为荣、以损人利己为耻。以诚实守信为荣、以见利忘义为耻。以遵纪守法为荣、以违法乱纪为耻。以艰苦奋斗为荣、以骄奢淫逸为耻。
1703773328# #哇哇哇
1690963244# #来了
1695996745# #哥哥，中秋快乐呀，发烧好些了吗？
1690110713# #莲花楼相夷太师剑真帅
1694604973# #哇，哥哥我这信号好
1691911575# #我在森林驿站帮助了东北虎，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1699200140# #不见不散
1690108583# #莲花楼神医你来了
1689482327# #───✨—🌈•ᴗ•—🔸成毅────。。是你才让阳光落下来。。你将我的世界。。涂抹上色彩。。成毅莲花楼cy成毅李莲花李相夷。成毅莲花楼|李莲花|李相夷|南风知我意|傅云深
1696767059# #期待期待
1697068270# #善。。与其羡慕他人智慧，不如自己勤奋补拙；与其羡慕他人优秀，不如自己奋斗不止；与其羡慕他人坚强，不如自己百炼成钢；与其羡慕他人成功，不如自己厚积薄发。
1690160134# #空谷幽兰无人问，湖心岁月如止水。入死出生人笑痴，盼得几时风拂临。。。成毅莲花楼cy成毅李莲花李相夷。成毅莲花楼|李莲花|李相夷|南风知我意|傅云深
1690860996# #成毅莲花楼召集江湖志cy成毅李莲花李相夷。。他还要路过四月桃林，一顾人间惊鸿，领略四季更迭，最后带一身干净的气息，停在你这里心
1690097695# #今晚不见不散心
1690109605# #莲花楼哥哥吃晚饭了吗？
1690426058# #妖精七七1983的红包哇！好运来袭！我抽中了的现金红包，你也快来试试手气吧，比比谁抢得多！
1696152291# #祝祖国繁荣昌盛
1690110209# #莲花楼哇，根本看不到允悲
1695349939# #恭喜哥哥解锁新身份
1704038806# #心
1691644053# #怎么办我舍不得看到大结局，心疼我李莲花！从此世上再无李相夷泪泪。。成毅莲花楼cy成毅李莲花李相夷。成毅莲花楼|李莲花|李相夷|南风知我意|傅云深
1690109750# #莲花楼哥哥李莲花的马车驾驶感怎么样？
1688982304# #我在森林驿站帮助了雪豹，掉落一块拼图碎片，据说集齐有奖励呦。熊猫守护者们，快加入驿站一起玩吧！
1690109778# #莲花楼哥哥是去吃饭了吗？都不说话
1690640207# #哥哥在我这里笑而不语
1695253121# #善。。以热爱祖国为荣、以危害祖国为耻。以服务人民为荣、以背离人民为耻。以崇尚科学为荣、以愚昧无知为耻。以辛勤劳动为荣、以好逸恶劳为耻。以团结互助为荣、以损人利己为耻。以诚实守信为荣、以见利忘义为耻。以遵纪守法为荣、以违法乱纪为耻。以艰苦奋斗为荣、以骄奢淫逸为耻。
1690110452# #莲花楼
1693020791# #善。。善良是职责，要用一生去完成．善良是鲜花，要用清水去浇灌．善良是烛光，要用心火去点燃．善良是珍珠，要用道德去购买。
1692688146# #我在森林驿站帮助了猕猴，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1703414003# #我推荐《莲花楼》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1696634694# #善。。人生从来没有真正的绝境。无论遭受多少艰辛，无论经历多少苦难，只要一个人的心中还怀着一粒信念的种子，那么总有一天，他就能走出困境，让生命重新开花结果。
1701666224# #微博会员有特权我正在使用可爱的“两不疑”微博被赞动效～爱我的小伙伴快来我的微博点赞打call吧！
1690110069# #莲花楼想看李莲花的房车
1694699159# #属实是沪上小甜心没错了。小傅总爱你爱你爱你爱你
1695910931# #哇哇哇，哥哥哥，想你了爱你爱你爱你
1694954038# #小傅总你来了
1690109949# #莲花楼哥哥腰伤都好了吗？
1691319516# #哥，今晚央八不见不散心心
1690110419# #莲花楼哥哥是又卡了？
1691630334# #我投给了“8~10分（剧情连贯，人物丰满，案件有趣）”~
1692685020# #goodgoodgood
1690468929# #我抱走了哈哈哈
1694522146# #哥哥，好想来看看你心
1694683963# #优秀青年演员成毅
1697597291# #代言人成毅好帅心心心
1696294762# #又到了桂花飘香的季节了心
1702897938# #贵公子成毅哥哥给你小心心
1689935429# # 莲花楼cy成毅李莲花李相夷。。快快来吧，等你好久了！！！鲜花鲜花鲜花鲜花鲜花。一起期待成毅莲花楼，期待成毅李莲花李相夷！
1689929587# #善。。以热爱祖国为荣、以危害祖国为耻。以服务人民为荣、以背离人民为耻。以崇尚科学为荣、以愚昧无知为耻。以辛勤劳动为荣、以好逸恶劳为耻。以团结互助为荣、以损人利己为耻。以诚实守信为荣、以见利忘义为耻。以遵纪守法为荣、以违法乱纪为耻。以艰苦奋斗为荣、以骄奢淫逸为耻。
1692687941# #保存保存
1696900291# #善。。不要吝啬你的笑容，不要隐藏你的善良，记住卡耐基这一段话，你将尽享完美丰富的人生——“人的生命只有一次，任何能够奉献出来的好的东西和善的行为，我们都应该现在去做，因为生命只有一次”对身边好的、不好的人微笑、以礼相待，尽量避免发生任何的正面冲突。少些埋怨，多些感恩，人生会更美好
1704125383# #爱你
1692107431# #哈基米哥哥
1694484410# #终于等来风了心
1691997580# #成毅李莲花李相夷表情包大赛成毅莲花楼。。哈基米哈基米，太可爱抱一抱抱一抱抱一抱抱一抱。微风微风微风微风
1690716624# #一定要扬州慢才能解毒吗我可以用四川麻的，莲花哥哥先省省。笑而不语
1691047308# #善。。爱国、敬业、诚信、友善。善不可不弘，恶不可不去。善心人人有，快乐你我他。善念养善心，善心生善念。德不积不厚，善不行不成。人往高处走，善在心中留。至宝不常现，至善不常有。行莫于恭敬，善莫于用心。由善入恶易，由恶入善难。心中不可少善，行事不可无善。
1691251111# #莲花楼丧尸案cy成毅莲花楼。。确实精彩，一环扣一环。节奏紧凑，就是有点吓人啊允悲。。
1691281484# #善微风。。在社会主义建设时期，爱国主义更多的不是表现为赴汤蹈火，壮怀激烈，而是表现为奉公守法，敬业爱岗；表现为维护祖国统一，反对分裂祖国；表现为各族人民团结互相，为构建社会主义和谐社会，实现中华民族的伟大复兴而贡献智慧和力量。
1697205973# #完美的消防之旅，小朋友见到了心心念念一个星期的消防员叔叔👩🏻‍🚒，非常的开心耶耶
1699161993# #不见不散，淇淇心
1694746259# #恭喜哥哥喜提新身份
1689950814# #期待哥哥的相夷小花抱一抱抱一抱抱一抱
1695366774# #我在森林驿站帮助了猕猴，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1696127201# #祝福祖国繁荣富强，生日快乐！
1690716736# #一定要扬州慢才能解毒吗四川串串也可以的，吃完辣的毒立马解哈哈
1690007239# #🍓⋅.•🍓🍓⋅.•🍓。⋆⠈🌱🌱..*.⋆⠈🌱🌱..*.。。你是一望无际的喜欢，搅动我平静的生活。。。成毅莲花楼cy成毅李莲花李相夷。成毅莲花楼|李莲花|李相夷|南风知我意|傅云深
1690702220# #哥哥，我有四川晒笑cry笑cry笑cry
1696157879# #我在森林驿站帮助了东北虎，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1690198967# #不要打了，我楼塌了笑cry笑cry笑cry
1690695346# #我在森林驿站帮助了大象，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1695858388# #哥哥，哥哥，你怎么这么谷欠啊色色色
1700222383# #我想要成毅的签名照给力给力给力
1690361278# #我爱你，如鲸向海，鸟投林不可避免，退无可退。。成毅莲花楼cy成毅李莲花李相夷。成毅莲花楼|李莲花|李相夷|南风知我意|傅云深
1697517680# #再见了傅云深心心
1695607934# #川渝人没法拒绝的花花哇哇
1702915464# #心心心心心
1701859584# #哥，你是认真的吗笑cry
1702525956# #期待成毅抱一抱
1696381375# #我们要想心系祖国就一定要确立一个远大的志向，树立和培育正确的理想信念，对自己的未来充满希望，要立志为自己的未来而努力奋斗，把祖国建设成为物质文明，政治文明，精神文明的国家。
1693881571# #哇哇哇，哥哥你真帅爱你爱你爱你
1690775610# #等你哦
1691763390# #哥哥，你跳的真不错哈哈哈哈哈哈哈哈
1697717385# #哇塞，哇塞！！哥哥你好帅抱一抱抱一抱抱一抱抱一抱
1699411303# #哥哥
1694511040# #还有半个小时傅总就来了
1701786130# #未来可期
1692706563# #哥哥，这是你给我们的七夕礼物吗心心
1702972859# #愿大家都平平安安🙏
1690110376# #莲花楼探案好玩吗？
1704039130# #希望2024我们一起越来越好心
1696553762# #像一群小精灵一样心心
1692861818# #划划船，喂喂鱼，小朋友很高兴😊
1690250760# #我在森林驿站帮助了雪豹，掉落一块拼图碎片，据说集齐有奖励呦。熊猫守护者们，快加入驿站一起玩吧！
1704012819# #晚上见，哥哥心
1698124804# #哥哥，哥哥，哥哥
1694871186# #转发微博
1694440942# #傅总你终于来了，啊啊啊啊啊
1689935343# # 莲花楼cy成毅李莲花李相夷。。期待成毅莲花楼，期待李相夷李莲花！！心心心。一起期待成毅莲花楼，期待成毅李莲花李相夷！
1694264920# #我在森林驿站帮助了小熊猫，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1697641087# #青春是用来浪费用来做梦用来努力的，你应该用这样的时光做你想做的事情，变成你想变成的人，哪怕这很难，哪怕会失败。因为不管怎么样，我都不想要遗憾，因为我不想老了之后回想起来，没有一个回忆起来能让我嘴角上扬的青春。比起失败，我更害怕遗憾。
1690200056# #我哥楼要塌了允悲
1694867214# #要疯了，啊啊啊啊啊好爱哦好爱哦好爱哦
1690110557# #莲花楼哥哥回家吃黑猪肉了吗？只吃猪草的猪
1695292196# #哥哥你真可爱心心
1690110226# #莲花楼能被翻吗？
1690110403# #莲花楼哥哥眼神怎么样？
1690108645# #莲花楼翻我翻我，吃晚饭了吗？莲花哥哥
1693159013# #我在森林驿站帮助了东北虎，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1694138820# #哥哥，中秋快乐啊心
1690007104# #🍓⋅.•🍓🍓⋅.•🍓。⋆⠈🌱🌱..*.⋆⠈🌱🌱..*.。。亲爱的，你是我得宝，落笔时，才发现纸上写满了对你的想念。。。成毅莲花楼cy成毅李莲花李相夷。成毅莲花楼|李莲花|李相夷|南风知我意|傅云深
1695443057# #茉莉花开了，满屋飘香。爱了爱了爱你
1690359412# #成毅说不会因为拍戏受伤而畏惧打戏🥝成毅理解女演员拍戏的不易这也该轮到我了吧抱一抱抱一抱
1694881110# #又是昊子比人幸福的一天好爱哦好爱哦
1695485681# #善。。在社会主义建设时期，爱国主义更多的不是表现为赴汤蹈火，壮怀激烈，而是表现为奉公守法，敬业爱岗；表现为维护祖国统一，反对分裂祖国；表现为各族人民团结互相，为构建社会主义和谐社会，实现中华民族的伟大复兴而贡献智慧和力量。
1690091237# #好的，楼主哥哥哇
1693020539# #期待期待好爱哦好爱哦
1690159744# #莲花楼首播反响cy成毅原声台词。。人在江湖如浪涛，往事随风浪飘飘。醉眼迷离一声笑，剑挑巨浪拍云霄！。。莲花楼追起来！！抱一抱抱一抱。。快来分享果子们的观剧感想！全方位安利成毅！安利《莲花楼》！。
1690110291# #莲花楼哥哥翻牌
1691250540# #莲花楼丧尸案cy成毅莲花楼和小朋友一起看的，小朋友全程靠着我捂眼看完的笑cry笑cry
1690109640# #莲花楼
1695304548# #我那帅气的长腿哥哥
1693483728# #啊啊啊啊，哈基米哥哥上线心心
1701015481# #爱你爱你爱你
1689611594# #善。。党的十八大提出，倡导富强、民主、文明、和谐，倡导自由、平等、公正、法治，倡导爱国、敬业、诚信、友善，积极培育和践行社会主义核心价值观。富强、民主、文明、和谐是国家层面的价值目标，自由、平等、公正、法治是社会层面的价值取向，爱国、敬业、诚信、友善是公民个人层面的价值准则。
1691997650# #成毅李莲花李相夷表情包大赛成毅莲花楼。哥啊，你真是太可爱了爱你爱你爱你爱你
1691393163# #ᴵʳᵘⁿᵗᵒʸᵒᵘʷⁱᵗʰᵗʰᵉˢᵗᵃʳˢᵃⁿᵈᵗʰᵉˢᵉᵃ,ᵃˡᵒⁿᵍʷⁱᵗʰᵗʰᵉᵐᵒᵒⁿˡⁱᵍʰᵗ.。我和星辰大海一起奔向你连同月光万里爱你。。成毅莲花楼cy成毅李莲花李相夷。成毅莲花楼|李莲花|李相夷|南风知我意|傅云深
1695780569# #雷朋亚太区品牌代言人成毅恭喜成毅送花花送花花送花花
1692707216# #七夕快乐哥哥
1695208489# #不见不散哦，哥哥心
1690452342# #莲花楼央八定档cy成毅举荷叶下班。。莲花楼定档央视八大家冲啊！！哥哥也太可爱了吧爱你爱你爱你
1690108891# #莲花楼吃了晚饭准备等着追剧了吗？
1695780461# #恭喜成毅，帅气哥哥
1690987703# #莲花楼我的评分：星星星星星星星星星星。超级好看！！悬疑探案，给你一个不同的武侠世界！绝代风华，天之骄子李相夷！！
1689497687# #遇见你，爱意汹涌，看世间万物都怦然心动。。。───✨—🌈•ᴗ•—🔸成毅────。。成毅莲花楼cy成毅李莲花李相夷。成毅莲花楼|李莲花|李相夷|南风知我意|傅云深
1693232698# #从前那样也好，现在这样也好
1692258461# #我在森林驿站帮助了大象，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1694995812# #好东西要大家一起看哈哈哈哈哈哈
1704038876# #新年快乐！！哥哥爱你爱你
1703139088# #一起期待成毅心心
1697283893# #晚上好啊，成毅
1691981644# #哥哥你来了
1689614802# #
1690879543# #我在森林驿站帮助了雪豹，掉落一块拼图碎片，据说集齐有奖励呦。熊猫守护者们，快加入驿站一起玩吧！
1697950802# #我在森林驿站帮助了大象，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1690452429# #哥哥吃晚饭了没？
1696001095# #天涯共此时月亮
1699012878# #成毅的，想要成毅的心心心
1689389870# #善。。勿起不善之念,勿阅不善之书,勿听不善之乐,勿吐不善之语,勿为不善之事,勿近不善之人,勿学不善之法,勿入不善之境。
1694839975# #恭迎楼主好爱哦好爱哦好爱哦
1689482410# #我的胖丽丽开花了，还以为会不对版呢鼓掌鼓掌鼓掌
1695014077# #牢记历史吾辈自强
1693020870# #我在森林驿站帮助了猕猴，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1690788941# #吃的咸鸭蛋
1690268580# #哥，真是有点功夫在身上的呢
1688867903# #善善。。善良是一种修养，善待他人就是善待自己，要想得到别人的爱，首先要学会爱别人，一个善良的人一定是温暖的人，乐于助人的人，懂得珍惜和感恩的人。
1690109672# #莲花楼说说话吧
1690254895# #就是说说哥，你真的很帅啊抱一抱抱一抱抱一抱
1695014119# #牢记历史，吾辈自强
1690963129# #善。。党的十八大提出，倡导富强、民主、文明、和谐，倡导自由、平等、公正、法治，倡导爱国、敬业、诚信、友善，积极培育和践行社会主义核心价值观。富强、民主、文明、和谐是国家层面的价值目标，自由、平等、公正、法治是社会层面的价值取向，爱国、敬业、诚信、友善是公民个人层面的价值准则。
1691591925# #成毅你值得心心心
1692899981# #善。。善良是一种修养，善待他人就是善待自己，要想得到别人的爱，首先要学会爱别人，一个善良的人一定是温暖的人，乐于助人的人，懂得珍惜和感恩的人。
1692243051# #哥哥七夕快乐
1697028926# #你是懂拿捏的成毅哇哇
1688951611# #善善。。社会主义核心价值体系是“兴国之魂”，建设社会主义核心价值体系是推动文化大发展大繁荣的根本任务。提炼和概括出简明扼要、便于传播践行的社会主义核心价值观，对于建设社会主义核心价值体系具有重要意义。
1697974684# #哥，晚上好啊
1692951956# #风很温柔，水很清澈，你很甜。心心心心心心心。。❥🅻︎🅾︎🆅🅸🅽🅶❥🆈🅾︎🆄❥₅₁₇。╰━🌸🌸🌸🌸🌸━╯。成毅莲花楼cy成毅李莲花李相夷cy莲花楼。成毅莲花楼|李莲花|李相夷|南风知我意|傅云深
1691141279# #我在森林驿站帮助了东北虎，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1692855721# #理解成毅为什么是电子哈基米了cy成毅。。因为他实在是太可爱了爱你爱你爱你
1696151115# #阳光信用超话阳光信用超话收到每日一善。。732来给大家蹭蹭了，🉑蹭🉑🧱。实时号测试。加油你该不会还没和信用高的人互动吧舔屏梦想始终都要🈶，涨分就在一瞬间🔆和信用高的人互动有利于涨📣『带阳光信用互动一起涨涨涨毕业帽』📈📈
