1700967382# #分享专辑于贞《啦啦啦》
1703169955# #我的微博播报叮！2023我的微博阅读量突破158.8万！2024与我一起用超光影记录超影像！速来
1695910577# #这剧录得隐形眼镜差点给我哭掉(不是)允悲【卷发本微博…再揪五位小伙伴每人100元现金】原创不易…快来收听呀！！doge
1689601628# #我不信。笑cry笑cry笑cry鼓掌
1693576356# #娃送花花出息了
1696914202# #于贞首专造梦日记巨好听羞嗒嗒开学季
1688641485# #轉發微博
1704039372# #于贞Ingrita超话好可爱！喜欢老婆的笑笑而不语
1689234032# #艾福杰尼/派克特/TangoZ《4U(为你)(Live)》
1688849058# #轉發微博
1695652238# #好贵苦涩
1703426810# #笑cry笑cry笑cry笑cry笑cry笑死我了
1701535185# #轉發微博
1689304043# #送花花送花花送花花送花花送花花送花花送花花送花花送花花送花花送花花送花花送花花送花花
1703494449# #轉發微博
1699109315# #三首新歌live现场来啦打call于贞2023「奇迹」演唱会倒计时14天羞嗒嗒一起来现场听新歌吧羞嗒嗒于贞首专造梦日记于贞奇迹演唱会官宣
1692402501# #送花花
1694949168# #求关注厉害
1689604318# #轉發微博
1704002474# #轉發微博
1704812327# #轉發微博
1693056715# #哇哇哇哇哇哇哇
1687840408# #鱷魚莫言看完了，個人感覺一般失望，若不是莫言寫的，不會看挖鼻
1692617998# #朝阳打歌中心舞台设计很有沉浸感～眼妆的小巧思大家发现了嘛喵喵reaction
1688979593# #笑cry
1697279056# #中求关注
1697673644# #轉發微博
1696929003# #轉發微博
1688697903# #教资报名已报名送花花
1688815899# #凡人修仙传什么时候更动漫失望
1687879478# #轉發微博
1697630202# #今晚19:50锁定《华语音乐打歌中心》开学季
1704089505# #轉發微博
1703251795# #轉發微博
1692117724# #轉發微博
1695994512# #生日快乐求关注
1692673209# #轉發微博
1703150574# #轉發微博
1696898488# #于贞《造梦女》太好听了，每一首打call打call打call打call开学季开学季开学季开学季
1704812790# #成龙加盟河南春晚哇哦！欢乐成龙大哥老师爱你
1702728979# #笑而不语
1690524656# #轉發微博
1695994339# #年少且轻狂，意行具放荡。求关注送花花
1689344328# #轉發微博
1704002232# #轉發微博
1695541197# #歌词本求关注！送我(不是
1695723564# #求关注求关注求关注求关注求关注
1696914188# #于贞首专造梦日记羞嗒嗒听起来！！！
1695791920# #同意喵喵
1700821051# #来我们学校支教，求求了。好喜欢求关注
1702190546# #看完了！好看的好喜欢
1701060989# #帅好喜欢
1689587279# #富丽堂皇送花花送花花送花花
1693583236# #轉發微博
1696899696# #于贞《犯错》
1697438999# #10.18晚上19:50新专打歌舞台！！！哇哇于贞首专造梦日记于贞奇迹演唱会官宣
1689234135# #嘿嘿，长高一厘米送花花
1693203412# #于贞气氛组俺老婆超级社牛哇哇哇
1692587627# #于贞Ingrita超话谢谢友友们的物料，小卡，丝带，透扇都很好看，你们真的巨棒，土豆粉有你们真了不起送花花送花花送花花送花花送花花送花花送花花
1687698996# #于贞Ingrita超话啊啊啊啊啊啊啊啊啊我老婆好会写好会唱求关注求关注求关注求关注哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇
1699071823# #轉發微博
1696417452# #赫人喵喵
1703744160# #轉發微博
1697198896# #轉發微博
1701051642# #饿苦涩
1696896907# #表扬好喜欢好喜欢好喜欢
1701520085# #老婆你好美呀神里绫人
1688810805# #轉發微博
1690049977# #
1702472819# #读书和不读书的区别是什么没有区别！我读不读书都是满肚子的不合时宜(纯纯的大傻子。跪了
1692708456# #轉發微博
1689406706# #英雄收到
1696767759# #轉發微博
1701530699# #轉發微博
1702302106# #轉發微博
1697104976# #哇好喜欢
1703080945# #轉發微博
1688141002# #7月你好！！！放暑假了笑而不语
1694860293# #教资我今天至少写了六千字苦涩
1696290681# #哇求关注求关注求关注求关注舔屏舔屏舔屏舔屏舔屏色色色色色想要
1703577071# #用五年多了。就是一点不坏苦涩
1704286061# #抽我！
1704364146# #轉發微博
1701610094# #轉發微博
1704182114# #笑cry笑cry笑cry
1696896382# #于贞Ingrita超话也太好听了吧！！！！呜呜呜呜呜呜呜呜呜！我老婆太厉害了吧！！！求关注送花花色舔屏爱你抱一抱开学季打call心鲜花好喜欢羞嗒嗒
1693539423# #轉發微博
1697336484# #于贞Ingrita超话我猜演唱会大概率在北京！(瞎猜🙊
1699444173# #轉發微博
1704451424# #红红火火恍恍惚惚终于被宠幸了！感谢金主
1695564925# #太真实了喵喵，有些注释连篇累牍，读完以后，正文都忘记是什么了。允悲
1692402922# #分享图片
1689045813# #好收到
1703811937# #2023坚持最久的事睡觉，吃饭，行走，穿衣，住房子！笑而不语
1688800885# #轉發微博
1687782450# #轉發微博
1699409969# #教资成绩通过开学季！俺真厉害！
1692258544# #轉發微博
1703133732# #轉發微博
1695734447# #孙犁好有钱，大部头的书说买就买，羡慕死我了。这就是大作家的实力啊。俺还羡慕他活的长，从1913年一直活到2002年。羡慕啊喵喵
1693051278# #允悲允悲允悲允悲允悲允悲
1695556755# #笑cry笑cry笑cry
1693670207# #送花花
1687707431# #求关注哇
1692593321# #轉發微博
1688905270# #抽我送花花送花花送花花
1694068722# #轉發微博
1700895578# #轉發微博
1696218710# #没进去！遥遥看看曹丞相就可以了。喵喵
1699055201# #天天开心！身体健康！转专业成功！鲜花鲜花鲜花蛋糕蛋糕蛋糕礼物礼物礼物
1699443751# #轉發微博
1703654064# #轉發微博
1689680166# #宋雨琦因说了中国台湾被韩网热议宋雨琦不认识，但我要去关注她。收到
1695833147# #太帅了，看我的青竹蜂云剑求关注求关注求关注求关注求关注凡人修仙传超话才拿到的周边！
1689159022# #抽我喵喵
1697278313# #期待求关注
1701928417# #轉發微博
1688439790# #轉發微博
1690544748# #轉發微博
1692855910# #喵喵好家伙
1691759488# #中国已成为全球生育率最低的国家之一太好了！就是，不生。喵喵
1695290617# #求关注允悲想吃收到
1689224233# #经常看书和不看书有什么区别没什么区别，我还是个总不合时宜的呆子失望
1696469087# #苦涩
1697441081# #笑cry笑cry笑cry
1699972134# #轉發微博
1700145928# #轉發微博
1700724735# #于贞Ingrita超话得到了好喜欢！土豆老婆类专辑和小土豆好喜欢！
1695998452# #轉發微博
1688641131# #朱一龙演技何非俺觉得都不能用渣男来形容他了。真是纯畜生啊！喵喵朱一龙演技封神送花花！！
1688367551# #啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊送花花送花花送花花送花花送花花
1702900591# #續資質通鑒長編鎮州言契丹輿北漢兵皆遁去。(笑而不语自導自演罷了。唉！我勞師興眾的來！唉！我一亳未取馬上跳走！就是玩(„ಡωಡ„)栓Q
1703666044# #苦涩
1691633769# #太好看了，梦中情人。送花花哇羞嗒嗒苏轼超话
1694246562# #确实像汪涵喵喵
1691887150# #哇送花花我我我，抽我
1696118958# #色舔屏色舔屏色色舔屏色色舔屏色老婆
1689946283# #吸吸吸吸吸吸吸吸吸吸吸吸吸吸吸吸吸吸送花花哇
1700971282# #轉發微博
1704201409# #买书如山倒，读书如抽丝。不知不觉八年了，存有实体书506种老师爱你，我真富有！！！酷孔夫子旧书网
1699086057# #轉發微博
1700145428# #轉發微博
1694126580# #哇送花花哇送花花哇送花花哇送花花
1701430773# #于贞Ingrita超话谢谢网易云音乐的认证神里绫人
1698299444# #抽我
1689581088# #送花花
1700306420# #老婆演出顺利！！！求关注
1695624155# #鲁迅超话先生诞辰，买先生所译书《死魂灵》，怀念先生求关注
1703900808# #手机萧炎抽我
1694001339# #抽我喵喵
1691582274# #好嘞送花花
1692272081# #张若昀庆余年2坐轮椅路透什么时候能播？真的好期待。
1704777984# #《我想我只是我》为何为何。在每一次梦境。寻找真切跳动的心灵。那原原本本的我。没有千丝万缕的负累。能肆意畅快的前行
1700961925# #好喜欢
1695830528# #听起来送花花送花花送花花送花花送花花送花花
1702264778# #轉發微博
1703470023# #轉發微博
1689412980# #轉發微博
1704029724# #抱抱老婆
1698752639# #轉發微博
1692402481# #海河与美食送花花
1694062102# #轉發微博
1703580653# #笑cry笑cry笑cry
1692510510# #不仅穿越时空，还一起穿越雨林🐒胡梦周说于贞像马达加斯加的猴子朝阳打歌中心
1693621802# #轉發微博
1702900210# #要老婆亲亲才能暖和。好喜欢
1688652478# #轉發微博
1699346913# #抽我
1700967688# #于贞《SingWithMe》
1695733837# #好乖送花花
1688851280# #送花花送花花送花花送花花送花花
1690471225# #轉發微博
1697714403# #轉發微博
1701336105# #嘿嘿嘿😈笑而不语
1703339484# #李守節你真是個大孝子笑cry，讓弟弟認自己當爸爸。你爹李筠赴火而死是真忠義，你是真不當人呢笑而不语！续资质通鉴长编
1696687644# #轉發微博
1692398925# #送花花
1689395668# #允悲允悲允悲允悲允悲
1699253428# #轉發微博
1697195912# #bilibili食贫道的视频
1695568386# #这些店家是真敢要啊！这么破的一册书这么贵！俺不配看👀悲伤
1704038644# #于贞Ingrita超话新年好呀，老婆！要和老婆长长久久！接下来的每一天都热爱土豆老婆哇哇哇
1688997616# #简单烧烤送花花！吃吃吃
1691594697# #送花花
1693781625# #轉發微博
1695709985# #轉發微博
1695475750# #轉發微博
1695432081# #凡人修仙传超话俺也是大乘期了喵喵
1690239194# #轉發微博
1697439007# #轉發微博
1693989512# #轉發微博
1697283012# #轉發微博
1696578342# #送花花
1691152098# #欧阳耀莹《戒不掉(原声版)》
1691721518# #送花花
1689304095# #轉發微博
1701335982# #于贞Ingrita超话俺類小土豆也有家啦求关注好喜欢！！！
1697327511# #😳太远去不了的老板！我还要上班苦涩
1699621977# #依旧很贵！苦涩苦涩苦涩俺不配
1695827907# #送花花送花花送花花送花花送花花送花花
1704116040# #轉發微博
1691934127# #轉發微博
1701692119# #哇😯！！！
1695728029# #我承认对孙犁先生认识过于狭隘，学习文学史的时候只知其人。对其作品并不了解，认为其文字粗糙，不可读！今读其《野味读书》，方知，先生读书广博，学问深厚。实我之楷模！求关注求关注求关注求关注求关注求关注
1702137397# #轉發微博
1701254708# #轉發微博
1687707394# #轉發微博
1695810022# #送花花送花花送花花送花花送花花送花花送花花送花花送花花送花花送花花送花花送花花
1691494749# #杨千嬅《杨千桦(再生版)》个性电台）
1688098783# #谢谢我奶茶姐姐在最关键时无条件来帮助我，弟弟都记在心里了，2004年因《天下无贼》结缘，戏里演我姐、戏外你就是我姐，电影已经过去19年了，虽然不怎么常见但彼此牵挂，世界在变，我和姐的情谊从没变，不管多久我永远都是你那个又傻又可爱的傻根弟弟抱抱
1696899015# #于贞《Rogue(崩坏)》
1703158625# #不知道老师好
1693583223# #轉發微博
1694529940# #好家伙，我也很震惊。喵喵
1695087442# #求关注可耐老头嘻嘻
1696854071# #轉發微博
1700306260# #轉發微博
1696899242# #于贞《破解爱》
1689210014# #轉發微博
1704720380# #老师爱你新书！《李贺全集》《刘禹锡诗全集》get老师爱你
1696897930# #于贞《谎言雪山》
1688293066# #期待老婆送花花
1691490154# #抽我收到
1703465641# #老婆抱一抱
1689587355# #好长！！！
1688568076# #轉發微博
1704001922# #轉發微博
1700215178# #抽我
1688267955# #嘿嘿！俺是第一名喵喵哇求关注
1692586769# #于贞Ingrita超话喵喵
1696226818# #坐反车了，过了一大半才发现！！！(失望我是笨蛋)！只能坐高铁回家了，提前结束了行程！喵喵喵喵喵喵
1687699116# #轉發微博
1700393524# #轉發微博
1688141689# #轉發微博
1693123631# #轉發微博
1692250276# #轉發微博
1687975669# #轉發微博
1697869605# #笑cry笑cry笑cry
1699346268# #《群書治要譯註》已入我彀中😁
1696294540# #羡慕了求关注
1702780007# #轉發微博
1701474016# #轉發微博
1697791856# #笑cry笑cry笑cry
1690595240# #轉發微博
1695734239# #越读书越觉得自己浅薄，是个白丁。想买大量的书来充实自己，可惜欲购之书个个要价不菲，俺是个穷光蛋，买不起，无可奈何苦涩悲伤！
1704286224# #轉發微博
1691935220# #不得不承认俺是个胆小鬼。晚上睡觉都不敢关灯。俺怕鬼吃了我。失望
1699611537# #老婆好喜欢好喜欢好喜欢
1689945152# #轉發微博
1698144299# #轉發微博
1689097487# #曾少年连夜看了四集。确实蛮好看的。但是这人物关系也忒乱了，难受死我了失望喵喵。
1699015087# #苦涩苦涩苦涩
1704626829# #一树枯叶在灯红酒绿的映照下也似一树繁花
1690274841# #！？
1699171283# #轉發微博
1692588463# #轉發微博
1703255503# #笑cry笑cry笑cry
1688392252# #轉發微博
1690205162# #醉雪《无惧(TVSize)》（《星辰变》第五季动画片头曲）
1688998191# #送花花
1701868403# #《明别集从刊》
1703392340# #12月30日，我们赛场见打call
1695710095# #😯哇！
1694304799# #你不是真正的快乐🙂！因为你当天还是要工作！没错这里面有我苦涩！教师节快乐
1699791244# #轉發微博
1693617805# #轉發微博
1692257145# #微博才是文字狱的集大成者。清朝文字狱屁都不是。喵喵喵喵喵喵dogedogedoge
1691188318# #轉發微博
1704194522# #轉發微博
1695214831# #切勿做只有眼前利益，没有任何原则的人一一自戒喵喵
1693965281# #轉發微博
1700215130# #期待了好喜欢
1700902531# #轉發微博
1700462529# #轉發微博
1695637126# #求关注求关注求关注快开通，迫不及待求关注求关注求关注！俺大荥阳雄起喵喵
1699015512# #沧元图动画超话我类梅元知泪泪泪泪泪
1702960914# #愿平安！
1701078884# #轉發微博
1693975877# #天津欢乐谷很好玩哇
1704812531# #繁花大结局还没看完，友友们结局是啥呀？
1689049144# #抽我收到收到
1694082368# #抽我！！！求赞哇送花花
1689132242# #TangoZ超话回放为什么会这样？没把我笑死。允悲
1690545601# #笑cry笑cry笑cry
1688825334# #轉發微博
1688806301# #送花花送花花送花花
1699697800# #轉發微博
1699416405# #轉發微博
1697278470# #轉發微博
1697198862# #《长鸣》默澍。。核辐射警报器在福岛长鸣。日本政府却在粉饰太平。不断回迁的民众不知情。儿童，青年，老人。渴望在这片土地上。让幸福的生活复兴。布满伽马射线的土壤和田地上。将生活着怎样的生灵。热泪和谎言。同时映射出财阀政客眼中的血腥。我将向揭示真相的老人。投以怎样的致敬。用来弥补
1704002082# #轉發微博
1693357769# #轉發微博
1699603666# #轉發微博
1689430325# #去者日以疏，来者日以亲。。昔为鸳与鸯，今为参与商。。收到
1700352241# #笑cry笑cry笑cry
1700326997# #好会拍好喜欢
1695289487# #不懂目录有什么好看的？国家图书馆出版了好多目录书！我估计也只有那些专修目录学的大学教授和学生才会看。买的还那么贵哼
1703169860# #我的微博播报嘿嘿！我最爱的超话是于贞Ingrita超话，在这里和大家一起创造的美好回忆，让新的一年充满温暖和力量，2024与我一起用超光影记录超影像！来
1696898177# #于贞Ingrita超话老婆，你是不是去旅游了，或者看什么书了！分享分享呗好喜欢好喜欢好喜欢好喜欢好喜欢羞嗒嗒羞嗒嗒羞嗒嗒羞嗒嗒羞嗒嗒
1692878580# #轉發微博
1699005199# #轉發微博
1698402631# #笑cry笑cry笑cry笑cry笑cry笑cry苦涩
1702549134# #轉發微博
1689242257# #允悲允悲允悲
1692948798# #轉發微博
1698110226# #轉發微博
1704038479# #新年快乐友友们！谢谢你们的陪伴！爱你亲亲老师爱你
1692403067# #分享图片
1696896994# #于贞《给长大的你》
1704155428# #轉發微博
1693148653# #轉發微博
1704199659# #已看！巨好看👀
