1691993556# #一上线就看见这么多好东西，感谢女菩萨。
1697699955# #女孩找到了蜡烛。如果6点多那张照片是她，那她父亲回去找时她可能还没有被卷入海里，只是找错地方加光线差没有被看见。她太乖了一直站在海边等着，然后她摔倒了，天黑遇水也可能会失温，一点点被带入海中。希望立法对失职疏忽导致儿童死亡的照看人追究刑责。
1701934791# #学会了
1702734187# #转发微博
1693828468# #笑cry
1691072369# #转发微博
1701083569# #麻了，看感觉看过很多次同样的新闻。
1689596457# #不要着急做决定，人生可以慢慢来。。bilibili人民公园茶话会的视频
1694176816# #转发微博
1703855524# #转发微博
1693575524# #他孤注一掷，姐一言九鼎哈哈
1697011380# #狗子也有户口，太可爱了
1700743675# #转发微博
1693310455# #转发微博
1689386024# #济南亲子游。第一天（下）。济南最近很热，选择了晚上乘船夜游大明湖，非常凉爽。下船时，车内bgm响起"啊~啊~啊……让我们红尘作伴，活得潇潇洒洒……"。。气氛瞬间拉满。。还去看了超然楼，超然楼现在是七点四十五开灯，开灯时很惊艳，不过怕人太多，所以等灯开了，我们才去看。。攻略说，如果想要看开
1695117291# #转发微博
1698222855# #姐的生活我的梦
1690113003# #人类的本质就是听八卦
1699777444# #都是狠人
1695284710# #全职太太要是过上他那种生活做梦都梦笑醒允悲允悲允悲
1693047418# #转发微博
1689236385# #青岛亲子游。路线:小青岛-鲁迅公园-小鱼山-网红路。（下）。。时间:傍晚五点到九点。。。参观完鲁迅公园后，就可以去小鱼山看落日和青岛全城。。。看攻略说，小鱼山和信号山，选一个爬就行，不难爬，就是一些居民区道路，不是山路，我选了小鱼山。。。小鱼山可以俯瞰全城，景色广阔，晚霞惊艳。。。小鱼山不远，
1697439809# #转发微博
1702643221# #转发微博
1690720833# #剧荒，看了《恶鬼》，大夏天不用开空调的程度，但结尾被感动到。。喜欢恐怖的可以冲。
1697180567# #感觉是个创业的好点子
1695730435# #转发微博
1696836032# #哈哈哈哈秒精神
1703072926# #转发微博
1689387775# #济南亲子游。第二天（1）。五龙潭-趵突泉-泉城广场-黑虎泉（坐船至）-大明湖-曲水亭街-芙蓉街。1五龙潭公园:美到没朋友，里面好多小孩打水仗，泉水清澈，冰凉，是免费5A级景区。。泉水里的鱼，条条肥美，被称为有编制的鱼。。济南地铁不太方便，就是因为地下太多泉，一挖就是泉水涌出，所以不能修建太多
1692458436# #草，只看片段有点吸引人啊
1701429367# #太会怼了允悲good
1690891614# #项链打结可以用这个方法解开。。我刚用十分钟解开了三年没能解开的团成球的项链，快感动哭了。
1692101305# #我:一个无情的抢票机器。
1693828548# #转发微博
1695559189# #示弱会让男性疯狂愉悦，然后进一步碾死你
1700305716# #对自己太狠了
1693913106# #成都周末亲子游。一些吃吃喝喝
1689938932# #“太多了成吨的敏感点”哈哈
1691902532# #不用担心睡不着了
1695818614# #你每天搬这些东西不会工伤吗？
1703406531# #转发微博
1700305528# #转发微博
1694005349# #这是看过关于缅北最细致最冷静的受害者访谈，他不仅破除了过度夸大的“一杯水到缅北”的谣传，甚至能记住窗帘捆成了几米线、解救了多少人、早餐吃了几个米饼……看得出他压抑着的情绪，能活着回来真太不容易了。
1695818628# #转发微博
1703243999# #转发微博
1698132735# #一个月去打他一次，挺好的
1689321143# #青岛亲子游。栈桥-教堂-八大关景区-第二海水浴场-奥帆中心-情人坝。（中）。。中午下午到八大关景区，因为重点在海水浴场，所以八大关随便参观了下，就去了旁边的第二海水浴场。。。我去时，第二海水浴场浒苔比较多，我女儿埋头赶海玩沙，我也懒得走，其实一二三海水浴场比较近，可以沿海岸线走，沿路海岸
1697272516# #转发微博
1694875158# #转发微博
1690719437# #转发微博
1702644831# #转给我的朋友
1698305442# #二阳了，难受，不过比第一次好很多。
1690634361# #“禁女的区域？我不管！干就是了！”
1703159054# #吃出了背德感
1697010892# #太暖了，都烫手。
1700655723# #转发微博
1693828585# #“女性时常被凝视却很少被看到”
1700219466# #女子可以起诉男子方吗？精神损失费房屋耗损费了解一下
1694520623# #太好笑了，“如果男性有这个功效，早就被搓成药丸温水送服了”哈哈哈哈哈哈哈
1695818733# #有个异物在小女孩体内，且引发重症，为什么家长明明知情却隐瞒不说？被医生追问了才支支吾吾？我觉得医生应该报警了。
1694436257# #笑cry
1697527790# #魔法打败魔法笑cry
1693575672# #难怪这里温太医哭得如此真切，原来是被扇了嘴巴子笑cry
1690202557# #练背防垮脸，心动了，赶紧练起来。
1702197921# #留学生的家长也很离谱哈哈哈
1702902802# #转发微博
1697093846# #转发微博
1700558692# #转发微博
1697611643# #同乐
1698996160# #补充：专家年纪也大了，也到嫁人的年龄了
1698388571# #转发微博
1696249702# #当年这首歌真的🔥
1699429665# #转发微博
1693575421# #笑cry
1693828609# #转发微博
1699511108# #冬天一来，又开始暴食了，赶紧找指南。
1700219405# #转发微博
1692706006# #特别好的七夕寄语🍻
1697272501# #转发微博
1691836752# #转发微博
1689246415# #青岛亲子游。黄岛金沙滩攻略。。游泳的话，有点冷，孩子如果体质差点，建议别下海。可以岸边玩水，玩沙，赶海。
1691152460# #北京vlog
1696836018# #怎么每一张都那么好笑啊啊啊啊
1691328327# #西昌亲子游。唐园。游玩时间:晚上三小时。概括:缩小版大唐芙蓉园，灯光挺美，还有不少儿童游乐设施，10岁以下小朋友狂喜。
1692797635# #西昌亲子游。景点:邛海。必去。。时间:两小时。建议索道或者游览车上山，滑道下山。。一定要试试滑道，刺激好玩。。山上可以拜佛，寺庙还有很多猴子，观景台俯瞰邛海。
1692617982# #转发微博
1697439839# #🚬
1691836770# #转发微博
1698650248# #建议学校把这些截图做成宣传海报，宣传语“为什么我们需要好好读书。。。。”
1697784465# #转发微博
1704029407# #蟑螂绒花发夹衰，不过有一说一，手真的好巧。
1696836302# #成都国庆亲子游。vlog
1700219411# #转发微博
1690815139# #这个帖子下，大家没说话，直接图，笑发财了笑cry，这些图哪里找的。
1699088867# #转发微博
1703320563# #是一毛不拔大师吗
1692617898# #转发微博
1702643329# #转发微博
1689860206# #转发微博
1697011005# #“嫁出去”真文雅
1689684896# #太可怕了，这是什么样的牲畜才能干得出来的事情！
1702643196# #转发微博
1701261025# #转发微博
1698305186# #转发微博
1697093822# #俞敏洪想上价值，余秀华躺在地上不起来。
1694519402# #六岁我只会觉得幼儿园的紫菜蛋花汤好喝泪
1689142895# #青岛亲子游。忘记说了，其实青岛秋天时才是最好的旅游时间，暑假两个月，海边一直有浒苔，工作人员每天都在辛苦清理，但清理完后，每天还是会出现，所以每个浴场是有些开盲盒的几率，去时可能全是浒苔，也可能刚清理完，很干净。。。另外天气也是，海边天气多变，天气预报不准，如果下雨或者阴天，海边
1696249653# #转发微博
1698911620# #转发微博
1695730476# #又把她送回家这是鼓励她父母下次把她卖的更远吗（最后一张图看着真是可怕
1690379639# #转发微博
1693223010# #“出来相亲还搞诈骗”“小可爱想喝点啥”笑死，变脸速度真快
1690027961# #被melody小红薯下的评论点到笑穴。
1695818696# #他们在大声议论拐卖妇女，好像不觉得这是犯罪，他们只关心自己没有媳妇，媳妇跑了
1697010872# #笑cry
1692705978# #悟了，混油皮防脱妆，还是乖乖用定妆喷雾吧，多多喷就好。
1700999525# #衰衰衰
1696747462# #活了几十年感觉是这样：部分人知道很多男的下限低，但是又无能为力让男提升，自己也结婚了，最后只能走降低期待自我安慰流说“男的就是这样，男的这样就行了”。就像人已经坐牢，在狱里的日子只能安慰自己有口饭吃就行了，还敢想啥自由。
1702542369# #大部分爸爸比妈妈会审时度势看颜色，从小时候甩手掌柜冷暴力天天醉醺醺变成一个在母女中间调和的“慈父”了。我闺蜜说，她小时候因为在超市要零食，被他爸在零食架那儿抽巴掌嘴都出血了，现在突然变成一个开明又好说话的父亲了黑线
1693047602# #重庆人治疗喉咙痛的方法---吃火锅
1696924419# #预定峨眉山的猴子
1695819045# #老师要求看微观世界，写松毛虫片段。我被逼着看了，帮女儿改作文。。片段如下，我的母爱简直感天动地。
1690202032# #律师:我需要法律援助。
1688956431# #北京亲子游。北京环球影城。。安排时间:一天。。亲子游必去。。我女儿有自知之明，知道禁忌之旅她可能会吐，所以就不去排了。。我们选择的都是排队时有空调的项目，所以感觉还好，没有想象中煎熬。
1691493048# #西昌亲子游。景点:凉山彝族奴隶社会博物馆。。游玩时间:两小时。。世界唯一反映奴隶社会形态的专题博物馆。。可以爬泸山时，顺便参观，带小朋友增长点知识，时间不紧张的话，建议前去。
1689596306# #笑cry
1690978367# #民间有针扎女婴能吓跑女魂投胎以保证下胎生男孩的迷信。
1700397563# #现在的卫生巾都发展成这样了？
1698996222# #明白了现在开始攒功德收到
1689320691# #青岛亲子游。栈桥-教堂-八大关景区-第二海水浴场-奥帆中心-情人坝。（上）。。时间:一整天。上午:栈桥教堂八大关。整个下午:重点在海水浴场。。晚上:奥帆中心，情人坝。。。青岛景点近，可以根据自己的时间进行安排，走到哪里，就把附近景点顺便游览就好。。。奥帆中心情人坝和五四广场最好选晚上，看灯光秀。
1696418684# #笑cry
1698133023# #小时候磕的cp居然二搭了
1699510865# #转发微博
1702643284# #本不该是婆婆儿媳互撕，任何婆媳矛盾的背后，都有一个消失的丈夫，失责的儿子
1702734175# #为什么不想办法帮他们减轻压力呢……
1698483468# #我两个穴位已经按到冒火星
1703072689# #转发微博
1689860881# #感觉这个童话走向很合理
1701261173# #转发微博
1690541599# #wow
1689237320# #青岛亲子游。酒店选择大方向。。之前做攻略。。青岛站附近交通方便，但酒店设施不好。。李村性价比高，但离景点远一些，不过有个热闹夜市，很多小吃。。住海边舒适，但价格高。。黄岛性价比不错，临海，但到其余景区，稍有点远，中间有海底隧道，大概一个小时路程。。大家可以根据自己想去的景点选择，多看
1700396579# #点进来之前：多大的老鼠我没见过。点进来之后：跪了真没见过这么大的
1699429695# #你说精卫填海会不会是另外一种故事。黄帝的女儿溺死了，变成一只小鸟，不停地把石子扔进大海。她说：“这海里有好多的女孩儿，我若是将它填平了，便不会再有女孩死去了。”
1703320550# #转发微博
1691494056# #尖叫
1700743803# #转发微博
1696924377# #这哪里是月嫂，这明明是活菩萨作揖doge
1696747472# #月亮代表我的心
1698736938# #p3的评论说的是对的，还是蛮心疼小女孩的，这个年纪本来可以不用这么懂事泪
1690285971# #蜡烛蜡烛蜡烛
1689379846# #济南亲子游。济南离青岛，高铁只需要2小时，顺道就去了两天。。个人感觉济南是个慢节奏城市，很适合慢慢玩。。济南大部分景点都连着，安排两三天游玩最好。。不愧是泉城，泉水真的好美。。攻略来自小红书宝藏博主。。大家可以参考。
1693134652# #转发微博
1702542402# #转发微博
1694689045# #出门在外一定要注意安全
1696505679# #成都国庆亲子游。景点:人民公园。。推荐:小朋友在里面可以游船，看变脸，看锦鲤，还可以看著名的相亲角，还是玩得很开心。。游玩时间:三小时到半天。。tip:虽然不可避免商业化了，但人民公园还是保留有独特气质，适合带小孩去打卡。
1689860267# #她爸让女孩子多背冰箱以后可以给她爸她弟一拳抡出脑震荡舔屏
1703589679# #世界终于进化为我看不懂的模样
1700220718# #好适合拍电影
1702039089# #转发微博
1695730460# #感觉下一秒要吻起来贴到墙壁上下其手飞入洞房
1696924254# #一天五个猕猴桃，三天就好goodgoodgood
1698822258# #贱到令人震撼
1691736176# #西昌亲子游。亲子游必去。。每年七八月都会举办，大大小小很多场。。据说这里的火把节比过年还热闹。。大家可以自己买火把点火，围着火把跳舞。。小孩子玩得都很high。。每个火堆边，都有消防员值班，等大家high完后，默默灭火，确实辛苦了。
1697870357# #你猜她为什么抑郁😓
1703158911# #转发微博
1698911671# #劝良家妇猫下海，替风尘猫妖赎身
1696664530# #成都国庆亲子游。景点:成都自然资源博物馆。推荐:五星。。游玩时间:半天，各种知识展示，小孩天堂。。对面是商场，逛完直接吃饭。。tip:1很大，可以带点小零食，暴走一万步会饿，里面可以买水，不用背太多。。2矿物区建议好好逛下，富贵迷人眼。
1700655874# #这白鲸还转一百八十度倒过来哈哈哈哈哈笑死
1700034867# #生父母和养父母都tm够日的微笑
1690201086# #从来不是一个世界
1702197610# #转发微博
1693842449# #他当时满脑子的想法大概就是：这条命我还给你。
1695195917# #男人就是一边吃着女人的血一边也要嘲笑她们挣扎的苦态，一边逼迫一边说可跟我没关系。虽然也不是所有男的都这样，但是想想还真是挺心疼令堂的
1691733411# #智者不入爱河，建设美丽朝歌。
1694086110# #周一第一声缺德爆笑，阿弥陀佛🙏
1700396598# #边远农村没有喝酒的妇女，只有喝农药的
1689139036# #北京离青岛大概三小时高铁，带孩子可以顺便去青岛。。青岛亲子游必去地点---海军博物馆。。游览时间:半天到一天。1提前七天预定，票有点难抢。。2按照时间入馆。。3入馆禁止穿拖鞋。。4里面有四个内部展厅，有空调，但外部展厅有些热，尽量避开中午去外部展厅。。5带点水和食物，里面没看见自动贩卖机。
1703675643# #转发微博
1694784656# #转发微博
1690978281# #转发微博
1701174640# #逃避免费的家务，推给女的而已
1703406517# #转发微博
1700655770# #转发微博
1698223168# #又是被评论惊呆的一天
1694332832# #今早起来，发现鼻子长了痘。。鼻头红肿，必定破财。。赶紧拿起手机，颤抖着手指，开始疯狂买吃的。。主打一个主动破财，不劳命运大神动手。
1700396501# #转发微博
1692164488# #“我们希望这一判决的惊人金额能够成为一种震慑，阻止其他人做出类似的卑鄙行为。”
1702542617# #果然是天下第一可爱的生物
1690719304# #简直了。话题没了。
1688393511# #大家都好会翻译
1695049306# #笑cry笑cry笑cry
1690287520# #还可以这样？
1701848982# #看完就不想吃水饺了
1701934549# #不是那为什么不是大人出去睡呢偷笑
1702734128# #转发微博
1698391195# #大家注意防护啊，我今天感觉到耳膜像是有针在刺。
1697527014# #转发微博
1701346139# #以后得转文言文加密了
1692458406# #转发微博
1702109372# #转发微博
1689500178# #济南亲子游。第二天（3）（4）。五龙潭-趵突泉-泉城广场-黑虎泉（坐船至）-大明湖-曲水亭街-芙蓉街。。趵突泉往前走几分钟就是泉城广场。。。3泉城广场:就在几个景区中间，晚上有喷泉，更适合晚上看。白天去时，有一群白鸽随意歇息，小朋友可以随时喂鸽子，还有几个人放风筝，很悠闲，感觉济南人民幸福
1703508722# #转发微博
1697870331# #转发微博
1693048740# #小红薯有博主买了美高梅酒店自助餐年卡，365天每天打卡吃五星酒店自助，沉浸式体验太爽了。
1694086098# #怒
1699339773# #光看文字描述都觉得令人发指……
1703941685# #呵呵，天杀的离婚冷静期。
1692706049# #草真正的巨制！
1689596545# #第二张彻底震惊了我
1697093950# #拯救乳腺系列
1690634893# #快去买。
1694005435# #笑死我了你爸爸怎么会如此了解你
1701083735# #真实版佛子×妖女
1695637378# #衰衰
1689079026# #北京上午十点到下午四点确实很热，但只要不被太阳直射，站在树下就有风，晚上还挺凉快，所以觉得这热可以承受。论我被重庆高温pua的一生苦涩
1696836091# #转发微博
1699255414# #整个视频都好温暖啊！
1698055268# #“不，我们男人不需要谨慎，我们没有问题，有问题的是杀我们的人”你看微笑男的其实很懂嘛微笑
1695382098# #评论笑发财了笑cry，特别是川渝那个。
1691152252# #转发微博
1695049347# #笑cry
1689860052# #支持每个女人都当狠角色
1695559156# #转发微博
1700483773# #本来很吓人，但看到最后一张绷不住了。
1699703122# #这两天感觉打开马桶盖都能立刻转到🍑页面
1690285933# #原来普遍的世界和社会是被女性无声支撑起来的…
1688647170# #北京亲子游。国博。。适合游玩时间:一整天。。小孩子一起去最好参加个研学团，小朋友会很感兴趣，虽然脚疼，但是都坚持走了一上午。。里面太多好东西了，目不暇接。。亲子游必去。
1697784428# #转发微博
1693485661# #建议全国推广doge
1700483597# #转发微博
1693664406# #好不容易盼到我女儿开学，才高兴了一天，又到周末了泪，甜品也抚慰不了我的伤心。
1689394432# #济南亲子游。第二天（2）。五龙潭-趵突泉-泉城广场-黑虎泉（坐船至）-大明湖-曲水亭街-芙蓉街。2趵突泉:亲子游必去。。去之前觉得，不过就是小学课本上那个会冒泡的泉嘛，去了之后，全程"哇哇哇"惊叹。。三个泉眼，不断冒泡，阳光炽烈，水波温柔。。趵突泉公园里还有很多个泉，都是清澈见底，济南果然是
1698650419# #哈哈哈哈哈哈，温太医，不，温大医手里拿的东西允悲允悲允悲允悲
1690719386# #祈祷雷劈死这种人
1692880158# #姜还是老的辣笑cry
1692796492# #什么阴间新闻
1702542352# #转发微博
1703072710# #表情演我
1702467124# #转发微博
1700034828# #-&gt;-&gt;
1689077522# #北京亲子游。颐和园，亲子游推荐。。时间:半天到一天。。tip:1颐和园晚上七点才会开始停止检票，关门时间晚。。2个人推荐，下午四点后去，里面全是绿茵，很凉快。。3推荐小红薯宝藏博主的路线攻略，不费脚，一定要坐船，船上景色太美。。4船大概晚上六点关，风大，雷雨也会关闭。
1698055226# #建议阉割哦太开心
1700743811# #转发微博
1688908547# #北京亲子游。为什么要夹我苦涩
1699866337# #转发微博
1697699884# #不死刑？
1699950537# #转发微博
1700219391# #转发微博
1700483588# #转发微博
1698996148# #转发微博
1690814740# #虽然但是他信念感好强啊
1690541580# #转发微博
1696924366# #那这个活动的主要目的是让男的庆幸“幸好我不是女的✌🏻”
1702288535# #殴打待产孕妇很容易一尸两命。孕妇母亲应构成正当防卫
1690634334# #媒体报道能通过新闻伦理吗？
1694784631# #早产小孩住nicu的钱，几个大城市社保都能报60-70%。不要还是因为是女儿呗。这个故事里最不该被生下来就是她们的爹
1691072647# #孟宴臣这个cp组合真的惊到我了。。bilibili白日梦想塔的视频
1703072738# #转发微博
1693485729# #转发微博
1700743830# #🆘
1690112475# #重庆动物园的渝爱，真是拽姐，好有性格。
1688393124# #花花好多表情包笑cry
1701763250# #“她一个人要干活，要看孩子，又要买菜做饭。如果她抱着孩子出去买菜，子宫掉出来，行动会非常不便，所以出去买菜估计用10分钟，等买完菜回来，孩子就不见了。从此解清帅的母亲就患上了抑郁症。一个生过二胎、子宫脱垂、有抑郁症的女人……仍然需要继续生孩子……她一共生了4个孩子。”
1695195969# #转发微博
1697272531# #“你是怎么想到这个的？我没明白，你解释一下呗？”
1699182384# #转发微博
1699089688# #法斗风评受害允悲
1696249634# #很有思考意义的文章。很多人测试的本意是想吐槽周围异性环境里出现的潜在瓢虫，但实际上这波脏水还是泼在了女按摩师的身上。因为你并不知道瓢虫的证据，但你可以根据标签作用符号化这一类群体的所有女性。正是因为如此，在面对这种言论更要警惕，不要让女性的工作环境更加恶劣。
1691152197# #踢小姑娘干嘛？那么大的女孩子了，当众踢，这爹脑子里有包吧顶这种爹能毁了这姑娘一生失望
1695907200# #万物皆可asmr。bilibili鼠鼠在冬眠的视频
1690379549# #转发微博
1696418702# #转发微博
1692098583# #西昌亲子游。美食:小渔村烧烤。。必吃，吃完可以顺便去看小渔村景点。。注意:小渔村烧烤不是指景区内的烧烤，而是景区外那一排简陋民房。。也可以导航"国康烧烤"，那附近都是，看见哪家人多，就可以冲哪家。
1689766227# #我觉得很难过的一点是什么呢？每次医生出来讲真话搞科普，就有人出来讲“你这是制造生育恐慌”。无尽的岁月长河里，女人在懵懂中生下了一个又一个的孩子，如今终于有技术有渠道告诉她们生育的代价是什么，又有人上赶着捂嘴
1703761852# #@撒空空变树霖
1694086340# #看之前，怀疑作者的精神状态，看完后，我笑得七零八落，开始怀疑自己的精神状态。笑cry
1696652533# #转发微博
1689943217# #值得提倡
1698822659# #太可爱啦
1702369545# #转发微博
1693222951# #“他不会跟你复合”允悲允悲你自己留着干锅菜花吧
1698911723# #神tm「出入平安」
1701083634# #他的意思是：找媒体来为了争取“随意调戏女人的权利”？费解
1701848664# #转发微博
1699255430# #转发微博
1700119667# #菲比:我的精神导师。
1694875730# #在一群被孩子气晕的老母亲帖子里面，发现一个八岁学周易的孩子，简直前途无量。
1702288712# #按照小🍠方法，抢到了mate60pro，不过还没发货。。大家需要可以试试。
1699339761# #菩萨：不接急单
1701346094# #“女儿伍倩生前曾多次遭到女婿家暴，她曾向法院提请离婚，但未获法院支持。”
1699601952# #爱姐好可爱，被抢奶后骂骂咧咧笑cry
1692279871# #憧憬憧憬憧憬
1695906956# #支持！13%的税率对于卫生巾太高了
1689380946# #济南亲子游。第一天（上）。原本计划:千佛山-山东博物馆-山东美术馆-洪家楼教堂-环联夜市。。最后:山东博物馆-夜游大明湖。。起床晚了，只能取消千佛山，去了山东博物馆。。千佛山据说非常值得一去，这次可惜了。。山东博物馆藏品多，亲子游推荐必去，小朋友很喜欢。。山东美术馆就在山东博物馆旁边，看完了
1699088883# #我也是第一次见这种犯罪。
1696748391# #好可怕的梦
1693486108# #发现小红薯上有好多代画手抄报的，简直救家长狗命。
1703941675# #“你宝贝女儿在家里再怎么如掌上明珠，在我老x家也得当牛做马！”
1698911979# #大半夜看见p2，绷不住了
1695117307# #值得我用一生学习的三个教学视频桃里桃气
1702817283# #让这个好心的帮帮团调解员自己领回家养着呗
1692458486# #福宝太可爱了
1700035043# #想看这种文
1693485677# #多次强奸未满14周岁的幼女！你们实在不舍得枪毙，可以拿去福岛填海。摊手
1693913167# #想起来之前阿姨网恋假靳东那个新闻，大家都在笑她痴心妄想，阿姨说了一句：“我在这个家做了一辈子老黄牛，他说我是天上的星星。”生病太惨了
1699339987# #拯救乳腺系列
1694262537# #笑cry笑cry笑cry
1697272543# #让他演精神病吧
1691072429# #转发微博
1697010902# #才7天，难怪那么多偷拍
1690201138# #不是父爱如山吗？那就请你咬碎了牙往肚里咽，你的处境又不是你孩子造成的，没人该去承接你的苦，不听，不听，和尚念经。
1702643309# #转发微博
1702288564# #你这孩子太不孝了，你妈妈中午把你生出来，你下午为什么不帮忙下地干活，晚上为什么不帮忙做饭
1693047454# #算命算得好：没错，我就是命好。算命算的不好：我命由我不由天
1693913202# #转发微博
1703320605# #转发微博
1704114214# #转发微博
1692706036# #转发微博
1688822689# #北京亲子游。国博抢票攻略。。1提前官网录入身份信息。。2用电脑上官网。。3每天下午四点五十九分开始不断刷新，只有不到一分钟反应时间。。4其余时间段也会少量放票，但没有固定时间。。5实在不行可以提前买国博画展票。。我抢票都抢出ptsd了。
1701261091# #又刷新了剑人的下限哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1702734111# #转发微博
1698996262# #前两天看过一句话：“一个人到了四十岁还不信命，那悟性太差”
1695989185# #老师们太不容易了笑cry
1691993113# #转发微博
1695989074# #最可怕的是，还在拉扯离婚官司二哈二哈二哈太无语了，都这样了，还不能离婚二哈二哈二哈
1694176859# #我不仅有紫的，我还有蓝的黑的黄的😅我是女鬼我特么吓死你
1695906941# #顺直男小留：欧美白左LGBT女拳政治正确去死also他们：在简历上杜撰自己是gay，去面向性少数的招聘会
1696664367# #哈哈哈哈用魔法打败魔法
1699777271# #转发微博
1700656322# #笑发财
1699950562# #转发微博
1702039316# #第1张图吓死，第2张图笑疯。
1696924538# #笑发财了笑cry领导不愧是领导
1697439799# #转发微博
1689685483# #"谁问过我要吃硬的还是软的水蜜桃"
1700655752# #“传统家庭关系不是她的唯一选项。她另辟蹊径，在职业路径上找到了获得爱的方式。”
1703941717# #转发微博
1689424315# #我女儿在高铁上听故宫的讲解，里面提到宦官的一些事。。。我女儿实在没忍住，凑我耳边，悄悄好奇问道:"妈，宦官怎么小便呢？他们不是割了吗？"。。我女儿以为她是在悄悄说话，但是她不知道，戴了耳机之后，人的声音会自动提高。。。然后我就看见，我前面那位不断大力靠椅背，导致我小桌板不停摇晃的男士，以
1693747855# #好的，学会了
1690201041# #Exactly
1689078571# #北京亲子游。北京我只去了这几个景点。。因为赶路，没来得及打卡各大美食，只吃了几次烤鸭，感觉北京随便一家都好吃。。另外亲子游还可以去这些地方。。1各大博物馆，图片有推荐，逛着不热，遛娃首选。博物馆需要提前预约，可以在各大公主号里预定。。ps推荐"博物馆云"公主号，可以看见北京100个博物馆
1695471365# #猫猫也需要私猫空间笑cry
1691902265# #西昌亲子游。景点:建昌古城。。。时间:两小时，最好是天黑后去，更美。。。有600年历史，但很多是去年装修的。。。推荐点:夜景很美，适合拍照，出片。。。如果时间紧张，可以唐园和建昌古城二选一。。。小孩子喜欢唐园，有游乐设置。大人爱建仓古城，出片。
1704028534# #转发微博
1695381831# #笑cry
1699950672# #每天吃两小块百分之百黑巧，终于防住了秋冬暴食。
1696652605# #转发微博
