1688910891# #摩登兄弟超话捕捉到你啦，隔空给你爱的抱抱~啊啊啊老大
1703306896# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。万物皆有裂痕，那是光照进来的地方！。
1701749569# #期待晚上见打call打call打call
1693974222# #微博音乐盛典官宣乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！锦鲤附体
1689392668# #我在森林驿站帮助了东北虎，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1688911136# #我在森林驿站帮助了猕猴，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1690277984# #刘宇宁宝曼兰朵品牌大使｜刘宇宁蒋俊豪|摩登兄弟超话。遇见一处淡雅的山水，可以改变你一天的心情；遇见一个惊艳的人，足以改变你往后的生命。。
1693006936# #东方风云榜微博网友期待舞台初心如歌，榜上有鸣。东方风云榜三十周年庆典开启，为你喜欢的舞台打call，我们一同见证！
1699439040# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。遇见，是最美丽的意外。懂得，是无言的灵犀。素心伴你，悄悄懂你。见与不见，思念一直在。
1702803661# #啊啊好激动
1699502609# #微博视界大会热爱·同行！我正在微光荣耀入围影视音乐为《就在江湖之上》荣耀推荐！你心中的微光荣耀是哪个？一起来参与推荐吧
1703046042# #我推荐《一念关山》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1697118934# #晚安老大
1692272302# #@MD-花花小棚友
1694598108# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！2
1689074372# #我投给了“摩登兄弟刘宇宁《爱了很久》”~
1702379390# #转发微博
1699417062# #好耶打call
1689586563# #转发微博
1700130490# #微博视界大会热爱·同行！我正在微光荣耀入围影视音乐为《就在江湖之上》荣耀推荐！你心中的微光荣耀是哪个？一起来参与推荐吧啊5
1689394154# #刘宇宁做自己的光一起《做自己的光》，成为最耀眼的人，和蒋俊豪一起发光发热。期待的第一部现代剧。
1689653076# #都谁害的二哈
1690540186# #摩登兄弟超话遇到了空降超幸运，发帖求翻牌
1694993758# #:铭记历史。缅怀先辈。吾辈自强。
1694598143# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！鲜花
1695894261# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。你之于我如月，我之于你如星。是唯一和其一的区别！。给力刘宇宁做自己的光。刘宇宁洛铭西给力刘宇宁安乐传。刘宇宁卓
1692144731# #早上好@摩登兄弟刘宇宁
1694750876# #哇又有新歌，安排！
1702032925# #2023电视剧大赏已经开启，我在年度剧集名场面推荐活动中pick了《关山小队天星峡高燃团战》，快来一起为你心中的年度剧集名场面打call吧！电视剧大赏名场面推荐鲜花
1691837586# #《我只愿朝着光》（电视剧《做自己的光》主题曲）我的评分：星星星星星星星星星星。微博音乐影响力榜摩登兄弟刘宇宁《我只愿朝着光》（电视剧《做自己的光》主题曲）不需凭借谁的光，做自己的光，为自己闪耀！
1688809205# #我在森林驿站帮助了猕猴，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1702722118# #我正在微博跨年狂欢节预约2024跨年嘉宾，还有机会赢跨年晚会现场门票！快来和我一起参与吧~
1702992969# #愿平安🙏
1691243794# #@刘宇宁看看我
1703209757# #我推荐《一念关山》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1689258677# #刘宇宁洛铭西｜刘宇宁安乐传|摩登兄弟超话。每个人都有自己所崇敬的人，。有了那个人，。你就会知道前进的方向，。努力的目标，。就有了奋斗的决心。。偶像无时无刻不在影响着你。。我心中的那个人就是宁！。
1697278719# #@古MD宁
1690539647# #我在森林驿站帮助了小熊猫，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1694598100# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！1
1689475651# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1694527679# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！2
1699748282# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围影视音乐为《就在江湖之上》荣耀推荐！为热爱加码，共同打造荣耀时刻~鲜花
1694081721# #刘宇宁巴黎欧莱雅护肤代言人|刘宇宁蒋俊豪|摩登兄弟超话。一不小心遇见了你。原本以为你是一阵风。现在才知往后余生都想有你。给力刘宇宁做自己的光。刘宇宁洛铭西给力
1699612371# #一会见呀哇@摩登兄弟刘宇宁
1704429485# #我投给了“刘宇宁《FallinLove》”~
1703411347# #我推荐《一念关山》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1690466121# #@lyn-皓影月
1701011234# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为蒋俊豪荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放鲜花
1689730301# #做自己的光我的评分：星星星星星星星星星星。刘宇宁做自己的光窗外有风景，心中有豪情，追逐光、靠近光、成为光、散发光《做自己的光》，刘宇宁蒋俊豪光亮的重叠。
1689377577# #我投给了“摩登兄弟刘宇宁最佳金曲奖+最佳男歌手+全能艺人奖”~
1701144949# #转发微博
1689649102# #转发微博
1702905736# #转发微博
1695378691# #和潮涌东方，齐聚杭州亚运。西子湖畔，共同见证，我们亚洲，共赴未来！
1693196722# #刘宇宁官宣加盟东方风云榜｜刘宇宁宝曼兰朵品牌大使｜摩登兄弟超话。时间会告诉我们，简单的喜欢最长远，平凡中的陪伴最心安，懂你的人最温暖！。给力刘宇宁做自己的光。刘宇
1703845491# #我获得了微博之夜真意卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1695731390# #哇老大好帅打call打call
1692026448# #刘宇宁蒋俊豪|刘宇宁宝曼兰朵品牌大使|摩登兄弟超话。把烦恼留给昨天，把洒脱送给自己，这才是过一生最好的方式，晚安！。。。。刘宇宁魏劭给力刘宇宁折腰。刘宇宁宁远舟给力刘宇宁一念关山。刘宇宁蒋俊豪给力刘宇宁做自己的光
1691024968# #《我只愿朝着光》（电视剧《做自己的光》主题曲）我的评分：星星星星星星星星星星。微博音乐影响力榜摩登兄弟刘宇宁《我只愿朝着光》（电视剧《做自己的光》主题曲）。。🌟亮点推荐：
1689686175# #刘宇宁厨师资格证为蒋俊豪考的吧专注初心，不畏黑暗，始终能做自己光，一起与俊倈追梦者豪快开启一场寻光之旅吧
1696177951# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。就算前路不坦荡，也要做自己的太阳。用自己的阳光，面对所有的困难与挫折！。给力刘宇宁做自己的光。刘宇宁洛铭西给力刘宇宁安乐传。刘
1700392444# #刘宇宁珠帘玉幕|刘宇宁燕子京|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。。不辜负这盛世烟火，做最独特的你，。让这世界因为有你而有点不一样。。春来夏往，秋收冬藏，我们来日方长。。。
1693453166# #来了打call打call打call打call
1692920897# #早安@摩登兄弟刘宇宁
1692763721# #东方冉冉升星，英雄唱响风云。邀请诸位一同期待，共赏《东方风云榜》的舞台
1697239088# #刘宇宁宝曼兰朵卓韵代言人|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。希望你永远都是自在如风的少年。昂首挺胸意气风发。有全世界最闪亮的眼睛和最炽热的心。。。。
1699541440# #微博视界大会热爱·同行！我正在微光荣耀入围影视音乐为《就在江湖之上》荣耀推荐！你心中的微光荣耀是哪个？一起来参与推荐吧打call
1702961000# #我推荐《一念关山》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1694694451# #@爱比耶de小楊
1690864002# #刘宇宁蒋俊豪｜刘宇宁做自己的光|摩登兄弟超话。人生如画，岁月如歌，怦然心动是你，别来无恙是你！。给力刘宇宁做自己的光。刘宇宁洛铭西给力
1690603913# #刘宇宁蒋俊豪｜刘宇宁做自己的光|摩登兄弟超话。窗外有风景，心中有豪情，追逐光、靠近光、成为光、散发光《做自己的光》，刘宇宁蒋俊豪光亮的重叠。。。。
1704066991# #转发微博
1692570752# #轻轻的问候，道声早安，愿熟睡一晚的你，伴着清晨清香的空气，开始自己最美好的一天@摩登兄弟刘宇宁
1692764213# #东方风云榜微博网友期待舞台初心如歌，榜上有鸣。东方风云榜三十周年庆典开启，为你喜欢的舞台打call，我们一同见证！
1702888423# #转发微博
1691105484# #心有所想，目有所望，每个人眼中都有一个不同的世界，世界如此美好，又是新的一天，早安！@摩登兄弟刘宇宁
1690154058# #我在森林驿站帮助了东北虎，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1703045135# #转发微博
1689244193# #@古老东方的宁小兔
1694232255# #哇来了
1691938518# #@爱宁的呆呆
1700130291# #微博视界大会热爱·同行！我正在微光荣耀入围影视音乐为《就在江湖之上》荣耀推荐！你心中的微光荣耀是哪个？一起来参与推荐吧鲜花
1703576911# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。这世界可能过于凛冽。消磨你的年少时光。可有时候。又觉得其实这世界。也还是温柔的。至少让我看到了你成长的模样！。
1694660196# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。愿世间所有的等待都能如期而至，愿世间所有的幸福都能恰到好处！。给力刘宇宁做自己的光。刘宇宁洛铭西给力刘宇宁安乐传。刘宇宁卓不凡给力刘宇宁天
1704094688# #微博跨年狂欢节我已推荐我心中的2024跨年最佳舞台，快来为你喜欢的舞台点亮加油吧！
1694598016# #我投给了“摩登兄弟刘宇宁《狂风袭来》”~
1701011224# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的蒋俊豪荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧好喜欢
1693279054# #刘宇宁蒋俊豪｜刘宇宁宝曼兰朵品牌大使｜摩登兄弟超话。什么是坚持？就是一天，又一天，你告诉自己，再坚持一天世界不会辜负每一份努力和坚持！。给力刘宇宁做自己的光。刘
1694735054# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！心
1689569659# #刘宇宁做自己的光一起《做自己的光》，成为最耀眼的人，和蒋俊豪一起发光发热。期待的第一部现剧！
1690345344# #刘宇宁宝曼兰朵品牌大使｜刘宇宁蒋俊豪|摩登兄弟超话。生命中的遇见，。从来都是冥冥之中注定的，。举手投足间的欣赏，无言胜有声的默契，。心与心的碰撞，灵魂与灵魂的懂得。。这样的相伴，在深深浅浅的时光中，。带着阳光和微笑，。以真心相悦，以真诚相伴，。以真情相对，倍感珍惜……。
1690108451# #@canton-michelle
1691287714# #刘宇宁蒋俊豪｜刘宇宁做自己的光|摩登兄弟超话。刘宇宁，你就好像天上的太阳，虽然够不到，但只要靠近一点点，都会觉得很温暖。。。刘宇宁魏劭给力刘宇宁折腰。刘宇宁宁远舟给力刘宇宁一念关山。刘宇宁蒋俊豪给力刘宇宁做自
1691996550# #期待刘宇宁新歌《灼心》送花花
1689175234# #刘宇宁茶啊二中快乐歌|刘宇宁魏劭|摩登兄弟超话。生活就是有突如其来的失去，也有不期而遇的惊喜。别失去希望，晚安！。。给力刘宇宁做自己的光。刘宇宁洛铭西给力刘宇宁安乐传。刘宇宁卓不凡给力刘
1703209775# #我推荐《奉上》为微博网友喜爱音乐，它让我感受到了音乐的力量和魅力，在享受片刻宁静和愉悦的同时不由得惊呼“耳朵怀孕啦”！一起来微博之夜推荐更多打动人心的音乐吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1703998016# #我获得了微博之夜纯粹卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP40必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1701011018# #微博视界大会梦想和弦，热爱前行。我正在微光荣耀入围影视音乐为《愿光》荣耀推荐！跟随梦的节拍，助力荣耀时刻~
1688773685# #早安@摩登兄弟刘宇宁
1692245833# #老大817快乐呀！
1699372620# #同样是豆子，凭什么红豆配相思，绿豆只能配王八？后来才知道，红豆味苦有小毒，而绿豆清热解毒还去火。故而相思味苦，王八大补，相思一文不值，王八一斤八十，年少不知相思苦，中年才知王八补偷笑
1691625153# #新的一天开启，早上好🌞@摩登兄弟刘宇宁
1693974136# #微博音乐盛典官宣乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！哇
1694406210# #我在森林驿站帮助了东北虎，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1699889040# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。很庆幸你是我领略万物后仅存的心动。我见过大海也见过繁星。但是只有遇到你才是我长久以来奔赴的意义。
1691837816# #围观好朋友们每天多一个小时的爱。25小时恋爱
1696221619# #期待
1696774044# #完成
1690672775# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1693228393# #打call打call打call
1704471147# #刘宇宁0108生日快乐｜刘宇宁一念关山|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。。所有纷至沓来的人，都愿你的美好一拥而至，心中有山海，眼眸中有星辰，不动声色地走下去，一切温暖都在阳光里等你！。晚安。
1699748294# #微博视界大会热爱·同行！我正在微光荣耀入围影视音乐为《就在江湖之上》荣耀推荐！你心中的微光荣耀是哪个？一起来参与推荐吧可爱
1695166419# #早上好@摩登兄弟刘宇宁
1692245052# #老大打call打call
1699748921# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。你的微笑是一首歌，青春的恋歌。那优美的旋律，经久不息地回荡在我的心谷与脑海。✨。
1694527694# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！3
1692358901# #一起听
1699748265# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围影视音乐为《就在江湖之上》荣耀推荐！为热爱加码，共同打造荣耀时刻~
1691153636# #涿州加油！
1700821889# #打call
1692764197# #东方风云榜微博网友期待舞台初心如歌，榜上有鸣。东方风云榜三十周年庆典开启，为你喜欢的舞台打call，我们一同见证！
1700838363# #粉丝认证号叮！刘宇宁的宠粉卡已发放！我领到了TA的专属宠粉福利，快来和我一起成为TA的认证粉丝，宠粉福利领不停！
1690433055# #刘宇宁宝曼兰朵品牌大使｜刘宇宁蒋俊豪|摩登兄弟超话。ᵕ̈ᴹᴼᴿᴺᴵᴺᴳ💛ᵕ̈💛ᴹᴼᴿᴺᴵᴺᴳᵕ̈。我借着你的光。看到了一个全新的更好的世界，。也借着喜欢你。让自己成为了更好的人。◎◦◯◦◌🎈◎◌◦◌◯◦🎈◎◦◯◦◌。
1690154377# #刘宇宁蒋俊豪｜刘宇宁做自己的光|摩登兄弟超话。清风，是我对你轻柔的呼唤；。花开，是你把我的双眼填满；。雨滴，是你拨动我动人的心弦；。阳光，使你的笑脸更加灿烂！。
1690279466# #转发微博
1698753730# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。如果幸福可以用语言叙述。那它就是你唱的每个音符。当你在的时候，你就是整个世界，当你不在的时候，全世界都是你。。。
1704297849# #微博之夜我推荐为2023微博KING，时间不停流转，爱意永不消散。谁是你心中的微博KING和QUEEN呢，一起来推荐吧~戳&gt;&gt;
1697891361# #摩登兄弟超话超话星愿池前路浩浩荡荡，万物尽可期待。
1692609782# #东方风云榜微博网友期待舞台初心如歌，榜上有鸣。东方风云榜三十周年庆典开启，为你喜欢的舞台打call，我们一同见证！
1693974286# #微博音乐盛典官宣乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！
1692249212# #817快乐打call打call打call
1691857192# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1701011076# #微博视界大会热爱·同行！我正在微光荣耀入围影视音乐为《愿光》荣耀推荐！你心中的微光荣耀是哪个？一起来参与推荐吧打call
1704369271# #2023超人气人物点评我的点评：苹果苹果苹果苹果苹果。微博之夜超会评安利大赏打call打call打call打call打call打call刘宇宁棒👍🏻
1700129302# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。谁也不知道下一秒会发生什么，但是我能确信，在上一秒这一秒下一秒，我都喜欢你。
1693908019# #微博音乐盛典年度推荐启动乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的style，快来和我一起为更多优秀音乐内容助力！
1689377981# #刘宇宁洛铭西｜刘宇宁安乐传|摩登兄弟超话摩登兄弟超话。我喜欢你的笑。阳光而温柔。仿佛这世界都变成了甜的给力刘宇宁做自己的光。刘宇宁洛铭西
1690557578# #刘宇宁翻牌老大下次能翻我吗？
1692271705# #相约刘宇宁共赴817｜刘宇宁宝曼兰朵品牌大使｜摩登兄弟超话。未来的817继续携手同行！。❤️
1698231462# #转发微博
1703411337# #锦鲤附体，我获得了微博之夜真意卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1702813081# #转发微博
1688653564# #暮色心约刘宇宁ost|刘宇宁魏劭|摩登兄弟超话。有一种相逢惊艳了时光，有一种深爱温暖了岁月，有一种美好叫做——我遇见了你。晚安！。。给力刘宇宁做自己的光。刘宇宁洛
1696734700# #来啦，我来听新歌啦！
1700468845# #老大也太帅了打call打call
1703209744# #我获得了微博之夜简单卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1689258939# #摩登兄弟刘宇宁《风衣》（《我的人间烟火》电视剧情感主题曲）
1689049426# #刘宇宁茶啊二中快乐歌|刘宇宁魏劭|摩登兄弟超话。。别驻足，梦想要不停追逐；别认输，熬过黑夜才有日出；要记住成功就在下一步；路很苦，汗水是最美的书；尽情欢呼，相约巅峰共舞！
1689581571# #转发微博
1702948822# #锦鲤附体，我获得了微博之夜真意卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1689743881# #转发微博
1699659555# #早上好@摩登兄弟刘宇宁
1701692023# #打call打call打call
1690875227# #我在森林驿站帮助了雪豹，掉落一块拼图碎片，据说集齐有奖励呦。熊猫守护者们，快加入驿站一起玩吧！
1698066301# #@canton-michelle
1694403801# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！打call
1699075611# #新歌很好听打call打call
1704040552# #转发微博
1694403818# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！羞嗒嗒
1700523052# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。。语言的表达总是苍白无力的，实力才是证明自己的最好方式。。。
1694527755# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的刘宇宁，快来和我一起为更多优秀音乐内容助力！1
1692493320# #摩登兄弟超话相约刘宇宁共赴817和你心动七夕凡是过往皆为序章，所有将来皆可盼望。
1701873654# #2023电视剧大赏已经开启，我在年度剧集名场面推荐活动中pick了这一条我最爱的名场面片段，快来一起为你心中的年度剧集名场面打call吧！电视剧大赏名场面推荐
1693782304# #刘宇宁巴黎欧莱雅护肤代言人｜刘宇宁蒋俊豪｜摩登兄弟超话。我生来执拗，爱憎分明，从见到你的第一眼起，我的眸子里，就全是清澈的你，所以我喜欢你，不是一时兴起，也不是心口不一。。
1703411321# #我获得了微博之夜纯粹卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1700834141# #刘宇宁宁远舟|刘宇宁一念关山|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。。你说你到底对我施了什么魔法，让我对你一眼心动两眼沦陷！。
1694662555# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！
1693974112# #微博音乐盛典官宣乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《一个好年》，快来和我一起为更多优秀音乐内容助力！打call
1688859290# #经过我的不懈努力，我成功进阶为LV.11，想和我一样在摩登兄弟超话拥有闻名一方粉丝头衔吗？跟我一起来摩登兄弟超话聊聊吧~
1696290889# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。世间所有的不期而遇，都是最好的安排～刘宇宁值得。。刘宇宁宁远舟给力刘宇宁一念关山。给力刘宇宁做自己的光。刘宇宁洛铭西给力刘宇宁安乐传。刘宇宁卓不
1694647941# #早上好@摩登兄弟刘宇宁
1696642986# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。。刘宇宁宁远舟给力刘宇宁一念关山。。偶尔觉得世界不那么美好，但是因为你好像又原谅了所有不美好。。。给力刘宇宁做自己的光。刘宇宁洛铭西给力刘宇宁安乐
1701426483# #刘宇宁一念关山|刘宇宁宁远舟|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。。是有多大的幸运能在人海中遇见你。无论时间多么的久远。无论相隔的距离多长。不变的依然是看你时的不自觉微笑。每日增添的依然是想见你的冲动。。。
1695859217# #早上好@摩登兄弟刘宇宁
1703998036# #我获得了微博之夜真意卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP40必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1695375787# #摩登兄弟刘宇宁《就在江湖之上》（《莲花楼》影视剧片头曲）
1703998194# #转发微博
1697172131# #来了
1700130269# #微博视界大会梦想和弦，热爱前行。我正在微光荣耀入围影视音乐为《就在江湖之上》荣耀推荐！跟随梦的节拍，助力荣耀时刻~
1694861055# #@canton-michelle
1693667315# #晚安老大
1703692800# #我推荐为2023微博网友喜爱人物，希望TA继续站在热爱的世界里闪闪发光！驾驭高能时刻一起来微博之夜推荐你喜爱的TA吧，参与集卡互动还有机会得盛典门票去见TA哦！戳&gt;&gt;
1701011243# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为蒋俊豪荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放送花花
1701011162# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐做自己的光！为热爱助力，一起来推荐你最喜欢的作品吧~送花花
1704362828# #和刘宇宁点亮微博之夜|刘宇宁一念关山|摩登兄弟超话。刘宇宁宁远舟给力刘宇宁燕子京。有梦想的人生最可贵，。而实现梦想的过程最珍贵。。陪伴你每一次的重要时刻。。见证你每个闪耀的舞台！。
1694169461# #@vivie-c
1691837878# #@小呆米的姐姐芋泥yuny
1692969888# #我在森林驿站帮助了小熊猫，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
