1701620698# #我好废啊每晚都在想自己真的很废没错我很废我的仅有的天赋就是做饭
1703464412# #今天，骑自行车来上班。简直就是冰火两重天，上半身出一身汗，下半身冰凉。帽子一摘脑袋还冒热气，像蒸汽机。到了单位发现锁冻的硬邦邦，根本拉不开。骑了二十七分钟，一上午上下班能骑一个小时，今天运动达标了。
1702194062# #昨天是因为我爸的无理要求做不到，于是他大骂我然后我被气哭。他要我大白菜炒鸡蛋还要炒面。这坨东西在北方（缩小到山西吧）人眼里，鸡食都不带这么吃的。哦对了他还做燕麦煮韭菜，鸡和猪看了都要吓死。
1699950664# #还在开会我要死了
1702042721# #晚安明天会是美好的一天
1700095207# #昨晚做了一个梦，梦里我妹站在楼层栏杆那要自杀，说是我逼的。我在里面也跟要疯了一样，说我根本没有逼她，但是周围人包括我妈根本不信我，所有人都在谴责我，我哐哐用脑袋撞墙，解释，跪在地上哭也没有人听我说话。然后硬生生给自己哭醒了，哭的满脸都是眼泪。
1700413664# #小孩都知道自己要做什么，怎么自己这么大人了不知道呢
1701622789# #我想眼睛自此一闭
1699942296# #起不来不想上班不想开会
1701045405# #快乐好容易被遗忘，我那会在上班路上还想着今天有一件特别开心的事想发微博来着，等我坐到办公室，死活也想不起来了。
1700116716# #路上骑电动突然被狗狂追那狗还狂叫，毫无征兆就从路对面窜过来开始追我。幸好我带着我妈，那狗边追我妈边骂，第一次听我妈那么脏的话笑cry那狗也真的吓死我了，冲过来的瞬间我就大叫，多亏心脏没病不然今天得被一只狗给吓死了。
1701423552# #路过被骂了
1701330278# #心里难受，就是感觉一直被按压紧绷的难受
1700707348# #嗨呀这个好听哎WAIYA！
1701912242# #好像也可以接受也子演禾晏了
1701908778# #早上好呀今天心情好像还不错
1699608808# #这个是瓷砖地痛死我了
1703027340# #好冷冷的想死
1700397110# #吃着谢危毛领子了
1701874264# #本人追星最爽的一点就是，第一眼就看着讨厌的人，会塌方，犯fa的，恋爱的。已经印证了6个了，今晚听朋友说又塌了一个，7个咯打call打call
1703906022# #每次跟家里吃饭比跟领导吃饭还尴尬还想钻地缝
1700471655# #阳光真好我不咋好
1702134526# #最近玩游戏上瘾玩节奏大师还充了钱还去🍑买了愤怒的小鸟然后今晚玩纸嫁衣根本不敢开一点声音又怂又好奇
1699955182# #老天爷啊一个会开仨小时还不结束，你们不渴的吗
1701216828# #今天零下十二度，把自己裹成大包子才感觉没那么冷
1703560667# #我现在特别想回家，路上买点炸鸡回家煮泡面。该死的办公室冻死我了，我下半身要没知觉了。
1702614500# #这种路都能骑电动的我称之为神人反正我是在这上面走路都差点摔了。太歹毒了，前一天下午微微化了会，晚上直接冻住还又下了层雪
1701486317# #续上命了
1701518196# #一念关山师徒这条线我真的有狠狠的get到，明晚鹫儿就见到师父了好刺激。我这个不爱看虐恋的人都狠狠心动，给我虐！单向狠狠的虐！
1702474252# #我刷到这个说鸟吃眼睛真的吓死了然后我发现我戴眼镜哈哈
