1690036843# #根据血糖水平和病情
1692961207# #【我母亲85岁，糖尿病20年，2012年开始注射诺和林30R，】谢谢你的信任！血压多少？有没有蛋白尿或者其他并发症？有没有其他疾病？
1694439319# #【这种肾病，不肾穿，也不治疗】外地粉丝线上咨询，说体检发现尿潜血3+，进一步检查是肾性血尿，也就是说红细胞来自于肾脏，但没有尿蛋白和高血压。当地医院建议肾穿，他不想做，问我怎么办？。肾性血尿，没有尿蛋白和高血压，大多见于两种情况：隐匿性肾小球肾炎或者家族性薄基底膜肾病，前者是一种非
1701178995# #也可以呀
1702995613# #🙏🙏🙏
1694357244# #真不是南方
1700230797# #为什么要换？
1692531250# #鲜花鲜花鲜花
1696669510# #世卫组织发布：血压低于115，身体可能更健康微博健康公开课听医生的话全国高血压日
1702389647# #周海媚去世【周海媚女士因血小板减少去世】刚刚得到消息，著名影星周海媚女士因病去世。。12月11日晚，周海媚在北京的家中因血小板减少昏迷被紧急送医，今天下午曾一度发布消息说已经抢救成功，但最新的消息证实已与昨天去世。。血小板是血液中的三大细胞之一，负责止血和凝血，同时还维护毛细血管壁的
1689512233# #天气太热，血压低于110应该减药了微博健康公开课
1695215241# #代沟就是：你换上新衣服在老妈面前转了一園说：妈，有范吗？老妈看了一眼说：有，在锅里，自己去盛。。我问爷爷：你有微信吗？爷爷说：我有屁威信，都是你奶奶说了算！。我又问奶奶：你会下载吗？奶奶火了：废话，我不会不崽，你爸是从哪里来的…段子
1690196407# #【你好，李大夫，男，今年42岁，2001年得过急性肾炎住院治疗】谢谢你再次咨询！血肌酐升高，但尿蛋白很少，不像是典型的肾小球肾炎，如果有条件，可以肾穿。目前你用的药，有价值的还是氯沙坦和非布司他，严格的饮食控制，在低蛋白饮食的基础上可以加用开同。在没有确诊前，先不加别的药。另外，每天1.
1698497923# #男性功能障碍就是肾虚吗？怎么改善微博健康公开课听医生的话
1693055305# #玉簪花
1701939399# #冬季血压波动，如何调整饮食和药物微博健康公开课听医生的话
1697984904# #一年后可以的
1690117736# #早知有盘山，何必下江南
1700314949# #鲜花鲜花鲜花
1695991044# #他乡纵有当头月，不抵故乡一盏灯。中秋思乡
1698334944# #goodgoodgood
1697458329# #半年一针的长效降脂药在天津上市微博健康公开课听医生的话
1699883615# #【血压高了有什么感觉？】我的球友不到50岁，去年就发现高血压，不当回事，今年体检血压还高，他老婆就命令他用药。今天打球时他对我说，现在感觉舒服多了，脑子轻松，全身也轻松。原来血压高时也没什么感觉，现在血压正常了回头再一想，之前还是不正常，头发沉，体力也不如现在。。我说，是啊，血压高
1697293517# #1w
1688986805# #【李医生：您好！我名方宏远，男，体重65.7公斤，湖南平江人，】谢谢你的信任！从你提供的检查也没有发现特别的问题，血肌酐高一点也不会引起恶心，你停了百令看一看
1693306808# #【李大夫你好iga肾病一直在咨询您这次一样例行复查】谢谢你再次咨询。仅剩尿微量蛋白，治疗效果非常好！如果血压降不到130/80以下，洛丁新可以继续加量。你主要盯紧高血压和蛋白尿两个指标，血尿不用过多关注。
1694528537# #嘻嘻good
1692010804# #【李医生你好，上次父亲透析之前咨询了您一次，上个月父亲开始透析】谢谢你再次咨询！血压高的原因一个人透析不充分（每周两次透析），但主要原因是透析导致肾素血管紧张素醛固酮系统激活，恰恰需要用沙坦类降压药，而且可以大量使用。
1694592186# #这是哪个指南说的？
1701083348# #人生没有最好的年龄，只有最好的心态。我们争不过岁月，也跑不过时间，唯有以自己喜欢的方式，活好每一个日出日落。运动
1690465436# #嘻嘻嘻嘻嘻嘻
1701089699# #4种感冒药混搭，16岁高中生急性肾衰竭微博健康公开课听医生的话
1692365461# #作揖作揖作揖
1699464598# #鲜花鲜花鲜花鲜花鲜花鲜花
1701514156# #神药
1694584108# #不一定
1700913049# #【有尿蛋白如果不肾穿怎么治疗？】26岁小伙子，因为水肿检查发现尿蛋白2+，尿蛋白定量2.3g/d，两家医院都要他肾穿，他不愿意，于是找我看诊听我的意见。。他没有糖尿病，血压132/86mmHg，大概率是肾小球肾炎，但是哪个类型的肾炎，要不要用激素，病情进展的是快还是慢，目前都无法确定，尿蛋白定量超过1
1690110009# #【李大夫.您好.我的家人.今年54岁.20年前因水肿去检查.后】
1695870627# #如果血压能耐受，可以加坎地沙坦
1702447772# #作揖作揖作揖
1687785494# #【糖尿病，一念之差就肾衰了】54岁的老林，糖尿病10年，开始还规律用药，后来感觉用药太麻烦，又听别人说糖尿病治也治不好，于是就停了药，也很少检查。最近感觉全身没劲，检查尿蛋白2.3g/d，血肌酐310µmol/L，已经肾衰了。。大数据显示，大约1/3的糖尿病会发生糖尿病肾病，而糖尿病肾病也已成为我国肾
1688739875# #统一：谢谢各位亲挤眼作揖鲜花
1687777204# #【你好，李大夫，男，今年42岁，2001年得过急性肾炎住院治疗】谢谢你再次咨询！血肌酐升高，但尿蛋白很少，不像是典型的肾小球肾炎，如果有条件，可以肾穿。目前你用的药，有价值的还是氯沙坦和非布司他，严格的饮食控制，在低蛋白饮食的基础上可以加用开同。在没有确诊前，先不加别的药。另外，每天1.
1688122805# #【李医生，您好！男孩儿20岁，17年元旦确诊一型糖尿病，发病时】谢谢你的信任！空腹血糖还是高，已经出现糖尿病肾病，现在胰岛素每天用量多少？美国没有批准苯溴马隆治疗高尿酸。可以换成非布司他
1698335056# #差不多
1691071834# #【长期服药引起的肾损害】50岁女士，最近体检发现血肌酐高而就医。她的血压不高、血糖不高、尿酸不高，没有尿蛋白，没有肾囊肿，倒是有一个不大的肝囊肿，经过检查，考虑是药物性肾损害。。那是什么药物导致的肾损害呢？。为了治疗肝囊肿，她一直服用逍*丸和小*胶囊，没有服用其他药物，分析应该与这两个
1704017595# #不是很严重，是非常严重！
1696597002# #是的
1699087419# #goodgoodgood
1690807999# #【打两针管一年，高血压治疗新时代】高血压有望不再每天服药，有一个新药，打一针管半年，而且降压效果优于现有的口服降压药。。这个药叫Zilebesiran，目前还没有中午名字，这是一种小干扰RNA，粉丝朋友可以理解成是一种生物制剂或者靶向药，每半年一次用药，像打胰岛素一样皮下注射。。那这个药通过什么
1692365469# #作揖作揖作揖
1693655516# #不是她老公，是另一位神人的老公
1699489751# #是的
1703903946# #肾功能有没有问题，可以计算肾小球滤过率。是慢性肾炎引起的高血压，还是高血压肾病，病史很重要。一般来说，高血压肾病的尿蛋白一般不会超过1-1.5g。如果病史不清，可以肾穿确诊
1703166380# #【糖尿病人高血压标准重大修改】查出了糖尿病，就担心并发症。其实，糖尿病心脑肾并发症的发生，除了因为血糖高外，还因为同时合并有高血压、高血脂等，所以糖尿病人在降糖的同时，还要严格控制血压和血脂等。ADA刚刚发布的《2024版糖尿病诊疗标准》，对糖尿病合并高血压如何控制进行了指导：。1、糖尿
1687093007# #药都是好药，为啥还要吃保健品
1690802489# #把身体照顾好，把喜欢的事情做好，把重要的人待好，你要的一切都在路上！运动健康
1694599438# #这两类降糖药不要合用微博健康公开课听医生的话
1699880132# #作揖作揖作揖
1690031154# #goodgoodgood
1700999259# #退役运动员糖尿病失明令人惋惜微博健康公开课听医生的话
1696386862# #沙坦类和普利类降压药，列净类降糖药，非奈利酮，激素，免疫抑制剂等不都是治疗肾病的药物吗？不吃那些没有证据的药就是不治疗吗？
1692365451# #作揖作揖作揖
1689680082# #世界上有两种可爱的人，第一种是记性差的，第二种我忘了。运动
1702207591# #肾脏病人冬季血压控制策略微博健康公开课听医生的话
1698148738# #【有些仿制药太坑人】原研药也叫原创药，花费巨资研发，价格比较高。仿制药也叫仿造药，按照原研药的配方生产。一般来说，仿制药的疗效不如原研药，《大宅门》中白家三爷偷出了祖传秘方也没制成原味的药，说的就是这个道理。但仿制药因为价格亲民，所以还是有积极意义的。。不过，一些仿制药企也太坑人
1696854376# #降压保肾，哪些药合用更好微博健康公开课听医生的话常吃甜食会导致高血压吗
1695729798# #羽坛三剑客，平均年龄60多运动
1695735478# #【厄贝沙坦片的副作用与危害】说厄贝沙坦之前我先给大家讲讲我的故事。20多年前我母亲有高血压和房颤，那个时候没什么好药，血压降不下来，房颤也控制不了，我就去找我的同学、心血管专家郭艺芳，他给了我一种正在做临床试验的新药，和原来用的地平类和洛尔类联合使用，没想到用药1周血压就正常了，房
1694613596# #调整降糖药
1695860805# #初秋之晨
1696215246# #鲜花鲜花鲜花
1693911611# #【李医生，您好，我老公（43岁）一直检查有潜血和蛋白，尤其红细】
1690537125# #高血压治疗新时代，打两针管一年微博健康公开课
1700301603# #只要没有严重心衰、肾衰、水肿，可以呀
1698970730# #🙏🙏🙏
1690117900# #盘山
1694528463# #是的
1699794120# #相对后者的影响小一些
1698574247# #心脏病发作是怎么回事微博健康公开课听医生的话
1688172111# #goodgoodgood
1692715878# #goodgoodgood
1696506162# #络活喜
1688817640# #微博多封面图封面图可以上传9张图片啦！太棒了，美美哒图片终于可以一起展示啦，快来一起围观吧~
1692017856# #列净类降糖药使用注意事项微博健康公开课
1690628408# #【医生您好，女儿6岁7个月。一年前发现有尿频情况，带到医院检】谢谢你的信任！我个人意见是薄基底膜肾病，可以不用治疗，什么药都不用，不要再折腾孩子了，否则心理出问题
1698060295# #【人生有焦虑，但能走过去】人生就像长途跋涉，会有无数低谷，但每每回头看，距离上一次低谷，已经完成了更多事情，走了更远的路。人不可能每一步都正确，但好在生命广阔复杂，没有一个失败会决定我们的一生，站在更长的时间维度里看问题。当下的很多困扰都不算什么。。微笑，因为生活值得快乐生活
1700476741# #鲜花鲜花鲜花
1697366529# #一周内应该有了
1698934228# #🙏🙏🙏
1701264798# #锻炼身体
1688477898# #【导游中暑去世，酷热天气，我们还要做什么】据媒体报道，7月2日上午，一49岁北京导游高温下在景区内带团游览2小时突发热射病，经抢救无效不幸去世。49岁是人生的黄金年龄，这个年龄去世留下许多惋惜和疑问。。这个事件再次提醒大家，晒死人不是在开玩笑，热射病也不是吓唬人，高温天气真是会出人命的。
1701264745# #goodgoodgood
1697366493# #生态城红叶
1687268292# #糖尿病前期离糖尿病有多远微博健康公开课健康素养提升v计划
1697294021# #贵了
1699692353# #天津大学泰达医院，位于滨海新区
1702090451# #我回答了的问题，问题价值￥50.00，大家快来花1元围观~
1704208237# #作揖作揖作揖
1696426859# #你想多了
1690118792# #【降压药中是不是有激素？】25岁小伙子，血压特别高，检查原因是肾上腺增生引起的醛固酮增多症，醛固酮增多导致高血压，这种高血压青年人就出现，血压特别高，而且很难控制，3种降压药也降不下来，少数人可能还会有低血钾。。我给他用第二代醛固酮受体拮抗剂依普利酮治疗，血压很快就降到正常。第一代醛
1689080893# #嘻嘻作揖
1694612361# #【减肥药进医保带来的思考】本周一，降糖药Wegovy继美国之后被英国批准用于减肥，有没有糖尿病都可以用。在这一消息的刺激下，诺和诺德公司的股价大涨，一跃超过奢侈品巨头LV公司的股价，成为欧洲股市的一哥。。Wegovy，在中国的名字叫司美格鲁肽。。英国的卫生和社会保障大臣针对这个事情解释说，Wegovy
1702901518# #严重心衰还要坐飞机去海南的老人微博健康公开课听医生的话
1703502415# #进医保前已经谈过了
1697547526# #达格列净和非奈利酮又有新进展微博健康公开课听医生的话
1699888982# #最好用阿托伐他汀
1687040930# #父爱如山：深沉的情感能跨越历史和时间父亲节
1701614860# #good
1700631183# #goodgoodgood
1694337548# #分享图片
1698455839# #传承医者精神，共筑全民健康，祝贺中国医师公益大会的召开
1691594797# #非奈利酮的降尿蛋白效果好，降压效果差，还不能替代
1693649978# #路边风景
1699434100# #看电脑、看手机，习惯太不好
1690115497# #25岁糖尿病肾病，什么原因微博健康公开课
1703594512# #糖尿病人血压标准重大调整微博健康公开课听医生的话
1701488744# #有
1694528367# #应该查
1687436235# #阳了两次就肾衰了微博健康公开课健康素养提升v计划
1697811472# #【达格列净和非奈利酮又有新进展】之前的研究已经发现，糖尿病肾病和糖尿病合并肾病患者，联合使用非奈利酮和列净类可以降尿蛋白，保肾，也就是延缓肾病进展，那这个治疗方案对没有糖尿病的肾脏病是否有效呢，安全性又怎么样？。9月26日，《临床肾脏杂志》发布了一项来自丹麦的大型临床研究结果，发现对
1694528411# #可以作为一个选项
1692801885# #你可能理解错了
1696243057# #【诺贝尔生理学或医学奖揭晓】刚刚，2023年诺贝尔生理学或医学奖揭晓，宾夕法尼亚大学的两位教授卡塔林·考里科和德鲁·魏斯曼获奖，以表彰他们在基因修饰方面的发现，他们通过mRNA修饰，从而使人工合成的mRNA能够安全地注射到人类细胞内，为疫苗研发做出了突出贡献，在抗击新冠中为人类争取了宝贵时间
1696214187# #“本来就是”是什么意思？
1694584130# #不建议停
1693740007# #【血压降不下来，也许是这个原因】球友有高血压，用两种降压药一直控制的挺好。一个月前回老家，今天回来跟我说，最近一周他的血压又高了，高压、低压都高，问我什么原因。。我说你回老家是不是喝酒多呀。他说不是，在老家和在天津差不多，没什么变化。我又问他是不是换药了，他说没有，还是那两个药，
1700314942# #没有硬标准，出现肌溶解就过度了
1699452577# #作揖作揖作揖
1693055425# #故道河，慧风溪
1699096691# #作揖作揖作揖
1694437673# #新发现，这类药可减少痛风复发微博健康公开课听医生的话
1703602344# #goodgoodgood
1697116409# #【普利类降压药首选哪种】普利类降压药是常用的一线降压药之一，除了降压还能降尿蛋白和保肾，多用于中青年高血压，高血压合并肾脏病、合并糖尿病、合并心脏病等。。普利类降压药的学名叫血管紧张素转换酶抑制剂，通过减少血管紧张素Ⅱ的生成而降血压。这类药降压效果很好，但许多人用了以后出现干咳，
1702900588# #作揖作揖作揖goodgoodgood
1699624504# #盘点九大伤肾行为微博健康公开课听医生的话
1700919176# #作揖作揖作揖
1695131836# #【这两类降糖药不要联用】有两大类降糖药，虽然都不错，但不要联合使用。一类是肽类降糖药，包括司美格鲁肽、利拉鲁肽、度拉糖肽、艾塞纳肽等；另一类是列汀类降糖药，俗称“五朵金花”，包括利格列汀、西格列汀、阿格列汀、维格列汀、沙格列汀，请注意是列汀类，而不是列净类。。这两类药都是通过肠促
1693919176# #嘻嘻作揖
1690189741# #请看我刚发的视频
1693489434# #【高血压和糖尿病离婚了】高血压和糖尿病离婚没几天，就狂热地去追求心脏病了。心脏病是个老姑娘，想都没想，就答应了高血压的求婚。心脏病喜欢高血压人实诚，说犯病就犯病。但高血压内心还有些留恋糖尿病，和糖尿病离婚，是因为糖尿病水性杨花，经常瞒着自己偷偷去找胰岛素。可怎么说俩人也曾是金童玉
1689690897# #鲜花鲜花鲜花
1691492408# #【李主任您好，我57岁，高血压，高尿酸，高血脂，图是18年，2】谢谢你再次咨询！效果还不错，肾功能很稳定。非布司他可以减半。你严格控盐1-2周，如果低压还高，厄贝沙坦可以加倍。
1697882101# #深秋蓟州
1688900472# #北方蓝
1696849544# #你不开心，是因为你无法接受自己！运动
1701783817# #goodgoodgood
1703994072# #【朱令的铊中毒是怎么确诊的】清华才女朱令案件，开始并不知道是铊中毒，甚至开始都没有意识到是中毒，还以为是得了某种怪病。是她的同学，利用当时对绝大多数国人还非常陌生的互联网，多方问询后才帮助医生做出了诊断，可惜延误了治疗时机。。如果当时能及时诊断、及时治疗的话，结局可能要好许多。甚
1700574150# #新研究结果发布，二者没有关系，优待FDA修改适应症
1690455605# #【我母亲85岁，糖尿病20年，2012年开始注射诺和林30R，】谢谢你的信任！血压多少？有没有蛋白尿或者其他并发症？有没有其他疾病？
1687596793# #尿蛋白3+怎么治疗微博健康公开课健康素养提升v计划
1691667069# #因为个人原因，今年夏天本人依旧保持肥胖。运动减肥
1700315000# #假的
1687345211# #【男33岁，178cm，94kg，12岁有过尿血后恢复正常，近】谢谢你的信任！初步考虑慢性肾炎，不排除肥胖相关性肾病，肾功能减退，估算肾小球滤过率66，还不太严重。右肾不小，而且右肾皮质1.6cm，比一般人还略厚，并没有萎缩，建议肾穿确诊。如果是肥胖相关性肾病，肯定不能用激素了。
1687060490# #生态城静湖花岛
1701440223# #不少见
1688817498# #微博多封面图封面图可以上传9张图片啦！太棒了，美美哒图片终于可以一起展示啦，快来一起围观吧~
1699089536# #嘻嘻作揖
1695870604# #可以呀
1693139452# #预防核污染，吃药行，吃盐不行。天津大学泰达医院李青。这几天突然刮来一阵风，说碘盐预防核污染，于是就有人开始抢盐。其实，这是彻头彻尾的谣言，药用的碘片可以预防核污染，但碘盐不行。。过去的三年老百姓真是不容易，抢酒精，抢口罩，抢完大米抢中药，现在又开始抢盐。12年前人们就抢过盐，结果怎
1690974006# #【李大夫你好iga肾病一直在咨询您这次一样例行复查】谢谢你再次咨询。仅剩尿微量蛋白，治疗效果非常好！如果血压降不到130/80以下，洛丁新可以继续加量。你主要盯紧高血压和蛋白尿两个指标，血尿不用过多关注。
1696597033# #早控制，没事的
1699277728# #【基辛格为什么能长寿？】美国前国务卿基辛格生于1923年5月，已经100多岁了，到现在还活跃在政坛，2021年出版过一本关于人工智能的书，今年7月20号还坐十几个小时的飞机访问中国。。那他为什么能活得那么长呢？他自己调侃说：他长寿的秘密可能是投胎投对了，家族基因好。他父亲活到95岁，母亲97岁，弟弟
1697294069# #药量没问题，黑斑瘙痒和药关系不大
1701601679# #德佩昊苍，方兴砥平
1701264784# #太多的教训了
1695121205# #【发现血尿，就一定肾脏是肾脏有问题吗？】发现血尿，就一定肾脏是肾脏有问题吗？天津大学泰达医院李青1、什么是血尿？尿液离心，沉渣中红细胞＞3个/高倍视野就是血尿。尿潜...微博名医诊室
1695901320# #硝苯地平控释片的功效和副作用微博健康公开课听医生的话
1699884251# #【糖尿病就一定尿糖吗，尿糖阳性是糖尿病吗？】糖尿病，顾名思义就是尿中有糖。那糖尿病就一定尿中有糖吗？或者说尿糖阳性就一定是糖尿病吗？听我讲一个例子，就能明白。。一位粉丝问我，他是iga肾病，昨天尿检发现尿糖4+，血糖正常，问是肾性糖尿吗？是不是肾病加重了？。一般来说，血糖特别高，超过13m
1695214222# #生物人工肾，未来可期微博健康公开课听医生的话
1701432494# #对呀，都快梗了
1702549479# #今天好大雪
1699058573# #应该加用列净类
1691416786# #【买二发三】低生堂杂粮麦片500g8种谷物麦片中老人孕妇燕麦代餐。。【现价】20元。【券后价】18元。【优惠券】2元。
1694948404# #【李医生您好，多年前因尿酸高咨询过您。我父亲脑出血后遗症患者，】你父亲高血压多少年？最高多少？出现过低血钾吗？查过肾上腺吗？
1688295611# #【您好，本人男，32岁身高180cm体重70kg。19年12】谢谢你的信任！你这属于继发性膜性肾病，尿蛋白定量最高多少？血压多少？掉头发是环孢素的问题
1700295217# #正常的
1688567374# #著名歌手李玟因抑郁症轻生去世。。有一种抑郁症叫“微笑抑郁症”，患者总是把自己最好的一面展现给别人，内心却十分痛苦、抑郁难受，明明患有疾病，却要假装坚强，把悲伤留给自己，不把坏情绪传染给别人。。向李玟致敬！微博健康公开课李玟去世
1687180476# #【一次说清：沙坦类、列净类药物，是保肾还是伤肾】目前公认有四类保肾药物：普利类降压药、沙坦类降压药、列净类降糖药和非奈利酮，但它们都有一个共同的副作用，就是血肌酐升高。。血肌酐高了怎么还保肾，这不是自相矛盾吗？。首先我先说说什么是保肾。保肾的意思是延缓肾损害而不是逆转肾功能，用药后
1697284115# #good鲜花
1702299783# #goodgoodgood
1697548548# #【没有不舒服，做什么体检】许多疾病，早期是没有不舒服感觉的。但没感觉不代表没有疾病，你非要等不舒服了才去看病，可能病就很重了。。56岁的女士，感觉恶心、乏力来医院检查，一查严重贫血，血红蛋白62g/L（正常115～150g/L），大量蛋白尿，血肌酐高1303μmol/L（正常46~92μmol/L），已经是尿毒症了
1693625756# #good
1702800908# #2期，科学用药没问题
1703598144# #【地平类降压药影响补钙吗】有一位粉丝留言说，她父亲担心地平类降压药影响补钙而不敢吃这一类药，她问我地平类影响钙的吸收吗？。地平类降压药包括苯磺酸氨氯地平、左旋氨氯地平、硝苯地平控释片、硝苯地平缓释片、贝尼地平等，是常用的三大类降压药之一，也是老年高血压的主力用药。。地平类降压药的学
1694602807# #【医生您好，女儿6岁7个月。一年前发现有尿频情况，带到医院检】谢谢你的信任！我个人意见是薄基底膜肾病，可以不用治疗，什么药都不用，不要再折腾孩子了，否则心理出问题
1689080866# #会
1688304289# #【高血压，一个无奈的故事】我今天不讲科普，讲故事。。有一位农民工兄弟，陪老婆来看水肿。老婆看完后问我能不能给他也量量血压，我说没问题，让他坐在那一量，血压150/100mmHg。。他不到50岁，高血压已经几年了，现在也吃药，不过吃的都是那种很便宜的药，效果当然也不好。他很少体检，是否已经出现
1691578804# #【男33岁，178cm，94kg，12岁有过尿血后恢复正常，近】谢谢你的信任！初步考虑慢性肾炎，不排除肥胖相关性肾病，肾功能减退，估算肾小球滤过率66，还不太严重。右肾不小，而且右肾皮质1.6cm，比一般人还略厚，并没有萎缩，建议肾穿确诊。如果是肥胖相关性肾病，肯定不能用激素了。
1697366844# #1w
1702728554# #鲜花鲜花鲜花
1697462696# #【世卫组织发布：血压低于115，身体可能更健康】关于高血压的诊断标准，学术界有点争议，但对血压的控制目标，学界的观点却是一致的，就是越来越严格。不过，世卫组织刚刚提出的血压超过115mmHg就危险的概念，许多人可能就难以接受了，其实，我们专业人员也感到突然。。上个月，世界卫生组织发布了《全
1691890372# #躺平
1692187990# #【降血压，哪项运动效果更好】我们都知道，运动可以降血压。那在如此众多的运动项目中，哪种运动模式降压效果更好呢？多数人可能认为有氧运动更好，今天我介绍的这项研究结果可能颠覆你的认知。。近日，《英国运动医学》杂志上发表了一篇由英国坎特伯雷大学完成的一项研究结果，发现平板支撑、靠墙蹲等
1695561017# #对
1700297947# #喝水多尿多就是肾不好吗微博健康公开课听医生的话
1697294139# #估计一年半以后
1700547787# #走路去坐车
1692441797# #中国医师节听医生的话保肾秘诀：定期体检，有病早治，控制三高，不乱用药。
1692349497# #低生堂高山黑苦荞麦片500g袋装0糖低脂苦荞原料老人儿童孕妇即食麦片1只装。。【现价】20元。
1702392954# #查病因如同凶杀案找凶手，不是一句两句能说清
1692794824# #许多糖尿病人的“通病”微博健康公开课
1699534147# #嘻嘻good鲜花
1699091874# #用了等于没用，有些仿制药太坑人微博健康公开课听医生的话
1692019846# #【这些肾病，肾功能是可以逆转的】今天这个肾功能逆转病例，给许多肾病患者带来了希望，听我详细介绍是怎么做到的。。32岁的大美，2年前因为脚趾关节疼痛就医，检查才知道血尿酸520µmol/L，血肌酐也高，但没有高血压、糖尿病和尿蛋白。为了明确肾病病因，做肾穿确诊为痛风性肾病，也叫高尿酸肾病。。当时
1696325558# #在搞钱与搞对象中选择了搞笑
1699357925# #六种常见他汀类降脂药大比拼微博健康公开课听医生的话
1702907804# #goodgoodgood
1698378371# #低生堂【10月新产】高山黑荞麦片无糖干吃冲泡纯粗粮早餐代餐1袋
1687526048# #是的
1700547754# #走路去坐车
1701264544# #嘻嘻
1703243554# #【2023年十大科学突破，减肥药位居榜首】上周，世界著名的《科学》杂志发布了2023年度十大科学突破，其中包括地球碳泵、天然氢气、AI天气预报、宇宙黑洞、超级计算机等，医学领域有疟疾和阿尔兹海默症的治疗，但在这些科技突破当中荣登榜首却是司美格鲁肽等肽类药物用于减重。。《科学》杂志是一个学术
1690801209# #【你好里李大夫这是我老妈的肾功能检查报告！我妈今年72岁！要怎】谢谢你的信任！原来有什么病？发现血肌酐升高多长时间了？血压血糖高吗？
1689505208# #【主任您好，我是男，29，单纯血尿10年，但镜下血尿也是时有时】谢谢你的信任！隐匿性肾小球肾炎，血压正常（白大衣血压），不用任何治疗。你目前最大的问题是焦虑，太焦虑了
1700493059# #goodgoodgood鲜花鲜花鲜花
1690025070# #给糖尿病人的十大忠告微博健康公开课
1692715952# #你说说，你准备到了什么情况才用药？
1692872785# #谢谢您作揖你的微博内容不少，2020太远了，您复制一下私信给我吧
1692968067# #一个糖尿病人的泣泪劝告微博健康公开课
1699534124# #鲜花鲜花鲜花
1688863411# #嘻嘻good
1702392107# #爱问医生APP
1702252192# #初雪雪
1689159608# #【发现血尿，就一定肾脏是肾脏有问题吗？】发现血尿，就一定肾脏是肾脏有问题吗？天津大学泰达医院李青1、什么是血尿？尿液离心，沉渣中红细胞＞3个/高倍视野就是血尿。尿潜...微博名医诊室
1691924405# #【医生您好，女儿6岁7个月。一年前发现有尿频情况，带到医院检】谢谢你的信任！我个人意见是薄基底膜肾病，可以不用治疗，什么药都不用，不要再折腾孩子了，否则心理出问题
1692528889# #没有出血可以的
1700658860# #【目前感染甲流多见，大多不需要输液】今天门诊结束的晚，在食堂遇到了儿科主任，就聊了几句。她说这一上午太累了，已经撑不住了，真想就地躺平。往年这个时候呼吸道疾病也是高发，但今年和往年不太一样，现在“牛鬼蛇神”全来了，新冠、支原体、流感悉数登场，上个月以支原体感染为主，现在又是甲型流
1692011240# #世界的模样，取决于你凝视它的目光。自己的价值，取决于你的追求与心态！运动生活
1702614582# #good鲜花
1697030850# #理解不了，能否发来检查结果的图片
1701178546# #【高血压的危害，不是你不懂，而是你不信】53岁患者，30多岁就发现高血压，既不检查，也不治疗。6年前心梗心脏放了2个支架，从那以后开始吃药，可用了一年多感觉没事了就停了。前一段时间再发心梗，心脏又放了两个支架，而且肾功能也出了问题，血肌酐升高了。。我告诉他，他的冠心病还有肾衰都是高血压
1701264685# #good
1696214157# #建议用激素
1697881647# #天津蓟州府君山红叶红叶
