1700114003# #这联通服务越来越不靠谱了🙏🙏
1700217604# #中医玩转阴阳超话。。李可老先生关于现代人百分之九十以上身体虚寒的说法可能是错误的。。当全国各地到处都在用各种体外扶阳之法补阳的时候，我们用一双手便可激活人体发热，发烫。。。手法开穴通脉，经络疏通2小时手的变化。右手肿消了，暗红退了。本人没想到手的颜色会变成这样，周老师自己也没有想到
1689347664# #中医玩转阴阳超话。挺热闹的啊。有这排队的时间，我们都可以把后背和小肚子推热了。一套伍行开穴手法做下来排冷汗真的是杠杠滴🙏鲜花
1699217225# #中医讲究的是逻辑推理，比如一个久治不愈的咳嗽，听咳嗽声音从哪里发出，是肺部，嗓子，气管处，还是后背靠心口的位置等，如果在肺部就调理肺部，清理肠道垃圾。如果在气管处附近是气逆，就降气，疏通三焦。如果在嗓子附近，咽喉按骨治原则，可以用外治法去湿活血化瘀，我们研发的一喷灵就喷1到3次好了
1699766386# #🙏🙏
1697856965# #分享图片
1700148325# #转发微博
1702999391# #老人和孩子，做好准备了吗？除了疫苗，抗生素，输液等，还能拿出科学有效的快速解决问题的方案，方法吗？
1700004768# #中医玩转阴阳超话。102岁的老人对中医的看法是，老百姓相信中医，学术界不相信中医🙏鲜花
1695984833# #分享视频
1699617630# #药物也可能引起咳嗽。🙏鲜花
1693489563# #中医玩转阴阳超话。聊聊带状苞疹后遗症。。久治不愈，很多年各种的治疗还是反复发作？为什么？。带状苞疹出现的疼痛首先确定是实证，邪实。。清热，开鬼门，通三焦，利水渗湿。痛处在心经路线，与检查看到的舌尖红点确定热主要在心脏。。清全身，清心火，肝胆火，肾火，肠道之火等等。。用四两拨千斤之泻
1699749148# #按区域划分，无条件接受该区域中国学生，在中国开办学校没有条件约束的话，就是隐形炸弹，每个中国人都知道这个道理。地方官的脑袋不会是出差了吧？哪个部的职责呢？🙏🙏🙏🙏
1698249958# #中医玩转阴阳超话。。
1698472940# #中医玩转阴阳超话。国医是行业大咖不假，大咖也不是完美的对吧？。目前的情况是有证的也有很多不能解决根本问题的，就听到过传言，在北京排了几个月的队，找国医看的，开了几十副药喝了没有效果。还有说在北京找了三位国医开了108副药喝了没效果的。。。多年以前还遇到一位老师自己说的找我们当地国医
1691381432# #我分享了文章
1693520614# #这个玩意真是害死人，头天提前买进去，第二天高开不出反手下杀。上午看着飘红走好，追进就焖烧锅炖肉了。从散户那里听来的。。国家给了超级利好，人心振奋。开盘就融券大单杀出，抢钱啊，跟土匪有啥区别。高开跳水，中国式奇葩吧🙏。引进的量化交易，如果不是这次超级利好后表现出来，谁能想到会是这
1693310222# #中医玩转阴阳超话。7岁的娃排出来的汗这么混浊，你能想到么？。你想说点什么？🙏鲜花
1697509227# #中医玩转阴阳超话。昨天看到一个小视频，武汉雷神山的抗疫房算是暂时废了吧。。。现在回忆一下，想想，医院面对当时突然爆发的疫情手足无措，人太多了像潮水一样对不？大咖去了，一句话人传染人，算是定性了对不？。。然后举国之力前去解救对不？不管是官方层面的救援，还是出师无名的民间自发组织的救
1694402688# #中医玩转阴阳超话。就这扁条体发炎，在咱这就不是事哦。。一口清加几滴在50℃左右的热水杯里，然后慢慢的含着喝热水，感觉很快就好了。。有老人啊，嘴巴张不开，水都喝不下去了，用鼻饲。然后呢，加了一滴一口清在有热水的勺子上，慢慢的滴漏进去，第二天就能端着碗喝下水了。。还有嗓子里面还有长结石
1699401571# #中医玩转阴阳超话。如果是做美国佬的代言人，人生或许就变了味🙏鲜花
1697533339# #小红豆甜不辣的笔记这些年历经了孩子多次发烧来说，比较棘手一次也就是碰到过一次连续发烧了3天，高烧了3天后疹...（分享自
1694326367# #中医玩转阴阳超话。大公鸡🙏鲜花
1689433794# #中医玩转阴阳超话。三伏天的太阳啊，🙏🙏。。玩转阴阳，我们伍行开穴通脉手法调理，穿筋透骨，后背按摩从冰冷到温热，再到出汗，到冰冷的小肚子变温，手法就可以做到，哪里需要受这罪哦🙏鲜花
1699575808# #中医玩转阴阳超话。网上看到一个小视频，有人自己配药喝出问题来了。。人生病自救是看不到希望，看不到未来的，是一种求生欲望支撑，支持的。是被逼无奈的选择。。在这种情况自学中医是为了苟且的活着，不知道生命会在什么时候就戛然而止。自学的过程是几十年看不到希望的沉下去，这个过程及其漫长，
1688182931# #转发微博
1696205344# #转发微博
1696946745# #用我们一口清好像目前还没有遇到过这些手忙脚乱的事情。一口清就像傻瓜相机一样，中医关于清热的辩证好像都可以使用，好像寒热互结的难题还可以轻松解开。🙏鲜花
1701003555# #中医玩转阴阳超话。发愿，如果能有机会配合大咖，专家们现场演示，如何精准快速解决一些问题。那将会是一件美好的事情鲜花🙏
1691367110# #中医玩转阴阳超话。关于花斑癣的一个故事。大约在10年前，自家先生得了这个病，前胸后背起满了这种咖啡色的斑块，当时去医院开了很多外用，内服的药治疗，反复发作。久治不愈。眼睛红的像滴血，床头上各种的眼药水瓶子。。自己喝五行养生补虚补阳的同时调理阴阳平衡后，身体很多问题竟然消失了。于是
1701617816# #中医玩转阴阳超话
1701509943# #黄晓明超话借帅哥的超话宣传有人间烟火味的中医，感恩🙏🙏
1697855777# #中医玩转阴阳超话。希望能为支原体肺炎出现的大面积医疗资源紧张提供科学的有效的解决方案。。1咳嗽久治不愈，反复发作，有的出现了支气管炎，支气管肺炎。支原体肺炎等。。。2咳嗽到肺部出现野路纹，咳嗽到内脏痛的要吐出来的感觉，咳嗽到小便被震出来。咳嗽到整夜不能入睡。白天，黑夜不停的咳嗽。。。3
1693130659# #全面放开民间中医，放开百姓服务空间，项目等。推广预约上门服务，每个中国人都是监督员，发现问题，及时上报。让汉奸，特务，卖国贼在中国人民的全面监督下无处遁形，可以么？🙏🙏
1700622007# #中医玩转阴阳超话。痰粘在肺上。排不出来🙏。。怀疑美国没问题，关键是痰粘在肺上，吸痰都吸不出来。。。以前的微博有说过，福建黄玉芹老师说过，她娃去医院吸痰，遇到同病房的娃娃，住院一个月，干咳吐不出痰，出院还是这样。。。洗肺，用激素等理论上是下策，没有办法的办法。看看我们2020年武汉疫情
1700091046# #中医玩转阴阳超话。手指筋被打断手术后的夜里出现发热，小便变黄，伤口处能量就像电流一样往伤口汇聚，到了感染期。当时是疫情期间医院全封闭，为了自救带了三组合。夜里12点起来去水房打了一杯开水，加了2ML一口清在热水里，慢慢的小口的喝下了一杯热水后，伤口的那个胳膊能量汇聚现象没看了，伤口
1701863916# #中医玩转阴阳超话。。很多年以前咳嗽反复发作，吃过各种的止咳药，基本上就是消炎，止咳糖浆。镇咳类的药。中间有几次吃了蛇胆川贝枇杷膏，越吃咳嗽越厉害，从咳嗽发展到支气管炎，然后又吃急支糖浆基本上没什么用。各种的止咳药吃过，还是反复发作，越治越严重，最后整夜咳嗽不停，肺部出现野路纹，
1697122536# #中医玩转阴阳超话。去年疫情放开的时候，福建林老师排出来的是绿痰。这次大的娃娃排出来的也是绿痰。如果脓状的绿痰有腐蚀性的话，想想是不是有点后怕，新冠病人的肺有的就是被细菌吞噬的吧？。如果不排出来怎么可能看到呢？。娃娃的问题有多少是排不出痰的呢？🙏鲜花。黄绿色粘痰，高度怀疑美国
1702165089# #中医玩转阴阳超话。有证代表着权威或者顶流的大咖或者专家教授，代表着专业医师，代表着官方认可的确有专长，这个不假。但是不代表着老百姓认可，世俗的认可对不？。如果都能治好的话，病友邦还有这么多故事么？都说自己很牛，门派众多，谁都有绝招，有短板对不？。还不如搞个比赛，电视直播现场治疗
1700404869# #中医玩转阴阳超话。。转发🙏🙏。论“非法行医”。。中医自古是能者为师，谁都可以学，谁都可以用，常常是百姓日用而不知。曾经是融入中国人生活中，是无处不在的，是与国人的衣食住行不可分割的存在。而今，世道变了。牧师管起了和尚，你还没有申辩的机会，牧师说什么就是什么。牧师扛着“科学”的
1697110882# #转发微博
1700442912# #联通怎么了，利欲熏心黒了心么？🙏
1699279196# #中医玩转阴阳超话。。
1701340827# #中医玩转阴阳超话。咱们有综合方案理论上可以精准快速解决问题，希望能对接相关方面，现场演示。🙏🙏
1702477311# #中医玩转阴阳超话。。刚才跟山东太极协会李老师聊天，说我们教她的方法好用。。。不吃药，不打针，不输液。孩子不受罪，还不排斥。家长也不用着急。也不用发热高烧半夜起来一路狂奔去医院挂急诊。还不用去医院加入排队大军。这么多好处，。。发现娃娃不对头，用伍行调理第一时间多喝热水，做个手法开穴通
1695628196# #中医玩转阴阳超话。看到了网友的分享。。想到前几天，湖南的老师电话告诉我，有位朋友咳嗽很久，到处治疗，很久也没有治好。他就把自己喝的五行止咳给朋友喝了30ML，朋友后来告诉他，咳嗽彻底的好了。。还有去年福建黄玉芹老师的儿子住院吸痰，遇到好几位娃娃干咳住院吐不出痰来，出院了还是吐不出痰
1702436960# #中医玩转阴阳超话。。理论是基础，这个不假，可是要真正的排出这样的顽痰，排出堵在身体里面的顽痰，有多少人可以做到。。。会了不难，难了不会。成药如果真的好用，咳嗽就应该很简单，很好治愈，就不会有那么多咳嗽病人了不是？。。白痰在肺，粘痰在脾，久痰在肾，。。【怪病多痰】。咳嗽、气喘、呕吐、中
1695888241# #中医玩转阴阳超话。。昨天接到老太太电话，说去体检了，医生说心脏很好。老太太是手术后恢复的最好的。。。老太太打过猫。去年9月，老太太血压高。检查后感觉血管可能有淤堵，就在后背心肺俞刺血，拔出8罐瘀血。建议去医院输液清理血管，并检查一下淤堵在哪里。后来去了二院，医生给按支气管肺炎治疗。
1699283076# #中医玩转阴阳超话。土八路赞鲜花鼓掌
1701094289# #中医玩转阴阳超话。用中医的方法5天可能就解决问题了，为什么呢？🙏🙏。体内有热，热毒发炎，化脓。火在嗓子，如果向上可能脑膜炎，脑部炎症。如果向下就可能肺部炎症。火在胸部，手三阴经筋有问题结于胸部。心，心包，肺。要解决脏腑问题，经络问题，寒热症状，虚实夹杂，等等问题，哪里是吃抗
1698468925# #转发微博
1689259515# #中医玩转阴阳超话。网友这思维发散的吧？假的有哪些来，地沟油，加化学添加剂的科技与狠活的食材，假发也带了个假字哦🙏🙏
1687966912# #。。科学研究的终极目标是认识世界，而不是追求功名利禄。对科学有真正贡献的总是那些特别能耐得住寂寞和孤独的人。。。市场要追求大众喜欢的东西，而科学研究追求的是深入和彻底。。。许成钢：我想说的不止限于最伟大的天才会不会被扼杀的问题。对于任何人，他对科学有强烈的兴趣、他
1700019342# #转发微博
1701300850# #不要制造忧虑好不？会了不难，难了不会。体内寒热互结，冰火两重天。热邪在内，炼液成痰，痰粘在肺部，排不出来，有的就用洗肺的方法等等。遍地的病人是认知决定的。这些问题在西医是翻不过去的山，在中医就是鸡毛菜。不然呢？来一次中西医PK，看看如何？🙏🙏
1696939307# #中医玩转阴阳超话。再次发声，。从2000年武汉新冠疫情开始在微博发声，希望伍行止咳能为疫情做点事情，到武汉封城前一天小棉袄从武汉回到蚌埠，当时的蚌埠可以说是草木皆兵，我们用伍行止咳自救平安渡过，上百次的核酸检测全都是阴性。。到2022年底新冠疫情全面放开，我们又用伍行止咳自救，互救，帮
1692884928# #炫富式举报的格局大了。。女子炫富，老公被开除。。原因是举报没有人理，举报没用。。🙏🙏🙏🙏
1703340437# #中医玩转阴阳超话。没有民间中医参与的中医，能带来中医真正的繁荣么？。官方中医追求的是学历，地位，资历，职称，学术论文的多少，证书的多寡，论资排辈，收入的多少等等。在当下浮躁的社会，为利益的人又比较多。。。民间中医是为了活命，为了自救，或者为了救家里的人，或者死马当做活马医，拿命去
1701617350# #热门榜单超话
1695393683# #中医玩转阴阳超话。。看到大家在探讨预制菜的问题，翻出来了几年前的视频。我们的伍行炖鸡汤朋友们有缘品尝到了，孩子，老人非常喜欢这纯正地道的原味鸡汤。这个纯正的香是食材本来的，原汁的味道。鸡汤里面好像没有一丝的鸡骚味，有的就是鸡汤的回甘的纯香。那种感觉值得结缘体验。不谦虚的说，喝了
1698369466# #是不是骗子啊？🙏鲜花。
