1691970714# #三里屯太古里回应北区女生被偷拍出去玩，要保护好自己允悲早安
1697179178# #原图直出还得是新疆，赛里木湖的美无法用镜头记录新疆赛里木湖
1687332136# #杭州，不愧是国家园林城市！
1694497909# #在重庆，体验比亚迪云巴。整体看来和地铁很像，但驾驶是无人化的，车头车尾有座位，方便看风景，就是有点晃！（真不是我手抖）
1701071932# #还得是贾跃亭会玩！
1699612393# #东风智能新能源品牌SHOW暨eπ品牌发布会，邀您共聚直播间，一起见证东风新能源跃迁的荣耀时刻！
1687569922# #视频车在拍照，前车翻车也是因为在拍照？
1689470891# #温州高速路上，白车停快车道，大妈下车问路……
1701831109# #方程豹回应百公里油耗18升长城这个撤稿函，有人说是此地无银，但细心的你也会发现，这口吻，和长城以往的强硬态度，有点不一样。。。既然姚18这事跟长城没关系，长城这个撤稿口吻就可以很强烈的要求必须删除，否则法律责任由媒体自己承担，毕竟函告里说了，强行将此事与长城关联，造谣诋毁、恶意攻击
1698192792# #又来一台新能源MPV，车长5米3，标配后轮转向。和理想MEGA相比，你更愿意选哪个？小鹏要造星舰了
1700204813# #2023广州车展新能源大牛说孙杨，很久没看到出来了，传祺展台！
1701227264# #吉利控股与蔚来汽车开展换电合作蔚来“换电宝”，阵容越来越庞大！。。但，换电作为蔚来的护城河，引入外部水系，水还是那个水质嘛？
1686973594# #边加油边打电话，奥迪在店内瞬间爆燃……这算是人祸了吧？
1691626376# #光膀子开车，自带丝滑感……
1697333498# #20岁女子醉酒后骑摩托超速飙车，撞上奥迪致同伴死亡，判处有期徒刑7个月，你觉得这判罚如何？
1700094510# #白车刹停，哪吒扬长而去……这要是追尾了，它算不算肇事逃逸？
1698647075# #这丰田，是私自改装了雾灯？起火自燃吸取教训了！
1698822792# #日系新能源一盘散沙、各玩各的？本田搞纯电，丰田还在怼中国！三升马力丰田章男称日本车面对中国车必须要赢
1700549985# #最近黑蔚来换电站的，真的是不惜一切角度……
1695735498# #国内车手里，有没有比她还好看的？
1698881562# #微信转账如果一个月不用微信转账，你会怎么样？早安
1697508246# #理想MEGA实车曝光，这怎么办，李想真会开掉设计团队，再自己跳楼嘛？李想
1698279432# #女子倒车坠河村民接连跳河救人村民很棒，女子以后别倒车了，最好车也别开了！
1699834002# #本周狗屎运最旺的星座看看有没有你？早安
1697099660# #领克06EM-P官图曝光，内外饰看齐领克08，搭载插混动力！。。新车定位于小型SUV，整体造型轮廓，基本与领克06保持一致，但前脸采用了全新的设计风格，灯组造型向领克08看齐，内饰造型继续与领克08保持一致，全液晶仪表、大尺寸悬浮屏幕和三幅多功能方向盘。。。动力部分，新车将搭载由1.5L发动机与P1+P3双
1694156149# #蓬勃新闻消息，一辆特斯拉试驾车，在海口发生事故，肇事司机为试驾者！🙏🙏🙏
1697847845# #越老越苗条可能是骨质疏松信号早安
1690933543# #驾照女学员练车时撞墙这还没拿到驾照，就撞了一次，上路会不会有阴影？
1699668624# #轿车斑马线附近撞上横穿马路的野猪，车主被判全责！这怎么说呢，车主也很无辜吧？
1693632082# #来抢先感受下，兰博基尼首款电动车Lanzador的无敌大天窗！还没特斯拉的纯粹和豪横？
1695598286# #饿瘦与运动瘦的区别饿瘦营养不良，运动瘦精神抖擞！早安
1691583255# #这车，A柱好像断了……驾驶室人员有点惨！
1697620731# #女辅警执勤被车辆顶撞着前行这位女司机刑不刑，可就在一瞬间！
1690415182# #中缅将再次联手打击缅北诈骗分子离缅甸很近，要不要担心下安全问题？允悲早安
1690095038# #骑电动车都不戴头盔还闯红灯，还带着女友，这落地一下磨的可不轻……
1696724508# #越野车队闯入景点碾压破坏植被沙漠种树多难！这些人抓住要坐牢才行！
1700199677# #这是广州车展一大特色了吧。2023广州车展新能源大牛说
1691592696# #这则网传的某汽车集团内部举报信，尺度包含“党同伐异”“任人唯亲”“以权谋私”“弄虚作假”等管理问题，内容劲爆，令人震惊。这会是哪家企业？
1697614538# #广州一出租车撞宝马，直接把前车顶翻了！视频不太完整，是前车紧急变道失败？
1700471028# #深蓝S7i&amp;SL03i加入智驾赛道，仅需1.5万，解放双手接受吗？沐梓驾到新能源大牛说2023广州车展
1697588692# #路边遭殃了一排车，这个“漂移”技术，确实是位老司机！
1691069855# #这种傻缺不是少数，不然也不会总是有越野车出事！学好专业知识，再去玩越野，对自己和同伴都负责！
1702881444# #冰雪上山越野，这“碰碰车”开的，过瘾了！
1696331057# #唯一一个，可以争取竞争下比亚迪月销29万的车企！
1687771745# #车辆自燃现场，保安：你这杯水车薪的，就别推我上前了吧……允悲允悲允悲
1687303222# #夏至梅雨季节，也同步来了！早安
1688453896# #这台腾势，开出了腾云驾雾的气势……冒烟有可能多种原因，发动机、变速箱和电池都有可能，当然，也有可能是人为放烟雾弹。腾势d9
1693317871# #又可以加价了？
1692257968# #又一个网约车司机情绪失控，疯狂砸车，还差点一把火把车烧了！今年，赚钱不易……
1693359528# #父母都在现场，俩孩子还是同时出事了……幸好不是被马路上车撞了！
1688601025# #孩子锁车里都没反应了，妈妈一直不给破窗，救出来了还一直强调孩子只是睡着了……
1695800102# #大G车主冲撞特警车辆都开上大G了，还这么冲动嘛？真刑，一夜回到解放前了！
1692519580# #这么丝滑潇洒的横穿了马路，咋一头撞上了白车？
1700974378# #奥迪这是真扛不住了，不仅改了双联屏，还在副驾驶“硬生生”加了块娱乐屏！没有宝马的自然，也没奔驰的彻底，奥迪还是犹豫了！奥迪q6etron内饰首发
1690420577# #这大妈的退休金，应该不少吧？一点社会公德都没允悲允悲允悲
1696986717# #这是凯迪拉克撞上了本田，俩都是紧凑型SUV，这伤残情况……
1686965089# #不看视频，大家会觉得这女子好可怜，当街被车碾压……
1694350299# #转发学习
1697612108# #请你们看海～和探索06在海南岛的最南端——三亚相遇～探索06奇瑞三亚地点
1690981297# #试驾现代沐飒：紧凑型SUV的“两室一厅”，玩的就是反差感？箫遥游
1692503367# #今晚上海，要见到你了
1687735659# #碰撞后雨中冒烟，这个对开门设计车型不多，你认出来哪款了吧？
1687487461# #免费洗车是真的，局部降雨就算了吧……
1688550876# #老派豪华对标激进年轻：飞凡F7VS昊铂GT，你会怎么选？三升马力箫遥游首席智驾圈超话
1692847442# #这应该是我第一次，坐动卧！坐一站转车去新桥机场飞成都。而这辆车正好终点23点到成都。按昨天的天气，备降后好像反而动车快。今天，可别……2023成都车展
1696667682# #这不能怪车企，看看大环境允悲
1699146471# #余承东炮轰车企一把手不懂AEB何小鹏这次是要硬刚下余承东？以前都是微博吵架，这次是朋友圈隔空内涵了！。。他俩还不是微信好友嘛？
1689809723# #网约车还是整个城市吸纳就业的海绵，这个行业过度饱和，问题还是很严重的。
1699242818# #闯红灯的碰到抢绿灯的，这周围的关注度，相当高了！
1695893770# #特种兵式挺近大别山：千米海拔公路大穿越，驾驭凌云野望星途！三升马力星途凌云
1695347661# #支持曝光
1697246625# #这次打红眼了，局面正在逐步失控……
1697512824# #这不愧是知根知底的“好兄弟”！
1690274825# #整个后悬架全掉了？这是啥车，大家自己看吧……
1689904411# #没见过，算是开开眼了！两国跌宕起伏的关系，老人家是见证了大半个世纪！
1699606476# #第一眼看成奇瑞换董事长了……
1688898029# #中间出租车自燃并伴有燃爆，隔壁长安遭殃，雅阁逃过一劫……看出来中间那台是哪款车？
1702683928# #四驱夸戳，没雪地胎也能凑合着冲下……
1692622567# #这又是一个嘴硬心痛的案例！
1693647780# #到站下车，这女子的反应，还挺娴熟……
1703675401# #2023款极狐阿尔法T5上市
1701073607# #试驾五菱首款轿跑星光，它竟然以大欺小，10万块买不买它？箫遥游五菱星光
1697424469# #这个限行杆，是挺害人的允悲允悲允悲
1695387074# #刚上临牌，就要大修……这司机回家得多心疼！
1698987457# #骑车俩女子虽然走的道不对，但宝马这速度，确实更可恨！
1692920887# #小车等红灯被追尾，摩托车全责，受伤也得自己抗住喽！
1698198650# #女企业家，开迈巴赫，参加国考！先不说开车素质有多差、多爱撒谎，这社会这么卷了嘛？
1697506138# #这俩司机，打架打的又斯文又克制……
1701489852# #宝马女司机违停反怒吼交警女子开宝马违停即停即走学校路段，被贴条后怒吼交警缺德：我就买个菜，15分钟，你缺德！。。这违停的，理直气壮？
1697426923# #捷豹F-type前轱辘不转后轱辘转不动思密达……
1691565444# #给大家说个冷知识：理想汽车毛利率21.0%，特斯拉18.2%。
1694963186# #现在去的都是勇士
1694306036# #当亚运会遇上中华文化杭州红绿灯里都是吉祥物？只是在亚运村个别路口，别担心杭州乱花钱！
1688382520# #新势力上半年销量同比阵容大变样：没有绝对强者，理想暂时高光！头头是道
1691211945# #不能过就散了吧……
1687570790# #飞机已经进入跑道女子要求飞机停下来这又是哪个小仙女？幸好不是自己家的私人飞机！
1700874576# #淘宝取消双12大家都买不动了，淘宝也会逐步躺平！早安
1693996705# #瑞幸联名茅台，酱香拿铁销量破记录，车圈联名惨败何日能出头？箫遥游酱香拿铁
1691849753# #今天买35块的门票就在想，台湾那边有没有也画个区域，告诉大家这里是距离大陆最近的地方，供市民付费观看。
1688612402# #这开特斯拉小姐姐是个狠人，马路你家有股份吧？
1700617723# #花40万买台国产SUV？方程豹豹5，比亚迪又一台让你放弃BBA的硬派车型！这就是广州车展2023广州车展新能源大牛说
1697505528# #全新奔驰E，这颜值，是不是又回来了？梅赛德斯奔驰超话
1700204658# #2023广州车展新能源大牛说丰田版“库里南”来了，新车在国内定名世极，定位为丰田家族的旗舰SUV，在日本本土，每月限量生产30台，起售价约合124万元。那么问题来了，进入国内后，新车会卖多少钱？如果达到百万级售价，您是会选择保时捷卡宴、奔驰GLS、宝马X7，还是丰田世极呢？
1693560364# #汽车销量8月销量速递，极氪、深蓝这些“创二代”，有些生猛！理想继续破三万，大家都在等着蔚来更新呢！
1698920328# #高合HiPhiY这算是求量有量了，10月交付量1606台，对于30万+价位的新能源来讲，算是迈开健康步伐了！
1697270175# #美国女子遭性侵被救下后又被其侵犯美国这是不仅网约车乱糟糟，法院效率也不行，性侵2年后网约车施暴司机才被抓。
1691074774# #涿州发布接受社会捐赠的公告这一波捐款，竟然是宝马起的头！每次大灾大难，国产品牌都冲在最前面，出资出力，共克时艰！今年宝马表现一反常态，高效出手，抗震救灾。不要和之前上海车展冰淇淋事件，有关系就好！
1692934027# #现代展台，“高启盛”来了！
1696211347# #警方通报网传宝马司机因吐痰引冲突被杀想起了昆山龙哥，但龙哥起码还是个个体户老板，你一个帮别人开宝马车的，得瑟的把自己命得瑟没了……拿什么同情你？
1702427238# #懂车帝发布声明懂车帝冬测雪坡挑战，很多人说，有些车是踩着刹车在爬，你们看看呢？
1697372788# #凯迪拉克追尾星途……一个美系硬汉，一个国产安全标杆，谁也不怵谁！
1687742305# #这标题，川大新闻系毕业的记者写的？既然是怀疑失联和抑郁症有关，扯网约车干嘛？
1691216683# #给大家看一个可以录像的快舟火箭🚀这可是台真家伙，运载车子3000万，火箭4000多万，发射一次一个小目标呀！
1700980302# #警方通报特斯拉连撞11车事故据说是新车当天刚上牌，高位刹车灯亮了没？还好无辜路人只是受伤！要鉴定下到底是踩错了还是没刹住！
1703126254# #星纪元ES续航超900公里&nbsp;智界S7虽然上市4小时订单破2万，但产能应该目前仍是大问题。。。而刚刚上市的“兄弟”车型星纪元ES，标配同级唯一空悬，入门价格低了2.4万！。。而星纪元的优势在于，配置本身很强大，这是奇瑞技术的先天优势，其次价格更低，虽然智驾不如智界S7，但足够够用，消费者对智驾的依
1689290445# #为什么大家不愿意去泰国旅游了出了这么多事，也不受待见，为什么还要去？早安
1703809112# #这小伙，要么是在玩手机，要么不适合再开车……
1696402065# #湖南婚车事故记录仪显示婚车突然变道婚车司机害了自己，还连带5条人命遭殃🙏🙏🙏
1699795523# #打了转向灯，就可以随意变道？差一点点领个全责！
1691537323# #半挂轮胎起火引燃，极氪目前依旧保持0自燃！
1687176000# #别克E4这价格只想交个朋友别克E4纯电轿跑SUV上市价格最狠的高档纯电轿跑SUV诞生了：别克E4。2954mm的轴距，是20万以内唯一的长腰美背且轴距能超过帕梅的纯电轿跑SUV！。。别克E4车宽1912毫米，放倒后排座椅可以轻松放下一个2米大床，甚至连后备箱都有额外的下层收纳组合空间，不像其他轿跑SUV那样
1699858958# #理想2025年目标160万台，就是月销13.3万台，是上月销量的3倍多。李想的思路有点猛！
1692172020# #这就差点名了
1693368797# #女子骑车撞到轿车拿200元跪地求男子原谅我能说，我理解不了这女人的操作嘛？还扒了男子裤子！
1702943104# #甘肃地震已致86人遇难96人受伤祝福同胞们！🙏🙏🙏
1701940261# #警方通报成都双流机场岗亭被撞塌12月7日，成都双流机场一小车将路边岗亭撞塌。驾驶员吴某某(男，现年47岁）搭载3名酒店旅客前往成都双流机场乘坐航班。。。车辆行驶至双流机场T2出发层时，失控撞向机场出发层9号门外交警岗亭及隔离护栏。事故造成交警岗亭损毁，1名辅警、1名保安和机动车上驾驶员及2名
1698993766# #女律师被打，这年头有路怒，还有庭怒，律师打官司都有危险了！
1694768794# #警方通报特斯拉失控致2人死亡最新消息🙏🙏🙏
1703681923# #极氪007这车，也是自己开上来的！安聪慧说，极氪007是纯电轿车的性能之王！。。这以后发布新车，让司机开上台，是不是会很不好意思？
1694589698# #这女子，大马路上骑车，真的如入无人之境！
1699010518# #蔚来裁员，这是实锤了？
1699586338# #2023奇瑞风云新能源之夜风云A9这款车将要在广州车展正式发布，看看这颜值，你觉得奇瑞混动技术，能杀出一片天嘛？
1696423411# #坦克车主人设又鲜明了一步！
1693219084# #比亚迪宋L的量产版终于来了，成都车展被围的水泄不通，就是它！沐梓驾到2023成都车展
1687661596# #兵不厌诈，老外还是不太懂孙子兵法！
1695036979# #19个月销量高达50万辆，新车还降价？比亚迪元PLUS冠军版来了！头头是道
1689297460# #云梯我爬过，总共4-5米高吧，个人问题关闭整个项目，真的是一刀切比什么都方便……
1698054717# #理想MEGA刚露脸，小鹏就坐不住了？首款MPV小鹏X9要来了！头头是道小鹏X9
1691466012# #体验奥迪RSe-tronGT：零百3.3S+弹射起步，钢铁侠座驾的乐趣！箫遥游
1702552371# #期待长城带我们，组织一次公开测试！
1694866957# #吉利银河l6刘畊宏成为银河L6全能体验官，11.58万起售，银河L7亚运幻影版公布售价18.57万。。。银河L6比12.8万起的预售价降了1万多，标配1.5T+3档DHT，推出60km和125km两个续航版本，正式售价和比亚迪秦PLUSDM-i基本持平。。。银河最近势头不错，针刺实验让电池可靠性也更放心，比亚迪这是又招来一个对
1698667747# #法系现在应该是最慌的！
1698649144# #视频车：在撞人和被撞的抉择上，选择了被撞！
1695690280# #15岁少年踩他人超跑拍视频炫耀定损17万赔的起就一把付，赔不起就抓进去坐牢吧！
1687994498# #警方通报女子驾车冲撞男子致死前天是东营男子撞死妻子，昨天是宁波女子撞死男子……汽车当凶器，都是极端恶劣事件，这可绝对不允许！死者男子家属已经发声，看看两起案件，处理方式会不会有差异！
1688863759# #高收入的人还是需要有风险意识还好我没这个烦恼！早安
1697674053# #这些反人性的历史罪人！
1695338828# #男子开车门故意碰撞特斯拉？还好有哨兵模式，可以曝光他内心的阴暗面……
1699575310# #这二次碾压，家长看的得有多崩溃！过马路，一定要牵着孩子的手！
1694075681# #很是震惊，这交规是怎么过的？开车前不观察？
1703579264# #华为发布会问界M9问界M9智驾刹车时速最高120km，不得不说这个数据遥遥领先了！期待实战测试成绩！
1691038574# #只能说，这小朋友命好，不然全尸都没有！
1694004366# #德国总理激励德国车企不要被中国电车吓倒能说出这话，已经是吓得不轻了，1100亿欧元补贴，提振德国车企竞争力！
1694955138# #比广西鬼火少年更奇葩的一位……
1689380297# #腾势D9车主发布联合声明这事儿，果然和大家猜想的一样，消息来源不明，比亚迪闭不做声！主打一个原地消失，从来没发生过！
1702340448# #懂车帝将全程直播冬测现场真的可以说是沸沸扬扬，一场冬测，懂车帝前所未有的被多家车企集体质疑（除了比亚迪）。都说比亚迪待懂车帝不薄，可谁也不知道真相，我倒是支持多家车企联合起来，现场再测一次！
1701528211# #苏州北环快速路隧道汽车自燃具体起火车型目前还不详，浓雾瞬间弥漫整条隧道，隧道内人员开始弃车逃生。。。这事故让人又联想起1999年勃朗峰隧道事故。那起发生在隧道内的货车起火爆炸，是多少年来隧道事故的噩梦！
1696752317# #小米汽车一个店长底薪超3万，一台车赚5000块，就是月销起步6台车为他服务，一个店30个员工，一个月得卖100台才不亏本吧？
1693283849# #损失惨重！烧了这一车，看的出来是哪款车型嘛？
1702628987# #奔驰后驱，雪天还是放家里吧，太费劲了！
1697085204# #为什么女子情绪突然激动要下车？这新闻核心问题，说的不清不楚……
1691368086# #路边烧成空壳，什么车型？自己看吧！
1687332512# #蔚来获阿布扎比投资机构11亿美元投资有钱了，又可以高调了！这定语，玩的666！
1701158787# #星途追风PHEV有多省？开完一周后，同事想把他的日系混动换了！头头是道
1689658705# #这款车有个之最：量产SUV中尺寸最大的车型！
1695770683# #新款兰德酷路泽，外观还是这么硬，就是这个CD机是真反古！
1699097031# #横穿马路被撞，这女人不是反应慢，习惯不好而已……不然，拉裙子咋反应这么快！
1699182628# #没想到，网友把蔚来裁员信息发给了马斯克，这位也感慨了下：蔚来的日子也不好过！那就特斯拉和比亚迪逍遥自在呗？蔚来李斌发全员信确认减岗10%
1701684137# #QXPHEV会是江淮混动新王炸？续航1300km，能比宋Pro多跑一周！叶梓开测
1691279564# #被震醒了有多少人，半夜里感受到了？早安
1694432529# #蓝山撞老吉利，轮子直接给整掉了……这是国内蓝山首撞吧？
1694487881# #法拉利直接钻进网约车车底，网约车还是台轿车，这追尾还真的需要一点技术含量的！
1686965048# #燃油车自燃，水是可以浇灭的？反过来电车，就危险太多了！
1703734387# #吉利高管称小米汽车宣发过了本来我觉得挺和谐的，毕竟致敬也不能全部覆盖到，但高管微博上发牢骚，实属不应该了！
1702465625# #画重点：特斯拉，自动驾驶，全部召回……
1693724586# #开门砸现场，不愧是母子，砸的力度都几乎一样……
1691638447# #蓝牌油车路口起火，路人合力灭火，场面感人！
1701660584# #注意别翻车…
1702996660# #王传福、尹同跃、余承东、李斌，这4个安徽人，撑起了中国汽车市场的大半边天，不管你赞同还是反对，但这确实是事实！。。老一辈其实还有更多，一汽、东风掌门，都曾有过安徽人，你还记得是哪几位嘛？
1696219554# #我们的运动员，给全世界的印象就是，赢了要哭，输了也要哭。加油！
1689215190# #这蔚来无人自动倒车入库，赶紧发你们家技术不利索的女孩子们看看！
1691499350# #保时捷掏了肛，还是雪佛兰跳了墙？这些离奇追尾，一个都不冤枉！
1695915253# #高速还没出城呢，这台埃安AionYplus，就碰到硬茬了？
1696919405# #不明身份人员驾车冲闯中国驻旧金山总领馆被击毙了，幕后黑手大家是不是猜到了？这辆本田就是罪证！
1694589064# #还好这是奔驰，要是其他品牌这么设计，我又要吐槽了……
1701650263# #死刑都便宜他了！
1702877038# #道路结冰给你夸戳+雪地胎+雪地模式，这路你敢不敢挑战一下？
1697853523# #不买卫士买旅行者，到底图个啥？当然是体验后的“惊喜”了！沐梓驾到
1687761933# #什么是顶流？资本也是顶尖的存在！蔡徐坤这压热度，已经压的出神入化了！
1698411538# #友商会不会直接都放弃了这个细分市场嘻嘻
1689995887# #奸杀就这么判，这是哪里的法律？
1695256893# #五菱追尾劳斯莱斯，强装淡定，内心慌的一批吧？
1688388640# #开着电车，一不小心，撞上了另一台“电车”……
1703215736# #“纯电小卫士”，奇瑞iCAR03预售，电动方盒子真能越野？三升马力新能源大牛说
1689432649# #女司机和后车司机互殴南京街头一幕，这男的火气不小，女子硬刚不让，男女互殴！同伴男子冷静报警！
1688018476# #这辆小车，实践了什么叫害人又害己！
1699191274# #这个可以判多少年？
1697093261# #侧方位停车极限挑战，这时候，需要一台五菱宏光Mini……
1686989580# #顶格处罚企业？那之前鉴定是鸭脖的相关机构，怎么办？
1686973946# #特斯拉失控撞隔离栏，栅栏插进驾驶舱，这司机运气也是好！
1696552924# #国庆假期最后一天看看服务区，电车充电位和油车停车位的区别……
1693712814# #电动车带人横穿马路，本田紧急避让：还好有本田大法！
1690370929# #奔驰车主一闷棍打昏对方这可真刑，冲动是魔鬼！
1687675586# #奔腾B70PK日产轩逸，国民家轿性价比，谁更适合家用？叶梓开测
1687735101# #这些都是野鸡大学原来，国内野鸡大学，有这么多！早安
1701304384# #知名博主爆料，理想销售诋毁友商手段，粗暴又高明！
1693448228# #阿维塔12实车多场景陆续曝光，环抱联屏+鸿蒙4系统，续航700km外号小帕拉梅拉？。。新车将会在9月4日开幕的德国慕尼黑车展上，正式首发亮相，计划年内交付。下格栅与前翼子板两侧配备3颗激光雷达，支持华为高阶智能驾驶ADS2.0系统。。。20/21英寸两种规格轮辋可选，车身尺寸5020/1999/1460mm，轴距3020mm，
1702085997# #抢着与华为合作，销量怎么样？流量飙升销量却差异很大！头头是道
1690356717# #这天气要再热点，可怎么办？机车女孩
1692058063# #谁懂这理想车主，做的什么法？
1695563187# #这下安心吃几年牢饭了！
1703378648# #蔚来ET9很多人其实没看懂，还没过续命期的蔚来，为何不发布一款竞争ModelY的车型走量，而是头铁的发布一款2年后才能交付的80万级旗舰蔚来ET9？。。不管ET9技术上有多厉害，它终究解决不了蔚来目前最现实的问题：销量和亏损！。。这车对标的竞品有迈巴赫S级、宝马7系、保时捷帕拉梅拉等等，都是比豪
1699608961# #冷知识：汽车自燃，和天气冷热，没有必然联系！
1697784554# #江淮给蔚来代工，是个长线盈利点，卖了又少了一笔固定收入！
1690357342# #旧金山哥俩合影，厉害了，极氪这是要登录北美市场了！
1696892857# #泸州一越野车冲上人行道致1人死亡飞来横闯！
1689763740# #抢先试驾探索06：奇瑞首款轻越野SUV，人称悦野露营能手小极光！三升马力
1690696183# #都魔怔了，不疯魔不成活！
