1691108533# #我去由彭昱畅侯明昊毕雯珺主演的《异人之下》已经空降有你期待的明星吗
1696333635# #JenniejisooRose都亮相了巴黎时装周被谁的状态惊艳到Jennie金智秀朴彩英G社生图
1691117350# #都暻秀因为在室内抽电子烟现在被粉丝疯狂抵制认为不尊重工作人员和路人怎么这么没素质啊都暻秀室内吸烟
1703394956# #宁远舟死在了他最想活的那一年一念关山编剧回应争议不是刘诗诗刘宇宁一念关山这部剧怎么还有后续编剧张巍发言：一念关山是大女主加群像，希望能对编剧的话语权保驾护航，剧组要相信编剧，不是剧本交上去之后，制作方导演又找一个责编改剧本还不告诉她
1699262090# #权志龙馒化权志龙确实有点馒化了乍一看还以为是金泰亨呢现在才明白Jennie为啥选择泰亨原来只是🐉的代餐
1689596128# #这也太像了。。。看了十次还是觉得像。。。
1697896559# #吴楚一直播吴楚一私生子我哭死吴楚一给cmc转账记录备注：自己先去吃好吃的等我回来。。这是什么老公在外面赚钱养家让老婆乖乖在家等他的剧情啊。。。
1688996532# #时代少年团elle杂志封面预告。。马嘉祺丁程鑫宋亚轩严浩翔刘耀文张真源贺峻霖谁赢了
1694769258# #魏大勋吴磊许魏洲同场活动图被谁帅到
1687663150# #网友质疑张凌赫到底是啥文化水平连个糕都不会写写成了木字旁但有粉丝解释了自家哥哥是写对的应该是哪个对家把米擦掉变成了木存心陷害他。。原来是这样的吗你怎么看
1695968625# #疯马秀的男厕所。。。
1691328243# #王源王俊凯易烊千玺又对视一笑了憧憬憧憬憧憬
1687695695# #罗一舟真的完美适配桑延啊
1702131675# #张艺兴在海外音乐试听会上放出新歌片段好抓耳啊很有感觉这才是真正的音乐王子创作力满分！
1699446414# #王源工作室发了王源生日照有没有被小源可爱到
1697938919# #王源ins发布新状态：rainynight是新歌要来了吗你期待了吗
1694513228# #叶舒华的这个伴舞真的绝了网友都在夸她动作干净利落有美感网友称有点像momo和泫雅的结合体。。反观叶舒华网友称就她这个舞蹈真的不知道说啥完全跟业余的跳舞的一个水平动作一会快一会慢的做动作也都没做满就赶下一个看着都不是僵硬没舞感的事了完全就是没泡舞蹈室核心这么差观赏性也没有引
1693315082# #网友称刘宇宁这句话是不是在内涵周深。。你觉得是网友想多了吗
1689045563# #网友发文自己好友去世前都留着陈立农的周边随后陈立农工作室联系网友希望留存粉丝的遗物陈立农更是送去遗憾悲伤悲伤悲伤
1703901067# #我的天田柾国大吧居然发文祝福了金泰亨生日随后金泰亨大吧也发文感谢祝福皮下两人私底下应该也是知己好友吧
1703931244# #我去王俊凯王源跨年应援两家粉丝心照不宣的安排在了一起哥哥弟弟看到会不会很欣慰你期待谁的舞台
1692350803# #网友发现Lisa男友点赞了一条内容为“自己是个好男友lisa好幸运”的推文。。。被网友发现后又火速取消了点赞。。。真是双向奔赴的爱情。。。lisa真的嫁过去肯定会被宠上天
1701488103# #王源亲笔字什么水平算不算得上漂亮
1689297132# #TFBOYS十周年演唱会头像公布：王俊凯王源易烊千玺以及团粉你觉得哪家会一骑绝尘
1699451371# #鉴别渣男的方法
1694352153# #笑死有人买韩娱男爱豆的小卡结果却送来了张凌赫的这两个人这么像吗
1693900353# #还以为是杨洋老师。。。
1695099957# #我去这是权志龙？？？怎么打扮成这样了？？？难道真的为爱做0了吗李洙赫你好大的福气一个男人在没有遇到他喜欢的男人之前都会以为自己喜欢的是女人现在龙终于悔悟了洙赫啊撒浪嘿
1688044665# #孙怡滕光正孙怡滕光正你们来真的？？？
1701063352# #蜜雪冰城啥时候的事儿蜜雪冰城澄清自己与马嘉祺并无品牌形象损害之事后马嘉祺粉丝纷纷表示要是马嘉祺能代言蜜雪冰城那就更好了你有没有被粉丝热心到
1689765589# #dior挚友侯明昊余景天谁的表现力更好
1687590025# #孙珍妮来跑男前一直在背乘法表白鹿因为提及孙珍妮来录节目之前一直在背乘法表被网友吐槽了网友称白鹿这算不算背刺孙珍妮这下大家都在质疑孙珍妮好像文化水平不太高你怎么看
1688122420# #刘宇最新机场穿搭网友称有点小媚娃的感觉了
1703840231# #王源也有属于自己的10后站哥了
1694434871# #李佳琦哭了李佳琦今天直播的时候哭了看到这里你原谅他了吗
1689301180# #奔跑吧今晚播出奔跑吧今晚继续播出你期待了吗
1698810070# #好厉害王一博入选了2023星辰大海代表作品为《无名》算不算未来可期
1688563481# #李玟去世李玟去世？？？这么突然苦涩苦涩苦涩
1687699193# #秦岚王阳cp名：管宁屁事哈哈哈哈哈哈哈哈。秦岚王阳cp名
1691938347# #防弹少年团大粉透露：田柾国即将和李侑菲进入婚姻殿堂目前两人感情稳定
1691327144# #易烊千玺唱大花轿易烊千玺舞蹈来了好带感！！！
1690715361# #网友随机抓取5000名给王一博电影《热烈》打五星的观众发现他们对《长空之王》《无名》《冰雨火》《风起洛阳》等作品打了高分。。但是他们却对易烊千玺主演的《满江红》肖战主演的《斗罗大陆》《诛仙1》《余生请多指教》等作品打了低分真的很爱恨分明啊
1686999700# #我去蔡徐坤这张图可以直接封神了吧？？？
1691316614# #王源王俊凯易烊千玺都呼吁大家按秩序进场TFBOYS十年之约演唱会
1689391140# #连院人都去演戏了蒲熠星古装打几分。。。
1700744694# #杨紫华伦天奴品牌代言人预热是不是未来可期杨紫华伦天奴
1688125167# #探访萧敬腾的8层别墅原来如此我悟了
1700103353# #newjeans与skt成员合照下跪引起网友热议。。网友解释：图中这些电竞选手咖位特别大特别火，很多韩国艺人都是他们的迷弟，而且在韩国地位也很高，所以newjeans下跪是正常的，哪怕blackpink来了也得跪下
1700043050# #newjeanS亮相S13媒体日边伯贤newjeans亮相英雄联盟s13总决赛来看状态
1692358613# #随着Jennie国际影响力越来越大金泰亨终于也坐不住了生怕女友像lisa一样也找一个国外富二代于是便晒出了与Jennie的情侣手机壳网友称他好心机这是又想入赘了
1699343752# #网友质疑为什么赵露思见面会都要花钱观看
1687334884# #飞轮海四个人的关系炎亚纶真的很会恶心汪东城。。。。。炎亚纶演出并参与制作的《死神少女》里面有个单元，校霸直男被掰弯后不敢承认却又不断骚扰霸凌男主。。男主叫小伦，校霸叫大东。。而且这集播出那天是炎的生日，然后汪特地去夜店蹦迪故意被狗仔拍以证清白哆啦A梦害怕哆啦A梦害怕
1699102098# #李雪健老师实至名归李雪健得到金鸡奖最佳男配角王一博还需努力
1697787779# #陈牧驰现实版密西西里的美丽传说吴楚一直播好像读完了一本be小说
1691846598# #谁还没看过宋仲基官宣结婚前发的亲笔信。。。。。“人生不在于速度，而在于方向。”一直都觉得这篇公开文写得很好，我还想过要是我爱豆结婚认真的这样发一篇文，我可能真的会接受泪。。开始的时候也是认真要走下去的吧，唏嘘的是爱侣最后变怨侣。
1703336516# #刘宇宁发文告别一念关山看起来好真诚啊一念关山be
1691139297# #胡一天《惜花芷》杀青生图来了打几分。。。
1692502392# #仙剑三是仙侠剧的巅峰吗到底仙剑一是你的初心还是仙剑三是你的初心
1690514137# #网友发问文俊辉这是什么脸型
1694147038# #赵丽颖杂志拍摄这个妆造什么水平。。。赵丽颖复古摩登发型
1694589920# #云之羽小分队新浪扫楼小时代5.0
1697898843# #吴楚一陈牧驰陈星旭工伤
1691325053# #又磕到凯源了有粉丝发现王源家和王俊凯家粉丝坐一起了上面写着“王俊凯唯爱王源”凯源
1695095722# #Rose大粉发演唱会照片把rose旁边的Jennie脸打码了随后Jennie大粉质问为什么打码请尊重别人！。。于是rose大粉只好尊重Jennie粉丝放出原图。。。
1690514290# #易烊千玺王源王俊凯家粉丝呼吁应援该带还是得带但坚决不当第一个亮相的场内场外不一样谁家先亮立马拍下来！
1702883409# #韩娱又出大瓜：fantasyboys金奎来在选秀期间与同性选手谈恋爱并且床边doi视频也被爆出金奎来恋爱
1689555926# #到底谁在喜欢这类设定啊。。。
1699688461# #网友统计了目前归国四子的演唱会号召力排名：鹿晗＞王嘉尔＝张艺兴＞黄子韬归国四子演唱会号召力。。你觉得靠谱吗
1688384216# #TFBOYS十周年演唱会要来了你期待谁
1697862442# #我滴妈金南俊大粉透露金南俊要斥巨资整容了，模板是enhypen的西村力，从下个月就开始接受治疗，大约需要花费他一年的收入。金南俊称要在入伍之前以最好的面貌进入人生新的阶段。。。
1697857052# #网友发问：张艺兴算不算生粉天堂？。。顶级男团出身手捏爆剧爆款综艺专辑高销量高+票房38亿+进军好莱坞张艺兴算不算生粉天堂
1699365510# #因为《以爱为营》官博给白鹿新剧《宁安如梦》宣传，目前评论区的粉丝都在吐槽他。。。爱奇艺用白鹿对打白鹿
1691401013# #易烊千玺粉丝拍到了王俊凯粉丝把王源粉丝家的应援p蓝。。。
1699362966# #我滴妈肖战粉丝500w开箱晒单什么水平
1700755563# #杨紫迪丽热巴算不算顶峰相见了杨紫华伦天奴迪丽热巴第二套温婉大气
1689475393# #五月天演唱会救命五月天这是在干什么。。。。。五月天感谢粉丝：“谢谢深圳，送给五月天的这道彩虹”。台下粉丝：“沈阳！是沈阳啊！！！”。随后五月天愣住了（沉默10s）。。。回应：“我听到了，是沈阳哦”
1688358534# #蔡徐坤回应“蔡徐坤不是你对吗”
1699542979# #邓为真的很像肖战吗居然有很多人称邓为是肖战代餐你觉得呢
1702549862# #原来秦岚睡觉也爱踢被子睡觉爱踢被子的秦岚原来秦岚每天也跟被子“斗智斗勇”，睡着一不小心就把它踢开了我还以为只有我这样太可爱了
1689125182# #YG方回应Lisa续约事宜称：“现在正在讨论中与中国无关”YG回应LISA续约情况
1697281985# #张婧仪这是怎么了。。。怎么对粉丝这态度。。。张婧仪你让不让我想发就发
1702644444# #方逸伦评论方逸伦评论被网友质疑疑似背刺刘诗诗力挺刘宇宁来看看你觉得是网友想多了吗
1694153033# #虞书欣硬照表现打几分。。。
1703581146# #网友就刘宇宁刘诗诗到底谁扛起了一念关山引发讨论你觉得谁的贡献大一点
1700918259# #张凌赫怎么感觉偷偷摸摸的张凌赫为什么像做贼
1697333887# #王一博提名金鸡奖最佳男配角算不算实至名归王一博提名金鸡最佳男配角
1697264468# #我滴妈这是20岁的于正？？？
1698158764# #张艺兴最新自拍被萌到了吗
1687790938# #张艺兴鹿晗舞台直拍对比谁更吸引人
1702040193# #我去王一博露背黑纱来了这背是我能看的吗舔屏舔屏舔屏
1691200021# #我滴妈。。。TFBOYS十周年舞台怎么会有花轿啊。。。王俊凯王源易烊千玺这是要复婚啊TFBOYS彩排有花轿
1699511181# #王俊凯最新代言海报来了有被亮眼到吗
1696554942# #杨紫新商务来了：伊菲丹。。这是不是说明杨紫的商业价值被越来越多业内认可了
1704033466# #孟子义跑调很突出笑死这么多人都没压住孟子义吗听得出来是真唱了
1696040180# #Lisa入驻了2023年亚洲名人堂被授予文化偶像称号以表彰她对亚洲文化和社会的重大贡献Lisa被授予文化偶像称号
1692707624# #我的天王源要发新歌了吗？？？你期待了吗
1697895199# #吴楚一直播吴楚一私生子跳钢管舞养孩子吴楚一直播文字汇总：1.我在街头卖...表演。。2.分了两三年他突然让我去看断背山。。3.我就叫吴贵洪，怎么了，爹妈起的难听就难听，初中的时候有人叫我乌龟红，我也没觉得怎么。。4.我现在每天都懵逼，感觉我放个屁都能上热搜。昨天去泡澡，被人认出来灰溜溜
1693559927# #JYP将会赠送中签粉丝itzy女爱豆穿过的衣服你怎么看。。。
1696084173# #金宇硕大粉脱粉回踩不仅曝光金宇硕恋情还透露了他的人品喜欢媚粉还和粉丝私联。。。
1699161278# #来看沈泉锐19岁时候写的歌词什么水平的程度
1696162996# #田柾国这个手势这下没得洗了吧真的好令人无语到底懂不懂得尊重女性啊。。。
1701953395# #GQ内场同一打光下的女明星生图被谁美到
1691801037# #我们中国也有自己的jyp
1687265473# #偷偷藏不住受众群体偷偷藏不住受众群体是小学生吗？网友问这部剧是不是不太好仿佛在引导小学生追求成年人你怎么看
1697806221# #韩国最应该申遗的是妆造不得不说韩国的妆造确实有点东西来看区别分别是：。。韩国lisa法国lisa泰国lisa
1703479629# #赵冬芹新作《扫鼠岭》要来了有网友提名了新晋实力演员刘宇宁抗剧顶流成毅以及影视新人马嘉祺你怎么看
1692454692# #我滴妈于正也有梦女。。。
1698811917# #陈牧驰风波后首次活动陈牧驰粉丝说要卖房养他有被粉丝感动到吗粉丝称陈牧驰最近太虐了被虐到自己想卖房子养他
1702730907# #不是现在内娱男星已经这么卷了吗
1700490980# #我们牛鹿桃真是和谐有爱的一家呢
1703928773# #这次李宇春终于不是c位了轮到我们的王俊凯啦凯凯未来可期
1697625935# #方时赫朴振英有情人终成眷属打破世俗观念恭喜了
1693742061# #蒋依依“我真服了一个演员六年收入才1600万”
1692519218# #姜潮继九宫格哭照后的代表作+1。。。《真情哒哒哒》。。。
1690942728# #TFBOYS王俊凯王源易烊千玺三家已开始应援来看谁家最气派
1696040540# #王俊凯粉丝声讨工作室觉得给王俊凯的搭配都非常不合理你觉得是粉丝严格了吗
1691808322# #娜扎为什么接这种广告网友称杨超越和娜扎是不是太缺钱了才接这种广告。。。
1692535507# #黄旭熙再发言：“下次再见我可能是我第四次出道的时候了”。。哥哥好像又要复出了你愿意跟他私联吗
1697895884# #吴楚一直播吴楚一晒出转账截图收款方是海亮。。。
1691041945# #你们三。。。乐华练习生是吧。。。腾讯认证长相思是爆剧
1696395470# #网友疑似扒到了田柾国被爆视频后的爱豆群聊
1696483966# #肖战生日博君一肖cpf兵分两路一部分留在肖战那一部分火速赶往机场为王一博接机看到王一博的瞬间cpf异口同声喊出：王一博生日快乐。。王一博一时之间没反应过来：？谁生日？怎么国内倒退了两个月？？？。。但他不知道的是此时cpf心里已经乐开了花他们想的是他还是回来替lp过生日了博君一肖szd！
1692150502# #爱情失意。。姐弟。。大龄孕妇。。啃老。。好满的buff。。一款更适合国人体质的恐怖片。。。
1688520535# #老公要找长得帅的男人的理由
1691568689# #网友称于适和邓为互为正缘要么考虑一下像肖战王一博一样拍个《陈情令》？？？
1703145137# #鹿晗工作室否认领证网友热议鹿晗如果分手了还能回到顶流的位置吗
1691590351# #“Enhypen和时代少年团c位怎么长得一模一样，是同一个人吗”
1698417469# #THE9今晚演唱会灯牌一览谁家赢了
1693388430# #RIIZE洪胜汉发文道歉承认恋情但是不退团洪胜汉道歉
1696943497# #TMA颁奖典礼韩网热议出圈爱豆你最爱谁。。李龙馥朴元彬张元英安宥真全圆佑尹净汉
1695119435# #谁不愿意向王俊凯单膝下跪呢光想想就觉得好浪漫
1703605473# #大家现实生活中遇到谁的粉丝最多
1702471268# #马嘉祺今日中戏汇演路透来了好像演的还蛮好的你期待演员马嘉祺吗
1703301083# #易烊千玺当评委易烊千玺的发言真的让我对他改观了网友一直都说他是不学无术但真正的他也是很努力的人吧优质偶像
1687072284# #王俊凯易烊千玺王源TFBOYS十年之约粉丝喊出灯牌口号：“一代人有一代人的使命”哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1688523314# #柳智敏张元英粉丝巴黎饭拍谁赢了
1696943947# #安宥真张元英今日新闻图IVE两大颜值担当张元英美式女高造型
1687863378# #电影票四大顶流已易主：易烊千玺王俊凯朱一龙王一博内娱影圈四大顶流
1690466073# #王俊凯王源易烊千玺三家后援会以及TFBOYS团站发布联合声明承诺十年之约演唱会不参与任何形式的线下应援
1689986470# #王源对私生说让让让让网友说王源怎么这样了从来没见过他这么不耐烦好吓人
1691220234# #这个人是TFBOYS团粉了他分析了易烊千玺王俊凯王源各家粉丝的特点。。。
1690072948# #王楚然人出去二里地腚还在原地黄景瑜张婧仪揽肩vs杨洋王楚然揽肩
1694746341# #我滴天成毅这个娇羞劲真的入木三分
1687352607# #庆余年导演说演员应该杜绝文盲《庆余年》导演孙皓被问到如何看待“绝望的文盲”。。他表示演员是金字塔尖的人，是学者，应该是顶尖的人才能做演员，只有把剧本吃透了才会有更好的表达。他表示文盲应该被排斥、被杜绝。你怎么看
1702460610# #周海媚这些人脑子里除了生孩子就没别的了吗
1694676016# #洪知秀女友日本演唱会大粉称洪知秀恋爱到底还要秀到哪一步啊能不能滚出娱乐圈啊。。1.日本演唱会穿了嫂子点赞的鞋还假意对粉丝流泪。2.录goingseventeen团综时戴了情侣手链。3.inthesoop里亲手制作的镜子并在嫂子家认证。4.带嫂子一起去了日本演唱会
1687267859# #点进来是我罪有应得。。。
1694493031# #我滴妈金泰亨被iTunes第二次官方清榜了泰亨啊老是这样发大水可不行啊
1688785447# #网友称演员和爱豆是不是真的有壁杨超越被王楚然吊打的太厉害了同框即是拉踩你怎么看
1701781767# #楼三代穆祉丞的屏保居然是赵美延。。。在中国唯爱韩女的群体找到了。。。在十八楼。。。
1696469000# #张极抱着自己的狗下班。。。。然后狗狗看到这么多粉丝又是拍照又是尖叫直接应激尿了。。。。。空中飘扬着狗尿。。。尿了当事人和现场最近的楼丝一身。。。
1698476320# #虞书欣白色公主裙造型来看虞书欣lisa同款舞蹈表现算不算领悟到老师的精髓了
1688431817# #Jennie现在怎么这样了曾经保守的女孩子去哪了网友称现在已经不是擦边了直接是x暗示了你怎么看。。。Jennie戳爷lily合照
1695190411# #黄礼志以后还是别来内娱了签售会居然穿上了粉丝送的疑似绣着五爪金龙的明制汉服好恶心的操作建议封杀
1688815426# #TFBOYS内娱地位王俊凯易烊千玺王源在内娱到底是什么地位
1688981366# #网友称张新成怎么这样了。。。
1692015659# #宁艺卓：我完全不喝甜的东西
1689153659# #我可以假装许凯彭彭是为了节目效果，可他们的害怕真的不像演的哈哈哈哈哈哈哈哈哈哈哈哈。第一次看见npc现场催人完成任务，npc小妹妹：推不动，真的推不动。。。。密逃医院主题含啊量彭昱畅哥哥的命也是命密室大逃脱
1687850619# #柳智敏了大家近日对她的争议：“我才知道自己推荐的动漫有争议，并不是抱着什么意图去推荐这部动漫的，希望大家绝对不要误会，以后我会成为更加慎重的KARINA，会给大家分享好的信息。。你怎么看待她这个够诚恳吗柳智敏回应
1697852596# #网友总结了虞书欣刘雨昕实绩同样一个团出身的谁现在的发展更好
1703901707# #华晨宇称自己打游戏打到职业选手。。。随后沈腾关晓彤直接两句话把华晨宇给堵回去了。。。电竞选手十几岁就得出来。。。好尴尬。。。
1698137957# #吴楚一lv继吴楚一拍了LV后陈牧驰粉丝把LV官博冲了。。。
1687167672# #庆余年第二季的言冰云来了跟肖战相比如何肖战的言冰云vs吴幸键的言冰云
1688961532# #华莎被告发涉嫌演出淫乱罪韩媒报道：华莎舞蹈动作被举报涉嫌淫秽公演罪。。。这算不算华莎咎由自取
1694005525# #权志龙出席香奈儿晚宴酒会粉丝称他现在的状态怎么这么差了有种面部馒化疲态的中年大姨感觉整个人的精气神都往下走了甚至还有点像金泰亨
1703081827# #迪丽热巴家和王俊凯家怎么了听说因为dior待遇问题。。。
1700494003# #070498做同一个cha的区别
1699881184# #小S吴慷仁床戏小S吴慷仁床戏小s真的很敢说。。。她称公公也会私藏她的床戏。。。
1691743333# #Lisa恋情又添一锤。。。她和二公子老婆发的ins定位又一次重叠都在意大利西西里拍照地点也又一次和嫂子一模一样随后Fred的嫂子和兄弟女友都第一时间来评论已完美融入新家庭。。。Lisa行程
1694251664# #高晓松怎么瘦成这样了瘦下来的高晓松被很多网友认成华晨宇。。。真有那么像吗。。。
1700640793# #“我听见了”
1688655858# #因为叶舒华言论大批粉丝宣布脱粉粉丝认为不能用没素质代表真性情你觉得叶舒华说话素质如何。。粉丝:舒华我没钱了可以借我吗？。叶舒华:烧给你叶舒华烧给你
1693925118# #王大陆变成王巨陆了。。。
1688870172# #章昊解释自己能在韩国c位出道的理由章昊认为自己能C位出道的原因
1694418375# #沈泉锐站姐生图直出打几分
1700915983# #我滴妈成毅的人气真的太可怕了尖叫之夜大半个场子的绿色灯牌都是他家的成毅被曾舜晞推到c位
1691320746# #TFBOYS王俊凯易烊千玺王源演唱会倒计时十分钟你期待了吗！！！TFBOYS十年之约演唱会
1687958948# #杨超越称家人看着自己的恶评会哭随后也表示自己是盯着压力来上综艺的。。但这一波并没有引发网友同情反而网友看到她的言论更不理解了觉得她赚这么多还卖惨纷纷建议她退圈这样就没事了。。你觉得是网友严格了吗
1688633413# #小🍠越来越多女生为了支持迪丽热巴发起了捂胸挑战，这算girlshelpgirls吗金星再回应捂胸
1696933807# #汪小菲这是在干什么？？？内娱有自己的卡戴珊家族
1690723974# #鹿晗演唱会救命陆地同框了鹿晗演唱会大屏出现了迪丽热巴cp粉都开始庆祝了
1688803236# #曝某女星人前甜美人后猖狂救命又有人要翻车？？？关键词:选秀成团舞台作精大公司护体人前甜美人后猖狂这谁啊
1694510180# #肖战营业博一天不到点赞就破千万这是什么水平
1702100507# #刘宇宁骑马还蛮帅气的真的很有将军的感觉你爱了吗
1703598564# #邓为前助理被拖欠工资“邓为也是打工人啊关邓为啥事万一公司也没给邓为交五险一金呢”
1691041687# #迪丽热巴古装被网友吐槽了网友称她真的不适合拍古装剧来看看是不是网友严格了迪丽热巴檀健次白发造型
1694161707# #虞书欣又去dy评论阿云嘎了称期待音乐剧《来自远方》随后粉丝解释阿云嘎音乐剧叫《在远方》。。。。。更有虞书欣粉丝大批涌入阿云嘎评论区称：你居然真的叫阿云嘎啊惊呆了老铁因为虞书欣第一次知道阿云嘎你我认识全靠虞书欣
1687015185# #杨幂画画摆拍却被网友质疑擦边你觉得是网友想多了吗杨幂露背了
1692147484# #rapper冶人为TangoZ发声TangoZ古早言论再被扒。。。
1696391239# #时装周最出圈明星推荐这次时装周时装周龚俊和王一博应该是最出圈的男星了吧
1699610418# #权志龙除头发外全身脱毛韩警方怀疑权志龙销毁证据权志龙高调：要毛我可以给你！但请你公开详细的调查结果！。。这次你还相信权志龙吗
1700836525# #成毅尖叫之夜彩排饭拍图状态真好越来越大方真是美人自在又舒展
1703469366# #王俊凯继捐赠棉大衣棉帐篷后600袋面粉600桶食用油等又装车送往甘肃灾区弟弟这每一步都落到了实处，必须挨夸！！
1700282528# #洪胜汉朋友ins发帖洪胜汉前脚刚说我抽烟还没被爆出来呢后脚就被打脸了。。。
1691131651# #我好像找到金智秀被爆恋爱后爱豆们的群聊了
1689138083# #我去网友称王俊凯王源易烊千玺TFBOYS演唱会一直有人举报。。。
1687184517# #余景天又要进男团？？？
1691759487# #内娱还有比她戏瘾更大的人吗。。。
1695453854# #SEVENTEEN专辑新概念之前他们动了孙悟空这次他们又看上了长城。。。SEVENTEEN新预告用了长城
1695551059# #何猷君说杭州电竞馆很顶手持杭州亚运会工作证，何猷君以中国澳门代表团之一参赛了！谁见过何猷君笑得这么开心啊，形象包袱🈚️！就差拿个大喇叭循环播放自己参加亚运会了！
1703251685# #博君一肖真的好牛直接把投票变成王一博肖战是真的为什么这对cpf这么长情啊陈情令都结束很久了啊
1692150846# #救救我，宁艺卓是不是韩语说多了不知道怎么用中文表达了，她真的知道自己在说什么吗，听着好难受。。。
1700621611# #Kbs报道：韩国足球国脚黄义助前一段被爆出来一些情se小视频，女方主张偷拍，男方主张是双方自愿，韩国警方昨天对男女双方进行调查，刚刚爆出来女方是黄义助的亲嫂子……
1689681631# #时代少年团刚发完新歌，七家就有五家开始维权包括马嘉祺丁程鑫宋亚轩刘耀文严浩翔其余两家贺峻霖张真源没反应
1692871126# #网友呼吁严浩翔粉丝称要不让严浩翔退学别学表演了，当演员连拥抱都不敢，以后是不是吻戏全借位床戏靠替身啊。。。女生也真够惨的，碰到不敬业的搭档。。。。。你怎么看待严浩翔隔空抱和粉丝行为你觉得是网友严格了吗
1689419335# #蔡徐坤演唱会应援词蔡徐坤粉丝应援“宝宝多大点事一直在一直爱”哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1687851350# #受不了了。。。
1690016793# #TF家族三代演唱会我的天TF三代人气也这么高来看看谁的灯牌最多
1687425589# #宋雨琦很会骂宋雨琦原来是SM家族粉
1687167628# #jennie巡演翻白眼Jennie不吐了不走神了不划水了享受的样子真好粉丝都替她高兴
1695904543# #中秋佳节金智秀电影古装新妆造来了你怎么看。。。
1699431929# #张凌赫也在看宁安如梦这个自拍照有点可爱啊
1691335579# #Seventeen中粉重新定义乞讨。。。
1687932836# #宁艺卓怎么这样了啊演的太明显了吧
1703257311# #林一鼻子林一的鼻子和虞书欣的鼻子被网友评选为最合适接吻的两个人
1691330757# #49粉平安进去TFBOYS演唱会了。。。
1691814153# #不愧是日腐。。。
1687143846# #边伯贤金珉锡金钟大将维持SMTOWN合约网友称边伯贤金珉锡金钟大怎么这么演啊搞了半天还是续约
1694051098# #易烊千玺用舌头顶下牙齿这一演技足够90后小生学一辈子了进来学
1703597547# #快看啊张艺兴在对你抛媚眼诶好可爱的少年啊
1697867296# #崔秀彬真的让人尖叫了他剪完脚皮然后问有人想吃脚皮汤吗随后放了一张类似脚皮的面皮汤你爱了吗想吃他的脚皮吗
1699194885# #内娱女明星生图来了没了滤镜谁抗住了镜头。。关晓彤马思纯宋茜刘诗诗钟楚曦杨紫迪丽热巴古力娜扎
1700275724# #网友偶遇了奥斯卡胡烨韬约会两个人私下里好甜啊
1695366456# #之前说赵今麦copy她的那位网友又发文了，这次还提到了四字哪个四字你猜到了吗这比我嗑的假cp微博重合度还低
1699088034# #于适金鸡奖闭幕造型帅帅的很安心
