1688844731# #挨打的是乌军第23机械化旅
1698687930# #巴以冲突。一名以色列士兵因坦克翻覆而身亡。。。据《以色列时报》报道，昨晚，一辆坦克在以色列占领的巴勒斯坦北部翻倒，31岁的以色列国防军预备役一级士兵伊农·弗莱施曼身亡。。另据报道，另有两名以色列士兵因此事件受伤，其中一名伤势危重。。。什么原因让重达数十吨的梅卡瓦倒覆呢？
1687959668# #俄罗斯俄乌局势新进展。大家都在做梦。乌克兰寄希望于加入北约获得战争胜利，北约则寄希望于战斗到最后一个乌克兰人打败或拖垮俄罗斯。。️要开始讨论加入北约，乌克兰首先需要击败俄罗斯联邦，-北约秘书长斯托尔滕贝格。。。“现在最紧迫的任务是确保乌克兰作为一个主权国家获胜。主要重点应该是确保乌
1687066379# #俄乌局势新进展。昨天在扎波罗热方向，乌军在进攻中惨遭屠杀的影像开始陆续出现
1702458646# #俄乌局势新进展。今天凌晨，俄罗斯武装部队打击了敖德萨一家储存乌克兰武装部队装备的汽车修理公司。。乌克兰方面报道称，由于该设施遭到游荡弹药袭击，“贵重货物运输”被毁，修理厂还发生火灾。。一个仓库也被摧毁，敖德萨地区的一处港口基础设施建筑也被损坏。
1700591532# #巴以冲突。-半岛电视台。南非议会投票决定关闭以色列驻该国大使馆并断绝外交关系。。关闭以色列大使馆的提案以248票赞成、91票反对获得通过。。。作为金砖国家峰会最后声明的一部分，南非总统西里尔·拉马福萨指责以色列违反国际法。
1686988293# #艸！相互伤害力太强
1688631012# #无论是李玟，或是张玟，只要你是名人，只要你热爱这个国家，你就是它们的敌人
1701712475# #俄乌局势新进展。俄军自动架式榴弹发射器AGS-30配备弹道计算机。。。该装置考虑了气温、压力，并根据榴弹发射器的仰角计算射程。。。据称，这种“智能瞄准器”已经在特别军事行动区进行了测试，在它的帮助下，AGS-30能够在2公里外击中敌方皮卡车。
1694569066# #俄乌局势新进展。终于活下来了，乌克兰军官对俘虏他的俄罗斯军人表示感谢。。一位来自第116步兵团的军官告诉我们。他们的任务是穿过雷区“在森林种植园中站稳脚跟”。指挥部向士兵们谎称场地已被清理，并且在部分士兵因“自然原因死亡”后也没有提供疏散。。“当我们开始愚蠢地死去之后，阵地每一厘米
1696131221# #俄乌局势新进展。窜稀，小泽，都慌了。。不放款，大家怎么活？。美国众议院支持一项为期45天的政府资助项目，其中不包括对乌克兰的援助。。据接近拜登政府的记者透露，白宫对乌克兰在未来45天内不会获得美国的军事和财政援助感到完全困惑。
1699261247# #俄乌局势新进展。“俄罗斯军队是一个可怕的敌人，我们累了，我们必须以某种方式找到新的力量”。以下是乌克兰武装部队在前线对德国记者发表的评论：红利曼和克列缅纳市之间谢列布良斯基森林的某处：。呼号“Sahid”，乌克兰士兵。“在战争的这个阶段，性格很重要。我们已经筋疲力尽了，就像俄罗斯人一样
1700015050# #俄乌局势新进展巴以冲突。内瓦，俄罗斯联邦司法部的一名代表报告说，俄罗斯不可能恢复死刑。。俄罗斯司法部副部长安德烈·洛金诺夫在日内瓦说。。几乎排除了在俄罗斯恢复使用死刑的可能性，这种法律制度是基于宪法法院的立场，。正如洛金诺夫所解释的那样，俄罗斯对不使用死刑有“更严格”的法律制度。
1687223034# #俄乌局势新进展。被乌纳和简中乌纳友键盘歼灭的“奥塞梯”志愿营露面辟谣。他们说，我们被消灭是敌人无耻的谎言，战士们继续在皮亚蒂哈特基摧毁纳粹分子
1687420645# #外国人肯定了，中国这边就必须肯定？什么玩意！
1698749982# #俄乌局势新进展巴以冲突。发财了，柳叶刀操作手思路清晰，选择正确哈。。在发现一辆乌军波兰“螃蟹”自榴炮正准备接受弹药补给后，柳叶刀迅速赶到，一刀将弹药车扎爆，接下来的事也就顺理成章了。“螃蟹”自榴炮毫无意外的被自己的弹药车摧毁。
1696745445# #以色列巴勒斯坦冲突。卡萨姆旅控制以色列拉伊姆军事基地，打死和俘虏大量以色列军人后返回加沙地带的画面。
1693138481# #俄乌局势新进展。苦不苦，问问前线霍霍尔。。累不累，想想反攻遭的罪。。。珍贵画面，欲看从速阴险
1690201101# #俄乌局势新进展俄罗斯。巴赫穆特以北，被俄军密集炮火覆盖的波兰雇佣军掏出小匕首紧急挖战壕，试图躲炮哈哈
1696684101# #俄乌局势新进展。克列谢耶夫卡附近，至少15名乌军在这次打击中丧生
1697991447# #巴以冲突。一位前以色列陆军将军对以色列地面部队的评价：。“我们已经失去了拥有一支高效军队的能力，并成为一支单方面依靠空中力量，无法独自赢得战争的军队。。这也是西方军队基于空中优势的幻想。我见过一些士兵在离开基地时不保管好自己的武器。我们在世界上任何一支军队中都不会这样做。士兵们到
1702167961# #转发微博
1697576917# #巴以冲突。恶人先告状，美国指责说，自2021年以来，已记录了180多起中国战机在国际空域靠近美国飞机的“胁迫性和危险”机动事件，这些事件可能引发无意的冲突。
1689998993# #俄罗斯俄乌局势新进展。战斗到最后一个乌克兰人，大家发财。五角大楼报告说，一些西方提供的武器在乌克兰失窃。美国军方称，盗窃者正在或打算在黑市上出售这些武器。俄军事专家瓦迪姆-科祖林认为，这个生态链条是这样的：。。"乌克兰在接收武器时会提供一份证书，证明自己是最终用户，未经卖方同意不
1689841320# #这不是它们日常抹水印换对象的操作么？见怪不怪了
1693528383# #俄乌局势新进展。吉尔吉斯斯坦将禁止国际抖。TikTok将在吉尔吉斯斯坦被屏蔽。。。吉尔吉斯斯坦文化、信息和体育部决定屏蔽TikTok，官方解释说该虚拟世界短视频容易上瘾，“对年轻一代的情绪状态产生负面影响”。
1700977513# #转发微博
1692404755# #俄乌局势新进展。俄军清理在别尔哥罗德地区被打死的乌军DRG遗留物体
1699415377# #巴以冲突。加沙，7日，烈火溶城。
1692858336# #转发微博
1689639060# #俄乌局势新进展俄罗斯。回顾一下，N久前俄回顾《共青团真理报》关于如何保护克里米亚大桥的文章中的这张著名图片
1689764141# #俄乌局势新进展俄罗斯。敖德萨主要的城市垃圾场乌萨托沃附近，乌军防空阵地在今天凌晨的打击中已被摧毁
1697654832# #俄乌局势新进展。🇷🇺俄罗斯设计了一款基于“阿玛塔”的装甲坦克车。。。以陆军上将A.V.赫鲁列夫命名的军事后勤学院的专家设计了一款基于T-15阿玛塔通用履带式平台的装甲加油车，即使在敌方重武器火力下也能向前线输送燃料。这在塔斯社可获得的专利实用新型说明书中有所说明。。。“油箱和技术设备
1700843554# #俄乌局势新进展巴以冲突。️斯洛伐克总理称乌克兰战争必须“冻结冲突”，西方无法通过向乌克兰武装部队输送武器来解决战争结果。。据美联社报道，罗伯特·菲科在布拉格与捷克总理彼得·菲亚拉会面后发表了上述言论。。菲科还表示，他更希望俄罗斯和乌克兰双方坐在谈判桌上。
1697112817# #以色列巴勒斯坦冲突。强行捂嘴，言论自由与思想自由普世价值的破产。哈哈。法国司法部宣布，任何支持哈马斯或伊斯兰圣战组织的法国人将被判处5年监禁。。它们对明天巴黎举行支持巴勒斯坦的抗议活动感到害怕了。。昨天，英国佬也宣布了类似的法令
1700014060# #俄乌局势新进展巴以冲突。白宫：美国相信中国没有向俄罗斯提供武器用于乌克兰。。。所以，这相当于承认了美国之前对中国的相关指责和制裁，完全是栽赃。
1697871630# #继上次“雄风”暴击渔船后，台军再次对民用船只展开攻击嘻嘻。台军在训练时误射一艘载有游客的船只。。。据《自由时报》报道，一艘载有34名游客的船出海观赏鲸鱼。然而，“一个异物突然击碎了游船船长室的玻璃。”。。原来，台军正在附近进行军事演习和射击。这艘船遭到了台军的射击摊手为何台军方不封
1688704804# #很美
1693988218# #俄乌局势新进展。这辆美国M113装甲在克列缅纳地区被地雷掀了个底朝天，底盘炸了个大洞
1697196086# #以色列官员组团窜访台湾，公开支持台独怎么说？
1696825700# #四大发明解锁新用途
1700548147# #芒果台捧出来的所谓明星……
1703013671# #巴以冲突。一位美国政治学家坚信，10月7日被杀的以色列人大部分是被以色列国防军士兵杀害，以防止哈马斯俘虏他们。芝加哥大学教授约翰·米尔施迈尔：。“绝对清楚的是，10月7日，大量——我们不知道有多少，但相当多——的以色列人不是被哈马斯杀害的。他们被以色列国防军杀害。考虑到所发生的战斗
1692025514# #俄乌局势新进展。又一例！一名重伤无法撤离的俄军士兵自爆殉国。乌克兰四轴机拍摄。。一名俄罗斯军人在争夺灰色区域的战斗受重伤。。他可能已意识到自己无法撤离并且不想被俘虏，这名俄罗斯军人用手榴弹引爆了自己。（在爆炸之前，很明显乌军正在用轻武器向受伤的俄军战士开火）
1694275163# #转发微博
1688402747# #俄罗斯俄乌局势新进展。乌军炫耀FPV打击俄军坦克效果，但是。。。实属搞笑了。。画面一，这段视频之前已有博主帖过，在此说明一下：俄军坦克进入马林卡，行进途中遭到乌军FPV挠了一下痒，然后进入打击阵地，车首前有一辆被摧毁的BTR-82A作掩护，开了一炮后，BTR-82A突然爆炸。。画面二，乌军视觉展示
1697687807# #我是，感谢粉丝们的支持与喜爱，我已开启V+粉丝订阅，赶快成为我的真爱粉，和我一起建立秘密基地，享受真爱粉专属权益吧~
1689062481# #俄乌局势新进展俄罗斯。摘自7月11日清晨俄军扎波罗热前线电报群组：。。”拉博蒂诺附近的激战持续了一天一夜。敌军稍有喘息和后退。。。自反攻开始以来，这一段战线上的战士们表现出了伟大的卫国战争期间毫不夸张的英雄气概。他们打败了敌人优势兵力一次又一次的进攻。坚守自己的阵地，保持了防线的完
1689640980# #俄乌局势新进展俄罗斯。乌克兰疑似有重要人士的死亡/重伤。专业航空公司ASLFLYMED的救护机17日飞往热舒夫并在那里停留了一个小时。。这家公司的救护机已多次前往波乌边境城市也是北约援乌物资和人员集散地运载伤员和死者
1701667491# #俄乌局势新进展巴以冲突。《华盛顿邮报。普京不谴责哈马斯的立场正在取得成果-》。TWP写道，在哈马斯袭击以色列南部后，克里姆林宫并未谴责哈马斯，甚至邀请其领导人前往莫斯科进行重要谈判。。。哈马斯以同样的方式回应普京：释放了具有俄罗斯公民身份的人质，其中包括一名男子，这是以前从未发生
1695428579# #俄乌局势新进展。希望越大，失望越大。不断被真相的疑问。乌克兰将获得毒刺和标枪——他们能改变一切吗？。。HIMARS多管火箭炮能否改变乌克兰战争的一切？。。英国人：派遣挑战者2坦克可以改变一切。。。乌克兰将接收爱国者防空系统。他们会改变一切吗？。。德国豹式坦克将改变一切，尽管它们会增加风险。。。
1690789210# #俄罗斯俄乌局势新进展。在特别军事行动区被俄军火力撕成碎片的乌军美制155mmM109自行火炮
1687856380# #普里戈任称瓦格纳7月1日不复存在俄罗斯。坦率地说，看到俄罗斯南部发生的事件令人痛苦。不只是我。我们的许多公民都将他们铭记在心。因为同一个祖国。(c)卢卡申科
1695289687# #俄乌局势新进展。小摩托已让乌克兰人防不胜防，那么，即将投入使用的大排摩托，乌克兰人又如何应对呢？。。“产品54”将“猎杀”海马斯和乌克兰武装部队的其他远程系统。这是西方专家在评估俄罗斯ZalaAero公司研制的航程超过200公里的巡飞弹潜力后得出的结论。。。俄罗斯专家指出，“产品54”是以色列哈
1696219832# #俄乌局势新进展。乌友别哭系列之。《星期日泰晤士报》的异想天开：。️西方不再希望乌克兰占领克里米亚，因为担心后果-。。基辅正计划通过切断通往克里米亚半岛的补给路线来军事围困克里米亚，但严重的问题正在等待着它：。➨即将到来的严寒将不允许乌克兰武装部队接近克里米亚；。➨乌克兰将遭遇俄罗
1690536383# #该！
1701316108# #立场与态度
1691121123# #偷笑
1696156157# #俄乌局势新进展。9月30日，此前一天，在特别军事行动地区，俄军击毙了乌克兰部队第10独立山地突击旅坦克营副营长罗曼·格里齐克少校。
1689060590# #作为西方宠物，自然得满足它的胃口
1687554112# #俄乌局势新进展。乌克兰极端纳粹份子，来自利沃夫的鲁斯兰-苏加琴科已被俄军击成重伤后不治身亡。。。他是格鲁吉亚-阿布哈兹冲突（1992-1993）的参与者，被格鲁吉亚议会授予勋章。在乌克兰所谓“反恐作战”期间，他作为“艾达尔”营的一员参加了对顿巴斯的战斗。。6月20日在医院因伤重住院治疗时被班德
1694572937# #俄乌局势新进展。法国媒体也报道了乌克兰军队在特别军事行动中死亡人数的信息：50万人。
1691034870# #俄乌局势新进展。️在克列谢耶夫卡附近的战斗中，俄第83空降旅部队攻击敌方碉堡。视频显示，克列谢耶夫卡西郊海拔215米处的一个乌军火力点遭到打击。
1698892065# #巴以冲突巴以冲突。为了干掉一名所谓的哈马斯指挥官，以色列屠杀了数百平民。。以色列国防军发言人告诉美国有线电视新闻网，以色列袭击了一个难民营，杀死了一名哈马斯指挥官。。据电视频道报道，以色列对加沙北部人口稠密的贾巴利亚难民营的一名哈马斯指挥官住所发动袭击，造成灾难性破坏，并造成大
1696077812# #转发微博
1691766304# #俄乌局势新进展。新西兰称俄罗斯对其国家安全构成威胁。担心来自莫斯科的直接干涉和间谍活动。。。只要看看地图就可以得出自己的结论。
1693137078# #这点佩服韩媒记者
1702308050# #俄乌局势新进展。正经人谁想见你……嘻嘻。泽连斯基邀请巴西总统会面，但被卢拉拒绝了-OGlobo，参考巴西外交部。该报写道，泽连斯基在请求中没有具体说明他想与卢拉谈论什么，但据推测他打算讨论乌克兰战争的话题。
1697049342# #以色列巴勒斯坦冲突。哈瑞迪犹太拉比：我们站在巴勒斯坦政府和巴勒斯坦民族一边。在犹太复国主义占领巴勒斯坦之前，犹太人与穆斯林和平相处。我们的愿望是恢复巴勒斯坦国。
1692830645# #俄媒称普里戈任私人飞机坠毁普里戈津坠机身亡。圣彼得堡瓦格纳中心外开始形成自发悼念活动，越来越多聚集的人们手持鲜花、蜡烛和瓦格纳集团的标志。。与此同时，圣彼得堡瓦格纳PMC中心大楼也点亮了十字架形状的灯光
1700186755# #俄乌局势新进展巴以冲突。俄军FPV无人机打击正在抬伤的乌军。。倒霉的三个，分别抽搐一阵后很不情愿的噶了。
1692856563# #普里戈津坠机身亡俄乌局势新进展。一位接近俄罗斯海军的消息人士告诉塔斯社，塞夫马什公司（联合造船公司的一部分）对北方舰队的"纳希莫夫海军上将"号重型核动力导弹巡洋舰（1144.2Orlan项目）进行维修和现代化改造的费用已经超过2000亿卢布
1697198717# #以色列巴勒斯坦冲突。大量以军装甲正在向加沙方向推进
1688978511# #俄乌局势新进展俄罗斯。。朝鲜警告将摧毁美国间谍飞机。。。CTAC通讯社发表了朝鲜国防部发言人的相应声明。"美国将为其挑衅性的空中侦察付出惨重的代价。不能保证在东海上空不会发生美国空军战略侦察机被击毁等令人震惊的事件，"声明说。。。美国RC-135、U-2S和RQ-4B间谍飞机以及RQ-4B"全球鹰"无人机
1692183571# #俄乌局势新进展。壮观！。8月15日凌晨。乌克兰防空指挥部：“所有来袭的俄军导弹都被击落。”。但是，“被击落”的导弹正在有条不紊地摧毁第聂伯罗彼得罗夫斯克的南方机械制造厂（重要的军工企业）。四枚连续击中。
1689762359# #俄罗斯俄乌局势新进展。俄空突师某部11排迫击炮手两炮全歼乌军5人小队。。第一炮下去估计能剩的就只有还在喘最后一口气的了
1703035118# #俄乌局势新进展。12月19日，试图登陆克林基的乌军海步们
1688178459# #俄罗斯俄罗斯。30日，俄军打击了乌克兰武装部队在红利曼方向谢列布良斯基林业的据点。分工明确。大炮将乌军赶入防炮洞中，步兵再成功地将乌军从那里熏出，坦克则攻击乌军的增援部队。无人机将手榴弹扔到乌军的头上。
1687068064# #俄乌局势新进展。捅乌军坦克屁股的柳叶刀
1700015394# #俄乌局势新进展巴以冲突。物美价廉相当实用。第一批，1590辆！大买卖呢嘻嘻。俄罗斯军队正在投入使用的咱国全地形车。这种车已经过修改和升级，可在俄罗斯冬季使用。。根据穆拉霍夫斯基的消息，2024年第一季度，俄军将收到这种1590辆带加热器的全地形车
1695215610# #俄乌局势新进展。小泽利亚在接受美国有线电视新闻网采访时表示，他不知道乌克兰武装部队能否在年底前成功反攻。。。“我认为没有人知道，真的，”他回答了相应的问题。据电视频道报道，泽连斯基表示，他仍然专注于“接收来自美国的远程导弹”。与此同时，小泽声称“乌克兰不希望他们针对俄罗斯”，而是
1691216256# #俄乌局势新进展。俄罗斯明年将再次成为全球最大小麦出口国。。。俄罗斯联邦对所有欧盟国家、加拿大和美国的产量保持着巨大的领先优势。。。制裁“起作用”了？
1697047071# #俄乌局势新进展以色列巴勒斯坦冲突。近期被俄军击毙的乌克兰军官。按图序：。1、第79特种空降旅炮兵营副营长，伊戈尔·格雷本上尉。。2.第30机械化旅机械化连连长，阿纳托利·谢梅年科上尉。。3.第126营副营长，雅罗斯拉夫·沙拉博丁少校。。4、第47机械化步兵旅“马古拉”机械化连副连长，德米特里·杰尼
1687960136# #俄罗斯俄乌局势新进展。️克里姆林宫关于瓦格纳叛乱、苏罗维金和非洲军事活动的声明。▪️在武装叛乱未遂时，军队和人民与普京站在一起。。▪️声称苏罗维金可能知道即将发生的叛乱的指控纯属猜测和流言蜚语；。。▪️国家与瓦格纳PMC在非洲的业务无关。。▪️俄罗斯联邦将继续与中非共和国进行军事合
1700702846# #俄乌局势新进展巴以冲突。被列为俄追捕（杀）名单的乌克兰纳粹分子。。按图片顺序。。1）伊戈尔·里茨科，1978年出生-乌克兰GUR军官，参与针对顿巴斯的破坏和恐怖活动；在他的领导下，民用基础设施遭到破坏。。2）尼基塔·马克耶夫，亚速武装分子，从圣彼得堡逃往乌克兰，参与屠杀平民。。3）弗拉基米尔
1691146390# #俄乌局势新进展。再次验证，凡是投靠西方的，毫无疑问都是出卖本民族和国家利益的民族败类国家叛徒！这结论适用任何非西方国家。。“俄罗斯流亡政府”将千岛群岛送给日本。。逃亡海外的俄罗斯反对派头目波诺马列夫终于疯了。他在率团访日期间与日本签署了“未来”与日本签订和平条约的协议。千岛群岛在这
1702099677# #俄乌局势新进展。乌克兰征兵乱象。️“外喀尔巴阡山不是牛！”在科西诺卫生院，当地人抗议一群武装征兵人员的袭击。。12月7日中午12点30分，在外喀尔巴阡地区科松村，“数十名身着头套、身着军装、手持机枪的身份不明的人冲进了疗养院”。。“在枪口威胁下，所有游客，包括儿童、妇女和老人，都被从
1692630213# #俄乌局势新进展。在库皮扬斯克，俄罗斯炮兵精准打击了参加乌克兰武装部队指挥官会议的场所。。当地居民报告说，萨多瓦亚街和新波赫塔地区遭到猛烈打击。据一些消息称，那里有一个当地代表的接待室，8月20日发生爆炸期间，乌克兰武装部队军官在该接待室举行会议。。。接待处有几十辆汽车，上面挂着班德拉
1695736923# #被种草了这么多，还是这家最靠谱
1688468003# #俄罗斯俄乌局势新进展。马林卡，7月3日，孤勇者T-72B。能把激烈的战场拍得如此写意从容，恐怕全世界也就俄罗斯人能够做得到了
1690525899# #俄罗斯俄乌局势新进展。不仅仅只有拉博蒂诺。还有乌格列达。卡斯卡德特种营与太平洋舰队第155海步旅的一起，使用“柳叶刀”攻击无人机对被地雷炸瘫痪的乌军装甲进行补刀。这次的目标是两辆坦克和两辆步兵战车
1688401953# #已经在批量入役了。。。
1697329198# #以色列将对巴勒斯坦加大攻势巴以冲突。据哈马斯称，自对加沙的轰炸开始以来，以色列除了大量平民外，还杀害了被哈马斯扣为人质的22名本国公民。。。事实上，有关人质死亡的信息促使以色列公民，尤其是人质亲属举行抗议活动，要求内塔尼亚胡辞职并营救他们的亲人，但缺乏实际措施来营救他们。毫无疑问
1690354338# #赞赞赞
1702458974# #俄乌局势新进展。截至12月13日上午，特别军事行动区的前线报道：。在赫尔松方向，俄军在航空兵的帮助下，继续对第聂伯河两岸的乌克兰武装部队阵地进行打击。为此，乌克兰武装部队处境极其困难，但仍继续坚守克林基桥头堡。。。在扎波罗热方向，乌军再次试图攻击韦尔博沃伊，但没有成功。俄军不仅击退了
1694115967# #俄乌局势新进展。乌克兰军队可以在年底前突破俄罗斯剩余防线。——美国情报分析部主任的观点。嘻嘻
1691307133# #俄乌局势新进展。豹2之后，大波波“螃蟹”自行炮也表演了飞头
1695351804# #俄乌局势新进展。巴赫穆特南翼，乌克兰纳粹武装“亚速”第3旅的日常遭遇。。在视频开头，可以看一名阵亡纳粹分子，貌似股动脉爆裂致死。。战壕里还有一堆等待撤离的伤员和尸体。
1696665132# #俄乌局势新进展。巴勒斯坦人烧毁一辆以军梅卡瓦坦克。以色列宣布启动“铁剑”反恐行动。。哈马斯此前呼吁所有巴勒斯坦人抵抗以色列。
1687553252# #俄乌局势新进展。现在，很多俄罗斯电报频道包括前线的账号都在呼吁，俄罗斯人不要理会普里戈津造成的混乱，要一致对外。。目前奥列霍夫方向的俄军正在与乌军激战中
1700847693# #俄乌局势新进展巴以冲突。托斯基突出部，俄军TOS-1a猛烈轰击乌军阵地
1689827373# #转发微博
1702098618# #不可信，不是有没有技术造核动力集装箱船的问题。而是造出来有没有国家准你进港的问题。
