1701976670# #船夫：我好害怕好无辜悲伤
1702656659# #一念关山看到这张图🍋你欠刘诗诗的用什么还🔪。那么多年刘诗诗眼神都没变过依旧是那个眼里有光单纯善良爱笑的人而内🐟的环境越来越糟糕🔪
1694839139# #认准官方抱一抱
1697812994# #张婧仪蓝睫毛张婧仪超话。活动结束后奔跑赶飞机✈️的仪宝好可爱啊啊啊啊舔屏（还把眼镜摘了hhhhhhh。一天见三种不一样的公主👸舔屏好幸福
1694838702# #呜呜悲伤
1693840733# #本来是要和袁爷爷一起拍的悲伤
1701334258# #哥能不能再来个vlog
1704424553# #刘诗诗任如意啊啊啊啊啊视频开学季抓狂
1699882986# #啊是新角度泪那会看到了鸟姐喊千玺记得回头的视频然后千玺回头了悲伤还含蓄微笑悲伤玺紧张候场还不忘记回应悲伤易烊千玺二三逢时戢鳞风起
1703136437# #张婧仪焕羽我滴天呐泪苦涩动图yyds泪
1704512338# #爱慕呜呜这以后我还怎么喊四字弟弟色太帅了
1702561002# #刘诗诗一念关山只能从粉丝片场视频里面看完整的任如意悲伤姐宝蹦蹦跳跳尊嘟好可爱悲伤同时也好心疼泪刘诗诗任如意心疼姐姐熬大夜的戏说删就删，柠檬倒闭。
1692875365# #舔屏开学季好帅啊弟弟
1698474125# #泪抱一抱好羡慕
1692765378# #出挑的变危险，平庸的最安全。那些所谓正义的人来来去去表达的都是自己对普遍不受约束的公共quan力的愤怒，易烊千玺不幸成为了他们的发泄口，成为了这个畸形社会的牺牲品罢了，这样的结局只会让网络暴力更加猖獗，那些人都是共犯。
1700655097# #融化鸟姐土匪吧泪一件也不留
1701427575# #呜呜呜呜好喜欢苦涩泪天天开心抱一抱易烊千玺4%vol的河
1689518704# #开学季开学季开学季好好听呜呜
1701148773# #还以为是我手机有问题了泪而且小网站崩了悲伤泪好好好你小子朋友们，你们的音量键有为易烊千玺拼过命吗
1698999021# #哈哈哈哈哈哈哈哈哈哈哈哈哈这个假笑好可爱收到@Johnny黄景瑜
1700880593# #易烊千玺二三逢时戢鳞风起那年给粉丝的手写卡片“今天要开心哟”抱一抱今年新歌关于“开心浓度”泪喜欢易烊千玺好幸福啊啊啊易烊千玺4%vol的河
1701400843# #呜呜呜呜太绝了吧这生图的脸悲伤我们一姐脸在江山在可怜
1702653831# #电视剧真正的效应在长尾效应三寸天堂这首bgm真的会哭悲伤最好的马尔泰若曦
1704210005# #刘诗诗的晚安短信。抓狂什么时候才能收到兔子姐宝的抓狂
1701177217# #好温柔的玺宝悲伤开学季哥哥我也不舒服悲伤谢谢小哈琳心也祝你平安快乐，早点恢复健康～
1703909149# #一念关山刘诗诗任如意真牛抱一抱刘诗诗任如意
1697688215# #无耻裂开
1699594371# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐点燃我，温暖你！为热爱助力，一起来推荐你最喜欢的作品吧~
1702552163# #一念关山刘诗诗的热度才是真实的热度哇国民认可的热度哇而不是被🐎上榜1⃣️得到的热度awsl刘诗诗一念关山刘诗诗任如意
1704512823# #呜呜呜但永远还是那个会把酒杯放低于别人的易烊千玺亲亲爱慕
1703064260# #刘诗诗牛🐮
1698978674# #泪绝了黄景瑜冬至
1697699046# #简直就是农夫与蛇…狗咬吕洞宾…愿世界和平🙏裂开
1703516346# #耗子药天啊‼️原来🐭娘惯用的就是自导自演然后倒打一靶哆啦A梦害怕刚刷一个yxh的微博，看了一场戏哆啦A梦害怕。（🐭娘是怎么敢到处说他们不爱撕，不爱吵架，脾气好被别人欺负的……震惊哆啦A梦害怕）
1699981782# #哈哈哈哈哈哈哈哈
1701950903# #易烊千玺GQ压轴出场。好好好抱一抱是23岁的易总鲜花。易烊千玺4%vol的河
1699373749# #好好好舔屏我懂了举手期待双十一舞台举手易燃装置
1702637169# #易烊千玺剧组雇200个保镖。是剧组不是个人。️电影本身保密性就强和电视剧不一样每部电影剧组都会有大量保镖（是不是200个你还一个个数了？）人家剧组防的就是你们这种人毫无底线上纲上线什么摊手没事找个厂上班吧摊手
1690795414# #举手回北京涮肉咯哇@TFBOYS-易烊千玺
1701347062# #一念关山替身马赛克。不是吧不是吧有人那么防剧那么防刘诗诗是吧。黑热搜空降第一确实刘诗诗古装统治区呢。确实比你们家的肥某好捏抱一抱。那些喊没有现场视频的欢迎来看呢。说替身的不就是这个场景嘛。别装🦐了二哈欢迎看剧呢。刘诗诗任如意
1704083106# #2024越来越好抱一抱一路风景瑜你同行！@Johnny黄景瑜
1694488415# #易烊千玺超话心易烊千玺世界设计之都大会青年大使
1697348257# #以色列轰炸后的加沙尸横遍野。惨不忍睹！除了心痛就是愤怒！开学季。望世界和平泪🙏。很庆幸自己生在中国泪
1703159390# #啊啊啊啊啊啊仪尊嘟好美大杀四方抓狂抓狂抓狂
1699876273# #好帅舔屏这是参加别人的婚礼呀嘻嘻嘻嘻嘻嘻@Johnny黄景瑜
1700997517# #刘诗诗任如意来来来抱一抱舔屏一起来爱奇艺看如意呀舔屏抱一抱刘诗诗一念关山
1703657995# #那年今日抓狂可爱公主👸抓狂
1697986926# #抓狂抓狂抓狂抓狂
1702124894# #舔屏求关注玺玺玺玺玺玺玺
1704077319# #刘诗诗超话2024，姐宝越来越好抱一抱抱一抱抱一抱
1693722870# #科班之前处女作提名奥斯卡，科班之后毕业作获得影帝心未来可期以刘北山为开篇，以孙钧为毕业之礼，易烊千玺四年的大学丰富精彩
1702635716# #一念关山安都副本决胜局。姐姐悲伤喝着奶茶🥤也管管我泪姐姐姐姐姐姐姐姐姐姐姐姐姐姐姐姐姐姐来广东喝早茶
1703079342# #说男演员就有人立马出来蹦跶澄清，说女演员的都不回应，大家懂的都懂啊，欺负女演员不会直播呗
1699594357# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐你给我的喜欢！一起来推荐你心中的微光荣耀吧
1702630682# #抱一抱任如意宝宝抱一抱
1699264476# #好美泪舔屏谢谢ELLE的邀请举手
1702120264# #刘诗诗任如意呜呜呜我姐好酷好帅好美舔屏任如意求关注刘诗诗一念关山
1691251354# #十周年快乐哇
1704117292# #哥亲亲元旦快乐抱一抱@Johnny黄景瑜
1703259983# #晚安😴王哥冬至快乐～@王子奇是演员王子奇
1701952382# #哈哈哈哈哈哈哈哈哈磊的表情逗死我了
1702097084# #刘诗诗戏份你可以删减我的话语，二创我的文字。但是你扭曲不了我的意志。刘诗诗任如意从来不是谁的附属品，任如意是一棵树，一棵可以为千千万万女子撑起一片天的树。一念关山加戏
1702473521# #一念关山数据可以注水官媒的认可才是真正的认可抱一抱谁才是扛剧的那个一目了然刘诗诗一念关山
1695701128# #呜呜呜呜呜呜悲伤姐姐真的好温柔悲伤代入感好强给我看哭了悲伤愿所爱之人都能被时光温柔以待❤️刘诗诗怼脸哭戏赞刘诗诗六分钟一镜到底
1703423829# #最好的刘诗诗抱一抱最好的任如意抱一抱今天不想催你别的，只想让你替我们抱抱她，告诉她，任如意真的特别好，不止我们，观众们都很喜欢她苦涩
1702447524# #一念关山微博开分8.5。恭喜一念关山抱一抱刘诗诗呈现出来的任如意/任辛太棒了抱一抱表演感染力巨强抱一抱感谢导演团队和武指老师以及各位台前幕后的工作人员抱一抱。。刘诗诗一念关山抱一抱刘诗诗任如意
1703683712# #不磕cp哆啦A梦害怕只是看剧的时候就很迷惑，前面一直有琉璃这个角色带着哆啦A梦害怕她也是女主和徒弟的突破口，不理解为什么到后面这个角色突然就消失了摊手一点交代都没有汗原来是这样……🍋真的不做人汗
1691151119# #泪泪泪妈耶易烊千玺超话
1703907303# #刘诗诗一念关山抱一抱刘诗诗刘诗诗东方淮竹
1702648071# #刘诗诗任如意姐姐也要开心如意抱一抱刘诗诗一念关山
1698156599# #哥杀青快乐期待下一部剧舔屏
1702636471# #一念关山安都副本决胜局。姐宝掉线了吗掉线了吗掉线了吗。
1695392399# #易烊千玺的骨相。。是真的很喜欢很喜欢这种骨相！！下颌线很完美！！哇
1696513945# #他从火光中走来超前点播。求求求
1700996456# #刘诗诗一念关山来来来抱一抱一起来爱奇艺看如意刘诗诗任如意
1703755274# #悲伤天啊！居然是16年的事情了悲伤还可以再开一次吗姐姐悲伤可以叫刘诗诗再开多一次吗苦涩
1691051799# #易烊千玺王源同一航班飞西安好的好的求物料好嘛开学季开学季开学季
1701977822# #泪悲伤
1696781893# #哈哈哈哈哈哈哈哈哥还得是你
1693717652# #你最喜欢易烊千玺塑造的哪个角色。都喜欢心更喜欢的是景浩哥易烊千玺电影奇迹。特别是“这个和我年龄有什么关系”这句台词鲜花
1690462565# #厦门人防台风到底有多努力一点也不夸张开学季只有沿海地区的uu才懂开学季广东和福建沿海地区每年遭遇台风的损失真的很惨重开学季特别是靠天吃饭的农民🧑‍🌾泪
1702212962# #一念关山辟谣刘诗诗打戏一剪没。所以昨天偷戏是真的吗？。昨天“刘诗诗戏份”可是热搜第一噢。i男宝们
1704546773# #摊手害，我看着这些言论也是真的累了，他们的精力是真的足……真心心疼姐，在这越来越🤢的舆论环境里，也还是以前那个不会为自己多说一句的人，随别人造💊满天飞…真废物团队
1693642605# #台风达维或造成海水倒灌日本。怎么这个台风消失了疑问疑问疑问
1700814889# #刘诗诗一念关山
1701226251# #刘诗诗一念关山抱一抱举手这段建议反复看舔屏刘诗诗任如意
1704279859# #刘诗诗任如意刘诗诗扛剧女王！！！抱一抱继续支持任如意抱一抱@刘诗诗
1698892746# #易烊千玺二三逢时戢鳞风起双向奔赴的玺和鸟姐泪好厉害呜呜呜
1692281751# #悲伤泪
1702211134# #刘诗诗一念关山刘诗诗任如意抱一抱刘诗诗任如意
1699278038# #黄景瑜前妻晒聊天记录你放聊天记录是想证明他来找你解决事情是吧？但聊天内容看到了你一直在变来变去，他一直在征求你意见？黄景瑜情绪是真的稳定啊汗换位思考，有这种前任是真的好惨……昨晚直播说他都把你花的钱还你了…你今天又跳出来说你为他花钱，意义在哪疑问前一秒还在买💦🦠来搞性
1699086495# #刘诗诗古力娜扎合照梦回轩辕剑。刘诗诗尊嘟是古装剧的天花板美女举手抱一抱拍过的古装剧永远都是经典！！！接下来一起期待刘诗诗的新剧《一念关山》吧！！爱奇艺可以预约哦！！刘诗诗一念关山
1701133419# #王俊凯王源连续第十年为易烊千玺庆生。尊嘟会随机掉落好多东西（🎂🍻🌹。随机掉落拿着玫瑰的玺也太幸福了吧抱一抱偷笑。弟弟23岁生日快乐🎂只想你快乐平安健康心。演员易烊千玺期待待播作品✌️易烊千玺4%vol的河易烊千玺二三逢时戢鳞风起
1702905924# #刘诗诗超话。在逗逗的微博抓到可爱的姐宝抱一抱抱一抱抱一抱。最好的任如意抱一抱。刘诗诗任如意
1693458240# #哇加餐啊啊啊啊疯狂星期四，请继续保持这个更博频率~每周四都发！！！
1699791563# #还有种粉雾海的视觉悲伤抱一抱玺太牛了
1699251960# #啊啊啊啊姐姐好美舔屏@刘诗诗
1696505727# #姐姐抱一抱好开心@刘诗诗
1701399059# #我的天使玺宝苦涩心软软悲伤鲜花
1699502119# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐罚罪！一起来推荐你心中的微光荣耀吧
1704607778# #哆啦A梦害怕难评…
1702399679# #铭记历史！
1702010875# #今天是乖小宝抓狂
1695357042# #每日都有不同的惊喜舔屏色
1703262393# #恭喜刘诗诗
1700387698# #哈哈哈哈哈哈哈哈哈好可爱刘诗诗：谢谢谢谢🙏（e人变i人了）允悲
1694066332# #易烊千玺怀化市城市形象大使好帅哇
1699789615# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐点燃我，温暖你！为热爱助力，一起来推荐你最喜欢的作品吧~
1701781412# #抓狂刘诗诗任如意抱一抱恭喜姐姐
1703673755# #宣传委员姐姐抱一抱刘诗诗超话和宣传组长一起支持好友们新作品啦~
1699671330# #泪抱一抱不断挑战自己是我优秀的玺玺悲伤当时就被惊到了
1699636976# #何炅谢娜易烊千玺同台拥抱。尊嘟很喜欢何老师和娜姐泪。何老师和娜姐对玺宝真的给人一种家人的温暖感悲伤抱一抱心《三位真火》。易烊千玺限定玫瑰
1701175532# #舔屏舔屏舔屏
1701345868# #一念关山替身马赛克不是有人要视频吗？眼瞎看不到？微笑不就是这个场景嘛微笑喊的人呢微笑刘诗诗一念关山
1700792158# #一念关山定档。一起来看任如意呀抱一抱舔屏是原创剧本噢抱一抱。。刘诗诗一念关山
1699705777# #舔屏舔屏舔屏
1696837417# #抱一抱嗷嗷期待正片@王子奇是演员王子奇
1704376019# #悲伤小梨涡宝宝悲伤我就说还是宝宝吧！！！！！亲亲真可爱真可爱真可爱！！！！易烊千玺破洞针织内搭
1697119117# #赞同泪舍不得林陆骁开学季景瑜，这部剧你真的很棒，演的特别好，你演活了林陆骁，致敬千千万万个"林陆骁"
1699673070# #好喜欢抱一抱舔屏抓狂
1703869083# #和玺一起期待2024抱一抱2024越来越好抱一抱2024大家都要越来越好新的一年继续做千玺的影迷哇哇
1697184602# #泪舍不得林教官泪续集泪@Johnny黄景瑜
1698743372# #尊嘟假嘟舔屏期待我姐
1702540404# #董明珠怒斥孟羽童。震惊🤯那会不是要孟给她直播带货的嘛衰
1702219743# #为什么不带常华森刘诗诗支持的是全员上桌。而剧方不是可爱只为了捧🐭。常华森在直播（视频指路：
1701048602# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1703471964# #哆啦A梦害怕路人还要花💰啊？是路人还是💦🦠点进去微博不就知道了哆啦A梦害怕震惊了…刷到一堆网b路人🐎路人的…疯魔了吧……
1702730950# #抱一抱姐宝任如意随心飞抱一抱刘诗诗任如意
1702608998# #哈哈哈哈哈哈哈🐭💩哈哈哈哈哈哈哈哈
1702630613# #一念关山阿oh还没来得及去b站看视频就被捂嘴删视频了揣手摊手刘诗诗一念关山
1701753290# #呜呜呜刘诗诗她一直在做自己泪娱乐⭕名利场很复杂，她却依然十年如一日的保持着善良，知世故而不世故，我对刘诗诗就是始于作品，终于人品。
1701166110# #姐用这个表情包好可爱开学季
1697906716# #今天错走v泪真的很心痛💔
1701140635# #易烊千玺23岁生日照。有人曾经问我你为什么在组合里最先好感的是易烊千玺？为什么会那么喜欢易烊千玺？？。。这还得从14年那场签售会开始说起…那年，我闺蜜是团粉，我也因为她认识了这个组合。14年那场广州签售会，我本着陪我闺蜜去看明星的普通心态到现场，但没想到意外的事情发生了，命运的齿轮就从
1703348438# #一念关山天啊‼️没点内涵和文化的人读不懂还要倒打一耙跪了老天啊‼️刘诗诗发的总结文里这几句话把剧以及角色的核心全包涵了摊手怎么会有人读不懂啊？还带节奏🧼💊孤到最后…苍天啊❗️你们还是适合看句号哥的文章跪了别来沾边…。耗子药最后一次随…真的会替没文化、没内涵不自知
1701049077# #刘诗诗一念关山悲伤
1698231243# #哇直播舔屏@Johnny黄景瑜
1701695897# #一念关山新浪扫楼（刘诗诗任如意。爱奇艺有一个员工姐妹尊嘟好社牛。🆘哈哈哈哈哈每次扫楼都可以听到她的呐喊。大家一起来看一念关山呀抱一抱。刘诗诗一念关山刘诗诗任如意
1704375839# #啊啊啊啊我存我存悲伤好看晕了易烊千玺破洞针织内搭
1697708024# #抱一抱期待正片@王子奇是演员王子奇
1699025928# #姐姐真的不是18岁嘛抓狂好可爱好嫩好美抓狂舔屏@刘诗诗
