1703649657# #冬月和情歌更配哦～。《忍受》MV，别走开，马上来^^。张杰新EP冬月初七
1697692588# #每一份快乐，都想和你们分享。乐事薯片焕新升级，期待与你们一起共同见证！10月19日15:00，和我准时相约乐事官方直播间，我们不见不散！你的乐我的事
1694268432# #十点了！。我在哪里看时光音乐会老友记啊？。在线等……
1690683648# #小时候有很多美好的记忆，特别是在外南街，我和爷爷之间……。听他唱川剧，玩他的录音机，跑到小巷子里拆东西，最喜欢摸他的大耳垂，我发高烧输液，他花了一个月工资给我买的深绿色玩具小火车…。最怀念的是和他一起种下的那棵泡桐树，十几年为我们一家遮风挡雨。。后来老街改造，树没了，爷爷也日渐消瘦
1703580225# #两只鸟来了。MV小预告也来了。张杰白鸽天鹅MV
1694057642# #未live的时间真的好快。竟是最后一次回顾了。但我还想再唱“亿”次^^。（我超级喜欢这最后的剪辑）。。是的离别是重逢的开始。在众多的孤星中。我们还是会找到彼此不是吗。未LIVE！未来的不久后。和你们再聚！。你们！对！就是你们！。张杰未LIVE巡回演唱会
1704160795# #现在的我浑身酸疼～。脖子僵硬我要按摩！！。再强悍的男人听到“加班”俩字belike……。。张杰未你好吗跨年演唱会
1691819566# #深圳。三月的约。八月实现。破掉问号。涅槃而来。今晚继续！。张杰未LIVE巡回演唱会
1696346687# #机车“音乐杰”。上次看到这么多大旗。还是上一次航天员。狂潮机车音乐节
1703591874# #白鸽天鹅飞过了四季，终于在年末与大家见面了^^。自己作词，自己作曲，自己录音，自己拍MV，这份署名Jasonzhang的礼物送给你们。张杰白鸽天鹅MV
1690713289# #今年。我出道的第19年。今天。北斗星空歌迷会19岁。今晚。我的第82场演唱会。刚好。我的专辑《外南街1982》。所以。我们做的一切刚刚好。一切也是最好的安排心🎂
1695205205# #
1703596233# #「未·你好吗」2024跨年演唱会加载中。▓▓▓▓░░░░░░░░&nbsp;33.3%。张杰未你好吗跨年演唱会
1693145270# #张杰未LIVE巡回演唱会
1691677968# #祥云报到，事事吉祥，期待^^
1703664003# #没想到吧，我还有^^。张杰新EP冬月初七
1692702912# #归巢倒计时𝐃-𝟑。。·--&nbsp;---。。张杰未LIVE巡回演唱会
1693318771# #加上鸟巢唱的那三天。今天就已连唱了五天。唱了起来：。“不用唱歌了不用唱歌了。不用唱歌不用唱歌。不用唱歌了。巡演嗨完了奖杯放好了。嗓子很忙的～咦哈！”。东方风云榜
1703607021# #冬月和外南街一样，对我都有着特殊的意义。。它既是吐故纳新的节点，也是我接纳万千世界的伊始，《冬月初七》这张专辑，作为年末的礼物送给大家，希望大家的2023不留遗憾，迎接更美好的明天^^。张杰新EP冬月初七。。QQ音乐：
1693022346# #三登北京鸟巢🏟️第85场个唱🎙️。整整三个小时高朋满座。又加了十“组”顶级音响记录再创。不敢请更多朋友因为真的完全没票。出镜不出镜来没来爱都能感受到。第一场“经典场”💎🔛。第二场“……场”⚜️🔙。第三场“……场”🚀🔜。自己想航天员心鲜花。PS:昨晚是哪位嘉宾把荧
1691488973# #久等了，北京！。时隔4年，未·LIVE又回来了航天员。LIVE连唱三天，鸟巢见^^。张杰未LIVE巡回演唱会
1688437672# #未来的。未·live。不会。受限、受骗、手欠抓狂。⚠️。只会更。熟练、瘦脸、收敛加油。ProducedbyJasonzhang航天员。张杰未LIVE巡回演唱会
1689569426# #昨晚星海闪耀。留给南京的惊喜有亿点多哦。你你你们都学会了安忍。我我我们也穿越人海共赏梧桐吐绿。下一站长沙我可要玩个大的航天员心加油。张杰未LIVE巡回演唱会
1693103935# #未•live航天员。二度归巢🪹。第86场🏟️。由家人、亲友、和歌迷朋友们一同见证心。当心有牵挂你就不是孤身一人北斗不是孤星。请相信你的小星球一直在努力地寻找着你🪐。每一位为我呐喊鼓掌的朋友。我每次都把爱的能量回向给你了⛽️。期待今晚的“最终章”航天员。。张杰未LIVE巡回演唱会
1689393452# #一想到都在来的路上。就很开心。总算盼到了。南京今晚见。有票了航天员飞机鲜花心太阳加油音乐话筒照相机。。张杰未LIVE巡回演唱会
1699841906# #很荣幸成为中华民族团结进步宣传推广大使，让我们一起把民族团结进步的主旋律唱得更响、传得更远。
1703001605# #
1690423524# #潜行的路。我们互相为伴。潜行者。。QQ音乐:。酷狗音乐:。酷我音乐:
1696167304# #大国崛起谱写华章祝新中国74周岁生日快乐^^央视国庆晚会
1702527631# #接招吧！张杰未你好吗跨年演唱会。。记得，从2009年底就开始用我的个人演唱会陪伴大家迎接新年了……后来的2010，2011，2013年也是如此，这成为了大家看跨年舞台中的一个必选项^^。。十年后的今天，有些人长大了，可以选择做自己想要做的事了。我也一样，我希望从2023年底继续升级并重启我的个人跨年演
1690366143# #我说等待都是值得的吧航天员心。之前留给南京的惊喜无限吧。（据说其他城市已经在嫉妒了？）。没事儿。未·LIVE有的是惊喜鲜花话筒。这周末在长沙开始一一揭晓🤫。张杰未LIVE巡回演唱会
1698224627# #张杰点歌台【周三加油站】。。代代相承，生生不息。点一首《年轻人》送给你们^^。
1703734725# #回音种子选手们申请出战了赞。。&nbsp;
1690339004# #舞台上，要不断突破，给宝宝的营养，也要持续升级。。配方实力派珍护全新升级为鲜活A2型生牛乳，拥有超级三代OPO、六维更易吸收体系的中国专利好配方，重新定义好奶粉新标准。。宝宝奶粉，我选择全新升级的金领冠珍护！金领冠珍护A2定义好奶粉新标准
1690465527# #奔赴长沙的心已经藏不住喽。入湘随俗。辣～就说好了。长沙见^^。张杰未LIVE巡回演唱会
1691850674# #深圳大运🏟️。万人齐心心。等我归巢🪹。唱响北京🇨🇳。张杰未LIVE巡回演唱会
1703131208# #
1691297409# #游戏机暗藏玄机😎。叮咚～。欢迎探索《外南街1982》的世界。张杰实体专辑外南街1982
1695535489# #蕾拉蕾拉蕾拉蕾拉蕾拉蕾拉蕾拉蕾拉蕾拉蕾拉2626262626262626262626262626262626
1696990024# #今年，。不同城市不同场馆，。一路巡演都有乐事在我身边。。后台打开乐事薯片，吃上几片就快乐拉满，。感觉又能再多唱几首！。你和乐事有哪些快乐的小故事呢？。快来参加打开你的乐事话题征集，。在微博手机影像年快乐赛道晒出你的独家乐事吧！
1692238007# #试着用竹编一个鸟巢🪹。张杰未LIVE巡回演唱会
1697596938# #周三的孤“勇”奋战航天员。给彼此也加个油吧⛽️。。张杰点歌台【周三加油站】。QQ音乐：
1689518335# #南京。我的第80场个人演唱会🏟️。今晚是梧桐吐绿微风。更是涅槃重生心。我们长沙见航天员。张杰未LIVE巡回演唱会
1697167426# #偷偷练习，然后惊艳所有人偷笑。时光音乐会
1703462501# #即将连唱3天，合唱12小时话筒心航天员。起来练声了……。张杰未你好吗跨年演唱会
1695732703# #20的我，哦不，出道快20的我航天员。带你飞🕊️🦢。。微博音乐盛典
1701181835# #好的音乐综艺。总是能留下“好作品”^^。。时光音乐会
1693227471# #“风云杰”上场^^。东方风云榜
1703520931# #彩排了EP的新歌。好听得不得了！
1703642423# #悄悄偷跑物料🫣。张杰新EP冬月初七
1703761234# #“有一束光是你给的，告诉我手边就有银河”。。以此MV感谢一直以来为我亮起柔光灯的你们，。未来一直一直一直彼此相互照亮吧^^。张杰新EP冬月初七
1689049099# #封尘了数千个日夜的思念。我们终于见面。属于皖星的高光时刻。未LIVE频频至未LIVE缓缓归。我们还会再见的。张杰未LIVE巡回演唱会
1695483426# #第一次我在时光里把《逆战》改编了话筒。十几年了⏰。我爱这史上最从容自在的“暴风少年”嘻嘻。同时也要把祝福送给势不可挡的亚运健儿们💪🏻。时光音乐会
1695953325# #一段未知的旅途中。除了起点和终点。其他都是Maybe。而关于明天的猜想。就明天再想吧。张杰Maybe完整版MV上线
1688906019# #这三世到～底有多长……？。最起码也得唱六世吧……！。。腾讯音乐娱乐盛典
1693059672# #今晚我已。唱醉在星海✨🪐。明晚我会。更不舍离开💧。张杰未LIVE巡回演唱会
1700108767# #进入了一个奇妙的平行空间。感谢^^
1691251203# #
1699168813# #怎么又变成“疯狂飞…”了？！。是飞到你们身边吗？！航天员。深圳，那就让音乐继续带你飞^^。。张杰深圳潮拜72小时
1693880352# #执子之手&nbsp;叹子无衣&nbsp;。终看&nbsp;掌心一片云和羽。张杰演唱云之羽同名主题曲。。QQ音乐：
1696691152# #验收一下的“健嗓”成果，顺便做回“RAP-J”。时光音乐会
1703699421# #刚结束所有彩排……。看到舞台的那一刻。我更加羡慕你们了……。。张杰未你好吗跨年演唱会张杰新ep冬月初七
1703751362# #就是这么任性！就是想要其他城市的你们，同时也在电影院一起看我的跨年直播！张杰未你好吗跨年演唱会
1703570765# #每一个音符都闪耀着光芒🎵。张杰LOFFICIEL态度志尚电子杂志
1695881023# #就是要你。吃得好还。管到饱对。杰的星已。幸福爆。《Maybe》。预告来撩心。张杰Maybe公路MV预告。《外南街1982》未完待续……
1704036383# #5小时结束了。我感觉……。我还能唱五小时笑cry。等我零点的“加班”礼物🎁吧^^
1692545448# #深圳，我中意蕾啊！。高光，我送呗蕾拉！。鸟巢，蕾好唔好啊^^。张杰未LIVE巡回演唱会
1696138786# #亚运健儿们，加油吧！。为你们唱一首《少年中国说》！🇨🇳。。张杰点歌台
1695792200# #所谓的“顶级签售”很快就要开始了航天员。大家准备好了吗？悄悄偷跑一些现场图心。张杰外南街时光机
1689432793# #爱，就要穿越人海见到你们。。南京奥体中心体育场。明晚继续唱！。张杰未live巡回演唱会
1690164052# #情相思忆相思长相思。纵使世事变迁，世间万物都不如你。古风歌队列+1^^。张杰长相思主题曲万物不如你。。QQ音乐：
1689501243# #太美好了心！。金蜻蜓。也在微笑着等待。我们的未•LIVE航天员。倒计时1小时⌚️。。张杰未LIVE巡回演唱会
1697258799# #女儿们问我：爸爸，爸爸，你可以给我们唱逆战吗？。我说：唱逆战吗？！战啊！以最孤高的梦……。九敏啊！我感觉今晚时光音乐会播出后。《孤勇者》加入我演唱会歌单的几率会很大哦！
1700645055# #张杰点歌台【周三加油站】。。今天小雪。可以听一整张了，开心^^。
1695205805# #
1703754042# #灯门别急，MV就要来了^^。张杰新EP冬月初七
1701568493# #最后一场音乐节在珠海收官。松弛有度期待未来的“大战”。晚安^^。海市幻城音乐节
1691382973# #外南街小孩坐着绿皮小火车。回到了梦的起点。在星光和呐喊中。碰撞出了属于我们的第19年！。。张杰未LIVE巡回演唱会
1688735811# #铭记历史，永怀先烈，吾辈自强！86年前的今天永远不能忘
1698321971# #听说今天专辑《值得更好的》发行两周年了心。林以恒、吴恬静、徐浩然都各自长大了太阳。
1703815205# #张杰未你好吗跨年演唱会想听什么歌？“星愿”都能实现🪄张杰点歌台
1703656829# #因为忍受，才会有收成，就像人生四时，我们必定会经历寒冬。。希望这首歌可以为寒冷的冬月带来一些慰藉^^。张杰新EP冬月初七
1699714183# #岁月不声不响偷走了时光，。也悄无声息留下了美好。。不争朝夕，珍惜当下。。时光音乐会
1699696340# #岁月不再是神偷。有妳们围在左右。牵着小手一起走。。时光音乐会
1703406612# #未来福录音室。营业不断……
1692364409# #听见冬天有点急污。阴天傍晚特别急挖鼻。一个人的KTV局允悲。张杰点歌台
1689953442# #你出道27年，做过主持人，出过唱片，演过电影电视剧，还有话剧……。。对，喜欢你的人会很喜欢你，就像我。。肯定也有人不喜欢你，或许因为不了解，或许因为不投缘。但，没那么重要。。争议像是一阵风，有人会被风吹垮，有人会乘风而上。。心有所向，不去理会永远都有的杂音乱语，向着有光有风的方向，你总
1700037929# #张杰点歌台【周三加油站】。。“炒菜”也要记得“加油”。新技能get✓。
1703602817# #浅漏15s给你们听听偷笑。张杰冬日全新EP预告
1699108136# #和十年老友合唱，享受轻松惬意^^。“民谣”杰和“总裁”勋。一定会好的鼓掌。时光音乐会
1695995229# #今天不只有月亮🌙。还有北斗星的爱✨。东方卫视中秋晚会
1696302923# #又被我装到了航天员。实力不允许啊笑cry。
1693165458# #聊了喜欢的天。吃了好吃的餐。话说得有趣好玩。鸟巢。完美收官！。谁没合照。谁洗碗^^。。张杰未LIVE巡回演唱会
1691744535# #帮你们把坏天气都踢走😎。张杰未LIVE巡回演唱会
1698331176# #今天回家。哄完孩子。第一件事。打开电视。我们的美好生活。正在上演！
1695189878# #“醒一醒”。团建了
1700796985# #后台“健嗓”秘诀传授成功✌️。下次台上见，效果很明“现”偷笑
1689240660# #南京。我曜。横着唱。张杰未LIVE巡回演唱会
1689175146# #微博毕业派对。今日份扔鼓槌KPI也达成了😎。这首《龙吟》送给即将开启新篇章的你们。祝同学们毕业快乐^^。张杰点歌台
1697293586# #战歌起！。这次。不是“一路逆战”。而是“孤勇奋战”^^。时光音乐会
1690854538# #向人民子弟兵致敬！谢谢你们守护大好河山万家灯火
1691894756# #万物皆无光。只有你～们的眼明亮。Maybe因为你们是星星✨。与你们的约定。不开玩笑。未LIVE永远为你们而战。北京鸟巢见！。张杰未LIVE巡回演唱会
1695993982# #中秋节快乐🎑。来，喂你吃一口月饼🥮。陪你过中秋
1702178372# #又在搞事了。我审阅你喜悦话筒鲜花航天员。。张杰未live巡回演唱会
1695699572# #原来“26”是这么一回事儿^^。期待一下明天✌🏻️象征着美好完整的“蕾拉”太阳。张杰蕾拉MV预告
1693825775# #这一天天的。都是些什么杰^^。。张杰未LIVE巡回演唱会
1700300535# #让我们一起，把中华民族团结进步的主旋律唱得更响、传得更远。中华民族团结进步宣传推广大使张杰
1703219816# #张杰点歌台冬至到来了。冬听张杰夏也听。饺子汤圆你来定。再点一首《追光者》送给每一位追光者。顺便独家透露EP其中一首新歌名也有“光”哦^^。
1692510187# #再“杰”再厉赞。鸟巢未•live。我又回来了航天员。。张杰未LIVE巡回演唱会
1701664057# #航天员
1694851688# #这就是传说中的。“掉凳儿”吧允悲。今晚十点。一键三连！。时光音乐会
1699102205# #
1697297223# #看着苏苏。让我想到了那个“初出茅庐”的自己……。继续前进吧！。我们还有无数个“一千公里”^^。时光音乐会
1696000699# #中秋“杰”。来催你睡觉了。晚安🌕好梦💤。陪你过中秋
1695743963# #左！右！左！右！……。完了周六演唱会后遗症提前上头了笑cry。不行要早睡明天一大早还要飞成都。《外南街1982》实体签售打call十几年没做过签售了泪。成都必须做一个“顶级签售”航天员
1699708413# #我就要看看……。今晚是海浪的声大还是你们的声音大呢？😎。茂名星稻田音乐节
1703868750# #未，你还好吗？是不是睡不着……！？。那，等起床后，再好好回味这第一场视听盛宴吧！。第二场的朋友们，你们准备好了吗？。张杰未你好吗跨年演唱会
1700297571# #问了大学同学，记不清我的大学寝室是806还是803了……不过，不管怎样，现在想想每次竟然要爬八楼楼梯……？。那四年体力也是真的好泪。。时光音乐会
1696487838# #🐙🎀八花哥哥，你这一分析，倒给我整不会了允悲。真的错信了太多人且确实玩不转狼人杀笑cry。但从屏幕外看着玩，倒是挺好笑的允悲。——日常很好的一道“电子榨菜”^^
1694873438# #我们有《我们的歌》。时光音乐会
1703682017# #「未·你好吗」2024跨年演唱会加载中。▓▓▓▓▓▓▓▓░░░░&nbsp;66.6%。张杰未你好吗跨年演唱会
1691633756# #说到做到。不是玩笑。明晚深圳演唱会见😏。张杰开不起玩笑MV
1690256082# #穿破黑暗的黎明。跃升深海的曙光。我们仰望光生于光。致敬每一位潜行者！。。张杰演唱潜行者主题曲
1696085153# #上次和石头弹琴唱歌还是十年前吧……。时光音乐会
1695566168# #凌晨四点没说什么。唱给🎤。音乐节的“音乐杰”。Slay打call
1699277010# #黄昏时分。🌆。静静看信。✉️
