1700463392# #快来看小黑
1698156365# #iPhone15是不是问题挺多啊？拆机发现完全没电，插了一会才出现充电logo，以前多少都有点电？
1691413647# #已经发出一大箱啦，好评如潮，宝子们不要鱿鱼啊！
1695625004# #【已出】龙妈命令不能留在家里。有人来自取吗？生病。先到先得
1697445297# #峰哥这周四想吃全家桶悲伤
1701254678# #刚刚路上看到一个车，保姆车，车灯好好笑，像外撇的面条泪，是啥牌子啊？
1697958922# #今天小飞龙的联赛开始了我就去送他回来时候开着电动车去蜜雪冰城买了一杯三拼爸爸奶茶我接过来插了就喝突然店员说了一声。你怎么喝客人东西！。…………我就长得很像跑腿小哥吗！？。正要发飙突然发现我拿错了………………
1700806357# #收到一个哈利卡特的模型，喜提座舱大指纹，好像还是在内侧，这难搞……
1691501360# #请问重庆鸡公煲是不是都要用公鸡？
1699317805# #阿姨们给熊猫在做窝窝头，看着像麦包不知道好不好吃
1703945936# #哇！克赛前来拜访！
1700141942# #可爱的学生吃鸡讲PPT鲜花求关注
1695278207# #伊娃老觉得自己可以隐藏在环境中
1698385122# #老外不知道枣子吗？。英文是不是猪猪吗？
1693312305# #我想做芒狗，买了五个芒果🥭，没成功，但倒是全吃下去了，现在肚子好难受，我想要芒狗……悲伤悲伤悲伤悲伤悲伤
1689240448# #动物星球不知不觉出来了这么多奇奇怪怪的动物啊，真不错……我是不是拍的有点阴间。
1695718673# #acxp的鬼怪最后一批到了，这批不好找
1700975155# #昨晚去车库拿东西忘记拿门禁，可怜的我在地下车库穿着单衣到处乱窜，20分钟才找到出口，然后外面零下，我跑去保安亭找保安帮我开门，一路倒腾，果不其然他感冒了
1699707949# #直播的时候下面写了几次“趴一下”，我就按着主持人趴下，主持人非常暴躁，刚刚下播，他们告诉我是下一part的意思……悲伤悲伤悲伤悲伤悲伤
1690105076# #大家知道我一向对能看完的电影都三星保底然后找各种buff往上叠。这篇真第一次觉得，太差了。毫无逻辑。小恐龙看完出来问了我一句，“他们到底想说啥？”太无语了。。半个星是给沈腾的，但，求你了，别拍这种玩意了，喜剧？故事都算不上，就一个闹剧。
1692751919# #微博手机影像年生活日本福井把恐龙文化渗到了生活的各个角落，机场有恐龙人博士，第一张图其实是行李传送带的隔断，立体的霸王龙被盘得包浆，是小朋友们对恐龙热情的见证鲜花
1703576436# #…………桃宝你送给我个金色购物车是啥意思悲伤
1702205287# #关+转，抽两位分别送柠檬印象儿童保暖层一套。关+评论里晒单再抽一人🧧100元。。。行李箱店铺开了差不多2个月了，之前上的商品基本都是面对成年人的。看到评论里有人问什么时候做童装，童书。这就来了！咱们搞场大的！有儿童图书、儿童百科、童装、秋衣秋裤等。。。品类很多，大家看到这条微博后就可以去
1698808462# #国博没有英文讲解闭嘴还是我没找对路子，我师兄傻傻的看来看去
1698797259# #偷偷问一声朋友家的这鱼多少钱一条？悲伤悲伤悲伤
1704459405# #孙燕姿妹妹发文断绝关系这都来微博升堂……苦涩“实是俗语说的‘清官难断家务事’，此事正是公婆难断床帏事了。”《红》第八十回
1691548713# #真好看啊，希望以后能发现这么完美的化石。
1700794988# #原来狗的老年秃头是从鼻子往后开始的啊！
1698122499# #可以做真牙的挂坠吗？
1694256205# #唉，我把“你怎么还不去吃饭”写成了“你怎么还不娶媳妇”，12.50左右，发了我就忙别的了，刚刚打开一看，那兄弟给我写了三小时……各种分析自己和抱怨……反省……还问我为啥不说话……
1695034784# #这个奇怪的像萝卜？它的头发也可以一起次吗？
1696999875# #图2这是白胸翡翠（Halcyonsmyrnensis），叫声是响亮而清脆的笑声，吃蟹、昆虫及蜥蜴，完全是肉食性。“翠鸟”还是著名的以色列翠鸟部队(SayeretShaldag，番号5101部队)是以色列空军最优秀的特种部队之一，专反恐。
1698211855# #王海打假李佳琦直播间卖和田玉我查了查国标与描述，就透闪石啊……：。“由自然界产出,具有美观、耐久、稀少性和工艺价值，可加工成饰品的透闪石矿物集合体，次要矿物可为阳起石,可含少量方解石、透辉石、石墨、黄铁矿、铬铁矿、磁铁矿、石英、蛇纹石、绿泥石、绿帘石、硅灰石、磷灰石和石榴石等矿物
1699705969# #我觉得这根棍子在呼唤我悲伤悲伤悲伤想玩想玩想玩
1699928768# #问问他角鼻龙的种名叫什么？
1701792376# #很奇怪啊，两个usb口。u盘1在左插入就这样，右边是可以的。u盘2两边都可以。u盘3又出现1的问题。换了移动硬盘，两边都可以。
1691115046# #我突然知道为啥我的手背为啥有狗脚印了……
1702526033# #刚刚破获了小恐龙小飞龙的密码本：。123玩游戏（可能是英文发音）。1239晚上起床玩游戏。7123出去同学家玩游戏，以学习为名义。520爸爸妈妈不在家。521一人在家。522两人在家。………………。最长的组合大约是1几位数。就是。今晚爸爸妈妈不在家我们一起玩游戏玩原神
1693754884# #请问大家跑步用虾米耳机鸭？
1698212741# #刚刚休息室一个大哥凶我了，好可怕。他在打保卫萝卜，声音开的很大，我就非常奈斯的提醒他能不能小点声，影响到我发呆了。他不理我。我很无奈。我又很无聊。炮塔打怪物之后不是会发出各种奇怪的声音吗？我就在他后面学…………。刚刚他站起来骂我泪泪泪
1695876908# #中国的野兔属于旷兔，并不怎么会挖洞。国外的野兔多是穴兔，它们非常擅长挖洞。我们熟悉的家兔也是会打洞的，因为它们的祖先是穴兔。中国家兔是由外部引进而来，且时间上不晚于明代14世纪。
1699668181# #这片子终于拍完了有生之年系列啊空战群英
1689432456# #内蒙烤全羊的仪式感好强哈哈哈哈哈哈
1703946729# #吴京会把酒砸向MOSS并说新年快乐。吃馕下一个问题是哪个平台能看啊？悲伤
1689465975# #汗“熊猫圈”
1694092166# #友在缅甸买珠宝的场面非常大气……猜猜看这多少人民币大概？
1698556766# #无人机掉草里了应该，我飞了借来的无人机去找，模拟主要方向，刚刚又失联了悲伤悲伤悲伤
1690791608# #这玩意儿我自己用着特别舒服，之前我肩膀痛，坚持按十来分钟就不痛了允悲按的非常爽！！龙妈这大半年基本都不用去外面按，在家里用它够了，加钟不加钱，狠狠剥削它嘤嘤嘤~
1693363365# #国家超级计算长沙中心怎么了吗？
1699583918# #不是说有很难或不能治好的皮肤病嘛？现在看着还行啊
1689914162# #四人全部包好寄出，大家准备下一轮
1698915524# #有没有大可爱小可爱认识青岛城阳博物馆的鸭悲伤。联系到馆长了，谢谢大家求关注
1702360480# #就是很像螺丝，实际上是动物身上的一部分。
1701179462# #尴尬了，他看到我微博了，“你真的不记得我的名字吗？汗”
1701226613# #办公室的角落翻出来这，。还有一些老物件，都是岁月啊
1692415236# #冰雪尖刀连拍的啥啊，不该上午看的，雷到了。
1700302215# #大约10年前，我家狗就不会，我很着急，就示范了一次，脖子扭了去推拿了3个星期
1700270019# #先是旁边大妈拉着我说太贵别买，旁边菜市场便宜。然后我说没事，我说买一只，老板说要买只能买一捆悲伤最后旁边大爷送了我一个……悲伤
1702599805# #这是地大武汉，不是地大北京，BTW
1695190015# #哈哈，现在是不是看到处都是足迹？
1694071142# #今儿又到了几只大猫和几个👻怪
1697432342# #“天上浮云似白衣，斯须改变如苍狗。”子美。。图源网络
1690802377# #延吉恐龙博物馆的我允悲
1698569871# #无人机的最后一张照片……感觉是头向下，但没扑面而来。
1701925024# #一包泡椒凤爪的热量等于几个橙子？3？
1702880912# #Y-9中国主力运输机x西瓜碧玺……
1693554764# #网飞海贼王真人版看了一点，总觉得有点怪允悲
1698540924# #我最喜欢的演员走了？不敢相信
1690802209# #小朋友画的风神翼龙好可爱哇
1700998570# #完全没有腿啊，唉:-(咋长成这
1702265020# #这记者是哪位啊？啥节目
1691373961# #去呀，这么小还没几个牙的藏獒咬人怎么这么疼的，我只是撸它的耳朵和尾巴，手，脚，胡子
1703339426# #微博公开课今天买到一个叶羊（LeafSheep）的陶瓷手办，这是一种海蛞蝓，看起来很像卡通小绵羊，但豆豆眼比较潦草。叶羊以进食海藻为生，可以长到5毫米--1厘米长，也是世界上少有的可以进行光合作用的动物。
1696771302# #我买的皮皮结果来的罗氏，如果皮皮没了要换起码要来个电话鸭，我今晚就想吃皮我那么多生蚝都是压秤的
1701394472# #要啥我送你
1699284803# #好像是新批次的
1698191598# #不可能啊，是我想摸园长的头他不同意。
1701782989# #刚刚被小飞龙揍了。他在学习，我走过去摇他的头。说摇摇头，把知识摇出来。就挨揍了。天理何在。
1704249932# #为啥起了一个战斗机的型号，奇怪，
1692938505# #今天和日本渔业朋友聊，她全程崩溃的。。日本水产行业哀鸿遍野
1698454114# #绑缚得不太行啊你。
1704265363# #不全啊：喝得醉醉撞得碎碎烧成灰灰地下睡睡
1698585838# #后面会不会有犹太人加入哈马斯？不能吧？
1701138644# #【求助贴】一个数据统计，寻求柴犬（全年龄）主人的帮助。。一个遗迹学与考古学的交叉研究需要你的帮助，起因是我们希望有一套从幼犬到成犬的前后脚尺寸（长宽）与体长的数据。选择柴犬是考虑到与中国古代犬种相似，性状稳定。不泄露狗主人隐私，只需要提供小狗的姓名（可选），年龄，体长，前后脚掌/脚
1702896759# #宝来不？我2天都在
1697292616# #刚刚路过小飞龙房间看到一点点光觉得不对劲一定是偷偷玩手表啥的掀开被子发现在背单词……背天蝎座……这单词你说学了有啥用
1704445470# #朝鲜向韩国西部海域发射200多发海岸炮，感觉2024年东亚热战最大可能是南北韩啊，如果朝鲜有大量无人机，嘤嘤嘤的时不时南下，韩国要疯允悲
1700895970# #这小狐狸🦊做的特别好征得同意后我摸了摸并问他他的小王子在哪里？
1697470948# #新的魂机来了
1700740520# #北京是不是所有的海底捞都有科目三看啊？
1703925083# #在来宝这里看到龙龙
1689722697# #内蒙真猛，但好像有问题，厂长s的话卖家不还好好的？
1703984779# #说起来没有研究过北京这些结冰的小河，厚吗？我没看有人踩，能吗求关注
1704336578# #有没有船大佬，PanzerschiffederDeutschland-Klasse这个位置是少了一个炮还是后期啥改装？看历史照片是一个炮
1693402931# #加拿大人有没有意识到这样摆的温哥华大蟹有点不好卖？
1694519860# #今买模型被上了一课。我说这火车轨道太占地儿了，算上平方数成本太高，人家说他小区一平方19万他觉得不能用这个衡量自己的爱好。。深圳房子这么贵啊？
1692325964# #收割机好好玩，巨大无比
1696734424# #那不会，人口基数摆着
1696073557# #这是啥？软不拉几瓜
1690817408# #重庆姑娘太猛了，飞机上坐我左边的女生叨叨加揍了一路左左边的男朋友或老公，我多希望我能听懂他们说啥允悲
1699867212# #想吃就吃咯
1698826430# #救救叔叔悲伤悲伤悲伤搞一下午了
1702890405# #董宇辉任新东方文旅副总裁“天宫里各宫各殿，各方各处，都不少官，只是御马监缺个正堂管事。就除他做个弼马温罢。”
1696668786# #里面声音拉满的愤恨啊，和解遥遥无期唉
1697094945# #期待日后出大比例，更显得精致
1702434189# #啊，我一直问桌上的水果和坚果是道具还是可以吃的。
1700709675# #133人新当选两院院士来发一个官宣，哈哈，好多号写得乱糟糟，。祝贺古脊椎所徐星研究员当选中国科学院院士。。　　11月22日，中国科学院2023年新当选院士名单公布，徐星研究员当选中国科学院院士。。。　　徐星，1969年出生，主要从事中生代爬行动物化石及地层学研究。1992年毕业于北京大学地质学系，1
1696259572# #小飞龙：爸爸报纸是不是很贵。为啥？。因为很有用！。有啥用？。包东西（化石）！比抽纸好！
1689063979# #国航通报CA1524航班颠簸我又要飞啦宝贝们！我是不是CA1524里面最快“复飞”的一波
1695977817# #哈哈哈，潮州人点赞，是！潮州也是。
1698144620# #艾玛我……。这咋出来？
1699520731# #遇到很善良的海鲜市场卖家，安慰了我好久悲伤悲伤
1696925705# #今年我们还有菩萨产品，莫高窟第45窟西壁龛内北侧的左胁侍菩萨（盛唐）
1703577481# #AI大模型落地教育领域，有道这波还是很有前瞻性的！作为家长希望这个可以尽快普及应用，辅导作业太难了……
1693878531# #1，国内外基本一样，内穿钢架的肯定是模型，外展示钢架的就有真标上架的可能性。。2，一般来说，从保护计，真标翻模展示的比较常见，真标本尊还是在标本间呆着。。3，即便有一些标本写着真标，但其头骨大部分情况还是模型，也就是身体尤其是椎和四肢可能是真标。因为头太脆弱了，很容易坏掉。。4，时代不
1698978076# #异特龙，1870左右命名的，同志年间，不靠谱
1699870112# #合作方同意抽一位宝宝来骑举手微博网友首次驯服爸王龙的珍贵视频doge
1703298782# #小飞龙的英语除了学校教的内容外，音标是自学的，现在又追着我陪他练习口语，结果还嫌弃我有口音……。。气得我！我就把HiEcho给他安排上了，直接让他跟虚拟人Echo对话学口语。这个App是网易出品，可以当一对一口语私教练习用了。可以在难度分级里面选择语速快慢、学段、难度，还有英音和美音。飞龙平时
1696397155# #这个很像奇虾口器的是啥？再猜看看
1698712038# #艾玛嘤嘤嘤QAQ二楼没有阳台你搞这么大一个门干啥呢我一脚迈出去撞到了薄礼悲伤悲伤悲伤
1699085604# #我们的小恐萌不萌！
1700308302# #确实，四川盆地有恐龙骨骼化石，足迹化石，没有蛋化石。
1693450875# #艾玛吓我一跳刚刚，来谈事儿的朋友大约150，开大路虎，我以为那车自己在动！这节刚过，吓我。
1689722879# #然后就可以快乐的买买买
1698322529# #他家很多款的吊牌上都挂着失踪儿童的相关信息心多一个希望。
1696933760# #骑自行车还是要好久
1694055456# #虽然但是那么总台为啥不下架？自查呢？
1701950773# #那时候我吓坏了
1699525171# #嘤嘤嘤QAQ我的帽子落在车上没拿。嘤嘤嘤我走路看手机赚到了松树悲伤悲伤悲伤悲伤
1696161760# #这好像20年前的歌了
1701529248# #如果邢老师的头发有这么多就好了
1702171710# #今天有来了大闸蟹，我查了网络做法要放紫苏叶，家里没有鸭，放点紫菜，结果味道好奇怪单身狗
1691045134# #遇到了一群咩咩，是啥来着？
1690508079# #下《巨齿鲨2：深渊》“北京·全球首映礼”在国家体育馆举办，遥祝顺利，羡慕龙妈小恐龙小飞龙泪
1692573478# #一封来自日本恐龙的邀请函第一天的早餐，精致各来一点点哈哈
1689331387# #内蒙特色美食no2
1696477163# #快帮我P个乐器
1688800981# #儿子的直男感拉满。“xxx，你在哪儿玩啊”。儿子：在xx打球。“这么热还出去啊？我去给你送瓶水吧”。我自己买就好啊！。“我去给你加油！”。不是比赛没啥好加油啊。。。看得我心疼那姑娘，应该说，你上次那三分不是很标准啊，肘部有问题，影响到场上命中率。儿子估计说，啊？你过来我给你好好说说
1699793423# #转发这条微博，抽一位送88元🧧。。。【邢立达的行李箱】终于要卖女装啦，我还是有些紧张的。。。从10月开店就在选女装的款，最终定下来上新的品牌【欧芮儿】。。。是一个已经创立了15年的品牌，部分城市有实体店（大家可以去试），在天猫也是女装类目销量前几名的～。。衣服的风格是法式休闲风，随性松弛。选
1689686276# #这菜很奇怪，好像是叫打不死还是嚼不烂
1693482419# #记得领奖金啊求关注
1694597328# #微博公开课一份特殊的教师节礼物。感谢万晓樵老师馈赠，十年前到地大求学的时候，就“撞”见了老师一些大大小小张的素描，构图和意境都很有特色，尤其在地质人看来，会更有味道。此前亦有许多学生和同行“鼓动”老师将自己的作品和经历出版，老师身上是一代地质人在非常岁月的特别之旅，出版十分有
1694949001# #这配色悲伤悲伤悲伤食欲大增
1696434346# #宝，马兰黄土是晚更新世，华北距今约7万年以来的黄土，属于典型的风力堆积物，里面有些动物化石。
1701520755# #相煎何太急
1689078210# #泪泪泪灰机上手抖把自己腿涮了一杯热茶……嘤嘤嘤，能伤害我的果然只有自己啊。
1696679710# #我提着四袋垃圾抱着狗去倒垃圾然后一顺手把狗也丢进垃圾桶了现在她有点臭约不到洗澡最快明天下午自己可以洗吗用人沐浴露可以吗急在线等
1691805104# #中日和平友好条约缔结45周年特别活动-化石探索之旅-完美落幕！天下没有不散的筵席，时间虽短但研学团却意外的温暖，朋友们也收获了些许知识，体验了古生物行业工作。我们拜访了禄丰大洼山，中国人最早独立记录恐龙的地方，看了博物馆库房的宝贵化石，观察了地质剖面，还参观了生命大爆发的澄江，在博物
1702917471# #西安震感龙妈同学说还感觉挺明显的，以为是被娃娃气得头晕，看手机才意识到地震，然而太冷，又选择了被窝……
1690434199# #云南人经常有很多细节我没看懂。
1699961895# #混动后面加上（非插电）撒意思？
1702088678# #这鹦鹉嘴龙有毛，图二毛，我去揪着玩，薅龙毛，弄秃了，今天看，不见了，龙呢？。卖掉了……图一。这可咋整苦涩苦涩苦涩
1696911559# #我把伊娃窝拖出来叫她晒太阳这样可以吧？会太热不？
1699867260# #不系。
1693968130# #朋友在嘤国帮我买了一个绝版的灰机，大约700棒吧，然后昨儿他儿子拿去跳蚤市场换了一个蔓越莓派，昨晚父母混双之后今儿又出去找，希望能找回来，我估计是够呛了。发个微博让龙妈确认我没乱花钱，锅不在我身上。
1692338409# #可怜的恐龙娃娃啊……
1696211357# #研学团几个平时看好温柔的妈妈吼起娃来让我灵魂一震想起来当孩子时候的恐惧😨
1690000843# #其实可以让符合要求的同事卖饼，自己旁边和粉丝互动不就好了？
1698237217# #转发这条微博，抽一位朋友送88元红包🧧。。。今天上的这批羽绒服款式比较休闲。感觉现在很多年轻人都这么穿，看我学生有时候也会这样搭配。。。现在羽绒服越来越贵了，动辄上千的。我们这次在低价的同时，从一百多个款里选出来比较好看的二十多款上架，选的龙妈和商务眼都花了。这一批羽绒服价格都在100-
1690541598# #油茶和五颜六色糯米团，感觉有点劝退，警戒色
1703501549# #生日会，地上的气球是不是可以踩？
1703483593# #可这只是羊啊悲伤
1700462189# #中午在美食荒漠海淀吃了一顿铜锅涮肉，要的都是比较贵的鲜切，咩咩和牛都有，牛没啥特别，羊感觉很新鲜，下水后变色稍后就捞起，也不存在太老，麻酱也地道，就是觉得发柴，不香，是我的问题还是感冒的问题还是啥问题牙？哼
1695141705# #超异能族太甜了悲伤悲伤悲伤
1688621399# #假发呢？很贵的
1689648713# #悲伤悲伤太热🥵了，小朋友们太热情了。每天都能捡到一些恐龙化石渣渣倒是
1703724005# #快，小飞龙考我哪位皇帝外号六味地黄丸悲伤悲伤悲伤
1689334056# #内蒙古看不懂的奇怪食物，有点丑
1693897516# #求一首歌，部分歌词：。我们吃着瓜养蜂在手掌。……。做你的村长你是我的糍粑。……。是关不掉就不化妆。……。撑着我去生存游戏
1699284772# #海豚还做的可以
1698585983# #我遇到过一次，在一个小机场飞北京的时候，我前面一位大爷挺大年纪的，就拿出了一把念珠状什么东西感觉就扬，嘴里念念有词，被我哈！！一声把他吓了一跳，然后他就很不好意思收了……
1691294496# #知道谁在西藏吗？馋嘴
1696031802# #刚刚一个学生祝我：。“作别2022，无论如何，艰难终成过往，未被艰难定义；。迎接2023，满怀希冀，依然相信美好，带着希望坚持；。新年祝愿祖国繁荣昌盛、国泰民安，幸福安宁！。愿您前方光芒万丈，后方温暖一方，。祝愿您和家人平安、健康、顺意，新年快乐、皆得所愿！”
1689380731# #这复原图特别像漫画猎人叉猎人小杰去考猎人执照的时候遇到的第一个怪
1689949821# #我的评分：星星星星星星半星。电影封神第一部挺好啊，从导演角度，流畅说了一个改编后的故事。小狐狸plus非常非常非常美丽的苏妲己被殷寿救了，拼死实现二王子的愿望，互相奔赴，有情有义……可原著不是这样的鸭虽然。年轻男生演员们穿的一样，我脸盲，我几乎都分不出来
1702896846# #保护好我家龙龙啊！！！
1692668407# #七夕七夕说出爱。爱。
1690809879# #伊娃今天16岁了，我只许了一个愿望。愿她能健康地度过更多年岁，多陪我们几年。龙妈做了份小蛋羹给她，用吃货最爱的方式庆祝生日快乐啊！
1691035037# #他跑过来看我，要带我去医院，我说不用啦，问题不大，且还要工作，再说大货司机很不容易。他就走啦
1689166676# #生病生病又晚点了…九点半的飞机现在…快11点才能飞
1692586697# #一封来自日本恐龙的邀请函东京国立自然博物馆的小化石伴手礼，超便宜
1688967144# #我已经胖得走形了泪泪
1691727454# #今天被七岁小妹妹问得：。你结婚了吗。你孩子多大了。是同一个妈妈吗。你结过几次婚。你有过多少女朋友。是男女还是男男。分别是怎么分手的
1701932427# #今天沧龙宝宝带着菊石点心来看望伊娃奶奶
1703987232# #重大发现。肉食性三角龙
1698968991# #艾玛京哥哈哈哈不容易
1695700751# #沸羊羊求关注
1697812445# #没看到，头破了悲伤悲伤悲伤
1694777634# #三刀刺向了小兄弟我来了我来了我来了
1695004158# #哇！找到了！猜猜这是啥
1693978790# #福州？闭嘴不能吧？
1692316792# #大棚里面的木耳是不是可以现摘现吃哇
1704114839# #我看成“上数第四片叶子下方与第五片的中间部位剪掉，主干部位会发出两个教授。”
1691036097# #我现在一身橡胶味，学生说我闻起来像航海王的路飞允悲
1698062472# #直升机的旋翼里面可真复杂鸭……
1690041222# #封神第二部什么时候上映所以有时间表了吗？或者说二三拍好了吗？这么多年，哪吒长大了哇……
1701600970# #为啥甜茶叫北美朱一龙啊？
1699433980# #今天遇到一个小姐姐挂了个👻鬼好可爱
1689554694# #内蒙早餐鲜花相当硬气
1698197551# #旁边咣当一声吓死我了
1699059851# #我把背景板拍得很地层一样悲伤
1695346393# #他们玩游戏看剧说明我讲的不够好，要挂也是自己挂。
1704267272# #22年6月，Klondike永冻土，昵称“NunChoGa”（大宝贝），3.5万到4万年前，死前1个月大，可能是不小心掉落泥潭饮恨大家拿。
1696508506# #擎陵
1694525636# #不·。
1702039580# #普京将在2024年竞选总统。普京：“在不同时期我有不同的想法”
1697207116# #网络不是法外之地
