1703931855# #《大胆预测下俄乌战争的终局》
1694853153# #这是一起惨不忍睹的悲剧，虽然北非离我们很远，但看了洪灾地区的画面，真是令人心生悲怆。。。近20000条活生生的人命就这样没了，而一向将“人权”挂在嘴边的西方则对此进行了冷处理。。。因为它们的“人权”是有选择的，记得2015年那位淹死在沙滩上的叙利亚三岁小难民吗？。。只有在卡扎菲治下的难民才有西
1699168468# #转发微博
1702783140# #《终于等到你，紫禁城的初雪！》故宫雪景壁纸上新！
1688357586# #近日，操着一口流利英语、自信向世界展示家乡平壤的朝鲜11岁女孩SongA的YouTube账号在韩国被屏蔽，理由是韩国政府认为其视频在“宣传朝鲜体制。。《这都让韩国紧张了？》
1693228125# #《丢失约2000件藏品的大英博物馆，曾盗走了多少中国文物？》大英博物馆收藏的中国文物，跨越了整个中国历史。
1693882351# #华为如此安全，明明是各国保护国家机密的好帮手。但西方媒体年复一年地散播“华为威胁国家安全”的谎言，炒得人人皆知。。。而日本核污水排海，西方媒体却冷处理，几乎没什么人了解此事。。。所以说，我们在媒体控制力上跟美国差距还是不小的。。。即便如此，华为给我们带来了太多网惊喜：。。《华为用Mate60来
1694228856# #《立刻更新！苹果被曝2大安全漏洞：无需交互能被植入间谍软件-快科技-科技改变生活》不要犹豫，立刻更新你的苹果设备！就在这两天，一家安全组织发现了苹果设备的2个最新漏洞，平板、手机、电脑等都受影响&amp;mdash;&amp;mdash;例如搭载iOS16.6版本的iPhone手机，以及新
1693630014# #《他的任命被否决，竟是因为女友曾为中国国籍…》
1699270378# #支持以色列，支持犹太人，也是一种个人的选择，我的微信群就有这种执迷不悟的人，但他有表达的权利，只要不违法。。。然而，最恶心的就是那些货色：反战的是它，支持以色列战争暴行的也是它。。。这是怎么做到的？其实也不难，只是跟着美国的风向转就可以了。。。支持乌克兰，是美国的政治立场。。。支持以色列
1695817931# #像洪卡这种老纳粹们，对自己这段罪恶历史以前都是极力隐瞒。。。老洪卡做梦也想不到，自己有一天居然会因为这段罪恶历史而被加拿大捧为上宾，在国会接受政客们的集体致敬。。。《加拿大闹出世界级笑话，玩弄历史者，必被历史玩弄！》有人在颠覆历史，玩弄历史。
1694168374# #《中国短片《逃出大英博物馆》爆火，英媒果然急了》
1703251760# #【懂车帝】130Km/h下刹停，仰望U8打破新纪录
1699012059# #其实，像爱尔兰共和军是不是可以定性为恐怖组织，国际上应当有一个统一的标准。。。但美西方却一直在搞双标，比如一些早就被中国公安部认定的恐怖组织，美国却故意视而不见，甚至还为其头目、骨干提供庇护。。。俄罗斯当年的车臣叛军势力，则被美国称为“自由战士”，欧洲人权法院还接受“车臣受害人”的诉
1693352359# #今日炸裂热点：华为mate60不讲武德提前发售，竟然用的是5nm的芯片了？而且网友实测网速还是5G。这让联手制裁中国芯片产业的美日韩荷的臭脸往哪放？看来超级大国的“盟友”有内鬼，制裁处处漏风。赶快制裁台积电吧，其他内鬼应该没实力代工这个；实在不行就制裁整个欧美日韩的芯片产业，因为现在看谁都
1688703614# #它们为什么对中国的警告置若罔闻？。。因为美国和荷兰等国在赌中国不会反击，这些巨婴的心态是“我可以打你，但你不能还手”。。。换句话说就是，“我可以不遵守任何贸易规则，而中国必须按照贸易规则做事。”。。当中国这一巴掌扇过去的时候，巨婴们这才知道疼，又哭又闹，“你怎么能这样？”。。之前，中国制
1695475016# #据说是Mate60产线上的普工收入
1696860901# #巴勒斯坦就是中东的“印第安人”，不同之处是他们有更强的反抗精神。。《以色列处于战争中！这可是美国必救之地》
1689655207# #两岸贸易逆差这么大，跟政治因素有很大关系，像5G通信设备，台湾运营商都买爱立信和诺基亚的，华为和中兴都被排除在外，不只是通讯设备在台湾没有份额，华为现在连手机的份额都快没了。。。两岸如此巨额的贸易逆差，如果不能尽快走向平衡，那这些逆差不仅会供养岛上的台独，还会供养美国的军工产业，乃至
1700297145# #转发微博
1693056160# #然而，福岛核污水这件事并不是突发的，日本有整整12年时间去妥善处理，中国也一直在敦促日本负起责任。。。日本并不是一个穷国，它完全有资金、有能力、有时间去妥善处理核污水问题。。。日本政府却选择了摆烂，摆了12年，还要摆下去。。。不仅摆烂，日本还不断用谎言掩盖真相，外务省再把这些谎言灌输到别的
1702554279# #西方回避南京大屠杀，就像回避日本核污水一样，嘴上说的是科学，背地里都是肮脏的政治。。《西方为何总是回避“南京大屠杀”？》铭记历史也是一场斗争
1702383729# #《华春莹回击：这就是美国捍卫人权的方式》
1688609208# #美国想给中国装一圈篱笆围住中国，发现中国实力范围太大，必须不断扩大篱笆。。。。。最后，美国发现给自己装一圈篱笆才能围住中国。
1703337964# #《"前所未闻"，丰田爆大丑闻》
1703253497# #智能驾驶真正的霸主是谁呢？分享自
1692619987# #水没有污染可以食用可以游泳直接日本岛内内部消化不就行了？排海干嘛？。。《"中俄要求探讨这样处理，日本直接拒绝了"》
1697631070# #平日里城市大型犬随处可见，遛狗不栓到处都是，从来不见有关部门加强管理，被咬的孩子说到底是官员讨好狗奴、懒政不作为的牺牲品。。。如此下去继续担忧出生率吧，谁还愿意生孩子，孩子都快成狗食了！。。《四川又一恶犬追咬2名幼童，警方回应》
1697538603# #平日里城市大型犬随处可见，遛狗不栓到处都是，从来不见有关部门加强管理，这孩子说到底是官员讨好狗奴、不作为的牺牲品。。。如此下去继续担忧出生率吧，谁还愿意生孩子，孩子都快成狗食了！。。《最新通报！伤人犬只主人被采取刑事强制措施》
1696121324# #这居然就是公知吹得神乎其神的纽约下水道，全世界最完善的排涝系统。。。以前，公知们利用信息差和话语优势尽情地神话西方城市，城市排涝就是其重点之一。。。明明都是在人间，它们却要给我们的大脑植入一个天堂般的西方。。。感谢互联网吧，让我们可以不断地看到公知编造的神话一个接一个地破灭。。。纽约这场
1692621932# #在近八年来，通过ECFA，台湾每年可以有42%货物卖到大陆，平均每年从大陆手上赚取1500亿美元。台湾商品有95%都是零关税，在大陆市场具有天然的竞争优势。。。但民进党当局却为了推动其“台独”阴谋，故意将大陆的善意说成是“恶意”，将大陆的关爱说成是“伤害”。一边拿着ECFA红利，一边说ECFA是“糖衣毒
1693882211# #《公然“耍流氓”？华为索要5G专利费，遭美国拒绝。|专利费|华为公司|华为手机|美国|运营商|高通手机网易网》公然“耍流氓”？华为索要5G专利费，遭美国拒绝。这是美国一贯作风，都是极其双标，可能会引发专利信用危机！华为创始人任正非在采访中表示，华为已经到了追债的时候。最近，
1693882544# #转发微博
