1697730967# #转发微博
1692366954# #水岸清溪的闲逸时光。。我只能扫一眼不能一直看（关于手机）；。没睡觉，没阳，困是因为熬夜；。脑瓢疼眼睛疼太阳穴疼是因为空调咣咣咣吹的苦涩；。。——一杯咖啡解决所有太开心。。晚餐炸酱面，烤冷面是加餐，每天儿子四顿饭，烤冷面没啥营养但是里边有鸡蛋，今天顺道带了一下俩馋虫的份儿（我和他爹
1688084513# #转发微博
1702796677# #危险的时候爸爸最安全，不危险的时候爸爸最危险——论男人带孩子的基本状态。。。水岸清溪的闲逸时光
1687409228# #谢谢宝分享，时刻都不晚粽意你粽意你
1703771464# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？驾驭高能时刻来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1702135369# #前几次去医院儿科爆满持续了好长一段时间！今天去，儿科清净许多，但成年人乌央乌央的，候诊的时候前后左右都有人在不停地咳嗽，轮到成年人了，大家小心！。。今天发现以前专家号只能挂半天号的，现在可以挂全天了，尤其见今天肺病科候诊区域椅子几乎满了，全部是成年人和大概是高中生模样的年轻人，感
1693067473# #好好看！我也喜欢😍
1700235529# #致敬英雄，永垂不朽！
1693484079# #好美好深邃的文章@韩东君ElvisHan
1695269084# #优秀韩东君，继续努力！打call打call打call
1692360469# #后背是你吗？发博的可不是你doge@韩东君ElvisHan
1692492056# #今日出伏四季分明的东北，感觉到了，不闷了，秋高气爽十分宜人。
1693295266# #韩东君装腔启示录
1694924455# #有没有发觉，在健身的时候小便温度高于平时，不健身的时候是感觉不到的，只要健身——已经自我观察了将近两年，尿液的温度都是高的！有没有医学生从科学角度给解释一下，是在燃脂吗？如果是的话，那是不是可以说健身的时候尿液温度高是脂肪在燃脂，仅用这一点证明吗？想咨询科学博主请教一下
1703294045# #优秀！祝贺，成为你的粉丝真的很幸福！
1702549025# #祝贺韩东君！图片人很帅，景不错，但配在一起匪气十足，不太适合韩东君本人，可以说不协调，大衣风，雪景不错！先看到雪景披着大衣的图片先入为主，所以觉得工作室图片审美不在线。
1698643530# #好像找到了长寿密码。
1692807796# #恭喜不错不错真不错哈哈开心！
1699689860# #谢谢分享！
1695428312# #限新，使用期到10月7号。
1698678276# #转发微博
1697958132# #韩东君（陈家平）开枪有亲临现场的感觉，真是稳啊！看剧中有的人持枪手晃来晃去，再看韩东君，绝对的放心！身临其境观众被代入了！过瘾！韩东君陈家平
1699656415# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐装腔启示录！为热爱助力，一起来推荐你最喜欢的作品吧~
1704029350# #扭得好妖娆🐉🐉
1696637715# #今天天空的云彩好像马良画过的。
1703859538# #走稀碎允悲这地方适合十一二岁到二十一二岁少女购物，时尚的衣服没有，卡哇伊的东西倒是不少doge，但是卡哇伊占2/3就显得千篇一律了，没有太实用的东西，茶/水还行。年轻人的世界！给儿子买了本命年袜子🐉🐉
1687408840# #比比划划在干嘛呢
1703805554# #好运报道！我正在参与微博开新年跨进2024，成功解锁红包0.11元锦鲤附体加入发博打卡、互动集卡，跨年惊喜根本停不下来比耶&gt;&gt;
1698723613# #当我买了健身器材收纳物件后，大数据每天都在向我推送带轮子的收纳允悲
1698548845# #第一次抓的药巨苦，苦到想下跪！第一次复诊抓的药比较好喝，微微的辣，一点点酸。第二次复诊抓的药一股水喇叭擦的味，不苦，一股伤湿止痛膏的味道，喝完嘴里冒凉风，有点儿麝香味儿，奇奇怪怪的清凉感。
1696214325# #
1692779728# #难得遇见，好久好久不见🌸🌸
1698190967# #眼睛真美！
1702686722# #去年今天，🎀的博都好暖，所以这是个啥，有人玩儿的吗？
1703331362# #韩东君又回东北玩雪了我喜欢你眼中的光！下次来玩儿尽兴！
1694329734# #说我无事献殷勤准没好事儿的还是不了解我呀🙉我是成天献殷勤也没好啥事儿doge
1694730457# #好看！眼睛真美！每件，气质不同赞喜欢！
1699594048# #百爪挠心
1693953245# #那年今日的博。不想拿出来（因为不想蹭他）又不想删（因为很喜欢心）
1694651458# #以前害怕外食，因为外食会长肉肉；现在不怕外食，因为代谢大于吸收。。。平台期其实是心理焦虑期，当对健身减脂有了一个新的认知起就知道该怎样健身了，有了新的认知之后会自我调整健身程度，时间安排，力量掌控，健康饮食，然后就会度过平台期。。。当健身成为习惯，健康生活方式会养成。。。
1692747530# #辛苦了，谢谢分享作揖作揖
1700094520# #韩东君新戏希望和老戏骨和实力派多合作，不要和流量合作。老戏骨和实力派是帮助你成长的，流量只能压制你。
1691594447# #京哥头像有点儿失真允悲儿子说好喝！冰镇一下更爽！🤤🤤
1697516307# #今天诊所里小娃娃巨多！哭的好让人心焦！我今天最后一针了，打了七天。莫西沙星找朋友买的只有七块钱，但是用不上，诊所自带不给打，只能打他家的，所以156一针！要不就得住院，住院我是不愿意去的，照顾不到家不行！还好，儿子挺省心的，知冷知热的照顾我，不使我累着，欣慰！。。莫西沙星刺激血管，每
1693367078# #挺喜欢的！一眼就相中了！但是不确定它含不含重金属铅，买杯碟餐具必须要亲自上手摸笑cry只有摸了才知道是否有毒允悲而且它这个尺寸比我现在用的咖啡杯还要大允悲所以算了吧（哼，干脆直说穷就是了👈🏻）
1692082405# #我好喜欢第一张！@韩东君ElvisHan
1692165226# #Bgm好好听！酷！
1702387415# #韩东君
1696511986# #谁知道这么酷这么帅这么跩又拉风的机车侠骨里子却是一个傻憨憨笑哈哈@韩东君ElvisHan
1693994985# #早上烤的蛋挞&amp;晚餐，和他爸包的125个猪肉芹菜馅的饺子🥟，miajimiaji笑哈哈。。包饺子俩人才说四句话允悲，我三句，他一句。。。哈哈哈允悲话不是瞎叨叨，眼睛不是支棱着没事儿干的，谁能逃得过双鱼的洞察力啊开学季逃得过双鱼洞察力的还没出生呢！。。水岸清溪的闲逸时光
1696599338# #时效性。经纪人任职内的再度骗番（失职）。。。人真的是不能太胖，太胖了就愚蠢。。。合作者个子也不能太矮，越矮越精。。。假如一个人做事的时候愚蠢，做人的时候精明，那最好不要成为朋友，合作者，可信赖的人。
1697783205# #复诊，一周后再复诊，再一周后拍CT.还是新冠感染，很重。我配合治疗，开心一些。。。水岸清溪的闲逸时光
1688561952# #转发微博
1699942862# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐梅花红桃！来参与推荐，共同见证它的荣耀时刻吧！
1691574963# #好帅！
1701598920# #电影《拿破仑》，第一个情节镜头差点没把我看吐了（断头台）。英国人拍的拿破仑哈哈，比较有趣儿，战争场面比较壮观。
1692071527# #水岸清溪的闲逸时光。。给儿子做的蛋挞。
1701767059# #韩东君今天走红毯吗？来没来过呢？视界，有知道的宝宝们？
1695454319# #我看到他很绅士那个眼神，很照顾女生，担心女生别走光，真的好细心赞
1703568389# #转发微博
1699916691# #优秀韩东君，为你感到开心！加油！韩东君装腔启示录
1696935119# #肺炎支原体既不是细菌也不是病毒，而是一种非典型病原，虽然肺炎支原体感染不属于传染病，但其具有传染性，主要通过飞沫传播。。。（北京朝阳医院儿科副主任医师常贺生）。。这一茬生病的小小孩特别多，支原体肺炎，医院里儿科乌泱乌泱的小娃娃静点。。。想起来了！上一次我和我儿子得支原体肺炎时是非典时
1701931336# #很时尚，但我都替他冷允悲
1694235549# #啊就随便吧允悲
1701412740# #养眼，谢谢分享！
1699098119# #挺不错！这样的采访可以再来些笑哈哈
1690890377# #晚上，儿子一边看《小猪佩奇》一边啃苞米吃茄子土豆泥。。。“那玩意儿有啥看的，两岁不到看的东西。”。。人家嘿嘿嘿笑个不停，看得有来道趣儿的。。。我哥也是一模一样，有动画片就嘻嘻嘻看个不够，这点爱好也遗传？守谁学谁doge。。“妈妈你喜欢啥动画片？”儿子问我。。。“我喜欢《花仙子》。”。。“《花
1700273138# #期待已久的彪哥终于来了！
1692875186# #太美了！好养眼啊！好帅！
1690859133# #学不会
1692688799# #哇，我也想哭，感动心心心
1694043896# #谁把袜子脱了
1699715617# #韩东君时刻不忘了皮，美女主持在那边说话时，他踩那个滑板玩得有来道趣儿的允悲，太可爱了笑哈哈
1698755050# #
1691454624# #转发微博
1695131770# #好酷啊！平时的积累（练习射击）都学有所用了威武威武
1703750361# #谢谢！也祝你2024新春愉快！继续产粮😊@韩东君ElvisHan
1702811222# #吉林北大壶，太好了！你滑雪🏂🏻吗？
1698137718# #好大的脚，猜49号鞋
1698155623# #有趣儿
1694756814# #好的剪辑：。。是bgm音质清晰，律动人心，卡点准确；。随着bgm升华，故事递进音画同频达到高潮，震撼人心，观众被代入了情感；。剪辑流畅，像一首叙事诗或者一个情节完整的小故事；。产生遐想，回味无穷，还会再看。。。不轻易打赏积分，一定是很优秀，来不及说感谢就珍藏，无比震撼无比喜爱，才会奖励心
1703648170# #第六集《似火流年》零钱死的那场戏（汪磊复仇）我要看吐了！太血腥了！
1689912466# #生日快乐蛋糕蛋糕@韩东君ElvisHan
1699583651# #好嘞，OLAY品牌大使韩东君
1693121644# #你好酷啊！你是把健身器械也搬去剧组了吗？喜欢看！再多来些太开心太开心
1689082543# #不会就不会吧，左边那张好看就行@韩东君ElvisHan
1700538457# #昨天看了一小会儿，电影质感感觉真不错good但是没有时间，等我有大块时间好好欣赏。
1701339383# #直觉告诉我彪子会幡然醒悟
1688201370# #我喜欢这车的颜色！@韩东君ElvisHan
1703949977# #多年以前，我同事的爱人出车祸，人当场就没了！我们去见她的时候，她悲伤欲绝，说话气若游丝……我永远难忘！。。被暗算，梅子车祸腹中胎儿流产，梅子生死未卜，张鹏来见彪子（饰演）这场戏，韩东君第三次演技封神——他肝肠寸断，那眼神，从遥远地方传出来的话语，声音，瞬间情感的爆发
1694756333# #今天为什么才看到允悲很精妙！像一首叙事诗，bgm很卡点，吸引我看完……谢谢抱一抱抱一抱
1703840860# #逛吃逛吃的一天🥂
1703938557# #这个角度眼睛里的点点荧光，看着好惋惜！已经是两个道上的人了！导演拍摄角度赞似火流年
1696774707# #第九天，彻彻底底的一道杠。。。按耐不住新冠病毒转阴的喜悦喜么籽儿的去中医院调理，到那儿就被医生给按那儿了允悲——肺炎！。。医生问：“咳嗽这么多天睡不着觉咋不早来？”。我：“没转阴之前不敢来，怕坐滴滴传染司机，昨天转阴了我才敢出来活动。”。。一霎那间我看见医护都用惊奇的眼睛注视着我，好
1703302957# #嗨，你好！鲜花鲜花
1690110853# #彩虹🌈🌈好美好！替你凉快一下吧
1699688069# #看过一次了却平生愿。
1699689788# #谢谢辣条，好清晰！
1699702556# #韩东君超话hellyhansen品牌代言人韩东君你的到来为春城人民带来一抹暖色🌞🌞今天才知道为什么有人一遍一遍地奔赴！看过无数双眼睛，这世人的眼睛没有哪一双像一样灵动清澈，这是一双纯洁无污染的眼睛！一眼能看到纯净的内心！一看便知他受过良好的家教
1703913259# #真不错，韩东君！很充实的一年赞希望你越来越好！期待2024
1703894330# #没起床睡了个回笼觉梦见了🎀梦见我们俩是同学坐在同一张课桌前，他的个子好高，我坐着还不到他的肩膀头。课上正在讲分配队伍出发去前线，人们穿着军装，戴着那种很老式的口罩，口罩挂在脖子上垂在胸前，队伍就要出发了，我们俩还没服装，在等发军装。这个时候我们将要被分在不同的队伍去往不同的阵地
1692688553# #他好真诚！韩东君心
1700975920# #你是会摆POSE的偷乐
1699369375# #嘀～晚安，睡觉卡月亮月亮
1691656329# #黑亮夹克对海天一色的蓝。黄皮肤对金色山岗。就前边生活气息色彩好。制作有问题。歌词一般。白瞎唱功。需要机会！。太需要机会了！。光有千里马没伯乐。有才华没机遇
1695715394# #回家的感觉真好啊！医生不会来找我吧，偷摸蹽了允悲🏃🏻‍♀️我想吃花生🥜，我贼想吃花生，我偷着跑出来回家吃花生🥜嘻嘻。。水岸清溪的闲逸时光
1702132612# #红旗街欧亚草莓两盒70，真不错！比个体的便宜多了！挑的时候是最好的，东西太多给挤了允悲
1702656654# #哈哈🎀给自己挖一深坑笑哈哈从此开始期待机场秀doge悄咪咪地说一声：“帅哥，不必兑现，手给你写秃了皮偷乐”
1700884171# #那到底剧尾他变好没？思路和文笔不错，按着这个思路发展，故事些许平淡，但是符合法律道德标准，所以戏剧就是故事曲折一些才有趣。但是我希望他后来变好，虽然还没看几集。
1699150396# #牛油果🥑怎么吃？抗衰老疑问。。医生：“我看你现在比刚来的时候瘦了。”然后转向和我同来的人，“是不是瘦了？”同行的人说：“是，瘦了！”医生：“褶都出来了，原来没有。”（那个中药在调理脾胃代谢水肿……我，湿气重可怜）。。啊，医生，您不要太直白允悲。。所以我现在想抗衰老啊awsl。。“买
1689667073# #推荐你来中国一汽做一个组装工人哈哈这个角度真是帅极了！眼睛，脸型心
1694730675# #西装君，他好帅！
1690902756# #很喜欢它的节奏，让我想起一部电影。
1703257361# #转，以后看。
1697893880# #韩东君拒绝替身你要注意安全！希望你所有的努力都会迎来你期待的！
1692710284# #《奥本海默》开启预售了！欣喜地点进去竟然没有长春！分地区！啥意思？北京有，北京可以看，距我八百多公里，不理解此种操作方式！这也太搞笑了！是我们不配吗？！
1690239877# #我喜欢这一套图，这辆绿色的车组装的过程中多留一些珍贵的图片，从不同角度不同时间，挺好的！谢谢宝宝分享！爱你爱你
1690106994# #真好！这回问题听清了！谢谢宝宝，辛苦了！收藏爱你爱你爱你作揖作揖
1703600843# #我推荐《装腔启示录》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1701076088# #31岁的韩东君越来越会了
1700003954# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐装腔启示录！为热爱助力，一起来推荐你最喜欢的作品吧~
1692948638# #图好有趣，博主优秀！
1692831584# #2011年的今天『飞天奖获奖名单公布《特种兵》获最佳电视剧奖』
1688307525# #转发微博
1702263000# #好美啊！我还没去过，以后一定要去！
1693656348# #浮躁
1695676576# #发条微博告别九月。。我来这里了，一宿也没睡好，同病房的老爷子这个动静啊！太折磨人了！只在打点滴的时候睡了一小下，一宿都精神着。。。哥哥在走廊里守了我一夜！现在儿子和妹妹来了，换走了哥哥。。。水岸清溪的闲逸时光
1694322278# #这个是啥？
1693294704# #把耳机听没电了才罢休允悲
1699882514# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐情满九道弯！来参与推荐，共同见证它的荣耀时刻吧！
1697126598# #被这个家伙疼爱着，关心着允悲为了给我敷药，提前休工龄假了！。。水岸清溪的闲逸时光
1695434670# #今天播吗？@韩东君ElvisHan
1693522392# #存图了，好喜欢！作揖作揖
1692074796# #你怎么又脱臼了！心疼！志愿军三部曲杀青聚散有时终须别，山水相逢皆可期。战友，再见！
1695795524# #医院肾病科爆满呐，住院部走廊两侧床位交错啊！年纪都不大，四五十岁的，真多啊！男的特别多！想起来《黄帝内经》讲男人补肾女人养肝，真是这样哦！人真是不生病是最好的！人吃五谷杂粮，各种欲望，不可能不生病。一个人清心寡欲，健康规律生活太重要了！查了好多项，既不是耳石症也不是美尼尔，陈旧性
1700552765# #男人不坏，女人不爱，我可以这样婶儿说吗允悲不过真的好酷啊！@韩东君ElvisHan
1695131197# #很帅！喜欢第二张的神情@韩东君ElvisHan
1703953146# #眼神戏绝了！一个眼神写满全部情绪，表达全部肢体语言！瞬间几秒，你永远相信韩东君！。。似火流年韩东君似火流年
1699461047# #嘀～对不起医生也对不起我自己，晚睡卡睡
1699580304# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐装腔启示录！来参与推荐，共同见证它的荣耀时刻吧！
1696854205# #分享图片
1691498255# #好漂亮！我喜欢！笑哈哈@韩东君ElvisHan
1695392430# #这什么话题啊允悲谁发明的笑cry
1700202715# #最后一次抓汤药，医生说好多了！好开心！自我感觉也是好多了！太开心
1694694610# #我投给了“参赛id：糖嘎嘣脆da”~
1699743536# #谢谢分享！这角度，绝对了！
1702369226# #中国电信开通可视电话了，两个电信的号接通可以视频通话，不知道开通了多久了和怎么收费。
1696904498# #心有所爱，谨慎自持，半热血半冷血，陌生异性勿靠近。
1692895653# #有意思，两个人看电影心思全没在屏幕眼睛全在对方脸上，一会儿扫一下一会儿瞄一眼哈哈偷乐《装腔启示录》好逗，好反应现实，不错！导演好会！演员优秀！第三集不知道啥时能看允悲韩东君装腔启示录
1699677734# #分享图片
1701750957# #真不错！人呢？有人就好了笑哈哈
1703687636# #hellyhansen品牌代言人韩东君蓝色雪服好亮眼@韩东君ElvisHan
1703212616# #冬至快乐！吃的好丰盛！
1702532220# #困的时候手机得放远一点，要不真容易误点赞😴
1697894171# #事后马后炮，有没有道歉，付出与回报不对等吧！
1694914114# #推荐一个小程序：【农夫山泉送水到府】。。您需要实名注册，留下详细送货地址，然后城市可以切换，假如您的孩子在哪个城市读书，您想让他喝到农夫山泉矿泉水可以切换到他的城市，选择校区宿舍栋号什么的，就可以选择各种各样的水，送货上门了，很方便的。。。以上，给关注我十年的朋友们允悲悄悄关注
1692962024# #哈哈，插一片梨🍐，有才啊偷乐
1697415118# #韩东君装腔启示录。健身房里那些自律的汗水和业余技能（车车车）全部变成了引以为傲的资本，你确实很令人称赞！。。李漠导演很会拍（十万个赞都不够！）。。能给予导演想要的；故事情节需要的肢体语言和微表情……。。导演独特的拍摄手法让《装腔启示录》每一帧画面每一情
1691043972# #期待
1691043180# #顾仰山目光犀利，气度不凡！超级期待！@韩东君ElvisHan
1699717491# #小姐姐说你是韩东君粉丝，我说是啊，哪件衣服他摸过我看看？服务员很机智的：“他都摸过”doge“还跟我握了手”然后把手伸过来，另外一个小姐姐也说“也跟我握了手”，忒热情了！那好吧，握握手笑哈哈小姐姐手好暖，但，我的手也是暖的笑哈哈笑哈哈美女小姐姐：“这手握完回去可别洗呀”受不了
1699193371# #韩东君……我要！默念妈咪妈咪哄
1692890752# #狗狗眼里透着信任和安全感，所以它遇到了温柔的人可爱
1702999509# #1不吃咸的甜的；。2不吃冷的凉的；。3不熬夜23点一定要睡觉；。4见太阳；。5运动！。。今天最后一次复诊，调理是一个既不长也不短的过程，我的新冠后遗症肺气肿将陪伴我后半辈子了。医生尽全力将我复原，但对于我来说“阳虚，湿气重将是一个永久的话题”，但是我从医生那里学到并确认了一些有价值的常识，感
1700570506# #微博开屏🦚🦚好开心
1692688972# #我要花絮！谢谢博主亲亲亲亲
1697522440# #电视剧梅花红桃才看第一集。一部剧有没有眼缘从每一个细节反应给观众的观感应该是“它很精致！”这部剧怎么感觉蓝啦吧唧的呢笑哈哈笑死我了允悲一出站，一块布料扯了所有人的衣服笑cry感觉是剧组没钱笑cry笑cry笑cry结果看了看，才知道，这蓝啦吧唧得伴随我追完全剧终吐打脸
1694263189# #晚餐吃饭的时候看了一眼微博，儿子扫了一眼我手机问：“妈妈，微博是用来干什么的？”。。“微博啊……微博就是一堆人闲着没事儿刷存在感的地方，成天也没啥正经事儿！”我答。。。“哦，也包括你，哈哈哈……”儿子笑了。。。“哈哈哈，你妈我现在也看的少了。”。。儿子拿起了我的手机，看见了🎀主页，“妈
1692507457# #残害同胞！不管他们以什么理由出去的，他们都是同胞！
1695873540# #别了！不来了微笑。。“照顾别人的同时先照顾好自己！”。。贫血，轻微的，眩晕是贫血造成的。陈旧性腔梗很常见不影响，这次新查出来是脑血管狭窄，很轻。轻微的血脂高。劳累过度。。。平衡饮食，不熬夜，不能过度运动，要适量。。。“熬夜带来的伤害远比你所知道要大得多！”。。天好蓝啊！躺在病床上看着外边
1703670942# #好好听！
1693109550# #“我也怕，你会爱上我。”这声音太好听了！有一点像《悬崖》里边周乙的声音。韩东君装腔启示录
1702905334# #我推荐《装腔启示录》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1691623768# #谢谢宝宝，存了，辛苦了！作揖作揖
1700703745# #分享图片
1699656575# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐情满九道弯！来参与推荐，共同见证它的荣耀时刻吧！
1695862045# #有位打针的大哥跟护士说一会儿打完针我们几个都没了允悲大哥，我知道你抑制不住出院的喜悦心情，但说都出院好不好doge
1704031424# #新年祝福到！赢牛奶我获得了微博开新年跨年惊喜祝福小卡【乐】，每日完成发博+转评赞互动，轻松集齐开红包~快来加入，领走新年好运气&gt;&gt;
1692829267# #转发微博
1702775585# #凛风瑞雪，冬夜挥书。。。水岸清溪的闲逸时光
1692688392# #七夕快乐@韩东君ElvisHan
1693830980# #书才到，暂时无法追剧，那先看书吧，🥭的VIP白交了允悲
1700653076# #期待韩东君
1702550813# #身高一米八二，大衣一披——三米！但是，白色高领，对不起，情不自禁想起自粘胶带doge雪中景好帅！每次大宝贝有一点进步，工作室准拉胯。
1700003961# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐情满九道弯！为热爱助力，一起来推荐你最喜欢的作品吧~
1701833921# #先转，稍后看。
1691037549# #韩东君好有样儿！期待中……
1692278745# #哇，你怎么可以这么帅笑cry@韩东君ElvisHan
1703739985# #水岸清溪的闲逸时光
1698678344# #转发微博
1692448633# #刚看完第一集允悲
1703509740# #天哪，你还有这才能呢哈哈哈
1697366584# #好酷！
1694186725# #易烊千玺眼神倔强，舒淇很耐人寻味的一张脸，十分期待心心心心有电影值得等候就可以，要求就这么一点点！
1704067488# #有心❤️！新年收到最感动最幸福的礼物是韩东君的送花花送花花
1698767038# #中午煮了一壶陈皮水，喝了，解决了胃反酸，还挺好用月亮月亮
1703085725# #微博之夜我推荐为2023微博KING，千万人中得以相遇，再看亿次还是心动。一起来推荐你喜欢的微博KING和QUEEN吧~戳&gt;&gt;
1697435063# #《装腔启示录》看到第十四集才知道种葡萄的那个是导演笑哈哈好自然啊！
1693911883# #再铁石心肠的人也有破防的软肋。。。这个男人父母都不在了。。。有妈的地方才是家，妈妈不在了，血缘牵系的地方既是家。。。他遇到难事了，在这时候，我没放手置之不理，我没冷漠以待反而帮他，他心软化下来了；知道自己错了，错了这么多年！。。“君臣才智，治国之本；妻子贤惠，安家之宝。”（成吉思汗）。。感
1687845345# #在哪里能够看到？
1695682560# #儿子好细心哦，给我去超市买牙刷，出来前问问小姨：“小姨，用不用买wsj？”他知道我前几天生理期，但毕竟是男生所以他不了解还不太懂，所以他问小姨。。。昨天抬我的120工作人员说：“这大姨个子太高了，块头儿也大，挺沉啊！”所以昨天后来我清醒的时候还帮他们使劲儿来着，结果使了个自己认为的巧劲儿
1696435683# #鼻子封疆大盗和窒息到夜晚自动就来了。它们就像鬼魅一样盯着我：“瞧，这个女人又睡了，走，弄死她！”。。10：52睡的，因为我刚刚吃完药，这么一会儿功夫就遭遇它们数次侵袭！。。咳嗽是白天几乎不存在的，但是夜幕降临，魑魅魍魉，神出鬼没，没一个好东西！滚！！！！。。水岸清溪的闲逸时光
1699699934# #谢谢分享！宝宝辛苦了！
1703160055# #太好了！明天啥前儿
1703818202# #韩东君一年一部当兵的电影我会粉你到老。
1693550916# #韩东君装腔启示录。。心情仿似灶台上光亮中水汽氤氲。。不需要有人会懂但求共鸣
1691643058# #miajimiaji笑哈哈
1701783191# #他好真诚，他闪闪发光，祝贺你
