1701132302# #尊卑不分，居然给一个孩子行此礼，实在令人发省！
1701755872# #一中学寝室床垫用杂草填充家长称"花了3000多就买了个这学校回应：有在调查具体不便透！
1703670525# #冰雕连是存在的！这个记者太多事了！
1700802334# #什么时候，大家不在沉默了，阴暗才会成为过去！
1701339910# #人若无耻则天下无敌！😱
1702115688# #🍉武汉大学教授汤志刚，遭妻子实名举报，并爆出变态细节……
1701066670# #朝鲜真的这么悲催？人还没有狗吃得好？
1703754836# #从古至今，底层的百姓就是最卑微的！
1700219110# #三平方也能住人？太难了吧！
1700644292# #用筛子抓麻雀的的方法，小时候试过！麻雀被抓住一次后，好长时间都不会再来了！
1700623778# #这是普遍现象，大家都在吃。有什么方法让大家不吃这些有害的东西吗？
1700803749# #这么简陋的手枪，不知实用效果怎样？
1703776555# #不知道该怎么评论！
1703664149# #想不明白，这样报备是为了什么？如果碰到白事，怎么提前10日？😱
1701935610# #如果某天，我们不在需要所谓的正能量，我们的社会，无论秩序、道德及人文唯有上升一定的高度后。在高度文明自由的环境下生活着，那些刻意存在的正能量或负能量，才会无足轻重，渐渐淡化掉！也就是说：正能量与负能量是和生存的环境有本质的关系！
1702353216# #人和狗的区别是：人讲规则，而狗只要能狂吠有屎吃就可以了！
1701066951# #人均贪污额？好像人均不包含我自己！允悲
1703070912# #为什么受过教育还成了蠢货？😱
1702026817# #这个举动真的不错！赞
1700905793# #脑子进水，总有一天会化做你的眼泪！
1700711963# #这就是中美的差距！赞
1702351424# #允悲😱这就是差別！
1702216626# #马晓磊很真实的为百姓做事！赞
1700711780# #支持国货！
1702204066# #霸气、威武！细想一下，他们生活在天堂中，应该非常幸福吧！
1700909151# #上次转了张艺谋去美国的图片，疯狗洗地挺疯狂的！这次转老胡的，你们会怎么洗？我只是转发一下！当然，我相信老胡绝对不会去水深火热的美帝的！这都是谣言！
