1536456181# #我唱的这首歌打败了全国9%的人，快来听听吧。>>(来自
1583574409# #武汉一位患者出院致谢，久久不愿离去，泪奔，感人！泪
1537614396# #来听听我唱的《我的祖国》>>(来自
1548193416# #今天我的「微博等级」又升一级，记录一下我在微博的成就
1536585463# #我唱的这首歌打败了全国58%的人，快来听听吧。>>(来自
1537626460# #来听听我唱的《女人花》>>(来自
1536575725# #我唱的这首歌打败了全国39%的人，快来听听吧。>>(来自
1537675119# #我唱的这首歌打败了全国67%的人，快来听听吧。>>(来自
1537438085# #我唱的这首歌打败了全国50%的人，快来听听吧。>>(来自
1549458129# #创势资本汤旭东给大家拜年了！祝大家春节快乐！猪年大吉！作揖作揖作揖作揖
1537699267# #来听听我唱的《明月千里寄相思》>>(来自
1548888490# #亲自聆听连续担任首长配餐营养师的顾奎琴老师的讲座，受益匪浅！！
1583242591# #创势资本合伙人焦伟：谈疫情下的投资机遇！。。
1558302260# #
1581318005# #颜值在线，风格多变的仙女Angelababy下凡啦！ 我正在使用“Angelababy”微博个性皮肤，一起使用个性皮肤逛微博，解锁Angelababy多面精彩人生吧！
1536586766# #来听听我唱的《浏阳河》>>(来自
1537608659# #来听听我唱的《你到底爱谁》>>(来自
1583453942# #政府财政吃紧，各省差异太大！。。
1537622234# #我唱的这首歌打败了全国50%的人，快来听听吧。>>(来自
1536566461# #来听听我唱的《荷塘月色》>>(来自
1536504416# #来听听我唱的《梦驼铃》>>(来自
1587862258# #中国农村将迎来历史性发展机遇！三权分置，伟大的创新！与当年分田到户一样，深刻的改变着中国新农村！。。
1537593158# #我唱的这首歌打败了全国48%的人，快来听听吧。>>(来自
1587859578# #新三板重大投资机会来了！。。
1551273042# #
1536457469# #我唱的这首歌打败了全国59%的人，快来听听吧。>>(来自
1583369455# #教育改革，事关重大，影响每一个家庭，必看！。。
1584353524# #VC大咖丨创势资本董事长汤旭东：9个实操手段，提高创业成功率。。
1586432823# #打就打！谁怕谁！防患于未然！中美未来三十年还会继续博弈！。。
1583732664# #50万亿刺激经济的商机挖掘细解！必须看！。。
1536455547# #我唱的这首歌打败了全国64%的人，快来听听吧。>>(来自
1584636026# #要小心：近期要防止美国通过货币放水和美元贬值剪羊毛。我们建议中国政府未来应适当抛售美债，减持美元资产，在全球大规模买入黄金、石油、天然气、铁矿石、土地租赁权、农产品、海外高科技公司股票等。。。
1583541777# #24万亿带来的大基建，进而带来一批科技领域的投资机会，正是我们创势资本投资的主要方向，我本人专注科技天使投资领域超过22年，2020年将是抄底投资的最好时期！。。
1585352402# #美国疫情新增人数终于排名世界第一。。
1583365807# #2020年最新经济刺激政策：24万亿的大蛋糕，赚钱机会尽在下图：
1587858693# #中国新首富诞生！！。。
1536589482# #来听听我唱的《浏阳河》>>(来自
1538219970# #我唱的这首歌打败了全国7%的人，快来听听吧。>>(来自
1538220382# #来听听我唱的《我的未来不是梦》>>(来自
1546341869# #小伙伴们，告诉你个秘密，网速慢用浏览器也能加速，一般人我不告诉他......戳这里用浏览器加速器加速啦
1537624073# #我唱的这首歌打败了全国45%的人，快来听听吧。>>(来自
1584575773# #创历史最高记录：美股10天内第四次熔断。。
1537883990# #我唱的这首歌打败了全国40%的人，快来听听吧。>>(来自
1536503377# #我唱的这首歌打败了全国84%的人，快来听听吧。>>(来自
1536459149# #我唱的这首歌打败了全国36%的人，快来听听吧。>>(来自
1550151447# #情人节礼物！
1536567664# #我唱的这首歌打败了全国69%的人，快来听听吧。>>(来自
1536567088# #来听听我唱的《用心良苦》>>(来自
1584369126# #刚刚发生：美股本月第三次熔断！载入史册了！全球股灾啊！。。
1587606526# #昔日大佬国美黄光裕即将出狱，突然国美开始了新布局！。。
1537626057# #来听听我唱的《女人花》>>(来自
1536240433# #我唱的这首歌打败了全国25%的人，快来听听吧。>>(来自
1536494073# #我唱的这首歌打败了全国58%的人，快来听听吧。>>(来自
1583887703# #国际油价暴跌！但中国加油站价格保持不变！原因是中国与俄罗斯签定了120美元一桶，二十年不变！目前国际油价30美元一桶！中国亏大了！。。
1583407463# #11号（下周三）晚上20：00有我的直播，《疫情之下企业如何守住现金流红线》欢迎大家收听！
1536572263# #来听听我唱的《荷塘月色》>>(来自
1547135664# #感谢领导们的信任，我有幸当选北京青年企业家协会投资委员会主任，继续为成功企业家做好闲置资金保值增值，同时投资优秀的创业者，培养未来的企业家，完成一个闭环！把我二十年的科技人工智能领域投资经验发挥到极致，把过去四年天使投资的不败记录继续保持！2019年继续撸起袖子加油干！拳头
1586441092# #重磅！重启2020：12位顶级企业家给中小企业的复苏指南。。
1581318033# #微博头像挂件众志成城，共克时艰，共同战疫！我正在使用“中国加油”头像挂件，你也快带上一起为中国加油吧！
1584489494# #中美两个大国未来三十年将长期博弈，这一次是在媒体领域，互相驱逐记者！。。
1587429465# #全球经济危机真的来临了吗？纽约石油期货崩盘了！历史上第一次！。。
1584660134# #霸王条款：发改委规定，国内成品油价格低于40美元部分不再下调国内零售价！这没有道理啊！国际原油价格已经跌到20美元一桶了啊！这种价格管制，你能说中国是一个市场经济国家吗？。。
1536460432# #我唱的这首歌打败了全国86%的人，快来听听吧。>>(来自
1537608166# #来听听我唱的《城里的月光》>>(来自
1583573576# #全球疫情持续蔓延中！不乐观啊！
1537624670# #来听听我唱的《十五的月亮》>>(来自
1537609162# #来听听我唱的《情网》>>(来自
1583894226# #今晚八点直播！《疫情之下企业如何守住现金流红线》，主讲人：中国十大天使投资人汤旭东，不见不散！。。
1537966750# #我唱的这首歌打败了全国18%的人，快来听听吧。>>(来自
1551364248# #今天我代表创势资本参加中国企业服务创新发展高峰论坛，并在圆桌论坛上发表演讲，创势资本有幸荣获“2018企业服务领域杰出投资机构”大奖！创势资本2015天使投资的知呱呱、和信创天、玻森数据三个企业服务项目，一个估值增长60倍，一个被360安全集团战略投资6000万、一个被蚂蚁金服收购，收获颇丰！201
1536542916# #我唱的这首歌打败了全国46%的人，快来听听吧。>>(来自
1539348351# #我在签到领红包打卡啦！每日签到领红包，签到越多红包越大，还有各种限时奖励，快来一起领吧！错过一天都可惜哦~
1535964202# #我和﹏苏蓓蓓🌸﹏合唱的这首歌还不错哦~听完就知道我们有多默契！>>(来自
1548194069# #昨天作为演讲嘉宾，参加了创势资本新春天使夜宴！正式宣传创势四期基金的募集！由于创势资本前三期基金的年化收益率均超过100%，成为市场上唯一一个连续四年天使投资零失败的天使基金，致使四期基金销售火爆！当场就有投资人确认投资！场面十分热烈！
1537967877# #我唱的这首歌打败了全国77%的人，快来听听吧。>>(来自
1536460880# #我唱的这首歌打败了全国37%的人，快来听听吧。>>(来自
1586990343# #专家判定新冠病毒是人工合成的，一定要找到元凶，将其碎尸万段！万恶不赦！。。
1538354351# #我唱的这首歌打败了全国43%的人，快来听听吧。>>(来自
1550282490# #这个挺好玩儿！扫码注册，你将拥有属于你自己的人工智能机器人，拥有你的第一张人工智能名片，智能对接需求，而且还能赚钱红包红包红包
1538356695# #我唱的这首歌打败了全国45%的人，快来听听吧。>>(来自
1536457145# #我唱的这首歌打败了全国38%的人，快来听听吧。>>(来自
1536461230# #我唱的这首歌打败了全国70%的人，快来听听吧。>>(来自
1536228672# #我唱的这首歌打败了全国63%的人，快来听听吧。>>(来自
1537798956# #来听听我唱的《军中绿花》>>(来自
1536496214# #我唱的这首歌打败了全国100%的人，快来听听吧。>>(来自
1536463365# #我唱的这首歌打败了全国53%的人，快来听听吧。>>(来自
1578590237# #
1538281973# #来听听我唱的《耶利亚女郎》>>(来自
1536495227# #我唱的这首歌打败了全国51%的人，快来听听吧。>>(来自
1586729907# #原来新冠病毒的源头在美国！他在美国冒死发表这些言论！。。
1535969056# #我唱的这首歌打败了全国43%的人，快来听听吧。>>(来自
1535966024# #我唱的这首歌打败了全国59%的人，快来听听吧。>>(来自
1536586381# #我唱的这首歌打败了全国32%的人，快来听听吧。>>(来自
1537698021# #我唱的这首歌打败了全国41%的人，快来听听吧。>>(来自
1536974190# #去延庆来透透气，途径居庸关长城
1548232025# #我来自辽宁农村，我们创势资本也一直在为村民捐助善款！回报社会！承担一份儿应尽的义务！2019年还会继续参加各类公益活动！
1583452370# #2020年地球末日？美国田纳西州百年不遇的龙卷风，死亡人数不计胜数！。。
1587113516# #做美国总统难啊！
1584075591# #软银孙正义的财富：兴于互联网，败于房地产！拭目以待！。。
1536576231# #我唱的这首歌打败了全国58%的人，快来听听吧。>>(来自
1536458806# #我唱的这首歌打败了全国59%的人，快来听听吧。>>(来自
1546962947# #创势资本董事长汤旭东出席第四届中国CEO新年峰会，参加圆桌论坛！创势资本荣获2018年最佳投资机构！
1536495709# #我唱的这首歌打败了全国10%的人，快来听听吧。>>(来自
1583641704# #为疫情尽一点微薄之力！
1537622600# #来听听我唱的《羞答答的玫瑰静悄悄的开》>>(来自
1587691757# #我亲自听了这场大佬的巅峰对话！。。
1584267972# #明天起，所有入境回北京的，都要集中起来，隔离14天！。。
1584319042# #【直播分享】疫情下，企业如何守住现金流红线。。
1536588988# #我唱的这首歌打败了全国84%的人，快来听听吧。>>(来自
1537785720# #我唱的这首歌打败了全国38%的人，快来听听吧。>>(来自
1585352390# #湖北解禁第一天，5000万湖北人哭了：病毒会消失，但偏见不会。。
1537627077# #来听听我唱的《风往北吹》>>(来自
1537609607# #来听听我唱的《千纸鹤》>>(来自
1537613848# #来听听我唱的《爱的奉献》>>(来自
1584417861# #喜讯：心冠病毒的疫苗终于研制成功，全球70亿人有救了！。。
1536412030# #我唱的这首歌打败了全国89%的人，快来听听吧。>>(来自
1536585863# #来听听我唱的《天路》>>(来自
1584209452# #中国重大科技突破：中国成功研发出第一台光刻机！芯片产业再也不受制于美国了！。。
1584253955# #人民币与美元国际货币大战拉开，欧洲已经开始站到人民币队伍中来！。。
1536241874# #我唱的这首歌打败了全国15%的人，快来听听吧。>>(来自
1554025284# #正在深圳IT领袖峰会聆听腾讯董事会主席马化腾演讲！
1586269533# #这可是一个爆炸性新闻！。。
1536457918# #我唱的这首歌打败了全国69%的人，快来听听吧。>>(来自
1551601542# #第一次参观中关村生物银行，体会到高科技在健康产业的应用，长生不老不是梦！我作为北京青年企业家协会“投资委员会”主任，也做了《人工智能时代的投资机会分享》的演讲，今天同行的参加人员主要是北京青年企业家协会的企业家代表！！
1537594652# #我唱的这首歌打败了全国78%的人，快来听听吧。>>(来自
1537625073# #来听听我唱的《刚好遇见你》>>(来自
1538355178# #来听听我唱的《春天的故事》>>(来自
1538279078# #来听听我唱的《猪之歌》>>(来自
1536458282# #我唱的这首歌打败了全国100%的人，快来听听吧。>>(来自
1537592730# #我唱的这首歌打败了全国74%的人，快来听听吧。>>(来自
1549963826# #北京2019的第一场雪！瑞雪兆丰年！新年好兆头！预示着创势资本会在2019年大展宏图，继续引领中国科技天使投资业的发展！
1536456750# #我唱的这首歌打败了全国73%的人，快来听听吧。>>(来自
1583988442# #普京大帝要执政到2036年！厉害了！。。
1587609214# #一夜300亿亏损的金融惨案！！。。
1585352396# #疫情之下，第一次召开G20线上视频会议。。
1587207091# #北京开始逐步解封！。。
1565868316# #我作为中国十大天使投资人，做了二十年科技天使投资，随着科创板的挂牌，终于迎来科技天使投资的春天！这是对我的最新专访，里面有很多我的最新观点，希望对你能有所帮助！这是我的专访链接！
1536502390# #我唱的这首歌打败了全国79%的人，快来听听吧。>>(来自
1538302842# #我唱的这首歌打败了全国32%的人，快来听听吧。>>(来自
1537784088# #我唱的这首歌打败了全国33%的人，快来听听吧。>>(来自
1537663271# #我唱的这首歌打败了全国50%的人，快来听听吧。>>(来自
1584660593# #重大消息：蔓延全球的新冠疫情有救了！
1538221303# #来听听我唱的《心雨》>>(来自
1585525095# #离奇：真实的新冠爱情故事。。
1583572907# #新三板精选层可以直接转科创板！重大投资商机！。。
1536577076# #来听听我唱的《草原上升起不落的太阳》>>(来自
1547061372# #
