1691821336# #盛总要不身先士卒再生一个吧，我给你个小目标——子女数量赶上产品数量哈哈
1693989662# #基金超话。消费品的实质——建立属于自己的长尾场景。。比如你可以想象一下今晚要招待一位位高权重的LD吃饭，用二锅头还是飞天茅台更合适？
1701416248# #基金超话。做投资最怕的就是似懂非懂但以为自己很懂，那还不如不懂。。比如文盲肯定不会去炒股，人家老老实实存银行，7年下来应该比大部分股市普信男们要高吧？
1697033359# #能不能别站着说话不腰疼啊？你用共享单车刷28公里/均速给我看看二哈二哈二哈
1701666407# #基金超话黄金价格。【国际金价创历史新高，咱都别“装大神”行不？】。记得我8月份在《慢慢变富》组合里买黄金的时候，还有大V酸溜溜地说：“现在黄金在高位，我是不会买的。”。。现在来看打脸了吧。。其实我买的时候也不知道国际金价能这么快上2100，只知道站在那个环境下，买黄金比买大A更靠谱，
1701522757# #骑行超话。烧到39度，然后附近的美利达店家和我说心心念念的克罗威100明天到货了，让我尽快去拿。。望着沉重的身子，颇有一点太监逛青楼的赶脚允悲允悲允悲
1695118443# #每周三晚7点，欢迎大家来直播间听我唠嗑...
1691391668# #基金超话。《祸害老妈的养老钱，目前总盈利7.5发子弹》。虽然大部分自媒体都认为固收+基金不需要择时，但个人认为从获得“更好投资体验”的角度来看，还是要适度选择入场时间点的，为什么过去一年固收+基金的规模出现雪崩？那就是因为大部分零售端客户都是在2021年比较糟糕的时点入场，并抱着“每年
1702568975# #提醒一下，本世纪初可是有“零首付”这种政策的现在这些就算“核弹级”了？
1692332927# #分享图片
1696083733# #基金超话。作为年轻人入行的第一份工作真的很重要，在什么样的平台上真的很重要，我相信他一定是潜移默化对我们产生了一些影响的——宝盈新价值基金经理杨思亮。。这方面我感觉自己挺另类的，四大出来像我这种“话痨型”的应该不多，大部分是严谨、踏实，打破砂锅问到底问到底的标签。。我身上唯一
1692628770# #基金超话。这几天带着全家和爸妈一起泡酒店休假，9点多本来想去蹭蹭酒店健身房去撸铁，没想到酒店的健身房晚上9点就关门了。。10点后照例打开Wind开始刷净值，大声惊呼我心目中的某“均衡之王、六边形战士”今天净值都跌了1.5%+。。没想到和我睡一间房的儿子突然来了一句“XXX基金经理和鲍无可比起来怎
1693820828# #今天是我们余生中最年轻的一天........
1698988115# #基金超话。今天我又作妖了……二哈二哈二哈
1691643156# #建议你看看这个
1692410760# #基金超话。在投资增值上，以下哪项符合您的配置习惯？。。A.按行业进行配置，将基金分散投资于不同的行业（例如：新能源、消费、医药、军工等行业基金）。B.按股债大类配置（投资组合中按比例配置偏股基金和偏债基金）。C.还没有形成配置的投资习惯（例如：全部的钱投向某一类理财产品）。。结果显示54.5
1700577891# #骑行超话。均速22公里/小时，请叫我“美团温格高”嘻嘻嘻嘻嘻嘻
1701223527# #医院确实人多了不少。。不过不是我生病哈，我只是来配个药，包括那个叫司美啥的……
1694513843# #基金超话。心累..........
1703757039# #啊哈刚知道微博有吴磊独家的骑行vlog，收藏起来找机会看看
1696919160# #基金超话。记得22年将我的基金投顾组合在各个渠道做准入和尽职调查的时候，经常有渠道方的领导会问我——为什么你组合里边既有中泰资管的姜诚，同时还持有田瑀？。。在我来看两个人其实还是有点不同的，而昨天应该是两个人历史上净值差异最大的一次，其中姜老板的中泰星元C跌幅0.87%，田瑀的中泰开阳
1701186171# #啊哈哈哈华创这个报告有点那什么槐的意思……
1703223795# #我要发车了哈
1700733592# #省流说法：我们基金的优势在于“亏得慢”+“亏得明明白白”.......
1701248894# #骑行超话。【论在骑行圈如何不被人鄙视】。死党建议我以后买了车也去混骑行圈，和别人一起周末弄个长途骑行啥的。。话说骑行圈可是有“鄙视链”的，比如骑公路车的看不起骑山地的；同样骑公路车，你骑喜德盛肯定是要被人diss的，骑美利达和捷安特，就和开车开大众丰田差不多，你不弄个Trek、闪电、皮
1696605859# #基金超话。【摩根大通顶级策略师重磅预测——美股或将大跌20%！】。香港万得通讯社报道，摩根大通(JPMorgan)的科拉诺维奇(MarkoKolanovic)预计，标普500指数将遭遇20%的抛售。。。这位《机构投资者》(InstitutionalInvestor)名人堂成员说，高利率正在为股市创造一个临界点，目前在货币市场选择回报
1693811418# #基金超话。【目标“跑赢房贷”&amp;祸害养老钱，目前小小盈利3万多】。《稳中求进》组合今年最大回撤1.07%，YTD收益跑赢同期885003Wind偏债混合型基金指数1.5%以上。。目前老妈账户盈利1.2万，“跑赢房贷”账户盈利1.5万不到，“老丈人”账户盈利6000+，合计盈利勉强超过3w。。从2季度市场剧烈下跌期开始集
1693474117# #BreakingNews：中国男篮开始会打球了啊........
1696494473# #基金超话。【寻找与美债、美元指数“负相关性”资产的尝试，失败了！】。从8月至今研究了不少QDII和另类资产，旨在美债利率高企的情况下，寻找一些能和美债利率上行形成共振，减少A股相关性的资产。。从美元债到黄金，各种尝试都做了一遍，目前来讲效果都不如人意。。最近两周美债利率上行的原因，除了
1696246630# #绿军这笔交易是铁了心全力争冠，送出一个主力+一个主力轮换+2个首轮签，牺牲深度和未来换一个好用的即战力，霍乐迪原来值那么多？
1696245024# #尚悦湾的Trek，每次和同业吃饭都经过，但却从来没进去逛过。。今天带娃期间逛了一圈，这价格真是亮瞎了我的眼二哈二哈二哈还是民族品牌喜德胜还有入门品牌迪卡侬稍微能让人接受点。。哦，上海本土品牌永久和凤凰更便宜吃瓜吃瓜吃瓜
1692947613# #基金超话。【接客完毕，今日发车是否有点意外？】。下午接客完毕，这次接客的对象是创金合信基金。。他们家的一个SmartBeta基金我看上了，以后考虑配一下。。回到正题，今天发车在中午下单完毕，是不是套路有点不太熟悉？《慢慢变富》组合今年的第一次调仓开始了，同时给组合里增加了一些红利高股息的
1692074032# #股债性价比周报8月第三期——股债性价比底部到牛市，间隔市场最长有多久？基金超话带着微博去都市写给夏天
1693499103# #今天发布会过后一下子对乔老爷子印象改观不少。勇于承认自己的错误，才是对自己足够自信和清醒的态度，这种善于反思的态度注定了我们可以以更谦逊的眼光来审视自己，反之“死不认错”的甩锅做法，只会让我们深陷“普通且自信”的泥潭而不能自拔
1694322734# #基金超话。传说中我一出差就下跌？。。那这次我要到周五才回来哦……
1692785644# #基金超话。买基金挣100万的时候我吃的是盒饭，亏100万的时候吃的也是盒饭。。焦虑点在于——我的消费水平已经没有下降空间了……泪泪泪
1698413321# #哈哈，这就是我这几年不怎么去的原因，认知实在不匹配awsl
1693803776# #反正美债利率下行或者美元走强，对国内金价貌似都不是坏事偷笑
1696493407# #基金超话。节前很火的“美元债投资”，从近一个月表现来看应该都处于“水面以下”。。以最近在机构圈里很火的007360易方达中短期美元债A人民币为例，近3个月下跌1.47%，近一个月下跌0.69%。听说之前猛推的渠道最近已经有不少负面反馈传导过来了。。其实也不光是易方达的这只美元债产品，我买的另外一个
1691562457# #基金超话。自媒体嘛，总有营销成分，要求每个人都像我这样把每一次买入卖出和投资金额以及组合业绩直接公开也不现实。。我其实是可以忍受很多人吹嘘自己过度营销这样行为的，前提是你别来踩我或者攻击我投资组合的底层资产（公募基金），尤其是在你自己实盘业绩菜得一笔的情况下。毕竟你脸皮可以很厚
1700812750# #基金超话。关于今天《慢慢变富》这一车大家的问题很多很集中哈，限于时间关系可能没法一一私信。。未来一周我都会持续买入这一车，届时我将在公肿号还有微博上持续解释这一车大幅买入的理由和性质，敬请关注。。【风险提示】。请根据自己的风险承受能力选择投资组合，市场有风险，投资需谨慎。
1695023230# #批量牛冲冲&amp;牛轰轰到货了吃瓜吃瓜吃瓜
1703063983# #这第一第二是能上热搜的东西？。。觉悟呢？求生欲呢二哈二哈二哈二哈。。建议微博小编好好反省
1693971115# #风险和收益真的是对等的吗？基金超话寻找闪光的你微博vlog大赛
1699351289# #话说，有人能说得清楚“董秘”和“董事长秘书”之间的区别不？
1693460398# #创业的好处是可以更好的遵从自己本心，一个心善的人创业可以严格遵循自己心目中理想的道路，而一个割韭菜的人通过创业可以把镰刀升级为大型收割机，提高收割效率
1697445055# #这个现金流让人很羡慕挤眼
1697687192# #基金超话。兄弟们做好明天早上迎接美债5%的准备吃瓜吃瓜吃瓜。。说不定等我成都100公里骑完美债利率666了呢？嘻嘻嘻嘻嘻嘻
1699581131# #基金超话。FCFCFC……
1695715858# #基金超话。成都出台《关于进一步优化政策措施促进房地产市场平稳健康发展的通知》，①调整住房限购措施，四川天府新区直管区、成都高新区南部园区、锦江区、青羊区、金牛区、武侯区、成华区继续实施住房限购，统一为一个限购区域。其他区域不再审核购房资格。在限购区域范围内，购买144平方米以上
1694066172# #一上午到现在弄了3个接待任务，累啊……
1698802009# #贵州茅台。没封涨停，感觉不算很妙……
1693749027# #啊哦，药丸.........
1695266581# #基金超话。【关于招运营岗位小伙伴的信息更新】。上个月风风火火地发了一个招聘运营小伙伴的启示，但因为预（lao）算(ban)有(tai)限(qiong)，考虑到基金投顾实在是一门太不赚钱甚至很难养活主理人的业务，出于对各位小伙伴负责的角度考虑，我们将招聘计划改为招聘“长期实习生”。。如果大家身边有在
1693714095# #有没有觉得菲律宾这教练长得很像巫启贤？
1695703395# #天弘那只是主动管理型基金哈，周六我还和胡超总在论坛上一起聊天来着
1695796390# #这个华安基金的兔年玩偶礼物，你们喜欢不？。。喜欢的请扣1，不喜欢的请扣2。。喜欢的话我们10月份直播间可以送这个
1692976448# #基金超话。最近很多人催促要“倍投”。在市场底部区域加速买入，按照现在的政策环境，随时随地出一个利好市场大反弹一下，就能说自己之前的“倍投”的正确的。。但是需要注意一点，没有一个人是“无限子弹”模式，在子弹数量既定的情况下，连续大幅度启用“倍投”模式，是进一步消耗了自己的存量子弹
1700296997# #分享图片
1693798133# #我不喜欢银行股占比高的红利，就和我组合一样，不喜欢在单一因子上暴露很多
1702873848# #ForzaInter客场面对尤文、那不勒斯、拉齐奥，两胜一平，小因牛逼啊，这赛季真有冠军相
1692372210# #你还有这个疑问就说明你没看懂这个视频
1693907540# #静雨太懂流量了，主要是在篮球领域瞎掰不会被封号……建议静雨在担任中国男篮主教练之前先学会左手上篮可能会比较好
1698767649# #茅台这么晚放个公告出来，感觉不像茅台镇这嘎达的工作节奏。。不排除有更深的含义，包括领导们的授意，以此证明国内最有价值的上市公司有很大的利润增长空间和低估的价值。。推而广之，茅台被低估了，那么代表A股的核心资产“在当前状态下是否也被低估呢？
1702476872# #骑行超话。人生的第六次摆渡，估计很快就会有第100次嘻嘻。。过了江还要骑8公里，小case
1692340839# #这个位置是否抄医药？先想清楚这些基金超话认知思维寻找闪光的你微博vlog大赛
1702301964# #啊哈，一直观察的一只微盘股基金，感觉最近申购量应该很大，今天和微盘股指数偏离度好高啊
1703089762# #路边社消息，有些品种再不买，就买不着了笑cry笑cry笑cry
1701836260# #调研摩根—深挖逆势策略之美元债JPMorgan理想生活季
1703774931# #骑行超话。空气这么差，突然觉得自己生病生的“恰逢其时”笑cry笑cry笑cry。。否则一定腿痒痒又出去骑车了……
1690769580# #基金超话。我有时候在想，对于loser来说买基金亏了可以骂基金经理，买股票亏了可以怪上市公司董事长和某会。。那loser这两年买房子要是亏了可以怪谁呢？怪房产中介？。。反正在某些人眼中，千错万错，老子永远没错..........
1696856181# #基金超话。收到超过50个赞，按约公布《祸害父母的养老钱，到底怎么样了？》。。答案，老妈的养老钱经过了5个月的配（zhe）置（teng）后，最高盈利3万多，目前已经“深度套牢”，套牢幅度41块2毛5分。。本身我给我自己跟投《稳中求进》的组合命名为“轻松跑赢房贷”，现如今可以改名为“被房贷轻松跑赢
1692873332# #滴滴也遭遇“降费”了笑cry
1693997399# #晚上7点直播，欢迎来赢取牛冲冲和牛轰轰，聊聊《为什么我在这个位置开始买黄金？》
1703572302# #能举报保险嘛？不买A股买30年期国债，懂行的都知道是啥意思……
1691562930# #基金超话。N盟固利，上市首日涨幅2719%，目瞪口呆。。有这种炒作行为存在，咱们就没资格抱怨“新股发得太多”，既然你们这么愿意炒，反而说明新股供给不够才对，注册制下的IPO节奏，就应该靠上市首日大量破发来调节
1692075279# #基金超话。降息之后今儿个股市小跌，债市大涨，我估摸着《稳中求进》组合今天净值不一定下跌，毕竟85%的资产都堆在债券里边。。最近《慢慢变富》发车降速了，着急的朋友我建议稍安勿躁，可以先躺在《稳中求进》里观察一下情况，毕竟债市到年底之前都呈现“稳中向好”的局面，多少可以对冲一点股市的
1701139594# #基金超话。照例，给这一车短久期美元债再买上10发子弹。。目前每天限购10发，累计已经打出30发，距离100发子弹目标还差70发。。【风险提示】。请根据自己的风险承受能力选择投资组合，市场有风险，投资需谨慎。
1690685340# #基金超话。《“厌蠢症“”和我荒唐的学生时代》。。粉丝前两天私信我说道——磊哥，我算是懂为啥你喜欢怼人了，我们都有“厌蠢症”，看到蠢人就生理厌恶。。我这人从小就有比较鲜明的“个人好恶”，这种习惯从学生时代延续至今，总体上来说在工作之后略有收敛。工作17年以来和大部分同
1697037004# #感觉A50也不算很激动……
1693979572# #基金超话。提前和跟投《慢慢变富》的小伙伴们通报一下，经过一周时间的粗略研究，我发现我前期下单的某红利基金从费率结构上来说还不够优惠。。下一阶段我准备发车购买另外一个费率更低的红利类产品，待原先买入的C份额红利基金持有满一个月后再调仓调到费率更低的那个产品中去。。算了一下一年大概能
1701420425# #能看到自己的不足，就已经战胜了90%的人……赞赞赞
1697771629# #基金超话。今天发车品种的变化并不代表我认为应该在这个位置大幅增持国内债券。。今天只是用来“过渡”一下，后续我会找时间卖的。。真正适合现在的发车品种，是短久期美债，但一个没上线一个暂停申购，那咱们就等等吧……。。所以今天这车不建议“发黑车”
1698203455# #基金超话。万亿国债之后，10年期国债YTM上到2.72%了……
1692579600# #基金超话。《政策真空期，等待市场走向明朗——“股债性价比”每周跟踪20230821》。（图1）上周北向资金大幅流出291亿元，创今年以来北向资金单周流出规模之最，北向的大幅流出使得A股市场生态从“存量博弈”进一步恶化至“减量博弈”；从风格因子（图2）来看，由于北向和公募基金主要重仓于成长板
1694966918# #曰：佛渡有缘人，还在乎亏我们这点钱？嘻嘻
1692422124# #你这是相当不给面子啊二哈二哈二哈
1692753850# #欢迎晚上7点来直播间听我唠嗑
1697814233# #骑行超话。成都天府绿道热身骑行。。边开着蓝牙音响边骑车，感觉好自由打call打call打call
1694683118# #基金超话。【股债性价比对于红利基金的买点有没有启示作用？】。一般来说股债性价比分成两种口径，一个是用宽基指数的市盈率倒数，另一个是用宽基指数的股息率，再通过和10年期国债到期收益率相减或者相除，来计算当前时点位于过去5年、10年的分位数水平，以此判断当前市场的位置高低。。每周一早上9
1695696129# #基金超话。哎呦我的妈呀越南市场波动真大……
1695178707# #因为《慢慢变富》最新一次发车里边就有这个香喷喷的QDII产品，所以导致《慢慢变富》也被暂停申购了
1701239720# #上证50盘中创今年新低……。。“50永远涨”订阅费创历史新高awsl。。横批：傻子不够用……
1703151583# #基金投顾行业集中度非常高，公募这边全是FOF基金经理出身，还能存活的基金投顾大V大部分都是业绩和资产配置能力还胜过FOF基金经理的人，专业能力上打银行理财经理轻轻松松
1699194772# #骑行超话。把我2011年买的捷安特master123整修了一下，今天到路上骑了10公里。。本以为能靠这车骑到苏州，然而效果感人，路上差点被儿子的共享单车拉爆……允悲允悲允悲。。一掂份量，死沉死沉的，估摸着至少30斤以上，內变速10秒内都没反应。。看来逼得本葛朗台要买一辆新车了啊。。目前的目标是“
1695378499# #基金超话。现有的基金投顾模式吧，在信息披露上过于“公开透明”，我觉得有两个坏处。。1、对于我们这种业绩还过得去的组合主理人，容易被剽窃知识产权，因为你好不容易琢磨出来的“妖魔鬼怪”品种，很容易就被别人抄走了。2、对于半途接手的组合，由于之前负债端管理很差，跟投人在熊市持续亏损的情
1701224247# #中午温度都要20度了，除了空气质量不太好以外，温度倒是很适合骑车……
1703307377# #周六一大清早，大娃和40闹别扭，拖着扭伤许久的右脚拄着道德的双拐离家出走了。。到大中午为娘的着急了，让我吃完午饭赶紧去找。。哎，何必呢，既然承担不起这个代价就不要放狠话嘛，这个年纪的小男生，都是一不做二不休的脾气，手上还有点零用钱，具备了初步的野外生存能力。。记得我18岁的时候坑儿子的爹把
1702448078# #基金超话。啊哈，昨天官方直播的时候也是蛮有意思的。。一个观众提问说：“老是亏损调仓是什么逻辑？”。。另一个观众讲：“组合里的基金数量是不是太多了？”。。这俩问题无一例外都是我讲了180遍以上的问题，还要提问吧俺就笑嘻嘻耐心解答吧，今天顺便写个文字版：。。第一我调仓的原则向来就是用我认为
1694335625# #基金超话。崔东树：8月消费需求有所释放，乘用车市场零售达到历史同期最高水平。。香港万得通讯社报道，9月9日，乘联会秘书长崔东树发文称，2023年8月乘用车市场零售达到192万辆，同比增长2%，环比增长9%。今年累计零售1,322万辆，同比增长2%。。。今年8月车市零售达到历史同期最高的水平，高于2017年
1697685634# #基金超话。下一次的发车，我还是想和你们打个“出其不意”吃瓜吃瓜吃瓜。。正在想坏招嘻嘻嘻嘻嘻嘻
1694948734# #基金超话。照例陪大娃出去打篮球，坐在楼下罗森便利店的位置上磨洋工。。这时旁边座位来了两位顾客，指着我喝完的东鹏特饮饮料瓶说道：“这玩意儿你别看上海没人喝，那都是商家留给开高速的卡车司机喝的，3块5一瓶，司机们买不起红牛就没这个了......”。。好吧，受到了森森得打击，“张口就来”是人性
1701770040# #大哥，我觉得你账号还保留着是个奇迹啊...........
1691729274# #确认不是照骗嘛二哈二哈二哈
1692688610# #在现在年轻人眼里结婚可能是比炒股更冒险的行为笑cry笑cry笑cry
1702311824# #女神啊........当年张学友《吻别》MTV的女主角
1700533008# #这叫“黄色领骑衫”好不好嘻嘻
1690773676# #我的锅我的锅，主要是我现在个股研究资源确实不多了二哈
1700811613# #基金超话。低情商：看空XX股市。。高情商：战略性看多固收类资产。。论语言的重要性............。。像我就抱着全力看多中国的心态，努力做空美债.........
1690465741# #基金超话。一般遇到这种太“饥渴”的粉丝我一般都要放一放。。而不像有些人大言不惭得说“包你赚钱、不翻倍不卖”。。做好基金投顾，先要让客户预期理性化，再谈怎么做资产配置和调整……
1703573253# #有通胀压力啊，建议加息.......
1700746721# #好像出现了方向盘向右打到死的迹象.......
1697025162# #我正在与连麦，快来围观~
1695883122# #基金超话。今天的发车，出于“绝对收益”角度的思考发了个单车。。事前也一直在思索，希望在美债快速上行的时候能找到一个和美债表现“正相关”的资产，目前来看可能除了美元货币基金以外没啥太好的选择，石油基金这种东西，定价机制太复杂，大部分是挂钩石油股票而不是油价，光弄清楚油价就够复杂的
1695701228# #哎呦兴银理财现金宝系列理财收益率又降了啊。。自我安慰一下，总比基金来得强允悲允悲允悲
1703135974# #挺好的，今年少一个赛事操心，把主要精力放在争夺意甲冠军上边吧，希望劳塔罗没大碍
1701743049# #12月份上海竟然有20度，只有大A能让我感受到属于这个季节的寒意嘻嘻
1701157886# #基金超话骑行超话股市超话。北证50自救失败，下午跳出几个兔子破风，奈何都是想蹭风的老六，这种情况就算奥德彪也奈何不得。。明天HYD，北交所维权群帮你们建好了，欢迎来吐槽。。下一次你们准备买塌什么品种，请提前通知我……
1701927936# #基金超话。今日继续10发子弹买入《慢慢变富》这一车短久期美元利率债。。计划打出100发子弹，目前已打出90发，还剩最后10发。。【风险提示】。请根据自己的风险承受能力选择投资组合，市场有风险，投资需谨慎。
1699106950# #骑行超话。话说请教各位骑友，现在上海地铁站允许把折叠自行车带进站不？像大行，小布那种？。。如果不能带进站的话，真不明白买折叠自行车的意义在哪里啊，是为了以后转行做滴滴代驾吗？
1698126411# #这样想的散户只要2020年我做3%收益的时候别骂我就行awsl
1699081586# #基金超话。因为美债回落，这周发车品种已经开始恢复为权益资产。。下周估计发车品种也继续恢复正常，发车速度的话看情况，不排除恢复成1到2车
1690719106# #过奖了，论楼市研究比我牛太多了
1691935857# #说了很多次了，是“边际增量资金决定市场风格”，16到18人家外资是边际增量资金，当然是市场强势风格
1697520753# #基金超话。虽然一直吃面，但是学习的机会还得要抓紧，边吃面边学习，不噎着就好。。BTW：今天丘太也来出席哦……
1692165034# #基金超话。范妍这妹子的调研真的很有意思。。基金经理调研整体都很实在，范妍的调研属于“实在得过分了”那种。。感觉就是个妹子在你身边喝咖啡随便唠嗑，关键这妹子还是人家公司副总经理，投资总监。。当然可能在业内更有名的一个身份是谢大白的贤内助..........
1695104367# #基金超话。最近口味很重，买了一个任职还不到1个月的基金经理。基金经理之前在卖方的时候和我在上市公司期间有点交集，这次1vs1路演很打动我。。现在挖基金经理越来越卷，我以前最低要求是“任职1年以内”，现在在任职时间上进一步下沉了，其中这种信心来源很大部分来自于同业对这位基金经理的认可，
1702293522# #开灯吃面……
1695364857# #泰山顶上的房子多少钱？用我买基金亏的100万去帮你买一套行不？鼓掌鼓掌
1701163132# #基金超话。据基金专业人事八卦自媒体“基金人事”透露，万家量化产品线的领军人物乔亮总已升任公司副总经理。。这下持有人基本不用担心乔亮总离职风险了，因为基金公司高管离职是要去会里面报批的偷笑偷笑偷笑
1690704891# #好像我除了不斗地主（主要是不会打）和不住出租屋以外，其他都符合要求笑cry笑cry笑cry
1702366182# #哎，之前限价新房的政策真是定向给有钱人送钱啊笑cry笑cry笑cry
1690435727# #啊哈，玩汽车真是烧钱的好去向..........
1693922019# #这不就是《慢慢变富》主理人一贯提供的风险收益特征嘛吃瓜
1702451039# #基金超话。刚才基金同业在和我说啥时候在上海组个基金投顾大V的局。。后来我一想不对啊，整个基金投顾行业大V的非货规模大概也就500600亿，其中第一重镇是北京，占比超过50%，上海基本就没几个人了，杭州的投顾规模都超过上海。。真要在上海组个基金投顾大V局，其实有难度。。充分说明我们在忽悠能力上
1697883750# #骑行超话。70公里，还差30公里，加油！
1695371504# #这种号竟然没被封？二哈
1703677803# #我正在解答提出的问题“晓磊新的qd组合和现行慢慢变富要怎么配置，现在大部分仓位都在慢慢变富，在没办法兼顾的情况下，有没有必要再投新投顾”，快来围观吧
1693129642# #基金超话。另外再加一句，这个位置我不准备开启“倍投”，因为本来在底部拿的筹码就够多了，不差那么点.........。。相反，我可能会期待未来更大力度的政策
1697862991# #基金超话。实话讲，事前我也不知道黄金能涨这么猛……。。要是知道，那我还买啥A股资产？。。切忌在自媒体上把自己塑造为神，如果你在网上看到很多“神”，那大概率是假的。。咱们都是普通人，对粉丝真诚一点都别装行不行？
1697443361# #基金超话。7年前买的黄金ETF，累计收益率又站上80%+了。。这玩意儿我有挺大概率要“拿满10年”，拿到2026年去了。。不能说年化收益率有多高吧，但确实比沪深300强……二哈二哈二哈
1697620097# #上海市住房公积金管理委员会审议通过了《关于优化本市住房公积金个人住房贷款套数认定标准的通知》。通知明确，缴存职工家庭名下在本市无住房、在全国未使用过住房公积金个人住房贷款或首次住房公积金个人住房贷款已经结清的，认定为首套住房；对于在全国有未结清的住房公积金个人住房贷款，或者在全国
1701943588# #基金超话。群里都有人想研究俄罗斯基金了。。那我不得先下手为强看看有没有乌克兰产品？甚至买张机票去乌克兰调研一下？。。还没下手就被40揪耳朵了——我看你是想去研究乌克兰美女..........允悲允悲允悲
1697794155# #开骑之前，先干一碗面补充一下碳水吃瓜
1693882499# #说明消费很有潜力，只是缺噱头……
1693062649# #男篮世界杯中国男篮超话。低情商评论：中国男篮很菜。。高情商评论：——塞尔维亚主帅中国男篮是一支非常努力的球队而且防守非常出色。。以后我“普通且自信股民”的时候，应该——你炒股很努力。。而不是说——大哥你这么菜，炒股这辈子赚过钱吗？挖鼻挖鼻
1693816941# #基金超话。一位挺看好的新锐基金经理去大成了。。作为过去10年发展相对比较落后的“老十家”基金公司，大成这两年感觉人才辈出啊，刘旭、韩创、齐炜中，还有今年大火的徐彦........。。莫非大成要“老骥伏枥”？
1692699404# #自助餐拿来的三文鱼，感觉油脂线比较细，颜色偏淡（在灯光底下显得亮）。。感觉更像是虹鳟而不是三文鱼……。。你们觉得呢……
1698052289# #基金超话章子怡汪峰离婚。有人说章子怡汪峰离婚是因为“汪峰炒股”。。这明显是谣言，我觉得还是“汪峰买基金导致离婚”比较可信一些睡
1699197361# #骑行超话。喜德盛传奇500，售价2999元。。按照本葛朗台的看法，如果买了台3000的车，少说要在整个车的生命周期里，把总车程干到9000公里以上才划得来吧。。按照售价和里程数算下来每公里0.33元，勉强够本.........
1703082317# #转粉丝群精选评论：。其实房价跌了，对于住的人来说没体感的，你住的房子不会因为跌了，就住的不舒服了。。评：确实如此，所以少一些焦虑，多一点面对生活的淡然心态吧。。我15年买房的时候7万/平，最高的时候涨到20多万一平，我还不是每顿都在吃7-11盒饭。。我膨胀过吗？。。答：还是膨胀了，这不最近“全款买
1695106615# #基金超话。亚洲盘时段COMEX黄金价格一路下跌，从518800黄金基金ETF的走势来看。。咱们人民币黄金又在走“自说自话”行情了笑cry笑cry笑cry
1702826596# #台北诚品信义店，在商业氛围浓厚的101大厦附近，打造了属于读书者的一片小天地。所幸苏州的诚品书店也继承了台北诚品的衣钵，虽然我从小到大从来不是一个“书虫”，但走进诚品书店，确实能让我的心静下来........
