1692766832# #从绝对金额来看，这一波应该差不多了吧？
1697070665# #汇金直接下场扫货，虽然力度可能不大，但是对短期市场提振效应还是有一定作用的。。要想A股实现长长的慢牛，需要解决的问题包括但不限于以下几点：。（1）以经济发展为首要目标。（2）优化IPO制度。（3）引导更多长期资金入市。（4）规范资本市场法律法规，加大违规处罚力度。。你们还有什么建议吗？
1688807415# #周末大家都在热议某光磁公司的业绩。说说我的看法：。。1、业务以磁性元器件为主，光电部件占比低且光利率低。过去几年的微利说明细分行业竞争非常激烈。这与几家纯光模块公司不同。。。2、公司在互动中表示，光通信方面目前订单量和往年是持平的，会否扩产要看客户需求。公司400G光模块已经批量交付，800G
1690104376# #【季羡林先生谈交朋友】。我交了一辈子的朋友，究竟喜欢什么样的人呢?。。约略是这样的：质朴平易；硬骨头，心肠软；怀真情讲真话；不阿谀奉承，不背后议论；不人前一面，人后一面；无哗众取宠之意；有实事求是之心；考虑个人利益也为别人考虑；关键是个真字，是性情中人。
1694326800# #维持成长股估值的最大两个因素：行业竞争格局+竞争壁垒，怎么理解一个公司的竞争壁垒，看下图的流程应该能解决80%的问题。
1695031319# #向头部1%的财富阶层的跃迁，主要集中在35到40岁。。。没有至少十年以上的积累，99%的人都无法真正突破。
1698471441# #实际上我们的城市待遇一直没有跟上农民工的发展，期待的立法希望可以尽快实现
1693406002# #转发微博
1687150702# #转发微博
1693659286# #人生发财靠熊市11
1694397928# #运动的好处，如何强调都不为过
1687959673# #萨达姆，阿萨德独裁统治，人人得而诛之，感谢美国主持正义
1698849701# #转发微博
1693355770# #昨天大家最关注的就是华为悄悄的上线了新款Mate60系列手机，而且极有可能是5G手机！。。之前由于制裁的原因，高通的5G基带专利不给华为授权，也不让台积电给华为代工，导致华为的手机业务一落千丈。。。现在独立自主实现了5G芯片的制造，不仅仅说明一个芯片的成功，更是说明整个半导体制造产业链的巨大成功
1691242501# #转发微博
1695261386# #转发微博
1696151646# #多么盼望越来越好、越来越好！
1687932392# #真的可惜泪泪
1695872994# #私有化过程需要公开进行
1692572494# #长期阻碍曹县发展的原因是什么？
1691410348# #等待一个“黄金坑”！。我们没有持仓医药股，这里面有运气的成分，也有其他原因。。1、一直觉得医药器械是一个非常好的赛道，但是估值贵得难以下手。。2、一直觉得疫苗不错，但是新生儿数量的大幅下降让人担忧，不知道出海能否弥补国内增长缺口。。3、一直觉得“创新药”和“创新医疗器械”有点伪，价格也
1690870495# #同意
1692846241# #拭目以待
1693534104# #中报之后十大行业再梳理：。1、白酒，差异化尽显，分化加剧，部分次高端和地产酒一再超预期，是最大亮点，目前估值合理偏低。。2、医美，高成长，高粘性，有壁垒，遗憾的是估值不低。。3、医疗器械，有壁垒，有成长，有差异化，等待反腐消息进一步砸出黄金坑。。4、半导体，行业仍未见底，近期华为新机和AS
1698110129# #转发微博
1696676284# #哈哈
1690966284# #哎
1694402205# #市场担心产能过剩，这样的新兴产业，还是应该顺势而为。不过目前估值已经回到行情启动之初了
1694854388# #还是IPO价格太贵了，换谁上去都想跑
1690841516# #转发微博
1688451612# #你才嘴歪
1694661337# #面对这样的情况，短期想要反转，除了拿钱真金白银的下场买，把逻辑转变为涨是涨的理由，其他的方法很难奏效。或者，用时间熬过目前的困境。。。中长期想要反转，要做的事还有很多：。（1）坚持经济发展为首要目标。。（2）树立大家都听得懂的目标，修复信心。。（3）上市公司自身盈利能力跟上，这一点可以参
1696296742# #赞没有什么是一成不变的，即使有时候看起来像石头一样的东西
1697148416# #转发微博
1689850404# #会的，哈哈哈
1698844996# #让人深思——国家的存在不是为了称霸世界，而是为了让所有国民享有尊严。警察的存在不是为了控制民众，而是为了预防和打击犯罪。学校的存在不是为了灌输思想，而是为了启迪智慧。医院的存在不是为了盈利，而是为了拯救生命。（转）
1696514917# #曹操：设使国家无有孤，正不知几人称帝，几人称王！
1697291424# #民粹盛行与愚昧落后一定是孪生兄弟
1691484696# #人性
1698573480# #巴菲特的三次危机【转】。。（一）1973-1975年：跌幅56%。。20世纪70年代开始，美国股市出现了整体性的大幅下跌，伯克希尔·哈撒韦股价从1973年的每股90多美元跌到1975年10月的每股40美元左右，跌幅达到56%。。。1974年，美国股市已经处于很低的价位，几乎每个公司的市盈率都是个位数，这是华尔街少有的时期：
1693879858# #比尔盖茨：人们总是高估新技术出现的第一个五年，低估第二个五年。。。人们会过于看好一个新题材热点的第一波，但往往会忽视和低估第二波。。。比如，互联网刚刚来到人间，第一波大家非常兴奋，纳斯达克产生了超级大泡沫，但第一波互联网泡沫破灭，产生了巨大的恐慌。恐慌之后，很多人不信互联网了，谈互联
1695986431# #科学和文明的普及是社会进步的基石，而偏见和无知会带来巨大的风险。
1696688334# #太阳
1696676202# #这倒是
1694142311# #实际上创业板指数比去年4月份低一点点而已
1690965410# #看好
1697807746# #这个视频我看过多次：正义需要每一个人的维护，只有大多数人勇敢地站起来，邪恶之徒才会认输。
1689585481# #莫言：“永远记住成功的最大秘诀就是，顺着人性做事，逆着人性做人。人性不喜欢听实话，更不喜欢被挑战。真正的高手，都会顺人性，不说难听的话。该说的话，点到为止；不该说的话，只字不露。”。。还是做不到这种格局，热血的时候总想说说真话，尽管不好听，还招骂。
1692151019# #解决当下问题，向前看
1693697802# #这就是文明、教养
1687755503# #一句古诗词形容A股：“先天下之忧而忧，后天下之乐而乐”
1690434287# #牛市的形成机制分成三个阶段。。第一阶段，当估值足够便宜的时候，有长期资金的专业投资者入场买最优秀的公司，赚到最优秀成长股业绩增长与估值修复的钱，形成新一轮牛市第一波的赚钱效应。。第二阶段，当最优秀的公司启动赚钱效应之后，可能上涨30%~50%，赚钱效应会激发场外的资金入场，推动股市进一步
1687150546# #好可怕
1698232024# #蒋经国：我是一个独裁者，但我会以专制手段来结束专制。。文：吴钩一言堂。。2018年，根据台湾所做的一份最新民调显示，在历任领导人谁对台湾贡献最大的问题上，蒋经国在辞世30年后，仍得到53.3%受访者的认同，以过半的压倒性数字拔得头筹。。。蒋经国1987年11月宣布开放部分人士赴大陆探亲，结束了近40年两
1697243400# #如果社融数据落后于预期的话，很多时候数据公布前的交易日，指数都会提前跌汗
1688367903# #【天风证券刘晨明：历史上单日大跌5%以后的经验】从历史回顾来看，成长板块的历史单日大跌往往容易发生在股价上行区间中。在产业趋势/基本面趋势良好的时候，大跌并不影响超额收益的获得。而随着基本面拐点来临或者产业周期的结束，大跌之后可能就很难继续获得超额收益了。。。总结一下就是，产业趋势向
1688023309# #可以接受
1696735567# #转发微博
1698287286# #日有所进
1689044329# #事实上，上证指数和创业板指数都没有创新低，对不？
1687655707# #股民问禅师：“大师，怎样才能不做韭菜不被割？”。禅师：“说来也容易，远离股市。”。股民：“离不开股市，又不想被割怎么办？”。禅师：“少交易，一年交易一次，没有绝对把握不进场。”。股民：“一年做一次，臣妾做不到啊！”。禅师：“做不到就给自己定规矩，例如必须去米其林餐厅吃一顿龙虾，才能进
1687939858# #看好服务器、光模块、芯片等
1693709633# #转发微博
1689766200# #快来看看自己算不算好男人哈哈
1698567480# #男人对自己K线技术的信任就像他们对自己性功能的信任一样，多数时候都不行却每次都寄以厚望允悲
1693319162# #至少人家对革新还是有贡献的
1695682148# #好酒
1691551952# #什么是赛道，最先跑到终点就是王道。。。在赛道里面有的选手一开始冲得很快，后面没有体力了，逐渐就跟不上了。有的选手前面保存体力，跑得慢，后面开始加速，但也很难拉近之前的差距了。在赛道里面的公司，风光无限后又摔跤的人太多，一开始落后大部队，然后再也追不上的也不少。。。所以在赛道里赛跑，最
1697889767# #赤子之心啊！
1697885923# #李光耀：历史一再警示我们，溜须拍马的人非奸即盗。每一个混蛋的背后都有无数帮凶，有的糊涂，有的麻木，有的无耻。。新加坡的实践表明，一个高效的体制，必须有利于选拔出真正的精英，坚决排斥无德无能之人。一旦我们背离这个宗旨，必然是小人当道，贤德之辈郁郁不得志，最终损害的是国家千秋大业。
1695648222# #罪有应得
1690270420# #今天的地产、金融板块对会议内容做出了剧烈反应，尤其是港股地产股涨幅普遍在20%以上，人气爆棚。。。这反应了资本市场对政策调整的极度期待！。。接下来，要看政策的落脚点。我还是坚定地认为，地产政策的核心是救民营公司，恢复居民购房信心，而不是放松限购。百强企业中大部分是民企，出险的同样是民企
1687160342# #上周出来了
1698500843# #赞
1695804097# #对的，让过程精彩。不过话说回来，我们这代人或许可以实现永生了哟
1692830817# #局势复杂了啊
1693229110# #核心问题出在哪里？
1697008224# #越是这种磨人的底部，越容易是好的底部。。。最惨的港股，空头力量已经衰竭，A股冲高回落也还是跌不下去。。。丰厚的奖赏，总是留给足智多谋的勇士！
1694786627# #老胡还敢深入说下去吗？
1696401368# #赞
1689892431# #人家的孙女？哈哈
1690639708# #说点啥呢？
1698645590# #转发微博
1697631636# #校长是何心理？可以深究
1692154061# #转：。凡是从缅北逃出生天的，没有人愿意再回去。。但是从A股逃出生天的，一定还会再回去。笑cry
1696640023# #转发微博
1695957282# #转发微博
1691647100# #有一次，齐景公让晏子管理东阿这个地方。过了三年，“毁闻于国”，整个齐国都骂晏子是个糟糕的地方官。齐景公听了以后不开心，把晏子免职，让他卷铺盖走人。。。晏子挨骂以后，对齐景公说，等一下！我知道错在哪儿了。。请再给我三年，肯定可以做到“三年而誉必闻于国”，让大家都说我好话。齐景公说好吧
1693208716# #热泪盈眶
1693287005# #经历了今天的全市反弹，大家现在有信心了吗？
1696904425# #人们都希望生活在一个和平的环境中，但最近的巴以冲突引以及仍未结束的俄乌冲突，让人认识到，拥有和平不是一件容易的事情。
1691016217# #生活、回归！
1697079628# #白酒行业，一线企业股价基本上是2021年2月见顶，部分二线企业7-9月份见顶。。。2年多后的今天，有的股价回到当初顶部区域，有的下跌50%或更多。。。你是因为便宜买大跌过的，还是追高买顶部的？。。你的选择，决定了你是专业型选手，还是业余选手。。。——不断创新高，才是优质股权的魅力所在。
1690354056# #人的性格：非常稳重的，就容易缺乏变通；太刚烈坚毅的，就容易不容人；宽大广阔的，容易对小事不检点；方正廉洁的，做事容易狹隘、施展不开；思想活跃、口才好的，常常言多必失；而那些有胆子、有冲劲的人，又容易冒太多的风险。。。个人的投资方式，受自己性格影响是非常大的。稳重的人会深思熟虑考虑性
1689773196# #机会在底部
1692253335# #阶段底部似乎已经确立，是不是最终底部谁也不知道，因为底部都是最终走出来后才知道的。。。盘面上，代表中国消费的酒业在复苏，代表中国制造的机械零部件在复苏，代表中国先进科技的AI硬件也顶住外围利空的压力。。。积极做多A股的各位同志终于能松一口气了。
1691384351# #“政策底”下，那些还在“估值底”的板块
1698144757# #太邪恶了！
1694758074# #全球研发投入排名
1695133081# #转发微博
1687863889# #教育是帮助被教育的人，给他们能发展自己的能力，完成他的人格。不是把被教育的人，造成一种特别器具。——蔡元培
1690504322# #【历史上的政策底与市场底】。好事多磨，第二根阳线随时会来！
1690789065# #转发微博
1690783601# #小语种这样的细分岗位，其实需求量挺高的
1696338692# #再说多小粉红又来了
1687522689# #转发微博
1691846127# #太垃圾
1698198349# #1万亿国债投入基建，不仅利好基建板块，还利好？干杯干杯干杯
1690769314# #A股这么多年以来，如果券商的基本面没有重大变化，券商板块这样的大行情基本上都是一波流，很难走出持续的行情，更多的作用是给大盘上唱戏的角色搭台子，或者是作为强烈看涨情绪的一个宣泄口。。。既然是一波情绪宣泄，那肯定是信得越早越好。没参与的人，不如趁这个时间想想台子搭好了什么股票会上台唱
1697372223# #一件很难的事，不同时期的感受
1693900289# #在上海，如果你月薪过万，你就战胜了64.91%的人。在北京，如果你月薪过万，你就战胜了64.93%的人。在深圳，如果你月薪过万，你就战胜了73.09%的人。在南京，如果你月薪过万，你就战胜了80.63%的人。在杭州，如果你月薪过万，你就战胜了81.40%的人。在广州，如果你月薪过万，你就战胜了85.26%的人。。还是要大
1697013942# #除了叹息，我们还能做什么？
1692248906# #转：价值成长是一体的，没有价值的，一般都没有成长，所以我们是不分的。。。再说说周期股，正好上次就我们做的企业有两个周期，一个是一个大的宏观周期，一个企业的生命周期，所以我们自己还自创了一个叫养猪理论，讲的就是这个事情，养猪理论讲的不是猪周期！。。用养猪讲企业的成长阶段。猪从50斤到200
1695693881# #转发微博
1693460744# #帮朋友转发：招聘一位酒店式公寓店长，工作地址：上海宝山。期待您的加入。
1692271947# #怒怒怒
1695629649# #网暴的源头在哪里？大家心知肚明！
1694214227# #赞
1688558110# #还好没有生在古代
1697618532# #投资价值股或者说高股息股票的投资人，这两年赚了不少钱。。只能说是风水轮流转吧。前两年我们的高光时刻，他们也抓瞎。。当然最牛的是这两年卖出成长股，买入价值股。只不过这种天才的交易员太少。。从投研上来说，我们多了一个思路。。长期来看，在经济平稳增长期，投资价值股的收益要远低于成长股。2000
1689690129# #转发微博
1698539724# #坚强！
1698460501# #两个人同样伟大
1691016429# #哈哈哈
1687528796# #转发微博
1689145082# #人工智能今天的回调，显然是因为某服务器公司的业绩预告，引发了大家对中报的担忧。。那么核心的是，你在建仓之前，对业绩有什么要求？如果之前就认为二季度业绩不可能体现，下半年甚至明年才有，那就应该持有不动。反之，这种下跌，你肯定捂不住。。我们的要求是：1、公司业绩确定性受益于人工智能浪潮
1695880578# #干吧
1693036560# #小时候总以为有理走遍天下，无理寸步难行；。。长大后才知道，这个世界讲金钱、讲关系、讲利益，就是不讲道理！
1689127887# #太真实了。。
1687212553# #能量不是一般的大
1689862084# #转发微博
1691461207# #在纳粹法庭上，法官宣布以“叛国罪”判处马克尼姆死刑！马克尼姆站起来做最后陈述：“所有德国人都知道天快亮了,只有你们还在坚守黑暗。”。1945年5月2日，纳粹投降的前一晚，年仅21岁的马克尼姆被纳粹枪杀。按照她的遗愿，人们在她的墓碑上写道：。。当你的祖国被独裁所统治，“判国罪”是对你最荣耀的判
1698155289# #看评论我觉得民智开化了
1693373189# #过去10年，A股市场里成长类型的股票估值都是超过价值类型的，大盘成长估值在21年疯狂之后已经连续均值回归两年，现在位于历史均值附件。。。而中小盘成长一直保持比较高的估值溢价，对专注于成长股的投资者来说，选股的要求更高了，要求我们去寻找两个方向的公司：。。（1）崭新的行业，这意味着行业内公司
1690033335# #一个自由的环境才能吸引和留住优秀人才
1689481546# #马斯克的时间管理方法，值得转发学习。1.不需要时间日程表，而是按事情的轻重缓急。2.Deadline是第一生产力。3.进行非同步沟通(如邮件)，减少即时沟通。4.同类事件一起做，才能有更高效率。5.早起。6.大部分时间（80%）用在最重要的事情上。7.主动结束（或离开）没营养的谈话，不做被动听众
1690205029# #当务之急是给民营地产公司纾困，重树居民购房信心
1692095760# #雷军个人演讲。大学时期。当年1987年，我步入武汉大学计算机系的大门。那年我18岁，是个县城的青年，那时的我在图书馆偶然读到《硅谷之火》一书，它激起了我内心深处的梦想：建立属于自己的伟大公司。夜晚，我行走在武大的操场，脑海中满是理想和憧憬。。。但如何开始？作为大一新生，对于大学，对于世界，
1689744146# #转发微博
1692672419# #印度总理莫迪公开个人财产，全部家当折合人民币136万！。印度总理财产已公开，莫迪全部资产1410万卢比(约人民币136.7万元)，这主要是13年前购入的房产升值了25倍所得，现金仅约人民币455元，没有任何机动车、飞机或游艇。
1687871913# #支持
1698098906# #转发微博
1691543409# #哈哈哈哈哈哈哈哈哈
1695467017# #这么恨大清，岂不是不爱国？
1697172050# #2023年半年度白酒行业上市公司营业收入和净利润同比增速情况
1697071885# #转发微博
1687599753# #少数人哭，多数人笑
1690674213# #我经常想：人性之恶，以至如此？！
1696774775# #投票：你现在仓位是多少？
1689517364# #可惜！
1697512181# #国内超预期+海外假期结束，需求态势良好。国内方面，1-8月新增装机113.16GW，同比增加154.46%，海外组件出口方面，1-8月累计组件出口128.33GW，同+13.20%，剔除印度后124.83GW，同比+21%。对应到产业链，10月排产在高基数上仍然持平，反应整体需求强势。。。PE+PB历史低位，估值底部安全边际明显。光伏行
1694440258# #还要危害到何时？
1698800486# #反人类
1695425459# #转发微博
1698672801# #季报之后6大行业再点评：。。1、白酒，差异化尽显，分化加剧。次高端中徽酒和川酒明显超预期，集中度提升抵消商务下滑影响，目前估值合理偏低。。。2、医疗器械，有壁垒，有成长，有差异化，阶段性反腐不影响长期发展，等待合理估值。。。3、半导体，华为手机带动，行业或已见底。。。4、CXO，基本同质化竞争，
1693562331# #是的
1698717478# #惟其如此，才不会有那么多腐败
1696320694# #波谲云诡
1698361608# #转发微博
1697454340# #信谁？
1693701315# #来看看世界上最有钱的两个人的早饭，你们今天早饭吃的什么？哈哈
1691550243# #只能叹息！
1693009804# #鲍威尔央行年会讲话预期：今年还有一次加息，明年7月才开始降息。。。1.利率指引:如果合适，美联储准备进一步提高利率，将谨慎地决定是否再次加息，在通胀持续放缓之前，将采取限制性政策。。。2.通胀目标:2%仍是并将继续是我们的通胀目标，通胀数据变得更有利，但仍过高，还有很长的路要走。。。3.经济前景
1687075457# #这辈子也没见过一个坏人变好过。以为只要忍气吞声俯首贴耳，坏人就会放过你，这根本不可能，坏人之坏，在于他们残忍冷酷，得寸进尺。你的泪水与顺从，只会激发他更加器张的邪恶心理。。——季羡林
1691589824# #超导的研究报道已经两年了，只是我们不知道而已
1698896145# #转发微博
1689756820# #妈的，骗子太多了！
1697167006# #转发微博
1695995883# #赞
1695713772# #华山一条路——上涨！。跌够了。跌透了。跌麻了。想走的早就走了。外资也不可能无限流出。满怀希望吧，朋友们！
1687495863# #转发微博
1691979213# #转发微博
1694214289# #如果穿唐装在日本被驱会怎么样？
1693960404# #芒格：持币观望，盼着有好机会的时候再投资，这样的事，在我整个的投资生涯中，我从来没做过。。。我从来都是在自己能找到的机会中，选择最好的去投资。我过去如此，现在也不会改变。现在每日期刊没什么现金，都投出去了。。。伯克希尔持有大量现金。但是，伯克希尔持有大量现金，不是因为伯克希尔预测市
1696325227# #国家的建设需要每一个人的努力心
1697336334# #别再一试了之
1698633499# #盘面能看到高股息股票开始调仓了，出去的钱在买什么，也能够很清楚的看见
1698217735# #倒金字塔加仓法（适用于抄底，且有持续性的反弹行情）：。。第一阶段：先建仓40%，如果买错了，遇到极端情况下跌10%，那么看情况不再加仓或者止损，损失为总仓位的4%。。。第二阶段：当股价开始反弹，开始加仓，上涨10%，立即加仓30%。。。第三阶段：符合预期继续加仓20%。。第四阶段：持续符合预期，最后一次
1696164712# #欢迎他们回来在北京长街上来这么一场举手
1692846180# #我们的年化收益率在业内排名还算靠前
1691138655# #什么是吃苦？。独立思考，吃脑力的苦，。忍耐克制，吃自律的苦；。读书学习，吃寂寞的苦；。点头哈腰，吃尊严的苦。（转）
1696691383# #转：本次以巴冲突的五个重要看点。。。1、以色列情报部门的严重失误导致以色列对渗透袭击毫无防范。。2、以色列国防军迟钝、低效的反应导致恐怖分子在多处得手。。3、以色列极右政府的“司法政变”所造成的情报、军事部门士气低落，军心涣散直接导致了上述两大失误。。4、战后国家调查委员会追究军政领导人
1698453360# #18年底到现在，光伏产业链很多票确实涨了很多很多倍，比如一个曾经贡献过7倍收益的逆变器企业。。。但是从21年年底开始的大跌，很多优秀公司跌幅达到了50%~80%，无论你说曾经的泡沫有多大，现在也被挤得干干净净甚至被杀的严重低估了。。。很多公司现在的净利润环比增速确实在下降，但是同比增速依然是非常
1697531264# #白酒行业2023年三季报业绩前瞻
1692022956# #拳拳之心啊！
1698098890# #转发微博
1692506363# #成本应该更低，但是产业工人能否保证
1692800683# #年底预计3600
1694522144# #正是如此赞
1687404150# #龌龊
1695141682# #转发微博
1697936083# #转发微博
1697081613# #浓香
1690001427# #转发微博
1698231473# #转发微博
1698068003# #广州纪检委应该介入调查了
