1701665930# #国家税务总局广东省税务局原党委书记、副局长胡金木被查（已退休五年）。
1703635786# #大悲寺。。清&nbsp;·&nbsp;爱新觉罗·弘历。。林麓忽开处，居然见上方。。。松风吹袂冷，山果落茶香。。。替戾铃声静，逶迤鸟道长。。。停鞭一回首，雾霭已苍茫
1701900348# #拜登：坠毁的驻日美军“鱼鹰”运输机上8人全部死亡
1701645539# #养狗人——人通狗性……！。。《小区内饲养猎犬还不牵绳子，把别人的狗咬死一走了之》播放量：11万。点赞量：2751
1704071654# #广东东莞市纪委监委对东莞市石碣镇党委原委员、市公安局石碣分局原局长龚良宝严重违纪违法问题进行了立案审查调查。
1703679431# #《当过两省政法委书记，受贿1.66亿，甘荣坤被判无期！甘荣坤到案后认罪悔罪，积极退赃，赃款赃物已全部追缴》当过两省政法委书记，受贿1.66亿，甘荣坤被判无期！甘荣坤到案后认罪悔罪，积极退赃，赃款赃物已全部追缴
1701416248# #大智若愚——今天这个90后的小姑娘终于晋级到副处的行列，真心㊗️福她……！
1701640790# #广东省纪委监委对梅州市政协原党组书记、主席陈建青严重违纪违法问题进行了立案审查调查。
1701219328# #超哥最好留意大陆去香港的欢光游客（当然，有少数内地游客的确素质有问题不可否认），虽然内地人听不懂香港话，也减少了很多矛盾，但是，我作常规去港办事，常常听到香港部分商家或者xx说话非常糟糕——污秽，盛至是侮辱游客，套路游客，坑人等等……。这样下去是否孔怕对港名声越来越撇……？
1702620409# #《5名城管对老人暴力执法，将拍照路人打进医院，结果遭上千人包围》5名城管对老人暴力执法，将拍照路人打进医院，结果遭上千人包围
1701954408# #厦门一医院原院长，被逮捕！
1700875825# #老公安，老经验，老腐败……五毒俱全。。。《“内鬼”王伟平，被开除党籍》“内鬼”王伟平，被开除党籍
1702433629# #《反转了？“日本人先走”事件后续来了，涉事人员停职，真相曝光》反转了？“日本人先走”事件后续来了，涉事人员停职，真相曝光
1701846027# #把南京“执行”给了安徽？最新：法院已启动追责程序
1700712882# #礼兵护送志愿军烈士棺椁登上运-20专机……
1703025480# #变《法》新椐……！
1701297803# #怀念，敬仰，伟大领袖毛泽东……！
1702444782# #经广东省委批准，广东省纪委监委对原广东省经信委主任赖天生严重违纪违法问题进行了立案审查调查。
1702109646# #广州市原副市长王东接受监察调查
1703987251# #当代最法肓市长——。乐观的辰星ciP：杨永春副市长以傲慢态度拒不履行债务，这种行为令人震惊。据了解，安达镇政府长达17年拖欠一家民营企业上千万元债务，其中包括6...
1701858898# #鲜花鲜花鲜花赞啊
1702635045# #南方新闻网:中纪委连续通报！一天内6人被查处，涉多名国企干部。清风涤尘，利剑惩腐！清风剑反腐
1700360707# #突发！深圳一汽车从楼上掉落
1702947416# #湖南湘潭一女子被狗持续撕咬多处受伤，涉事犬被警方控制，知情人：它还咬死过小狗
1701298505# #转发微博
1702816302# #百害无一利，非常危险的交通工具，……！。长城新媒体:明年起，北京严控老头乐，全国各地加速清退“老头乐”。
1701905405# #为平民英雄点赞！给力赞赞啊赞啊赞啊
1701954510# #脱贫了？。来看看
1703846305# #银行大鳄只擒不杀——。。原中国银行业监督管理委员会党委委员、副主席蔡鄂生受贿、利用影响力受贿、滥用职权案一审宣判
1701559142# #公安部提醒不要将姓名生日设为密码
1703456318# #中航集团原党组成员、中国国际航空股份有限公司原党委书记、董事、副总裁樊澄涉嫌严重违纪违法，目前正接受中央纪委国家监委驻国务院国资委纪检监察组和辽宁省大连市监委纪律审查和监察调查。
1703802849# #只瀑九牛一毛……。。《隐身幕后收钱敛财，非法收受1.08亿余元！原深圳市长陈如桂受审》隐身幕后收钱敛财，非法收受1.08亿余元！原深圳市长陈如桂受审
1702903632# #话粗，但是很经典:“专业的事很扯淡，扯淡的事很专业。”
1703073770# #媒体调查：代孕套餐包性别和出生证报价88万
1702008848# #权大于法？。。撕毁司机超限证人员已被停岗，事发山西吕梁-今日头条
1700777583# #强烈支持这一建议！赞赞赞加油加油加油。伟哥雄起66：国家赔偿应该全部由违法违规的警察、检察官、法官承担！这是中国国际政法研究院院长陈中华在网络上的最新观点，我个人完全赞同！现实生...
1702502920# #新浪发现||大家都在看
1703238357# #国内顶尖学府又换帅了——中央批准：李路明同志任清华大学校长（副部长级）。
1701072058# #支持不为权势的好警察赞赞赞赞啊赞啊赞啊。MS民声:执法现场正能量警察叔叔霸气回怼，做不来就不要做领导。
1703238224# #又一个够范儿的女人——哈哈哈哈哈哈。。行为失范、道德底线失守的落马女官员，认罪悔罪
1703122991# #中国品牌的外国货——。你现在用的品牌是外国品牌，每年在中国赚钱一大笔钱涨知识国货之光护肤好物分享
1702356354# #患有痛风、尿酸偏高的，要少吃羊肉火锅，最好不吃。因为羊肉火锅中嘌呤含量高，嘌呤被人体吸收后进入血液循环，经过代谢之后会产生过多的尿酸，从而引起关节疼痛等症状。
1701759371# #给力赞啊
1703975524# #节日好贴赞啊鲜花鲜花鲜花咖啡
1701049765# #经广东省委批准，广东省纪委监委对广东省司法厅原党委委员，省监狱管理局原党委书记、局长李景言严重违纪违法问题进行了立案审查调查。
1703975380# #『刚刚，央行重磅发布！』
1701575657# #如果群众皮气脾气也大，看到如此暴徒行凶，是不是群众也可以出手击打交警？请当地交警领导为公众解释……！。交警持棍击倒电动车车主后续：交警已被停职，恐面临刑事责任
1701584138# #潮州佬最近入局的比较多。。。当过县委书记、常务副市长的他，退休1年后被开除党籍
1702904838# #一场冬夜北方的雪暂且不写。但是，南方们细雨，却打湿了城市的秘密。一场烟一场冬夜的细雨，打湿了城市的秘密。一场烟雨的故事，朦胧了街灯的写意。雨已停，屋檐还在哭泣……绵绵细雨淡淡萦绕着往昔，悄悄湿润了恬静的街区。那一丝惆怅，那一丝抑郁，恍惚了日子，雾化了雨滴，缓醒了寒冬的记忆。季节的
1701213468# #网络技术正在推进一场史无前例的大变革，变革前沿的将有一大批“匠心”之人的社会地位将获得提升。这其中主要群体就是那些脚踏实地劳动的人，比如说家政服务、水电工、医生、会计、律师、教师、工匠、程序员、设计师、编剧、作家、艺术家等等。互联网已经基本搭建出一个崭新的社会框架，剩下的就是灵魂
1700442985# #缅北战事吃紧，龙岩两地紧急通告
1700777775# #鑫鑫Gold：重庆，一个不存在的学校，却拥有250名公办编制教师，事件曝光后，引起了公众的愤慨。。这些教师长期在一家民办学校任教，这个学校并...
1701246885# #赞给力赞啊
1700434992# #希望混淆是非，颠倒黑白，怨假错案，污告挖坑的案件在中国不再发生……！。。亦舒读书:终于出手了，彻查震惊全国的中医妇女案，终于有了结果！中医传承中医文化
1700954016# #环看全球:深圳龙岗警方通报“民警踩压违法人员脚部”：依规依纪严肃处理
1700381098# #野火烧不尽，春风吹又生，一批没抓完，又来新罪人……！。。深圳一私募基金财务顾问收入近1亿元，偷税3180万元被查
1702686545# #联大压倒性高票通过决议后现场一幕：巴代表鼓掌以代表低头看手机
1702506813# #加油加油加油赞啊赞啊赞啊
1703824657# #英雄一路走好！
1703804782# #如此人才倍出……？
1700777534# #伟哥雄起66：国家赔偿应该全部由违法违规的警察、检察官、法官承担！这是中国国际政法研究院院长陈中华在网络上的最新观点，我个人完全赞同！现实生...
1702679647# #怒不可遏：被告三年从未申报个人财产且亲口承认强制执行期间转移了财产，而执行局局长却说证据不扎实，堂而皇之地在包庇被告！移交公安不成功也没法律文书；国法在他们面前无用❗️（2023.10.29经查:被告被查封三年的安置房竟然在出租！每个月水电费按时缴交！）❗️
1703426124# #了解一下历史知识：。八国联军是哪八国?。日本军8000人；。德国军7000人；。沙俄军4800人；。英国军3000人；。美国军2100人；。法国军800人；。奥匈帝国军580人；。意大利军530人；。总共侵华八国联军26810人。。再了解一下"圣诞节":。1860年12月24号(平安夜)，这一天是八国联军准备进攻北京之夜，被八国联军确定
1700474356# #涉苏荣案的他，9年前“断崖式降级”，今第二次被查
1701916873# #赞啊
1700519844# #天王歌手出车祸——。。突发！郭富城赛车时发生车祸
1703219384# #是老马失前蹄吗？哈哈。帮女郎一帮到底:60多万新车被AITO问界试驾车试驾车撞了陈先生新买的奥迪A7停在路边贴车衣，被AITO问界试驾车撞到要换车门，帮女...
1704067369# #强烈正义的呼吁！。阿凯2O5n：“违法的警官、检察官和法官应全权负担国家赔偿金。”这是陈中华的呼吁，简而言之，对于被冤枉的个体，赔偿责任应由犯错的官员个人承担...
1702330284# #微风费解
1702593920# #习近平总书记在广西南宁市考察调研。
1700555987# #『原山西省长于幼军痛斥：搞成这样，还过个屁年！』
1701315554# #广州市人民政府原副秘书长张建华涉嫌严重违纪违法，主动投案，目前正接受广州市纪委监委纪律审查和监察调查。
1702208111# #房小曼房产:碧桂园突发神经，房子按套卖，总价48万，首付3万，房价一夜回到解放前今日好房推荐实景拍摄高性价比好房今日优质房源...
1703905360# #中央批准：开除龙晓华、袁延文党籍
1703488961# #窝里斗，自己人坑自己人，本性难移……！。。成本不到15元，药价为何能卖到3000元？
1701916765# #赞啊赞给力
1701129771# #原中国保险监督管理委员会深圳监管局党委书记、局长张辉烨涉嫌严重违纪违法，目前正接受中央纪委国家监委驻金融监管总局纪检监察组纪律审查和广东省深圳市监察委员会监察调查。
1701644477# #时光，在岁月的碾磨中粉碎成沫，和着流淌的音韵将生命津染；总有一些梦境，在辗转的流年中忽明忽暗，伴随着弥漫的幽香渐行渐远；总有一些故事，在红尘的静默中蓄积沉淀，凡事概有姻缘，世上本无对错，没有天降陈恋，走过的路隶属迤逦之姻，做过的事纯属缘魔巧合自然。因为严冬，一场场寒烟冷雨邂逅娓娓
1702119159# #皮皮橙ppc：如果腐败犯罪数额达到10亿，但不判处死刑，那么我想知道腐败需要多少亿才能判处死刑？也就是说，无论你犯了多少腐败，都不会被判处死...
1703302189# #郭世邦辞去平安银行行执行董事、董事会风险管理委员会委员、关联交易控制委员会委员及副行长职务。
1700904663# #极目新闻:男子被制伏后遭穿公安制服人员多次踩踏脚踝，派出所：执法可能存在不妥，视频掐头去尾，正在还原事情经过
1702169202# #将来登的都是大监狱……？哈哈哈哈哈哈
1702939281# #没想到南宁也会这么冷？竟然比越南还冷，是不是地球运动规律也认人？怎算完成任务了，今天下午打道回府……！
1700636937# #老鼠拖木𣔙，大头在后边……！。《让许家印高兴的事情发生了，估计许家印做梦都能够笑醒！》播放量：15万。点赞量：9693
1701768726# #原则性乌龙。。。今日头条
1702285970# #17岁参加工作的女省委委员落马！上周落马的一位中管干部，很特殊
1702980374# #亲生女儿为什么会大逆不道……？。。多才多艺圆月Oi:父亲攒钱供女儿留学，却被骂畜生？简直令人愤怒！教育社会真实故事
1700738336# #广东省人大常委会原副主任李春生受贿案一审开庭
1701163944# #郴州市人民政府办公室原二级巡视员庹登军涉嫌严重违纪违法，目前正接受郴州市纪委监委纪律审查和监察调查。
1702961905# #富豪艺超级狂……！。今日头条
1702774183# #小偷审判贼——新鲜。。。今日头条
1702855014# #推高房价的又一个无形脚……！
1700865196# #缅甸佤邦枪决犯人真实影像，警察羁押公开审判，现场直接拉去枪决
1701652908# #新浪热搜皂角树热搜北京爆料非法拆迁，无法无天，有法不依，恃强凌弱，施用暴力，巧取豪夺，坑蒙拐骗，毫无人道不履行告知义务，没有执法依据，没有实物登记，没有执法视频，没有执法记录，背着当事人搞偷袭强拆这是湖南隆回县鹏阳集团开发区2017年发生的事件事件
1701869585# #给力赞啊
1701740695# #更严！酒驾新标准来了！
1700735294# #广东刚刚任免三位副省长
1701049564# #日前“社保缴满15年后能坐等退休吗”这一话题登上热搜关于社保缴纳过程中的诸多问题
1703036901# #希望依法公平，公正，快速，结案。
1702983242# #为什么腐败贪官都是高层权重人员……？。。今日头条
1700349370# #《受贿数额特别巨大！赖泽华被公诉，曾任广东两地市委书记》受贿数额特别巨大！赖泽华被公诉，曾任广东两地市委书记
1703717554# #❤️大，胆儿大，腹部逐渐扩大，肿瘤按摩可刺激肿瘤快速增长，后果很严重——破裂，万一转移等后果不堪设想……！希望姑娘早点康复！鲜花鲜花鲜花
1703978734# #被错疑的正常“案例”……！。。深圳一女子肛检后称被性侵，是肛诊的错？关于肛诊，一文告诉你
1702942819# #加油赞啊咖啡
1700605195# #深圳特区的范儿……！。。《百亿私募董事长疑似跑路，深圳办公室“人去楼空”》播放量：7695。点赞量：71
1703418983# #广东省卫生健康委党组成员、副主任，省中医药局党组书记、局长徐庆锋涉嫌严重违纪违法，目前正接受广东省纪委监委纪律审查和监察调查。
1703138770# #4舰齐发！以色列输太惨了，美国先撑不住，放任以方陷入战争深渊
1700866593# #实名举报公检法……！。《伪造证据对我报复陷害法律程序空转结束》伪造证据对我报复陷害法律程序空转结束
1701233765# #《深圳海关查获K粉8.6公斤，藏在红色硅胶球体内入境》深圳海关查获K粉8.6公斤，藏在红色硅胶球体内入境
1703892734# #商家的经济争夺战不断相互撕咬……！。新浪发现||阿里被判赔京东10亿
1701213094# #宏观调控失控谁之过？。。《长江以北最大“烂尾空置城”，房奴声讨“血债血偿”，一拼到底！》播放量：3.9万。点赞量：2533
1702432641# #赞赞啊咖啡
1700523550# #突然辞职的周军，官宣被查
1701082877# #经济萧条说明了什么？。。《深圳一公司回应给员工放假10个月：属实，没人提离职，公司也没钱赔》播放量：2.7万。点赞量：139
1701928341# #《深圳紧缺专业公务员专项招录601人》播放量：5.3万。点赞量：202
1704031737# #贪官贪腐的钱远远超过全国免费医疗的数额，难道医保官不识数吗？。人大代表提议免医疗费，医保局回应了！60岁以上老人该怎么办？
1701303073# #李连杰：已交代后事
1702775771# #法院法律文书，时间，内容，仍至标点符号都是非常严谨的，如此猫腻后面估计瘾秽着肮脏的交移……？
1703808178# #河源市国有资产监督管理委员会党委副书记、主任疏纲涉嫌严重违纪违法，目前正接受河源市纪委监委纪律审查和监察调查。
1702069897# #这个建议非常好，必定会得到广大公众的支持！加油加油加油赞啊赞啊赞啊。热情帆船Z8k：在赵润田同志提出的“贪污50万必须判死刑”的建议后，整个社会陷入了前所未有的震惊和争议之中。赵润田同志的建议引起了广泛的讨论...
1703893233# #看台海:“兵分多路进入台海”台媒紧盯：解放军26架次机舰在台海周边活动看台海
1701559035# #赞赞啊
1702891046# #话筒话筒话筒加油加油加油
1700366813# #事发湖北省襄阳市——。《情绪失控！叶有芝为保命“咬”出13名“保护伞”，仍无法逆天改命》情绪失控！叶有芝为保命“咬”出13名“保护伞”，仍无法逆天改命
1702169351# #赞啊
1702185325# #当一个法官背离职业道德，参与腐败行为时，这不仅对司法公正造成了极大的伤害，也动摇了人们对整个司法体系的信任。
1701839093# #鲜花鲜花鲜花赞啊
1703201092# #《严俊被双开,曾任上港集团总裁》播放量：3836。作者：抽屉视频
1701918666# #如此杂乱无章的学校，说明该校领导对于学校管理有问题，应该追究刑事责任。
1702773963# #真正的惠民加油赞啊赞啊赞啊
1703394798# #经广东省委批准，广东省纪委监委对广东省湛江市纪委原副书记、市监委原副主任陈靖宇严重违纪违法问题进行了立案审查调查。
1703839624# #美国政府还是怕硬的。。金正恩下令后，美方迅速表态
1701686416# #广西北海摊贩被城管持刀打骂反赔5000元，是正常执法还是行凶敲诈-今日头条
1700866081# #金融制度失控，管理不善，导致国家损失惨重，到头来还是纳税人买单，所以，银行工作人员九成都信不过……！
1704016579# #明起实施！广东明确这些项目不列入医院特需服务，不得挤占基本医疗服务资源
1702020403# #实名举报——。。黄恩乐在普陀2:实名举报武汉大学教授汤志刚！
1701846005# #深圳公车私用——。。今日头条
1701741592# #《新规定来了，12月1号开始，老板不用给每位员工买社保了》新规定来了，12月1号开始，老板不用给每位员工买社保了
1701397327# #于人为善！
1702169300# #贪的越多越好越安全，反正不会枪毙……！
1702379857# #没有素质的人为什么都像母老虎？。巨流视频:12月10日，重庆。特斯拉女司机加塞未成别停后车，“你是人吗？活该你开哈弗”
1700542916# #收费站为什么胆赦公开违法……？。《高速女收费员拒收现金，司机询问被怒骂别找不自在！》高速女收费员拒收现金，司机询问被怒骂别找不自在！
1701322238# #嚣张跋扈的职业杀手……！。《贺州一交警执勤持棍当街击倒过路电动车交警回应：已成立工作组调查广西贺州交警当街击倒电动车》贺州一交警执勤持棍当街击倒过路电动车交警回应：已成立工作组调查广西贺州交警当街击倒电动车
1702634511# #广东省委第十三巡视组原组长闫宝璋涉嫌严重违纪违法，目前正接受广东省纪委监委纪律审查和监察调查。
1702942795# #赞啊咖啡鲜花
1703759798# #只有更大的，没有最大的……。。第二个恒大出现了-今日头条
1701904367# #广东省交通运输厅水运管理处四级调研员谢东明（广东兴宁人）涉嫌严重违纪违法，目前正接受广东省纪委监委驻省交通运输厅纪检监察组纪律审查和清远市监委监察调查。。。
1702679600# #话筒话筒话筒
1703892015# #该系统从上到下都存在严重问题，领导如此，何况员工？就看银行的霸道条款和工作作风就知道金融制度体系监管混乱……！
1703029666# #人力资源和社会保障部事业单位人事服务中心原副主任、纪委书记刘敏超涉嫌严重违纪违法，目前正接受中央纪委国家监委驻人力资源和社会保障部纪检监察组纪律审查和陕西省商洛市监委监察调查。
1701497852# #希望普京大帝继续连任。赞赞赞
1701388189# #我赞同赵润田同志的一句“贪污50万者，当判死刑”，犹如一枚重磅炸弹，让整个社会陷入了空前的震撼与争论之中。这个建议，不仅仅是一句简单的提议，更是一声对社会公正的呐喊，一股强烈的清风，吹皱了一池平静的水。。对于贪腐的干部，我国的态度是严厉的。不仅要依法处理，还要追回他们的非法所得。这
1702968790# #潮安检察:广东省委第二巡视组原组长苏全贵被开除党籍和公职
1702648988# #广州老陳说房:居民存款创新高，老百姓是真的有钱了吗？&nbsp;存款&nbsp;&nbsp;民生&nbsp;
1703824563# #赞啊赞
1700826914# #《传解放军将组建第六军种，如果落地那真将天下无敌，值得期待》传解放军将组建第六军种，如果落地那真将天下无敌，值得期待
1703829890# #故意对无罪的人采取刑事强制措施！公安局原局长被开除党籍
1703816938# #人社部：公务员（含退休）被拘留、逮捕、判刑后，工资待遇如何处理？
1702518618# #校长如此草菅人命应该也快完蛋了。。触视觉:学生突发急病倒地校长：不能送医院送医院就完蛋了
1700434096# #柿子红，鸟出笼，扒表皮，挖腐茸……！咖啡赞啊
1702075397# #这种局面是谁一手造成的？
1703201221# #《上港集团原总裁严俊被开除党籍和公职》播放量：56。作者：改梦寒T
1703992322# #《年终侃山》。一晃又一年，转眼到了2023最后一天。俗话说：开年是门，收年是坎。一年一度，一载一坎。人的一生每每天天出门进门都是在跨门越槛：抬头是门低头是槛，顺利是门羁绊是槛。凡事泪为因笑为果，晴天为因彩虹是果。如遇门槛羁绊，切莫停留在门前。一天一天，一年一年，年年天天，天天年年。人
1701815882# #给力
1701814695# #《1979年邓小平和汪东兴的不同看法：历史回顾》1979年邓小平和汪东兴的不同看法：历史回顾
1702982231# #鲜花鲜花鲜花
1703679737# #经湖北省委批准，湖北省纪委监委对恩施土家族苗族自治州人民政府原党组成员、副州长，州公安局原党委书记、局长田军严重违纪违法问题进行了立案审查调查。
1702261322# #【粤政一周】广东任命一批市厅级干部
1700722920# #慕了！深圳一公司实行4天工作制，“早10晚4”不鼓励加班，公司回应：为提高工作效率和创造力
1703852499# #《十四届全国人大常委会第七次会议在京闭幕》新华社北京12月29日电十四届全国人大常委会第七次会议29日下午在北京人民大会堂闭幕。闭幕会后，十四届全国人大常委会举行第八讲专题讲座，赵乐际委员长主持。
1702206775# #认贼作父。。。三衢新闻:两人都迟到，日本乘客优先登机。中医乘客被滞留机场，航空公司：只是偶发性过错日本崇洋媚外是一种病航空公司...
1701740848# #杨玲被开除党籍！与他人长期保持不正当性关系，受贿数额特别巨大！
1703501572# #《中央军委举行晋升上将军衔仪式习近平颁发命令状并向晋衔的军官表示祝贺》中央军委主席习近平出席晋衔仪式。晋升上将军衔的2位军官精神抖擞来到主席台前。习近平向他们颁发命令状，表示祝贺。
1703510751# #为什么同样案件，百姓要拘留，政府不蛮横无理……！。《三农快评黑龙江安达：百姓欠钱拘留政府欠钱没事儿谁在蔑视法律？》三农快评黑龙江安达：百姓欠钱拘留政府欠钱没事儿谁在蔑视法律？
1702982607# #费解家庭教育，社会教学，生活社交，人文交往，伦理道德等一系列的社会复杂问题是当今世界的最大难题，函需多学科的深层科学研究……！
1702816727# #12337——。。用户WJzhunrenshenghe:严厉打击违法犯罪严打保护伞严打村霸还我父母公道
1702169376# #赞啊咖啡
1703998634# #【最高法：无以房抵债协议，但相关证据相印证，形成完整有效证据链，且无相反证据推翻，可认定以房抵债事实确实存在】
1701342138# #吹黑哨，杜裁，乱判，收黑钱在中国见怪不怪了……！。。倩姐教育说:好消息，给全～红婵打8分的裁判找到了！大家说说该不该处罚全红婵全红婵粉丝怒斥裁判压分
1702518282# #加油加油加油赞啊赞啊赞啊
1703987907# #城管任性执法抽走工人梯子，工人意外坠亡谁担责？结局令人唏嘘！
1702432579# #今天早上开会，我讲了一句话:“凡是腐败党员干部给下属开廉政工作会议，都是贼喊捉贼”当时场景——哑雀无声，当时在想，哪儿说错了？错在哪了？
1701503481# #嚣张跋扈至极……。。。巡视组进驻后，他扬言“谁向巡视组乱告状就收拾谁”
1701921184# #庭审现场——。《最高法庭审理八旬老人起诉ZF违法强征土地》最高法庭审理八旬老人起诉ZF违法强征土地
