1704125383# #和成毅点亮微博之夜CY成毅狐妖小红娘王权篇CY成毅王权富贵18
1691335571# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅，我只是单纯的想你，心灵却似有了充实的寄托。
1691768848# #成毅超话成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“从角色中来，回到角色中去，未来我会继续努力的。”
1703335366# #微博跨年狂欢节可以预约成毅了！还可以冲跨年晚会现场门票！快来和我一起冲！.
1703335396# #成毅超话微博网友喜爱剧集cy微博跨年开幕官成毅。时光静好，与君语；细水流年，与君同；繁华落尽，与君老。成毅。成毅｜狐妖小红娘王权篇｜王权富贵｜莲花楼｜李莲花｜李相夷
1703335714# #微博跨年狂欢节可以预约成毅了！还可以冲跨年晚会现场门票！快来和我一起冲！^^
1703514942# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1693320506# #成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅：“因为只要你自己喜欢，有梦想的话，你去做的过程当中就会很有动力。”
1693402168# #成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅，你是我的窦房结，是我心脏的起搏点
1690988509# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。能遇到你喜出望外欢心雀跃你就是我的人间四月天送花花送花花
1690559208# #成毅超话成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“只要自己喜欢，有梦想的话，你去做的过程当中就会很有动力，就不会觉得今天怎么这么累，就抱怨，没有，反而觉得你今天累一点，说不定以后就会对你这个角色人生体会到不一样的东西，你就会更好！”
1703335869# #我推荐为2023微博网友喜爱人物，与光影共绚烂，与赤诚赴热爱，期待TA盛装赴约！快来微博之夜推荐你心中的微博网友喜爱人物，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1691854306# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅，今天上午有点想你，下午转一直想你，晚上转为持续想你
1691509383# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅，你是我的窦房结，是我心脏的起搏点
1704124415# #和成毅点亮微博之夜CY成毅狐妖小红娘王权篇CY成毅王权富贵100
1693320526# #人生因有梦想，而充满动力。不怕你每天迈一小步，只怕你停滞不前；不怕你每天做一点事，只怕你无所事事。坚持，是生命的一种毅力！执行，是努力的一种坚持！
1698076125# #不仅要为成功而努力，更要为做一个有价值的人而努力。命运不是机遇，而是选择；命运不靠等待，全靠争取。成熟就是学会在逆境中保持坚强，在顺境时保持清醒。时间告诉你什么叫衰老，回忆告诉你什么叫幼稚。只有在我们不需要外来的赞许时，心灵才会真的自由。
1703432580# #成毅超话微博KING和QUEENcy成毅。成毅，那些看似不起波澜的日复一日，会突然某一天让人看到坚持的意义。
1687787832# #成毅超话夏日青春派对超话星愿池成毅，你是人间四月天，是我一生最爱的风景。
1690295972# #成毅超话成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“只要自己喜欢，有梦想的话，你去做的过程当中就会很有动力，就不会觉得今天怎么这么累，就抱怨，没有，反而觉得你今天累一点，说不定以后就会对你这个角色人生体会到不一样的东西，你就会更好！”
1690988442# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅，我只是单纯的想你，心灵却似有了充实的寄托。
1703514252# #世间善德之事，提得起，放得下，算得到，做得完;看得破，撇得开，若通此理，无事不成
1696173551# #心
1702569331# #我正在微博跨年狂欢节预约2024跨年嘉宾，可以冲跨年晚会现场门票！快来和我一起参与吧！。微博跨年开幕官成毅cy成毅
1700888780# #哥哥唱歌就是好听
1693579378# #成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅，你是我的窦房结，是我心脏的起搏点
1690905402# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅，你是我的窦房结，是我心脏的起搏点
1703432506# #微博跨年狂欢节可以预约成毅了！还可以冲跨年晚会现场门票！快来和我一起冲！~~
1687966107# #成毅超话夏日青春派对超话星愿池成毅逆光而来，敬人以谦和，待人以温暖，处事以真诚，将“我是演员”刻入灵魂，愿清风常伴，一路鲜花掌声
1692327134# #宝贝很期待你的下一个作品
1703514288# #成毅超话微博KING和QUEENcy成毅。成毅，那些看似不起波澜的日复一日，会突然某一天让人看到坚持的意义。
1703335848# #我获得了微博之夜纯粹卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1703432639# #我推荐为2023微博网友喜爱人物，与光影共绚烂，与赤诚赴热爱，期待TA盛装赴约！快来微博之夜推荐你心中的微博网友喜爱人物，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1690988487# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅：“感谢我的果果们一直追随着我，陪伴着我。我对你们的要求从来只有一个，那就是希望你们开心心下去，也希望你们都能找到属于自己的小幸福。”
1688048659# #成毅超话夏日青春派对超话星愿池你如清风，吹进我的世界，又如明月，照耀在我的身上。我满眼是你，如星辰般闪耀打call
1703948057# #勿以恶小而为之，勿以善小而不为。――三国刘备
1691335587# #成毅超话成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“我不是演绎角色，我就是角色本身。”
1704207782# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？驾驭高能时刻来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1704124420# #和成毅点亮微博之夜CY成毅狐妖小红娘王权篇CY成毅王权富贵17
1690296574# #成毅超话成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“即使遭受过别人的否定，自己也不要放弃自己，要告诉自己，做什么都行，不能失败，才能走的更远；如果自己放弃了自己，那么别人肯定更加会放弃你。”
1703515013# #微博跨年狂欢节可以预约成毅了！还可以冲跨年晚会现场门票！快来和我一起冲！~
1703515016# #我正在微博跨年狂欢节预约成毅，还有机会赢跨年晚会现场门票！快来和我一起参与吧~！
1703432515# #我正在微博跨年狂欢节预约成毅，还有机会赢跨年晚会现场门票！快来和我一起参与吧~！
1692530003# #成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅：“因为只要你自己喜欢，有梦想的话，你去做的过程当中就会很有动力。”
1693579387# #成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅：“希望观众喜欢我演的角色，对我来说是最大的肯定，最大的开心。”
1693402180# #我们不要哀叹生活的不幸，诅咒命运的不公。在命运面前，我们要做强者，掐住命运的咽喉，叩问命运，改变命运。
1690296580# #成毅超话成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“我重新思考了执着、努力、遗憾、放下，它们会一直伴随着我，这就是成长吧。”
1704207676# #微博跨年狂欢节我已推荐我心中的2024跨年最佳舞台，快来为你喜欢的舞台点亮加油吧！
1690473009# #成毅超话成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“只要自己喜欢，有梦想的话，你去做的过程当中就会很有动力，就不会觉得今天怎么这么累，就抱怨，没有，反而觉得你今天累一点，说不定以后就会对你这个角色人生体会到不一样的东西，你就会更好！”
1690473015# #成毅超话成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“我重新思考了执着、努力、遗憾、放下，它们会一直伴随着我，这就是成长吧。”
1691250218# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅：“感谢我的果果们一直追随着我，陪伴着我。我对你们的要求从来只有一个，那就是希望你们开心心下去，也希望你们都能找到属于自己的小幸福。”
1690988432# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅：“感谢我的果果们一直追随着我，陪伴着我。我对你们的要求从来只有一个，那就是希望你们开心心下去，也希望你们都能找到属于自己的小幸福。”
1691335579# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅，你是我的窦房结，是我心脏的起搏点
1703335717# #我正在微博跨年狂欢节预约成毅，还有机会赢跨年晚会现场门票！快来和我一起参与吧~。
1703432658# #我推荐《莲花楼》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1703335904# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！^^
1691768844# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅，你是我的窦房结，是我心脏的起搏点
1690295978# #成毅超话成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“我重新思考了执着、努力、遗憾、放下，它们会一直伴随着我，这就是成长吧。”
1690819045# #成毅超话成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“从角色中来，回到角色中去，未来我会继续努力的。”
1697900138# #真正的善良，无须剪红刻翠，无须粉黛雕饰，它本身就是人们内心最原始的一种纯朴的感情精华。
1703335335# #如果你有梦想的话，就要去捍卫它。那些一事无成的人想告诉你你也成不了大器。如果你有理想的话，就要去努力实现。--《当幸福来敲门》
1703335719# #我正在微博跨年狂欢节预约成毅，还有机会赢跨年晚会现场门票！快来和我一起参与吧~。
1696258703# #当你周围都是米的时候，你很安逸；当有一天米缸见底，才发现想跳出去已无能为力。有一种陷阱，名叫安逸！别在最能吃苦的年纪选择安逸！没有危机！是最大的危机！自己不上进，危机无处不在吞噬你的理想和灵魂，混下去很容易，混上去太难了。
1703335370# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！。
1691250210# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅：“希望观众喜欢我演的角色，对我来说是最大的肯定，最大的开心。”
1692277529# #成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅，今天上午有点想你，下午转一直想你，晚上转为持续想你
1700904216# #心
1690559212# #成毅超话成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“我重新思考了执着、努力、遗憾、放下，它们会一直伴随着我，这就是成长吧。”
1696173563# #爱你
1696173557# #抱一抱
1690819035# #成毅超话
1689954762# #抱一抱
1703335368# #微博跨年狂欢节可以预约成毅了！还可以冲跨年晚会现场门票！快来和我一起冲！。
1691854314# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。能遇到你喜出望外欢心雀跃你就是我的人间四月天送花花送花花
1703335901# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！！
1694616308# #宝这个话是不是有点熟悉呀允悲
1703432447# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！。微博KING和QUEENcy成毅。成毅，那些看似不起波澜的日复一日，会突然某一天让人看到坚持的意义。
1696694324# #我们不要哀叹生活的不幸，诅咒命运的不公。在命运面前，我们要做强者，掐住命运的咽喉，叩问命运，改变命运。
1703432698# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！~~
1704207433# #成毅超话微博网友喜爱人物cy成毅。当然是我的电子哈基米，我唯一的哈基米。成毅｜狐妖小红娘王权篇｜王权富贵｜莲花楼｜李莲花｜李相夷
1690559225# #成毅超话成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“我重新思考了执着、努力、遗憾、放下，它们会一直伴随着我，这就是成长吧。”
1690473005# #成毅超话成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“努力的最大动力，在于你可以选择你想要的生活，而不是被生活选择。”
1704207687# #微博跨年狂欢节我已推荐我心中的2024跨年最佳舞台，快来为你喜欢的舞台点亮加油吧！
1701011661# #成毅超话超话星愿池非正式跨年派对成毅的演技如同缓缓流淌的溪水，柔和而坚定。
1692113302# #成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“我不是演绎角色，我就是角色本身。”
1703432696# #我正在微博跨年狂欢节预约成毅，还有机会赢跨年晚会现场门票！快来和我一起参与吧~！
1703432692# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！.
1691509379# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅：“因为只要你自己喜欢，有梦想的话，你去做的过程当中就会很有动力。”
1690905411# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅，今天上午有点想你，下午转一直想你，晚上转为持续想你
1687966111# #成毅超话夏日青春派对超话星愿池成毅小可爱，愿你成为自己的太阳，无需借他人的光
1696434203# #打破沉默，到达世界的尽头，坚强的，有尊严的活着，为了自己的理想和追求，敢于解开捆住手脚的软弱和无知，赶走懦弱，活出你的精彩，活出你坚强的人生，绝对不是奢求，坚强的活着已经成为一种习惯，而且要持之以恒。
1700888801# #ie只为成毅而来
1701011656# #成毅超话超话星愿池非正式跨年派对成毅：“坚持着自己的梦想，努力拍戏。”
1696000484# #心
1697557999# #心
1699371868# #黎明前夕天黑暗，起床观看看不见，打开客厅灯再看，看到天空雾漫漫，云雾弥漫遮光暗，暗中透出亮点点，待到东方红日升，迎朝阳前程似锦！
1697989328# #我今夜跑尽这空无一人的街道，明天，明天起来后我要重新做人，我要成为宇宙的孩子，世纪的孩子，挥霍我自己的青春。
1690295968# #成毅超话成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“努力的最大动力，在于你可以选择你想要的生活，而不是被生活选择。”
1701011690# #一粒尘埃，在空气中凝结，最后生成磅礴的风雨；一粒沙石，在蚌体内打磨，最后结成昂贵的珍珠。有时候，渺小的开始，可以成就雄伟而宏大的事业；有时候，平凡的开始，可以走出崇高而伟大的人生。爱你
1691335583# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅，今天上午有点想你，下午转一直想你，晚上转为持续想你
1693320517# #成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。能遇到你喜出望外欢心雀跃你就是我的人间四月天送花花送花花
1704208789# #成毅超话十大剧集名场面cy微博跨年开幕官成毅。时光静好，与君语；细水流年，与君同；繁华落尽，与君老。成毅。成毅｜狐妖小红娘王权篇｜王权富贵｜莲花楼｜李莲花｜李相夷
1703514980# #我推荐《莲花楼》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1692277536# #成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“我不是演绎角色，我就是角色本身。”
1703774886# #居家之善，无非勤俭持家，孝养父母，严教子女。
1697471814# #鱼搅不浑大海，雾压不倒高山，雷声叫不倒山岗，扇子驱不散大雾。鹿的脖子再长，总高不过它的脑袋。人的脚指头再长，也长不过他的脚板。人的行动再快也快不过思想！
1697642406# #与其羡慕他人智慧，不如自己勤奋补拙；与其羡慕他人优秀，不如自己奋斗不止；与其羡慕他人坚强，不如自己百炼成钢；与其羡慕他人成功，不如自己厚积薄发。
1696514463# #既然人生的幕布已经拉开，就一定要积极的演出；既然脚步已经跨出，风雨坎坷也不能退步；既然我已把希望播在这里，就一定要坚持到胜利的谢幕……
1703335358# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！。微博网友喜爱人物cy成毅。当然是我的电子哈基米，我唯一的哈基米。成毅｜狐妖小红娘王权篇｜王权富贵｜莲花楼｜李莲花｜李相夷
1697384347# #懂得如何避开问题的人，胜过知道怎样解决问题的人。在这个世界上，不知道怎么办的时候，就选择学习，也许是最佳选择。胜出者往往不是能力而是观念！
1703514284# #成毅超话微博网友喜爱人物cy成毅。当然是我的电子哈基米，我唯一的哈基米。成毅｜狐妖小红娘王权篇｜王权富贵｜莲花楼｜李莲花｜李相夷
1704468818# #成毅超话成毅狐妖小红娘王权篇cy成毅王权富贵。。时光静好，与君语；细水流年，与君同；繁华落尽，与君老。成毅。。成毅｜狐妖小红娘王权篇｜王权富贵｜莲花楼｜李莲花｜李相夷
1702914966# #以作善降祥为受用，以乐天知命为依归。――清金兰生《格言联璧》
1690819040# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅：“希望观众喜欢我演的角色，对我来说是最大的肯定，最大的开心。”
1704208784# #成毅超话微博KING和QUEENcy成毅。成毅，那些看似不起波澜的日复一日，会突然某一天让人看到坚持的意义。
1700888855# #成毅爱奇艺尖叫之夜cy成毅。成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅🥝成毅
1697299155# #抱一抱
1704125381# #和成毅点亮微博之夜CY成毅狐妖小红娘王权篇CY成毅王权富贵81
1704124418# #和成毅点亮微博之夜CY成毅狐妖小红娘王权篇CY成毅王权富贵72
1704037101# #人生是一种无法抗拒的前进。自由是独立，不依附，不恐惧。不要让未来的你，讨厌现在的自己。我正在努力变成自己喜欢的那个自己。与其祈求生活平淡点，还不如自己强大点。
1700888703# #我们要学会珍惜我们生活的每一天，因为，这每一天的开始，都将是我们余下生命之中的第一天。除非我们即将死去。--《美国美人》
1688048653# #成毅超话夏日青春派对超话星愿池成毅，你是森林迷途中的溪流，深夜稻田里的萤火
1703514292# #成毅超话十大剧集名场面cy微博跨年开幕官成毅。时光静好，与君语；细水流年，与君同；繁华落尽，与君老。成毅。成毅｜狐妖小红娘王权篇｜王权富贵｜莲花楼｜李莲花｜李相夷
1703859618# #与其羡慕他人智慧，不如自己勤奋补拙；与其羡慕他人优秀，不如自己奋斗不止；与其羡慕他人坚强，不如自己百炼成钢；与其羡慕他人成功，不如自己厚积薄发。
1698939945# #成毅超话一粒尘埃，在空气中凝结，最后生成磅礴的风雨；一粒沙石，在蚌体内打磨，最后结成昂贵的珍珠。有时候，渺小的开始，可以成就雄伟而宏大的事业；有时候，平凡的开始，可以走出崇高而伟大的人生。
1691509389# #成毅超话成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“从角色中来，回到角色中去，未来我会继续努力的。”
1703432453# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！^^
1691854310# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅，我只是单纯的想你，心灵却似有了充实的寄托。
1690905397# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅：“希望观众喜欢我演的角色，对我来说是最大的肯定，最大的开心。”
1703335884# #我推荐《莲花楼》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1703335722# #微博跨年狂欢节可以预约成毅了！还可以冲跨年晚会现场门票！快来和我一起冲！.
1690988437# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。能遇到你喜出望外欢心雀跃你就是我的人间四月天送花花送花花
1704207441# #成毅超话十大剧集名场面cy微博跨年开幕官成毅。时光静好，与君语；细水流年，与君同；繁华落尽，与君老。成毅。成毅｜狐妖小红娘王权篇｜王权富贵｜莲花楼｜李莲花｜李相夷
1701011673# #成毅超话超话星愿池非正式跨年派对成毅用他精湛的演技塑造了一个个鲜活立体的角色，让人印象深刻。
1692113294# #成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅，今天上午有点想你，下午转一直想你，晚上转为持续想你
1691335575# #成毅超话成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅：“希望观众喜欢我演的角色，对我来说是最大的肯定，最大的开心。”
1701092119# #相信梦想是价值的源泉，相信眼光决定未来的一切，相信成功的信念比成功本身更重要，相信人生有挫折没有失败，相信生命的质量来自决不妥协的信念。心
1693402174# #成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。成毅：“因为只要你自己喜欢，有梦想的话，你去做的过程当中就会很有动力。”
1703432455# #微博跨年狂欢节可以预约成毅了！还可以冲跨年晚会现场门票！快来和我一起冲！~~
1701092182# #成毅超话超话星愿池非正式跨年派对成毅：“心里预设踏踏实实做好每一天，”
1690559204# #成毅超话成毅cy成毅莲花楼cy成毅李莲花李相夷cy莲花楼。。成毅：“努力的最大动力，在于你可以选择你想要的生活，而不是被生活选择。”
1690905455# #莲花楼我的评分：星星星星星星星星星星。莲花楼真的好好看，大家走过路过不要错过
1688136805# #成毅超话夏日青春派对超话星愿池成毅演技感染力好，成毅演技共情力强，成毅破碎感棒！演员成毅，未来可期！
1699025618# #激励自己的不是心灵鸡汤励志语录，而是那些比自己优秀的人还在努力。所以请努力到无能为力，拼搏到感动自己，努力，只为遇见最好的自己。
1704125378# #和成毅点亮微博之夜CY成毅狐妖小红娘王权篇CY成毅王权富贵69
1692529993# #成毅莲花楼cy成毅李莲花李相夷cy莲花楼cy成毅。。能遇到你喜出望外欢心雀跃你就是我的人间四月天送花花送花花
1704468790# #成毅超话成毅狐妖小红娘王权篇cy成毅王权富贵。。当然是我的电子哈基米，我唯一的哈基米。成毅｜狐妖小红娘王权篇｜王权富贵｜莲花楼｜李莲花｜李相夷
1700322276# #打破沉默，到达世界的尽头，坚强的，有尊严的活着，为了自己的理想和追求，敢于解开捆住手脚的软弱和无知，赶走懦弱，活出你的精彩，活出你坚强的人生，绝对不是奢求，坚强的活着已经成为一种习惯，而且要持之以恒。
1688136813# #成毅超话夏日青春派对超话星愿池成毅，你如清风一样带来无比心动的瞬间，犹如闪闪发光的星星指引我们前进。心
1704208780# #成毅超话微博网友喜爱人物cy成毅。当然是我的电子哈基米，我唯一的哈基米。成毅｜狐妖小红娘王权篇｜王权富贵｜莲花楼｜李莲花｜李相夷
1703432518# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！
