1689430922# #我天，这也太好看了吧憧憬憧憬
1702802350# #啊啊啊啊啊
1700393088# #歌手张杰超话快来wx小橙序『咪咕星球』一起为爱心公益助力，我们在给你小心心星星星球给你小心心等你哦~
1695794487# #林俊杰拍张杰。这不是张杰演唱会上的我吗dogedoge。一边拿着手机疯狂对焦。一边努力挥舞着荧光棒。跟着节奏：左！右！左！右！。张杰军训现场心张杰
1693652736# #随时随地发现新歌
1704091851# #2024一切顺利，多多见面送花花
1696342024# #少年中国说
1699436912# #张杰张杰送花花送花花
1695493420# #花絮赶紧的
1699841950# #好棒啊张杰
1697559516# #刚下班给我看得睡不着了。。顶级歌手和KTV歌手哈哈哈哈哈哈哈哈哈哈
1699712787# #张杰太会唱啦
1701143188# #张杰超话浙江新增大屏。王子🤴🏻公主👸🏻请干活
1704161160# #哥哥，好好休息，今年见哦爱慕爱慕爱慕爱慕
1696170715# #最近速度都挺快哈保持心
1701321879# #空腹16小时启动自噬功能吓到我了。最近晚班一天一顿饭跪了跪了
1701393144# #张杰1220生日快乐打call
1691680067# #一起期待心明天一切顺利，注意安全哦
1703851946# #张杰超话张杰未你好吗跨年演唱会。身骑白马。。不管危不危险，都要放下一切跟你走vx群
1700312202# #请尽快处理该违规用户，共同营造良好的网络环境，谢谢！
1701750684# #张杰说我想唱苦情歌了这难道是一个预告思考，那我得期待一下了，宝贝真是藏不了一点呢
1693328159# #🐴一个打call打call打call
1701499004# #小瓶子，微博万达大屏✅
1690870407# #来啦来啦
1700387579# #快来wx小橙序『星饭乐园』一起为公益事业助力，我们在给你小心心星星乐园给你小心心等你哦~
1699076229# #啊啊啊啊啊好想你送花花送花花
1695810374# #恭喜张杰🎉少年自有少年强
1700366400# #多发爱看送花花送花花
1703761162# #北斗照亮前方路，星星无惧岁月长苦涩苦涩
1694346199# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1691841761# #啊啊啊啊啊啊啊啊啊啊好帅好帅抱一抱抱一抱抱一抱抱一抱
1696252392# #哈哈哈哈，你终于重新发出来了哈哈哈哈哈哈
1688825813# #杰星就是最甜的心
1695317470# #张杰张碧晨合唱坚如磐石同名主题曲真是幸福的星星，随时随地发现听歌🎵
1695099298# #人人公益节我在微博公益柿集为为乡村教育撑起希望捐赠了5颗好柿，为打CALL，让【
1701049470# #存抖🎵直播全程
1701269863# #不做的明年抢不到票
1697598868# #张杰超话备忘录📝：杰杰微博。8月自存哇哇总34心心。张杰只吃糖不吃苦送花花送花花
1701015955# #好可爱啊彩虹屁彩虹屁彩虹屁
1693161926# #啊啊啊啊啊啊啊啊啊啊
1698990776# #张杰超话张杰时光音乐会老友记。哈哈哈哈，我哥小表情好多哈哈哈哈哈哈
1697857761# #身材比例太好了
1690818575# #杰杰好帅好帅哇哇哇
1697703365# #张杰超话你的乐我的事打call乐事品牌代言人张杰自存乐事活动录屏送花花。2023.10.19，鼻音好重啊，注意身体哦爱你
1689420189# #张杰未live巡回演唱会火鸟啊，长沙也要听张杰演唱会
1695231242# #哈哈哈哈大半夜的污污污害羞害羞
1695447649# #期待张杰打call打call
1696349214# #每日一善超话每日一善🍎人人公益节🍎阳光信用。懂得宽恕，懂得原谅，开心的是自己，懂得淡泊名利，懂得享受生活，放松的是自己，懂得珍惜，懂得关心，自己不会有遗憾，人生需要懂得很多，开心了就会放松，放松了活得就不遗憾。
1693826586# #是我爱的杰杰
1702226089# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1693739019# #好好看好好看
1703959714# #老师早点休息
1703130114# #益路杰伴星公益愿平安心
1694873295# #来啦来啦我在Ella吕建忠唱《专属天使》王源秒陷回忆杀
1693484710# #张杰超话张杰外南街1982签售会。中签中签中签。重要的事情说三遍
1703671293# #啊啊啊啊啊啊啊啊过年啦害羞害羞
1696949446# #张杰万物不如你十大巅峰单曲打call打call
1693032946# #张杰未live巡回演唱会今晚一切顺利！张杰三登鸟巢
1693165606# #爱你😘，明年见心，贵州等你航天员
1698986513# #十一月一切顺利送花花
1698047801# #帅哥送花花送花花
1703861796# #老北是懂我们想看什么的爱慕爱慕爱慕爱慕
1700664884# #张杰实火
1695265465# #收到啦收到啦心心心
1696219263# #好可爱的杰杰彩虹屁彩虹屁彩虹屁
1691156149# #张杰超话张杰未live巡回演唱会。没有星星的夜空。没有话题能补充。。我好爱大合唱
1693475054# #🦋🦋
1703919593# #张杰超话✨张杰下雪了。今天只负责开心吼~。抱枕有啦爱慕爱慕爱慕。感谢宝贝给我排队，爱你😘
1702881398# #哈哈哈哈疯狂一群无情的拍摄机器哈哈哈哈哈哈哈哈
1697854249# #未来可期，追光前行~我在2023微博迎新之夜年度大学生推荐歌曲中pick了我喜欢的音乐作品，快来和我一起为更多的优秀歌曲助力！
1689427321# #哇喔，这套老帅了
1700897414# #温暖的张杰抱一抱抱一抱抱一抱
1689574960# #粉丝认证号叮！张杰的宠粉卡已发放！我领到了TA的专属宠粉福利，快来和我一起成为TA的认证粉丝，宠粉福利领不停！
1703664061# #过年啦打call打call打call打call
1689490407# #张杰未live巡回演唱会穿越人海
1701885018# #我在森林驿站帮助了小熊猫，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1695792244# #张杰歌迷最幸福心心
1698816560# #张杰唯粉实时号测试你应该不在吧苦涩
1704255012# #阳光信用超话✨‍阳光信用✨每日一善“你像月亮一样照进了我的生活你的光让我撑过了很多难熬的时候虽然现在月亮暗了我也很庆幸你的出现谢谢你的突然出现给我的生活带来了一段特别有意义的日子”
1690260391# #19岁生日快乐，一直都在心
1695877696# #哈哈哈，帮你吃可以，班还得你自己上哈哈哈哈哈哈
1699949799# #太可爱了彩虹屁彩虹屁
1693194326# #期待华语live王张杰
1700197609# #张杰音乐梦想教室心心
1694855059# #张杰太可爱了，哈哈哈哈哈，晚上见哦
1690764381# #和一起为爱前行心
1693068014# #好野憧憬憧憬我好爱
1692099834# #长沙站：火鸟赛尔号也赶紧的哦
1697263060# #冲鸭
1703034632# #张杰1220生日快乐生日快乐蛋糕蛋糕
1690772940# #我奔溃了泪泪泪
1700715916# #致敬英雄
1704161809# #张杰听到加班吓跪了。哥哥听到加班belike………
1690422227# #来咯来咯，已经在循环啦憧憬憧憬憧憬
1699716005# #期待张杰彩虹屁彩虹屁
1692419233# #哇喔，好好看啊
1693139381# #张杰三登鸟巢我的云还在唱歌苦涩苦涩苦涩
1695519668# #辛苦啦，主要休息心
1696167347# #祝福祖国🇨🇳
1700737690# #恭喜恭喜，超好听彩虹屁彩虹屁彩虹屁彩虹屁
1703429783# #滴滴
1703854741# #哈哈哈哈哈哈哈爱慕爱慕爱慕
1694996263# #牢记历史，吾辈自强！
1703047082# #好用心的礼物🎁，杰哥生日快乐@张杰
1704038582# #礼物呢
1703859402# #张杰未你好吗跨年演唱会最美的太阳
1692027549# #斯哈斯哈色色色
1699272956# #冲鸭送花花
1691759075# #这小朋友怎么这么甜呢
1701268695# #歌手张杰超话快来wx小橙序『咪咕星球』一起为爱心公益助力，我们在给你小心心星星星球给你小心心等你哦~
1699690155# #今晚一切顺利哇
1702730507# #来啦来啦
1692080673# #张杰时光音乐会上班啦
1695783108# #今天签售会一切顺利心
1693559415# #这钱真好赚啊
1703869271# #喜欢张杰好幸福好幸福啊爱慕爱慕爱慕
1691228883# #当然是张杰啦
1694879099# #早点休息
1696777355# #芬芬的心情日记。感冒了好几天。人都懵圈了。一直咳个不停苦涩苦涩。一整个难受难受难受裂开裂开。感冒真难受
1701152665# #张杰热血战歌立剑太燃了战歌来啦，又有新歌听好开心❤，张杰歌迷最最最幸福啦
1693242417# #恭喜张杰，实至名归
1697789222# #哈哈哈哈
1699714958# #张杰茂名音乐节泰酷了哇
1691282730# #恭喜恭喜🎉
1701573105# #期待未来的“大战”
1690164633# #张杰《万物不如你》（《长相思》电视剧主题曲）
1691816428# #这排序很有意思
1692028430# #这是晚睡的福利吗色色色色
1703044166# #张杰1220生日快乐太会画了送花花送花花，生日快乐杰哥蛋糕蛋糕
1700832160# #歌手张杰超话快来wx小橙序『咪咕星球』一起为爱心公益助力，我们在给你小心心星星星球给你小心心等你哦~
1694657950# #专辑不嫌多，44可爱
1699278037# #期待张杰送花花送花花送花花
1696054973# #试一下心
1699190438# #任青春飞扬送花花送花花
1693289357# #牛哥，辛苦啦
1701014648# #张杰超话zj张杰点歌台。想去偷哥哥的相机偷笑偷笑
1688555507# #长沙见哇哇
1694324378# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的张杰，快来和我一起为更多优秀音乐内容助力！🍬
1688911585# #好帅好帅憧憬憧憬憧憬
1690434824# #张杰超话北斗星空十九周年。今天没有文案，只有你。想见你想见你想见你
1697601642# #张杰超话趁年轻，去做热爱的事情开学季张杰
1700532746# #期待张杰
1692026215# #张杰时光音乐会一切顺利心
1699872840# #张杰超话老北vb大屏送花花。我也不知道为啥那个青羊一直不会显示在我的关注列表允悲允悲
1703045540# #发留言许下你的新年愿望，让我看看你有多爱TA！我在许愿留言板活动中抽中了大奖！我也把这份祝福传递给你，愿你的人生继续闪闪发光！
1701671896# #张杰超话ZJ张杰你的小可爱突然出现我的小可爱突然出现了抱一抱抱一抱。想问小可爱喜欢什么颜色的麻袋。好想带回家害羞
1697163263# #张杰唯粉实时号测试今天一定有doge
1701264321# #张杰1220生日快乐
1697347279# #我在森林驿站帮助了大象，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1703994429# #张杰超话✨张杰未你好吗跨年演唱会扩扩扩，周边排队处，来自湖南的王女士您的身份证掉了，请速速联系！！！话筒话筒
1695791844# #他好用心啊🍋🍋🍋🍋🍋
1701537753# #海市幻城音乐节蕾拉送花花送花花
1697079183# #未来可期，追光前行~我在2023微博迎新之夜年度大学生推荐人物中pick了我喜欢的音乐人，快来和我一起为更多的优秀音乐内容助力！
1689691232# #为什么要刀我
1693161585# #玩得开心哦
1700270568# #张杰忙得很，勿cue
1692598442# #东方风云榜微博网友期待舞台初心如歌，榜上有鸣。东方风云榜三十周年庆典开启，为你喜欢的舞台打call，我们一同见证！
1694270759# #张杰时光音乐会老友记吉他版天下，是我们的天下张杰饭桌巡演版天下，特别版本的张杰唱打嗝版天下
1695058583# #万物不如你，真🔥
1693291560# #这么可爱，好想带回家害羞害羞害羞
1692078053# #啊啊啊啊好帅好帅
1690763035# #下次见！
1693911848# #张杰独美
1702736348# #我在森林驿站帮助了大象，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1698327301# #祝贺冠军小姑凉送花花送花花
1703608950# #张杰超话送花花张杰新ep冬月初七突然有束光是你给的，告诉我手边就有银河”。。灯门，狂门，忍门，你们最喜欢那个门笑而不语。（小私心，灯门top抱一抱）张杰新歌
1695754139# #签售会一切顺利心
1704281278# #受委屈的宝宝，太可爱了可怜可怜
1702567092# #张杰未你好吗跨年演唱会
1703046551# #张杰1220生日快乐生日快乐，浙江等你彩虹屁
1688787192# #哈哈哈哈哈哈，我跟你一样dogedogedoge
1689922359# #憧憬憧憬憧憬憧憬
1693375533# #辛苦了，明年见心
1693144684# #好爱好爱你@张杰
1694511294# #张杰超话我的同款笔到货啦彩虹屁彩虹屁彩虹屁
1692775842# #一切顺利
1692876812# #张杰鸟巢彩排高音唱断琴弦。让我看看是谁唱断了琴弦羞嗒嗒羞嗒嗒羞嗒嗒。哦，原来是那个认真又用心准备演唱会的杰杰呀！。一起期待8.25-8.27，“曜“嗨唱三天呢～好喜欢好喜欢。。今晚八点二次开票，需要购票的朋友们不要错过了哦。
1703859846# #杰星🔒
1701534144# #张杰珠海音乐节开成演唱会想演唱会啦抱一抱抱一抱抱一抱
1697423712# #张杰点歌台张杰歌迷最幸福心
1704101934# #看看我看看我送花花送花花送花花
1690184543# #哇喔哇喔憧憬憧憬憧憬
1692414561# #好可爱好可爱
1696150923# #哇喔，期待张杰彩虹屁彩虹屁
1697600756# #张杰超话自存，男友视角送花花送花花送花花张杰
1701537403# #着魔下腰，帅送花花送花花送花花
1691469127# #买啦买啦哇哇哇
1693195817# #起落平安心
1700131570# #滴滴
1695727486# #好听好听好听打call打call打call
1692184222# #杰杰注意身体哦
1700718010# #6000天快乐呀送花花送花花送花花
1694232618# #起落平安彩虹屁
1702599966# #一起来2023微博音乐大赏进行音乐作品的回顾与盘点！我推荐了《Layla蕾拉》，你也一起加入吧～年度歌曲推荐^^
1691469307# #张杰超话张杰实体专辑外南街1982秋天的第一张专辑来啦，航天员航天员实体专辑已get，坐等签售会航天员航天员张杰实体专辑
1701264243# #张杰1220生日快乐来啦
1692242673# #UP千万千万不要带🇨🇳
1694353916# #张杰让我看看，是谁还没有看时光音乐会，是谁还没有听到吉他版的天下dogedogedoge
1692334148# #期待期待
1688638844# #哇喔，好好看的杰杰
1689427574# #打工人在搬砖，只能摸鱼刷视频苦涩苦涩苦涩
1699109730# #张杰超话张杰时光音乐会老友记。《陆垚知马俐》完整版张杰指导魏大勋唱歌。
1701092584# #一切都会好的，爱你爱你😘
1701360965# #ZJ只吃糖不吃苦。十二月，祝公主👸🏻王子🤴🏻们一切顺利，开开心心打call打call
1700148717# #啊啊啊啊啊啊啊啊太帅啦
1693030336# #张杰未live巡回演唱会场外身骑白马戏腔好绝张杰三登鸟巢
1694530771# #无论多久都爱你😘
1696320288# #好可爱啊哈哈哈哈哈哈哈哈
1697336020# #想你了，贵阳等你爱你
1694996171# #牢记历史，吾辈自强！
1699010201# #疯狂营业的室子，多发爱看
1703010585# #张杰粉丝捐款150万驰援甘肃存各地分会明细心
1697904484# #我的光就是你呀送花花送花花
1704038485# #新年快乐呀
1703145078# #我的微博播报叮！2023我的微博阅读量突破402.3万！2024与我一起用超光影记录超影像！速来
1694692469# #辛苦啦，明年见彩虹屁
1699793822# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐奇妙之城2！为热爱助力，一起来推荐你最喜欢的作品吧~哇
1696044245# #张杰银河方舟音乐节小室高产
1690459835# #一起过生日啦憧憬憧憬憧憬
1693917980# #专注自家
1702569689# #啊啊啊啊没ss烦死了
1702208951# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1700629588# #张杰唯粉实时号测试每天看看在不在
1703899024# #张杰未你好吗跨年演唱会他不懂大合唱爱慕爱慕爱慕
1695902260# #张杰超话好像上课时候跟左右同桌唠嗑的宝宝👶🏻。好可爱害羞害羞张杰
1703651698# #我正在微博跨年狂欢节预约张杰，可以冲跨年晚会现场门票！快来和我一起参与吧！预约2024，让更好发生~
1703203760# #好冷🥶🥶。室内室外一个温度哆啦A梦吃惊
1689142230# #。您好，我要举报以下用户（禁点进主页）。辱、造谣、诅咒、恶意P
1697768215# #未来可期，追光前行~我在2023微博迎新之夜年度大学生推荐人物中pick了我喜欢的音乐人，快来和我一起为更多的优秀音乐内容助力！
1703331315# #张杰生日分蛋糕vlog大家来年大财，身体健康，明年多多见面抱一抱抱一抱
1698561849# #啊啊啊啊啊啊啊啊
1697602659# #张杰《孤勇者(Live)》
1703039132# #跟益起来，愿平安顺遂心
1703768479# #超期待呀打call打call打call
1703814602# #我推荐张杰未·LIVE-「曜·北斗」巡回演唱会为微博网友喜爱演出，一场精彩的演出为我们带来的是无与伦比的视听享受和精神满足！一起来微博之夜推荐更多印象深刻的演出吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1693718134# #。您好，我要举报以下用户（禁点进主页）。。该用户微博发布大量造谣诽谤艺人的黑帖，近期发布内容均为恶意造谣，在【黑超】【黑话题】下对艺人羞辱谩骂，还恶意拉踩引导粉圈撕逼，网暴无辜艺
1700726058# #我投给了“张杰《一路之下》最佳男歌手+全能艺人七大奖”~
1697687713# #即将拥有六栋大楼啦打call打call打call打call
1701829588# #这个月没做的大家动动手
1695056662# #张杰心心
1700819299# #或许张杰真的是一种情怀是我的整个青春呀张杰超话
1695837527# #晚安，昨天辛苦啦，一定要好好休息哦心心
1695317159# #张杰时光音乐会老友记
1689410340# #抓到你了憧憬憧憬憧憬
1697344950# #我杰哥跑好快啊
1700147908# #微博视界大会热爱·同行！我正在微光荣耀入围影视音乐为《万物不如你》荣耀推荐！你心中的微光荣耀是哪个？一起来参与推荐吧可爱
1693924398# #张杰时光音乐会又可以每周看到杰杰啦打call打call打call
1696946883# #张杰唯粉实时号测试你回来了吗苦涩苦涩
1693615352# #张杰外南街1982签售会杰哥给我好运
1691970068# #我好爱好爱你，你要保护好自己
1700642894# #滴滴
1698327224# #两周年快乐送花花送花花
1692252987# #张杰官宣加盟东方风云榜期待华语LIVE王张杰哇哇哇
1694695863# #骂他的人都没有心泪泪泪
1700277105# #哇喔
1702023192# #这也偷啊
1703850452# #张杰超话张杰未你好吗跨年演唱会。《辞海》。想象漫游无可复制。你像个形容词。在我眼里丰富了注释张杰天下炸场
1699501530# #哈哈哈哈哈哈笑死我了
1701023174# #张杰超话✨张杰点歌台。时间到了。哎哟已经十一点了。怎么办呢悲伤。我们应该要说再见吗可怜可怜。。原来不止我会不舍，你也一样呢悲伤悲伤悲伤
1689509426# #这套好好看憧憬憧憬
1691655795# #花絮花絮
1692171463# #怎么这么帅啊
1702527679# #来啦来啦爱你送花花送花花
1697265195# #逆战咏春尴尬
1699699365# #期待张杰
1704020012# #2221.3了
1701620446# #这也太可爱了吧憧憬憧憬憧憬
1696939018# #张杰心心
1699616795# #滴滴
1694322787# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《张杰未LIVE巡回演唱会》，快来和我一起为更多优秀音乐内容助力！彩虹屁
1699873135# #微博视界大会热爱·同行！我正在微光荣耀入围影视音乐为《万物不如你》荣耀推荐！你心中的微光荣耀是哪个？一起来参与推荐吧彩虹屁
1696824192# #期待好好给我拍照开学季开学季开学季
1695058462# #帅气杰杰，录制顺利！
1689438826# #张杰演唱会南京0715《你你你》首唱来啦张杰未live巡回演唱会
1696949547# #穿越人海开学季
1702600949# #早，冷哦(ɔˆ³(ˆωˆc)
1691109814# #张杰张杰张杰张杰张杰张杰张杰张杰张杰张杰
1689915180# #长沙见，我们一直都在心
1702270131# #大头大头，做大做强打call打call打call
1691304333# #接好运
1688947759# #恭喜华语LIVE王张杰鼓掌鼓掌鼓掌
1692962486# #张杰未live巡回演唱会太漂亮啦张杰鸟巢演唱会
1694406219# #福真的超级好听彩虹屁彩虹屁
1691325840# #接到签售会名额必有我送花花
1694137495# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《外南街小孩》，快来和我一起为更多优秀音乐内容助力！哇666
